average_payment,customer_id,customer_name,payment_count,risk_flag,staff_id,staff_name,total_amount
2.99,90,RUBY WASHINGTON,3,0,2,Jon Stephens,8.97
2.99,91,LOIS BUTLER,1,0,2,Jon Stephens,2.99
3.16,213,GINA WILLIAMSON,6,1,1,Mike Hillyer,18.94
3.19,111,CARMEN OWENS,5,1,2,Jon Stephens,15.95
3.19,29,ANGELA HERNANDEZ,5,1,1,Mike Hillyer,15.95
3.24,146,JAMIE RICE,4,0,1,Mike Hillyer,12.96
3.24,153,SUZANNE NICHOLS,4,0,1,Mike Hillyer,12.96
3.24,30,MELISSA KING,4,0,2,Jon Stephens,12.96
3.24,377,HOWARD FORTNER,4,0,2,Jon Stephens,12.96
3.24,387,JESSE SCHILLING,4,0,2,Jon Stephens,12.96
3.24,446,THEODORE CULP,4,0,2,Jon Stephens,12.96
3.24,568,ALBERTO HENNING,4,0,2,Jon Stephens,12.96
3.24,57,EVELYN MORGAN,4,0,1,Mike Hillyer,12.96
3.32,149,VALERIE BLACK,3,0,1,Mike Hillyer,9.97
3.32,20,SHARON ROBINSON,3,0,2,Jon Stephens,9.97
3.32,208,LUCY WHEELER,3,0,1,Mike Hillyer,9.97
3.32,260,CHRISTY VARGAS,3,0,2,Jon Stephens,9.97
3.32,261,DEANNA BYRD,3,0,1,Mike Hillyer,9.97
3.32,264,GWENDOLYN MAY,3,0,1,Mike Hillyer,9.97
3.32,308,THOMAS GRIGSBY,3,0,1,Mike Hillyer,9.97
3.32,330,SCOTT SHELLEY,3,0,2,Jon Stephens,9.97
3.32,361,LAWRENCE LAWTON,3,0,2,Jon Stephens,9.97
3.32,374,JEREMY HURTADO,3,0,2,Jon Stephens,9.97
3.32,576,MORRIS MCCARTER,3,0,1,Mike Hillyer,9.97
3.32,91,LOIS BUTLER,3,0,1,Mike Hillyer,9.97
3.32,98,LILLIAN GRIFFIN,3,0,1,Mike Hillyer,9.97
3.39,23,SARAH LEWIS,5,1,1,Mike Hillyer,16.95
3.39,279,DIANNE SHELTON,5,1,1,Mike Hillyer,16.95
3.39,336,JOSHUA MARK,5,1,2,Jon Stephens,16.95
3.49,100,ROBIN HAYES,2,0,1,Mike Hillyer,6.98
3.49,107,FLORENCE WOODS,6,1,2,Jon Stephens,20.94
3.49,127,ELAINE STEVENS,2,0,2,Jon Stephens,6.98
3.49,155,GAIL KNIGHT,2,0,2,Jon Stephens,6.98
3.49,161,GERALDINE PERKINS,2,0,1,Mike Hillyer,6.98
3.49,174,YVONNE WATKINS,2,0,1,Mike Hillyer,6.98
3.49,183,IDA ANDREWS,2,0,1,Mike Hillyer,6.98
3.49,228,ALLISON STANLEY,4,0,2,Jon Stephens,13.96
3.49,243,LYDIA BURKE,2,0,1,Mike Hillyer,6.98
3.49,249,DORA MEDINA,2,0,1,Mike Hillyer,6.98
3.49,252,MATTIE HOFFMAN,2,0,1,Mike Hillyer,6.98
