first_name,last_name,transaction_count,total_amount,average_payment,high_risk_flag
MARK,RINEHART,11,48.89,4.44,1
JAVIER,ELROD,11,48.89,4.44,1
JULIE,SANCHEZ,12,48.88,4.07,1
MINNIE,ROMERO,12,48.88,4.07,1
SYLVIA,ORTIZ,13,48.87,3.76,1
ELLEN,SIMPSON,13,48.87,3.76,1
SHERRI,RHODES,13,48.87,3.76,1
ROSEMARY,SCHMIDT,14,48.86,3.49,1
SALLY,PIERCE,15,48.85,3.26,1
JUDY,GRAY,11,47.89,4.35,1
VANESSA,SIMS,11,47.89,4.35,1
PATSY,DAVIDSON,11,47.89,4.35,1
CHRISTINE,ROBERTS,12,47.88,3.99,1
BERNARD,COLBY,12,47.88,3.99,1
PAULINE,HENRY,13,47.87,3.68,1
HAZEL,WARREN,15,47.85,3.19,1
ANGELA,HERNANDEZ,11,46.89,4.26,1
ANNETTE,OLSON,11,46.89,4.26,1
DELORES,HANSEN,11,46.89,4.26,1
ADAM,GOOCH,11,46.89,4.26,1
SIDNEY,BURLESON,11,46.89,4.26,1
SHIRLEY,ALLEN,12,46.88,3.91,1
OLGA,JIMENEZ,12,46.88,3.91,1
JOSE,ANDREW,12,46.88,3.91,1
BILLY,POULIN,12,46.88,3.91,1
JESSICA,HALL,13,46.87,3.61,1
LUCY,WHEELER,13,46.87,3.61,1
HECTOR,POINDEXTER,14,46.86,3.35,1
DOROTHY,TAYLOR,11,45.89,4.17,1
MARGIE,WADE,11,45.89,4.17,1
BRANDY,GRAVES,11,45.89,4.17,1
ALEX,GRESHAM,11,45.89,4.17,1
WILLARD,LUMPKIN,11,45.89,4.17,1
JASON,MORRISSEY,12,45.88,3.82,1
HAROLD,MARTINO,12,45.88,3.82,1
JOE,GILLILAND,12,45.88,3.82,1
FRED,WHEAT,12,45.88,3.82,1
MANUEL,MURRELL,12,45.88,3.82,1
ALEXANDER,FENNELL,12,45.88,3.82,1
VERONICA,STONE,13,45.87,3.53,1
LYDIA,BURKE,13,45.87,3.53,1
TOM,MILNER,13,45.87,3.53,1
BONNIE,HUGHES,11,44.89,4.08,1
JAMES,GANNON,11,44.89,4.08,1
PHILLIP,HOLM,11,44.89,4.08,1
GUY,BROWNLEE,11,44.89,4.08,1
COLLEEN,BURTON,12,44.88,3.74,1
SALVADOR,TEEL,12,44.88,3.74,1
RENE,MCALISTER,12,44.88,3.74,1
ESTHER,CRAWFORD,14,44.86,3.2,1
IVAN,CROMWELL,14,44.86,3.2,1
CINDY,FISHER,11,43.89,3.99,1
KELLY,KNOTT,11,43.89,3.99,1
MARC,OUTLAW,12,43.88,3.66,1
HILDA,HOPKINS,13,43.87,3.37,1
KEITH,RICO,12,42.88,3.57,1
DEBBIE,REYES,11,41.89,3.81,1
VICKIE,BREWER,11,41.89,3.81,1
HOWARD,FORTNER,11,41.89,3.81,1
SCOTT,SHELLEY,12,41.88,3.49,1
EVERETT,BANDA,12,41.88,3.49,1
AMANDA,CARTER,11,40.89,3.72,1
CATHY,SPENCER,11,40.89,3.72,1
BECKY,MILES,11,40.89,3.72,1
GLENN,PULLEN,11,40.89,3.72,1
ALFREDO,MCADAMS,11,40.89,3.72,1
ANNIE,RUSSELL,12,40.88,3.41,1
CLINTON,BUFORD,12,40.88,3.41,1
KATHLEEN,ADAMS,13,40.87,3.14,1
ANTHONY,SCHWAB,11,39.89,3.63,1
JACOB,LANCE,11,39.89,3.63,1
DEBORAH,WALKER,12,39.88,3.32,1
RENEE,LANE,12,39.88,3.32,1
EARL,SHANKS,12,39.88,3.32,1
NANCY,THOMAS,13,39.87,3.07,1
CHAD,CARBONE,13,39.87,3.07,1
REGINALD,KINDER,11,38.89,3.54,1
KIM,CRUZ,11,37.89,3.44,1
CLARENCE,GAMEZ,11,37.89,3.44,1
BOBBY,BOUDREAU,14,37.86,2.7,1
GEORGIA,JACOBS,11,36.89,3.35,1
CHRISTY,VARGAS,12,36.88,3.07,1
CRAIG,MORRELL,11,35.89,3.26,1
CHESTER,BENNER,11,35.89,3.26,1
SUSAN,WILSON,12,35.88,2.99,1
IDA,ANDREWS,11,34.89,3.17,1
TRACEY,BARRETT,11,34.89,3.17,1
JAIME,NETTLES,11,34.89,3.17,1
NORMAN,CURRIER,12,32.88,2.74,1
JOANNE,ROBERTSON,13,31.87,2.45,1
LEONARD,SCHOFIELD,11,29.89,2.72,1
DEREK,BLAKELY,11,26.89,2.44,1
