customer_id,customer_name,country_name,city_name,payment_month,monthly_payment_sum,monthly_payment_count,personal_avg_monthly_sum,deviation_from_personal_avg,country_avg_monthly_sum,country_avg_monthly_payment_count,country_rank,country_customer_count,staff_id,top_staff_name,staff_email,top_staff_payment_sum,top_staff_payment_count
508,MILTON HOWLAND,India,Vijayawada,2005-07,74.86,14,31.69,43.17,45.74,10.85,3,60,2,Jon Stephens,Jon.Stephens@sakilastaff.com,60.89,11
502,BRETT CORNWELL,India,Siliguri (Shiliguri),2005-07,73.85,15,34.67,39.19,45.74,10.85,4,60,2,Jon Stephens,Jon.Stephens@sakilastaff.com,41.91,9
446,THEODORE CULP,India,Uluberia,2005-07,71.83,17,29.17,42.66,45.74,10.85,5,60,2,Jon Stephens,Jon.Stephens@sakilastaff.com,37.91,9
426,BRADLEY MOTLEY,India,Purnea (Purnia),2005-07,65.89,11,31.68,34.21,45.74,10.85,6,60,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,41.93,7
102,CRYSTAL FORD,Israel,Ashdod,2005-07,84.79,21,34.42,50.37,50.89,11.5,1,4,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,42.91,9
309,CHRISTOPHER GRECO,Italy,Brescia,2005-07,76.84,16,36.92,39.92,48.46,11.14,1,7,2,Jon Stephens,Jon.Stephens@sakilastaff.com,45.92,8
531,JAMIE WAUGH,Japan,Kuwana,2005-07,64.86,14,29.69,35.17,45.25,10.81,2,31,2,Jon Stephens,Jon.Stephens@sakilastaff.com,41.9,10
574,JULIAN VEST,Japan,Akishima,2005-07,64.85,15,27.43,37.42,45.25,10.81,3,31,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,56.87,13
573,BYRON BOX,Kazakstan,Zhezqazghan,2005-07,70.85,15,30.18,40.67,48.38,12.0,1,2,2,Jon Stephens,Jon.Stephens@sakilastaff.com,43.92,8
482,MAURICE CRAWLEY,Mexico,Coatzacoalcos,2005-07,69.88,12,34.68,35.2,46.13,10.67,1,30,2,Jon Stephens,Jon.Stephens@sakilastaff.com,45.92,8
425,FRANCIS SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07,67.83,17,26.19,41.65,46.13,10.67,3,30,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,39.9,10
257,MARSHA DOUGLAS,Mozambique,Beira,2005-07,88.82,18,37.91,50.91,65.19,14.67,1,3,2,Jon Stephens,Jon.Stephens@sakilastaff.com,50.9,10
286,VELMA LUCAS,Nigeria,Effon-Alaiye,2005-07,76.83,17,29.43,47.4,49.8,12.08,1,13,2,Jon Stephens,Jon.Stephens@sakilastaff.com,42.92,8
498,GENE SANBORN,Oman,Salala,2005-07,51.85,15,24.43,27.42,40.38,12.0,1,2,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,32.92,8
522,ARNOLD HAVENS,Philippines,Santa Rosa,2005-07,96.82,18,41.92,54.9,45.83,11.6,1,20,2,Jon Stephens,Jon.Stephens@sakilastaff.com,63.89,11
563,KEN PREWITT,Romania,Bucuresti,2005-07,60.84,16,27.68,33.16,59.85,15.5,1,2,2,Jon Stephens,Jon.Stephens@sakilastaff.com,44.9,10
295,DAISY BATES,Russian Federation,Kolpino,2005-07,87.82,18,40.41,47.41,50.5,11.0,1,28,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,45.92,8
346,ARTHUR SIMPKINS,Russian Federation,Maikop,2005-07,83.85,15,38.92,44.93,50.5,11.0,2,28,2,Jon Stephens,Jon.Stephens@sakilastaff.com,54.9,10
49,JOYCE EDWARDS,Saudi Arabia,Jedda,2005-07,69.87,13,32.68,37.19,47.1,10.0,1,5,2,Jon Stephens,Jon.Stephens@sakilastaff.com,36.93,7
245,COURTNEY DAY,South Korea,Uijongbu,2005-07,72.84,16,32.42,40.42,58.26,13.8,1,5,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,41.92,8
598,WADE DELVALLE,Switzerland,Lausanne,2005-07,64.84,16,27.93,36.91,46.89,10.67,1,3,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,32.92,8
220,CHARLENE ALVAREZ,Tanzania,Zanzibar,2005-07,59.88,12,28.68,31.2,48.56,10.67,1,3,2,Jon Stephens,Jon.Stephens@sakilastaff.com,48.91,9
335,GREGORY MAULDIN,Tunisia,Sousse,2005-07,55.85,15,25.93,29.92,55.85,15.0,1,1,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,39.9,10
366,BRANDON HUEY,Turkey,Balikesir,2005-07,82.81,19,36.91,45.9,49.29,11.47,1,15,2,Jon Stephens,Jon.Stephens@sakilastaff.com,41.9,10
566,CASEY MENA,Turkey,Tokat,2005-07,71.82,18,35.42,36.41,49.29,11.47,2,15,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,37.91,9
475,PEDRO CHESTNUT,Ukraine,ostka,2005-07,71.85,15,34.59,37.26,58.05,11.83,1,6,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,41.91,9
292,MISTY LAMBERT,United Arab Emirates,Sharja,2005-07,74.84,16,29.68,45.16,53.87,12.67,1,3,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,54.9,10
479,ZACHARY HITE,United States,Akron,2005-07,79.85,15,36.43,43.43,45.84,10.44,2,36,2,Jon Stephens,Jon.Stephens@sakilastaff.com,46.93,7
2,PATRICIA JOHNSON,United States,San Bernardino,2005-07,75.86,14,32.18,43.68,45.84,10.44,3,36,2,Jon Stephens,Jon.Stephens@sakilastaff.com,48.92,8
539,MATHEW BOLIN,Venezuela,Valencia,2005-07,55.88,12,22.7,33.19,40.76,10.14,1,7,2,Jon Stephens,Jon.Stephens@sakilastaff.com,35.93,7
406,NATHAN RUNYON,"Virgin Islands, U.S.",Charlotte Amalie,2005-07,68.82,18,30.67,38.15,68.82,18.0,1,1,2,Jon Stephens,Jon.Stephens@sakilastaff.com,42.88,12
470,GORDON ALLARD,Yemen,Hodeida,2005-07,96.83,17,40.17,56.66,64.86,14.0,1,4,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,70.87,13
553,MAX PITT,Yugoslavia,Novi Sad,2005-07,68.84,16,26.94,41.9,64.37,13.5,1,2,2,Jon Stephens,Jon.Stephens@sakilastaff.com,36.9,10
266,NORA HERRERA,Austria,Salzburg,2005-08,71.83,17,29.68,42.15,42.23,10.0,1,3,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,52.88,12
21,MICHELLE CLARK,Bangladesh,Tangail,2005-08,79.83,17,38.17,41.67,51.55,12.0,1,3,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,44.92,8
45,JANET PHILLIPS,Chile,Antofagasta,2005-08,68.88,12,31.93,36.95,49.9,10.0,1,3,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,41.93,7
569,DAVE GARDINER,China,Leshan,2005-08,75.82,18,33.67,42.15,39.38,9.66,1,53,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,40.92,8
422,MELVIN ELLINGTON,China,Laohekou,2005-08,56.87,13,23.69,33.18,39.38,9.66,6,53,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,29.94,6
460,LEON BOSTIC,Colombia,Florencia,2005-08,54.88,12,27.44,27.44,42.91,9.17,1,6,2,Jon Stephens,Jon.Stephens@sakilastaff.com,37.93,7
119,SHERRY MARSHALL,Egypt,Shubra al-Khayma,2005-08,77.82,18,38.42,39.41,42.73,10.0,1,6,2,Jon Stephens,Jon.Stephens@sakilastaff.com,49.88,12
121,JOSEPHINE GOMEZ,India,Etawah,2005-08,67.86,14,27.44,40.43,42.67,9.67,6,60,2,Jon Stephens,Jon.Stephens@sakilastaff.com,41.92,8
147,JOANNE ROBERTSON,Japan,Urawa,2005-08,76.85,15,31.92,44.94,40.94,9.68,1,31,2,Jon Stephens,Jon.Stephens@sakilastaff.com,45.91,9
54,TERESA ROGERS,Japan,Iwakuni,2005-08,64.86,14,32.18,32.68,40.94,9.68,3,31,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,39.92,8
81,ANDREA HENDERSON,Madagascar,Mahajanga,2005-08,55.88,12,23.45,32.44,55.88,12.0,1,1,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,33.93,7
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08,68.84,16,26.44,42.4,38.04,9.67,1,30,2,Jon Stephens,Jon.Stephens@sakilastaff.com,52.89,11
22,LAURA RODRIGUEZ,Morocco,Sal,2005-08,54.9,10,27.2,27.7,42.24,9.33,1,3,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,43.92,8
198,ELSIE KELLEY,Nigeria,Ikerre,2005-08,70.84,16,35.41,35.43,41.75,9.46,1,13,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,51.89,11
280,TRACEY BARRETT,Nigeria,Owo,2005-08,68.88,12,29.68,39.2,41.75,9.46,2,13,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,43.92,8
416,JEFFERY PINSON,Pakistan,Dadu,2005-08,63.87,13,30.42,33.45,41.7,10.0,1,5,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,51.9,10
565,JAIME NETTLES,Peru,Hunuco,2005-08,66.87,13,31.68,35.19,43.65,10.0,1,4,2,Jon Stephens,Jon.Stephens@sakilastaff.com,42.93,7
471,DEAN SAUER,South Africa,Johannesburg,2005-08,55.88,12,27.43,28.45,41.27,9.27,1,11,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,34.93,7
327,LARRY THRASHER,Turkey,Adana,2005-08,58.87,13,27.44,31.43,38.98,8.93,2,15,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,36.91,9
