customer_id,customer_first_name,customer_last_name,country,city,payment_date,payment_count,daily_sum,prev30_avg_daily_sum,deviation_from_average,risk_rank
591,KENT,ARSENAULT,Brazil,Juiz de Fora,2005-07-27,4,20.96,1.1,19.86,89
424,KYLE,SPURLOCK,China,Shanwei,2005-07-31,3,20.97,1.26,19.71,90
420,JACOB,LANCE,United States,El Monte,2005-08-01,3,20.97,1.33,19.64,91
148,ELEANOR,HUNT,Runion,Saint-Denis,2005-07-28,4,20.96,1.33,19.63,92
374,JEREMY,HURTADO,Brazil,Vitria de Santo Anto,2005-08-22,4,20.96,1.36,19.6,93
106,CONNIE,WALLACE,Russian Federation,Ivanovo,2005-08-01,3,20.97,1.4,19.57,94
26,JESSICA,HALL,Holy See (Vatican City State),Citt del Vaticano,2005-07-07,5,20.95,1.4,19.55,95
133,PAULINE,HENRY,Mexico,Torren,2005-07-08,4,19.96,0.47,19.49,96
403,MIKE,WAY,India,Valparai,2005-08-02,4,21.96,2.5,19.47,97
93,PHYLLIS,FOSTER,China,Zalantun,2005-08-20,4,19.96,0.5,19.46,98
258,MYRTLE,FLEMING,Dominican Republic,Santiago de los Caballeros,2005-08-01,5,20.95,1.5,19.45,99
294,SHELLY,WATTS,United States,Dayton,2005-08-01,5,20.95,1.6,19.35,100
546,KELLY,KNOTT,China,Sanya,2005-07-12,3,19.97,0.7,19.27,101
342,HAROLD,MARTINO,Brazil,Boa Vista,2005-07-12,3,19.97,0.7,19.27,102
280,TRACEY,BARRETT,Nigeria,Owo,2005-08-19,3,20.97,1.73,19.24,103
148,ELEANOR,HUNT,Runion,Saint-Denis,2005-08-22,4,22.96,3.93,19.04,104
520,MITCHELL,WESTMORELAND,Vietnam,Nha Trang,2005-07-10,3,19.97,0.96,19.01,105
254,MAXINE,SILVA,Brazil,Poos de Caldas,2005-07-10,4,19.96,0.96,19.0,106
137,RHONDA,KENNEDY,Netherlands,Apeldoorn,2005-07-30,4,20.96,2.03,18.93,107
147,JOANNE,ROBERTSON,Japan,Urawa,2005-08-23,3,20.97,2.06,18.91,108
412,ALLEN,BUTTERFIELD,India,Hoshiarpur,2005-07-29,3,18.97,0.1,18.87,109
126,ELLEN,SIMPSON,Brazil,Po,2005-07-06,3,18.97,0.1,18.87,110
86,JACQUELINE,LONG,Thailand,Songkhla,2005-08-01,3,20.97,2.16,18.81,111
146,JAMIE,RICE,United States,Sterling Heights,2005-07-11,3,19.97,1.26,18.71,112
65,ROSE,HOWARD,French Guiana,Cayenne,2005-08-02,3,19.97,1.26,18.71,112
257,MARSHA,DOUGLAS,Mozambique,Beira,2005-08-19,5,20.95,2.26,18.69,114
533,JESSIE,MILAM,China,Binzhou,2005-08-17,3,19.97,1.36,18.61,115
39,DEBRA,NELSON,Brazil,Vila Velha,2005-07-29,4,19.96,1.36,18.6,116
302,MICHAEL,SILVERMAN,China,Tiefa,2005-07-30,3,19.97,1.4,18.57,117
331,ERIC,ROBERT,Argentina,Santa F,2005-07-06,3,18.97,0.43,18.54,118
30,MELISSA,KING,Taiwan,Lungtan,2005-07-28,4,19.96,1.43,18.53,119
39,DEBRA,NELSON,Brazil,Vila Velha,2005-08-01,4,20.96,2.46,18.5,120
82,KATHRYN,COLEMAN,Ukraine,Simferopol,2005-07-30,3,19.97,1.5,18.47,121
259,LENA,JENSEN,India,Halisahar,2005-06-16,3,18.97,0.53,18.44,122
462,WARREN,SHERROD,Russian Federation,Usolje-Sibirskoje,2005-07-28,4,19.96,1.53,18.43,123
120,SYLVIA,ORTIZ,Colombia,Dos Quebradas,2005-08-21,3,19.97,1.56,18.41,124
373,LOUIS,LEONE,Philippines,Tanauan,2005-08-18,4,20.96,2.56,18.4,125
275,CAROLE,BARNETT,United States,Peoria,2005-08-21,4,19.96,1.56,18.4,126
451,JIM,REA,Mexico,El Fuerte,2005-08-02,4,19.96,1.56,18.4,127
181,ANA,BRADLEY,United States,Memphis,2005-07-30,3,19.97,1.6,18.37,128
240,MARLENE,WELCH,Japan,Iwaki,2005-07-27,3,18.97,0.6,18.37,129
149,VALERIE,BLACK,United States,Brockton,2005-06-18,3,18.97,0.6,18.37,130
237,TANYA,GILBERT,South Korea,Naju,2005-08-20,3,20.97,2.63,18.34,131
261,DEANNA,BYRD,Philippines,Tuguegarao,2005-06-17,3,18.97,0.67,18.31,132
273,PRISCILLA,LOWE,Mexico,Salamanca,2005-07-12,4,19.96,1.66,18.3,133
492,LESTER,KRAUS,India,Kanchrapara,2005-07-07,3,18.97,0.73,18.24,134
71,KATHY,JAMES,Philippines,Baybay,2005-07-10,3,18.97,0.83,18.14,135
27,SHIRLEY,ALLEN,Philippines,Davao,2005-07-31,3,18.97,0.93,18.04,136
384,ERNEST,STEPP,China,Huaian,2005-06-20,3,18.97,0.93,18.04,137
473,JORGE,OLIVARES,Indonesia,Lhokseumawe,2005-08-02,5,19.95,1.93,18.02,138
270,LEAH,CURTIS,Poland,Kalisz,2005-08-01,3,18.97,1.03,17.94,139
544,CODY,NOLEN,Brazil,So Bernardo do Campo,2005-08-21,3,18.97,1.03,17.94,139
279,DIANNE,SHELTON,Iran,Tabriz,2005-08-19,4,18.96,1.03,17.93,141
375,AARON,SELBY,"Congo, The Democratic Republic of the",Mwene-Ditu,2005-08-02,3,18.97,1.06,17.91,142
300,JOHN,FARNSWORTH,India,Parbhani,2005-07-28,3,18.97,1.06,17.91,143
441,MARIO,CHEATHAM,Algeria,Batna,2005-07-29,5,18.95,1.06,17.89,144
538,TED,BREAUX,China,Baicheng,2005-07-31,3,18.97,1.1,17.87,145
206,TERRI,VASQUEZ,Brazil,Blumenau,2005-08-19,3,18.97,1.1,17.87,146
172,BERNICE,WILLIS,Turkey,Batman,2005-07-08,3,17.97,0.13,17.84,147
376,RANDY,GAITHER,Russian Federation,Kurgan,2005-07-12,3,18.97,1.16,17.81,148
84,SARA,PERRY,Mexico,Atlixco,2005-07-11,3,18.97,1.2,17.77,149
84,SARA,PERRY,Mexico,Atlixco,2005-08-02,4,19.96,2.2,17.76,150
335,GREGORY,MAULDIN,Tunisia,Sousse,2005-07-07,4,17.96,0.2,17.76,151
257,MARSHA,DOUGLAS,Mozambique,Beira,2005-07-27,5,18.95,1.2,17.75,152
273,PRISCILLA,LOWE,Mexico,Salamanca,2005-08-01,3,19.97,2.26,17.71,153
321,KEVIN,SCHULER,Nepal,Birgunj,2005-08-17,3,17.97,0.27,17.7,154
497,GILBERT,SLEDGE,United Kingdom,York,2005-06-18,3,17.97,0.27,17.7,155
453,CALVIN,MARTEL,Venezuela,Maracabo,2005-08-21,4,18.96,1.26,17.7,156
472,GREG,ROBINS,Vietnam,Nam Dinh,2005-07-11,3,18.97,1.3,17.67,157
265,JENNIE,TERRY,Czech Republic,Olomouc,2005-08-21,3,18.97,1.4,17.57,158
346,ARTHUR,SIMPKINS,Russian Federation,Maikop,2005-08-23,5,19.95,2.43,17.52,159
228,ALLISON,STANLEY,Cambodia,Phnom Penh,2005-07-06,4,17.96,0.47,17.49,160
354,JUSTIN,NGO,Brazil,Santo Andr,2005-07-29,3,18.97,1.5,17.47,161
117,EDITH,MCDONALD,India,Gandhinagar,2005-08-18,4,17.96,0.5,17.46,162
349,JOE,GILLILAND,Philippines,Imus,2005-08-02,3,18.97,1.53,17.44,163
100,ROBIN,HAYES,Russian Federation,Jelets,2005-07-09,3,18.97,1.53,17.44,164
541,DARREN,WINDHAM,Italy,Livorno,2005-08-22,5,18.95,1.53,17.42,165
414,VINCENT,RALSTON,Mexico,Allende,2005-08-19,5,17.95,0.56,17.39,166
178,MARION,SNYDER,Brazil,Santa Brbara dOeste,2005-07-09,3,18.97,1.6,17.37,167
283,FELICIA,SUTTON,China,Korla,2005-07-06,4,17.96,0.6,17.36,168
139,AMBER,DIXON,Taiwan,Touliu,2005-07-09,3,17.97,0.63,17.34,169
131,MONICA,HICKS,Ukraine,Mukateve,2005-08-19,4,18.96,1.66,17.3,170
245,COURTNEY,DAY,South Korea,Uijongbu,2005-07-27,5,17.95,0.67,17.29,171
71,KATHY,JAMES,Philippines,Baybay,2005-07-29,5,18.95,1.7,17.25,172
247,STELLA,MORENO,Mexico,Coacalco de Berriozbal,2005-08-18,3,17.97,0.73,17.24,173
581,VIRGIL,WOFFORD,Mexico,Jos Azueta,2005-07-08,4,17.96,0.76,17.2,174
517,BRAD,MCCURDY,Taiwan,Chungho,2005-07-07,4,17.96,0.77,17.2,175
234,CLAUDIA,FULLER,Kuwait,Jalib al-Shuyukh,2005-08-02,4,17.96,0.77,17.2,175
532,NEIL,RENNER,Vietnam,Cam Ranh,2005-08-19,3,18.97,1.8,17.17,177
410,CURTIS,IRBY,Canada,Richmond Hill,2005-07-09,4,17.96,0.83,17.13,178
388,CRAIG,MORRELL,Philippines,Cavite,2005-08-18,4,17.96,0.86,17.1,179
210,ELLA,OLIVER,Yemen,Aden,2005-07-08,3,17.97,0.9,17.07,180
66,JANICE,WARD,Sweden,Malm,2005-07-11,3,18.97,2.0,16.97,181
583,MARSHALL,THORN,United Kingdom,Southampton,2005-07-06,3,17.97,1.0,16.97,182
587,SERGIO,STANFIELD,Mexico,Celaya,2005-07-31,3,17.97,1.03,16.94,183
148,ELEANOR,HUNT,Runion,Saint-Denis,2005-07-29,4,18.96,2.03,16.93,184
494,RAMON,CHOATE,Ecuador,Robamba,2005-07-31,3,18.97,2.06,16.91,185
102,CRYSTAL,FORD,Israel,Ashdod,2005-07-09,3,17.97,1.06,16.91,186
508,MILTON,HOWLAND,India,Vijayawada,2005-07-27,3,17.97,1.07,16.91,187
447,CLIFFORD,BOWENS,Russian Federation,Nabereznyje Telny,2005-07-30,3,17.97,1.1,16.87,188
266,NORA,HERRERA,Austria,Salzburg,2005-08-18,4,17.96,1.1,16.86,189
38,MARTHA,GONZALEZ,Moldova,Chisinau,2005-07-27,4,17.96,1.1,16.86,190
289,VIOLET,RODRIQUEZ,Hong Kong,Kowloon and New Kowloon,2005-08-19,4,17.96,1.1,16.86,190
41,STEPHANIE,MITCHELL,Armenia,Yerevan,2005-07-28,4,17.96,1.1,16.86,192
112,ROSA,REYNOLDS,United States,Lancaster,2005-07-31,4,17.96,1.1,16.86,192
144,CLARA,SHAW,Belarus,Molodetno,2005-07-09,3,17.97,1.13,16.84,194
1,MARY,SMITH,Japan,Sasebo,2005-06-15,3,16.97,0.13,16.84,195
368,HARRY,ARCE,Iran,Najafabad,2005-08-19,4,17.96,1.23,16.73,196
146,JAMIE,RICE,United States,Sterling Heights,2005-08-02,4,17.96,1.23,16.73,197
31,BRENDA,WRIGHT,India,Kamarhati,2005-06-18,4,16.96,0.23,16.73,198
566,CASEY,MENA,Turkey,Tokat,2005-07-29,5,17.95,1.23,16.72,199
595,TERRENCE,GUNDERSON,China,Jinzhou,2005-07-31,3,18.97,2.26,16.71,200
295,DAISY,BATES,Russian Federation,Kolpino,2005-07-31,3,18.97,2.3,16.68,201
446,THEODORE,CULP,India,Uluberia,2005-07-29,4,17.96,1.3,16.66,202
319,RONALD,WEINER,Mexico,San Felipe del Progreso,2005-08-17,5,16.95,0.3,16.65,203
465,FLOYD,GANDY,Mexico,Zapopan,2005-08-17,3,16.97,0.33,16.64,204
2,PATRICIA,JOHNSON,United States,San Bernardino,2005-07-27,3,16.97,0.33,16.64,205
230,JOY,GEORGE,Romania,Botosani,2005-07-31,3,17.97,1.36,16.61,206
297,SHERRI,RHODES,India,Ahmadnagar,2005-06-18,3,16.97,0.4,16.57,207
485,CLYDE,TOBIAS,China,Shaoguan,2005-07-30,4,17.96,1.4,16.56,208
113,CINDY,FISHER,Venezuela,Cuman,2005-06-20,3,16.97,0.43,16.54,209
238,NELLIE,GARRETT,India,Shimoga,2005-07-29,3,16.97,0.43,16.54,210
51,ALICE,STEWART,United States,Fontana,2005-07-09,3,16.97,0.43,16.54,211
260,CHRISTY,VARGAS,China,Datong,2005-06-17,3,16.97,0.43,16.54,212
535,JAVIER,ELROD,Chad,NDjamna,2005-07-08,3,16.97,0.5,16.47,213
63,ASHLEY,RICHARDSON,United States,Lincoln,2005-07-10,3,16.97,0.5,16.47,213
481,HERMAN,DEVORE,Tanzania,Mwanza,2005-07-08,4,16.96,0.5,16.46,215
260,CHRISTY,VARGAS,China,Datong,2005-08-21,3,17.97,1.56,16.41,216
237,TANYA,GILBERT,South Korea,Naju,2005-07-28,3,16.97,0.57,16.4,217
197,SUE,PETERS,China,Changzhou,2005-08-02,4,17.96,1.63,16.33,218
253,TERRY,CARLSON,Japan,Miyakonojo,2005-08-21,3,17.97,1.66,16.31,219
266,NORA,HERRERA,Austria,Salzburg,2005-08-20,3,17.97,1.7,16.27,220
498,GENE,SANBORN,Oman,Salala,2005-07-27,3,16.97,0.7,16.27,221
98,LILLIAN,GRIFFIN,United Arab Emirates,al-Ayn,2005-07-29,3,16.97,0.7,16.27,222
90,RUBY,WASHINGTON,China,Meixian,2005-08-01,3,17.97,1.73,16.24,223
201,VICKI,FIELDS,Germany,Witten,2005-08-20,3,16.97,0.73,16.24,224
357,KEITH,RICO,Slovakia,Bratislava,2005-07-11,3,16.97,0.76,16.21,225
276,BRANDY,GRAVES,United States,Warren,2005-07-30,4,16.96,0.76,16.2,226
30,MELISSA,KING,Taiwan,Lungtan,2005-07-09,3,16.97,0.8,16.17,227
538,TED,BREAUX,China,Baicheng,2005-07-09,3,16.97,0.8,16.17,228
407,DALE,RATCLIFF,South Africa,Rustenburg,2005-08-02,3,17.97,1.83,16.14,229
142,APRIL,BURNS,United Kingdom,Dundee,2005-07-30,3,16.97,0.83,16.14,230
336,JOSHUA,MARK,India,Rampur,2005-07-29,3,16.97,0.83,16.14,231
175,ANNETTE,OLSON,India,Allappuzha (Alleppey),2005-07-29,4,16.96,0.83,16.13,232
274,NAOMI,JENNINGS,India,Karnal,2005-08-20,3,17.97,1.86,16.11,233
204,ROSEMARY,SCHMIDT,Turkey,Usak,2005-08-22,3,17.97,1.86,16.11,234
266,NORA,HERRERA,Austria,Salzburg,2005-08-02,3,16.97,0.86,16.11,235
200,JEANNE,LAWSON,Turkmenistan,Ashgabat,2005-08-23,3,17.97,1.9,16.07,236
68,NICOLE,PETERSON,India,Shivapuri,2005-07-31,3,16.97,0.9,16.07,237
520,MITCHELL,WESTMORELAND,Vietnam,Nha Trang,2005-08-18,3,16.97,0.93,16.04,238
451,JIM,REA,Mexico,El Fuerte,2005-07-08,3,16.97,0.93,16.04,239
81,ANDREA,HENDERSON,Madagascar,Mahajanga,2005-08-21,3,16.97,0.93,16.04,240
597,FREDDIE,DUGGAN,Peru,Sullana,2005-08-02,4,16.96,0.93,16.03,241
560,JORDAN,ARCHULETA,Argentina,Avellaneda,2005-08-01,3,17.97,2.0,15.97,242
340,PATRICK,NEWSOM,Vietnam,Hanoi,2005-08-01,4,16.96,1.03,15.93,243
188,MELANIE,ARMSTRONG,Philippines,Bayugan,2005-08-01,4,16.96,1.06,15.9,244
29,ANGELA,HERNANDEZ,Japan,Shimonoseki,2005-06-19,5,15.95,0.07,15.88,245
173,AUDREY,RAY,Austria,Graz,2005-07-29,3,16.97,1.1,15.87,246
174,YVONNE,WATKINS,Venezuela,Ocumare del Tuy,2005-08-01,3,16.97,1.1,15.87,247
172,BERNICE,WILLIS,Turkey,Batman,2005-07-27,4,16.96,1.1,15.86,248
259,LENA,JENSEN,India,Halisahar,2005-08-23,4,18.96,3.16,15.8,249
272,KAY,CALDWELL,China,Yantai,2005-08-17,3,16.97,1.2,15.77,250
193,KATIE,ELLIOTT,Kenya,Kisumu,2005-08-22,3,16.97,1.23,15.74,251
522,ARNOLD,HAVENS,Philippines,Santa Rosa,2005-08-01,4,18.96,3.23,15.73,252
226,MAUREEN,LITTLE,Paraguay,Asuncin,2005-08-23,4,16.96,1.23,15.73,253
259,LENA,JENSEN,India,Halisahar,2005-08-20,3,17.97,2.3,15.67,254
21,MICHELLE,CLARK,Bangladesh,Tangail,2005-06-18,3,15.97,0.3,15.67,255
370,WAYNE,TRUONG,India,Gulbarga,2005-07-27,3,15.97,0.3,15.67,256
490,SAM,MCDUFFIE,Colombia,Sogamoso,2005-07-12,3,16.97,1.33,15.64,257
470,GORDON,ALLARD,Yemen,Hodeida,2005-07-06,3,15.97,0.33,15.64,258
109,EDNA,WEST,South Africa,Klerksdorp,2005-05-31,3,15.97,0.4,15.57,259
526,KARL,SEAL,United States,Cape Coral,2005-07-27,4,16.96,1.4,15.56,260
340,PATRICK,NEWSOM,Vietnam,Hanoi,2005-07-29,4,15.96,0.4,15.56,261
536,FERNANDO,CHURCHILL,South Korea,Tonghae,2005-08-17,3,16.97,1.43,15.54,262
434,EDDIE,TOMLIN,Philippines,Ozamis,2005-06-18,3,15.97,0.43,15.54,263
176,JUNE,CARROLL,Algeria,Skikda,2005-06-18,4,16.96,1.43,15.53,264
144,CLARA,SHAW,Belarus,Molodetno,2005-07-30,4,17.96,2.5,15.46,265
487,HECTOR,POINDEXTER,Russian Federation,Pjatigorsk,2005-08-01,3,16.97,1.56,15.41,266
532,NEIL,RENNER,Vietnam,Cam Ranh,2005-07-09,3,15.97,0.57,15.4,267
380,RUSSELL,BRINSON,Poland,Tychy,2005-07-27,4,15.96,0.57,15.4,268
236,MARCIA,DEAN,Philippines,Tanza,2005-08-21,3,17.97,2.59,15.38,269
458,LLOYD,DOWD,Indonesia,Tegal,2005-07-12,3,15.97,0.6,15.37,270
387,JESSE,SCHILLING,"Congo, The Democratic Republic of the",Lubumbashi,2005-08-19,3,15.97,0.6,15.37,270
184,VIVIAN,RUIZ,Netherlands,s-Hertogenbosch,2005-08-18,3,15.97,0.6,15.37,272
594,EDUARDO,HIATT,China,Jining,2005-07-31,3,16.97,1.63,15.34,273
112,ROSA,REYNOLDS,United States,Lancaster,2005-08-17,3,16.97,1.63,15.34,274
515,ANDRE,RAPP,Chile,Coquimbo,2005-08-17,3,15.97,0.63,15.34,275
104,RITA,GRAHAM,France,Toulon,2005-07-08,3,15.97,0.7,15.27,276
316,STEVEN,CURLEY,India,Miraj,2005-07-27,4,15.96,0.7,15.26,277
267,MARGIE,WADE,China,Lengshuijiang,2005-07-30,3,15.97,0.73,15.24,278
199,BETH,FRANKLIN,Vietnam,Haiphong,2005-08-01,3,16.97,1.76,15.21,279
205,EILEEN,CARR,Paraguay,Ciudad del Este,2005-08-21,4,15.96,0.8,15.16,280
347,RYAN,SALISBURY,Latvia,Daugavpils,2005-07-28,4,15.96,0.83,15.13,281
179,DANA,HART,Russian Federation,Kirovo-Tepetsk,2005-08-20,3,16.97,1.86,15.11,282
78,LORI,WOOD,India,Rae Bareli,2005-07-28,3,15.97,0.86,15.11,283
170,BEATRICE,ARNOLD,India,Udaipur,2005-07-10,3,15.97,0.9,15.07,284
582,ANDY,VANHORN,Mexico,Huejutla de Reyes,2005-07-29,3,15.97,0.93,15.04,285
155,GAIL,KNIGHT,Switzerland,Bern,2005-07-11,3,15.97,1.0,14.97,286
108,TRACY,COLE,Mexico,Huixquilucan,2005-07-29,3,15.97,1.03,14.94,287
410,CURTIS,IRBY,Canada,Richmond Hill,2005-07-27,3,15.97,1.03,14.94,288
