customer_id,customer_name,city_name,country_name,payment_date,payment_count,total_amount,max_payment,r_or_nc17_payment_share,country_amount_rank
254,MAXINE SILVA,Poos de Caldas,Brazil,2005-07-09,3,9.97,3.99,0.3333,94
362,NICHOLAS BARFIELD,Belm,Brazil,2005-07-27,3,9.97,4.99,0.6667,94
591,KENT ARSENAULT,Juiz de Fora,Brazil,2005-07-28,3,9.97,4.99,0.0,94
126,ELLEN SIMPSON,Po,Brazil,2005-08-17,3,9.97,4.99,0.3333,94
229,TAMARA NGUYEN,Anpolis,Brazil,2005-08-19,3,8.97,4.99,0.6667,110
74,DENISE KELLY,Rio Claro,Brazil,2005-08-20,3,8.97,5.99,0.0,110
551,CLAYTON BARBEE,Alvorada,Brazil,2005-08-21,3,8.97,4.99,0.6667,110
77,JANE BENNETT,Araatuba,Brazil,2005-08-02,4,7.96,2.99,0.75,148
74,DENISE KELLY,Rio Claro,Brazil,2005-08-23,3,6.97,4.99,0.3333,184
354,JUSTIN NGO,Santo Andr,Brazil,2005-07-27,3,4.97,2.99,0.3333,327
254,MAXINE SILVA,Poos de Caldas,Brazil,2005-08-18,3,4.97,2.99,0.6667,327
91,LOIS BUTLER,Bandar Seri Begawan,Brunei,2005-07-07,3,12.97,4.99,1.0,1
91,LOIS BUTLER,Bandar Seri Begawan,Brunei,2005-08-19,3,10.97,4.99,0.6667,2
91,LOIS BUTLER,Bandar Seri Begawan,Brunei,2005-08-22,3,9.97,4.99,0.3333,3
91,LOIS BUTLER,Bandar Seri Begawan,Brunei,2005-07-30,3,8.97,4.99,0.3333,4
540,TYRONE ASHER,Ruse,Bulgaria,2005-08-02,4,24.96,8.99,0.25,1
540,TYRONE ASHER,Ruse,Bulgaria,2005-07-11,3,13.97,7.99,0.3333,2
215,JESSIE BANKS,Stara Zagora,Bulgaria,2005-08-23,4,9.96,2.99,0.5,5
228,ALLISON STANLEY,Phnom Penh,Cambodia,2005-07-06,4,17.96,8.99,0.5,1
516,ELMER NOE,Battambang,Cambodia,2005-07-29,3,13.97,5.99,0.3333,3
352,ALBERT CROUSE,Bamenda,Cameroon,2005-07-27,4,22.96,7.99,0.5,1
361,LAWRENCE LAWTON,Yaound,Cameroon,2005-08-02,4,15.96,5.99,0.5,2
352,ALBERT CROUSE,Bamenda,Cameroon,2005-06-16,3,14.97,4.99,0.6667,3
352,ALBERT CROUSE,Bamenda,Cameroon,2005-08-17,3,13.97,6.99,0.3333,4
361,LAWRENCE LAWTON,Yaound,Cameroon,2005-07-12,3,7.97,4.99,0.3333,10
476,DERRICK BOURQUE,Gatineau,Canada,2005-08-01,3,21.97,9.99,0.6667,1
410,CURTIS IRBY,Richmond Hill,Canada,2005-07-09,4,17.96,5.99,0.25,4
410,CURTIS IRBY,Richmond Hill,Canada,2005-07-27,3,15.97,5.99,0.3333,6
410,CURTIS IRBY,Richmond Hill,Canada,2005-08-20,3,14.97,6.99,0.3333,7
436,TROY QUIGLEY,Vancouver,Canada,2005-08-17,3,13.97,5.99,0.3333,8
410,CURTIS IRBY,Richmond Hill,Canada,2005-08-21,3,13.97,4.99,0.6667,8
436,TROY QUIGLEY,Vancouver,Canada,2005-08-20,4,13.96,5.99,0.5,10
410,CURTIS IRBY,Richmond Hill,Canada,2005-08-22,3,9.97,3.99,0.6667,20
436,TROY QUIGLEY,Vancouver,Canada,2005-07-08,3,8.97,4.99,0.3333,23
535,JAVIER ELROD,NDjamna,Chad,2005-07-08,3,16.97,6.99,0.6667,2
535,JAVIER ELROD,NDjamna,Chad,2005-08-18,5,11.95,4.99,0.4,4
45,JANET PHILLIPS,Antofagasta,Chile,2005-08-02,5,27.95,8.99,0.2,1
515,ANDRE RAPP,Coquimbo,Chile,2005-08-17,3,15.97,6.99,0.3333,4
129,CARRIE PORTER,Liaocheng,China,2005-07-31,4,26.96,7.99,0.5,1
267,MARGIE WADE,Lengshuijiang,China,2005-06-19,4,22.96,7.99,0.25,2
129,CARRIE PORTER,Liaocheng,China,2005-08-20,4,21.96,10.99,0.5,3
424,KYLE SPURLOCK,Shanwei,China,2005-07-31,3,20.97,8.99,0.6667,5
546,KELLY KNOTT,Sanya,China,2005-07-12,3,19.97,9.99,0.6667,6
302,MICHAEL SILVERMAN,Tiefa,China,2005-07-30,3,19.97,8.99,0.3333,6
533,JESSIE MILAM,Binzhou,China,2005-08-17,3,19.97,8.99,0.0,6
93,PHYLLIS FOSTER,Zalantun,China,2005-08-20,4,19.96,8.99,0.5,9
384,ERNEST STEPP,Huaian,China,2005-06-20,3,18.97,9.99,0.3333,10
538,TED BREAUX,Baicheng,China,2005-07-31,3,18.97,8.99,0.3333,10
595,TERRENCE GUNDERSON,Jinzhou,China,2005-07-31,3,18.97,10.99,0.0,10
90,RUBY WASHINGTON,Meixian,China,2005-08-01,3,17.97,7.99,0.3333,13
260,CHRISTY VARGAS,Datong,China,2005-08-21,3,17.97,7.99,0.6667,13
283,FELICIA SUTTON,Korla,China,2005-07-06,4,17.96,6.99,0.75,15
485,CLYDE TOBIAS,Shaoguan,China,2005-07-30,4,17.96,6.99,0.5,15
197,SUE PETERS,Changzhou,China,2005-08-02,4,17.96,4.99,0.25,15
260,CHRISTY VARGAS,Datong,China,2005-06-17,3,16.97,10.99,0.3333,19
538,TED BREAUX,Baicheng,China,2005-07-09,3,16.97,8.99,0.0,19
594,EDUARDO HIATT,Jining,China,2005-07-31,3,16.97,7.99,0.0,19
272,KAY CALDWELL,Yantai,China,2005-08-17,3,16.97,8.99,0.3333,19
550,GUY BROWNLEE,Zhoushan,China,2005-08-21,3,16.97,6.99,0.6667,19
302,MICHAEL SILVERMAN,Tiefa,China,2005-08-23,4,16.96,6.99,0.0,24
267,MARGIE WADE,Lengshuijiang,China,2005-07-30,3,15.97,6.99,0.6667,27
242,GLENDA FRAZIER,Qinhuangdao,China,2005-08-01,3,15.97,9.99,1.0,27
154,MICHELE GRANT,Yuncheng,China,2005-08-22,3,15.97,7.99,0.6667,27
550,GUY BROWNLEE,Zhoushan,China,2005-08-23,3,15.97,9.99,0.6667,27
242,GLENDA FRAZIER,Qinhuangdao,China,2005-06-15,3,14.97,4.99,0.3333,34
211,STACEY MONTGOMERY,Fuyu,China,2005-07-10,3,14.97,5.99,1.0,34
484,ROBERTO VU,Yinchuan,China,2005-07-10,3,14.97,6.99,0.6667,34
241,HEIDI LARSON,Xiangfan,China,2005-07-11,3,14.97,6.99,1.0,34
154,MICHELE GRANT,Yuncheng,China,2005-07-27,3,14.97,4.99,0.6667,34
138,HAZEL WARREN,Hohhot,China,2005-08-01,3,14.97,5.99,0.0,34
552,HUGH WALDROP,Haining,China,2005-08-02,3,14.97,7.99,0.3333,34
595,TERRENCE GUNDERSON,Jinzhou,China,2005-07-27,4,14.96,4.99,0.25,42
424,KYLE SPURLOCK,Shanwei,China,2005-07-30,4,14.96,4.99,0.25,42
569,DAVE GARDINER,Leshan,China,2005-08-02,4,14.96,6.99,0.5,42
37,PAMELA BAKER,Nanyang,China,2005-08-20,4,14.96,8.99,0.25,42
422,MELVIN ELLINGTON,Laohekou,China,2005-08-22,4,14.96,4.99,1.0,42
129,CARRIE PORTER,Liaocheng,China,2005-08-01,5,14.95,4.99,0.8,47
64,JUDITH COX,Daxian,China,2005-07-08,3,13.97,5.99,0.3333,57
533,JESSIE MILAM,Binzhou,China,2005-07-12,3,13.97,9.99,0.3333,57
90,RUBY WASHINGTON,Meixian,China,2005-07-27,3,13.97,5.99,0.0,57
495,CHARLIE BESS,Baiyin,China,2005-07-29,3,13.97,5.99,0.6667,57
64,JUDITH COX,Daxian,China,2005-07-31,3,13.97,6.99,0.3333,57
168,REGINA BERRY,Jinchang,China,2005-08-17,3,13.97,10.99,0.3333,57
466,LEO EBERT,Dongying,China,2005-08-20,3,13.97,5.99,0.3333,57
389,ALAN KAHN,Emeishan,China,2005-08-21,3,13.97,7.99,0.6667,57
151,MEGAN PALMER,Laiwu,China,2005-08-22,3,13.97,4.99,0.6667,57
588,MARION OCAMPO,Weifang,China,2005-07-29,4,13.96,4.99,0.25,66
514,FRANKLIN TROUTMAN,Zaoyang,China,2005-08-18,4,13.96,4.99,0.75,66
384,ERNEST STEPP,Huaian,China,2005-07-10,3,12.97,4.99,0.6667,77
339,WALTER PERRYMAN,Xinxiang,China,2005-08-17,3,12.97,5.99,0.3333,77
550,GUY BROWNLEE,Zhoushan,China,2005-08-17,3,12.97,4.99,0.0,77
197,SUE PETERS,Changzhou,China,2005-08-01,4,12.96,4.99,0.0,80
569,DAVE GARDINER,Leshan,China,2005-05-28,3,11.97,4.99,0.0,96
442,LEROY BUSTAMANTE,Tongliao,China,2005-07-07,3,11.97,5.99,0.3333,96
138,HAZEL WARREN,Hohhot,China,2005-07-28,3,11.97,4.99,0.6667,96
168,REGINA BERRY,Jinchang,China,2005-07-30,3,11.97,4.99,0.3333,96
138,HAZEL WARREN,Hohhot,China,2005-07-31,3,11.97,9.99,0.3333,96
521,ROLAND SOUTH,Yingkou,China,2005-08-17,3,11.97,4.99,0.0,96
211,STACEY MONTGOMERY,Fuyu,China,2005-08-18,3,11.97,5.99,0.3333,96
138,HAZEL WARREN,Hohhot,China,2005-08-21,3,11.97,4.99,1.0,96
384,ERNEST STEPP,Huaian,China,2005-08-22,3,11.97,5.99,0.0,96
546,KELLY KNOTT,Sanya,China,2005-08-22,3,11.97,4.99,1.0,96
595,TERRENCE GUNDERSON,Jinzhou,China,2005-07-30,4,11.96,4.99,0.75,106
485,CLYDE TOBIAS,Shaoguan,China,2005-07-09,3,10.97,3.99,0.0,122
168,REGINA BERRY,Jinchang,China,2005-07-29,3,10.97,6.99,0.0,122
302,MICHAEL SILVERMAN,Tiefa,China,2005-07-29,3,10.97,6.99,0.3333,122
594,EDUARDO HIATT,Jining,China,2005-07-29,3,10.97,5.99,0.0,122
151,MEGAN PALMER,Laiwu,China,2005-07-31,3,10.97,4.99,0.3333,122
389,ALAN KAHN,Emeishan,China,2005-08-02,3,10.97,4.99,0.0,122
67,KELLY TORRES,Xiangtan,China,2005-08-20,3,10.97,4.99,0.3333,122
521,ROLAND SOUTH,Yingkou,China,2005-08-21,3,10.97,5.99,0.3333,122
211,STACEY MONTGOMERY,Fuyu,China,2005-08-22,3,10.97,7.99,0.0,122
260,CHRISTY VARGAS,Datong,China,2005-08-20,4,10.96,3.99,0.25,131
129,CARRIE PORTER,Liaocheng,China,2005-06-19,3,9.97,4.99,1.0,168
569,DAVE GARDINER,Leshan,China,2005-07-30,3,9.97,4.99,0.6667,168
564,BOB PFEIFFER,Xintai,China,2005-08-01,3,9.97,4.99,0.3333,168
442,LEROY BUSTAMANTE,Tongliao,China,2005-08-19,3,9.97,7.99,0.3333,168
588,MARION OCAMPO,Weifang,China,2005-08-22,3,9.97,4.99,0.0,168
302,MICHAEL SILVERMAN,Tiefa,China,2005-07-10,4,9.96,4.99,0.25,173
533,JESSIE MILAM,Binzhou,China,2005-07-29,4,9.96,2.99,0.75,173
241,HEIDI LARSON,Xiangfan,China,2005-07-09,3,8.97,4.99,0.0,209
552,HUGH WALDROP,Haining,China,2005-07-28,3,8.97,2.99,0.3333,209
550,GUY BROWNLEE,Zhoushan,China,2005-07-31,3,8.97,4.99,0.6667,209
599,AUSTIN CINTRON,Tieli,China,2005-08-21,3,8.97,4.99,0.6667,209
197,SUE PETERS,Changzhou,China,2005-08-22,3,8.97,4.99,0.0,209
241,HEIDI LARSON,Xiangfan,China,2005-06-18,3,7.97,5.99,0.3333,286
151,MEGAN PALMER,Laiwu,China,2005-06-20,3,7.97,3.99,0.6667,286
424,KYLE SPURLOCK,Shanwei,China,2005-07-08,3,7.97,5.99,0.3333,286
64,JUDITH COX,Daxian,China,2005-07-09,3,7.97,3.99,0.3333,286
211,STACEY MONTGOMERY,Fuyu,China,2005-07-12,3,7.97,4.99,0.3333,286
569,DAVE GARDINER,Leshan,China,2005-08-18,3,7.97,3.99,0.0,286
197,SUE PETERS,Changzhou,China,2005-06-15,3,6.97,2.99,0.3333,348
129,CARRIE PORTER,Liaocheng,China,2005-07-06,3,6.97,4.99,1.0,348
129,CARRIE PORTER,Liaocheng,China,2005-07-09,3,6.97,4.99,1.0,348
138,HAZEL WARREN,Hohhot,China,2005-08-02,3,6.97,4.99,0.0,348
595,TERRENCE GUNDERSON,Jinzhou,China,2005-08-23,3,6.97,2.99,0.0,348
283,FELICIA SUTTON,Korla,China,2005-07-11,4,6.96,2.99,0.25,354
151,MEGAN PALMER,Laiwu,China,2005-07-12,3,5.97,3.99,0.3333,424
64,JUDITH COX,Daxian,China,2005-07-27,3,5.97,2.99,0.3333,424
435,RICKY SHELBY,Junan,China,2005-08-17,3,5.97,3.99,0.6667,424
93,PHYLLIS FOSTER,Zalantun,China,2005-08-23,3,5.97,2.99,0.3333,424
110,TIFFANY JORDAN,Enshi,China,2005-07-27,3,4.97,2.99,0.6667,578
283,FELICIA SUTTON,Korla,China,2005-08-17,3,4.97,2.99,0.6667,578
485,CLYDE TOBIAS,Shaoguan,China,2005-07-06,3,3.97,1.99,0.6667,657
64,JUDITH COX,Daxian,China,2005-07-12,3,3.97,1.99,0.0,657
120,SYLVIA ORTIZ,Dos Quebradas,Colombia,2005-08-21,3,19.97,9.99,0.6667,1
490,SAM MCDUFFIE,Sogamoso,Colombia,2005-07-12,3,16.97,8.99,0.6667,3
87,WANDA PATTERSON,Sincelejo,Colombia,2005-08-18,3,15.97,8.99,0.3333,4
235,JACKIE LYNCH,Buenaventura,Colombia,2005-07-06,3,14.97,6.99,0.6667,5
460,LEON BOSTIC,Florencia,Colombia,2005-08-19,3,13.97,8.99,0.3333,6
87,WANDA PATTERSON,Sincelejo,Colombia,2005-07-30,3,12.97,8.99,0.6667,7
87,WANDA PATTERSON,Sincelejo,Colombia,2005-08-20,3,12.97,10.99,0.3333,7
235,JACKIE LYNCH,Buenaventura,Colombia,2005-07-31,3,11.97,6.99,0.3333,12
120,SYLVIA ORTIZ,Dos Quebradas,Colombia,2005-07-07,3,10.97,5.99,0.3333,17
375,AARON SELBY,Mwene-Ditu,"Congo, The Democratic Republic of the",2005-08-02,3,18.97,6.99,0.3333,1
387,JESSE SCHILLING,Lubumbashi,"Congo, The Democratic Republic of the",2005-08-19,3,15.97,6.99,0.6667,2
375,AARON SELBY,Mwene-Ditu,"Congo, The Democratic Republic of the",2005-08-01,4,8.96,4.99,0.25,7
265,JENNIE TERRY,Olomouc,Czech Republic,2005-08-21,3,18.97,6.99,0.0,1
265,JENNIE TERRY,Olomouc,Czech Republic,2005-07-29,3,9.97,5.99,0.3333,6
258,MYRTLE FLEMING,Santiago de los Caballeros,Dominican Republic,2005-08-01,5,20.95,6.99,0.2,1
258,MYRTLE FLEMING,Santiago de los Caballeros,Dominican Republic,2005-08-20,3,14.97,6.99,1.0,2
437,RANDALL NEUMANN,La Romana,Dominican Republic,2005-08-20,3,12.97,7.99,0.3333,3
418,JEFF EAST,San Felipe de Puerto Plata,Dominican Republic,2005-07-08,3,11.97,7.99,0.3333,4
418,JEFF EAST,San Felipe de Puerto Plata,Dominican Republic,2005-08-02,4,11.96,3.99,0.5,5
262,PATSY DAVIDSON,Portoviejo,Ecuador,2005-07-12,4,26.96,7.99,0.0,1
494,RAMON CHOATE,Robamba,Ecuador,2005-08-22,4,26.96,9.99,0.5,1
494,RAMON CHOATE,Robamba,Ecuador,2005-07-31,3,18.97,7.99,0.3333,3
262,PATSY DAVIDSON,Portoviejo,Ecuador,2005-08-23,4,14.96,4.99,1.0,6
494,RAMON CHOATE,Robamba,Ecuador,2005-07-30,3,12.97,4.99,1.0,8
589,TRACY HERRMANN,Loja,Ecuador,2005-08-21,3,8.97,6.99,0.3333,16
494,RAMON CHOATE,Robamba,Ecuador,2005-07-06,3,4.97,2.99,0.6667,38
423,ALFRED CASILLAS,Sawhaj,Egypt,2005-07-27,5,24.95,9.99,0.4,1
134,EMMA BOYD,Qalyub,Egypt,2005-08-02,4,20.96,6.99,0.5,2
119,SHERRY MARSHALL,Shubra al-Khayma,Egypt,2005-08-22,3,15.97,6.99,0.3333,3
119,SHERRY MARSHALL,Shubra al-Khayma,Egypt,2005-08-21,4,14.96,6.99,0.5,5
559,EVERETT BANDA,Bilbays,Egypt,2005-08-19,3,13.97,6.99,0.3333,9
119,SHERRY MARSHALL,Shubra al-Khayma,Egypt,2005-08-01,3,11.97,4.99,0.6667,14
233,LILLIE KIM,Idfu,Egypt,2005-06-18,3,10.97,4.99,0.0,18
444,MARCUS HIDALGO,Tartu,Estonia,2005-06-15,3,6.97,3.99,0.3333,7
444,MARCUS HIDALGO,Tartu,Estonia,2005-08-20,3,4.97,2.99,0.3333,14
392,SEAN DOUGLASS,Addis Abeba,Ethiopia,2005-08-21,3,12.97,5.99,0.3333,2
317,EDWARD BAUGH,Trshavn,Faroe Islands,2005-08-22,3,12.97,4.99,0.6667,2
104,RITA GRAHAM,Toulon,France,2005-07-08,3,15.97,7.99,0.6667,2
162,LAUREN HUDSON,Le Mans,France,2005-07-31,3,14.97,7.99,0.6667,3
104,RITA GRAHAM,Toulon,France,2005-08-19,4,11.96,4.99,0.0,5
35,VIRGINIA GREEN,Toulouse,France,2005-08-21,3,8.97,4.99,0.3333,13
35,VIRGINIA GREEN,Toulouse,France,2005-07-09,3,4.97,2.99,0.3333,38
65,ROSE HOWARD,Cayenne,French Guiana,2005-08-02,3,19.97,8.99,0.6667,1
584,SALVADOR TEEL,Banjul,Gambia,2005-08-21,3,16.97,5.99,0.0,2
584,SALVADOR TEEL,Banjul,Gambia,2005-08-02,3,10.97,4.99,0.3333,4
196,ALMA AUSTIN,Mannheim,Germany,2005-07-31,3,22.97,10.99,0.0,1
201,VICKI FIELDS,Witten,Germany,2005-08-20,3,16.97,9.99,0.0,3
251,VICKIE BREWER,Halle/Saale,Germany,2005-08-19,3,12.97,6.99,0.0,8
251,VICKIE BREWER,Halle/Saale,Germany,2005-05-31,3,11.97,4.99,0.3333,13
114,GRACE ELLIS,Duisburg,Germany,2005-07-27,3,8.97,2.99,0.0,30
114,GRACE ELLIS,Duisburg,Germany,2005-08-23,4,8.96,3.99,0.5,31
227,COLLEEN BURTON,Saarbrcken,Germany,2005-07-29,3,6.97,4.99,0.3333,49
448,MIGUEL BETANCOURT,Erlangen,Germany,2005-07-07,3,5.97,2.99,0.3333,61
196,ALMA AUSTIN,Mannheim,Germany,2005-07-29,3,3.97,1.99,0.0,97
3,LINDA WILLIAMS,Athenai,Greece,2005-07-28,4,24.96,7.99,0.5,1
596,ENRIQUE FORSYTHE,Patras,Greece,2005-07-11,3,8.97,4.99,0.0,8
