avg_payment_amount,customer_id,first_name,large_payment_count,last_name,payment_count,total_amount
4.12,125,ETHEL,1,WEBB,16,65.84
4.12,128,MARJORIE,0,TUCKER,16,65.84
4.12,362,NICHOLAS,1,BARFIELD,15,61.85
4.13,135,JUANITA,0,MASON,14,57.86
4.13,173,AUDREY,1,RAY,14,57.86
4.13,232,CONSTANCE,1,REID,14,57.86
4.13,581,VIRGIL,1,WOFFORD,14,57.86
4.14,529,ERIK,0,GUILLEN,13,53.87
4.14,79,RACHEL,1,BARNES,13,53.87
4.17,168,REGINA,0,BERRY,17,70.83
4.19,235,JACKIE,0,LYNCH,15,62.85
4.2,380,RUSSELL,2,BRINSON,14,58.86
4.2,468,TIM,0,CARY,14,58.86
4.22,386,TODD,1,TAN,13,54.87
4.24,1,MARY,0,SMITH,12,50.88
4.24,14,BETTY,0,WHITE,12,50.88
4.24,185,ROBERTA,2,HARPER,12,50.88
4.24,317,EDWARD,2,BAUGH,12,50.88
4.24,324,GARY,0,COY,12,50.88
4.24,517,BRAD,0,MCCURDY,12,50.88
4.26,576,MORRIS,1,MCCARTER,15,63.85
4.28,300,JOHN,1,FARNSWORTH,14,59.86
4.28,404,STANLEY,1,SCROGGINS,14,59.86
4.28,560,JORDAN,1,ARCHULETA,14,59.86
4.3,233,LILLIE,1,KIM,13,55.87
4.3,254,MAXINE,0,SILVA,13,55.87
4.3,35,VIRGINIA,0,GREEN,16,68.84
4.3,373,LOUIS,1,LEONE,16,68.84
4.3,518,GABRIEL,0,HARDER,13,55.87
4.3,553,MAX,0,PITT,16,68.84
4.32,139,AMBER,0,DIXON,12,51.88
4.32,213,GINA,1,WILLIAMSON,12,51.88
4.32,219,WILLIE,0,HOWELL,15,64.85
4.32,237,TANYA,1,GILBERT,15,64.85
4.32,240,MARLENE,1,WELCH,12,51.88
4.32,264,GWENDOLYN,2,MAY,12,51.88
4.32,282,JENNY,2,CASTRO,15,64.85
4.32,536,FERNANDO,1,CHURCHILL,12,51.88
4.32,574,JULIAN,0,VEST,15,64.85
4.32,90,RUBY,1,WASHINGTON,12,51.88
4.35,520,MITCHELL,1,WESTMORELAND,14,60.86
4.36,366,BRANDON,0,HUEY,19,82.81
4.37,166,LYNN,1,PAYNE,13,56.87
4.41,199,BETH,1,FRANKLIN,12,52.88
4.41,291,TONI,0,HOLT,12,52.88
4.41,304,DAVID,1,ROYAL,12,52.88
4.41,319,RONALD,1,WEINER,12,52.88
4.41,336,JOSHUA,1,MARK,12,52.88
4.41,402,LUIS,0,YANEZ,12,52.88
4.41,436,TROY,2,QUIGLEY,12,52.88
4.42,107,FLORENCE,0,WOODS,14,61.86
4.43,265,JENNIE,1,TERRY,16,70.84
4.43,348,ROGER,2,QUINTANILLA,16,70.84
4.45,473,JORGE,1,OLIVARES,13,57.87
4.45,481,HERMAN,1,DEVORE,13,57.87
4.49,101,PEGGY,1,MYERS,12,53.88
4.49,268,NINA,0,SOTO,12,53.88
4.49,469,WESLEY,1,BULL,18,80.82
4.49,494,RAMON,1,CHOATE,18,80.82
4.52,273,PRISCILLA,1,LOWE,15,67.85
4.52,286,VELMA,1,LUCAS,17,76.83
4.52,302,MICHAEL,1,SILVERMAN,15,67.85
4.53,423,ALFRED,3,CASILLAS,13,58.87
4.53,533,JESSIE,3,MILAM,13,58.87
4.55,245,COURTNEY,1,DAY,16,72.84
4.56,196,ALMA,1,AUSTIN,14,63.86
4.57,296,RAMONA,0,HALE,12,54.88
4.57,526,KARL,0,SEAL,19,86.81
4.57,595,TERRENCE,2,GUNDERSON,19,86.81
4.58,148,ELEANOR,3,HUNT,22,100.78
4.59,103,GLADYS,0,HAMILTON,15,68.85
4.63,112,ROSA,0,REYNOLDS,11,50.89
4.63,389,ALAN,1,KAHN,11,50.89
4.63,447,CLIFFORD,1,BOWENS,11,50.89
4.63,488,SHANE,1,MILLARD,11,50.89
4.63,490,SAM,1,MCDUFFIE,14,64.86
4.63,531,JAMIE,0,WAUGH,14,64.86
4.63,63,ASHLEY,2,RICHARDSON,14,64.86
4.64,332,STEPHEN,2,QUALLS,17,78.83
4.66,176,JUNE,0,CARROLL,12,55.88
4.66,316,STEVEN,0,CURLEY,12,55.88
4.66,363,ROY,1,WHITING,15,69.85
4.66,376,RANDY,2,GAITHER,15,69.85
4.66,539,MATHEW,0,BOLIN,12,55.88
4.68,206,TERRI,0,VASQUEZ,13,60.87
4.68,23,SARAH,1,LEWIS,13,60.87
4.68,292,MISTY,2,LAMBERT,16,74.84
4.68,393,PHILIP,2,CAUSEY,13,60.87
4.68,462,WARREN,2,SHERROD,16,74.84
4.68,513,DUANE,1,TUBBS,13,60.87
4.68,66,JANICE,1,WARD,13,60.87
4.7,433,DON,1,BONE,14,65.86
4.7,579,DARYL,3,LARUE,14,65.86
4.7,594,EDUARDO,1,HIATT,14,65.86
4.72,41,STEPHANIE,1,MITCHELL,15,70.85
4.72,573,BYRON,2,BOX,15,70.85
4.74,170,BEATRICE,1,ARNOLD,12,56.88
4.74,432,EDWIN,0,BURK,12,56.88
4.75,225,ARLENE,0,HARVEY,17,80.83
4.75,50,DIANE,3,COLLINS,17,80.83
4.76,13,KAREN,3,JACKSON,13,61.87
4.77,178,MARION,1,SNYDER,18,85.82
4.79,475,PEDRO,1,CHESTNUT,15,71.85
4.8,309,CHRISTOPHER,1,GRECO,16,76.84
4.81,355,TERRY,0,GRISSOM,11,52.89
4.81,577,CLIFTON,1,MALCOLM,11,52.89
4.82,421,LEE,1,HAWKS,12,57.88
4.84,307,JOSEPH,1,JOY,13,62.87
4.85,497,GILBERT,1,SLEDGE,14,67.86
4.87,209,TONYA,1,CHAPMAN,17,82.83
4.87,372,STEVE,1,MACKENZIE,16,77.84
4.88,17,DONNA,3,THOMPSON,9,43.91
4.88,295,DAISY,3,BATES,18,87.82
4.9,11,LISA,1,ANDERSON,11,53.89
4.9,334,RAYMOND,0,MCWHORTER,11,53.89
4.91,221,BESSIE,1,MORRISON,12,58.88
4.91,486,GLEN,1,TALBERT,12,58.88
4.91,51,ALICE,1,STEWART,12,58.88
4.92,179,DANA,1,HART,14,68.86
4.92,39,DEBRA,1,NELSON,15,73.85
4.92,502,BRETT,2,CORNWELL,15,73.85
4.93,257,MARSHA,0,DOUGLAS,18,88.82
4.99,149,VALERIE,1,BLACK,11,54.89
4.99,220,CHARLENE,3,ALVAREZ,12,59.88
4.99,459,TOMMY,2,COLLAZO,18,89.82
4.99,532,NEIL,1,RENNER,14,69.86
5.06,172,BERNICE,0,WILLIS,14,70.86
5.06,591,KENT,2,ARSENAULT,15,75.85
5.07,284,SONIA,1,GREGORY,12,60.88
5.09,321,KEVIN,1,SCHULER,10,50.9
5.1,137,RHONDA,1,KENNEDY,19,96.81
5.14,467,ALVIN,1,DELOACH,13,66.87
5.16,403,MIKE,0,WAY,12,61.88
5.16,80,MARILYN,1,ROSS,12,61.88
5.17,495,CHARLIE,1,BESS,11,56.89
5.17,528,CLAUDE,2,HERZOG,11,56.89
5.17,87,WANDA,1,PATTERSON,11,56.89
5.19,400,BRYAN,0,HARDISON,10,51.9
5.19,484,ROBERTO,2,VU,15,77.85
5.21,144,CLARA,2,SHAW,18,93.82
5.24,337,JERRY,1,JORDON,12,62.88
5.26,504,NATHANIEL,2,ADAM,11,57.89
5.26,92,TINA,1,SIMMONS,15,78.85
5.3,285,MIRIAM,3,MCKINNEY,13,68.87
5.3,3,LINDA,1,WILLIAMS,13,68.87
5.32,331,ERIC,2,ROBERT,12,63.88
5.32,479,ZACHARY,3,HITE,15,79.85
5.35,508,MILTON,2,HOWLAND,14,74.86
5.37,100,ROBIN,2,HAYES,13,69.87
5.37,49,JOYCE,2,EDWARDS,13,69.87
5.38,522,ARNOLD,1,HAVENS,18,96.82
5.39,259,LENA,0,JENSEN,10,53.9
5.39,44,MARIE,2,TURNER,10,53.9
5.39,582,ANDY,1,VANHORN,10,53.9
5.41,84,SARA,2,PERRY,12,64.88
5.41,86,JACQUELINE,3,LONG,12,64.88
5.42,2,PATRICIA,1,JOHNSON,14,75.86
5.44,7,MARIA,1,MILLER,11,59.89
5.45,585,PERRY,2,SWAFFORD,13,70.87
5.49,443,FRANCISCO,2,SKIDMORE,10,54.9
5.54,491,RICK,1,MATTOX,11,60.89
5.54,59,CHERYL,2,MURPHY,11,60.89
5.59,346,ARTHUR,3,SIMPKINS,15,83.85
5.7,470,GORDON,2,ALLARD,17,96.83
5.74,583,MARSHALL,1,THORN,12,68.88
5.81,187,BRITTANY,2,RILEY,11,63.89
5.89,477,DAN,2,PAINE,10,58.9
5.9,82,KATHRYN,2,COLEMAN,11,64.89
5.99,426,BRADLEY,2,MOTLEY,11,65.89
6.07,181,ANA,3,BRADLEY,12,72.88
6.1,343,DOUGLAS,1,GRAF,9,54.91
