customer_id,customer_name,country_name,city_name,payment_date,payment_count,day_amount,staff_list,deviation_from_personal_avg,suspicion_rank_in_country
595,TERRENCE GUNDERSON,China,Jinzhou,2005-07-31,3,18.97,"Jon Stephens,Mike Hillyer",16.71,12
485,CLYDE TOBIAS,China,Shaoguan,2005-07-30,4,17.96,"Jon Stephens,Mike Hillyer",16.56,13
260,CHRISTY VARGAS,China,Datong,2005-06-17,3,16.97,"Jon Stephens,Mike Hillyer",16.54,14
260,CHRISTY VARGAS,China,Datong,2005-08-21,3,17.97,"Jon Stephens,Mike Hillyer",16.41,15
90,RUBY WASHINGTON,China,Meixian,2005-08-01,3,17.97,"Jon Stephens,Mike Hillyer",16.24,16
538,TED BREAUX,China,Baicheng,2005-07-09,3,16.97,"Jon Stephens,Mike Hillyer",16.17,17
272,KAY CALDWELL,China,Yantai,2005-08-17,3,16.97,"Jon Stephens,Mike Hillyer",15.77,18
594,EDUARDO HIATT,China,Jining,2005-07-31,3,16.97,"Mike Hillyer,Jon Stephens",15.34,19
267,MARGIE WADE,China,Lengshuijiang,2005-07-30,3,15.97,"Jon Stephens,Mike Hillyer",15.24,20
550,GUY BROWNLEE,China,Zhoushan,2005-08-21,3,16.97,"Jon Stephens,Mike Hillyer",14.88,21
242,GLENDA FRAZIER,China,Qinhuangdao,2005-06-15,3,14.97,"Jon Stephens,Mike Hillyer",14.57,22
302,MICHAEL SILVERMAN,China,Tiefa,2005-08-23,4,16.96,"Jon Stephens,Mike Hillyer",14.5,23
424,KYLE SPURLOCK,China,Shanwei,2005-07-30,4,14.96,"Mike Hillyer,Jon Stephens",14.2,24
154,MICHELE GRANT,China,Yuncheng,2005-08-22,3,15.97,"Jon Stephens,Mike Hillyer",14.14,25
241,HEIDI LARSON,China,Xiangfan,2005-07-11,3,14.97,"Mike Hillyer,Jon Stephens",14.07,26
484,ROBERTO VU,China,Yinchuan,2005-07-10,3,14.97,"Jon Stephens,Mike Hillyer",14.07,27
154,MICHELE GRANT,China,Yuncheng,2005-07-27,3,14.97,"Jon Stephens,Mike Hillyer",14.04,28
569,DAVE GARDINER,China,Leshan,2005-08-02,4,14.96,"Jon Stephens,Mike Hillyer",14.03,29
37,PAMELA BAKER,China,Nanyang,2005-08-20,4,14.96,"Jon Stephens,Mike Hillyer",13.73,30
211,STACEY MONTGOMERY,China,Fuyu,2005-07-10,3,14.97,"Mike Hillyer,Jon Stephens",13.64,31
595,TERRENCE GUNDERSON,China,Jinzhou,2005-07-27,4,14.96,"Mike Hillyer,Jon Stephens",13.6,32
138,HAZEL WARREN,China,Hohhot,2005-08-01,3,14.97,"Jon Stephens,Mike Hillyer",13.38,33
552,HUGH WALDROP,China,Haining,2005-08-02,3,14.97,"Mike Hillyer,Jon Stephens",13.34,34
550,GUY BROWNLEE,China,Zhoushan,2005-08-23,3,15.97,"Jon Stephens,Mike Hillyer",13.31,35
422,MELVIN ELLINGTON,China,Laohekou,2005-08-22,4,14.96,"Mike Hillyer,Jon Stephens",13.2,36
129,CARRIE PORTER,China,Liaocheng,2005-08-01,5,14.95,"Jon Stephens,Mike Hillyer",13.09,37
120,SYLVIA ORTIZ,Colombia,Dos Quebradas,2005-08-21,3,19.97,"Mike Hillyer,Jon Stephens",18.41,1
490,SAM MCDUFFIE,Colombia,Sogamoso,2005-07-12,3,16.97,"Mike Hillyer,Jon Stephens",15.64,2
235,JACKIE LYNCH,Colombia,Buenaventura,2005-07-06,3,14.97,"Jon Stephens,Mike Hillyer",14.77,3
375,AARON SELBY,"Congo, The Democratic Republic of the",Mwene-Ditu,2005-08-02,3,18.97,"Mike Hillyer,Jon Stephens",17.91,1
258,MYRTLE FLEMING,Dominican Republic,Santiago de los Caballeros,2005-08-01,5,20.95,"Jon Stephens,Mike Hillyer",19.45,1
258,MYRTLE FLEMING,Dominican Republic,Santiago de los Caballeros,2005-08-20,3,14.97,"Mike Hillyer,Jon Stephens",13.51,2
262,PATSY DAVIDSON,Ecuador,Portoviejo,2005-07-12,4,26.96,"Jon Stephens,Mike Hillyer",25.96,1
494,RAMON CHOATE,Ecuador,Robamba,2005-08-22,4,26.96,"Mike Hillyer,Jon Stephens",24.47,2
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-07-27,5,24.95,"Mike Hillyer,Jon Stephens",24.72,1
134,EMMA BOYD,Egypt,Qalyub,2005-08-02,4,20.96,"Mike Hillyer,Jon Stephens",20.33,2
119,SHERRY MARSHALL,Egypt,Shubra al-Khayma,2005-08-22,3,15.97,"Mike Hillyer,Jon Stephens",13.48,3
104,RITA GRAHAM,France,Toulon,2005-07-08,3,15.97,"Jon Stephens,Mike Hillyer",15.27,1
162,LAUREN HUDSON,France,Le Mans,2005-07-31,3,14.97,"Mike Hillyer,Jon Stephens",14.37,2
196,ALMA AUSTIN,Germany,Mannheim,2005-07-31,3,22.97,"Mike Hillyer,Jon Stephens",21.61,1
3,LINDA WILLIAMS,Greece,Athenai,2005-07-28,4,24.96,"Jon Stephens,Mike Hillyer",24.06,1
26,JESSICA HALL,Holy See (Vatican City State),Citt del Vaticano,2005-08-21,4,23.96,"Jon Stephens,Mike Hillyer",22.96,1
468,TIM CARY,India,Bijapur,2005-08-21,5,32.95,"Jon Stephens,Mike Hillyer",31.12,1
121,JOSEPHINE GOMEZ,India,Etawah,2005-08-21,4,25.96,"Mike Hillyer,Jon Stephens",24.1,2
192,LAURIE LAWRENCE,India,Firozabad,2005-08-21,4,24.96,"Jon Stephens,Mike Hillyer",23.36,3
259,LENA JENSEN,India,Halisahar,2005-07-30,3,21.97,"Jon Stephens,Mike Hillyer",20.91,4
554,DWAYNE OLVERA,India,Rajkot,2005-08-17,4,20.96,"Jon Stephens,Mike Hillyer",20.46,5
529,ERIK GUILLEN,India,Bhimavaram,2005-07-12,3,20.97,"Jon Stephens,Mike Hillyer",20.37,6
403,MIKE WAY,India,Valparai,2005-08-02,4,21.96,"Mike Hillyer,Jon Stephens",19.47,7
412,ALLEN BUTTERFIELD,India,Hoshiarpur,2005-07-29,3,18.97,"Jon Stephens,Mike Hillyer",18.87,8
259,LENA JENSEN,India,Halisahar,2005-06-16,3,18.97,"Mike Hillyer,Jon Stephens",18.44,9
492,LESTER KRAUS,India,Kanchrapara,2005-07-07,3,18.97,"Jon Stephens,Mike Hillyer",18.24,10
508,MILTON HOWLAND,India,Vijayawada,2005-07-27,3,17.97,"Mike Hillyer,Jon Stephens",16.91,11
31,BRENDA WRIGHT,India,Kamarhati,2005-06-18,4,16.96,"Mike Hillyer,Jon Stephens",16.73,12
446,THEODORE CULP,India,Uluberia,2005-07-29,4,17.96,"Jon Stephens,Mike Hillyer",16.66,13
297,SHERRI RHODES,India,Ahmadnagar,2005-06-18,3,16.97,"Mike Hillyer,Jon Stephens",16.57,14
336,JOSHUA MARK,India,Rampur,2005-07-29,3,16.97,"Jon Stephens,Mike Hillyer",16.14,15
68,NICOLE PETERSON,India,Shivapuri,2005-07-31,3,16.97,"Mike Hillyer,Jon Stephens",16.07,16
259,LENA JENSEN,India,Halisahar,2005-08-23,4,18.96,"Mike Hillyer,Jon Stephens",15.8,17
259,LENA JENSEN,India,Halisahar,2005-08-20,3,17.97,"Mike Hillyer,Jon Stephens",15.67,18
370,WAYNE TRUONG,India,Gulbarga,2005-07-27,3,15.97,"Mike Hillyer,Jon Stephens",15.67,19
316,STEVEN CURLEY,India,Miraj,2005-07-27,4,15.96,"Jon Stephens,Mike Hillyer",15.26,20
78,LORI WOOD,India,Rae Bareli,2005-07-28,3,15.97,"Jon Stephens,Mike Hillyer",15.11,21
170,BEATRICE ARNOLD,India,Udaipur,2005-07-10,3,15.97,"Mike Hillyer,Jon Stephens",15.07,22
170,BEATRICE ARNOLD,India,Udaipur,2005-07-31,3,15.97,"Jon Stephens,Mike Hillyer",14.61,23
367,ADAM GOOCH,India,Adoni,2005-08-18,3,14.97,"Mike Hillyer,Jon Stephens",14.31,24
297,SHERRI RHODES,India,Ahmadnagar,2005-07-11,3,14.97,"Jon Stephens,Mike Hillyer",13.54,25
78,LORI WOOD,India,Rae Bareli,2005-08-01,3,14.97,"Jon Stephens,Mike Hillyer",13.21,26
502,BRETT CORNWELL,India,Siliguri (Shiliguri),2005-07-28,3,14.97,"Mike Hillyer,Jon Stephens",13.21,27
356,GERALD FULTZ,India,Satna,2005-08-19,4,14.96,"Jon Stephens,Mike Hillyer",13.2,28
446,THEODORE CULP,India,Uluberia,2005-07-30,3,14.97,"Jon Stephens,Mike Hillyer",13.07,29
15,HELEN HARRIS,India,Bhopal,2005-08-20,3,14.97,"Jon Stephens,Mike Hillyer",12.81,30
209,TONYA CHAPMAN,India,Bhilwara,2005-08-01,3,14.97,"Jon Stephens,Mike Hillyer",12.21,31
473,JORGE OLIVARES,Indonesia,Lhokseumawe,2005-08-02,5,19.95,"Mike Hillyer,Jon Stephens",18.02,1
458,LLOYD DOWD,Indonesia,Tegal,2005-07-12,3,15.97,"Mike Hillyer,Jon Stephens",15.37,2
372,STEVE MACKENZIE,Indonesia,Probolinggo,2005-07-28,3,15.97,"Jon Stephens,Mike Hillyer",14.57,3
328,JEFFREY SPEAR,Indonesia,Ciparay,2005-08-20,3,14.97,"Mike Hillyer,Jon Stephens",14.01,4
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-28,5,29.95,"Mike Hillyer,Jon Stephens",29.42,1
449,OSCAR AQUINO,Iran,Sirjan,2005-08-01,4,21.96,"Jon Stephens,Mike Hillyer",20.73,2
279,DIANNE SHELTON,Iran,Tabriz,2005-07-09,3,20.97,"Mike Hillyer,Jon Stephens",20.24,3
459,TOMMY COLLAZO,Iran,Qomsheh,2005-08-01,4,22.96,"Mike Hillyer,Jon Stephens",19.97,4
279,DIANNE SHELTON,Iran,Tabriz,2005-08-19,4,18.96,"Jon Stephens,Mike Hillyer",17.93,5
368,HARRY ARCE,Iran,Najafabad,2005-08-19,4,17.96,"Mike Hillyer,Jon Stephens",16.73,6
478,LEWIS LYMAN,Israel,Ashqelon,2005-06-19,3,20.97,"Mike Hillyer,Jon Stephens",20.77,1
161,GERALDINE PERKINS,Israel,Tel Aviv-Jaffa,2005-08-22,4,15.96,"Mike Hillyer,Jon Stephens",14.5,2
541,DARREN WINDHAM,Italy,Livorno,2005-08-22,5,18.95,"Jon Stephens,Mike Hillyer",17.42,1
531,JAMIE WAUGH,Japan,Kuwana,2005-08-02,4,26.96,"Jon Stephens,Mike Hillyer",24.8,1
519,RON DELUCA,Japan,Isesaki,2005-07-31,5,23.95,"Jon Stephens,Mike Hillyer",23.02,2
404,STANLEY SCROGGINS,Japan,Omiya,2005-07-08,4,21.96,"Mike Hillyer,Jon Stephens",21.33,3
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-08-18,4,21.96,"Mike Hillyer,Jon Stephens",20.6,4
147,JOANNE ROBERTSON,Japan,Urawa,2005-08-23,3,20.97,"Jon Stephens,Mike Hillyer",18.91,5
240,MARLENE WELCH,Japan,Iwaki,2005-07-27,3,18.97,"Mike Hillyer,Jon Stephens",18.37,6
1,MARY SMITH,Japan,Sasebo,2005-06-15,3,16.97,"Mike Hillyer,Jon Stephens",16.84,7
253,TERRY CARLSON,Japan,Miyakonojo,2005-08-21,3,17.97,"Jon Stephens,Mike Hillyer",16.31,8
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-06-19,5,15.95,"Mike Hillyer,Jon Stephens",15.88,9
54,TERESA ROGERS,Japan,Iwakuni,2005-08-02,3,15.97,"Jon Stephens,Mike Hillyer",14.77,10
401,TONY CARRANZA,Japan,Koriyama,2005-07-29,3,14.97,"Mike Hillyer,Jon Stephens",14.44,11
285,MIRIAM MCKINNEY,Japan,Otsu,2005-07-11,4,14.96,"Mike Hillyer,Jon Stephens",13.7,12
547,KURT EMMONS,Japan,Kanazawa,2005-08-02,4,14.96,"Mike Hillyer,Jon Stephens",13.56,13
193,KATIE ELLIOTT,Kenya,Kisumu,2005-08-22,3,16.97,"Mike Hillyer,Jon Stephens",15.74,1
347,RYAN SALISBURY,Latvia,Daugavpils,2005-07-28,4,15.96,"Mike Hillyer,Jon Stephens",15.13,1
306,CHARLES KOWALSKI,Malaysia,Sungai Petani,2005-08-20,4,16.96,"Mike Hillyer,Jon Stephens",14.6,1
454,ALEX GRESHAM,Mexico,Uruapan,2005-08-20,4,27.96,"Jon Stephens,Mike Hillyer",27.26,1
425,FRANCIS SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07-08,4,27.96,"Jon Stephens,Mike Hillyer",27.26,2
575,ISAAC OGLESBY,Mexico,Cuernavaca,2005-08-18,3,22.97,"Mike Hillyer,Jon Stephens",21.64,3
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-19,5,21.95,"Mike Hillyer,Jon Stephens",20.82,4
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-27,4,20.96,"Jon Stephens,Mike Hillyer",20.73,5
467,ALVIN DELOACH,Mexico,Cuauhtmoc,2005-07-28,4,20.96,"Mike Hillyer,Jon Stephens",19.9,6
133,PAULINE HENRY,Mexico,Torren,2005-07-08,4,19.96,"Jon Stephens,Mike Hillyer",19.49,7
451,JIM REA,Mexico,El Fuerte,2005-08-02,4,19.96,"Mike Hillyer,Jon Stephens",18.4,8
273,PRISCILLA LOWE,Mexico,Salamanca,2005-07-12,4,19.96,"Mike Hillyer,Jon Stephens",18.3,9
84,SARA PERRY,Mexico,Atlixco,2005-07-11,3,18.97,"Mike Hillyer,Jon Stephens",17.77,10
84,SARA PERRY,Mexico,Atlixco,2005-08-02,4,19.96,"Mike Hillyer,Jon Stephens",17.76,11
414,VINCENT RALSTON,Mexico,Allende,2005-08-19,5,17.95,"Jon Stephens,Mike Hillyer",17.39,12
247,STELLA MORENO,Mexico,Coacalco de Berriozbal,2005-08-18,3,17.97,"Jon Stephens,Mike Hillyer",17.24,13
581,VIRGIL WOFFORD,Mexico,Jos Azueta,2005-07-08,4,17.96,"Jon Stephens,Mike Hillyer",17.2,14
319,RONALD WEINER,Mexico,San Felipe del Progreso,2005-08-17,5,16.95,"Mike Hillyer,Jon Stephens",16.65,15
465,FLOYD GANDY,Mexico,Zapopan,2005-08-17,3,16.97,"Mike Hillyer,Jon Stephens",16.64,16
451,JIM REA,Mexico,El Fuerte,2005-07-08,3,16.97,"Mike Hillyer,Jon Stephens",16.04,17
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-29,3,15.97,"Jon Stephens,Mike Hillyer",15.04,18
108,TRACY COLE,Mexico,Huixquilucan,2005-07-29,3,15.97,"Jon Stephens,Mike Hillyer",14.94,19
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-21,4,14.96,"Jon Stephens,Mike Hillyer",12.9,20
38,MARTHA GONZALEZ,Moldova,Chisinau,2005-07-27,4,17.96,"Mike Hillyer,Jon Stephens",16.86,1
40,AMANDA CARTER,Morocco,Nador,2005-07-31,3,13.97,"Jon Stephens,Mike Hillyer",13.07,1
257,MARSHA DOUGLAS,Mozambique,Beira,2005-08-19,5,20.95,"Jon Stephens,Mike Hillyer",18.69,1
257,MARSHA DOUGLAS,Mozambique,Beira,2005-07-27,5,18.95,"Jon Stephens,Mike Hillyer",17.75,2
256,MABEL HOLLAND,Myanmar,Monywa,2005-08-23,3,15.97,"Jon Stephens,Mike Hillyer",14.47,1
137,RHONDA KENNEDY,Netherlands,Apeldoorn,2005-07-30,4,20.96,"Jon Stephens,Mike Hillyer",18.93,1
184,VIVIAN RUIZ,Netherlands,s-Hertogenbosch,2005-08-18,3,15.97,"Jon Stephens,Mike Hillyer",15.37,2
137,RHONDA KENNEDY,Netherlands,Apeldoorn,2005-08-23,3,17.97,"Jon Stephens,Mike Hillyer",14.41,3
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-08-23,5,25.95,"Mike Hillyer,Jon Stephens",24.35,1
198,ELSIE KELLEY,Nigeria,Ikerre,2005-08-17,6,22.94,"Mike Hillyer,Jon Stephens",21.91,2
280,TRACEY BARRETT,Nigeria,Owo,2005-07-29,5,20.95,"Jon Stephens,Mike Hillyer",20.55,3
280,TRACEY BARRETT,Nigeria,Owo,2005-08-19,3,20.97,"Mike Hillyer,Jon Stephens",19.24,4
198,ELSIE KELLEY,Nigeria,Ikerre,2005-07-12,3,14.97,"Jon Stephens,Mike Hillyer",14.54,5
284,SONIA GREGORY,Nigeria,Benin City,2005-07-27,3,14.97,"Jon Stephens,Mike Hillyer",13.87,6
226,MAUREEN LITTLE,Paraguay,Asuncin,2005-08-23,4,16.96,"Jon Stephens,Mike Hillyer",15.73,1
205,EILEEN CARR,Paraguay,Ciudad del Este,2005-08-21,4,15.96,"Mike Hillyer,Jon Stephens",15.16,2
597,FREDDIE DUGGAN,Peru,Sullana,2005-08-02,4,16.96,"Jon Stephens,Mike Hillyer",16.03,1
565,JAIME NETTLES,Peru,Hunuco,2005-08-02,3,14.97,"Jon Stephens,Mike Hillyer",13.44,2
522,ARNOLD HAVENS,Philippines,Santa Rosa,2005-07-30,5,29.95,"Mike Hillyer,Jon Stephens",27.92,1
461,DEREK BLAKELY,Philippines,Gingoog,2005-08-22,5,22.95,"Mike Hillyer,Jon Stephens",21.69,2
27,SHIRLEY ALLEN,Philippines,Davao,2005-08-17,3,21.97,"Mike Hillyer,Jon Stephens",20.77,3
373,LOUIS LEONE,Philippines,Tanauan,2005-08-18,4,20.96,"Mike Hillyer,Jon Stephens",18.4,4
261,DEANNA BYRD,Philippines,Tuguegarao,2005-06-17,3,18.97,"Mike Hillyer,Jon Stephens",18.31,5
71,KATHY JAMES,Philippines,Baybay,2005-07-10,3,18.97,"Mike Hillyer,Jon Stephens",18.14,6
27,SHIRLEY ALLEN,Philippines,Davao,2005-07-31,3,18.97,"Jon Stephens,Mike Hillyer",18.04,7
349,JOE GILLILAND,Philippines,Imus,2005-08-02,3,18.97,"Mike Hillyer,Jon Stephens",17.44,8
388,CRAIG MORRELL,Philippines,Cavite,2005-08-18,4,17.96,"Jon Stephens,Mike Hillyer",17.1,9
188,MELANIE ARMSTRONG,Philippines,Bayugan,2005-08-01,4,16.96,"Jon Stephens,Mike Hillyer",15.9,10
522,ARNOLD HAVENS,Philippines,Santa Rosa,2005-08-01,4,18.96,"Jon Stephens,Mike Hillyer",15.73,11
236,MARCIA DEAN,Philippines,Tanza,2005-08-21,3,17.97,"Jon Stephens,Mike Hillyer",15.38,12
270,LEAH CURTIS,Poland,Kalisz,2005-08-01,3,18.97,"Mike Hillyer,Jon Stephens",17.94,1
558,JIMMIE EGGLESTON,Poland,Wroclaw,2005-07-12,3,15.97,"Jon Stephens,Mike Hillyer",13.61,2
128,MARJORIE TUCKER,Poland,Jastrzebie-Zdrj,2005-07-30,3,14.97,"Jon Stephens,Mike Hillyer",13.61,3
360,RALPH MADRIGAL,Puerto Rico,Arecibo,2005-08-19,3,12.97,"Jon Stephens,Mike Hillyer",10.71,1
563,KEN PREWITT,Romania,Bucuresti,2005-07-08,7,29.93,"Mike Hillyer,Jon Stephens",29.63,1
44,MARIE TURNER,Russian Federation,Lipetsk,2005-07-10,4,24.96,"Mike Hillyer,Jon Stephens",24.06,1
346,ARTHUR SIMPKINS,Russian Federation,Maikop,2005-07-29,4,22.96,"Jon Stephens,Mike Hillyer",21.36,2
17,DONNA THOMPSON,Russian Federation,Elista,2005-07-30,4,21.96,"Jon Stephens,Mike Hillyer",21.23,3
462,WARREN SHERROD,Russian Federation,Usolje-Sibirskoje,2005-08-19,3,22.97,"Mike Hillyer,Jon Stephens",20.84,4
311,PAUL TROUT,Russian Federation,Kursk,2005-07-31,3,20.97,"Mike Hillyer,Jon Stephens",20.14,5
106,CONNIE WALLACE,Russian Federation,Ivanovo,2005-08-01,3,20.97,"Jon Stephens,Mike Hillyer",19.57,6
462,WARREN SHERROD,Russian Federation,Usolje-Sibirskoje,2005-07-28,4,19.96,"Mike Hillyer,Jon Stephens",18.43,7
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-12,3,18.97,"Mike Hillyer,Jon Stephens",17.81,8
346,ARTHUR SIMPKINS,Russian Federation,Maikop,2005-08-23,5,19.95,"Jon Stephens,Mike Hillyer",17.52,9
447,CLIFFORD BOWENS,Russian Federation,Nabereznyje Telny,2005-07-30,3,17.97,"Jon Stephens,Mike Hillyer",16.87,10
487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2005-08-01,3,16.97,"Jon Stephens,Mike Hillyer",15.41,11
46,CATHERINE CAMPBELL,Russian Federation,Moscow,2005-08-01,3,15.97,"Jon Stephens,Mike Hillyer",14.87,12
46,CATHERINE CAMPBELL,Russian Federation,Moscow,2005-08-18,4,15.96,"Jon Stephens,Mike Hillyer",14.56,13
101,PEGGY MYERS,Saudi Arabia,Abha,2005-07-09,4,14.96,"Mike Hillyer,Jon Stephens",14.96,1
417,TRAVIS ESTEP,Saudi Arabia,al-Qatif,2005-08-02,3,15.97,"Mike Hillyer,Jon Stephens",14.74,2
49,JOYCE EDWARDS,Saudi Arabia,Jedda,2005-08-21,3,15.97,"Jon Stephens,Mike Hillyer",14.54,3
417,TRAVIS ESTEP,Saudi Arabia,al-Qatif,2005-08-21,3,14.97,"Jon Stephens,Mike Hillyer",13.77,4
407,DALE RATCLIFF,South Africa,Rustenburg,2005-07-28,4,22.96,"Jon Stephens,Mike Hillyer",22.2,1
132,ESTHER CRAWFORD,South Africa,Botshabelo,2005-08-01,4,22.96,"Jon Stephens,Mike Hillyer",21.46,2
145,LUCILLE HOLMES,South Africa,Soshanguve,2005-07-07,3,20.97,"Jon Stephens,Mike Hillyer",20.57,3
407,DALE RATCLIFF,South Africa,Rustenburg,2005-08-02,3,17.97,"Mike Hillyer,Jon Stephens",16.14,4
145,LUCILLE HOLMES,South Africa,Soshanguve,2005-08-19,4,15.96,"Jon Stephens,Mike Hillyer",14.83,5
245,COURTNEY DAY,South Korea,Uijongbu,2005-07-27,5,17.95,"Jon Stephens,Mike Hillyer",17.29,1
52,JULIE SANCHEZ,Spain,A Corua (La Corua),2005-08-22,3,15.97,"Jon Stephens,Mike Hillyer",14.37,1
408,MANUEL MURRELL,Sri Lanka,Jaffna,2005-08-20,3,14.97,"Mike Hillyer,Jon Stephens",13.41,1
50,DIANE COLLINS,Sudan,Omdurman,2005-07-31,5,26.95,"Mike Hillyer,Jon Stephens",25.15,1
66,JANICE WARD,Sweden,Malm,2005-07-11,3,18.97,"Mike Hillyer,Jon Stephens",16.97,1
155,GAIL KNIGHT,Switzerland,Bern,2005-07-11,3,15.97,"Mike Hillyer,Jon Stephens",14.97,1
