customer_id,customer_name,payment_month,country,city,total_payment_amount,operation_count,late_return_share,country_month_rank
225,ARLENE HARVEY,2005-07,India,Ambattur,80.83,17,0.5882,2
508,MILTON HOWLAND,2005-07,India,Vijayawada,74.86,14,0.7143,3
502,BRETT CORNWELL,2005-07,India,Siliguri (Shiliguri),73.85,15,0.4667,4
446,THEODORE CULP,2005-07,India,Uluberia,71.83,17,0.5882,5
15,HELEN HARRIS,2005-08,India,Bhopal,79.82,18,0.5,1
259,LENA JENSEN,2005-08,India,Halisahar,75.84,16,0.6875,2
468,TIM CARY,2005-08,India,Bijapur,71.86,14,0.5,3
78,LORI WOOD,2005-08,India,Rae Bareli,70.86,14,0.6429,4
274,NAOMI JENNINGS,2005-08,India,Karnal,69.84,16,0.625,5
121,JOSEPHINE GOMEZ,2005-08,India,Etawah,67.86,14,0.7857,6
403,MIKE WAY,2005-08,India,Valparai,64.85,15,0.4,7
239,MINNIE ROMERO,2005-05,Indonesia,Ciomas,33.94,6,0.5,1
506,LESLIE SEWARD,2005-05,Indonesia,Pontianak,28.93,7,0.7143,2
506,LESLIE SEWARD,2005-06,Indonesia,Pontianak,27.95,5,0.6,1
500,REGINALD KINDER,2005-06,Indonesia,Madiun,25.95,5,1.0,2
372,STEVE MACKENZIE,2005-07,Indonesia,Probolinggo,77.84,16,0.5625,1
372,STEVE MACKENZIE,2005-08,Indonesia,Probolinggo,62.87,13,0.5385,1
449,OSCAR AQUINO,2005-05,Iran,Sirjan,18.97,3,0.6667,1
368,HARRY ARCE,2005-06,Iran,Najafabad,30.94,6,0.3333,1
459,TOMMY COLLAZO,2005-06,Iran,Qomsheh,25.93,7,0.1429,2
459,TOMMY COLLAZO,2005-07,Iran,Qomsheh,89.82,18,0.5,1
459,TOMMY COLLAZO,2005-08,Iran,Qomsheh,67.88,12,0.5833,1
478,LEWIS LYMAN,2005-06,Israel,Ashqelon,31.94,6,0.6667,1
102,CRYSTAL FORD,2005-07,Israel,Ashdod,84.79,21,0.6667,1
161,GERALDINE PERKINS,2005-08,Israel,Tel Aviv-Jaffa,45.88,12,0.4167,1
439,ALEXANDER FENNELL,2005-05,Italy,Bergamo,13.97,3,0.3333,1
309,CHRISTOPHER GRECO,2005-07,Italy,Brescia,76.84,16,0.375,1
439,ALEXANDER FENNELL,2005-08,Italy,Bergamo,67.85,15,0.6667,1
53,HEATHER MORRIS,2005-05,Japan,Nagareyama,26.94,6,0.6667,2
391,CLARENCE GAMEZ,2005-05,Japan,Izumisano,24.95,5,0.8,3
1,MARY SMITH,2005-06,Japan,Sasebo,31.93,7,0.4286,1
299,JAMES GANNON,2005-06,Japan,Hiroshima,31.93,7,0.4286,1
253,TERRY CARLSON,2005-06,Japan,Miyakonojo,29.94,6,0.6667,3
163,CATHY SPENCER,2005-06,Japan,Kakamigahara,29.94,6,0.5,4
285,MIRIAM MCKINNEY,2005-07,Japan,Otsu,68.87,13,0.6923,1
147,JOANNE ROBERTSON,2005-08,Japan,Urawa,76.85,15,0.6,1
29,ANGELA HERNANDEZ,2005-08,Japan,Shimonoseki,68.84,16,0.5,2
54,TERESA ROGERS,2005-08,Japan,Iwakuni,64.86,14,0.4286,3
141,DEBBIE REYES,2005-08,Japan,Fukuyama,64.83,17,0.4118,4
171,DOLORES WAGNER,2005-06,Malaysia,Ipoh,32.93,7,0.7143,1
288,BOBBIE CRAIG,2005-05,Mexico,Valle de Santiago,21.96,4,0.75,1
369,FRED WHEAT,2005-05,Mexico,Jurez,18.96,4,0.25,2
575,ISAAC OGLESBY,2005-05,Mexico,Cuernavaca,16.95,5,0.2,4
247,STELLA MORENO,2005-05,Mexico,Coacalco de Berriozbal,15.97,3,0.6667,5
454,ALEX GRESHAM,2005-06,Mexico,Uruapan,52.9,10,0.5,1
570,IVAN CROMWELL,2005-06,Mexico,Monclova,32.93,7,0.7143,2
467,ALVIN DELOACH,2005-06,Mexico,Cuauhtmoc,30.96,4,1.0,3
343,DOUGLAS GRAF,2005-06,Mexico,Mexicali,30.93,7,0.4286,4
482,MAURICE CRAWLEY,2005-07,Mexico,Coatzacoalcos,69.88,12,0.5833,1
150,DANIELLE DANIELS,2005-08,Mexico,Hidalgo,68.84,16,0.625,1
273,PRISCILLA LOWE,2005-08,Mexico,Salamanca,62.87,13,0.5385,2
575,ISAAC OGLESBY,2005-08,Mexico,Cuernavaca,61.88,12,0.5833,3
451,JIM REA,2005-08,Mexico,El Fuerte,60.84,16,0.375,4
22,LAURA RODRIGUEZ,2005-05,Morocco,Sal,18.97,3,1.0,1
543,LANCE PEMBERTON,2005-06,Morocco,Beni-Mellal,21.95,5,0.2,1
184,VIVIAN RUIZ,2005-05,Netherlands,s-Hertogenbosch,9.97,3,0.6667,1
341,PETER MENARD,2005-06,Netherlands,Ede,37.93,7,0.8571,1
137,RHONDA KENNEDY,2005-07,Netherlands,Apeldoorn,96.81,19,0.7368,1
137,RHONDA KENNEDY,2005-08,Netherlands,Apeldoorn,74.85,15,0.6,1
250,JO FOWLER,2005-05,Nigeria,Oyo,18.95,5,0.4,1
198,ELSIE KELLEY,2005-05,Nigeria,Ikerre,16.95,5,0.4,3
277,OLGA JIMENEZ,2005-06,Nigeria,Ogbomosho,28.93,7,0.2857,1
18,CAROL GARCIA,2005-06,Nigeria,Kaduna,25.96,4,0.75,2
286,VELMA LUCAS,2005-07,Nigeria,Effon-Alaiye,76.83,17,0.5882,1
198,ELSIE KELLEY,2005-08,Nigeria,Ikerre,70.84,16,0.5,1
280,TRACEY BARRETT,2005-08,Nigeria,Owo,68.88,12,0.5,2
25,DEBORAH WALKER,2005-06,Pakistan,Shikarpur,33.94,6,0.3333,1
416,JEFFERY PINSON,2005-08,Pakistan,Dadu,63.87,13,0.6923,1
565,JAIME NETTLES,2005-08,Peru,Hunuco,66.87,13,0.6154,1
371,BILLY POULIN,2005-05,Philippines,Cabuyao,25.94,6,0.6667,1
261,DEANNA BYRD,2005-05,Philippines,Tuguegarao,16.96,4,0.5,2
548,ALLAN CORNISH,2005-05,Philippines,Tarlac,15.97,3,1.0,3
236,MARCIA DEAN,2005-06,Philippines,Tanza,37.92,8,1.0,1
27,SHIRLEY ALLEN,2005-06,Philippines,Davao,30.92,8,0.5,2
434,EDDIE TOMLIN,2005-06,Philippines,Ozamis,28.93,7,0.5714,3
388,CRAIG MORRELL,2005-06,Philippines,Cavite,26.95,5,0.6,4
522,ARNOLD HAVENS,2005-07,Philippines,Santa Rosa,96.82,18,0.6111,1
236,MARCIA DEAN,2005-07,Philippines,Tanza,73.8,20,0.45,2
71,KATHY JAMES,2005-07,Philippines,Baybay,70.82,18,0.4444,3
373,LOUIS LEONE,2005-07,Philippines,Tanauan,68.84,16,0.625,4
373,LOUIS LEONE,2005-08,Philippines,Tanauan,76.85,15,0.7333,1
571,JOHNNIE CHISHOLM,2005-06,Poland,Plock,32.94,6,0.6667,1
360,RALPH MADRIGAL,2005-08,Puerto Rico,Arecibo,55.89,11,0.5455,1
230,JOY GEORGE,2005-06,Romania,Botosani,20.94,6,0.3333,1
311,PAUL TROUT,2005-05,Russian Federation,Kursk,26.95,5,0.8,1
510,BEN EASTER,2005-05,Russian Federation,Kamyin,19.97,3,1.0,2
222,DELORES HANSEN,2005-05,Russian Federation,Jaroslavl,19.95,5,0.6,3
510,BEN EASTER,2005-06,Russian Federation,Kamyin,33.92,8,0.5,1
46,CATHERINE CAMPBELL,2005-06,Russian Federation,Moscow,32.93,7,0.1429,2
295,DAISY BATES,2005-06,Russian Federation,Kolpino,32.91,9,0.7778,3
295,DAISY BATES,2005-07,Russian Federation,Kolpino,87.82,18,0.8333,1
346,ARTHUR SIMPKINS,2005-07,Russian Federation,Maikop,83.85,15,0.4667,2
487,HECTOR POINDEXTER,2005-08,Russian Federation,Pjatigorsk,68.89,11,0.7273,1
160,ERIN DUNN,2005-08,Russian Federation,Ljubertsy,66.85,15,0.5333,2
46,CATHERINE CAMPBELL,2005-08,Russian Federation,Moscow,65.84,16,0.3125,3
127,ELAINE STEVENS,2005-08,Russian Federation,Smolensk,56.88,12,0.5,4
462,WARREN SHERROD,2005-08,Russian Federation,Usolje-Sibirskoje,56.88,12,0.5,4
49,JOYCE EDWARDS,2005-06,Saudi Arabia,Jedda,23.95,5,0.4,1
109,EDNA WEST,2005-05,South Africa,Klerksdorp,27.93,7,0.5714,1
19,RUTH MARTINEZ,2005-05,South Africa,Kimberley,26.94,6,0.5,2
432,EDWIN BURK,2005-05,South Africa,Newcastle,22.97,3,1.0,3
338,DENNIS GILMAN,2005-06,South Africa,Paarl,34.93,7,0.5714,1
125,ETHEL WEBB,2005-07,South Africa,Boksburg,65.84,16,0.5,1
245,COURTNEY DAY,2005-05,South Korea,Uijongbu,28.94,6,0.6667,1
237,TANYA GILBERT,2005-08,South Korea,Naju,60.89,11,0.7273,1
469,WESLEY BULL,2005-05,Spain,Ourense (Orense),18.95,5,0.4,1
293,MAE FLETCHER,2005-06,Spain,Donostia-San Sebastin,35.93,7,0.4286,1
469,WESLEY BULL,2005-07,Spain,Ourense (Orense),80.82,18,0.6111,1
469,WESLEY BULL,2005-08,Spain,Ourense (Orense),66.85,15,0.6667,1
50,DIANE COLLINS,2005-07,Sudan,Omdurman,80.83,17,0.5294,1
50,DIANE COLLINS,2005-08,Sudan,Omdurman,51.91,9,0.5556,1
155,GAIL KNIGHT,2005-06,Switzerland,Bern,27.95,5,0.6,1
576,MORRIS MCCARTER,2005-06,Taiwan,Fengshan,33.93,7,0.5714,1
75,TAMMY SANDERS,2005-06,Taiwan,Changhwa,29.95,5,0.6,2
348,ROGER QUINTANILLA,2005-08,Taiwan,Hsichuh,60.85,15,0.4667,1
480,COREY HAUSER,2005-05,Turkey,Gaziantep,17.97,3,0.6667,1
124,SHEILA WELLS,2005-05,Turkey,Ktahya,15.96,4,0.5,2
204,ROSEMARY SCHMIDT,2005-05,Turkey,Usak,12.96,4,0.25,3
204,ROSEMARY SCHMIDT,2005-06,Turkey,Usak,31.94,6,0.5,1
327,LARRY THRASHER,2005-06,Turkey,Adana,30.94,6,0.6667,2
366,BRANDON HUEY,2005-07,Turkey,Balikesir,82.81,19,0.7368,1
172,BERNICE WILLIS,2005-08,Turkey,Batman,58.87,13,0.6154,1
327,LARRY THRASHER,2005-08,Turkey,Adana,58.87,13,0.4615,2
131,MONICA HICKS,2005-05,Ukraine,Mukateve,15.97,3,0.3333,1
187,BRITTANY RILEY,2005-08,Ukraine,Sumy,63.91,9,0.6667,1
452,TOM MILNER,2005-05,United Arab Emirates,Abu Dhabi,7.97,3,0.6667,1
142,APRIL BURNS,2005-05,United Kingdom,Dundee,19.97,3,0.6667,1
583,MARSHALL THORN,2005-07,United Kingdom,Southampton,68.88,12,0.6667,1
497,GILBERT SLEDGE,2005-07,United Kingdom,York,67.86,14,0.5,2
512,CECIL VINES,2005-08,United Kingdom,London,62.87,13,0.5385,1
16,SANDRA MARTIN,2005-08,United Kingdom,Southend-on-Sea,48.9,10,0.5,2
14,BETTY WHITE,2005-05,United States,Citrus Heights,20.95,5,0.4,1
400,BRYAN HARDISON,2005-05,United States,Dallas,18.96,4,1.0,2
269,CASSANDRA WALTERS,2005-05,United States,Salinas,18.94,6,0.5,3
504,NATHANIEL ADAM,2005-05,United States,Joliet,15.97,3,1.0,4
51,ALICE STEWART,2005-05,United States,Fontana,14.97,3,0.0,6
526,KARL SEAL,2005-06,United States,Cape Coral,41.91,9,0.6667,1
561,IAN STILL,2005-06,United States,Garland,33.91,9,0.3333,2
149,VALERIE BLACK,2005-06,United States,Brockton,32.93,7,0.5714,3
457,BILL GAVIN,2005-06,United States,Rockford,30.91,9,0.3333,4
146,JAMIE RICE,2005-06,United States,Sterling Heights,25.93,7,0.5714,5
62,JOAN COOPER,2005-06,United States,Saint Louis,24.93,7,0.7143,6
526,KARL SEAL,2005-07,United States,Cape Coral,86.81,19,0.5789,1
479,ZACHARY HITE,2005-07,United States,Akron,79.85,15,0.6,2
2,PATRICIA JOHNSON,2005-07,United States,San Bernardino,75.86,14,0.7143,3
181,ANA BRADLEY,2005-07,United States,Memphis,72.88,12,0.75,4
526,KARL SEAL,2005-08,United States,Cape Coral,79.86,14,0.5714,1
181,ANA BRADLEY,2005-08,United States,Memphis,71.84,16,0.5625,2
146,JAMIE RICE,2005-08,United States,Sterling Heights,63.87,13,0.3846,3
340,PATRICK NEWSOM,2005-06,Vietnam,Hanoi,35.92,8,0.625,1
303,WILLIAM SATTERFIELD,2005-05,Yemen,Sanaa,8.97,3,0.3333,1
213,GINA WILLIAMSON,2005-06,Yemen,Taizz,35.91,9,0.2222,1
7,MARIA MILLER,2005-05,Yugoslavia,Kragujevac,20.95,5,0.4,1
7,MARIA MILLER,2005-08,Yugoslavia,Kragujevac,59.88,12,0.75,1
