customer_id,first_name,last_name,country_name,city_name,store_id,anomaly_month,month_payment_amount,month_payment_count,avg_amount_prev_3_months,staff_diversity_share,country_month_amount_rank
559,EVERETT,BANDA,Egypt,Bilbays,2,2005-08,55.88,12,18.28,0.1667,2
444,MARCUS,HIDALGO,Estonia,Tartu,2,2005-08,51.86,14,21.28,0.1429,1
392,SEAN,DOUGLASS,Ethiopia,Addis Abeba,2,2005-08,49.89,11,13.96,0.1818,1
298,ERIKA,PENA,Finland,Oulu,1,2005-08,45.89,11,18.62,0.1818,1
56,GLORIA,COOK,French Polynesia,Papeete,1,2005-08,58.88,12,23.94,0.1667,1
584,SALVADOR,TEEL,Gambia,Banjul,2,2005-08,58.87,13,23.61,0.1538,1
448,MIGUEL,BETANCOURT,Germany,Erlangen,1,2005-08,54.9,10,25.61,0.2,1
201,VICKI,FIELDS,Germany,Witten,1,2005-08,48.88,12,19.96,0.1667,2
596,ENRIQUE,FORSYTHE,Greece,Patras,1,2005-08,46.87,13,16.29,0.1538,1
207,GERTRUDE,CASTILLO,Greenland,Nuuk,1,2005-08,56.88,12,26.93,0.1667,1
15,HELEN,HARRIS,India,Bhopal,1,2005-08,79.82,18,16.96,0.1111,1
259,LENA,JENSEN,India,Halisahar,2,2005-08,73.85,15,31.61,0.1333,2
468,TIM,CARY,India,Bijapur,1,2005-08,71.86,14,34.58,0.1429,3
78,LORI,WOOD,India,Rae Bareli,1,2005-08,70.86,14,23.61,0.1429,4
274,NAOMI,JENNINGS,India,Karnal,1,2005-08,69.84,16,27.27,0.125,5
121,JOSEPHINE,GOMEZ,India,Etawah,1,2005-08,67.86,14,13.96,0.1429,6
300,JOHN,FARNSWORTH,India,Parbhani,1,2005-08,58.89,11,24.6,0.1818,8
529,ERIK,GUILLEN,India,Bhimavaram,2,2005-08,57.88,12,20.28,0.1667,9
554,DWAYNE,OLVERA,India,Rajkot,1,2005-08,56.88,12,14.97,0.1667,10
356,GERALD,FULTZ,India,Satna,2,2005-08,56.87,13,21.61,0.1538,11
186,HOLLY,FOX,India,Haldia,2,2005-08,55.86,14,18.61,0.1429,12
192,LAURIE,LAWRENCE,India,Firozabad,1,2005-08,52.9,10,13.96,0.2,13
231,GEORGIA,JACOBS,India,Uttarpara-Kotrung,1,2005-08,50.89,11,19.95,0.1818,14
379,CARLOS,COUGHLIN,India,Bhavnagar,1,2005-08,47.88,12,19.63,0.1667,18
419,CHAD,CARBONE,India,Katihar,1,2005-08,43.9,10,15.28,0.2,24
60,MILDRED,BAILEY,India,Jaipur,1,2005-08,40.9,10,15.96,0.2,31
152,ALICIA,MILLS,India,Nagaon,1,2005-08,37.89,11,13.64,0.1818,37
117,EDITH,MCDONALD,India,Gandhinagar,1,2005-08,36.9,10,11.64,0.2,42
370,WAYNE,TRUONG,India,Gulbarga,2,2005-08,35.9,10,11.64,0.2,44
413,MARVIN,YEE,India,Berhampore (Baharampur),2,2005-08,33.89,11,13.97,0.1818,46
224,PEARL,GARZA,India,Jodhpur,2,2005-08,32.9,10,14.63,0.2,48
153,SUZANNE,NICHOLS,Indonesia,Jakarta,2,2005-08,41.9,10,17.62,0.2,5
328,JEFFREY,SPEAR,Indonesia,Ciparay,2,2005-08,40.89,11,16.63,0.1818,6
279,DIANNE,SHELTON,Iran,Tabriz,2,2005-08,66.86,14,21.28,0.1429,2
36,KATHLEEN,ADAMS,Iran,Arak,2,2005-08,48.89,11,14.61,0.1818,4
161,GERALDINE,PERKINS,Israel,Tel Aviv-Jaffa,1,2005-08,45.88,12,22.27,0.1667,1
439,ALEXANDER,FENNELL,Italy,Bergamo,2,2005-08,67.85,15,27.93,0.1333,1
499,MARC,OUTLAW,Italy,Brindisi,2,2005-08,61.87,13,20.61,0.1538,2
541,DARREN,WINDHAM,Italy,Livorno,2,2005-08,51.87,13,18.96,0.1538,3
147,JOANNE,ROBERTSON,Japan,Urawa,2,2005-08,76.85,15,16.94,0.1333,1
29,ANGELA,HERNANDEZ,Japan,Shimonoseki,2,2005-08,68.84,16,23.6,0.125,2
54,TERESA,ROGERS,Japan,Iwakuni,1,2005-08,64.86,14,21.28,0.1429,3
141,DEBBIE,REYES,Japan,Fukuyama,1,2005-08,64.83,17,21.95,0.1176,4
404,STANLEY,SCROGGINS,Japan,Omiya,2,2005-08,57.89,11,27.27,0.1818,5
489,RICARDO,MEADOR,Japan,Okayama,1,2005-08,55.9,10,14.63,0.2,6
253,TERRY,CARLSON,Japan,Miyakonojo,1,2005-08,52.89,11,24.94,0.1818,7
396,EARL,SHANKS,Japan,Iwatsuki,1,2005-08,51.89,11,19.95,0.1818,8
503,ANGEL,BARCLAY,Japan,Ueda,1,2005-08,48.85,15,22.28,0.1333,10
385,PHILLIP,HOLM,Japan,Tama,1,2005-08,43.9,10,19.28,0.2,12
34,REBECCA,SCOTT,Japan,Kurashiki,2,2005-08,43.88,12,15.29,0.1667,14
234,CLAUDIA,FULLER,Kuwait,Jalib al-Shuyukh,1,2005-08,53.87,13,18.96,0.1538,1
81,ANDREA,HENDERSON,Madagascar,Mahajanga,1,2005-08,55.88,12,12.63,0.1667,1
166,LYNN,PAYNE,Malawi,Lilongwe,1,2005-08,50.9,10,24.27,0.2,1
306,CHARLES,KOWALSKI,Malaysia,Sungai Petani,1,2005-08,65.86,14,24.27,0.1429,1
58,JEAN,BELL,Malaysia,Kuching,1,2005-08,58.89,11,18.62,0.1818,2
150,DANIELLE,DANIELS,Mexico,Hidalgo,2,2005-08,68.84,16,12.3,0.125,1
575,ISAAC,OGLESBY,Mexico,Cuernavaca,2,2005-08,61.88,12,21.61,0.1667,3
451,JIM,REA,Mexico,El Fuerte,1,2005-08,60.84,16,22.61,0.125,4
247,STELLA,MORENO,Mexico,Coacalco de Berriozbal,1,2005-08,48.89,11,18.63,0.1818,6
177,SAMANTHA,DUNCAN,Mexico,Matamoros,2,2005-08,33.89,11,12.63,0.1818,19
22,LAURA,RODRIGUEZ,Morocco,Sal,1,2005-08,54.9,10,17.96,0.2,1
40,AMANDA,CARTER,Morocco,Nador,2,2005-08,47.89,11,20.95,0.1818,2
256,MABEL,HOLLAND,Myanmar,Monywa,2,2005-08,53.88,12,19.61,0.1667,1
4,BARBARA,JONES,Myanmar,Myingyan,2,2005-08,42.89,11,12.96,0.1818,2
513,DUANE,TUBBS,Nauru,Yangor,2,2005-08,69.86,14,26.28,0.1429,1
474,DUSTIN,GILLETTE,Netherlands,Emmen,2,2005-08,42.88,12,18.96,0.1667,2
198,ELSIE,KELLEY,Nigeria,Ikerre,2,2005-08,70.84,16,23.6,0.125,1
280,TRACEY,BARRETT,Nigeria,Owo,2,2005-08,68.88,12,16.62,0.1667,2
277,OLGA,JIMENEZ,Nigeria,Ogbomosho,2,2005-08,61.88,12,27.6,0.1667,3
80,MARILYN,ROSS,Nigeria,Ife,1,2005-08,56.86,14,25.95,0.1429,4
157,DARLENE,ROSE,North Korea,Pyongyang,2,2005-08,53.89,11,19.93,0.1818,1
416,JEFFERY,PINSON,Pakistan,Dadu,2,2005-08,63.87,13,19.27,0.1538,1
226,MAUREEN,LITTLE,Paraguay,Asuncin,2,2005-08,37.9,10,16.63,0.2,2
565,JAIME,NETTLES,Peru,Hunuco,2,2005-08,66.87,13,19.95,0.1538,1
597,FREDDIE,DUGGAN,Peru,Sullana,1,2005-08,47.88,12,15.63,0.1667,2
373,LOUIS,LEONE,Philippines,Tanauan,1,2005-08,76.85,15,27.94,0.1333,1
349,JOE,GILLILAND,Philippines,Imus,2,2005-08,64.89,11,23.61,0.1818,2
263,HILDA,HOPKINS,Philippines,Mandaluyong,1,2005-08,60.89,11,20.28,0.1818,3
434,EDDIE,TOMLIN,Philippines,Ozamis,1,2005-08,52.9,10,25.28,0.2,5
461,DEREK,BLAKELY,Philippines,Gingoog,1,2005-08,52.86,14,14.95,0.1429,7
388,CRAIG,MORRELL,Philippines,Cavite,2,2005-08,50.89,11,24.27,0.1818,8
580,ROSS,GREY,Philippines,Iligan,1,2005-08,47.9,10,17.28,0.2,9
72,THERESA,WATSON,Philippines,Taguig,2,2005-08,46.84,16,17.62,0.125,11
188,MELANIE,ARMSTRONG,Philippines,Bayugan,1,2005-08,43.88,12,15.29,0.1667,14
270,LEAH,CURTIS,Poland,Kalisz,1,2005-08,44.88,12,19.96,0.1667,2
148,ELEANOR,HUNT,Runion,Saint-Denis,1,2005-08,87.82,18,42.91,0.1111,1
487,HECTOR,POINDEXTER,Russian Federation,Pjatigorsk,2,2005-08,68.89,11,16.95,0.1818,1
160,ERIN,DUNN,Russian Federation,Ljubertsy,2,2005-08,66.85,15,13.29,0.1333,2
46,CATHERINE,CAMPBELL,Russian Federation,Moscow,2,2005-08,65.84,16,25.61,0.125,3
127,ELAINE,STEVENS,Russian Federation,Smolensk,2,2005-08,56.88,12,16.96,0.1667,4
397,JIMMY,SCHRADER,Russian Federation,Atinsk,1,2005-08,45.87,13,19.95,0.1538,7
417,TRAVIS,ESTEP,Saudi Arabia,al-Qatif,1,2005-08,48.87,13,19.63,0.1538,1
456,RONNIE,RICKETTS,Senegal,Ziguinchor,2,2005-08,44.9,10,18.62,0.2,1
471,DEAN,SAUER,South Africa,Johannesburg,1,2005-08,55.88,12,17.95,0.1667,1
407,DALE,RATCLIFF,South Africa,Rustenburg,1,2005-08,50.87,13,20.62,0.1538,3
145,LUCILLE,HOLMES,South Africa,Soshanguve,1,2005-08,45.9,10,20.94,0.2,4
555,DWIGHT,LOMBARDI,South Africa,Chatsworth,1,2005-08,42.9,10,10.64,0.2,6
237,TANYA,GILBERT,South Korea,Naju,1,2005-08,60.89,11,27.93,0.1818,1
408,MANUEL,MURRELL,Sri Lanka,Jaffna,1,2005-08,46.88,12,23.27,0.1667,1
348,ROGER,QUINTANILLA,Taiwan,Hsichuh,2,2005-08,60.85,15,28.6,0.1333,1
139,AMBER,DIXON,Taiwan,Touliu,1,2005-08,46.89,11,22.28,0.1818,3
190,YOLANDA,WEAVER,Tanzania,Tabora,2,2005-08,49.88,12,18.62,0.1667,1
220,CHARLENE,ALVAREZ,Tanzania,Zanzibar,2,2005-08,48.88,12,21.95,0.1667,2
172,BERNICE,WILLIS,Turkey,Batman,1,2005-08,58.87,13,28.93,0.1538,1
327,LARRY,THRASHER,Turkey,Adana,2,2005-08,58.87,13,16.96,0.1538,2
518,GABRIEL,HARDER,Turkey,Sivas,1,2005-08,45.9,10,21.95,0.2,7
512,CECIL,VINES,United Kingdom,London,1,2005-08,62.87,13,17.29,0.1538,1
16,SANDRA,MARTIN,United Kingdom,Southend-on-Sea,2,2005-08,48.9,10,23.27,0.2,2
181,ANA,BRADLEY,United States,Memphis,2,2005-08,71.84,16,33.28,0.125,2
146,JAMIE,RICE,United States,Sterling Heights,1,2005-08,63.87,13,25.28,0.1538,3
112,ROSA,REYNOLDS,United States,Lancaster,2,2005-08,62.87,13,23.61,0.1538,4
51,ALICE,STEWART,United States,Fontana,1,2005-08,61.84,16,25.61,0.125,5
275,CAROLE,BARNETT,United States,Peoria,2,2005-08,59.84,16,16.29,0.125,6
294,SHELLY,WATTS,United States,Dayton,2,2005-08,57.87,13,18.62,0.1538,7
308,THOMAS,GRIGSBY,United States,Kansas City,1,2005-08,53.87,13,17.29,0.1538,8
214,KRISTIN,JOHNSTON,United States,Sunnyvale,1,2005-08,53.86,14,19.95,0.1429,9
6,JENNIFER,DAVIS,United States,Laredo,2,2005-08,48.88,12,14.95,0.1667,11
63,ASHLEY,RICHARDSON,United States,Lincoln,1,2005-08,46.9,10,21.95,0.2,14
453,CALVIN,MARTEL,Venezuela,Maracabo,1,2005-08,45.9,10,21.96,0.2,1
532,NEIL,RENNER,Vietnam,Cam Ranh,2,2005-08,69.86,14,27.28,0.1429,1
340,PATRICK,NEWSOM,Vietnam,Hanoi,1,2005-08,52.86,14,22.28,0.1429,4
210,ELLA,OLIVER,Yemen,Aden,2,2005-08,56.9,10,26.93,0.2,1
69,JUDY,GRAY,Algeria,Bchar,2,2006-02,0.99,1,0.0,1.0,2
359,WILLIE,MARKHAM,Argentina,Almirante Brown,2,2006-02,4.99,1,0.0,1.0,2
405,LEONARD,SCHOFIELD,Argentina,Tandil,1,2006-02,0.99,1,0.0,1.0,7
590,SETH,HANNON,Bahrain,al-Manama,2,2006-02,2.99,1,0.0,1.0,1
431,JOEL,FRANCISCO,Bolivia,Sucre,2,2006-02,2.99,1,0.0,1.0,1
178,MARION,SNYDER,Brazil,Santa Brbara dOeste,2,2006-02,4.99,1,0.0,1.0,3
374,JEREMY,HURTADO,Brazil,Vitria de Santo Anto,2,2006-02,2.99,1,0.0,1.0,4
352,ALBERT,CROUSE,Cameroon,Bamenda,1,2006-02,2.99,1,0.0,1.0,2
64,JUDITH,COX,China,Daxian,2,2006-02,4.99,1,0.0,1.0,2
211,STACEY,MONTGOMERY,China,Fuyu,1,2006-02,4.99,1,0.0,1.0,2
496,TYLER,WREN,China,Rizhao,2,2006-02,2.99,1,0.0,1.0,5
533,JESSIE,MILAM,China,Binzhou,1,2006-02,2.99,1,0.0,1.0,5
550,GUY,BROWNLEE,China,Zhoushan,2,2006-02,2.99,1,0.0,1.0,5
424,KYLE,SPURLOCK,China,Shanwei,2,2006-02,0.99,1,0.0,1.0,10
114,GRACE,ELLIS,Germany,Duisburg,2,2006-02,4.99,1,0.0,1.0,1
227,COLLEEN,BURTON,Germany,Saarbrcken,1,2006-02,4.99,1,0.0,1.0,1
448,MIGUEL,BETANCOURT,Germany,Erlangen,1,2006-02,3.98,2,0.0,1.0,3
192,LAURIE,LAWRENCE,India,Firozabad,1,2006-02,4.99,1,0.0,1.0,3
15,HELEN,HARRIS,India,Bhopal,1,2006-02,3.98,2,0.0,1.0,7
186,HOLLY,FOX,India,Haldia,2,2006-02,2.99,1,0.0,1.0,9
296,RAMONA,HALE,India,Patiala,2,2006-02,2.99,1,0.0,1.0,9
287,BECKY,MILES,India,Tambaram,2,2006-02,0.99,1,0.0,1.0,13
336,JOSHUA,MARK,India,Rampur,1,2006-02,0.99,1,0.0,1.0,13
411,NORMAN,CURRIER,Indonesia,Cianjur,1,2006-02,4.99,1,0.0,1.0,1
315,KENNETH,GOODEN,Israel,Bat Yam,2,2006-02,2.99,1,0.0,1.0,1
53,HEATHER,MORRIS,Japan,Nagareyama,1,2006-02,7.98,2,0.0,1.0,1
163,CATHY,SPENCER,Japan,Kakamigahara,1,2006-02,7.98,2,0.0,1.0,1
264,GWENDOLYN,MAY,Japan,Higashiosaka,1,2006-02,2.99,1,0.0,1.0,3
11,LISA,ANDERSON,Japan,Sagamihara,2,2006-02,0.99,1,0.0,1.0,4
337,JERRY,JORDON,Japan,Onomichi,1,2006-02,0.99,1,0.0,1.0,4
23,SARAH,LEWIS,Latvia,Liepaja,2,2006-02,2.99,1,0.0,1.0,1
557,FELIX,GAFFNEY,Lithuania,Vilnius,1,2006-02,4.99,1,0.0,1.0,1
58,JEAN,BELL,Malaysia,Kuching,1,2006-02,0.99,1,0.0,1.0,1
115,WENDY,HARRISON,Mexico,Nezahualcyotl,1,2006-02,2.99,1,0.0,1.0,2
582,ANDY,VANHORN,Mexico,Huejutla de Reyes,2,2006-02,2.99,1,0.0,1.0,2
570,IVAN,CROMWELL,Mexico,Monclova,2,2006-02,0.99,1,0.0,1.0,4
22,LAURA,RODRIGUEZ,Morocco,Sal,1,2006-02,4.99,1,0.0,1.0,1
284,SONIA,GREGORY,Nigeria,Benin City,1,2006-02,5.98,2,0.0,1.0,1
80,MARILYN,ROSS,Nigeria,Ife,1,2006-02,2.99,1,0.0,1.0,2
388,CRAIG,MORRELL,Philippines,Cavite,2,2006-02,0.99,1,0.0,1.0,6
548,ALLAN,CORNISH,Philippines,Tarlac,1,2006-02,0.99,1,0.0,1.0,6
100,ROBIN,HAYES,Russian Federation,Jelets,1,2006-02,0.99,1,0.0,1.0,2
191,JEANETTE,GREENE,Russian Federation,Novoterkassk,1,2006-02,0.99,1,0.0,1.0,2
295,DAISY,BATES,Russian Federation,Kolpino,1,2006-02,0.99,1,0.0,1.0,2
417,TRAVIS,ESTEP,Saudi Arabia,al-Qatif,1,2006-02,2.99,1,0.0,1.0,1
101,PEGGY,MYERS,Saudi Arabia,Abha,1,2006-02,0.99,1,0.0,1.0,2
83,LOUISE,JENKINS,South Africa,Springs,1,2006-02,4.99,1,0.0,1.0,1
394,CHRIS,BROTHERS,Spain,Gijn,2,2006-02,4.99,1,0.0,1.0,1
155,GAIL,KNIGHT,Switzerland,Bern,1,2006-02,7.98,2,0.0,1.0,1
42,CAROLYN,PEREZ,Thailand,Pak Kret,2,2006-02,5.98,2,0.0,0.5,1
335,GREGORY,MAULDIN,Tunisia,Sousse,1,2006-02,0.99,1,0.0,1.0,1
366,BRANDON,HUEY,Turkey,Balikesir,1,2006-02,4.99,1,0.0,1.0,1
327,LARRY,THRASHER,Turkey,Adana,2,2006-02,2.99,1,0.0,1.0,2
452,TOM,MILNER,United Arab Emirates,Abu Dhabi,1,2006-02,4.99,1,0.0,1.0,1
512,CECIL,VINES,United Kingdom,London,1,2006-02,0.99,1,0.0,1.0,3
14,BETTY,WHITE,United States,Citrus Heights,2,2006-02,4.99,1,0.0,1.0,1
269,CASSANDRA,WALTERS,United States,Salinas,1,2006-02,3.98,2,0.0,1.0,3
330,SCOTT,SHELLEY,United States,Aurora,1,2006-02,2.99,1,0.0,1.0,5
479,ZACHARY,HITE,United States,Akron,1,2006-02,0.99,1,0.0,1.0,8
532,NEIL,RENNER,Vietnam,Cam Ranh,2,2006-02,0.99,1,0.0,1.0,3
213,GINA,WILLIAMSON,Yemen,Taizz,1,2006-02,2.99,1,0.0,1.0,1
438,BARRY,LOVELACE,Zambia,Kitwe,1,2006-02,0.99,1,0.0,1.0,1
