customer_id,customer_name,country,city,payment_date,payment_count,total_amount,avg_amount_prev_30_days,exceed_ratio,day_amount_rank
479,ZACHARY HITE,United States,Akron,2005-06-17,4,13.96,0.4,34.96,2
404,STANLEY SCROGGINS,Japan,Omiya,2005-07-08,4,21.96,0.63,34.77,2
198,ELSIE KELLEY,Nigeria,Ikerre,2005-07-12,3,14.97,0.43,34.68,2
535,JAVIER ELROD,Chad,NDjamna,2005-07-08,3,16.97,0.5,34.01,2
63,ASHLEY RICHARDSON,United States,Lincoln,2005-07-10,3,16.97,0.5,34.01,1
134,EMMA BOYD,Egypt,Qalyub,2005-08-02,4,20.96,0.63,33.2,1
50,DIANE COLLINS,Sudan,Omdurman,2005-07-10,3,21.97,0.66,33.05,2
190,YOLANDA WEAVER,Tanzania,Tabora,2005-07-27,3,13.97,0.43,32.31,2
261,DEANNA BYRD,Philippines,Tuguegarao,2005-07-31,3,14.97,0.47,32.17,2
414,VINCENT RALSTON,Mexico,Allende,2005-08-19,5,17.95,0.56,31.79,1
240,MARLENE WELCH,Japan,Iwaki,2005-07-27,3,18.97,0.6,31.72,1
149,VALERIE BLACK,United States,Brockton,2005-06-18,3,18.97,0.6,31.69,1
187,BRITTANY RILEY,Ukraine,Sumy,2005-08-18,3,26.97,0.9,30.02,1
283,FELICIA SUTTON,China,Korla,2005-07-06,4,17.96,0.6,30.02,1
237,TANYA GILBERT,South Korea,Naju,2005-07-28,3,16.97,0.57,30.02,3
90,RUBY WASHINGTON,China,Meixian,2005-07-27,3,13.97,0.47,30.02,2
407,DALE RATCLIFF,South Africa,Rustenburg,2005-07-28,4,22.96,0.77,30.01,1
17,DONNA THOMPSON,Russian Federation,Elista,2005-07-30,4,21.96,0.73,30.01,1
206,TERRI VASQUEZ,Brazil,Blumenau,2005-07-06,3,11.97,0.4,30.0,3
97,ANNIE RUSSELL,Mozambique,Tete,2005-07-06,3,8.97,0.3,30.0,1
88,BONNIE HUGHES,South Korea,Cheju,2005-07-06,4,13.96,0.47,29.98,1
4,BARBARA JONES,Myanmar,Myingyan,2005-06-16,3,4.97,0.17,29.88,9
279,DIANNE SHELTON,Iran,Tabriz,2005-07-09,3,20.97,0.73,28.67,1
546,KELLY KNOTT,China,Sanya,2005-07-12,3,19.97,0.7,28.64,1
342,HAROLD MARTINO,Brazil,Boa Vista,2005-07-12,3,19.97,0.7,28.6,1
261,DEANNA BYRD,Philippines,Tuguegarao,2005-06-17,3,18.97,0.67,28.53,1
139,AMBER DIXON,Taiwan,Touliu,2005-07-09,3,17.97,0.63,28.46,2
532,NEIL RENNER,Vietnam,Cam Ranh,2005-07-09,3,15.97,0.57,28.25,2
401,TONY CARRANZA,Japan,Koriyama,2005-07-29,3,14.97,0.53,28.16,1
129,CARRIE PORTER,China,Liaocheng,2005-07-31,4,26.96,0.96,28.0,1
91,LOIS BUTLER,Brunei,Bandar Seri Begawan,2005-07-07,3,12.97,0.47,27.89,1
557,FELIX GAFFNEY,Lithuania,Vilnius,2005-07-30,4,12.96,0.46,27.89,1
513,DUANE TUBBS,Nauru,Yangor,2005-07-29,4,25.96,0.93,27.88,1
210,ELLA OLIVER,Yemen,Aden,2005-07-07,4,12.96,0.47,27.85,5
44,MARIE TURNER,Russian Federation,Lipetsk,2005-07-10,4,24.96,0.9,27.8,1
3,LINDA WILLIAMS,Greece,Athenai,2005-07-28,4,24.96,0.9,27.77,1
577,CLIFTON MALCOLM,Taiwan,Tanshui,2005-07-28,3,21.97,0.8,27.54,1
345,CARL ARTIS,Paraguay,San Lorenzo,2005-07-07,3,10.97,0.4,27.52,2
581,VIRGIL WOFFORD,Mexico,Jos Azueta,2005-07-07,3,10.97,0.4,27.49,5
348,ROGER QUINTANILLA,Taiwan,Hsichuh,2005-07-08,4,20.96,0.77,27.4,1
262,PATSY DAVIDSON,Ecuador,Portoviejo,2005-07-12,4,26.96,1.0,27.04,1
245,COURTNEY DAY,South Korea,Uijongbu,2005-07-27,5,17.95,0.67,26.99,2
190,YOLANDA WEAVER,Tanzania,Tabora,2005-08-02,4,24.96,0.93,26.81,1
458,LLOYD DOWD,Indonesia,Tegal,2005-07-12,3,15.97,0.6,26.71,1
387,JESSE SCHILLING,"Congo, The Democratic Republic of the",Lubumbashi,2005-08-19,3,15.97,0.6,26.71,1
184,VIVIAN RUIZ,Netherlands,s-Hertogenbosch,2005-08-18,3,15.97,0.6,26.68,1
514,FRANKLIN TROUTMAN,China,Zaoyang,2005-08-18,4,13.96,0.53,26.24,1
492,LESTER KRAUS,India,Kanchrapara,2005-07-07,3,18.97,0.73,25.92,1
519,RON DELUCA,Japan,Isesaki,2005-07-31,5,23.95,0.93,25.73,1
553,MAX PITT,Yugoslavia,Novi Sad,2005-07-06,5,22.95,0.9,25.54,1
515,ANDRE RAPP,Chile,Coquimbo,2005-08-17,3,15.97,0.63,25.28,2
311,PAUL TROUT,Russian Federation,Kursk,2005-07-31,3,20.97,0.83,25.21,1
162,LAUREN HUDSON,France,Le Mans,2005-07-31,3,14.97,0.6,25.01,1
526,KARL SEAL,United States,Cape Coral,2005-06-17,4,14.96,0.6,24.99,3
475,PEDRO CHESTNUT,Ukraine,ostka,2005-07-09,4,14.96,0.6,24.97,2
121,JOSEPHINE GOMEZ,India,Etawah,2005-07-27,3,4.97,0.2,24.93,12
247,STELLA MORENO,Mexico,Coacalco de Berriozbal,2005-08-18,3,17.97,0.73,24.57,1
38,MARTHA GONZALEZ,Moldova,Chisinau,2005-07-07,3,12.97,0.53,24.39,2
98,LILLIAN GRIFFIN,United Arab Emirates,al-Ayn,2005-07-29,3,16.97,0.7,24.3,1
26,JESSICA HALL,Holy See (Vatican City State),Citt del Vaticano,2005-08-21,4,23.96,1.0,24.03,1
384,ERNEST STEPP,China,Huaian,2005-08-22,3,11.97,0.5,24.02,4
521,ROLAND SOUTH,China,Yingkou,2005-08-17,3,11.97,0.5,24.0,1
232,CONSTANCE REID,Nigeria,Zaria,2005-07-28,4,11.96,0.5,23.97,3
581,VIRGIL WOFFORD,Mexico,Jos Azueta,2005-07-08,4,17.96,0.76,23.49,1
517,BRAD MCCURDY,Taiwan,Chungho,2005-07-07,4,17.96,0.77,23.48,1
234,CLAUDIA FULLER,Kuwait,Jalib al-Shuyukh,2005-08-02,4,17.96,0.77,23.48,1
226,MAUREEN LITTLE,Paraguay,Asuncin,2005-08-21,4,13.96,0.6,23.33,2
569,DAVE GARDINER,China,Leshan,2005-07-30,3,9.97,0.43,23.06,6
267,MARGIE WADE,China,Lengshuijiang,2005-06-19,4,22.96,1.0,23.01,1
104,RITA GRAHAM,France,Toulon,2005-07-08,3,15.97,0.7,22.88,1
316,STEVEN CURLEY,India,Miraj,2005-07-27,4,15.96,0.7,22.84,1
71,KATHY JAMES,Philippines,Baybay,2005-07-10,3,18.97,0.83,22.82,1
367,ADAM GOOCH,India,Adoni,2005-08-18,3,14.97,0.67,22.51,2
198,ELSIE KELLEY,Nigeria,Ikerre,2005-08-17,6,22.94,1.03,22.27,1
357,KEITH RICO,Slovakia,Bratislava,2005-07-11,3,16.97,0.76,22.2,1
2,PATRICIA JOHNSON,United States,San Bernardino,2005-07-30,5,30.95,1.4,22.15,1
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-07-10,3,13.97,0.63,22.13,2
474,DUSTIN GILLETTE,Netherlands,Emmen,2005-08-18,4,13.96,0.63,22.11,1
557,FELIX GAFFNEY,Lithuania,Vilnius,2005-07-12,4,10.96,0.5,21.99,3
68,NICOLE PETERSON,India,Shivapuri,2005-06-19,3,10.97,0.5,21.97,3
267,MARGIE WADE,China,Lengshuijiang,2005-07-30,3,15.97,0.73,21.84,2
212,WILMA RICHARDS,United States,Bellevue,2005-08-18,3,12.97,0.6,21.68,2
123,SHANNON FREEMAN,India,Varanasi (Benares),2005-07-28,4,12.96,0.6,21.64,1
410,CURTIS IRBY,Canada,Richmond Hill,2005-07-09,4,17.96,0.83,21.62,2
332,STEPHEN QUALLS,Bangladesh,Dhaka,2005-07-09,5,9.95,0.47,21.35,5
30,MELISSA KING,Taiwan,Lungtan,2005-07-09,3,16.97,0.8,21.27,2
538,TED BREAUX,China,Baicheng,2005-07-09,3,16.97,0.8,21.26,2
444,MARCUS HIDALGO,Estonia,Tartu,2005-06-15,3,6.97,0.33,20.95,7
388,CRAIG MORRELL,Philippines,Cavite,2005-08-18,4,17.96,0.86,20.8,1
351,JACK FOUST,Russian Federation,Zeleznogorsk,2005-07-08,3,8.97,0.43,20.76,4
254,MAXINE SILVA,Brazil,Poos de Caldas,2005-07-10,4,19.96,0.96,20.71,1
520,MITCHELL WESTMORELAND,Vietnam,Nha Trang,2005-07-10,3,19.97,0.96,20.7,1
331,ERIC ROBERT,Argentina,Santa F,2005-07-07,3,21.97,1.06,20.64,1
259,LENA JENSEN,India,Halisahar,2005-07-30,3,21.97,1.06,20.64,1
45,JANET PHILLIPS,Chile,Antofagasta,2005-08-02,5,27.95,1.36,20.5,1
336,JOSHUA MARK,India,Rampur,2005-07-29,3,16.97,0.83,20.41,1
27,SHIRLEY ALLEN,Philippines,Davao,2005-07-31,3,18.97,0.93,20.39,2
384,ERNEST STEPP,China,Huaian,2005-06-20,3,18.97,0.93,20.38,1
183,IDA ANDREWS,Brazil,Luzinia,2005-07-31,3,13.97,0.7,20.03,1
138,HAZEL WARREN,China,Hohhot,2005-07-28,3,11.97,0.6,20.03,2
33,ANNA HILL,Italy,Alessandria,2005-07-30,3,11.97,0.6,20.01,1
430,RAY HOULE,Russian Federation,Dzerzinsk,2005-08-20,3,9.97,0.5,20.01,4
205,EILEEN CARR,Paraguay,Ciudad del Este,2005-08-21,4,15.96,0.8,19.99,1
122,THELMA MURRAY,Peru,Lima,2005-06-18,3,9.97,0.5,19.99,3
241,HEIDI LARSON,China,Xiangfan,2005-06-18,3,7.97,0.4,19.96,8
467,ALVIN DELOACH,Mexico,Cuauhtmoc,2005-07-28,4,20.96,1.06,19.69,1
266,NORA HERRERA,Austria,Salzburg,2005-08-02,3,16.97,0.86,19.63,3
424,KYLE SPURLOCK,China,Shanwei,2005-07-30,4,14.96,0.76,19.59,2
390,SHAWN HEATON,Thailand,Nakhon Sawan,2005-08-20,6,27.94,1.43,19.54,1
74,DENISE KELLY,Brazil,Rio Claro,2005-07-10,3,10.97,0.57,19.42,1
157,DARLENE ROSE,North Korea,Pyongyang,2005-07-27,3,10.97,0.57,19.42,3
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-19,5,21.95,1.13,19.41,1
241,HEIDI LARSON,China,Xiangfan,2005-07-09,3,8.97,0.46,19.32,4
347,RYAN SALISBURY,Latvia,Daugavpils,2005-07-28,4,15.96,0.83,19.21,1
135,JUANITA MASON,India,Pune,2005-07-27,3,13.97,0.73,19.1,2
277,OLGA JIMENEZ,Nigeria,Ogbomosho,2005-06-21,3,13.97,0.73,19.09,2
591,KENT ARSENAULT,Brazil,Juiz de Fora,2005-07-27,4,20.96,1.1,19.08,2
68,NICOLE PETERSON,India,Shivapuri,2005-07-31,3,16.97,0.9,18.9,1
139,AMBER DIXON,Taiwan,Touliu,2005-08-22,5,21.95,1.16,18.86,1
540,TYRONE ASHER,Bulgaria,Ruse,2005-08-02,4,24.96,1.33,18.76,1
518,GABRIEL HARDER,Turkey,Sivas,2005-07-27,4,14.96,0.8,18.74,1
106,CONNIE WALLACE,Russian Federation,Ivanovo,2005-07-27,3,9.97,0.53,18.74,2
25,DEBORAH WALKER,Pakistan,Shikarpur,2005-07-30,3,12.97,0.7,18.59,1
454,ALEX GRESHAM,Mexico,Uruapan,2005-06-17,3,12.97,0.7,18.56,3
327,LARRY THRASHER,Turkey,Adana,2005-08-23,3,23.97,1.3,18.5,1
78,LORI WOOD,India,Rae Bareli,2005-07-28,3,15.97,0.86,18.49,1
270,LEAH CURTIS,Poland,Kalisz,2005-08-01,3,18.97,1.03,18.4,1
544,CODY NOLEN,Brazil,So Bernardo do Campo,2005-08-21,3,18.97,1.03,18.4,1
279,DIANNE SHELTON,Iran,Tabriz,2005-08-19,4,18.96,1.03,18.39,2
27,SHIRLEY ALLEN,Philippines,Davao,2005-08-17,3,21.97,1.2,18.35,1
450,JAY ROBB,Indonesia,Surakarta,2005-08-20,3,10.97,0.6,18.35,2
478,LEWIS LYMAN,Israel,Ashqelon,2005-07-31,3,10.97,0.6,18.32,2
452,TOM MILNER,United Arab Emirates,Abu Dhabi,2005-07-06,3,13.97,0.76,18.28,1
566,CASEY MENA,Turkey,Tokat,2005-07-28,4,13.96,0.77,18.25,2
451,JIM REA,Mexico,El Fuerte,2005-07-08,3,16.97,0.93,18.23,2
81,ANDREA HENDERSON,Madagascar,Mahajanga,2005-08-21,3,16.97,0.93,18.23,1
597,FREDDIE DUGGAN,Peru,Sullana,2005-08-02,4,16.96,0.93,18.22,1
461,DEREK BLAKELY,Philippines,Gingoog,2005-08-22,5,22.95,1.26,18.19,1
563,KEN PREWITT,Romania,Bucuresti,2005-07-29,4,22.96,1.26,18.18,2
468,TIM CARY,India,Bijapur,2005-08-21,5,32.95,1.83,18.01,1
583,MARSHALL THORN,United Kingdom,Southampton,2005-07-06,3,17.97,1.0,18.01,1
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-07-07,3,11.97,0.66,18.01,4
92,TINA SIMMONS,Brazil,Goinia,2005-07-10,4,23.96,1.33,18.0,1
171,DOLORES WAGNER,Malaysia,Ipoh,2005-08-19,4,14.96,0.83,17.99,1
436,TROY QUIGLEY,Canada,Vancouver,2005-07-08,3,8.97,0.5,17.98,7
449,OSCAR AQUINO,Iran,Sirjan,2005-08-01,4,21.96,1.23,17.84,1
375,AARON SELBY,"Congo, The Democratic Republic of the",Mwene-Ditu,2005-08-02,3,18.97,1.06,17.83,1
441,MARIO CHEATHAM,Algeria,Batna,2005-07-29,5,18.95,1.06,17.82,1
170,BEATRICE ARNOLD,India,Udaipur,2005-07-10,3,15.97,0.9,17.79,2
486,GLEN TALBERT,Mexico,Acua,2005-07-07,3,12.97,0.73,17.73,1
239,MINNIE ROMERO,Indonesia,Ciomas,2005-07-27,3,12.97,0.73,17.73,2
21,MICHELLE CLARK,Bangladesh,Tangail,2005-08-20,4,32.96,1.86,17.71,1
566,CASEY MENA,Turkey,Tokat,2005-07-06,3,9.97,0.57,17.64,6
256,MABEL HOLLAND,Myanmar,Monywa,2005-08-20,4,13.96,0.8,17.49,2
459,TOMMY COLLAZO,Iran,Qomsheh,2005-06-20,3,6.97,0.4,17.48,11
10,DOROTHY TAYLOR,Iran,Esfahan,2005-07-28,3,14.97,0.86,17.32,1
538,TED BREAUX,China,Baicheng,2005-07-31,3,18.97,1.1,17.3,1
206,TERRI VASQUEZ,Brazil,Blumenau,2005-08-19,3,18.97,1.1,17.29,1
575,ISAAC OGLESBY,Mexico,Cuernavaca,2005-08-18,3,22.97,1.33,17.27,1
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-29,3,15.97,0.93,17.15,2
41,STEPHANIE MITCHELL,Armenia,Yerevan,2005-07-27,3,11.97,0.7,17.13,2
151,MEGAN PALMER,China,Laiwu,2005-06-20,3,7.97,0.47,17.12,4
508,MILTON HOWLAND,India,Vijayawada,2005-07-27,3,17.97,1.07,16.87,1
196,ALMA AUSTIN,Germany,Mannheim,2005-07-31,3,22.97,1.36,16.85,1
499,MARC OUTLAW,Italy,Brindisi,2005-07-28,4,13.96,0.83,16.79,3
241,HEIDI LARSON,China,Xiangfan,2005-07-11,3,14.97,0.9,16.7,1
484,ROBERTO VU,China,Yinchuan,2005-07-10,3,14.97,0.9,16.67,2
2,PATRICIA JOHNSON,United States,San Bernardino,2005-07-29,3,14.97,0.9,16.66,4
598,WADE DELVALLE,Switzerland,Lausanne,2005-07-12,4,14.96,0.9,16.66,1
424,KYLE SPURLOCK,China,Shanwei,2005-07-31,3,20.97,1.26,16.61,1
340,PATRICK NEWSOM,Vietnam,Hanoi,2005-08-01,4,16.96,1.03,16.46,1
447,CLIFFORD BOWENS,Russian Federation,Nabereznyje Telny,2005-07-30,3,17.97,1.1,16.38,1
38,MARTHA GONZALEZ,Moldova,Chisinau,2005-07-27,4,17.96,1.1,16.37,1
266,NORA HERRERA,Austria,Salzburg,2005-08-18,4,17.96,1.1,16.37,2
41,STEPHANIE MITCHELL,Armenia,Yerevan,2005-07-28,4,17.96,1.1,16.36,1
112,ROSA REYNOLDS,United States,Lancaster,2005-07-31,4,17.96,1.1,16.36,2
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-07-27,3,11.97,0.73,16.36,4
167,SALLY PIERCE,India,Chandrapur,2005-07-09,4,11.96,0.73,16.35,1
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-12,3,18.97,1.16,16.3,1
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-08-23,5,25.95,1.6,16.26,1
299,JAMES GANNON,Japan,Hiroshima,2005-06-19,3,12.97,0.8,16.23,3
474,DUSTIN GILLETTE,Netherlands,Emmen,2005-07-08,5,12.95,0.8,16.21,2
326,JOSE ANDREW,Saint Vincent and the Grenadines,Kingstown,2005-07-29,3,13.97,0.86,16.16,1
534,CHRISTIAN JUNG,India,Amroha,2005-08-01,3,13.97,0.86,16.16,1
176,JUNE CARROLL,Algeria,Skikda,2005-07-27,4,13.96,0.87,16.14,4
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-08-18,4,21.96,1.36,16.11,1
154,MICHELE GRANT,China,Yuncheng,2005-07-27,3,14.97,0.93,16.09,2
569,DAVE GARDINER,China,Leshan,2005-08-02,4,14.96,0.93,16.07,1
155,GAIL KNIGHT,Switzerland,Bern,2005-07-11,3,15.97,1.0,16.0,1
188,MELANIE ARMSTRONG,Philippines,Bayugan,2005-08-01,4,16.96,1.06,15.94,1
84,SARA PERRY,Mexico,Atlixco,2005-07-11,3,18.97,1.2,15.85,2
257,MARSHA DOUGLAS,Mozambique,Beira,2005-07-27,5,18.95,1.2,15.82,2
146,JAMIE RICE,United States,Sterling Heights,2005-07-11,3,19.97,1.26,15.8,1
65,ROSE HOWARD,French Guiana,Cayenne,2005-08-02,3,19.97,1.26,15.8,1
254,MAXINE SILVA,Brazil,Poos de Caldas,2005-07-09,3,9.97,0.63,15.79,3
420,JACOB LANCE,United States,El Monte,2005-08-01,3,20.97,1.33,15.77,1
148,ELEANOR HUNT,Runion,Saint-Denis,2005-07-28,4,20.96,1.33,15.76,2
576,MORRIS MCCARTER,Taiwan,Fengshan,2005-07-31,5,21.95,1.4,15.72,1
192,LAURIE LAWRENCE,India,Firozabad,2005-08-21,4,24.96,1.6,15.63,1
40,AMANDA CARTER,Morocco,Nador,2005-07-31,3,13.97,0.9,15.57,1
231,GEORGIA JACOBS,India,Uttarpara-Kotrung,2005-08-18,3,13.97,0.9,15.56,1
328,JEFFREY SPEAR,Indonesia,Ciparay,2005-08-20,3,14.97,0.96,15.53,1
108,TRACY COLE,Mexico,Huixquilucan,2005-07-29,3,15.97,1.03,15.5,1
361,LAWRENCE LAWTON,Cameroon,Yaound,2005-08-02,4,15.96,1.03,15.5,1
410,CURTIS IRBY,Canada,Richmond Hill,2005-07-27,3,15.97,1.03,15.49,3
174,YVONNE WATKINS,Venezuela,Ocumare del Tuy,2005-08-01,3,16.97,1.1,15.46,1
172,BERNICE WILLIS,Turkey,Batman,2005-07-27,4,16.96,1.1,15.45,2
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-08-22,4,20.96,1.36,15.37,1
132,ESTHER CRAWFORD,South Africa,Botshabelo,2005-08-01,4,22.96,1.5,15.35,1
50,DIANE COLLINS,Sudan,Omdurman,2005-07-31,5,26.95,1.8,15.01,1
106,CONNIE WALLACE,Russian Federation,Ivanovo,2005-08-01,3,20.97,1.4,15.01,1
570,IVAN CROMWELL,Mexico,Monclova,2005-07-30,3,11.97,0.8,15.01,2
9,MARGARET MOORE,Oman,Masqat,2005-08-18,3,10.97,0.73,15.01,2
453,CALVIN MARTEL,Venezuela,Maracabo,2005-08-21,4,18.96,1.26,15.0,1
47,FRANCES PARKER,Brazil,Juazeiro do Norte,2005-07-11,3,14.97,1.0,15.0,3
26,JESSICA HALL,Holy See (Vatican City State),Citt del Vaticano,2005-07-07,5,20.95,1.4,14.99,2
152,ALICIA MILLS,India,Nagaon,2005-08-19,3,11.97,0.8,14.99,1
289,VIOLET RODRIQUEZ,Hong Kong,Kowloon and New Kowloon,2005-08-18,3,10.97,0.73,14.99,5
499,MARC OUTLAW,Italy,Brindisi,2005-07-09,3,9.97,0.67,14.99,5
224,PEARL GARZA,India,Jodhpur,2005-07-29,3,8.97,0.6,14.99,2
383,MARTIN BALES,Angola,Namibe,2005-06-18,3,8.97,0.6,14.97,2
60,MILDRED BAILEY,India,Jaipur,2005-07-27,3,5.97,0.4,14.96,7
