first_name,last_name,max_daily_payment,payment_count,payment_date,suspicious_activity,total_amount
BESSIE,MORRISON,8.99,3,2005-07-27,1,12.97
BETH,FRANKLIN,4.99,3,2005-07-31,1,12.97
BETTY,WHITE,7.99,3,2005-07-09,1,13.97
BONNIE,HUGHES,2.99,3,2005-07-29,1,8.97
BONNIE,HUGHES,5.99,4,2005-07-06,1,13.96
BRAD,MCCURDY,4.99,4,2005-07-07,1,17.96
BRANDON,HUEY,4.99,4,2005-07-27,1,14.96
BRANDON,HUEY,6.99,3,2005-07-12,1,13.97
BRANDY,GRAVES,8.99,4,2005-07-30,1,16.96
BRENDA,WRIGHT,3.99,4,2005-07-27,1,11.96
BRETT,CORNWELL,4.99,3,2005-07-28,1,14.97
BYRON,BOX,10.99,4,2005-07-31,1,24.96
CARL,ARTIS,4.99,3,2005-07-07,1,10.97
CARLA,GUTIERREZ,2.99,3,2005-07-29,1,8.97
CARLA,GUTIERREZ,8.99,3,2005-07-30,1,12.97
CAROL,GARCIA,3.99,3,2005-07-08,1,11.97
CAROLYN,PEREZ,3.99,3,2005-07-29,1,10.97
CAROLYN,PEREZ,6.99,3,2005-07-28,1,10.97
CARRIE,PORTER,4.99,3,2005-07-06,1,6.970000000000001
CARRIE,PORTER,4.99,3,2005-07-09,1,6.970000000000001
CARRIE,PORTER,7.99,4,2005-07-31,1,26.96
CASEY,MENA,4.99,3,2005-07-06,1,9.97
CASEY,MENA,6.99,4,2005-07-28,1,13.96
CASEY,MENA,6.99,5,2005-07-29,1,17.950000000000003
CASSANDRA,WALTERS,5.99,3,2005-07-12,1,13.97
CHAD,CARBONE,3.99,3,2005-07-10,1,5.970000000000001
CHARLENE,ALVAREZ,2.99,3,2005-07-10,1,6.970000000000001
CHARLIE,BESS,5.99,3,2005-07-29,1,13.97
CHRISTOPHER,GRECO,4.99,3,2005-07-29,1,10.97
CHRISTY,VARGAS,2.99,3,2005-07-29,1,5.970000000000001
CLARA,SHAW,7.99,4,2005-07-30,1,17.96
CLARA,SHAW,8.99,3,2005-07-09,1,17.97
CLARENCE,GAMEZ,6.99,3,2005-07-30,1,8.97
CLIFFORD,BOWENS,6.99,3,2005-07-30,1,17.97
CLIFTON,MALCOLM,8.99,3,2005-07-28,1,21.97
CLYDE,TOBIAS,1.99,3,2005-07-06,1,3.9699999999999998
CLYDE,TOBIAS,3.99,3,2005-07-09,1,10.97
CLYDE,TOBIAS,6.99,4,2005-07-30,1,17.96
COLLEEN,BURTON,4.99,3,2005-07-29,1,6.970000000000001
CONNIE,WALLACE,4.99,3,2005-07-27,1,9.97
CONSTANCE,REID,10.99,3,2005-07-30,1,14.97
CONSTANCE,REID,4.99,3,2005-07-29,1,12.97
CONSTANCE,REID,4.99,4,2005-07-28,1,11.96
CORY,MEEHAN,4.99,3,2005-07-11,1,11.97
COURTNEY,DAY,5.99,5,2005-07-27,1,17.950000000000003
CRAIG,MORRELL,2.99,3,2005-07-31,1,6.970000000000001
CRYSTAL,FORD,3.99,3,2005-07-30,1,7.970000000000001
CRYSTAL,FORD,4.99,3,2005-07-06,1,8.97
CRYSTAL,FORD,6.99,3,2005-07-09,1,17.97
CRYSTAL,FORD,6.99,3,2005-07-27,1,8.97
CURTIS,IRBY,5.99,3,2005-07-27,1,15.97
CURTIS,IRBY,5.99,4,2005-07-09,1,17.96
CYNTHIA,YOUNG,4.99,4,2005-07-31,1,15.96
DAISY,BATES,4.99,3,2005-07-09,1,10.97
DAISY,BATES,4.99,3,2005-07-11,1,11.97
DAISY,BATES,8.99,3,2005-07-31,1,18.97
DALE,RATCLIFF,9.99,4,2005-07-28,1,22.96
DAN,PAINE,6.99,3,2005-07-29,1,15.97
DARLENE,ROSE,4.99,3,2005-07-27,1,10.97
DARLENE,ROSE,4.99,5,2005-07-29,1,12.950000000000001
DARRELL,POWER,2.99,3,2005-07-09,1,6.970000000000001
DARRYL,ASHCRAFT,4.99,3,2005-07-27,1,10.97
DARYL,LARUE,5.99,3,2005-07-31,1,13.97
DARYL,LARUE,9.99,3,2005-07-30,1,11.97
DAVE,GARDINER,4.99,3,2005-07-30,1,9.97
DAVID,ROYAL,4.99,3,2005-07-10,1,9.97
DAWN,SULLIVAN,9.99,4,2005-07-30,1,22.96
DEANNA,BYRD,4.99,3,2005-07-31,1,14.97
DEBORAH,WALKER,2.99,3,2005-07-07,1,6.970000000000001
DEBORAH,WALKER,8.99,3,2005-07-30,1,12.97
DEBRA,NELSON,4.99,3,2005-07-31,1,10.97
DEBRA,NELSON,7.99,4,2005-07-29,1,19.96
DEBRA,NELSON,8.99,3,2005-07-08,1,23.97
DELORES,HANSEN,6.99,3,2005-07-29,1,13.97
DENISE,KELLY,4.99,3,2005-07-10,1,10.97
DEREK,BLAKELY,2.99,3,2005-07-28,1,4.970000000000001
DIANA,ALEXANDER,4.99,3,2005-07-10,1,8.97
DIANE,COLLINS,10.99,5,2005-07-31,1,26.949999999999996
DIANE,COLLINS,9.99,3,2005-07-10,1,21.97
DIANNE,SHELTON,9.99,3,2005-07-09,1,20.97
DON,BONE,5.99,3,2005-07-12,1,11.97
DONNA,THOMPSON,8.99,4,2005-07-30,1,21.959999999999997
DOROTHY,TAYLOR,6.99,3,2005-07-28,1,14.97
DOROTHY,TAYLOR,7.99,3,2005-07-09,1,11.97
DUANE,TUBBS,4.99,3,2005-07-07,1,12.97
DUANE,TUBBS,9.99,4,2005-07-29,1,25.96
DUSTIN,GILLETTE,4.99,5,2005-07-08,1,12.950000000000001
EDDIE,TOMLIN,6.99,3,2005-07-27,1,10.97
EDUARDO,HIATT,5.99,3,2005-07-29,1,10.97
EDUARDO,HIATT,7.99,3,2005-07-31,1,16.97
EDWIN,BURK,6.99,3,2005-07-28,1,12.97
ELEANOR,HUNT,4.99,3,2005-07-31,1,11.97
ELEANOR,HUNT,4.99,4,2005-07-29,1,18.96
ELEANOR,HUNT,9.99,4,2005-07-28,1,20.96
ELIZABETH,BROWN,5.99,3,2005-07-09,1,12.97
ELLA,OLIVER,6.99,3,2005-07-08,1,17.97
ELLA,OLIVER,7.99,4,2005-07-07,1,12.96
ELLA,OLIVER,8.99,3,2005-07-29,1,13.97
ELLEN,SIMPSON,7.99,3,2005-07-06,1,18.97
ELMER,NOE,5.99,3,2005-07-29,1,13.97
ELSIE,KELLEY,4.99,3,2005-07-12,1,14.97
ELSIE,KELLEY,5.99,3,2005-07-27,1,9.97
EMILY,DIAZ,4.99,3,2005-07-08,1,8.97
ENRIQUE,FORSYTHE,4.99,3,2005-07-11,1,8.97
ERIC,ROBERT,10.99,3,2005-07-07,1,21.97
ERIC,ROBERT,8.99,3,2005-07-06,1,18.97
ERIK,GUILLEN,5.99,3,2005-07-07,1,7.970000000000001
ERIK,GUILLEN,5.99,3,2005-07-30,1,11.97
ERIK,GUILLEN,7.99,3,2005-07-12,1,20.97
ERIN,DUNN,2.99,3,2005-07-31,1,6.970000000000001
ERNEST,STEPP,4.99,3,2005-07-10,1,12.97
ESTHER,CRAWFORD,5.99,3,2005-07-08,1,11.97
ESTHER,CRAWFORD,5.99,3,2005-07-10,1,8.97
ETHEL,WEBB,4.99,3,2005-07-29,1,10.97
ETHEL,WEBB,4.99,3,2005-07-31,1,8.97
EVELYN,MORGAN,1.99,3,2005-07-30,1,3.9699999999999998
EVELYN,MORGAN,4.99,3,2005-07-12,1,11.97
EVELYN,MORGAN,4.99,3,2005-07-31,1,8.97
FELICIA,SUTTON,2.99,4,2005-07-11,1,6.960000000000001
FELICIA,SUTTON,6.99,4,2005-07-06,1,17.959999999999997
FELIX,GAFFNEY,4.99,4,2005-07-12,1,10.96
FELIX,GAFFNEY,6.99,4,2005-07-30,1,12.96
FRANCES,PARKER,9.99,3,2005-07-11,1,14.97
FRANCIS,SIKES,2.99,3,2005-07-31,1,4.970000000000001
FRANCIS,SIKES,8.99,4,2005-07-08,1,27.96
FRANCISCO,SKIDMORE,5.99,3,2005-07-31,1,12.97
FRANK,WAGGONER,4.99,4,2005-07-30,1,7.960000000000001
FREDERICK,ISBELL,7.99,3,2005-07-28,1,12.97
GABRIEL,HARDER,4.99,4,2005-07-27,1,14.96
GABRIEL,HARDER,6.99,3,2005-07-28,1,13.97
GAIL,KNIGHT,5.99,3,2005-07-11,1,15.97
GENE,SANBORN,6.99,3,2005-07-27,1,16.97
GEORGE,LINTON,2.99,3,2005-07-06,1,4.970000000000001
GEORGE,LINTON,6.99,3,2005-07-28,1,11.97
GERALD,FULTZ,3.99,3,2005-07-28,1,6.970000000000001
GERTRUDE,CASTILLO,4.99,3,2005-07-09,1,6.970000000000001
GILBERT,SLEDGE,4.99,3,2005-07-08,1,6.970000000000001
GINA,WILLIAMSON,6.99,3,2005-07-30,1,14.97
GLADYS,HAMILTON,6.99,3,2005-07-07,1,11.97
GLEN,TALBERT,4.99,3,2005-07-07,1,12.97
GORDON,ALLARD,5.99,3,2005-07-06,1,15.97
GRACE,ELLIS,2.99,3,2005-07-27,1,8.97
GREG,ROBINS,6.99,3,2005-07-11,1,18.97
GREGORY,MAULDIN,5.99,3,2005-07-30,1,11.97
GREGORY,MAULDIN,8.99,4,2005-07-07,1,17.96
GUY,BROWNLEE,4.99,3,2005-07-31,1,8.97
GWENDOLYN,MAY,5.99,3,2005-07-31,1,12.97
GWENDOLYN,MAY,8.99,3,2005-07-11,1,12.97
HAROLD,MARTINO,5.99,4,2005-07-31,1,12.96
HAROLD,MARTINO,8.99,3,2005-07-12,1,19.97
HAZEL,WARREN,4.99,3,2005-07-28,1,11.97
HAZEL,WARREN,9.99,3,2005-07-31,1,11.97
HECTOR,POINDEXTER,4.99,3,2005-07-29,1,9.97
HECTOR,POINDEXTER,7.99,3,2005-07-30,1,14.97
HEIDI,LARSON,4.99,3,2005-07-09,1,8.97
HEIDI,LARSON,6.99,3,2005-07-11,1,14.97
HERMAN,DEVORE,10.99,4,2005-07-08,1,16.96
HOLLY,FOX,5.99,3,2005-07-30,1,9.97
HOWARD,FORTNER,0.99,3,2005-07-07,1,2.9699999999999998
HUGH,WALDROP,2.99,3,2005-07-28,1,8.97
IAN,STILL,4.99,3,2005-07-12,1,6.970000000000001
IDA,ANDREWS,5.99,3,2005-07-31,1,13.97
IRENE,PRICE,6.99,3,2005-07-29,1,13.97
IVAN,CROMWELL,4.99,3,2005-07-31,1,8.97
IVAN,CROMWELL,7.99,3,2005-07-30,1,11.97
JACK,FOUST,5.99,3,2005-07-08,1,8.97
JACKIE,LYNCH,6.99,3,2005-07-06,1,14.97
JACKIE,LYNCH,6.99,3,2005-07-31,1,11.97
JAMIE,RICE,7.99,3,2005-07-11,1,19.97
JAMIE,WAUGH,5.99,3,2005-07-10,1,11.97
JAMIE,WAUGH,6.99,3,2005-07-27,1,12.97
JANICE,WARD,6.99,3,2005-07-07,1,14.97
JANICE,WARD,8.99,3,2005-07-11,1,18.97
JASON,MORRISSEY,4.99,3,2005-07-12,1,9.97
JASON,MORRISSEY,7.99,3,2005-07-30,1,14.97
JAVIER,ELROD,6.99,3,2005-07-08,1,16.97
JEAN,BELL,4.99,3,2005-07-31,1,10.97
JEANETTE,GREENE,6.99,3,2005-07-27,1,13.97
JEANNE,LAWSON,4.99,3,2005-07-11,1,8.97
JEFF,EAST,7.99,3,2005-07-08,1,11.97
JEFFERY,PINSON,5.99,3,2005-07-29,1,11.97
JENNIE,TERRY,5.99,3,2005-07-29,1,9.97
JENNY,CASTRO,4.99,3,2005-07-29,1,7.970000000000001
JEREMY,HURTADO,6.99,3,2005-07-10,1,13.97
JESSICA,HALL,6.99,5,2005-07-07,1,20.950000000000003
JESSIE,MILAM,2.99,4,2005-07-29,1,9.96
JESSIE,MILAM,9.99,3,2005-07-12,1,13.97
JIM,REA,8.99,3,2005-07-08,1,16.97
JIMMIE,EGGLESTON,9.99,3,2005-07-06,1,14.97
JIMMIE,EGGLESTON,9.99,3,2005-07-12,1,15.97
JOANN,GARDNER,4.99,3,2005-07-12,1,8.97
JOHN,FARNSWORTH,6.99,3,2005-07-28,1,18.97
JORDAN,ARCHULETA,9.99,3,2005-07-07,1,13.97
JOSE,ANDREW,4.99,3,2005-07-31,1,6.970000000000001
JOSE,ANDREW,5.99,3,2005-07-29,1,13.97
JOSEPHINE,GOMEZ,2.99,3,2005-07-27,1,4.970000000000001
JOSHUA,MARK,6.99,3,2005-07-29,1,16.97
JOY,GEORGE,4.99,3,2005-07-09,1,8.97
JOY,GEORGE,9.99,3,2005-07-31,1,17.97
JUANITA,MASON,7.99,3,2005-07-27,1,13.97
JUDITH,COX,1.99,3,2005-07-12,1,3.9699999999999998
JUDITH,COX,2.99,3,2005-07-27,1,5.970000000000001
JUDITH,COX,3.99,3,2005-07-09,1,7.970000000000001
JUDITH,COX,5.99,3,2005-07-08,1,13.97
JUDITH,COX,6.99,3,2005-07-31,1,13.97
JULIA,FLORES,4.99,3,2005-07-31,1,8.97
JULIA,FLORES,4.99,4,2005-07-28,1,15.96
JULIA,FLORES,7.99,3,2005-07-09,1,13.97
JULIAN,VEST,4.99,3,2005-07-09,1,12.97
JUNE,CARROLL,4.99,4,2005-07-27,1,13.96
JUSTIN,NGO,2.99,3,2005-07-27,1,4.970000000000001
JUSTIN,NGO,8.99,3,2005-07-29,1,18.97
KAREN,JACKSON,2.99,3,2005-07-12,1,6.970000000000001
KAREN,JACKSON,7.99,3,2005-07-31,1,13.97
KARL,SEAL,7.99,4,2005-07-27,1,16.96
KATHLEEN,ADAMS,6.99,3,2005-07-28,1,8.97
KATHRYN,COLEMAN,8.99,3,2005-07-30,1,19.97
KATHY,JAMES,4.99,5,2005-07-29,1,18.950000000000003
KATHY,JAMES,8.99,3,2005-07-10,1,18.97
KEITH,RICO,8.99,3,2005-07-11,1,16.97
KELLY,KNOTT,9.99,3,2005-07-12,1,19.97
KEN,PREWITT,6.99,7,2005-07-08,1,29.930000000000003
KEN,PREWITT,7.99,4,2005-07-29,1,22.96
KENT,ARSENAULT,4.99,3,2005-07-28,1,9.97
KENT,ARSENAULT,8.99,4,2005-07-27,1,20.96
KRISTINA,CHAMBERS,4.99,3,2005-07-07,1,6.970000000000001
KYLE,SPURLOCK,4.99,4,2005-07-30,1,14.96
KYLE,SPURLOCK,5.99,3,2005-07-08,1,7.970000000000001
KYLE,SPURLOCK,8.99,3,2005-07-31,1,20.97
LAUREN,HUDSON,7.99,3,2005-07-31,1,14.97
LAWRENCE,LAWTON,4.99,3,2005-07-12,1,7.970000000000001
LENA,JENSEN,7.99,3,2005-07-30,1,21.97
LEROY,BUSTAMANTE,5.99,3,2005-07-07,1,11.97
LESLIE,SEWARD,8.99,3,2005-07-08,1,23.97
LESTER,KRAUS,8.99,3,2005-07-07,1,18.97
LEWIS,LYMAN,4.99,3,2005-07-31,1,10.97
LILLIAN,GRIFFIN,5.99,3,2005-07-29,1,16.97
LILLIE,KIM,5.99,3,2005-07-29,1,9.97
LINDA,WILLIAMS,7.99,4,2005-07-28,1,24.96
LLOYD,DOWD,7.99,3,2005-07-12,1,15.97
LOIS,BUTLER,4.99,3,2005-07-07,1,12.97
LOIS,BUTLER,4.99,3,2005-07-30,1,8.97
LORI,WOOD,6.99,3,2005-07-28,1,15.97
LOUIS,LEONE,8.99,3,2005-07-30,1,14.97
LUCILLE,HOLMES,2.99,3,2005-07-11,1,5.970000000000001
LUCILLE,HOLMES,8.99,3,2005-07-07,1,20.97
LUIS,YANEZ,6.99,3,2005-07-06,1,16.97
LYDIA,BURKE,5.99,3,2005-07-31,1,13.97
MARC,OUTLAW,3.99,3,2005-07-09,1,9.97
MARC,OUTLAW,6.99,4,2005-07-28,1,13.96
MARCIA,DEAN,4.99,3,2005-07-11,1,8.97
MARCIA,DEAN,4.99,3,2005-07-27,1,10.97
MARCIA,DEAN,5.99,3,2005-07-28,1,13.97
MARGIE,WADE,6.99,3,2005-07-30,1,15.97
MARIE,TURNER,8.99,4,2005-07-10,1,24.96
MARIO,CHEATHAM,10.99,3,2005-07-31,1,15.97
MARIO,CHEATHAM,4.99,5,2005-07-29,1,18.950000000000003
MARION,OCAMPO,4.99,4,2005-07-29,1,13.96
MARION,SNYDER,10.99,3,2005-07-09,1,18.97
MARION,SNYDER,5.99,3,2005-07-29,1,14.97
MARION,SNYDER,6.99,3,2005-07-12,1,15.97
MARJORIE,TUCKER,3.99,3,2005-07-31,1,9.97
MARJORIE,TUCKER,5.99,3,2005-07-30,1,14.97
MARLENE,WELCH,8.99,3,2005-07-27,1,18.97
MARSHA,DOUGLAS,4.99,3,2005-07-29,1,12.97
MARSHA,DOUGLAS,5.99,5,2005-07-27,1,18.950000000000003
MARSHALL,THORN,9.99,3,2005-07-06,1,17.97
MARTHA,GONZALEZ,3.99,3,2005-07-30,1,5.970000000000001
MARTHA,GONZALEZ,5.99,3,2005-07-07,1,12.97
MARTHA,GONZALEZ,5.99,4,2005-07-27,1,17.96
MARY,SMITH,4.99,4,2005-07-28,1,11.96
MATTHEW,MAHAN,5.99,3,2005-07-28,1,12.97
MATTIE,HOFFMAN,4.99,3,2005-07-27,1,6.970000000000001
MAX,PITT,4.99,3,2005-07-08,1,9.97
MAX,PITT,4.99,5,2005-07-06,1,22.950000000000003
MAXINE,SILVA,3.99,3,2005-07-09,1,9.97
MAXINE,SILVA,7.99,4,2005-07-10,1,19.96
MEGAN,PALMER,3.99,3,2005-07-12,1,5.970000000000001
MEGAN,PALMER,4.99,3,2005-07-31,1,10.97
MELISSA,KING,2.99,3,2005-07-31,1,4.970000000000001
MELISSA,KING,4.99,4,2005-07-28,1,19.96
MELISSA,KING,7.99,3,2005-07-11,1,11.97
MELISSA,KING,9.99,3,2005-07-09,1,16.97
MICHAEL,SILVERMAN,4.99,4,2005-07-10,1,9.96
MICHAEL,SILVERMAN,6.99,3,2005-07-29,1,10.97
MICHAEL,SILVERMAN,8.99,3,2005-07-30,1,19.97
MICHELE,GRANT,4.99,3,2005-07-27,1,14.97
MIGUEL,BETANCOURT,2.99,3,2005-07-07,1,5.970000000000001
MIKE,WAY,4.99,3,2005-07-11,1,12.97
MILDRED,BAILEY,3.99,3,2005-07-27,1,5.970000000000001
MILTON,HOWLAND,4.99,3,2005-07-28,1,12.97
MILTON,HOWLAND,5.99,3,2005-07-31,1,11.97
MILTON,HOWLAND,7.99,3,2005-07-27,1,17.97
MINNIE,ROMERO,8.99,3,2005-07-27,1,12.97
MIRIAM,MCKINNEY,4.99,4,2005-07-11,1,14.96
MISTY,LAMBERT,5.99,3,2005-07-27,1,11.97
MITCHELL,WESTMORELAND,10.99,3,2005-07-10,1,19.97
MONICA,HICKS,3.99,3,2005-07-10,1,9.97
MORRIS,MCCARTER,4.99,3,2005-07-06,1,10.97
MORRIS,MCCARTER,8.99,5,2005-07-31,1,21.950000000000003
NANCY,THOMAS,3.99,4,2005-07-09,1,6.96
NANCY,THOMAS,5.99,3,2005-07-30,1,11.97
NAOMI,JENNINGS,7.99,3,2005-07-29,1,14.97
NATHAN,RUNYON,4.99,5,2005-07-30,1,11.950000000000001
NATHAN,RUNYON,7.99,4,2005-07-27,1,23.96
NATHANIEL,ADAM,4.99,3,2005-07-28,1,9.97
NEIL,RENNER,7.99,3,2005-07-09,1,15.97
NELLIE,GARRETT,8.99,3,2005-07-29,1,16.97
NICHOLAS,BARFIELD,4.99,3,2005-07-27,1,9.97
NICHOLAS,BARFIELD,4.99,4,2005-07-29,1,11.96
NICOLE,PETERSON,4.99,3,2005-07-06,1,6.970000000000001
NICOLE,PETERSON,7.99,3,2005-07-31,1,16.97
NINA,SOTO,6.99,3,2005-07-10,1,12.97
NORMAN,CURRIER,2.99,3,2005-07-27,1,5.970000000000001
OSCAR,AQUINO,6.99,3,2005-07-28,1,13.97
PATRICIA,JOHNSON,10.99,5,2005-07-30,1,30.950000000000003
PATRICIA,JOHNSON,5.99,3,2005-07-27,1,16.97
PATRICIA,JOHNSON,5.99,3,2005-07-29,1,14.97
PATRICK,NEWSOM,4.99,4,2005-07-29,1,15.96
PATSY,DAVIDSON,7.99,4,2005-07-12,1,26.96
PAUL,TROUT,8.99,3,2005-07-31,1,20.97
PAULA,BRYANT,6.99,3,2005-07-31,1,12.97
PAULINE,HENRY,6.99,4,2005-07-08,1,19.96
PEARL,GARZA,4.99,3,2005-07-29,1,8.97
PEDRO,CHESTNUT,3.99,3,2005-07-31,1,9.97
PEDRO,CHESTNUT,7.99,3,2005-07-28,1,15.97
PEDRO,CHESTNUT,9.99,4,2005-07-09,1,14.96
PEGGY,MYERS,4.99,3,2005-07-29,1,7.970000000000001
PEGGY,MYERS,5.99,4,2005-07-09,1,14.96
PERRY,SWAFFORD,4.99,3,2005-07-27,1,12.97
PHILIP,CAUSEY,8.99,3,2005-07-08,1,22.97
PRISCILLA,LOWE,5.99,3,2005-07-30,1,11.97
PRISCILLA,LOWE,8.99,4,2005-07-12,1,19.96
RACHEL,BARNES,6.99,3,2005-07-31,1,9.97
RALPH,MADRIGAL,4.99,3,2005-07-28,1,11.97
RAMON,CHOATE,2.99,3,2005-07-06,1,4.970000000000001
RAMON,CHOATE,4.99,3,2005-07-30,1,12.97
RAMON,CHOATE,7.99,3,2005-07-31,1,18.97
RANDY,GAITHER,4.99,3,2005-07-31,1,8.97
RANDY,GAITHER,8.99,3,2005-07-07,1,13.97
RANDY,GAITHER,8.99,3,2005-07-12,1,18.97
RAUL,FORTIER,8.99,3,2005-07-28,1,21.97
REBECCA,SCOTT,2.99,3,2005-07-27,1,6.970000000000001
REGINA,BERRY,4.99,3,2005-07-30,1,11.97
REGINA,BERRY,6.99,3,2005-07-29,1,10.97
RENE,MCALISTER,4.99,3,2005-07-08,1,6.970000000000001
RENEE,LANE,3.99,3,2005-07-08,1,6.970000000000001
RENEE,LANE,8.99,3,2005-07-28,1,14.97
RHONDA,KENNEDY,6.99,3,2005-07-06,1,17.97
RHONDA,KENNEDY,6.99,3,2005-07-31,1,14.97
RHONDA,KENNEDY,7.99,4,2005-07-30,1,20.96
RITA,GRAHAM,7.99,3,2005-07-08,1,15.97
ROBERT,BAUGHMAN,4.99,3,2005-07-10,1,10.97
ROBERTO,VU,6.99,3,2005-07-10,1,14.97
ROBIN,HAYES,4.99,3,2005-07-28,1,7.970000000000001
ROBIN,HAYES,6.99,3,2005-07-09,1,18.97
RODNEY,MOELLER,4.99,3,2005-07-28,1,8.97
RODNEY,MOELLER,5.99,3,2005-07-09,1,10.97
ROGER,QUINTANILLA,4.99,3,2005-07-29,1,12.97
ROGER,QUINTANILLA,9.99,4,2005-07-08,1,20.96
RON,DELUCA,7.99,5,2005-07-31,1,23.949999999999996
RONALD,WEINER,4.99,3,2005-07-11,1,12.97
ROSA,REYNOLDS,5.99,4,2005-07-31,1,17.96
ROSEMARY,SCHMIDT,6.99,3,2005-07-12,1,10.97
ROSS,GREY,5.99,3,2005-07-30,1,10.97
ROY,WHITING,4.99,3,2005-07-12,1,12.97
ROY,WHITING,4.99,3,2005-07-29,1,11.97
RUBY,WASHINGTON,5.99,3,2005-07-27,1,13.97
RUSSELL,BRINSON,8.99,4,2005-07-27,1,15.96
RYAN,SALISBURY,4.99,3,2005-07-31,1,11.97
RYAN,SALISBURY,4.99,4,2005-07-28,1,15.96
SALLY,PIERCE,4.99,4,2005-07-09,1,11.96
SALLY,PIERCE,4.99,4,2005-07-29,1,9.96
SAM,MCDUFFIE,8.99,3,2005-07-12,1,16.97
SARA,PERRY,9.99,3,2005-07-11,1,18.97
SCOTT,SHELLEY,2.99,3,2005-07-12,1,6.970000000000001
SCOTT,SHELLEY,4.99,3,2005-07-06,1,10.97
SERGIO,STANFIELD,6.99,3,2005-07-31,1,17.97
SETH,HANNON,4.99,3,2005-07-08,1,12.97
SHANE,MILLARD,2.99,3,2005-07-28,1,6.970000000000001
SHANNON,FREEMAN,5.99,4,2005-07-28,1,12.96
SHAWN,HEATON,4.99,3,2005-07-07,1,11.97
SHERRI,RHODES,6.99,3,2005-07-11,1,14.97
SHIRLEY,ALLEN,7.99,3,2005-07-31,1,18.97
SONIA,GREGORY,6.99,3,2005-07-27,1,14.97
STACEY,MONTGOMERY,4.99,3,2005-07-12,1,7.970000000000001
STACEY,MONTGOMERY,5.99,3,2005-07-10,1,14.97
STANLEY,SCROGGINS,8.99,4,2005-07-08,1,21.96
STEPHANIE,MITCHELL,4.99,3,2005-07-27,1,11.97
STEPHANIE,MITCHELL,6.99,4,2005-07-28,1,17.96
STEPHEN,QUALLS,2.99,5,2005-07-09,1,9.950000000000001
STEPHEN,QUALLS,8.99,4,2005-07-27,1,24.96
STEVE,MACKENZIE,4.99,3,2005-07-09,1,10.97
STEVE,MACKENZIE,7.99,3,2005-07-28,1,15.97
STEVE,MACKENZIE,8.99,4,2005-07-29,1,13.96
STEVEN,CURLEY,4.99,4,2005-07-27,1,15.96
SUSAN,WILSON,3.99,3,2005-07-07,1,7.970000000000001
