avg_prev_30,city,country,country_spike_rank,daily_sum,deviation_from_avg,first_name,last_name,payment_count,spike_date,store_id
0.4,Klerksdorp,South Africa,7,15.97,15.57,EDNA,WEST,3,2005-05-31,2
0.4,Kuching,Malaysia,2,14.98,14.58,JEAN,BELL,2,2005-07-27,1
0.4,Owo,Nigeria,3,20.95,20.55,TRACEY,BARRETT,5,2005-07-29,2
0.4,Qinhuangdao,China,26,14.97,14.57,GLENDA,FRAZIER,3,2005-06-15,1
0.4,Soshanguve,South Africa,3,20.97,20.57,LUCILLE,HOLMES,3,2005-07-07,1
0.43,Benin City,Nigeria,6,15.98,15.55,SONIA,GREGORY,2,2005-07-08,1
0.43,Brescia,Italy,1,20.97,20.54,CHRISTOPHER,GRECO,3,2005-06-19,1
0.43,Brest,France,1,16.97,16.54,LUIS,YANEZ,3,2005-07-06,1
0.43,Cuman,Venezuela,3,16.97,16.54,CINDY,FISHER,3,2005-06-20,2
0.43,Datong,China,15,16.97,16.54,CHRISTY,VARGAS,3,2005-06-17,1
0.43,Fontana,United States,17,16.97,16.54,ALICE,STEWART,3,2005-07-09,1
0.43,Ikerre,Nigeria,9,14.97,14.54,ELSIE,KELLEY,3,2005-07-12,2
0.43,Santa F,Argentina,2,18.97,18.54,ERIC,ROBERT,3,2005-07-06,1
0.43,Shimoga,India,18,16.97,16.54,NELLIE,GARRETT,3,2005-07-29,1
0.43,Udine,Italy,3,14.98,14.55,ADRIAN,CLARY,2,2005-07-11,2
0.47,Bandar Seri Begawan,Brunei,1,12.97,12.51,LOIS,BUTLER,3,2005-07-07,2
0.47,Benguela,Angola,2,9.99,9.52,CLAUDE,HERZOG,1,2005-07-07,1
0.47,Chatsworth,South Africa,8,15.98,15.51,DWIGHT,LOMBARDI,2,2005-07-31,1
0.47,Hino,Japan,16,14.97,14.5,KRISTEN,CHAVEZ,3,2005-06-18,2
0.47,Phnom Penh,Cambodia,1,17.96,17.49,ALLISON,STANLEY,4,2005-07-06,2
0.47,So Bernardo do Campo,Brazil,19,15.98,15.51,CODY,NOLEN,2,2005-07-30,2
0.47,Torren,Mexico,7,19.96,19.49,PAULINE,HENRY,4,2005-07-08,1
0.5,Bellevue,United States,3,21.97,21.47,WILMA,RICHARDS,3,2005-07-08,2
0.5,Donostia-San Sebastin,Spain,2,15.98,15.48,MAE,FLETCHER,2,2005-06-16,2
0.5,Gandhinagar,India,13,17.96,17.46,EDITH,MCDONALD,4,2005-08-18,1
0.5,Goinia,Brazil,17,16.98,16.48,TINA,SIMMONS,2,2005-07-06,2
0.5,Lincoln,United States,18,16.97,16.47,ASHLEY,RICHARDSON,3,2005-07-10,1
0.5,Rajkot,India,6,20.96,20.46,DWAYNE,OLVERA,4,2005-08-17,1
0.5,Zalantun,China,6,19.96,19.46,PHYLLIS,FOSTER,4,2005-08-20,1
0.53,Clarksville,United States,26,14.98,14.45,EVA,RAMOS,2,2005-07-11,1
0.53,Erlangen,Germany,2,18.98,18.45,MIGUEL,BETANCOURT,2,2005-08-17,1
0.53,Halisahar,India,10,18.97,18.44,LENA,JENSEN,3,2005-06-16,2
0.53,Karnal,India,37,14.97,14.44,NAOMI,JENNINGS,3,2005-07-29,1
0.53,Koriyama,Japan,18,14.97,14.44,TONY,CARRANZA,3,2005-07-29,2
0.53,Qomsheh,Iran,1,29.95,29.42,TOMMY,COLLAZO,5,2005-07-28,1
0.56,Allende,Mexico,13,17.95,17.39,VINCENT,RALSTON,5,2005-08-19,1
0.56,Manchester,United States,4,21.97,21.41,VICTOR,BARKLEY,3,2005-07-30,2
0.57,Kimberley,South Africa,4,17.98,17.41,RUTH,MARTINEZ,2,2005-07-31,1
0.57,Purnea (Purnia),India,28,15.98,15.41,BRADLEY,MOTLEY,2,2005-07-27,1
0.57,Rajkot,India,38,14.98,14.41,DWAYNE,OLVERA,2,2005-08-01,1
0.57,Tychy,Poland,3,15.96,15.4,RUSSELL,BRINSON,4,2005-07-27,1
0.6,Bhimavaram,India,7,20.97,20.37,ERIK,GUILLEN,3,2005-07-12,2
0.6,Brockton,United States,10,18.97,18.37,VALERIE,BLACK,3,2005-06-18,1
0.6,Iwaki,Japan,7,18.97,18.37,MARLENE,WELCH,3,2005-07-27,1
0.6,Kamyin,Russian Federation,10,18.98,18.38,BEN,EASTER,2,2005-07-28,2
0.6,Korla,China,12,17.96,17.36,FELICIA,SUTTON,4,2005-07-06,1
0.6,Le Mans,France,3,14.97,14.37,LAUREN,HUDSON,3,2005-07-31,2
0.6,Tegal,Indonesia,5,15.97,15.37,LLOYD,DOWD,3,2005-07-12,1
0.6,s-Hertogenbosch,Netherlands,3,15.97,15.37,VIVIAN,RUIZ,3,2005-08-18,1
0.63,Chapra,India,4,21.97,21.34,RAUL,FORTIER,3,2005-07-28,1
0.63,Omiya,Japan,4,21.96,21.33,STANLEY,SCROGGINS,4,2005-07-08,2
0.63,Qalyub,Egypt,2,20.96,20.33,EMMA,BOYD,4,2005-08-02,1
0.63,Quilmes,Argentina,7,14.98,14.35,PERRY,SWAFFORD,2,2005-07-08,1
0.63,Touliu,Taiwan,6,17.97,17.34,AMBER,DIXON,3,2005-07-09,1
0.67,Adoni,India,39,14.97,14.31,ADAM,GOOCH,3,2005-08-18,1
0.67,Apeldoorn,Netherlands,2,17.97,17.3,RHONDA,KENNEDY,3,2005-07-06,2
0.67,Ciomas,Indonesia,9,13.98,13.31,MINNIE,ROMERO,2,2005-05-31,2
0.67,Tuguegarao,Philippines,5,18.97,18.31,DEANNA,BYRD,3,2005-06-17,1
0.67,Uijongbu,South Korea,2,17.95,17.29,COURTNEY,DAY,5,2005-07-27,1
0.7,Boa Vista,Brazil,7,19.97,19.27,HAROLD,MARTINO,3,2005-07-12,1
0.7,Callao,Peru,2,15.98,15.28,DAVID,ROYAL,2,2005-07-08,2
0.7,Miraj,India,29,15.96,15.26,STEVEN,CURLEY,4,2005-07-27,1
0.7,Pudukkottai,India,40,14.98,14.28,LEE,HAWKS,2,2005-07-06,1
0.7,Salala,Oman,1,16.97,16.27,GENE,SANBORN,3,2005-07-27,1
0.7,San Juan Bautista Tuxtepec,Mexico,2,27.96,27.26,FRANCIS,SIKES,4,2005-07-08,2
0.7,Sanya,China,7,19.97,19.27,KELLY,KNOTT,3,2005-07-12,1
0.7,Toulon,France,2,15.97,15.27,RITA,GRAHAM,3,2005-07-08,1
0.7,Uruapan,Mexico,1,27.96,27.26,ALEX,GRESHAM,4,2005-08-20,2
0.7,al-Ayn,United Arab Emirates,1,16.97,16.27,LILLIAN,GRIFFIN,3,2005-07-29,1
0.73,Coacalco de Berriozbal,Mexico,14,17.97,17.24,STELLA,MORENO,3,2005-08-18,1
0.73,Elista,Russian Federation,4,21.96,21.23,DONNA,THOMPSON,4,2005-07-30,1
0.73,Kanchrapara,India,11,18.97,18.24,LESTER,KRAUS,3,2005-07-07,2
0.73,Lengshuijiang,China,23,15.97,15.24,MARGIE,WADE,3,2005-07-30,1
0.73,Osmaniye,Turkey,10,14.98,14.25,KAREN,JACKSON,2,2005-07-29,2
0.73,Tabriz,Iran,3,20.97,20.24,DIANNE,SHELTON,3,2005-07-09,2
0.73,Witten,Germany,3,16.97,16.24,VICKI,FIELDS,3,2005-08-20,1
0.76,Abu Dhabi,United Arab Emirates,2,13.97,13.21,TOM,MILNER,3,2005-07-06,1
0.76,Jos Azueta,Mexico,15,17.96,17.2,VIRGIL,WOFFORD,4,2005-07-08,1
0.76,Korolev,Russian Federation,2,22.97,22.21,PHILIP,CAUSEY,3,2005-07-08,1
0.76,Probolinggo,Indonesia,7,14.98,14.22,STEVE,MACKENZIE,2,2005-07-10,2
0.76,Shanwei,China,29,14.96,14.2,KYLE,SPURLOCK,4,2005-07-30,2
0.76,Sterling Heights,United States,11,17.97,17.21,JAMIE,RICE,3,2005-08-17,1
0.76,Sucre,Bolivia,1,15.98,15.22,JOEL,FRANCISCO,2,2005-06-21,2
0.76,Warren,United States,19,16.96,16.2,BRANDY,GRAVES,4,2005-07-30,1
0.77,Chungho,Taiwan,7,17.96,17.2,BRAD,MCCURDY,4,2005-07-07,2
0.77,Effon-Alaiye,Nigeria,5,16.98,16.21,VELMA,LUCAS,2,2005-07-07,1
0.77,Hsichuh,Taiwan,4,20.96,20.2,ROGER,QUINTANILLA,4,2005-07-08,2
0.77,Rustenburg,South Africa,1,22.96,22.2,DALE,RATCLIFF,4,2005-07-28,1
0.77,So Leopoldo,Brazil,12,18.98,18.22,FRANCISCO,SKIDMORE,2,2005-07-28,2
0.8,Baha Blanca,Argentina,11,13.98,13.18,JASON,MORRISSEY,2,2005-06-20,1
0.8,Baicheng,China,19,16.97,16.17,TED,BREAUX,3,2005-07-09,2
0.8,Ciudad del Este,Paraguay,2,15.96,15.16,EILEEN,CARR,4,2005-08-21,2
0.8,Dhaka,Bangladesh,2,24.96,24.16,STEPHEN,QUALLS,4,2005-07-27,1
0.8,Haldia,India,41,14.98,14.18,HOLLY,FOX,2,2005-08-18,2
0.8,Lungtan,Taiwan,8,16.97,16.17,MELISSA,KING,3,2005-07-09,1
0.8,NDjamna,Chad,1,16.98,16.18,JAVIER,ELROD,2,2005-08-17,1
0.8,Tanshui,Taiwan,1,21.97,21.17,CLIFTON,MALCOLM,3,2005-07-28,2
0.83,Allappuzha (Alleppey),India,21,16.96,16.13,ANNETTE,OLSON,4,2005-07-29,1
0.83,Baybay,Philippines,6,18.97,18.14,KATHY,JAMES,3,2005-07-10,1
0.83,Daugavpils,Latvia,1,15.96,15.13,RYAN,SALISBURY,4,2005-07-28,2
0.83,Denizli,Turkey,11,14.98,14.15,VERNON,CHAPA,2,2005-07-12,2
0.83,Dundee,United Kingdom,3,16.97,16.14,APRIL,BURNS,3,2005-07-30,1
0.83,Erlangen,Germany,6,12.98,12.15,MIGUEL,BETANCOURT,2,2005-07-06,1
0.83,Kursk,Russian Federation,6,20.97,20.14,PAUL,TROUT,3,2005-07-31,2
0.83,Rampur,India,20,16.97,16.14,JOSHUA,MARK,3,2005-07-29,1
0.83,Richmond Hill,Canada,2,17.96,17.13,CURTIS,IRBY,4,2005-07-09,2
0.86,Cavite,Philippines,10,17.96,17.1,CRAIG,MORRELL,4,2005-08-18,2
0.86,Rae Bareli,India,30,15.97,15.11,LORI,WOOD,3,2005-07-28,1
0.86,Tieli,China,31,14.97,14.11,AUSTIN,CINTRON,3,2005-08-23,2
0.87,Okayama,Japan,24,13.98,13.12,RICARDO,MEADOR,2,2005-08-18,1
0.9,Aden,Yemen,2,17.97,17.07,ELLA,OLIVER,3,2005-07-08,2
0.9,Athenai,Greece,1,24.96,24.06,LINDA,WILLIAMS,4,2005-07-28,1
0.9,Lipetsk,Russian Federation,1,24.96,24.06,MARIE,TURNER,4,2005-07-10,1
0.9,Nador,Morocco,2,13.97,13.07,AMANDA,CARTER,3,2005-07-31,2
0.9,Novi Sad,Yugoslavia,1,22.95,22.05,MAX,PITT,5,2005-07-06,1
0.9,Shivapuri,India,23,16.97,16.07,NICOLE,PETERSON,3,2005-07-31,1
0.9,Sumy,Ukraine,1,26.97,26.07,BRITTANY,RILEY,3,2005-08-18,2
0.9,Udaipur,India,31,15.97,15.07,BEATRICE,ARNOLD,3,2005-07-10,1
0.9,Xiangfan,China,32,14.97,14.07,HEIDI,LARSON,3,2005-07-11,2
0.9,Yinchuan,China,33,14.97,14.07,ROBERTO,VU,3,2005-07-10,1
0.9,Zhoushan,China,3,20.98,20.08,GUY,BROWNLEE,2,2005-06-21,2
0.93,Baku,Azerbaijan,1,15.98,15.05,ANDREW,PURDY,2,2005-07-30,2
0.93,Davao,Philippines,7,18.97,18.04,SHIRLEY,ALLEN,3,2005-07-31,2
0.93,El Fuerte,Mexico,19,16.97,16.04,JIM,REA,3,2005-07-08,1
0.93,Huaian,China,10,18.97,18.04,ERNEST,STEPP,3,2005-06-20,2
0.93,Huejutla de Reyes,Mexico,20,15.97,15.04,ANDY,VANHORN,3,2005-07-29,2
0.93,Isesaki,Japan,3,23.95,23.02,RON,DELUCA,5,2005-07-31,2
0.93,Juazeiro do Norte,Brazil,20,15.98,15.05,FRANCES,PARKER,2,2005-08-18,1
0.93,Leshan,China,35,14.96,14.03,DAVE,GARDINER,4,2005-08-02,2
0.93,Nha Trang,Vietnam,4,16.97,16.04,MITCHELL,WESTMORELAND,3,2005-08-18,2
0.93,Pontianak,Indonesia,1,23.97,23.04,LESLIE,SEWARD,3,2005-07-08,2
0.93,Purwakarta,Indonesia,10,13.98,13.05,JARED,ELY,2,2005-07-27,1
0.93,Sullana,Peru,1,16.96,16.03,FREDDIE,DUGGAN,4,2005-08-02,1
0.93,Tabora,Tanzania,1,24.96,24.03,YOLANDA,WEAVER,4,2005-08-02,2
0.93,Wroclaw,Poland,4,14.97,14.04,JIMMIE,EGGLESTON,3,2005-07-06,1
0.93,Yuncheng,China,34,14.97,14.04,MICHELE,GRANT,3,2005-07-27,2
0.96,Arecibo,Puerto Rico,1,12.98,12.02,RALPH,MADRIGAL,2,2005-07-27,2
0.96,Ciparay,Indonesia,8,14.97,14.01,JEFFREY,SPEAR,3,2005-08-20,2
0.96,Liaocheng,China,1,26.96,26.0,CARRIE,PORTER,4,2005-07-31,1
0.96,Nha Trang,Vietnam,1,19.97,19.01,MITCHELL,WESTMORELAND,3,2005-07-10,2
0.96,Pingxiang,China,36,14.98,14.02,ERICA,MATTHEWS,2,2005-07-12,2
0.96,Poos de Caldas,Brazil,8,19.96,19.0,MAXINE,SILVA,4,2005-07-10,2
1.0,Bern,Switzerland,1,15.97,14.97,GAIL,KNIGHT,3,2005-07-11,1
1.0,Citt del Vaticano,Holy See (Vatican City State),1,23.96,22.96,JESSICA,HALL,4,2005-08-21,2
1.0,Lengshuijiang,China,2,22.96,21.96,MARGIE,WADE,4,2005-06-19,1
1.0,Mexicali,Mexico,21,15.98,14.98,DOUGLAS,GRAF,2,2005-07-28,1
1.0,Portoviejo,Ecuador,1,26.96,25.96,PATSY,DAVIDSON,4,2005-07-12,2
1.0,Southampton,United Kingdom,2,17.97,16.97,MARSHALL,THORN,3,2005-07-06,1
1.0,Usolje-Sibirskoje,Russian Federation,19,15.98,14.98,WARREN,SHERROD,2,2005-07-27,2
1.0,Usolje-Sibirskoje,Russian Federation,7,20.96,19.96,WARREN,SHERROD,4,2005-07-12,2
1.03,Baha Blanca,Argentina,8,14.97,13.94,JASON,MORRISSEY,3,2005-07-30,1
1.03,Celaya,Mexico,16,17.97,16.94,SERGIO,STANFIELD,3,2005-07-31,1
1.03,Huixquilucan,Mexico,23,15.97,14.94,TRACY,COLE,3,2005-07-29,1
1.03,Ikerre,Nigeria,2,22.94,21.91,ELSIE,KELLEY,6,2005-08-17,2
1.03,Kalisz,Poland,1,18.97,17.94,LEAH,CURTIS,3,2005-08-01,1
1.03,Omiya,Japan,19,14.98,13.95,STANLEY,SCROGGINS,2,2005-08-18,2
1.03,Oulu,Finland,1,8.99,7.96,ERIKA,PENA,1,2005-08-18,1
1.03,Salamanca,Mexico,22,15.98,14.95,PRISCILLA,LOWE,2,2005-07-09,2
1.03,So Bernardo do Campo,Brazil,13,18.97,17.94,CODY,NOLEN,3,2005-08-21,2
1.03,Tabriz,Iran,6,18.96,17.93,DIANNE,SHELTON,4,2005-08-19,2
1.06,Ashdod,Israel,2,17.97,16.91,CRYSTAL,FORD,3,2005-07-09,1
1.06,Batna,Algeria,1,18.95,17.89,MARIO,CHEATHAM,5,2005-07-29,1
1.06,Bayugan,Philippines,14,16.96,15.9,MELANIE,ARMSTRONG,4,2005-08-01,1
1.06,Cuauhtmoc,Mexico,6,20.96,19.9,ALVIN,DELOACH,4,2005-07-28,2
1.06,Halisahar,India,5,21.97,20.91,LENA,JENSEN,3,2005-07-30,2
1.06,Memphis,United States,23,15.98,14.92,ANA,BRADLEY,2,2005-07-29,2
1.06,Mwene-Ditu,"Congo, The Democratic Republic of the",1,18.97,17.91,AARON,SELBY,3,2005-08-02,2
1.06,Ozamis,Philippines,11,17.98,16.92,EDDIE,TOMLIN,2,2005-07-08,1
1.06,Parbhani,India,12,18.97,17.91,JOHN,FARNSWORTH,3,2005-07-28,1
1.06,Santa F,Argentina,1,21.97,20.91,ERIC,ROBERT,3,2005-07-07,1
1.06,Urawa,Japan,10,16.98,15.92,JOANNE,ROBERTSON,2,2005-08-01,2
1.07,Vijayawada,India,14,17.97,16.91,MILTON,HOWLAND,3,2005-07-27,2
1.1,Baicheng,China,11,18.97,17.87,TED,BREAUX,3,2005-07-31,2
1.1,Batman,Turkey,6,16.96,15.86,BERNICE,WILLIS,4,2005-07-27,1
1.1,Benin City,Nigeria,10,14.97,13.87,SONIA,GREGORY,3,2005-07-27,1
1.1,Bern,Switzerland,2,14.97,13.87,GAIL,KNIGHT,3,2005-08-21,1
1.1,Blumenau,Brazil,14,18.97,17.87,TERRI,VASQUEZ,3,2005-08-19,1
1.1,Chisinau,Moldova,1,17.96,16.86,MARTHA,GONZALEZ,4,2005-07-27,1
1.1,Escobar,Argentina,3,17.98,16.88,MICHEAL,FORMAN,2,2005-08-02,1
1.1,Juiz de Fora,Brazil,5,20.96,19.86,KENT,ARSENAULT,4,2005-07-27,1
1.1,Lancaster,United States,12,17.96,16.86,ROSA,REYNOLDS,4,2005-07-31,2
1.1,Moscow,Russian Federation,20,15.97,14.87,CATHERINE,CAMPBELL,3,2005-08-01,2
1.1,Nabereznyje Telny,Russian Federation,15,17.97,16.87,CLIFFORD,BOWENS,3,2005-07-30,1
1.1,Ocumare del Tuy,Venezuela,4,16.97,15.87,YVONNE,WATKINS,3,2005-08-01,2
1.1,Salzburg,Austria,1,17.96,16.86,NORA,HERRERA,4,2005-08-18,2
1.1,Vila Velha,Brazil,2,23.97,22.87,DEBRA,NELSON,3,2005-07-08,1
1.13,Hidalgo,Mexico,4,21.95,20.82,DANIELLE,DANIELS,5,2005-08-19,2
1.13,Liepaja,Latvia,2,15.98,14.85,SARAH,LEWIS,2,2005-07-30,2
1.13,Molodetno,Belarus,1,17.97,16.84,CLARA,SHAW,3,2005-07-09,1
1.13,Soshanguve,South Africa,9,15.96,14.83,LUCILLE,HOLMES,4,2005-08-19,1
1.13,Stockport,United Kingdom,4,15.97,14.84,DAN,PAINE,3,2005-07-29,1
1.16,Cabuyao,Philippines,12,17.98,16.82,BILLY,POULIN,2,2005-08-18,1
1.16,Kurgan,Russian Federation,11,18.97,17.81,RANDY,GAITHER,3,2005-07-12,1
1.16,Mannheim,Germany,5,13.97,12.81,ALMA,AUSTIN,3,2005-07-09,1
1.16,Rockford,United States,13,17.98,16.82,BILL,GAVIN,2,2005-08-21,2
1.16,Touliu,Taiwan,2,21.95,20.79,AMBER,DIXON,5,2005-08-22,1
1.2,Atlixco,Mexico,10,18.97,17.77,SARA,PERRY,3,2005-07-11,2
1.2,Baha Blanca,Argentina,10,14.98,13.78,JASON,MORRISSEY,2,2005-08-20,1
1.2,Beira,Mozambique,2,18.95,17.75,MARSHA,DOUGLAS,5,2005-07-27,2
1.2,Bhilwara,India,33,15.97,14.77,TONYA,CHAPMAN,3,2005-07-27,2
1.2,Davao,Philippines,3,21.97,20.77,SHIRLEY,ALLEN,3,2005-08-17,2
1.2,Iwakuni,Japan,15,15.97,14.77,TERESA,ROGERS,3,2005-08-02,1
1.2,Kakamigahara,Japan,14,15.98,14.78,CATHY,SPENCER,2,2005-07-10,1
1.2,Lilongwe,Malawi,1,12.98,11.78,LYNN,PAYNE,2,2005-08-20,1
1.2,Munger (Monghyr),India,34,15.96,14.76,CYNTHIA,YOUNG,4,2005-07-31,1
1.2,Otsu,Japan,12,16.98,15.78,MIRIAM,MCKINNEY,2,2005-07-27,1
1.2,Yantai,China,20,16.97,15.77,KAY,CALDWELL,3,2005-08-17,1
1.2,al-Qatif,Saudi Arabia,3,14.97,13.77,TRAVIS,ESTEP,3,2005-08-21,1
1.23,Asuncin,Paraguay,1,16.96,15.73,MAUREEN,LITTLE,4,2005-08-23,2
1.23,Dadu,Pakistan,1,13.97,12.74,JEFFERY,PINSON,3,2005-08-01,2
1.23,Kisumu,Kenya,1,16.97,15.74,KATIE,ELLIOTT,3,2005-08-22,2
1.23,Najafabad,Iran,7,17.96,16.73,HARRY,ARCE,4,2005-08-19,1
1.23,Nanyang,China,37,14.96,13.73,PAMELA,BAKER,4,2005-08-20,1
1.23,Sagamihara,Japan,13,16.98,15.75,LISA,ANDERSON,2,2005-07-30,2
1.23,Sirjan,Iran,2,21.96,20.73,OSCAR,AQUINO,4,2005-08-01,2
1.23,South Hill,Anguilla,1,9.98,8.75,BOBBY,BOUDREAU,2,2005-08-19,2
1.23,Sterling Heights,United States,14,17.96,16.73,JAMIE,RICE,4,2005-08-02,1
1.23,Tokat,Turkey,4,17.95,16.72,CASEY,MENA,5,2005-07-29,1
1.23,Trshavn,Faroe Islands,1,13.98,12.75,EDWARD,BAUGH,2,2005-07-31,2
1.23,al-Qatif,Saudi Arabia,1,15.97,14.74,TRAVIS,ESTEP,3,2005-08-02,1
1.26,Benguela,Angola,1,10.98,9.72,CLAUDE,HERZOG,2,2005-08-20,1
1.26,Gingoog,Philippines,2,22.95,21.69,DEREK,BLAKELY,5,2005-08-22,1
1.26,London,United Kingdom,8,13.98,12.72,CECIL,VINES,2,2005-08-19,1
1.26,Maracabo,Venezuela,2,18.96,17.7,CALVIN,MARTEL,4,2005-08-21,1
1.26,Mit Ghamr,Egypt,3,14.98,13.72,RICK,MATTOX,2,2005-07-28,2
1.26,Otsu,Japan,20,14.96,13.7,MIRIAM,MCKINNEY,4,2005-07-11,1
1.26,Ozamis,Philippines,13,17.98,16.72,EDDIE,TOMLIN,2,2005-08-19,1
1.26,Pune,India,42,14.98,13.72,JUANITA,MASON,2,2005-07-30,2
1.26,Shanwei,China,5,20.97,19.71,KYLE,SPURLOCK,3,2005-07-31,2
1.26,Sterling Heights,United States,7,19.97,18.71,JAMIE,RICE,3,2005-07-11,1
1.26,Sunnyvale,United States,25,15.97,14.71,KRISTIN,JOHNSTON,3,2005-08-19,1
1.26,Uijongbu,South Korea,3,17.98,16.72,COURTNEY,DAY,2,2005-07-29,1
1.26,Zanzibar,Tanzania,2,18.98,17.72,CHARLENE,ALVAREZ,2,2005-07-30,2
1.3,Adana,Turkey,1,23.97,22.67,LARRY,THRASHER,3,2005-08-23,2
1.3,Gaziantep,Turkey,9,15.97,14.67,COREY,HAUSER,3,2005-08-19,1
1.3,Nam Dinh,Vietnam,2,18.97,17.67,GREG,ROBINS,3,2005-07-11,1
1.3,Qinhuangdao,China,25,15.97,14.67,GLENDA,FRAZIER,3,2005-08-01,1
1.3,Uluberia,India,16,17.96,16.66,THEODORE,CULP,4,2005-07-29,2
1.33,Cuernavaca,Mexico,3,22.97,21.64,ISAAC,OGLESBY,3,2005-08-18,2
1.33,El Monte,United States,5,20.97,19.64,JACOB,LANCE,3,2005-08-01,1
1.33,Fuyu,China,39,14.97,13.64,STACEY,MONTGOMERY,3,2005-07-10,1
1.33,Gatineau,Canada,1,21.97,20.64,DERRICK,BOURQUE,3,2005-08-01,1
1.33,Goinia,Brazil,3,23.96,22.63,TINA,SIMMONS,4,2005-07-10,2
1.33,La Plata,Argentina,6,15.96,14.63,JULIA,FLORES,4,2005-07-28,1
1.33,Pontianak,Indonesia,4,16.98,15.65,LESLIE,SEWARD,2,2005-06-19,2
1.33,Ruse,Bulgaria,1,24.96,23.63,TYRONE,ASHER,4,2005-08-02,1
1.33,Sogamoso,Colombia,3,16.97,15.64,SAM,MCDUFFIE,3,2005-07-12,1
1.33,Udaipur,India,35,15.98,14.65,BEATRICE,ARNOLD,2,2005-08-20,1
1.33,Zaria,Nigeria,11,14.97,13.64,CONSTANCE,REID,3,2005-07-30,2
1.36,Antofagasta,Chile,1,27.95,26.59,JANET,PHILLIPS,5,2005-08-02,1
1.36,Binzhou,China,8,19.97,18.61,JESSIE,MILAM,3,2005-08-17,1
1.36,Duisburg,Germany,4,15.98,14.62,GRACE,ELLIS,2,2005-07-29,2
1.36,Jastrzebie-Zdrj,Poland,6,14.97,13.61,MARJORIE,TUCKER,3,2005-07-30,1
1.36,Jinzhou,China,40,14.96,13.6,TERRENCE,GUNDERSON,4,2005-07-27,1
1.36,Kurashiki,Japan,25,13.98,12.62,REBECCA,SCOTT,2,2005-08-21,2
1.36,Mannheim,Germany,1,22.97,21.61,ALMA,AUSTIN,3,2005-07-31,1
1.36,Shimonoseki,Japan,5,21.96,20.6,ANGELA,HERNANDEZ,4,2005-08-18,2
1.36,Udaipur,India,36,15.97,14.61,BEATRICE,ARNOLD,3,2005-07-31,1
1.36,Vila Velha,Brazil,10,19.96,18.6,DEBRA,NELSON,4,2005-07-29,1
1.36,Vitria de Santo Anto,Brazil,6,20.96,19.6,JEREMY,HURTADO,4,2005-08-22,2
1.4,Cape Coral,United States,21,16.96,15.56,KARL,SEAL,4,2005-07-27,2
