customer_id,customer_first_name,customer_last_name,payment_month,total_amount,payment_count,foreign_store_payment_share,largest_payment,month_amount_rank,major_categories
36,KATHLEEN,ADAMS,2005-08,48.89,11,1.0,9.99,1,"Classics (16.98), Comedy (9.98)"
37,PAMELA,BAKER,2005-07,36.94,6,1.0,9.99,2,"Classics (13.98), Comedy (9.99)"
38,MARTHA,GONZALEZ,2005-07,65.82,18,1.0,5.99,1,"Children (14.96), Drama (11.98), Classics (7.98)"
40,AMANDA,CARTER,2005-07,40.89,11,1.0,8.99,2,"Action (8.99), Children (8.98), Drama (6.99)"
41,STEPHANIE,MITCHELL,2005-07,70.85,15,1.0,9.99,1,"Animation (16.96), Sci-Fi (14.97), Games (10.98)"
42,CAROLYN,PEREZ,2005-07,61.84,16,1.0,6.99,1,"Documentary (10.98), Classics (6.99), Horror (6.98), Sci-Fi (6.98)"
43,CHRISTINE,ROBERTS,2005-07,47.88,12,1.0,4.99,1,"New (12.97), Travel (12.97)"
44,MARIE,TURNER,2005-07,53.9,10,1.0,9.99,1,"Animation (14.97), Children (13.98)"
45,JANET,PHILLIPS,2005-06,17.95,5,1.0,4.99,3,"Action (4.99), Sports (4.99)"
45,JANET,PHILLIPS,2005-07,37.91,9,1.0,9.99,2,"Classics (10.98), Music (7.99)"
45,JANET,PHILLIPS,2005-08,68.88,12,1.0,10.99,1,"Documentary (10.99), Sci-Fi (8.99), Travel (7.99), Action (7.98)"
46,CATHERINE,CAMPBELL,2005-06,32.93,7,1.0,8.99,2,"Foreign (8.99), Drama (4.99), Horror (4.99)"
48,ANN,EVANS,2005-07,44.92,8,1.0,7.99,1,"Foreign (13.98), Music (10.98)"
49,JOYCE,EDWARDS,2005-07,69.87,13,1.0,10.99,1,"Family (17.96), New (12.97), Children (8.99)"
50,DIANE,COLLINS,2005-07,80.83,17,1.0,10.99,1,"Drama (16.97), Foreign (15.97), Children (14.98)"
51,ALICE,STEWART,2005-07,58.88,12,1.0,9.99,2,"Music (10.98), Games (9.99), Comedy (7.99), Family (7.98)"
52,JULIE,SANCHEZ,2005-07,48.88,12,1.0,7.99,1,"Documentary (11.97), Games (8.98), Horror (5.99)"
54,TERESA,ROGERS,2005-08,64.86,14,1.0,10.99,1,"Animation (20.95), Family (18.97)"
58,JEAN,BELL,2005-07,38.91,9,1.0,9.99,2,"Foreign (9.99), Documentary (9.98)"
58,JEAN,BELL,2005-08,58.89,11,1.0,8.99,1,"Sports (10.98), Games (8.99), Action (6.99), Animation (6.99)"
59,CHERYL,MURPHY,2005-07,60.89,11,1.0,8.99,1,"Travel (14.97), Games (8.99), Sports (8.99)"
61,KATHERINE,RIVERA,2005-07,32.94,6,1.0,7.99,1,"Sci-Fi (14.98), New (6.99)"
62,JOAN,COOPER,2005-06,24.93,7,1.0,6.99,2,"Games (7.98), Action (5.99)"
63,ASHLEY,RICHARDSON,2005-07,64.86,14,1.0,8.99,1,"Drama (12.97), New (9.98), Comedy (8.99), Documentary (8.98)"
64,JUDITH,COX,2005-07,59.81,19,1.0,6.99,1,"Documentary (17.95), Animation (13.96)"
65,ROSE,HOWARD,2005-07,37.91,9,1.0,6.99,2,"Animation (12.97), Action (10.97)"
66,JANICE,WARD,2005-06,29.93,7,1.0,6.99,3,"Family (7.98), Action (6.99)"
66,JANICE,WARD,2005-07,60.87,13,1.0,8.99,1,"Classics (8.99), Drama (8.98), Foreign (8.98), Travel (7.98)"
69,JUDY,GRAY,2005-07,47.89,11,1.0,8.99,1,"Sci-Fi (14.97), Family (12.98)"
70,CHRISTINA,RAMIREZ,2005-07,26.93,7,1.0,7.99,2,"Documentary (8.98), Family (5.99)"
70,CHRISTINA,RAMIREZ,2005-08,43.91,9,1.0,9.99,1,"Sports (13.97), Horror (9.99)"
71,KATHY,JAMES,2005-07,70.82,18,1.0,8.99,1,"Action (18.97), Music (11.97), Travel (7.98)"
72,THERESA,WATSON,2005-07,36.9,10,1.0,5.99,2,"Animation (9.98), Family (5.99), Music (5.98)"
73,BEVERLY,BROOKS,2005-07,46.9,10,1.0,9.99,1,"Family (9.99), Children (7.98), Classics (7.98)"
74,DENISE,KELLY,2005-07,47.9,10,1.0,7.99,1,"Travel (14.97), Sci-Fi (11.98)"
75,TAMMY,SANDERS,2005-06,29.95,5,1.0,7.99,3,"Sports (7.99), Documentary (6.99)"
75,TAMMY,SANDERS,2005-07,70.8,20,1.0,9.99,1,"Family (17.97), Animation (9.97), Classics (9.97)"
76,IRENE,PRICE,2005-06,12.94,6,1.0,6.99,3,Children (6.99)
76,IRENE,PRICE,2005-07,25.91,9,1.0,6.99,2,Drama (13.96)
79,RACHEL,BARNES,2005-07,53.87,13,1.0,9.99,1,"Drama (15.97), New (12.98)"
80,MARILYN,ROSS,2005-07,61.88,12,1.0,8.99,1,"New (15.97), Sports (12.98), Documentary (6.99)"
81,ANDREA,HENDERSON,2005-07,23.94,6,1.0,9.99,2,"New (9.99), Horror (9.97)"
81,ANDREA,HENDERSON,2005-08,55.88,12,1.0,7.99,1,"Comedy (11.98), Sports (11.97), Sci-Fi (7.99)"
82,KATHRYN,COLEMAN,2005-07,64.89,11,1.0,9.99,1,"Action (11.98), Animation (10.98), Horror (9.99)"
84,SARA,PERRY,2005-07,64.88,12,1.0,9.99,1,"Foreign (14.98), Animation (11.98), Horror (8.99)"
86,JACQUELINE,LONG,2005-06,24.93,7,1.0,4.99,3,"Animation (7.98), Classics (4.99)"
86,JACQUELINE,LONG,2005-07,64.88,12,1.0,10.99,1,"Horror (20.98), Foreign (13.98)"
87,WANDA,PATTERSON,2005-06,25.95,5,1.0,9.99,3,"Games (9.99), Travel (7.98)"
87,WANDA,PATTERSON,2005-07,56.89,11,1.0,8.99,1,"Sci-Fi (13.98), Action (7.99), Drama (7.99)"
88,BONNIE,HUGHES,2005-07,44.89,11,1.0,8.99,1,"Family (14.97), Music (9.98)"
89,JULIA,FLORES,2005-06,30.95,5,1.0,8.99,2,Action (16.98)
89,JULIA,FLORES,2005-07,68.83,17,1.0,8.99,1,"Drama (18.97), Comedy (11.98), Games (9.98)"
90,RUBY,WASHINGTON,2005-07,51.88,12,1.0,9.99,1,"Sci-Fi (15.98), Music (9.98)"
91,LOIS,BUTLER,2005-07,59.81,19,1.0,4.99,1,"Comedy (17.96), Action (7.98), Drama (5.98)"
92,TINA,SIMMONS,2005-07,78.85,15,1.0,8.99,1,"Horror (26.96), New (14.98)"
93,PHYLLIS,FOSTER,2005-08,48.88,12,1.0,8.99,1,"Family (8.99), Classics (7.98), Music (7.98)"
95,PAULA,BRYANT,2005-07,43.91,9,1.0,6.99,1,"Comedy (11.98), Action (10.98)"
97,ANNIE,RUSSELL,2005-07,40.88,12,1.0,5.99,1,"Foreign (10.98), Documentary (5.98), New (5.98)"
98,LILLIAN,GRIFFIN,2005-06,25.94,6,1.0,5.99,3,"New (5.99), Games (4.99), Sci-Fi (4.99)"
99,EMILY,DIAZ,2005-07,56.85,15,1.0,7.99,1,"Sports (15.97), Family (10.98), New (7.98)"
100,ROBIN,HAYES,2005-07,69.87,13,1.0,8.99,1,"Classics (11.98), Comedy (10.98), Travel (9.98), Games (8.99)"
101,PEGGY,MYERS,2005-07,53.88,12,1.0,8.99,1,"Sci-Fi (14.97), Games (6.99), Children (5.99)"
102,CRYSTAL,FORD,2005-07,84.79,21,1.0,6.99,1,"Sports (15.97), Sci-Fi (14.97), Action (13.97)"
103,GLADYS,HAMILTON,2005-07,68.85,15,1.0,6.99,1,"Sports (11.98), Animation (10.97), Documentary (7.98), Foreign (7.98)"
104,RITA,GRAHAM,2005-07,44.9,10,1.0,7.99,1,"Animation (14.98), New (9.98)"
106,CONNIE,WALLACE,2005-07,41.9,10,1.0,7.99,2,"Horror (11.97), Classics (10.98)"
107,FLORENCE,WOODS,2005-07,61.86,14,1.0,7.99,1,"Family (10.97), Sci-Fi (8.98), Comedy (7.99), Drama (6.99)"
108,TRACY,COLE,2005-06,24.95,5,1.0,8.99,3,"Drama (9.98), Comedy (8.99)"
108,TRACY,COLE,2005-07,51.87,13,1.0,6.99,1,"Comedy (11.97), Foreign (9.98), Sci-Fi (9.98)"
111,CARMEN,OWENS,2005-06,22.94,6,1.0,6.99,3,"Travel (9.98), Animation (4.99)"
112,ROSA,REYNOLDS,2005-07,50.89,11,1.0,6.99,2,"Classics (16.96), Travel (8.98)"
113,CINDY,FISHER,2005-06,27.94,6,1.0,8.99,3,"Documentary (9.98), Drama (7.98)"
114,GRACE,ELLIS,2005-07,61.85,15,1.0,10.99,1,"New (15.98), Foreign (9.97), Sports (7.98)"
115,WENDY,HARRISON,2005-07,50.85,15,1.0,6.99,1,"Drama (11.98), Sports (11.97), Classics (7.98)"
116,VICTORIA,GIBSON,2005-06,20.94,6,1.0,4.99,3,"Animation (8.98), Documentary (4.99)"
116,VICTORIA,GIBSON,2005-07,41.9,10,1.0,6.99,2,"Family (15.97), Foreign (7.98)"
117,EDITH,MCDONALD,2005-07,26.95,5,1.0,9.99,2,"Foreign (12.98), Games (9.99)"
117,EDITH,MCDONALD,2005-08,36.9,10,1.0,6.99,1,"Children (11.98), Sports (5.98), Foreign (4.99)"
118,KIM,CRUZ,2005-07,37.89,11,1.0,7.99,1,"Sports (8.98), Foreign (6.98), Games (6.98)"
119,SHERRY,MARSHALL,2005-08,77.82,18,1.0,6.99,1,"New (11.98), Sports (8.98), Children (7.98), Sci-Fi (7.98), Family (6.99)"
120,SYLVIA,ORTIZ,2005-06,29.94,6,1.0,9.99,3,"Action (9.99), Drama (4.99)"
121,JOSEPHINE,GOMEZ,2005-07,31.91,9,1.0,8.99,2,"Comedy (8.99), Animation (6.99)"
121,JOSEPHINE,GOMEZ,2005-08,67.86,14,1.0,9.99,1,"Documentary (21.97), Children (9.99), Sports (8.99)"
122,THELMA,MURRAY,2005-06,25.93,7,1.0,7.99,3,Horror (12.98)
122,THELMA,MURRAY,2005-07,61.85,15,1.0,7.99,1,"Drama (13.98), Horror (10.97), Sci-Fi (9.98)"
123,SHANNON,FREEMAN,2005-06,14.95,5,1.0,4.99,3,"Action (4.99), Foreign (4.99)"
123,SHANNON,FREEMAN,2005-07,45.9,10,1.0,8.99,1,New (22.96)
124,SHEILA,WELLS,2005-07,37.92,8,1.0,8.99,1,"Children (9.98), Drama (8.99)"
125,ETHEL,WEBB,2005-07,65.84,16,1.0,9.99,1,"Documentary (12.97), Animation (10.98), Action (8.97), Games (7.99)"
126,ELLEN,SIMPSON,2005-07,48.87,13,1.0,7.99,2,"Family (13.98), Action (10.96)"
127,ELAINE,STEVENS,2005-07,36.93,7,1.0,6.99,2,"New (10.98), Animation (9.98)"
127,ELAINE,STEVENS,2005-08,56.88,12,1.0,10.99,1,"Family (23.97), Sci-Fi (8.98)"
128,MARJORIE,TUCKER,2005-07,65.84,16,1.0,6.99,1,"Comedy (14.97), Animation (10.98), Action (8.98)"
130,CHARLOTTE,HUNTER,2005-06,21.94,6,1.0,6.99,3,"Games (9.98), Classics (2.99)"
131,MONICA,HICKS,2005-07,49.88,12,1.0,8.99,1,"Comedy (8.99), Action (7.98), Travel (7.98)"
133,PAULINE,HENRY,2005-07,47.87,13,1.0,6.99,1,"Drama (10.95), Documentary (9.98), Action (6.99)"
135,JUANITA,MASON,2005-07,57.86,14,1.0,7.99,1,"Children (16.97), Comedy (7.99), Games (7.99)"
136,ANITA,MORALES,2005-07,24.94,6,1.0,8.99,2,"New (8.99), Action (5.99)"
136,ANITA,MORALES,2005-08,31.93,7,1.0,10.99,1,"Drama (10.99), Classics (10.98)"
137,RHONDA,KENNEDY,2005-07,96.81,19,1.0,8.99,1,"Games (20.97), Sports (16.97), Horror (11.98)"
138,HAZEL,WARREN,2005-07,47.85,15,1.0,9.99,2,"Sports (18.96), Family (9.96)"
139,AMBER,DIXON,2005-07,51.88,12,1.0,7.99,1,"Documentary (13.98), Drama (12.98)"
141,DEBBIE,REYES,2005-07,41.89,11,1.0,7.99,2,"Travel (12.98), Horror (9.98)"
142,APRIL,BURNS,2005-07,41.9,10,1.0,7.99,1,"Children (7.99), Drama (7.98), Action (5.99)"
144,CLARA,SHAW,2005-06,22.94,6,1.0,5.99,3,"Horror (5.99), New (4.99), Sports (4.99)"
144,CLARA,SHAW,2005-07,93.82,18,1.0,9.99,1,"Action (26.97), Classics (18.97), Children (13.98)"
145,LUCILLE,HOLMES,2005-07,55.85,15,1.0,8.99,1,"Animation (20.95), Sports (7.99)"
147,JOANNE,ROBERTSON,2005-07,31.87,13,1.0,7.99,2,"Games (7.99), Action (5.98), Animation (5.96)"
147,JOANNE,ROBERTSON,2005-08,76.85,15,1.0,8.99,1,"Action (12.97), New (11.98), Documentary (9.98), Comedy (8.99)"
148,ELEANOR,HUNT,2005-06,22.95,5,1.0,6.99,3,"Classics (6.99), Horror (5.99)"
148,ELEANOR,HUNT,2005-07,100.78,22,1.0,10.99,1,"Horror (14.97), Travel (12.97), Sci-Fi (12.96), Action (10.99)"
149,VALERIE,BLACK,2005-06,32.93,7,1.0,7.99,2,"Sports (12.98), Classics (7.99)"
150,DANIELLE,DANIELS,2005-08,68.84,16,1.0,9.99,1,"Sci-Fi (14.97), Sports (12.98), Travel (12.98)"
152,ALICIA,MILLS,2005-07,25.94,6,1.0,7.99,2,"Children (8.98), Sci-Fi (7.99)"
153,SUZANNE,NICHOLS,2005-07,39.9,10,1.0,9.99,2,"Games (15.98), Classics (7.99)"
154,MICHELE,GRANT,2005-07,55.86,14,1.0,7.99,1,"Drama (11.97), Comedy (9.98), Documentary (7.99)"
155,GAIL,KNIGHT,2005-06,27.95,5,1.0,7.99,2,Documentary (15.98)
157,DARLENE,ROSE,2005-07,52.83,17,1.0,5.99,2,"Games (8.98), Music (7.98), Documentary (7.96), Horror (5.99)"
159,JILL,HAWKINS,2005-07,38.9,10,1.0,7.99,1,"New (7.99), Classics (6.98), Travel (6.98)"
160,ERIN,DUNN,2005-08,66.85,15,1.0,7.99,1,"Documentary (11.97), Music (10.98), Foreign (8.98), Drama (7.99)"
161,GERALDINE,PERKINS,2005-07,41.9,10,1.0,6.99,2,"Foreign (6.99), Travel (6.99), Music (5.98), Animation (4.99)"
164,JOANN,GARDNER,2005-07,38.9,10,1.0,6.99,1,"Drama (6.99), Music (4.99), Sci-Fi (4.99), Travel (4.99)"
165,LORRAINE,STEPHENS,2005-07,49.88,12,1.0,7.99,1,"Classics (11.96), Games (7.99), Music (6.99)"
166,LYNN,PAYNE,2005-07,56.87,13,1.0,8.99,1,"Classics (16.97), Sports (16.97)"
167,SALLY,PIERCE,2005-07,48.85,15,1.0,4.99,1,"Sports (9.98), Family (7.98), Music (7.98)"
168,REGINA,BERRY,2005-07,70.83,17,1.0,6.99,1,"Comedy (11.98), Drama (10.98), New (8.98), Animation (7.98)"
169,ERICA,MATTHEWS,2005-07,49.9,10,1.0,9.99,1,"Sports (11.98), Animation (9.99), Foreign (8.99)"
170,BEATRICE,ARNOLD,2005-07,56.88,12,1.0,9.99,1,"Children (9.99), Family (8.98), New (7.99), Classics (4.99)"
171,DOLORES,WAGNER,2005-06,32.93,7,1.0,6.99,3,"Documentary (11.97), Foreign (6.99)"
172,BERNICE,WILLIS,2005-07,70.86,14,1.0,7.99,1,"Children (13.98), Travel (11.98), Action (8.98), Animation (8.98)"
173,AUDREY,RAY,2005-07,57.86,14,1.0,8.99,1,"New (8.99), Games (8.98), Family (8.97), Classics (7.99)"
175,ANNETTE,OLSON,2005-07,46.89,11,1.0,7.99,1,"Games (9.98), New (8.98), Horror (7.99)"
179,DANA,HART,2005-07,68.86,14,1.0,8.99,1,"Documentary (14.97), Action (8.99), Music (7.99), Family (7.98)"
180,STACY,CUNNINGHAM,2005-07,40.9,10,1.0,9.99,2,"Family (16.97), Comedy (7.99)"
181,ANA,BRADLEY,2005-07,72.88,12,1.0,9.99,1,"Family (19.97), Documentary (11.98), Drama (8.99)"
182,RENEE,LANE,2005-07,39.88,12,1.0,8.99,1,"Games (11.98), Action (6.99), Documentary (5.98)"
183,IDA,ANDREWS,2005-07,34.89,11,1.0,5.99,1,"Documentary (10.97), Classics (4.99), Drama (4.99)"
184,VIVIAN,RUIZ,2005-07,36.91,9,1.0,6.99,2,"Animation (7.98), Action (6.99), Music (6.99)"
185,ROBERTA,HARPER,2005-07,50.88,12,1.0,9.99,1,"Classics (12.97), Animation (10.98), Children (9.99)"
186,HOLLY,FOX,2005-06,25.94,6,1.0,4.99,3,"Classics (10.97), Animation (4.99)"
186,HOLLY,FOX,2005-08,55.86,14,1.0,8.99,1,"Comedy (15.98), Drama (11.97)"
187,BRITTANY,RILEY,2005-07,63.89,11,1.0,10.99,2,"Music (15.98), Sci-Fi (8.99), Documentary (8.98)"
189,LORETTA,CARPENTER,2005-07,37.9,10,1.0,5.99,1,"Sci-Fi (6.98), Travel (5.99), Family (5.98), Animation (4.99)"
191,JEANETTE,GREENE,2005-07,39.91,9,1.0,6.99,1,"Documentary (6.99), Games (5.99), Sci-Fi (5.99), Music (4.99)"
192,LAURIE,LAWRENCE,2005-07,35.9,10,1.0,7.99,2,"Classics (12.98), Comedy (7.99)"
192,LAURIE,LAWRENCE,2005-08,52.9,10,1.0,7.99,1,"Horror (12.97), Comedy (8.98), Music (7.99)"
193,KATIE,ELLIOTT,2005-06,35.94,6,1.0,8.99,2,"Animation (8.99), Family (6.99), Music (6.99)"
198,ELSIE,KELLEY,2005-07,52.85,15,1.0,5.99,2,"Foreign (13.97), Documentary (6.97), Music (5.99)"
198,ELSIE,KELLEY,2005-08,70.84,16,1.0,6.99,1,"Games (12.98), Family (9.98), Sci-Fi (9.98), Foreign (5.99)"
199,BETH,FRANKLIN,2005-07,52.88,12,1.0,8.99,1,"Children (11.98), Travel (9.98), Action (7.98)"
200,JEANNE,LAWSON,2005-06,31.93,7,1.0,6.99,3,"Games (8.98), Classics (4.99), Comedy (4.99)"
202,CARLA,GUTIERREZ,2005-07,52.87,13,1.0,8.99,1,"Foreign (11.98), Horror (8.99), Documentary (7.98)"
203,TARA,RYAN,2005-07,40.93,7,1.0,10.99,1,"Drama (17.98), Action (13.98)"
205,EILEEN,CARR,2005-07,45.92,8,1.0,7.99,1,"Classics (7.99), Documentary (7.99), Foreign (7.99)"
206,TERRI,VASQUEZ,2005-07,60.87,13,1.0,6.99,1,"Foreign (11.98), Animation (10.98), Documentary (10.97)"
207,GERTRUDE,CASTILLO,2005-07,58.85,15,1.0,9.99,1,"Comedy (12.98), New (11.97), Family (8.98)"
208,LUCY,WHEELER,2005-07,46.87,13,1.0,6.99,1,"New (11.98), Sci-Fi (5.99), Children (5.98)"
209,TONYA,CHAPMAN,2005-07,82.83,17,1.0,8.99,1,"Classics (15.97), Children (14.97), Documentary (11.97)"
210,ELLA,OLIVER,2005-07,73.82,18,1.0,8.99,1,"New (21.96), Sports (12.98), Action (9.97)"
211,STACEY,MONTGOMERY,2005-07,62.84,16,1.0,8.99,2,"Animation (12.98), Music (10.97), Sci-Fi (9.97)"
213,GINA,WILLIAMSON,2005-06,35.91,9,1.0,6.99,2,"Family (7.98), Foreign (6.99), Documentary (5.99)"
214,KRISTIN,JOHNSTON,2005-07,35.92,8,1.0,7.99,2,"Sports (13.98), Music (4.99)"
216,NATALIE,MEYER,2005-06,15.95,5,1.0,6.99,3,"Drama (6.99), Travel (3.99)"
216,NATALIE,MEYER,2005-07,32.94,6,1.0,8.99,2,"Classics (8.99), Travel (7.99)"
218,VERA,MCCOY,2005-07,37.92,8,1.0,8.99,1,"Action (8.99), Classics (6.99), Drama (6.99)"
219,WILLIE,HOWELL,2005-07,64.85,15,1.0,7.99,1,"Horror (15.98), Foreign (9.98), Sports (6.99)"
220,CHARLENE,ALVAREZ,2005-07,59.88,12,1.0,10.99,1,"Drama (18.98), New (15.98)"
221,BESSIE,MORRISON,2005-06,23.95,5,1.0,10.99,3,"Family (10.99), Classics (5.99)"
221,BESSIE,MORRISON,2005-07,58.88,12,1.0,8.99,1,"Comedy (20.97), Documentary (10.98)"
223,MELINDA,FERNANDEZ,2005-07,32.93,7,1.0,7.99,2,"Sci-Fi (7.99), Children (5.99), Documentary (5.99)"
225,ARLENE,HARVEY,2005-07,80.83,17,1.0,7.99,1,"Games (20.97), Drama (15.97), Horror (9.98)"
226,MAUREEN,LITTLE,2005-07,41.91,9,1.0,9.99,1,"Comedy (9.99), Animation (7.98), Horror (5.99)"
227,COLLEEN,BURTON,2005-07,44.88,12,1.0,7.99,1,"Documentary (13.97), Animation (10.98)"
228,ALLISON,STANLEY,2005-07,54.85,15,1.0,8.99,1,"Sports (18.97), Documentary (10.98)"
229,TAMARA,NGUYEN,2005-07,49.87,13,1.0,7.99,1,"Drama (12.98), Sci-Fi (5.99), Action (5.98)"
230,JOY,GEORGE,2005-06,20.94,6,1.0,8.99,3,"Classics (9.98), Sports (4.99)"
230,JOY,GEORGE,2005-07,58.85,15,1.0,9.99,1,"Sports (9.99), Games (8.98), Animation (7.98), New (7.98)"
231,GEORGIA,JACOBS,2005-07,36.89,11,1.0,9.99,2,"Children (11.98), Music (8.98)"
232,CONSTANCE,REID,2005-07,57.86,14,1.0,10.99,1,"Sci-Fi (14.96), Games (10.99), Family (5.99)"
233,LILLIE,KIM,2005-07,55.87,13,1.0,8.99,1,"Drama (9.98), Family (9.98), Classics (5.99), Horror (5.99)"
234,CLAUDIA,FULLER,2005-06,36.92,8,1.0,6.99,2,"Classics (13.97), Foreign (8.98)"
235,JACKIE,LYNCH,2005-07,62.85,15,1.0,6.99,1,"Animation (17.96), Action (11.97), Horror (7.98)"
236,MARCIA,DEAN,2005-06,37.92,8,1.0,8.99,3,"Family (8.99), Foreign (6.99), Sci-Fi (5.99)"
236,MARCIA,DEAN,2005-07,73.8,20,1.0,5.99,1,"Family (13.97), New (13.97), Animation (8.98)"
237,TANYA,GILBERT,2005-07,64.85,15,1.0,8.99,1,"Family (16.96), Sci-Fi (6.99), Music (6.98), New (6.98)"
238,NELLIE,GARRETT,2005-07,42.91,9,1.0,8.99,1,"New (12.98), Classics (9.98)"
240,MARLENE,WELCH,2005-07,51.88,12,1.0,8.99,1,"New (24.96), Action (4.99)"
241,HEIDI,LARSON,2005-07,53.85,15,1.0,6.99,1,"Family (10.97), New (10.97), Foreign (7.98)"
243,LYDIA,BURKE,2005-07,45.87,13,1.0,5.99,1,"Documentary (10.97), Classics (6.98), Games (5.99)"
244,VIOLA,HANSON,2005-07,54.86,14,1.0,5.99,1,"Drama (9.98), New (9.98), Comedy (5.99), Sci-Fi (5.99)"
245,COURTNEY,DAY,2005-07,72.84,16,1.0,10.99,1,"Children (13.97), Animation (12.98), Sports (11.98)"
247,STELLA,MORENO,2005-07,33.93,7,1.0,6.99,2,"Foreign (6.99), Sci-Fi (6.99), Drama (5.99)"
254,MAXINE,SILVA,2005-07,55.87,13,1.0,7.99,1,"Sci-Fi (10.98), Comedy (7.99), Family (6.98), Horror (5.99)"
257,MARSHA,DOUGLAS,2005-07,88.82,18,1.0,6.99,1,"Foreign (17.96), Classics (12.98), Children (11.98), Documentary (10.98)"
258,MYRTLE,FLEMING,2005-07,44.9,10,1.0,9.99,2,"Drama (20.97), Foreign (8.98)"
260,CHRISTY,VARGAS,2005-06,34.92,8,1.0,10.99,3,"Music (14.97), Sports (7.99)"
262,PATSY,DAVIDSON,2005-07,47.89,11,1.0,7.99,1,"Animation (12.98), Foreign (10.98)"
263,HILDA,HOPKINS,2005-07,43.87,13,1.0,4.99,2,"Music (7.98), Sci-Fi (7.98), Horror (6.98)"
263,HILDA,HOPKINS,2005-08,60.89,11,1.0,9.99,1,"Children (17.98), Foreign (13.98)"
264,GWENDOLYN,MAY,2005-07,51.88,12,1.0,8.99,1,"Sci-Fi (18.97), Drama (9.98)"
265,JENNIE,TERRY,2005-07,70.84,16,1.0,9.99,1,"New (10.97), Games (9.99), Comedy (8.98), Family (7.98)"
266,NORA,HERRERA,2005-08,71.83,17,1.0,8.99,1,"Drama (14.97), Animation (7.98), Horror (6.99), Music (6.99)"
