suspicion_rank,customer_id,customer_name,customer_email,customer_country,customer_city,customer_store_id,last_payment_store_id,window_start,window_end,window_payment_count,window_payment_sum,hist_payment_count,hist_payment_sum_30d,avg_daily_payment_count_30d,avg_daily_payment_sum_30d,count_ratio_to_norm,sum_ratio_to_norm,deviation_score,last_payment_id,last_payment_date,last_payment_amount,last_payment_staff_id,last_payment_staff_name
43,427,JESUS MCCARTNEY,JESUS.MCCARTNEY@sakilacustomer.org,Brazil,Guaruj,2,1,2005-06-15 12:26:21.000,2005-06-16 12:26:21,3,15.97,1,6.99,0.0333,0.233,90.0,68.5408,68.5408,11536,2005-06-16 09:17:07.000,5.99,1,Mike Hillyer
44,497,GILBERT SLEDGE,GILBERT.SLEDGE@sakilacustomer.org,United Kingdom,York,2,1,2005-06-18 00:47:43.000,2005-06-19 00:47:43,3,17.97,1,7.99,0.0333,0.2663,90.0,67.4718,67.4718,13380,2005-06-18 16:39:37.000,2.99,1,Mike Hillyer
45,450,JAY ROBB,JAY.ROBB@sakilacustomer.org,Indonesia,Surakarta,1,2,2005-06-16 08:33:39.000,2005-06-17 08:33:39,3,8.97,1,3.99,0.0333,0.133,90.0,67.4436,67.4436,12137,2005-06-17 05:25:54.000,2.99,2,Jon Stephens
46,394,CHRIS BROTHERS,CHRIS.BROTHERS@sakilacustomer.org,Spain,Gijn,2,2,2005-07-06 02:01:08.000,2005-07-07 02:01:08,3,10.97,1,4.99,0.0333,0.1663,90.0,65.9519,65.9519,10677,2005-07-07 00:28:55.000,2.99,2,Jon Stephens
47,325,TIMOTHY BUNN,TIMOTHY.BUNN@sakilacustomer.org,Brazil,Braslia,1,2,2005-06-18 23:12:13.000,2005-06-19 23:12:13,3,12.97,1,5.99,0.0333,0.1997,90.0,64.9583,64.9583,8782,2005-06-19 19:34:45.000,2.99,2,Jon Stephens
48,19,RUTH MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,South Africa,Kimberley,1,1,2005-05-25 18:43:49.000,2005-05-26 18:43:49,2,16.98,1,0.99,0.0333,0.033,60.0,514.5455,60.0,492,2005-05-26 04:26:06.000,6.99,1,Mike Hillyer
48,480,COREY HAUSER,COREY.HAUSER@sakilacustomer.org,Turkey,Gaziantep,1,2,2005-05-29 05:17:30.000,2005-05-30 05:17:30,2,16.98,1,0.99,0.0333,0.033,60.0,514.5455,60.0,12959,2005-05-29 21:36:00.000,9.99,2,Jon Stephens
50,14,BETTY WHITE,BETTY.WHITE@sakilacustomer.org,United States,Citrus Heights,2,1,2005-05-27 04:34:41.000,2005-05-28 04:34:41,2,15.98,1,0.99,0.0333,0.033,60.0,484.2424,60.0,360,2005-05-28 04:25:33.000,5.99,1,Mike Hillyer
51,426,BRADLEY MOTLEY,BRADLEY.MOTLEY@sakilacustomer.org,India,Purnea (Purnia),1,1,2005-06-16 14:10:15.000,2005-06-17 14:10:15,2,14.98,1,0.99,0.0333,0.033,60.0,453.9394,60.0,11508,2005-06-16 23:45:59.000,7.99,1,Mike Hillyer
52,293,MAE FLETCHER,MAE.FLETCHER@sakilacustomer.org,Spain,Donostia-San Sebastin,2,2,2005-05-30 12:10:59.000,2005-05-31 12:10:59,2,13.98,1,0.99,0.0333,0.033,60.0,423.6364,60.0,7924,2005-05-31 04:53:40.000,8.99,2,Jon Stephens
53,469,WESLEY BULL,WESLEY.BULL@sakilacustomer.org,Spain,Ourense (Orense),2,2,2005-05-28 02:09:19.000,2005-05-29 02:09:19,2,12.98,1,0.99,0.0333,0.033,60.0,393.3333,60.0,12652,2005-05-28 04:34:17.000,4.99,2,Jon Stephens
53,442,LEROY BUSTAMANTE,LEROY.BUSTAMANTE@sakilacustomer.org,China,Tongliao,1,1,2005-05-28 08:38:43.000,2005-05-29 08:38:43,2,12.98,1,0.99,0.0333,0.033,60.0,393.3333,60.0,11917,2005-05-28 17:37:50.000,5.99,1,Mike Hillyer
53,231,GEORGIA JACOBS,GEORGIA.JACOBS@sakilacustomer.org,India,Uttarpara-Kotrung,1,1,2005-07-06 02:54:33.000,2005-07-07 02:54:33,2,12.98,1,0.99,0.0333,0.033,60.0,393.3333,60.0,6224,2005-07-06 16:30:30.000,2.99,1,Mike Hillyer
56,84,SARA PERRY,SARA.PERRY@sakilacustomer.org,Mexico,Atlixco,2,1,2005-05-29 08:28:18.000,2005-05-30 08:28:18,2,11.98,1,0.99,0.0333,0.033,60.0,363.0303,60.0,2271,2005-05-29 23:24:30.000,4.99,1,Mike Hillyer
56,424,KYLE SPURLOCK,KYLE.SPURLOCK@sakilacustomer.org,China,Shanwei,2,1,2005-06-20 12:38:49.000,2005-06-21 12:38:49,2,11.98,1,0.99,0.0333,0.033,60.0,363.0303,60.0,11452,2005-06-20 21:32:32.000,6.99,1,Mike Hillyer
58,176,JUNE CARROLL,JUNE.CARROLL@sakilacustomer.org,Algeria,Skikda,1,1,2005-05-27 09:34:39.000,2005-05-28 09:34:39,2,10.98,1,0.99,0.0333,0.033,60.0,332.7273,60.0,4765,2005-05-28 08:14:44.000,3.99,1,Mike Hillyer
58,338,DENNIS GILMAN,DENNIS.GILMAN@sakilacustomer.org,South Africa,Paarl,1,1,2005-06-15 22:39:34.000,2005-06-16 22:39:34,2,10.98,1,0.99,0.0333,0.033,60.0,332.7273,60.0,9128,2005-06-16 20:58:59.000,5.99,1,Mike Hillyer
58,378,EUGENE CULPEPPER,EUGENE.CULPEPPER@sakilacustomer.org,China,Shenzhen,1,1,2005-06-16 07:48:50.000,2005-06-17 07:48:50,2,10.98,1,0.99,0.0333,0.033,60.0,332.7273,60.0,10231,2005-06-16 10:13:35.000,5.99,1,Mike Hillyer
61,589,TRACY HERRMANN,TRACY.HERRMANN@sakilacustomer.org,Ecuador,Loja,1,1,2005-05-28 14:00:03.000,2005-05-29 14:00:03,2,9.98,1,0.99,0.0333,0.033,60.0,302.4242,60.0,15766,2005-05-29 08:11:31.000,4.99,1,Mike Hillyer
61,369,FRED WHEAT,FRED.WHEAT@sakilacustomer.org,Mexico,Jurez,2,2,2005-07-05 23:37:13.000,2005-07-06 23:37:13,2,9.98,1,0.99,0.0333,0.033,60.0,302.4242,60.0,9981,2005-07-06 19:27:32.000,2.99,2,Jon Stephens
63,412,ALLEN BUTTERFIELD,ALLEN.BUTTERFIELD@sakilacustomer.org,India,Hoshiarpur,2,1,2005-07-28 16:27:43.000,2005-07-29 16:27:43,4,19.96,2,1.98,0.0667,0.066,60.0,302.4242,60.0,11159,2005-07-29 15:54:22.000,0.99,1,Mike Hillyer
64,549,NELSON CHRISTENSON,NELSON.CHRISTENSON@sakilacustomer.org,Spain,Santiago de Compostela,1,1,2005-05-30 01:36:57.000,2005-05-31 01:36:57,2,8.98,1,0.99,0.0333,0.033,60.0,272.1212,60.0,14730,2005-05-30 10:30:38.000,3.99,1,Mike Hillyer
64,5,ELIZABETH BROWN,ELIZABETH.BROWN@sakilacustomer.org,Taiwan,Nantou,1,1,2005-05-31 11:15:43.000,2005-06-01 11:15:43,2,8.98,1,0.99,0.0333,0.033,60.0,272.1212,60.0,110,2005-05-31 19:46:38.000,1.99,1,Mike Hillyer
66,48,ANN EVANS,ANN.EVANS@sakilacustomer.org,Russian Federation,Niznekamsk,1,1,2005-05-26 20:48:48.000,2005-05-27 20:48:48,2,7.98,1,0.99,0.0333,0.033,60.0,241.8182,60.0,1314,2005-05-27 11:02:26.000,4.99,1,Mike Hillyer
66,198,ELSIE KELLEY,ELSIE.KELLEY@sakilacustomer.org,Nigeria,Ikerre,2,2,2005-05-28 11:33:46.000,2005-05-29 11:33:46,2,7.98,1,0.99,0.0333,0.033,60.0,241.8182,60.0,5358,2005-05-28 18:25:02.000,2.99,2,Jon Stephens
66,310,DANIEL CABRAL,DANIEL.CABRAL@sakilacustomer.org,Brazil,Ibirit,2,2,2005-06-14 23:09:38.000,2005-06-15 23:09:38,2,7.98,1,0.99,0.0333,0.033,60.0,241.8182,60.0,8414,2005-06-15 11:37:08.000,2.99,2,Jon Stephens
66,81,ANDREA HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,Madagascar,Mahajanga,1,1,2005-06-19 14:26:09.000,2005-06-20 14:26:09,2,7.98,1,0.99,0.0333,0.033,60.0,241.8182,60.0,2198,2005-06-19 23:11:48.000,5.99,1,Mike Hillyer
66,591,KENT ARSENAULT,KENT.ARSENAULT@sakilacustomer.org,Brazil,Juiz de Fora,1,2,2005-06-21 10:37:25.000,2005-06-22 10:37:25,2,7.98,1,0.99,0.0333,0.033,60.0,241.8182,60.0,15819,2005-06-21 19:14:58.000,4.99,2,Jon Stephens
71,528,CLAUDE HERZOG,CLAUDE.HERZOG@sakilacustomer.org,Angola,Benguela,1,1,2005-05-27 21:36:15.000,2005-05-28 21:36:15,2,6.98,1,0.99,0.0333,0.033,60.0,211.5152,60.0,14207,2005-05-28 06:14:46.000,5.99,1,Mike Hillyer
72,446,THEODORE CULP,THEODORE.CULP@sakilacustomer.org,India,Uluberia,2,1,2005-05-26 11:53:49.000,2005-05-27 11:53:49,2,5.98,1,0.99,0.0333,0.033,60.0,181.2121,60.0,12027,2005-05-27 06:15:33.000,4.99,1,Mike Hillyer
72,422,MELVIN ELLINGTON,MELVIN.ELLINGTON@sakilacustomer.org,China,Laohekou,1,1,2005-06-17 00:02:44.000,2005-06-18 00:02:44,2,5.98,1,0.99,0.0333,0.033,60.0,181.2121,60.0,11400,2005-06-17 04:26:23.000,4.99,1,Mike Hillyer
72,132,ESTHER CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,South Africa,Botshabelo,2,1,2005-06-18 02:22:07.000,2005-06-19 02:22:07,2,5.98,1,0.99,0.0333,0.033,60.0,181.2121,60.0,3560,2005-06-18 15:18:49.000,0.99,1,Mike Hillyer
72,36,KATHLEEN ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,Iran,Arak,2,2,2005-07-07 08:15:03.000,2005-07-08 08:15:03,2,5.98,1,0.99,0.0333,0.033,60.0,181.2121,60.0,988,2005-07-08 04:58:48.000,4.99,2,Jon Stephens
76,124,SHEILA WELLS,SHEILA.WELLS@sakilacustomer.org,Turkey,Ktahya,1,2,2005-07-07 18:44:23.000,2005-07-08 18:44:23,2,10.98,1,1.99,0.0333,0.0663,60.0,165.5276,60.0,3342,2005-07-08 12:04:34.000,2.99,2,Jon Stephens
77,219,WILLIE HOWELL,WILLIE.HOWELL@sakilacustomer.org,Argentina,Vicente Lpez,2,2,2005-06-18 17:12:01.000,2005-06-19 17:12:01,2,4.98,1,0.99,0.0333,0.033,60.0,150.9091,60.0,5924,2005-06-19 04:44:30.000,0.99,2,Jon Stephens
78,162,LAUREN HUDSON,LAUREN.HUDSON@sakilacustomer.org,France,Le Mans,2,1,2005-05-28 01:09:36.000,2005-05-29 01:09:36,2,9.98,1,1.99,0.0333,0.0663,60.0,150.4523,60.0,4404,2005-05-29 00:45:24.000,4.99,1,Mike Hillyer
79,78,LORI WOOD,LORI.WOOD@sakilacustomer.org,India,Rae Bareli,1,2,2005-06-20 06:05:53.000,2005-06-21 06:05:53,2,14.98,1,2.99,0.0333,0.0997,60.0,150.301,60.0,2115,2005-06-21 03:12:21.000,7.99,2,Jon Stephens
79,545,JULIO NOLAND,JULIO.NOLAND@sakilacustomer.org,Ukraine,Konotop,2,1,2005-07-06 09:56:09.000,2005-07-07 09:56:09,2,14.98,1,2.99,0.0333,0.0997,60.0,150.301,60.0,14643,2005-07-06 23:00:09.000,5.99,1,Mike Hillyer
81,374,JEREMY HURTADO,JEREMY.HURTADO@sakilacustomer.org,Brazil,Vitria de Santo Anto,2,2,2005-05-30 10:46:16.000,2005-05-31 10:46:16,2,3.98,1,0.99,0.0333,0.033,60.0,120.6061,60.0,10125,2005-05-30 11:35:06.000,0.99,2,Jon Stephens
81,83,LOUISE JENKINS,LOUISE.JENKINS@sakilacustomer.org,South Africa,Springs,1,2,2005-05-30 16:06:08.000,2005-05-31 16:06:08,2,3.98,1,0.99,0.0333,0.033,60.0,120.6061,60.0,2246,2005-05-30 23:11:51.000,2.99,2,Jon Stephens
81,115,WENDY HARRISON,WENDY.HARRISON@sakilacustomer.org,Mexico,Nezahualcyotl,1,1,2005-05-30 22:15:51.000,2005-05-31 22:15:51,2,3.98,1,0.99,0.0333,0.033,60.0,120.6061,60.0,3093,2005-05-31 14:20:29.000,2.99,1,Mike Hillyer
81,212,WILMA RICHARDS,WILMA.RICHARDS@sakilacustomer.org,United States,Bellevue,2,1,2005-06-15 15:05:10.000,2005-06-16 15:05:10,2,3.98,1,0.99,0.0333,0.033,60.0,120.6061,60.0,5755,2005-06-16 08:29:58.000,2.99,1,Mike Hillyer
85,580,ROSS GREY,ROSS.GREY@sakilacustomer.org,Philippines,Iligan,1,2,2005-07-06 03:32:31.000,2005-07-07 03:32:31,2,3.98,1,0.99,0.0333,0.033,60.0,120.6061,60.0,15537,2005-07-06 17:52:19.000,1.99,2,Jon Stephens
86,30,MELISSA KING,MELISSA.KING@sakilacustomer.org,Taiwan,Lungtan,1,2,2005-06-17 04:25:12.000,2005-06-18 04:25:12,2,7.98,1,1.99,0.0333,0.0663,60.0,120.3015,60.0,820,2005-06-17 22:59:42.000,4.99,2,Jon Stephens
87,485,CLYDE TOBIAS,CLYDE.TOBIAS@sakilacustomer.org,China,Shaoguan,1,1,2005-06-16 11:57:34.000,2005-06-17 11:57:34,2,11.98,1,2.99,0.0333,0.0997,60.0,120.2007,60.0,13087,2005-06-16 15:01:36.000,8.99,1,Mike Hillyer
88,583,MARSHALL THORN,MARSHALL.THORN@sakilacustomer.org,United Kingdom,Southampton,1,2,2005-06-18 17:48:28.000,2005-06-19 17:48:28,2,14.98,1,3.99,0.0333,0.133,60.0,112.6316,60.0,15615,2005-06-19 10:54:00.000,4.99,2,Jon Stephens
89,437,RANDALL NEUMANN,RANDALL.NEUMANN@sakilacustomer.org,Dominican Republic,La Romana,2,1,2005-05-28 20:18:24.000,2005-05-29 20:18:24,2,10.98,1,2.99,0.0333,0.0997,60.0,110.1672,60.0,11775,2005-05-28 21:48:51.000,5.99,1,Mike Hillyer
89,440,BERNARD COLBY,BERNARD.COLBY@sakilacustomer.org,India,Dhule (Dhulia),1,2,2005-07-08 22:46:23.000,2005-07-09 22:46:23,2,10.98,1,2.99,0.0333,0.0997,60.0,110.1672,60.0,11868,2005-07-09 20:56:48.000,2.99,2,Jon Stephens
91,351,JACK FOUST,JACK.FOUST@sakilacustomer.org,Russian Federation,Zeleznogorsk,1,1,2005-06-16 20:04:50.000,2005-06-17 20:04:50,2,6.98,1,1.99,0.0333,0.0663,60.0,105.2261,60.0,9488,2005-06-17 02:08:00.000,0.99,1,Mike Hillyer
92,27,SHIRLEY ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,Philippines,Davao,2,2,2005-06-15 10:11:42.000,2005-06-16 10:11:42,2,9.98,1,2.99,0.0333,0.0997,60.0,100.1338,60.0,721,2005-06-15 21:17:17.000,4.99,2,Jon Stephens
