average_check,customer_id,first_name,last_name,payment_count,share_payments_above_5,total_amount
3.99,190,YOLANDA,WEAVER,5,0.0,19.95
3.99,194,KRISTEN,CHAVEZ,5,0.2,19.95
3.99,196,ALMA,AUSTIN,8,0.25,31.92
3.99,197,SUE,PETERS,8,0.125,31.92
3.99,213,GINA,WILLIAMSON,9,0.2222,35.91
3.99,215,JESSIE,BANKS,6,0.0,23.94
3.99,249,DORA,MEDINA,5,0.4,19.95
3.99,261,DEANNA,BYRD,6,0.3333,23.94
3.99,308,THOMAS,GRIGSBY,5,0.2,19.95
3.99,364,BENJAMIN,VARNEY,5,0.0,19.95
3.99,393,PHILIP,CAUSEY,5,0.2,19.95
3.99,426,BRADLEY,MOTLEY,5,0.4,19.95
3.99,439,ALEXANDER,FENNELL,6,0.1667,23.94
3.99,468,TIM,CARY,6,0.1667,23.94
3.99,479,ZACHARY,HITE,6,0.1667,23.94
3.99,5,ELIZABETH,BROWN,5,0.0,19.95
3.99,594,EDUARDO,HIATT,6,0.3333,23.94
3.99,94,NORMA,GONZALES,5,0.0,19.95
4.13,277,OLGA,JIMENEZ,7,0.1429,28.93
4.13,434,EDDIE,TOMLIN,7,0.2857,28.93
4.16,472,GREG,ROBINS,6,0.3333,24.94
4.19,352,ALBERT,CROUSE,5,0.0,20.95
4.19,471,DEAN,SAUER,5,0.0,20.95
4.19,57,EVELYN,MORGAN,5,0.4,20.95
4.19,82,KATHRYN,COLEMAN,5,0.4,20.95
4.24,510,BEN,EASTER,8,0.5,33.92
4.28,66,JANICE,WARD,7,0.1429,29.93
4.32,186,HOLLY,FOX,6,0.0,25.94
4.32,267,MARGIE,WADE,9,0.2222,38.91
4.32,444,MARCUS,HIDALGO,6,0.3333,25.94
4.32,515,ANDRE,RAPP,6,0.1667,25.94
4.32,98,LILLIAN,GRIFFIN,6,0.1667,25.94
4.37,260,CHRISTY,VARGAS,8,0.25,34.92
4.39,273,PRISCILLA,LOWE,5,0.4,21.95
4.39,328,JEFFREY,SPEAR,5,0.4,21.95
4.39,330,SCOTT,SHELLEY,5,0.4,21.95
4.39,543,LANCE,PEMBERTON,5,0.2,21.95
4.39,77,JANE,BENNETT,5,0.2,21.95
4.42,256,MABEL,HOLLAND,7,0.1429,30.93
4.42,343,DOUGLAS,GRAF,7,0.4286,30.93
4.49,12,NANCY,THOMAS,6,0.5,26.94
4.49,340,PATRICK,NEWSOM,8,0.375,35.92
4.49,39,DEBRA,NELSON,6,0.1667,26.94
4.49,405,LEONARD,SCHOFIELD,6,0.3333,26.94
4.56,1,MARY,SMITH,7,0.2857,31.93
4.56,200,JEANNE,LAWSON,7,0.1429,31.93
4.56,299,JAMES,GANNON,7,0.2857,31.93
4.56,491,RICK,MATTOX,7,0.0,31.93
4.59,148,ELEANOR,HUNT,5,0.4,22.95
4.59,363,ROY,WHITING,5,0.0,22.95
4.59,517,BRAD,MCCURDY,5,0.2,22.95
4.62,234,CLAUDIA,FULLER,8,0.375,36.92
4.66,113,CINDY,FISHER,6,0.3333,27.94
4.66,310,DANIEL,CABRAL,6,0.3333,27.94
4.66,383,MARTIN,BALES,6,0.3333,27.94
4.66,526,KARL,SEAL,9,0.3333,41.91
4.7,149,VALERIE,BLACK,7,0.4286,32.93
4.7,171,DOLORES,WAGNER,7,0.4286,32.93
4.7,46,CATHERINE,CAMPBELL,7,0.1429,32.93
4.7,570,IVAN,CROMWELL,7,0.2857,32.93
4.74,236,MARCIA,DEAN,8,0.375,37.92
4.79,221,BESSIE,MORRISON,5,0.4,23.95
4.79,239,MINNIE,ROMERO,5,0.2,23.95
4.79,297,SHERRI,RHODES,5,0.2,23.95
4.79,320,ANTHONY,SCHWAB,5,0.2,23.95
4.79,49,JOYCE,EDWARDS,5,0.4,23.95
4.85,576,MORRIS,MCCARTER,7,0.2857,33.93
4.99,108,TRACY,COLE,5,0.2,24.95
4.99,120,SYLVIA,ORTIZ,6,0.1667,29.94
4.99,163,CATHY,SPENCER,6,0.5,29.94
4.99,24,KIMBERLY,LEE,5,0.4,24.95
4.99,242,GLENDA,FRAZIER,6,0.0,29.94
4.99,253,TERRY,CARLSON,6,0.3333,29.94
4.99,338,DENNIS,GILMAN,7,0.4286,34.93
4.99,384,ERNEST,STEPP,7,0.4286,34.93
4.99,448,MIGUEL,BETANCOURT,5,0.6,24.95
4.99,583,MARSHALL,THORN,6,0.3333,29.94
4.99,588,MARION,OCAMPO,5,0.4,24.95
4.99,592,TERRANCE,ROUSH,5,0.6,24.95
5.13,293,MAE,FLETCHER,7,0.2857,35.93
5.13,316,STEVEN,CURLEY,7,0.1429,35.93
5.13,431,JOEL,FRANCISCO,7,0.2857,35.93
5.16,327,LARRY,THRASHER,6,0.3333,30.94
5.16,368,HARRY,ARCE,6,0.1667,30.94
5.19,109,EDNA,WEST,5,0.6,25.95
5.19,16,SANDRA,MARTIN,5,0.6,25.95
5.19,201,VICKI,FIELDS,5,0.4,25.95
5.19,290,KRISTINA,CHAMBERS,5,0.4,25.95
5.19,339,WALTER,PERRYMAN,5,0.2,25.95
5.19,390,SHAWN,HEATON,5,0.6,25.95
5.19,500,REGINALD,KINDER,5,0.6,25.95
5.19,556,ARMANDO,GRUBER,5,0.6,25.95
5.19,68,NICOLE,PETERSON,5,0.4,25.95
5.19,87,WANDA,PATTERSON,5,0.2,25.95
5.29,454,ALEX,GRESHAM,10,0.4,52.9
5.32,204,ROSEMARY,SCHMIDT,6,0.3333,31.94
5.32,478,LEWIS,LYMAN,6,0.3333,31.94
5.37,176,JUNE,CARROLL,8,0.5,42.92
5.39,388,CRAIG,MORRELL,5,0.6,26.95
5.42,341,PETER,MENARD,7,0.5714,37.93
5.49,571,JOHNNIE,CHISHOLM,6,0.1667,32.94
5.59,155,GAIL,KNIGHT,5,0.4,27.95
5.59,423,ALFRED,CASILLAS,5,0.6,27.95
5.59,506,LESLIE,SEWARD,5,0.6,27.95
5.59,558,JIMMIE,EGGLESTON,5,0.2,27.95
5.62,178,MARION,SNYDER,8,0.5,44.92
5.66,25,DEBORAH,WALKER,6,0.3333,33.94
5.79,466,LEO,EBERT,5,0.4,28.95
5.85,322,JASON,MORRISSEY,7,0.5714,40.93
5.99,193,KATIE,ELLIOTT,6,0.5,35.94
5.99,26,JESSICA,HALL,7,0.4286,41.93
5.99,403,MIKE,WAY,6,0.5,35.94
5.99,75,TAMMY,SANDERS,5,0.4,29.95
6.19,589,TRACY,HERRMANN,5,0.4,30.95
6.19,590,SETH,HANNON,5,0.6,30.95
6.19,89,JULIA,FLORES,5,0.6,30.95
6.32,289,VIOLET,RODRIQUEZ,6,0.6667,37.94
6.39,21,MICHELLE,CLARK,5,0.4,31.95
6.39,347,RYAN,SALISBURY,5,0.6,31.95
6.66,550,GUY,BROWNLEE,6,0.5,39.94
