first_name,last_name,email,payment_count,total_amount,average_payment,suspicious_activity
KENT,ARSENAULT,KENT.ARSENAULT@sakilacustomer.org,15,75.85,5.06,1
MILTON,HOWLAND,MILTON.HOWLAND@sakilacustomer.org,14,74.86,5.35,1
MISTY,LAMBERT,MISTY.LAMBERT@sakilacustomer.org,16,74.84,4.68,1
WARREN,SHERROD,WARREN.SHERROD@sakilacustomer.org,16,74.84,4.68,1
BRETT,CORNWELL,BRETT.CORNWELL@sakilacustomer.org,15,73.85,4.92,1
DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,15,73.85,4.92,1
ELLA,OLIVER,ELLA.OLIVER@sakilacustomer.org,18,73.82,4.1,1
MELISSA,KING,MELISSA.KING@sakilacustomer.org,19,73.81,3.88,1
MARCIA,DEAN,MARCIA.DEAN@sakilacustomer.org,20,73.8,3.69,1
ANA,BRADLEY,ANA.BRADLEY@sakilacustomer.org,12,72.88,6.07,1
COURTNEY,DAY,COURTNEY.DAY@sakilacustomer.org,16,72.84,4.55,1
PEDRO,CHESTNUT,PEDRO.CHESTNUT@sakilacustomer.org,15,71.85,4.79,1
THEODORE,CULP,THEODORE.CULP@sakilacustomer.org,17,71.83,4.23,1
CASEY,MENA,CASEY.MENA@sakilacustomer.org,18,71.82,3.99,1
PERRY,SWAFFORD,PERRY.SWAFFORD@sakilacustomer.org,13,70.87,5.45,1
BERNICE,WILLIS,BERNICE.WILLIS@sakilacustomer.org,14,70.86,5.06,1
BYRON,BOX,BYRON.BOX@sakilacustomer.org,15,70.85,4.72,1
JIMMIE,EGGLESTON,JIMMIE.EGGLESTON@sakilacustomer.org,15,70.85,4.72,1
STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,15,70.85,4.72,1
ROGER,QUINTANILLA,ROGER.QUINTANILLA@sakilacustomer.org,16,70.84,4.43,1
JENNIE,TERRY,JENNIE.TERRY@sakilacustomer.org,16,70.84,4.43,1
REGINA,BERRY,REGINA.BERRY@sakilacustomer.org,17,70.83,4.17,1
KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,18,70.82,3.93,1
TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,20,70.8,3.54,1
MAURICE,CRAWLEY,MAURICE.CRAWLEY@sakilacustomer.org,12,69.88,5.82,1
JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,13,69.87,5.37,1
ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,13,69.87,5.37,1
NEIL,RENNER,NEIL.RENNER@sakilacustomer.org,14,69.86,4.99,1
RANDY,GAITHER,RANDY.GAITHER@sakilacustomer.org,15,69.85,4.66,1
ROY,WHITING,ROY.WHITING@sakilacustomer.org,15,69.85,4.66,1
RALPH,MADRIGAL,RALPH.MADRIGAL@sakilacustomer.org,17,69.83,4.11,1
MARSHALL,THORN,MARSHALL.THORN@sakilacustomer.org,12,68.88,5.74,1
MIRIAM,MCKINNEY,MIRIAM.MCKINNEY@sakilacustomer.org,13,68.87,5.3,1
LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,13,68.87,5.3,1
DANA,HART,DANA.HART@sakilacustomer.org,14,68.86,4.92,1
GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,15,68.85,4.59,1
VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,16,68.84,4.3,1
LOUIS,LEONE,LOUIS.LEONE@sakilacustomer.org,16,68.84,4.3,1
MAX,PITT,MAX.PITT@sakilacustomer.org,16,68.84,4.3,1
JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,17,68.83,4.05,1
NATHAN,RUNYON,NATHAN.RUNYON@sakilacustomer.org,18,68.82,3.82,1
GILBERT,SLEDGE,GILBERT.SLEDGE@sakilacustomer.org,14,67.86,4.85,1
PRISCILLA,LOWE,PRISCILLA.LOWE@sakilacustomer.org,15,67.85,4.52,1
MICHAEL,SILVERMAN,MICHAEL.SILVERMAN@sakilacustomer.org,15,67.85,4.52,1
FRANCIS,SIKES,FRANCIS.SIKES@sakilacustomer.org,17,67.83,3.99,1
GEORGE,LINTON,GEORGE.LINTON@sakilacustomer.org,18,67.82,3.77,1
JUSTIN,NGO,JUSTIN.NGO@sakilacustomer.org,19,67.81,3.57,1
ALVIN,DELOACH,ALVIN.DELOACH@sakilacustomer.org,13,66.87,5.14,1
MARIO,CHEATHAM,MARIO.CHEATHAM@sakilacustomer.org,17,66.83,3.93,1
BRADLEY,MOTLEY,BRADLEY.MOTLEY@sakilacustomer.org,11,65.89,5.99,1
DON,BONE,DON.BONE@sakilacustomer.org,14,65.86,4.7,1
EDUARDO,HIATT,EDUARDO.HIATT@sakilacustomer.org,14,65.86,4.7,1
DARYL,LARUE,DARYL.LARUE@sakilacustomer.org,14,65.86,4.7,1
MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,16,65.84,4.12,1
ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,16,65.84,4.12,1
RYAN,SALISBURY,RYAN.SALISBURY@sakilacustomer.org,17,65.83,3.87,1
MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,18,65.82,3.66,1
KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,11,64.89,5.9,1
JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,12,64.88,5.41,1
SARA,PERRY,SARA.PERRY@sakilacustomer.org,12,64.88,5.41,1
SAM,MCDUFFIE,SAM.MCDUFFIE@sakilacustomer.org,14,64.86,4.63,1
ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,14,64.86,4.63,1
JAMIE,WAUGH,JAMIE.WAUGH@sakilacustomer.org,14,64.86,4.63,1
JENNY,CASTRO,JENNY.CASTRO@sakilacustomer.org,15,64.85,4.32,1
TANYA,GILBERT,TANYA.GILBERT@sakilacustomer.org,15,64.85,4.32,1
WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,15,64.85,4.32,1
JULIAN,VEST,JULIAN.VEST@sakilacustomer.org,15,64.85,4.32,1
WADE,DELVALLE,WADE.DELVALLE@sakilacustomer.org,16,64.84,4.05,1
BRITTANY,RILEY,BRITTANY.RILEY@sakilacustomer.org,11,63.89,5.81,1
ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,12,63.88,5.32,1
ALMA,AUSTIN,ALMA.AUSTIN@sakilacustomer.org,14,63.86,4.56,1
MORRIS,MCCARTER,MORRIS.MCCARTER@sakilacustomer.org,15,63.85,4.26,1
CLYDE,TOBIAS,CLYDE.TOBIAS@sakilacustomer.org,18,63.82,3.55,1
JERRY,JORDON,JERRY.JORDON@sakilacustomer.org,12,62.88,5.24,1
JOSEPH,JOY,JOSEPH.JOY@sakilacustomer.org,13,62.87,4.84,1
JACKIE,LYNCH,JACKIE.LYNCH@sakilacustomer.org,15,62.85,4.19,1
STACEY,MONTGOMERY,STACEY.MONTGOMERY@sakilacustomer.org,16,62.84,3.93,1
MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,12,61.88,5.16,1
MIKE,WAY,MIKE.WAY@sakilacustomer.org,12,61.88,5.16,1
KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,13,61.87,4.76,1
FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,14,61.86,4.42,1
NICHOLAS,BARFIELD,NICHOLAS.BARFIELD@sakilacustomer.org,15,61.85,4.12,1
GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,15,61.85,4.12,1
THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,15,61.85,4.12,1
TERRANCE,ROUSH,TERRANCE.ROUSH@sakilacustomer.org,15,61.85,4.12,1
CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,16,61.84,3.87,1
RICK,MATTOX,RICK.MATTOX@sakilacustomer.org,11,60.89,5.54,1
CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,11,60.89,5.54,1
SONIA,GREGORY,SONIA.GREGORY@sakilacustomer.org,12,60.88,5.07,1
PHILIP,CAUSEY,PHILIP.CAUSEY@sakilacustomer.org,13,60.87,4.68,1
SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,13,60.87,4.68,1
DUANE,TUBBS,DUANE.TUBBS@sakilacustomer.org,13,60.87,4.68,1
TERRI,VASQUEZ,TERRI.VASQUEZ@sakilacustomer.org,13,60.87,4.68,1
JANICE,WARD,JANICE.WARD@sakilacustomer.org,13,60.87,4.68,1
MITCHELL,WESTMORELAND,MITCHELL.WESTMORELAND@sakilacustomer.org,14,60.86,4.35,1
LEROY,BUSTAMANTE,LEROY.BUSTAMANTE@sakilacustomer.org,16,60.84,3.8,1
KEN,PREWITT,KEN.PREWITT@sakilacustomer.org,16,60.84,3.8,1
MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,59.89,5.44,1
CHARLENE,ALVAREZ,CHARLENE.ALVAREZ@sakilacustomer.org,12,59.88,4.99,1
JORDAN,ARCHULETA,JORDAN.ARCHULETA@sakilacustomer.org,14,59.86,4.28,1
JOHN,FARNSWORTH,JOHN.FARNSWORTH@sakilacustomer.org,14,59.86,4.28,1
STANLEY,SCROGGINS,STANLEY.SCROGGINS@sakilacustomer.org,14,59.86,4.28,1
ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,16,59.84,3.74,1
LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,19,59.81,3.15,1
JUDITH,COX,JUDITH.COX@sakilacustomer.org,19,59.81,3.15,1
DAN,PAINE,DAN.PAINE@sakilacustomer.org,10,58.9,5.89,1
BESSIE,MORRISON,BESSIE.MORRISON@sakilacustomer.org,12,58.88,4.91,1
ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,12,58.88,4.91,1
GLEN,TALBERT,GLEN.TALBERT@sakilacustomer.org,12,58.88,4.91,1
ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,13,58.87,4.53,1
JESSIE,MILAM,JESSIE.MILAM@sakilacustomer.org,13,58.87,4.53,1
RUSSELL,BRINSON,RUSSELL.BRINSON@sakilacustomer.org,14,58.86,4.2,1
TIM,CARY,TIM.CARY@sakilacustomer.org,14,58.86,4.2,1
GERTRUDE,CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,15,58.85,3.92,1
JOY,GEORGE,JOY.GEORGE@sakilacustomer.org,15,58.85,3.92,1
AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,15,58.85,3.92,1
MATTHEW,MAHAN,MATTHEW.MAHAN@sakilacustomer.org,15,58.85,3.92,1
RODNEY,MOELLER,RODNEY.MOELLER@sakilacustomer.org,15,58.85,3.92,1
KYLE,SPURLOCK,KYLE.SPURLOCK@sakilacustomer.org,16,58.84,3.68,1
NATHANIEL,ADAM,NATHANIEL.ADAM@sakilacustomer.org,11,57.89,5.26,1
LEE,HAWKS,LEE.HAWKS@sakilacustomer.org,12,57.88,4.82,1
HERMAN,DEVORE,HERMAN.DEVORE@sakilacustomer.org,13,57.87,4.45,1
JORGE,OLIVARES,JORGE.OLIVARES@sakilacustomer.org,13,57.87,4.45,1
JUANITA,MASON,JUANITA.MASON@sakilacustomer.org,14,57.86,4.13,1
AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,14,57.86,4.13,1
CONSTANCE,REID,CONSTANCE.REID@sakilacustomer.org,14,57.86,4.13,1
VIRGIL,WOFFORD,VIRGIL.WOFFORD@sakilacustomer.org,14,57.86,4.13,1
CHARLIE,BESS,CHARLIE.BESS@sakilacustomer.org,11,56.89,5.17,1
CLAUDE,HERZOG,CLAUDE.HERZOG@sakilacustomer.org,11,56.89,5.17,1
WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,11,56.89,5.17,1
BEATRICE,ARNOLD,BEATRICE.ARNOLD@sakilacustomer.org,12,56.88,4.74,1
EDWIN,BURK,EDWIN.BURK@sakilacustomer.org,12,56.88,4.74,1
LYNN,PAYNE,LYNN.PAYNE@sakilacustomer.org,13,56.87,4.37,1
SETH,HANNON,SETH.HANNON@sakilacustomer.org,14,56.86,4.06,1
SHAWN,HEATON,SHAWN.HEATON@sakilacustomer.org,14,56.86,4.06,1
EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,15,56.85,3.79,1
MATHEW,BOLIN,MATHEW.BOLIN@sakilacustomer.org,12,55.88,4.66,1
JUNE,CARROLL,JUNE.CARROLL@sakilacustomer.org,12,55.88,4.66,1
STEVEN,CURLEY,STEVEN.CURLEY@sakilacustomer.org,12,55.88,4.66,1
GABRIEL,HARDER,GABRIEL.HARDER@sakilacustomer.org,13,55.87,4.3,1
LILLIE,KIM,LILLIE.KIM@sakilacustomer.org,13,55.87,4.3,1
MAXINE,SILVA,MAXINE.SILVA@sakilacustomer.org,13,55.87,4.3,1
MICHELE,GRANT,MICHELE.GRANT@sakilacustomer.org,14,55.86,3.99,1
LUCILLE,HOLMES,LUCILLE.HOLMES@sakilacustomer.org,15,55.85,3.72,1
GREGORY,MAULDIN,GREGORY.MAULDIN@sakilacustomer.org,15,55.85,3.72,1
CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,15,55.85,3.72,1
DOUGLAS,GRAF,DOUGLAS.GRAF@sakilacustomer.org,9,54.91,6.1,1
FRANCISCO,SKIDMORE,FRANCISCO.SKIDMORE@sakilacustomer.org,10,54.9,5.49,1
VALERIE,BLACK,VALERIE.BLACK@sakilacustomer.org,11,54.89,4.99,1
RAMONA,HALE,RAMONA.HALE@sakilacustomer.org,12,54.88,4.57,1
TODD,TAN,TODD.TAN@sakilacustomer.org,13,54.87,4.22,1
VIOLA,HANSON,VIOLA.HANSON@sakilacustomer.org,14,54.86,3.92,1
CURTIS,IRBY,CURTIS.IRBY@sakilacustomer.org,14,54.86,3.92,1
BARRY,LOVELACE,BARRY.LOVELACE@sakilacustomer.org,14,54.86,3.92,1
ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,15,54.85,3.66,1
LENA,JENSEN,LENA.JENSEN@sakilacustomer.org,10,53.9,5.39,1
MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,10,53.9,5.39,1
ANDY,VANHORN,ANDY.VANHORN@sakilacustomer.org,10,53.9,5.39,1
LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,11,53.89,4.9,1
RAYMOND,MCWHORTER,RAYMOND.MCWHORTER@sakilacustomer.org,11,53.89,4.9,1
PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,12,53.88,4.49,1
NINA,SOTO,NINA.SOTO@sakilacustomer.org,12,53.88,4.49,1
RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,13,53.87,4.14,1
ERIK,GUILLEN,ERIK.GUILLEN@sakilacustomer.org,13,53.87,4.14,1
CHARLES,KOWALSKI,CHARLES.KOWALSKI@sakilacustomer.org,14,53.86,3.85,1
HEIDI,LARSON,HEIDI.LARSON@sakilacustomer.org,15,53.85,3.59,1
TERRY,GRISSOM,TERRY.GRISSOM@sakilacustomer.org,11,52.89,4.81,1
CLIFTON,MALCOLM,CLIFTON.MALCOLM@sakilacustomer.org,11,52.89,4.81,1
BETH,FRANKLIN,BETH.FRANKLIN@sakilacustomer.org,12,52.88,4.41,1
TONI,HOLT,TONI.HOLT@sakilacustomer.org,12,52.88,4.41,1
JOSHUA,MARK,JOSHUA.MARK@sakilacustomer.org,12,52.88,4.41,1
TROY,QUIGLEY,TROY.QUIGLEY@sakilacustomer.org,12,52.88,4.41,1
DAVID,ROYAL,DAVID.ROYAL@sakilacustomer.org,12,52.88,4.41,1
RONALD,WEINER,RONALD.WEINER@sakilacustomer.org,12,52.88,4.41,1
LUIS,YANEZ,LUIS.YANEZ@sakilacustomer.org,12,52.88,4.41,1
CARLA,GUTIERREZ,CARLA.GUTIERREZ@sakilacustomer.org,13,52.87,4.07,1
WALTER,PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,13,52.87,4.07,1
FRANK,WAGGONER,FRANK.WAGGONER@sakilacustomer.org,13,52.87,4.07,1
MARION,OCAMPO,MARION.OCAMPO@sakilacustomer.org,14,52.86,3.78,1
LORI,WOOD,LORI.WOOD@sakilacustomer.org,14,52.86,3.78,1
ELSIE,KELLEY,ELSIE.KELLEY@sakilacustomer.org,15,52.85,3.52,1
DARLENE,ROSE,DARLENE.ROSE@sakilacustomer.org,17,52.83,3.11,1
BRYAN,HARDISON,BRYAN.HARDISON@sakilacustomer.org,10,51.9,5.19,1
HARRY,ARCE,HARRY.ARCE@sakilacustomer.org,12,51.88,4.32,1
FERNANDO,CHURCHILL,FERNANDO.CHURCHILL@sakilacustomer.org,12,51.88,4.32,1
AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,12,51.88,4.32,1
GWENDOLYN,MAY,GWENDOLYN.MAY@sakilacustomer.org,12,51.88,4.32,1
RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,12,51.88,4.32,1
MARLENE,WELCH,MARLENE.WELCH@sakilacustomer.org,12,51.88,4.32,1
GINA,WILLIAMSON,GINA.WILLIAMSON@sakilacustomer.org,12,51.88,4.32,1
TRACY,COLE,TRACY.COLE@sakilacustomer.org,13,51.87,3.99,1
RON,DELUCA,RON.DELUCA@sakilacustomer.org,13,51.87,3.99,1
ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,13,51.87,3.99,1
TED,BREAUX,TED.BREAUX@sakilacustomer.org,14,51.86,3.7,1
KRISTINA,CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,14,51.86,3.7,1
CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,14,51.86,3.7,1
GENE,SANBORN,GENE.SANBORN@sakilacustomer.org,15,51.85,3.46,1
KEVIN,SCHULER,KEVIN.SCHULER@sakilacustomer.org,10,50.9,5.09,1
CLIFFORD,BOWENS,CLIFFORD.BOWENS@sakilacustomer.org,11,50.89,4.63,1
ALAN,KAHN,ALAN.KAHN@sakilacustomer.org,11,50.89,4.63,1
SHANE,MILLARD,SHANE.MILLARD@sakilacustomer.org,11,50.89,4.63,1
ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,11,50.89,4.63,1
EDWARD,BAUGH,EDWARD.BAUGH@sakilacustomer.org,12,50.88,4.24,1
GARY,COY,GARY.COY@sakilacustomer.org,12,50.88,4.24,1
ROBERTA,HARPER,ROBERTA.HARPER@sakilacustomer.org,12,50.88,4.24,1
BRAD,MCCURDY,BRAD.MCCURDY@sakilacustomer.org,12,50.88,4.24,1
MARY,SMITH,MARY.SMITH@sakilacustomer.org,12,50.88,4.24,1
BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,12,50.88,4.24,1
JACK,FOUST,JACK.FOUST@sakilacustomer.org,13,50.87,3.91,1
GERALD,FULTZ,GERALD.FULTZ@sakilacustomer.org,13,50.87,3.91,1
JIMMY,SCHRADER,JIMMY.SCHRADER@sakilacustomer.org,13,50.87,3.91,1
WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,15,50.85,3.39,1
FELICIA,SUTTON,FELICIA.SUTTON@sakilacustomer.org,17,50.83,2.99,1
ADRIAN,CLARY,ADRIAN.CLARY@sakilacustomer.org,11,49.89,4.54,1
HERBERT,KRUGER,HERBERT.KRUGER@sakilacustomer.org,11,49.89,4.54,1
DALE,RATCLIFF,DALE.RATCLIFF@sakilacustomer.org,11,49.89,4.54,1
DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,12,49.88,4.16,1
MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,12,49.88,4.16,1
VIOLET,RODRIQUEZ,VIOLET.RODRIQUEZ@sakilacustomer.org,12,49.88,4.16,1
LORRAINE,STEPHENS,LORRAINE.STEPHENS@sakilacustomer.org,12,49.88,4.16,1
TAMARA,NGUYEN,TAMARA.NGUYEN@sakilacustomer.org,13,49.87,3.84,1
ROSS,GREY,ROSS.GREY@sakilacustomer.org,15,49.85,3.32,1
EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,15,49.85,3.32,1
EDGAR,RHOADS,EDGAR.RHOADS@sakilacustomer.org,15,49.85,3.32,1
JAVIER,ELROD,JAVIER.ELROD@sakilacustomer.org,11,48.89,4.44,1
MARK,RINEHART,MARK.RINEHART@sakilacustomer.org,11,48.89,4.44,1
BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,11,48.89,4.44,1
MINNIE,ROMERO,MINNIE.ROMERO@sakilacustomer.org,12,48.88,4.07,1
JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,12,48.88,4.07,1
SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,13,48.87,3.76,1
SHERRI,RHODES,SHERRI.RHODES@sakilacustomer.org,13,48.87,3.76,1
ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,13,48.87,3.76,1
ROSEMARY,SCHMIDT,ROSEMARY.SCHMIDT@sakilacustomer.org,14,48.86,3.49,1
SALLY,PIERCE,SALLY.PIERCE@sakilacustomer.org,15,48.85,3.26,1
PATSY,DAVIDSON,PATSY.DAVIDSON@sakilacustomer.org,11,47.89,4.35,1
JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,11,47.89,4.35,1
VANESSA,SIMS,VANESSA.SIMS@sakilacustomer.org,11,47.89,4.35,1
BERNARD,COLBY,BERNARD.COLBY@sakilacustomer.org,12,47.88,3.99,1
CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,12,47.88,3.99,1
PAULINE,HENRY,PAULINE.HENRY@sakilacustomer.org,13,47.87,3.68,1
HAZEL,WARREN,HAZEL.WARREN@sakilacustomer.org,15,47.85,3.19,1
SIDNEY,BURLESON,SIDNEY.BURLESON@sakilacustomer.org,11,46.89,4.26,1
ADAM,GOOCH,ADAM.GOOCH@sakilacustomer.org,11,46.89,4.26,1
DELORES,HANSEN,DELORES.HANSEN@sakilacustomer.org,11,46.89,4.26,1
ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,11,46.89,4.26,1
ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,11,46.89,4.26,1
SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,12,46.88,3.91,1
JOSE,ANDREW,JOSE.ANDREW@sakilacustomer.org,12,46.88,3.91,1
OLGA,JIMENEZ,OLGA.JIMENEZ@sakilacustomer.org,12,46.88,3.91,1
BILLY,POULIN,BILLY.POULIN@sakilacustomer.org,12,46.88,3.91,1
JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,13,46.87,3.61,1
LUCY,WHEELER,LUCY.WHEELER@sakilacustomer.org,13,46.87,3.61,1
HECTOR,POINDEXTER,HECTOR.POINDEXTER@sakilacustomer.org,14,46.86,3.35,1
BRANDY,GRAVES,BRANDY.GRAVES@sakilacustomer.org,11,45.89,4.17,1
ALEX,GRESHAM,ALEX.GRESHAM@sakilacustomer.org,11,45.89,4.17,1
WILLARD,LUMPKIN,WILLARD.LUMPKIN@sakilacustomer.org,11,45.89,4.17,1
DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,11,45.89,4.17,1
MARGIE,WADE,MARGIE.WADE@sakilacustomer.org,11,45.89,4.17,1
ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,12,45.88,3.82,1
JOE,GILLILAND,JOE.GILLILAND@sakilacustomer.org,12,45.88,3.82,1
HAROLD,MARTINO,HAROLD.MARTINO@sakilacustomer.org,12,45.88,3.82,1
JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,12,45.88,3.82,1
MANUEL,MURRELL,MANUEL.MURRELL@sakilacustomer.org,12,45.88,3.82,1
FRED,WHEAT,FRED.WHEAT@sakilacustomer.org,12,45.88,3.82,1
LYDIA,BURKE,LYDIA.BURKE@sakilacustomer.org,13,45.87,3.53,1
TOM,MILNER,TOM.MILNER@sakilacustomer.org,13,45.87,3.53,1
VERONICA,STONE,VERONICA.STONE@sakilacustomer.org,13,45.87,3.53,1
GUY,BROWNLEE,GUY.BROWNLEE@sakilacustomer.org,11,44.89,4.08,1
JAMES,GANNON,JAMES.GANNON@sakilacustomer.org,11,44.89,4.08,1
PHILLIP,HOLM,PHILLIP.HOLM@sakilacustomer.org,11,44.89,4.08,1
BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,11,44.89,4.08,1
COLLEEN,BURTON,COLLEEN.BURTON@sakilacustomer.org,12,44.88,3.74,1
RENE,MCALISTER,RENE.MCALISTER@sakilacustomer.org,12,44.88,3.74,1
SALVADOR,TEEL,SALVADOR.TEEL@sakilacustomer.org,12,44.88,3.74,1
ESTHER,CRAWFORD,ESTHER.CRAWFORD@sakilacustomer.org,14,44.86,3.2,1
IVAN,CROMWELL,IVAN.CROMWELL@sakilacustomer.org,14,44.86,3.2,1
CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,11,43.89,3.99,1
KELLY,KNOTT,KELLY.KNOTT@sakilacustomer.org,11,43.89,3.99,1
MARC,OUTLAW,MARC.OUTLAW@sakilacustomer.org,12,43.88,3.66,1
