customer_id,customer_name,country_id,country_name,payment_month,payment_count,payment_amount,prev_2_month_avg_payment_count,prev_2_month_avg_payment_amount,country_avg_payment_count,country_avg_payment_amount,country_payment_amount_p95,off_home_store_payment_share,distinct_staff_count,country_month_payment_amount_rank
347,RYAN SALISBURY,54,Latvia,2005-07,17,65.83,2.5,15.98,15.0,63.35,65.58,0.4706,2,1
306,CHARLES KOWALSKI,59,Malaysia,2005-07,14,53.86,2.0,9.48,10.67,42.23,52.37,0.5714,2,1
482,MAURICE CRAWLEY,60,Mexico,2005-07,12,69.88,2.5,8.48,10.67,46.13,67.84,0.6667,2,1
273,PRISCILLA LOWE,60,Mexico,2005-07,15,67.85,3.5,13.47,10.67,46.13,67.84,0.5333,2,2
40,AMANDA CARTER,62,Morocco,2005-07,11,40.89,2.5,10.98,8.67,33.58,39.99,0.3636,2,1
257,MARSHA DOUGLAS,63,Mozambique,2005-07,18,88.82,2.5,7.48,14.67,65.19,86.52,0.4444,2,1
137,RHONDA KENNEDY,67,Netherlands,2005-07,19,96.81,2.5,11.48,11.2,47.29,85.63,0.5789,2,1
286,VELMA LUCAS,69,Nigeria,2005-07,17,76.83,1.5,10.49,12.08,49.8,72.04,0.4706,2,1
20,SHARON ROBINSON,72,Pakistan,2005-07,10,42.9,3.5,13.47,9.4,36.71,42.3,0.3,2,1
345,CARL ARTIS,73,Paraguay,2005-07,10,49.9,3.0,6.97,9.0,45.91,49.5,0.6,2,1
122,THELMA MURRAY,74,Peru,2005-07,15,61.85,4.5,15.96,11.25,44.14,60.5,0.4667,2,1
522,ARNOLD HAVENS,75,Philippines,2005-07,18,96.82,2.5,11.48,11.6,45.83,74.95,0.3889,2,1
558,JIMMIE EGGLESTON,76,Poland,2005-07,15,70.85,2.5,13.98,10.88,48.02,69.1,0.2667,2,1
360,RALPH MADRIGAL,77,Puerto Rico,2005-07,17,69.83,3.0,12.47,16.0,67.34,69.58,0.5882,2,1
563,KEN PREWITT,78,Romania,2005-07,16,60.84,2.0,8.48,15.5,59.85,60.74,0.375,2,1
295,DAISY BATES,80,Russian Federation,2005-07,18,87.82,5.0,18.45,11.0,50.5,80.7,0.5556,2,1
346,ARTHUR SIMPKINS,80,Russian Federation,2005-07,15,83.85,2.5,10.98,11.0,50.5,80.7,0.6667,2,2
49,JOYCE EDWARDS,82,Saudi Arabia,2005-07,13,69.87,4.5,18.96,10.0,47.1,66.67,0.4615,2,1
125,ETHEL WEBB,85,South Africa,2005-07,16,65.84,2.5,11.98,10.55,42.53,61.36,0.4375,2,1
245,COURTNEY DAY,86,South Korea,2005-07,16,72.84,4.5,18.96,13.8,58.26,71.24,0.5,2,1
469,WESLEY BULL,87,Spain,2005-07,18,80.82,3.5,14.97,11.8,51.48,74.43,0.3889,2,1
50,DIANE COLLINS,89,Sudan,2005-07,17,80.83,4.5,18.46,12.0,52.88,78.04,0.5882,2,1
598,WADE DELVALLE,91,Switzerland,2005-07,16,64.84,0.5,1.5,10.67,46.89,62.65,0.5,2,1
30,MELISSA KING,92,Taiwan,2005-07,19,73.81,2.0,6.48,13.7,56.56,72.47,0.5263,2,1
220,CHARLENE ALVAREZ,93,Tanzania,2005-07,12,59.88,1.5,2.99,10.67,48.56,59.68,0.25,2,1
86,JACQUELINE LONG,94,Thailand,2005-07,12,64.88,4.0,13.46,14.0,61.19,64.58,0.5833,2,1
366,BRANDON HUEY,97,Turkey,2005-07,19,82.81,1.5,4.99,11.47,49.29,75.12,0.5263,2,1
475,PEDRO CHESTNUT,100,Ukraine,2005-07,15,71.85,1.0,2.99,11.83,58.05,70.11,0.6,2,1
292,MISTY LAMBERT,101,United Arab Emirates,2005-07,16,74.84,2.5,7.98,12.67,53.87,71.94,0.625,2,1
583,MARSHALL THORN,102,United Kingdom,2005-07,12,68.88,3.0,14.97,10.0,42.23,68.47,0.4167,2,1
526,KARL SEAL,103,United States,2005-07,19,86.81,6.0,27.44,10.44,45.84,76.86,0.4211,2,1
479,ZACHARY HITE,103,United States,2005-07,15,79.85,4.0,17.96,10.44,45.84,76.86,0.4667,2,2
539,MATHEW BOLIN,104,Venezuela,2005-07,12,55.88,2.5,7.98,10.14,40.76,54.67,0.5833,2,1
532,NEIL RENNER,105,Vietnam,2005-07,14,69.86,1.5,5.99,11.33,50.89,67.61,0.5,2,1
470,GORDON ALLARD,107,Yemen,2005-07,17,96.83,2.0,6.48,14.0,64.86,93.38,0.2353,2,1
553,MAX PITT,108,Yugoslavia,2005-07,16,68.84,2.0,12.48,13.5,64.37,68.39,0.625,2,1
445,MICHEAL FORMAN,6,Argentina,2005-08,14,66.86,5.0,14.95,8.62,35.91,60.88,0.4286,2,1
266,NORA HERRERA,9,Austria,2005-08,17,71.83,4.5,20.96,10.0,42.23,68.34,0.7059,2,1
569,DAVE GARDINER,23,China,2005-08,18,75.82,4.5,18.96,9.66,39.38,63.26,0.4444,2,1
596,ENRIQUE FORSYTHE,39,Greece,2005-08,13,46.87,4.0,12.96,10.0,41.4,46.32,0.3846,2,1
15,HELEN HARRIS,44,India,2005-08,18,79.82,6.0,25.44,9.67,42.67,70.91,0.5556,2,1
147,JOANNE ROBERTSON,50,Japan,2005-08,15,76.85,8.5,24.42,9.68,40.94,66.85,0.4,2,1
150,DANIELLE DANIELS,60,Mexico,2005-08,16,68.84,3.0,12.97,9.67,38.04,62.42,0.3125,2,1
22,LAURA RODRIGUEZ,62,Morocco,2005-08,10,54.9,4.0,17.46,9.33,42.24,54.2,0.2,2,1
160,ERIN DUNN,80,Russian Federation,2005-08,15,66.85,6.0,19.94,8.39,34.74,66.5,0.5333,2,2
334,RAYMOND MCWHORTER,10,Azerbaijan,2006-02,1,0.99,0.0,0.0,0.5,0.5,0.94,1.0,1,1
216,NATALIE MEYER,15,Brazil,2006-02,2,5.98,0.0,0.0,0.25,0.82,5.63,0.0,1,2
60,MILDRED BAILEY,44,India,2006-02,2,9.98,0.0,0.0,0.38,1.05,4.99,1.0,1,1
411,NORMAN CURRIER,45,Indonesia,2006-02,1,4.99,0.0,0.0,0.14,0.43,2.39,1.0,1,1
525,ADRIAN CLARY,49,Italy,2006-02,1,2.99,0.0,0.0,0.29,0.57,2.39,1.0,1,1
163,CATHY SPENCER,50,Japan,2006-02,2,7.98,0.0,0.0,0.29,0.74,5.49,0.5,2,1
23,SARAH LEWIS,54,Latvia,2006-02,1,2.99,0.0,0.0,0.5,1.5,2.84,0.0,1,1
284,SONIA GREGORY,69,Nigeria,2006-02,2,5.98,0.0,0.0,0.23,0.69,4.19,0.5,2,1
9,MARGARET MOORE,71,Oman,2006-02,1,4.99,0.0,0.0,0.5,2.5,4.74,1.0,1,1
83,LOUISE JENKINS,85,South Africa,2006-02,1,4.99,0.0,0.0,0.09,0.45,2.5,1.0,1,1
75,TAMMY SANDERS,92,Taiwan,2006-02,3,8.97,0.0,0.0,0.7,1.89,7.62,0.3333,2,1
366,BRANDON HUEY,97,Turkey,2006-02,1,4.99,0.0,0.0,0.2,0.73,3.59,0.0,1,1
452,TOM MILNER,101,United Arab Emirates,2006-02,1,4.99,0.0,0.0,0.33,1.66,4.49,0.0,1,1
213,GINA WILLIAMSON,107,Yemen,2006-02,1,2.99,0.0,0.0,0.25,0.75,2.54,1.0,1,1
