customer_id,customer_name,country_name,payment_day,daily_amount,transaction_count,personal_avg_prev_30d,personal_spike_ratio,country_avg_same_day,country_avg_ratio,staff_count,store_count,max_staff_transaction_share,max_store_transaction_share,country_amount_top_rank,suspicious_score
196,ALMA AUSTIN,Germany,2005-07-31,22.97,3,5.84,3.93,8.58,2.68,2,2,0.667,0.667,0.0071,9.07
294,SHELLY WATTS,United States,2005-08-01,20.95,5,5.32,3.94,7.7,2.72,2,2,0.8,0.8,0.0091,9.06
270,LEAH CURTIS,Poland,2005-08-01,18.97,3,6.19,3.07,5.42,3.5,2,2,0.667,0.667,0.0072,9.04
26,JESSICA HALL,Holy See (Vatican City State),2005-08-21,23.96,4,4.27,5.61,23.96,1.0,2,2,0.75,0.75,0.0476,9.01
146,JAMIE RICE,United States,2005-07-11,19.97,3,4.74,4.21,8.58,2.33,2,2,0.667,0.667,0.0122,9.01
121,JOSEPHINE GOMEZ,India,2005-08-21,25.96,4,7.98,3.25,7.92,3.28,2,2,0.75,0.75,0.0019,8.93
575,ISAAC OGLESBY,Mexico,2005-08-18,22.97,3,6.65,3.45,7.82,2.94,2,2,0.667,0.667,0.0056,8.86
273,PRISCILLA LOWE,Mexico,2005-07-12,19.96,4,6.24,3.2,6.18,3.23,2,2,0.75,0.75,0.0206,8.83
120,SYLVIA ORTIZ,Colombia,2005-08-21,19.97,3,5.21,3.83,7.98,2.5,2,2,0.667,0.667,0.0086,8.8
131,MONICA HICKS,Ukraine,2005-08-19,18.96,4,5.54,3.42,6.48,2.92,2,2,0.75,0.75,0.028,8.75
267,MARGIE WADE,China,2005-07-30,15.97,3,3.66,4.37,8.37,1.91,2,2,0.667,0.667,0.0317,8.74
147,JOANNE ROBERTSON,Japan,2005-08-23,20.97,3,6.87,3.05,6.52,3.21,2,2,0.667,0.667,0.0105,8.73
258,MYRTLE FLEMING,Dominican Republic,2005-08-01,20.95,5,5.61,3.73,9.64,2.17,2,2,0.6,0.6,0.0204,8.71
201,VICKI FIELDS,Germany,2005-08-20,16.97,3,3.13,5.42,7.59,2.24,1,1,1.0,1.0,0.0213,8.71
424,KYLE SPURLOCK,China,2005-07-31,20.97,3,5.41,3.88,9.03,2.32,2,2,0.667,0.667,0.0053,8.66
346,ARTHUR SIMPKINS,Russian Federation,2005-07-29,22.96,4,6.85,3.35,7.93,2.9,2,2,0.75,0.75,0.0082,8.65
