customer_id,customer_name,store_id,city,country,payment_month,monthly_amount,payment_count,avg_monthly_amount_2005,deviation_from_avg,store_month_rank,store_month_customer_count,last_staff_id,last_staff_name
387,JESSE SCHILLING,2,Lubumbashi,"Congo, The Democratic Republic of the",2005-05,21.96,4,8.48,13.48,6,239,1,Mike Hillyer
551,CLAYTON BARBEE,2,Alvorada,Brazil,2005-05,20.95,5,8.06,12.89,8,239,2,Jon Stephens
14,BETTY WHITE,2,Citrus Heights,United States,2005-05,20.95,5,9.39,11.56,10,239,2,Jon Stephens
176,JUNE CARROLL,1,Skikda,Algeria,2005-06,42.92,8,14.47,28.45,1,320,1,Mike Hillyer
322,JASON MORRISSEY,1,Baha Blanca,Argentina,2005-06,40.93,7,10.73,30.2,2,320,2,Jon Stephens
267,MARGIE WADE,1,Lengshuijiang,China,2005-06,38.91,9,12.64,26.27,3,320,2,Jon Stephens
289,VIOLET RODRIQUEZ,1,Kowloon and New Kowloon,Hong Kong,2005-06,37.94,6,11.89,26.05,4,320,2,Jon Stephens
341,PETER MENARD,1,Ede,Netherlands,2005-06,37.93,7,8.9,29.03,5,320,1,Mike Hillyer
236,MARCIA DEAN,1,Tanza,Philippines,2005-06,37.92,8,14.55,23.37,6,320,2,Jon Stephens
234,CLAUDIA FULLER,1,Jalib al-Shuyukh,Kuwait,2005-06,36.92,8,9.23,27.69,7,320,2,Jon Stephens
403,MIKE WAY,1,Valparai,India,2005-06,35.94,6,13.89,22.05,8,320,1,Mike Hillyer
316,STEVEN CURLEY,1,Miraj,India,2005-06,35.93,7,11.06,24.87,9,320,2,Jon Stephens
340,PATRICK NEWSOM,1,Hanoi,Vietnam,2005-06,35.92,8,9.97,25.95,10,320,1,Mike Hillyer
213,GINA WILLIAMSON,1,Taizz,Yemen,2005-06,35.91,9,9.06,26.85,11,320,1,Mike Hillyer
338,DENNIS GILMAN,1,Paarl,South Africa,2005-06,34.93,7,9.56,25.37,12,320,1,Mike Hillyer
260,CHRISTY VARGAS,1,Datong,China,2005-06,34.92,8,10.22,24.7,13,320,1,Mike Hillyer
25,DEBORAH WALKER,1,Shikarpur,Pakistan,2005-06,33.94,6,9.64,24.3,14,320,1,Mike Hillyer
149,VALERIE BLACK,1,Brockton,United States,2005-06,32.93,7,10.15,22.79,15,320,1,Mike Hillyer
295,DAISY BATES,1,Kolpino,Russian Federation,2005-06,32.91,9,13.47,19.44,16,320,2,Jon Stephens
454,ALEX GRESHAM,2,Uruapan,Mexico,2005-06,52.9,10,12.64,40.26,1,270,1,Mike Hillyer
178,MARION SNYDER,2,Santa Brbara dOeste,Brazil,2005-06,44.92,8,15.8,29.12,2,270,1,Mike Hillyer
26,JESSICA HALL,2,Citt del Vaticano,Holy See (Vatican City State),2005-06,41.93,7,12.72,29.21,3,270,1,Mike Hillyer
526,KARL SEAL,2,Cape Coral,United States,2005-06,41.91,9,18.46,23.45,4,270,1,Mike Hillyer
550,GUY BROWNLEE,2,Zhoushan,China,2005-06,39.94,6,13.06,26.88,5,270,1,Mike Hillyer
193,KATIE ELLIOTT,2,Kisumu,Kenya,2005-06,35.94,6,8.9,27.04,6,270,1,Mike Hillyer
431,JOEL FRANCISCO,2,Sucre,Bolivia,2005-06,35.93,7,7.73,28.2,7,270,2,Jon Stephens
293,MAE FLETCHER,2,Donostia-San Sebastin,Spain,2005-06,35.93,7,13.22,22.71,8,270,2,Jon Stephens
31,BRENDA WRIGHT,2,Kamarhati,India,2005-06,35.89,11,8.73,27.16,9,270,1,Mike Hillyer
384,ERNEST STEPP,2,Huaian,China,2005-06,34.93,7,7.48,27.45,10,270,2,Jon Stephens
576,MORRIS MCCARTER,2,Fengshan,Taiwan,2005-06,33.93,7,11.14,22.79,11,270,2,Jon Stephens
510,BEN EASTER,2,Kamyin,Russian Federation,2005-06,33.92,8,10.23,23.69,12,270,2,Jon Stephens
561,IAN STILL,2,Garland,United States,2005-06,33.91,9,7.98,25.93,13,270,1,Mike Hillyer
571,JOHNNIE CHISHOLM,2,Plock,Poland,2005-06,32.94,6,10.15,22.79,14,270,1,Mike Hillyer
148,ELEANOR HUNT,1,Saint-Denis,Runion,2005-07,100.78,22,18.05,82.73,1,326,2,Jon Stephens
470,GORDON ALLARD,1,Hodeida,Yemen,2005-07,96.83,17,13.39,83.44,2,326,1,Mike Hillyer
144,CLARA SHAW,1,Molodetno,Belarus,2005-07,93.82,18,16.3,77.52,3,326,2,Jon Stephens
459,TOMMY COLLAZO,1,Qomsheh,Iran,2005-07,89.82,18,15.55,74.27,4,326,2,Jon Stephens
295,DAISY BATES,1,Kolpino,Russian Federation,2005-07,87.82,18,13.47,74.35,5,326,2,Jon Stephens
595,TERRENCE GUNDERSON,1,Jinzhou,China,2005-07,86.81,19,9.81,77.0,6,326,2,Jon Stephens
102,CRYSTAL FORD,1,Ashdod,Israel,2005-07,84.79,21,11.47,73.32,7,326,1,Mike Hillyer
346,ARTHUR SIMPKINS,1,Maikop,Russian Federation,2005-07,83.85,15,12.97,70.88,8,326,1,Mike Hillyer
366,BRANDON HUEY,1,Balikesir,Turkey,2005-07,82.81,19,12.3,70.51,9,326,1,Mike Hillyer
50,DIANE COLLINS,1,Omdurman,Sudan,2005-07,80.83,17,14.14,66.69,10,326,2,Jon Stephens
225,ARLENE HARVEY,1,Ambattur,India,2005-07,80.83,17,10.06,70.77,10,326,2,Jon Stephens
479,ZACHARY HITE,1,Akron,United States,2005-07,79.85,15,12.14,67.71,12,326,2,Jon Stephens
332,STEPHEN QUALLS,1,Dhaka,Bangladesh,2005-07,78.83,17,9.89,68.94,13,326,1,Mike Hillyer
484,ROBERTO VU,1,Yinchuan,China,2005-07,77.85,15,11.64,66.21,14,326,2,Jon Stephens
309,CHRISTOPHER GRECO,1,Brescia,Italy,2005-07,76.84,16,12.31,64.53,15,326,1,Mike Hillyer
286,VELMA LUCAS,1,Effon-Alaiye,Nigeria,2005-07,76.83,17,9.81,67.02,16,326,2,Jon Stephens
2,PATRICIA JOHNSON,1,San Bernardino,United States,2005-07,75.86,14,10.73,65.13,17,326,1,Mike Hillyer
522,ARNOLD HAVENS,2,Santa Rosa,Philippines,2005-07,96.82,18,13.97,82.85,1,273,2,Jon Stephens
137,RHONDA KENNEDY,2,Apeldoorn,Netherlands,2005-07,96.81,19,16.22,80.59,2,273,1,Mike Hillyer
257,MARSHA DOUGLAS,2,Beira,Mozambique,2005-07,88.82,18,12.64,76.18,3,273,2,Jon Stephens
526,KARL SEAL,2,Cape Coral,United States,2005-07,86.81,19,18.46,68.35,4,273,2,Jon Stephens
178,MARION SNYDER,2,Santa Brbara dOeste,Brazil,2005-07,85.82,18,15.8,70.02,5,273,2,Jon Stephens
209,TONYA CHAPMAN,2,Bhilwara,India,2005-07,82.83,17,13.47,69.36,6,273,1,Mike Hillyer
494,RAMON CHOATE,2,Robamba,Ecuador,2005-07,80.82,18,11.72,69.1,7,273,2,Jon Stephens
469,WESLEY BULL,2,Ourense (Orense),Spain,2005-07,80.82,18,14.8,66.02,8,273,2,Jon Stephens
92,TINA SIMMONS,2,Goinia,Brazil,2005-07,78.85,15,11.14,67.71,9,273,1,Mike Hillyer
372,STEVE MACKENZIE,2,Probolinggo,Indonesia,2005-07,77.84,16,13.22,64.62,10,273,1,Mike Hillyer
508,MILTON HOWLAND,2,Vijayawada,India,2005-07,74.86,14,10.56,64.3,11,273,2,Jon Stephens
292,MISTY LAMBERT,2,Sharja,United Arab Emirates,2005-07,74.84,16,9.89,64.95,12,273,2,Jon Stephens
462,WARREN SHERROD,2,Usolje-Sibirskoje,Russian Federation,2005-07,74.84,16,13.31,61.53,13,273,1,Mike Hillyer
210,ELLA OLIVER,2,Aden,Yemen,2005-07,73.82,18,11.47,62.35,14,273,2,Jon Stephens
148,ELEANOR HUNT,1,Saint-Denis,Runion,2005-08,87.82,18,18.05,69.78,1,326,2,Jon Stephens
21,MICHELLE CLARK,1,Tangail,Bangladesh,2005-08,79.83,17,12.72,67.11,2,326,1,Mike Hillyer
15,HELEN HARRIS,1,Bhopal,India,2005-08,79.82,18,10.89,68.93,3,326,1,Mike Hillyer
119,SHERRY MARSHALL,1,Shubra al-Khayma,Egypt,2005-08,77.82,18,12.81,65.02,4,326,2,Jon Stephens
373,LOUIS LEONE,1,Tanauan,Philippines,2005-08,76.85,15,13.39,63.46,5,326,1,Mike Hillyer
144,CLARA SHAW,1,Molodetno,Belarus,2005-08,72.84,16,16.3,56.54,6,326,1,Mike Hillyer
468,TIM CARY,1,Bijapur,India,2005-08,71.86,14,14.63,57.23,7,326,2,Jon Stephens
78,LORI WOOD,1,Rae Bareli,India,2005-08,70.86,14,11.81,59.05,8,326,2,Jon Stephens
274,NAOMI JENNINGS,1,Karnal,India,2005-08,69.84,16,12.64,57.2,9,326,2,Jon Stephens
342,HAROLD MARTINO,1,Boa Vista,Brazil,2005-08,69.83,17,10.89,58.94,10,326,1,Mike Hillyer
45,JANET PHILLIPS,1,Antofagasta,Chile,2005-08,68.88,12,10.64,58.24,11,326,2,Jon Stephens
459,TOMMY COLLAZO,1,Qomsheh,Iran,2005-08,67.88,12,15.55,52.33,12,326,1,Mike Hillyer
121,JOSEPHINE GOMEZ,1,Etawah,India,2005-08,67.86,14,9.15,58.72,13,326,1,Mike Hillyer
445,MICHEAL FORMAN,1,Escobar,Argentina,2005-08,66.86,14,8.56,58.3,14,326,2,Jon Stephens
306,CHARLES KOWALSKI,1,Sungai Petani,Malaysia,2005-08,65.86,14,11.56,54.3,15,326,2,Jon Stephens
54,TERESA ROGERS,1,Iwakuni,Japan,2005-08,64.86,14,10.73,54.13,16,326,1,Mike Hillyer
403,MIKE WAY,1,Valparai,India,2005-08,64.85,15,13.89,50.96,17,326,1,Mike Hillyer
410,CURTIS IRBY,2,Richmond Hill,Canada,2005-08,86.83,17,13.72,73.11,1,273,1,Mike Hillyer
526,KARL SEAL,2,Cape Coral,United States,2005-08,79.86,14,18.46,61.4,2,273,1,Mike Hillyer
147,JOANNE ROBERTSON,2,Urawa,Japan,2005-08,76.85,15,10.64,66.21,3,273,2,Jon Stephens
259,LENA JENSEN,2,Halisahar,India,2005-08,75.84,16,14.22,61.62,4,273,1,Mike Hillyer
569,DAVE GARDINER,2,Leshan,China,2005-08,75.82,18,11.22,64.6,5,273,2,Jon Stephens
137,RHONDA KENNEDY,2,Apeldoorn,Netherlands,2005-08,74.85,15,16.22,58.63,6,273,1,Mike Hillyer
181,ANA BRADLEY,2,Memphis,United States,2005-08,71.84,16,14.31,57.53,7,273,2,Jon Stephens
266,NORA HERRERA,2,Salzburg,Austria,2005-08,71.83,17,9.89,61.94,8,273,1,Mike Hillyer
198,ELSIE KELLEY,2,Ikerre,Nigeria,2005-08,70.84,16,11.8,59.04,9,273,1,Mike Hillyer
513,DUANE TUBBS,2,Yangor,Nauru,2005-08,69.86,14,12.39,57.47,10,273,2,Jon Stephens
532,NEIL RENNER,2,Cam Ranh,Vietnam,2005-08,69.86,14,12.64,57.22,10,273,1,Mike Hillyer
487,HECTOR POINDEXTER,2,Pjatigorsk,Russian Federation,2005-08,68.89,11,9.98,58.91,12,273,2,Jon Stephens
280,TRACEY BARRETT,2,Owo,Nigeria,2005-08,68.88,12,9.89,58.99,13,273,2,Jon Stephens
29,ANGELA HERNANDEZ,2,Shimonoseki,Japan,2005-08,68.84,16,11.64,57.2,14,273,1,Mike Hillyer
