first_name,last_name,payment_count,total_amount,average_payment,risk_flag
CONNIE,WALLACE,10,41.900000000000006,4.19,обычный
FLORENCE,WOODS,14,61.860000000000014,4.41857142857143,высокий
TRACY,COLE,13,51.870000000000005,3.99,высокий
EDNA,WEST,8,26.919999999999995,3.3649999999999993,обычный
TIFFANY,JORDAN,7,22.93,3.275714285714286,обычный
CARMEN,OWENS,9,29.909999999999997,3.323333333333333,обычный
ROSA,REYNOLDS,11,50.890000000000015,4.626363636363638,высокий
CINDY,FISHER,11,43.89000000000001,3.9900000000000007,обычный
GRACE,ELLIS,15,61.850000000000016,4.123333333333334,высокий
WENDY,HARRISON,15,50.85000000000001,3.3900000000000006,высокий
VICTORIA,GIBSON,10,41.900000000000006,4.19,обычный
EDITH,MCDONALD,5,26.950000000000003,5.390000000000001,обычный
KIM,CRUZ,11,37.89000000000001,3.4445454545454552,обычный
SHERRY,MARSHALL,10,44.900000000000006,4.49,обычный
SYLVIA,ORTIZ,13,48.87,3.759230769230769,обычный
JOSEPHINE,GOMEZ,9,31.910000000000004,3.545555555555556,обычный
THELMA,MURRAY,15,61.85000000000001,4.123333333333334,высокий
SHANNON,FREEMAN,10,45.900000000000006,4.590000000000001,обычный
SHEILA,WELLS,8,37.92000000000001,4.740000000000001,обычный
ETHEL,WEBB,16,65.84000000000002,4.115000000000001,высокий
ELLEN,SIMPSON,13,48.87,3.759230769230769,обычный
ELAINE,STEVENS,7,36.93000000000001,5.275714285714287,обычный
MARJORIE,TUCKER,16,65.84000000000002,4.115000000000001,высокий
CARRIE,PORTER,15,55.850000000000016,3.7233333333333345,высокий
CHARLOTTE,HUNTER,8,31.92,3.99,обычный
MONICA,HICKS,12,49.88000000000001,4.156666666666667,обычный
ESTHER,CRAWFORD,14,44.86000000000001,3.2042857142857146,обычный
PAULINE,HENRY,13,47.87000000000002,3.6823076923076936,обычный
EMMA,BOYD,6,18.94,3.1566666666666667,обычный
JUANITA,MASON,14,57.860000000000014,4.1328571428571435,высокий
ANITA,MORALES,6,24.939999999999998,4.156666666666666,обычный
RHONDA,KENNEDY,19,96.80999999999999,5.0952631578947365,высокий
HAZEL,WARREN,15,47.850000000000016,3.190000000000001,обычный
AMBER,DIXON,12,51.88000000000002,4.323333333333335,высокий
EVA,RAMOS,7,29.930000000000003,4.275714285714286,обычный
DEBBIE,REYES,11,41.89000000000001,3.808181818181819,обычный
APRIL,BURNS,10,41.90000000000001,4.190000000000001,обычный
LESLIE,GORDON,9,33.910000000000004,3.7677777777777783,обычный
CLARA,SHAW,18,93.81999999999998,5.212222222222221,высокий
LUCILLE,HOLMES,15,55.85000000000002,3.723333333333335,высокий
JAMIE,RICE,7,36.93000000000001,5.275714285714287,обычный
JOANNE,ROBERTSON,13,31.87,2.4515384615384614,обычный
ELEANOR,HUNT,22,100.77999999999997,4.580909090909089,высокий
VALERIE,BLACK,11,54.890000000000015,4.990000000000001,высокий
MEGAN,PALMER,10,29.900000000000006,2.9900000000000007,обычный
ALICIA,MILLS,6,25.940000000000005,4.323333333333334,обычный
SUZANNE,NICHOLS,10,39.900000000000006,3.9900000000000007,обычный
MICHELE,GRANT,14,55.86000000000001,3.9900000000000007,высокий
GAIL,KNIGHT,10,42.90000000000001,4.290000000000001,обычный
BERTHA,FERGUSON,9,34.91000000000001,3.87888888888889,обычный
DARLENE,ROSE,17,52.83000000000001,3.10764705882353,высокий
VERONICA,STONE,13,45.87000000000001,3.5284615384615394,обычный
JILL,HAWKINS,10,38.9,3.8899999999999997,обычный
ERIN,DUNN,9,28.909999999999997,3.2122222222222216,обычный
GERALDINE,PERKINS,10,41.90000000000001,4.190000000000001,обычный
LAUREN,HUDSON,7,32.93,4.704285714285715,обычный
CATHY,SPENCER,11,40.88999999999999,3.717272727272727,обычный
JOANN,GARDNER,10,38.900000000000006,3.8900000000000006,обычный
LORRAINE,STEPHENS,12,49.88000000000002,4.156666666666668,обычный
LYNN,PAYNE,13,56.87000000000002,4.374615384615386,высокий
SALLY,PIERCE,15,48.850000000000016,3.2566666666666677,обычный
REGINA,BERRY,17,70.83,4.166470588235294,высокий
ERICA,MATTHEWS,10,49.90000000000001,4.990000000000001,обычный
BEATRICE,ARNOLD,12,56.88000000000001,4.740000000000001,высокий
DOLORES,WAGNER,9,33.910000000000004,3.7677777777777783,обычный
BERNICE,WILLIS,14,70.86,5.061428571428571,высокий
AUDREY,RAY,14,57.86000000000002,4.132857142857144,высокий
YVONNE,WATKINS,7,32.93000000000001,4.7042857142857155,обычный
ANNETTE,OLSON,11,46.89000000000001,4.262727272727274,обычный
JUNE,CARROLL,12,55.88000000000002,4.656666666666668,высокий
SAMANTHA,DUNCAN,7,22.929999999999996,3.2757142857142854,обычный
MARION,SNYDER,18,85.82,4.767777777777777,высокий
DANA,HART,14,68.86000000000001,4.91857142857143,высокий
STACY,CUNNINGHAM,10,40.900000000000006,4.090000000000001,обычный
ANA,BRADLEY,12,72.88,6.073333333333333,высокий
RENEE,LANE,12,39.88,3.3233333333333337,обычный
IDA,ANDREWS,11,34.89,3.171818181818182,обычный
VIVIAN,RUIZ,9,36.91000000000001,4.101111111111113,обычный
ROBERTA,HARPER,12,50.88000000000001,4.240000000000001,высокий
HOLLY,FOX,8,26.919999999999998,3.3649999999999998,обычный
BRITTANY,RILEY,11,63.890000000000015,5.8081818181818194,высокий
MELANIE,ARMSTRONG,8,31.92,3.99,обычный
LORETTA,CARPENTER,10,37.90000000000001,3.7900000000000014,обычный
YOLANDA,WEAVER,7,27.930000000000003,3.9900000000000007,обычный
JEANETTE,GREENE,9,39.910000000000004,4.434444444444445,обычный
LAURIE,LAWRENCE,10,35.900000000000006,3.5900000000000007,обычный
KATIE,ELLIOTT,6,27.940000000000005,4.656666666666667,обычный
KRISTEN,CHAVEZ,5,25.950000000000003,5.19,обычный
VANESSA,SIMS,11,47.89000000000001,4.353636363636364,обычный
ALMA,AUSTIN,14,63.860000000000014,4.561428571428572,высокий
SUE,PETERS,8,35.919999999999995,4.489999999999999,обычный
ELSIE,KELLEY,15,52.850000000000016,3.5233333333333343,высокий
BETH,FRANKLIN,12,52.88000000000002,4.406666666666668,высокий
JEANNE,LAWSON,10,37.90000000000001,3.7900000000000014,обычный
VICKI,FIELDS,5,16.95,3.3899999999999997,обычный
CARLA,GUTIERREZ,13,52.87000000000002,4.066923076923079,высокий
TARA,RYAN,7,40.93000000000001,5.847142857142858,обычный
ROSEMARY,SCHMIDT,14,48.860000000000014,3.490000000000001,обычный
EILEEN,CARR,8,45.92000000000001,5.740000000000001,обычный
TERRI,VASQUEZ,13,60.87000000000002,4.682307692307694,высокий
GERTRUDE,CASTILLO,15,58.85,3.9233333333333333,высокий
LUCY,WHEELER,13,46.87000000000001,3.605384615384616,обычный
TONYA,CHAPMAN,17,82.83,4.87235294117647,высокий
ELLA,OLIVER,18,73.82000000000001,4.101111111111112,высокий
STACEY,MONTGOMERY,16,62.840000000000025,3.9275000000000015,высокий
WILMA,RICHARDS,7,40.93000000000001,5.847142857142858,обычный
GINA,WILLIAMSON,12,51.88,4.323333333333333,высокий
KRISTIN,JOHNSTON,8,35.92000000000001,4.490000000000001,обычный
JESSIE,BANKS,7,31.929999999999993,4.5614285714285705,обычный
NATALIE,MEYER,6,32.940000000000005,5.490000000000001,обычный
AGNES,BISHOP,9,33.910000000000004,3.7677777777777783,обычный
VERA,MCCOY,8,37.92000000000001,4.740000000000001,обычный
WILLIE,HOWELL,15,64.85000000000002,4.323333333333335,высокий
CHARLENE,ALVAREZ,12,59.88000000000001,4.990000000000001,высокий
BESSIE,MORRISON,12,58.88000000000002,4.906666666666668,высокий
DELORES,HANSEN,11,46.89000000000001,4.262727272727274,обычный
MELINDA,FERNANDEZ,7,32.93000000000001,4.7042857142857155,обычный
PEARL,GARZA,9,27.91,3.101111111111111,обычный
ARLENE,HARVEY,17,80.83,4.754705882352941,высокий
MAUREEN,LITTLE,9,41.91000000000001,4.656666666666668,обычный
COLLEEN,BURTON,12,44.88000000000002,3.7400000000000015,обычный
ALLISON,STANLEY,15,54.85000000000001,3.656666666666667,высокий
TAMARA,NGUYEN,13,49.87000000000001,3.836153846153847,обычный
JOY,GEORGE,15,58.850000000000016,3.9233333333333342,высокий
GEORGIA,JACOBS,11,36.89,3.3536363636363635,обычный
CONSTANCE,REID,14,57.860000000000014,4.1328571428571435,высокий
LILLIE,KIM,13,55.87000000000002,4.2976923076923095,высокий
JACKIE,LYNCH,15,62.85000000000002,4.190000000000001,высокий
MARCIA,DEAN,20,73.8,3.69,высокий
TANYA,GILBERT,15,64.85000000000002,4.323333333333335,высокий
NELLIE,GARRETT,9,42.910000000000004,4.767777777777778,обычный
MINNIE,ROMERO,12,48.88,4.073333333333333,обычный
MARLENE,WELCH,12,51.88000000000001,4.323333333333334,высокий
HEIDI,LARSON,15,53.85000000000001,3.5900000000000007,высокий
GLENDA,FRAZIER,9,38.91000000000001,4.323333333333334,обычный
LYDIA,BURKE,13,45.87000000000001,3.5284615384615394,обычный
VIOLA,HANSON,14,54.86000000000002,3.91857142857143,высокий
COURTNEY,DAY,16,72.84,4.5525,высокий
MARIAN,MENDOZA,6,27.940000000000005,4.656666666666667,обычный
STELLA,MORENO,7,33.93000000000001,4.847142857142858,обычный
CAROLINE,BOWMAN,6,18.94,3.1566666666666667,обычный
DORA,MEDINA,8,47.92000000000001,5.990000000000001,обычный
JO,FOWLER,7,19.93,2.847142857142857,обычный
VICKIE,BREWER,11,41.890000000000015,3.8081818181818194,обычный
MATTIE,HOFFMAN,10,20.900000000000002,2.0900000000000003,обычный
TERRY,CARLSON,9,33.91,3.7677777777777774,обычный
MAXINE,SILVA,13,55.87000000000001,4.297692307692309,высокий
IRMA,PEARSON,7,23.93,3.4185714285714286,обычный
MABEL,HOLLAND,6,12.940000000000001,2.1566666666666667,обычный
MARSHA,DOUGLAS,18,88.82,4.934444444444444,высокий
MYRTLE,FLEMING,10,44.900000000000006,4.49,обычный
LENA,JENSEN,10,53.90000000000001,5.3900000000000015,высокий
CHRISTY,VARGAS,12,36.879999999999995,3.073333333333333,обычный
DEANNA,BYRD,7,28.930000000000007,4.1328571428571435,обычный
PATSY,DAVIDSON,11,47.89000000000001,4.353636363636364,обычный
HILDA,HOPKINS,13,43.870000000000005,3.374615384615385,обычный
GWENDOLYN,MAY,12,51.88,4.323333333333333,высокий
JENNIE,TERRY,16,70.84,4.4275,высокий
NORA,HERRERA,5,20.950000000000003,4.19,обычный
MARGIE,WADE,11,45.89000000000001,4.171818181818183,обычный
NINA,SOTO,12,53.88000000000002,4.490000000000001,высокий
CASSANDRA,WALTERS,9,46.91000000000001,5.212222222222223,обычный
LEAH,CURTIS,7,30.930000000000007,4.41857142857143,обычный
PENNY,NEAL,9,30.910000000000004,3.434444444444445,обычный
KAY,CALDWELL,6,36.940000000000005,6.156666666666667,обычный
PRISCILLA,LOWE,15,67.85000000000001,4.523333333333334,высокий
NAOMI,JENNINGS,10,45.900000000000006,4.590000000000001,обычный
CAROLE,BARNETT,9,32.910000000000004,3.656666666666667,обычный
BRANDY,GRAVES,11,45.89000000000001,4.171818181818183,обычный
OLGA,JIMENEZ,12,46.88000000000001,3.9066666666666676,обычный
BILLIE,HORTON,9,37.910000000000004,4.2122222222222225,обычный
DIANNE,SHELTON,9,42.910000000000004,4.767777777777778,обычный
TRACEY,BARRETT,11,34.89000000000001,3.1718181818181823,обычный
LEONA,OBRIEN,8,27.92,3.49,обычный
JENNY,CASTRO,15,64.85000000000001,4.323333333333334,высокий
FELICIA,SUTTON,17,50.83,2.9899999999999998,высокий
SONIA,GREGORY,12,60.88000000000002,5.073333333333335,высокий
MIRIAM,MCKINNEY,13,68.87,5.297692307692308,высокий
VELMA,LUCAS,17,76.83000000000001,4.519411764705883,высокий
BECKY,MILES,11,40.89000000000001,3.717272727272728,обычный
BOBBIE,CRAIG,9,22.91,2.5455555555555556,обычный
VIOLET,RODRIQUEZ,12,49.88000000000001,4.156666666666667,обычный
KRISTINA,CHAMBERS,14,51.860000000000014,3.704285714285715,высокий
TONI,HOLT,12,52.88000000000001,4.406666666666667,высокий
MISTY,LAMBERT,16,74.84,4.6775,высокий
MAE,FLETCHER,10,46.90000000000001,4.690000000000001,обычный
SHELLY,WATTS,10,47.90000000000001,4.790000000000001,обычный
DAISY,BATES,18,87.82000000000001,4.8788888888888895,высокий
RAMONA,HALE,12,54.88000000000002,4.573333333333335,высокий
SHERRI,RHODES,13,48.87000000000002,3.7592307692307707,обычный
ERIKA,PENA,10,32.9,3.29,обычный
JAMES,GANNON,11,44.89000000000001,4.080909090909092,обычный
JOHN,FARNSWORTH,14,59.86000000000002,4.275714285714288,высокий
ROBERT,BAUGHMAN,10,48.90000000000001,4.8900000000000015,обычный
MICHAEL,SILVERMAN,15,67.85000000000001,4.523333333333334,высокий
WILLIAM,SATTERFIELD,9,36.910000000000004,4.101111111111112,обычный
DAVID,ROYAL,12,52.88000000000001,4.406666666666667,высокий
RICHARD,MCCRARY,10,44.90000000000001,4.490000000000001,обычный
CHARLES,KOWALSKI,14,53.86000000000002,3.8471428571428588,высокий
JOSEPH,JOY,13,62.87000000000001,4.836153846153847,высокий
THOMAS,GRIGSBY,6,27.940000000000005,4.656666666666667,обычный
CHRISTOPHER,GRECO,16,76.83999999999999,4.802499999999999,высокий
DANIEL,CABRAL,8,41.92,5.24,обычный
PAUL,TROUT,8,45.92000000000001,5.740000000000001,обычный
MARK,RINEHART,11,48.890000000000015,4.444545454545456,обычный
DONALD,MAHON,7,24.930000000000007,3.5614285714285723,обычный
GEORGE,LINTON,18,67.82000000000002,3.767777777777779,высокий
KENNETH,GOODEN,8,47.92000000000001,5.990000000000001,обычный
STEVEN,CURLEY,12,55.88000000000002,4.656666666666668,высокий
EDWARD,BAUGH,12,50.88000000000002,4.240000000000001,высокий
BRIAN,WYMAN,6,24.939999999999998,4.156666666666666,обычный
RONALD,WEINER,12,52.88000000000002,4.406666666666668,высокий
ANTHONY,SCHWAB,11,39.890000000000015,3.626363636363638,обычный
KEVIN,SCHULER,10,50.90000000000001,5.090000000000002,высокий
JASON,MORRISSEY,12,45.88000000000001,3.823333333333334,обычный
MATTHEW,MAHAN,15,58.85000000000002,3.9233333333333347,высокий
GARY,COY,12,50.88000000000001,4.240000000000001,высокий
TIMOTHY,BUNN,10,41.900000000000006,4.19,обычный
JOSE,ANDREW,12,46.88000000000002,3.906666666666668,обычный
LARRY,THRASHER,5,12.950000000000001,2.5900000000000003,обычный
JEFFREY,SPEAR,6,24.940000000000005,4.156666666666667,обычный
FRANK,WAGGONER,13,52.87000000000002,4.066923076923079,высокий
SCOTT,SHELLEY,12,41.88000000000001,3.4900000000000007,обычный
ERIC,ROBERT,12,63.88000000000002,5.323333333333335,высокий
STEPHEN,QUALLS,17,78.82999999999998,4.637058823529411,высокий
ANDREW,PURDY,13,51.870000000000005,3.99,высокий
RAYMOND,MCWHORTER,11,53.89000000000001,4.899090909090909,высокий
GREGORY,MAULDIN,15,55.850000000000016,3.7233333333333345,высокий
JOSHUA,MARK,12,52.88000000000002,4.406666666666668,высокий
JERRY,JORDON,12,62.88000000000001,5.240000000000001,высокий
DENNIS,GILMAN,10,40.90000000000001,4.090000000000002,обычный
WALTER,PERRYMAN,13,52.87000000000001,4.066923076923078,высокий
PATRICK,NEWSOM,9,30.910000000000004,3.434444444444445,обычный
PETER,MENARD,7,29.930000000000007,4.275714285714287,обычный
HAROLD,MARTINO,12,45.88000000000001,3.823333333333334,обычный
DOUGLAS,GRAF,9,54.91000000000001,6.101111111111113,высокий
HENRY,BILLINGSLEY,6,28.940000000000005,4.823333333333334,обычный
CARL,ARTIS,10,49.90000000000001,4.990000000000001,обычный
ARTHUR,SIMPKINS,15,83.85,5.59,высокий
RYAN,SALISBURY,17,65.83000000000001,3.872352941176471,высокий
ROGER,QUINTANILLA,16,70.84,4.4275,высокий
JOE,GILLILAND,12,45.88000000000002,3.8233333333333346,обычный
JUAN,FRALEY,8,24.92,3.115,обычный
JACK,FOUST,13,50.87000000000001,3.913076923076924,высокий
ALBERT,CROUSE,9,43.91000000000001,4.87888888888889,обычный
JONATHAN,SCARBOROUGH,5,18.950000000000003,3.7900000000000005,обычный
JUSTIN,NGO,19,67.81000000000002,3.5689473684210533,высокий
TERRY,GRISSOM,11,52.89000000000001,4.808181818181819,высокий
GERALD,FULTZ,13,50.870000000000005,3.9130769230769236,высокий
KEITH,RICO,12,42.88000000000001,3.573333333333334,обычный
SAMUEL,MARLOW,7,19.93,2.847142857142857,обычный
WILLIE,MARKHAM,9,39.91,4.434444444444444,обычный
RALPH,MADRIGAL,17,69.83000000000001,4.10764705882353,высокий
LAWRENCE,LAWTON,10,29.9,2.9899999999999998,обычный
NICHOLAS,BARFIELD,15,61.85000000000002,4.123333333333335,высокий
ROY,WHITING,15,69.85000000000002,4.656666666666668,высокий
BENJAMIN,VARNEY,8,35.92000000000001,4.490000000000001,обычный
BRUCE,SCHWARZ,10,44.90000000000001,4.490000000000001,обычный
BRANDON,HUEY,19,82.80999999999999,4.358421052631578,высокий
ADAM,GOOCH,11,46.89000000000001,4.262727272727274,обычный
HARRY,ARCE,12,51.88000000000002,4.323333333333335,высокий
FRED,WHEAT,12,45.88000000000002,3.8233333333333346,обычный
WAYNE,TRUONG,8,27.919999999999998,3.4899999999999998,обычный
BILLY,POULIN,12,46.88000000000001,3.9066666666666676,обычный
STEVE,MACKENZIE,16,77.84000000000002,4.865000000000001,высокий
LOUIS,LEONE,16,68.84000000000002,4.302500000000001,высокий
JEREMY,HURTADO,10,38.9,3.8899999999999997,обычный
AARON,SELBY,5,22.950000000000003,4.590000000000001,обычный
RANDY,GAITHER,15,69.85000000000001,4.656666666666667,высокий
HOWARD,FORTNER,11,41.89000000000001,3.808181818181819,обычный
EUGENE,CULPEPPER,8,20.92,2.615,обычный
CARLOS,COUGHLIN,6,30.940000000000005,5.156666666666667,обычный
RUSSELL,BRINSON,14,58.86000000000001,4.204285714285715,высокий
BOBBY,BOUDREAU,14,37.86000000000001,2.7042857142857146,обычный
VICTOR,BARKLEY,10,39.900000000000006,3.9900000000000007,обычный
MARTIN,BALES,9,26.91,2.99,обычный
ERNEST,STEPP,8,18.919999999999998,2.3649999999999998,обычный
PHILLIP,HOLM,11,44.89000000000001,4.080909090909092,обычный
TODD,TAN,13,54.87000000000002,4.220769230769232,высокий
JESSE,SCHILLING,5,21.949999999999996,4.389999999999999,обычный
CRAIG,MORRELL,11,35.89000000000001,3.2627272727272736,обычный
ALAN,KAHN,11,50.89000000000001,4.626363636363637,высокий
SHAWN,HEATON,14,56.860000000000014,4.061428571428572,высокий
CLARENCE,GAMEZ,11,37.89000000000001,3.4445454545454552,обычный
SEAN,DOUGLASS,8,23.919999999999998,2.9899999999999998,обычный
PHILIP,CAUSEY,13,60.87000000000002,4.682307692307694,высокий
CHRIS,BROTHERS,10,38.90000000000001,3.8900000000000015,обычный
JOHNNY,TURPIN,7,24.93,3.5614285714285714,обычный
EARL,SHANKS,12,39.88000000000001,3.323333333333334,обычный
JIMMY,SCHRADER,13,50.87000000000002,3.9130769230769245,высокий
ANTONIO,MEEK,7,33.93000000000001,4.847142857142858,обычный
DANNY,ISOM,8,30.92000000000001,3.865000000000001,обычный
BRYAN,HARDISON,10,51.90000000000001,5.190000000000001,высокий
TONY,CARRANZA,10,36.900000000000006,3.6900000000000004,обычный
LUIS,YANEZ,12,52.88000000000002,4.406666666666668,высокий
MIKE,WAY,12,61.88000000000002,5.156666666666668,высокий
STANLEY,SCROGGINS,14,59.860000000000014,4.275714285714287,высокий
LEONARD,SCHOFIELD,11,29.889999999999997,2.717272727272727,обычный
NATHAN,RUNYON,18,68.82000000000002,3.8233333333333346,высокий
DALE,RATCLIFF,11,49.890000000000015,4.535454545454547,обычный
MANUEL,MURRELL,12,45.88000000000001,3.823333333333334,обычный
RODNEY,MOELLER,15,58.850000000000016,3.9233333333333342,высокий
CURTIS,IRBY,14,54.86000000000002,3.91857142857143,высокий
NORMAN,CURRIER,12,32.88,2.74,обычный
ALLEN,BUTTERFIELD,7,26.93,3.847142857142857,обычный
MARVIN,YEE,6,20.939999999999998,3.4899999999999998,обычный
VINCENT,RALSTON,10,40.9,4.09,обычный
GLENN,PULLEN,11,40.89000000000001,3.717272727272728,обычный
JEFFERY,PINSON,10,36.900000000000006,3.6900000000000004,обычный
TRAVIS,ESTEP,7,35.93000000000001,5.1328571428571435,обычный
JEFF,EAST,10,45.900000000000006,4.590000000000001,обычный
CHAD,CARBONE,13,39.870000000000005,3.0669230769230773,обычный
JACOB,LANCE,11,39.890000000000015,3.626363636363638,обычный
LEE,HAWKS,12,57.88000000000001,4.823333333333334,высокий
MELVIN,ELLINGTON,7,21.93,3.132857142857143,обычный
ALFRED,CASILLAS,13,58.870000000000005,4.5284615384615385,высокий
