customer_id,customer_name,country_name,pay_month,monthly_amount,payment_count,prev_avg_monthly_amount,prev_avg_payment_count,personal_amount_ratio,personal_count_ratio,country_avg_monthly_amount,country_amount_deviation,country_amount_ratio,share_multi_staff_same_day,share_multi_store_same_day,share_multi_staff_or_store_same_day,country_month_amount_rank,country_month_customer_count,has_multi_staff_24h_series,max_payments_in_24h_series
173,AUDREY RAY,Austria,2005-07,57.86,14,12.47,3.5,4.64,4.0,39.24,18.62,1.47,0.2143,0.2143,0.2143,1,3,1,5
159,JILL HAWKINS,Austria,2005-07,38.9,10,5.97,3.0,6.52,3.33,39.24,-0.34,0.99,0.0,0.0,0.0,2,3,1,3
266,NORA HERRERA,Austria,2005-08,71.83,17,15.63,3.67,4.6,4.64,42.23,29.6,1.7,0.5294,0.5294,0.5294,1,3,1,4
334,RAYMOND MCWHORTER,Azerbaijan,2005-07,53.89,11,13.48,2.5,4.0,4.4,52.88,1.01,1.02,0.1818,0.1818,0.1818,1,2,1,3
590,SETH HANNON,Bahrain,2005-06,30.95,5,3.99,1.0,7.76,5.0,30.95,0.0,1.0,0.0,0.0,0.0,1,1,1,3
590,SETH HANNON,Bahrain,2005-07,56.86,14,17.47,3.0,3.25,4.67,56.86,0.0,1.0,0.5,0.5,0.5,1,1,1,4
332,STEPHEN QUALLS,Bangladesh,2005-07,78.83,17,10.98,2.0,7.18,8.5,54.54,24.29,1.45,0.2941,0.2941,0.2941,1,3,1,5
21,MICHELLE CLARK,Bangladesh,2005-08,79.83,17,24.28,5.67,3.29,3.0,51.55,28.28,1.55,0.6471,0.6471,0.6471,1,3,1,6
144,CLARA SHAW,Belarus,2005-06,22.94,6,5.98,2.0,3.84,3.0,15.45,7.49,1.48,0.3333,0.3333,0.3333,1,2,1,3
144,CLARA SHAW,Belarus,2005-07,93.82,18,14.46,4.0,6.49,4.5,60.37,33.46,1.55,0.3333,0.3333,0.3333,1,2,1,4
431,JOEL FRANCISCO,Bolivia,2005-06,35.93,7,2.99,1.0,12.02,7.0,21.95,13.99,1.64,0.2857,0.2857,0.2857,1,2,1,3
455,JON WILES,Bolivia,2005-07,45.91,9,4.97,3.0,9.24,3.0,31.93,13.98,1.44,0.2222,0.2222,0.2222,1,2,1,3
310,DANIEL CABRAL,Brazil,2005-06,27.94,6,0.99,1.0,28.22,6.0,16.25,11.69,1.72,0.0,0.0,0.0,2,28,0,0
216,NATALIE MEYER,Brazil,2005-06,15.95,5,4.99,1.0,3.2,5.0,16.25,-0.3,0.98,0.0,0.0,0.0,12,28,1,3
92,TINA SIMMONS,Brazil,2005-07,78.85,15,12.98,2.5,6.08,6.0,49.85,29.0,1.58,0.4,0.4,0.4,2,28,1,4
591,KENT ARSENAULT,Brazil,2005-07,75.85,15,8.97,3.0,8.46,5.0,49.85,26.0,1.52,0.4667,0.4667,0.4667,3,28,1,5
314,GEORGE LINTON,Brazil,2005-07,67.82,18,8.98,2.0,7.55,9.0,49.85,17.97,1.36,0.2778,0.2778,0.2778,5,28,1,5
354,JUSTIN NGO,Brazil,2005-07,67.81,19,9.97,3.5,6.8,5.43,49.85,17.96,1.36,0.4737,0.4737,0.4737,6,28,1,5
362,NICHOLAS BARFIELD,Brazil,2005-07,61.85,15,9.97,3.0,6.2,5.0,49.85,12.0,1.24,0.2667,0.2667,0.2667,8,28,1,5
206,TERRI VASQUEZ,Brazil,2005-07,60.87,13,11.97,3.0,5.09,4.33,49.85,11.02,1.22,0.3846,0.3846,0.3846,9,28,1,4
254,MAXINE SILVA,Brazil,2005-07,55.87,13,11.47,3.5,4.87,3.71,49.85,6.02,1.12,0.6923,0.6923,0.6923,10,28,1,5
443,FRANCISCO SKIDMORE,Brazil,2005-07,54.9,10,3.99,1.0,13.76,10.0,49.85,5.05,1.1,0.7,0.7,0.7,11,28,1,4
427,JESUS MCCARTNEY,Brazil,2005-07,49.9,10,12.97,3.0,3.85,3.33,49.85,0.05,1.0,0.2,0.2,0.2,12,28,1,4
229,TAMARA NGUYEN,Brazil,2005-07,49.87,13,14.96,4.0,3.33,3.25,49.85,0.02,1.0,0.3077,0.3077,0.3077,13,28,1,3
126,ELLEN SIMPSON,Brazil,2005-07,48.87,13,8.98,2.0,5.44,6.5,49.85,-0.98,0.98,0.5385,0.5385,0.5385,14,28,1,3
74,DENISE KELLY,Brazil,2005-07,47.9,10,9.98,2.5,4.8,4.0,49.85,-1.95,0.96,0.3,0.3,0.3,15,28,1,3
342,HAROLD MARTINO,Brazil,2005-07,45.88,12,14.97,3.0,3.06,4.0,49.85,-3.97,0.92,0.5833,0.5833,0.5833,17,28,1,4
325,TIMOTHY BUNN,Brazil,2005-07,41.9,10,9.48,2.0,4.42,5.0,49.85,-7.95,0.84,0.4,0.4,0.4,19,28,1,4
183,IDA ANDREWS,Brazil,2005-07,34.89,11,7.98,2.5,4.37,4.4,49.85,-14.96,0.7,0.2727,0.2727,0.2727,21,28,1,3
91,LOIS BUTLER,Brunei,2005-07,59.81,19,9.48,2.5,6.31,7.6,59.81,0.0,1.0,0.2632,0.2632,0.2632,1,1,1,3
516,ELMER NOE,Cambodia,2005-06,22.94,6,5.98,2.0,3.84,3.0,18.45,4.49,1.24,0.0,0.0,0.0,1,2,0,0
228,ALLISON STANLEY,Cambodia,2005-07,54.85,15,9.97,3.0,5.5,5.0,50.88,3.97,1.08,0.4,0.4,0.4,1,2,1,4
352,ALBERT CROUSE,Cameroon,2005-06,20.95,5,2.99,1.0,7.01,5.0,16.96,4.0,1.24,0.0,0.0,0.0,1,2,0,0
352,ALBERT CROUSE,Cameroon,2005-07,43.91,9,11.97,3.0,3.67,3.0,36.91,7.01,1.19,0.4444,0.4444,0.4444,1,2,1,5
436,TROY QUIGLEY,Canada,2005-07,52.88,12,13.98,2.0,3.78,6.0,43.29,9.59,1.22,0.25,0.25,0.25,2,5,1,3
189,LORETTA CARPENTER,Canada,2005-07,37.9,10,9.97,3.0,3.8,3.33,43.29,-5.39,0.88,0.4,0.4,0.4,4,5,1,3
463,DARRELL POWER,Canada,2005-07,30.9,10,8.98,2.5,3.44,4.0,43.29,-12.39,0.71,0.0,0.0,0.0,5,5,1,3
535,JAVIER ELROD,Chad,2005-07,48.89,11,11.47,3.0,4.26,3.67,48.89,0.0,1.0,0.4545,0.4545,0.4545,1,1,1,3
45,JANET PHILLIPS,Chile,2005-07,37.91,9,10.47,3.0,3.62,3.0,33.92,3.99,1.12,0.0,0.0,0.0,1,3,1,3
550,GUY BROWNLEE,China,2005-06,39.94,6,7.99,1.0,5.0,6.0,15.83,24.11,2.52,0.6667,0.6667,0.6667,1,53,1,3
260,CHRISTY VARGAS,China,2005-06,34.92,8,8.99,1.0,3.88,8.0,15.83,19.09,2.21,0.625,0.625,0.625,4,53,1,4
466,LEO EBERT,China,2005-06,28.95,5,2.99,1.0,9.68,5.0,15.83,13.12,1.83,0.0,0.0,0.0,7,53,1,3
339,WALTER PERRYMAN,China,2005-06,25.95,5,5.99,1.0,4.33,5.0,15.83,10.12,1.64,0.4,0.4,0.4,8,53,1,3
595,TERRENCE GUNDERSON,China,2005-07,86.81,19,7.49,1.5,11.6,12.67,44.91,41.9,1.93,0.5789,0.5789,0.5789,1,53,1,6
484,ROBERTO VU,China,2005-07,77.85,15,14.97,3.5,5.2,4.29,44.91,32.94,1.73,0.3333,0.3333,0.3333,2,53,1,4
168,REGINA BERRY,China,2005-07,70.83,17,5.49,1.5,12.91,11.33,44.91,25.92,1.58,0.4706,0.4706,0.4706,3,53,1,4
302,MICHAEL SILVERMAN,China,2005-07,67.85,15,6.99,1.5,9.71,10.0,44.91,22.94,1.51,0.4,0.4,0.4,4,53,1,4
485,CLYDE TOBIAS,China,2005-07,63.82,18,7.49,1.5,8.53,12.0,44.91,18.91,1.42,0.3889,0.3889,0.3889,6,53,1,6
211,STACEY MONTGOMERY,China,2005-07,62.84,16,10.49,1.5,5.99,10.67,44.91,17.93,1.4,0.625,0.625,0.625,7,53,1,3
442,LEROY BUSTAMANTE,China,2005-07,60.84,16,16.47,3.5,3.7,4.57,44.91,15.93,1.35,0.5625,0.5625,0.5625,8,53,1,4
64,JUDITH COX,China,2005-07,59.81,19,6.48,2.5,9.24,7.6,44.91,14.9,1.33,0.4737,0.4737,0.4737,9,53,1,4
424,KYLE SPURLOCK,China,2005-07,58.84,16,6.98,2.0,8.43,8.0,44.91,13.93,1.31,0.4375,0.4375,0.4375,11,53,1,5
154,MICHELE GRANT,China,2005-07,55.86,14,14.47,3.0,3.86,4.67,44.91,10.95,1.24,0.3571,0.3571,0.3571,13,53,1,4
241,HEIDI LARSON,China,2005-07,53.85,15,11.97,3.5,4.5,4.29,44.91,8.94,1.2,0.4,0.4,0.4,15,53,1,3
588,MARION OCAMPO,China,2005-07,52.86,14,16.47,3.5,3.21,4.0,44.91,7.95,1.18,0.5714,0.5714,0.5714,17,53,1,4
90,RUBY WASHINGTON,China,2005-07,51.88,12,8.97,3.0,5.78,4.0,44.91,6.97,1.16,0.25,0.25,0.25,18,53,1,3
538,TED BREAUX,China,2005-07,51.86,14,13.47,3.0,3.85,4.67,44.91,6.95,1.15,0.5714,0.5714,0.5714,19,53,1,4
389,ALAN KAHN,China,2005-07,50.89,11,9.48,2.0,5.37,5.5,44.91,5.98,1.13,0.1818,0.1818,0.1818,20,53,1,3
324,GARY COY,China,2005-07,50.88,12,3.99,1.5,12.77,8.0,44.91,5.97,1.13,0.6667,0.6667,0.6667,21,53,1,3
169,ERICA MATTHEWS,China,2005-07,49.9,10,8.48,2.0,5.88,5.0,44.91,4.99,1.11,0.2,0.2,0.2,23,53,1,3
165,LORRAINE STEPHENS,China,2005-07,49.88,12,5.99,1.5,8.33,8.0,44.91,4.97,1.11,0.1667,0.1667,0.1667,24,53,1,3
552,HUGH WALDROP,China,2005-07,48.91,9,3.49,1.5,14.03,6.0,44.91,4.0,1.09,0.5556,0.5556,0.5556,25,53,1,3
138,HAZEL WARREN,China,2005-07,47.85,15,6.98,2.5,6.86,6.0,44.91,2.94,1.07,0.2,0.2,0.2,27,53,1,5
435,RICKY SHELBY,China,2005-07,43.9,10,7.48,2.0,5.87,5.0,44.91,-1.01,0.98,0.2,0.2,0.2,30,53,1,3
546,KELLY KNOTT,China,2005-07,43.89,11,12.97,3.0,3.38,3.67,44.91,-1.02,0.98,0.4545,0.4545,0.4545,31,53,1,3
564,BOB PFEIFFER,China,2005-07,37.91,9,5.99,1.5,6.33,6.0,44.91,-7.0,0.84,0.8889,0.8889,0.8889,33,53,1,5
521,ROLAND SOUTH,China,2005-07,31.91,9,1.98,2.0,16.12,4.5,44.91,-13.0,0.71,0.4444,0.4444,0.4444,39,53,1,4
569,DAVE GARDINER,China,2005-08,75.82,18,19.62,4.67,3.86,3.86,39.38,36.44,1.93,0.5,0.5,0.5,1,53,1,4
422,MELVIN ELLINGTON,China,2005-08,56.87,13,12.63,4.0,4.5,3.25,39.38,17.49,1.44,0.4615,0.4615,0.4615,6,53,1,4
93,PHYLLIS FOSTER,China,2005-08,48.88,12,14.3,3.67,3.42,3.27,39.38,9.5,1.24,0.75,0.75,0.75,13,53,1,5
120,SYLVIA ORTIZ,Colombia,2005-06,29.94,6,8.98,2.0,3.33,3.0,12.14,17.8,2.47,0.3333,0.3333,0.3333,1,6,0,0
490,SAM MCDUFFIE,Colombia,2005-07,64.86,14,7.99,1.5,8.12,9.33,52.72,12.15,1.23,0.3571,0.3571,0.3571,1,6,1,3
235,JACKIE LYNCH,Colombia,2005-07,62.85,15,4.98,2.0,12.62,7.5,52.72,10.14,1.19,0.5333,0.5333,0.5333,2,6,1,3
87,WANDA PATTERSON,Colombia,2005-07,56.89,11,16.97,3.5,3.35,3.14,52.72,4.18,1.08,0.6364,0.6364,0.6364,3,6,1,3
180,STACY CUNNINGHAM,Colombia,2005-07,40.9,10,4.49,1.5,9.12,6.67,52.72,-11.82,0.78,0.4,0.4,0.4,6,6,1,3
265,JENNIE TERRY,Czech Republic,2005-06,15.97,3,0.99,1.0,16.13,3.0,15.97,0.0,1.0,0.6667,0.6667,0.6667,1,1,0,0
265,JENNIE TERRY,Czech Republic,2005-07,70.84,16,8.48,2.0,8.35,8.0,70.84,0.0,1.0,0.4375,0.4375,0.4375,1,1,1,3
418,JEFF EAST,Dominican Republic,2005-07,45.9,10,8.97,3.0,5.12,3.33,45.23,0.67,1.01,0.3,0.3,0.3,1,3,1,3
437,RANDALL NEUMANN,Dominican Republic,2005-07,44.9,10,12.97,3.0,3.46,3.33,45.23,-0.33,0.99,0.2,0.2,0.2,2,3,1,3
258,MYRTLE FLEMING,Dominican Republic,2005-07,44.9,10,12.97,3.0,3.46,3.33,45.23,-0.33,0.99,0.2,0.2,0.2,3,3,1,3
262,PATSY DAVIDSON,Ecuador,2005-06,20.96,4,4.99,1.0,4.2,4.0,18.3,2.66,1.15,0.5,0.5,0.5,2,3,1,3
494,RAMON CHOATE,Ecuador,2005-07,80.82,18,3.99,1.0,20.26,18.0,55.54,25.28,1.46,0.7222,0.7222,0.7222,1,3,1,4
262,PATSY DAVIDSON,Ecuador,2005-07,47.89,11,12.98,2.5,3.69,4.4,55.54,-7.65,0.86,0.3636,0.3636,0.3636,2,3,1,4
491,RICK MATTOX,Egypt,2005-06,31.93,7,3.98,2.0,8.02,3.5,20.29,11.64,1.57,0.5714,0.5714,0.5714,1,6,0,0
559,EVERETT BANDA,Egypt,2005-07,41.88,12,12.96,4.0,3.23,3.0,46.89,-5.01,0.89,0.1667,0.1667,0.1667,5,6,1,3
119,SHERRY MARSHALL,Egypt,2005-08,77.82,18,25.28,5.33,3.08,3.38,42.73,35.09,1.82,0.4444,0.4444,0.4444,1,6,1,5
317,EDWARD BAUGH,Faroe Islands,2005-07,50.88,12,8.98,2.0,5.67,6.0,50.88,0.0,1.0,0.3333,0.3333,0.3333,1,1,1,3
298,ERIKA PENA,Finland,2005-06,18.96,4,3.99,1.0,4.75,4.0,18.96,0.0,1.0,0.0,0.0,0.0,1,1,0,0
35,VIRGINIA GREEN,France,2005-07,68.84,16,14.46,4.0,4.76,4.0,49.89,18.95,1.38,0.3125,0.3125,0.3125,1,4,1,3
104,RITA GRAHAM,France,2005-07,44.9,10,11.97,3.0,3.75,3.33,49.89,-4.99,0.9,0.3,0.3,0.3,3,4,1,4
65,ROSE HOWARD,French Guiana,2005-07,37.91,9,9.48,2.0,4.0,4.5,37.91,0.0,1.0,0.0,0.0,0.0,1,1,1,3
43,CHRISTINE ROBERTS,French Polynesia,2005-07,47.88,12,7.49,1.5,6.4,8.0,42.9,4.99,1.12,0.3333,0.3333,0.3333,1,2,0,0
584,SALVADOR TEEL,Gambia,2005-07,44.88,12,12.98,2.5,3.46,4.8,44.88,0.0,1.0,0.1667,0.1667,0.1667,1,1,1,3
114,GRACE ELLIS,Germany,2005-07,61.85,15,16.47,3.5,3.76,4.29,45.89,15.96,1.35,0.2667,0.2667,0.2667,2,7,1,3
227,COLLEEN BURTON,Germany,2005-07,44.88,12,10.97,3.0,4.09,4.0,45.89,-1.01,0.98,0.25,0.25,0.25,4,7,1,4
3,LINDA WILLIAMS,Greece,2005-07,68.87,13,15.47,3.0,4.45,4.33,45.41,23.47,1.52,0.7692,0.7692,0.7692,1,2,1,5
207,GERTRUDE CASTILLO,Greenland,2005-07,58.85,15,10.97,3.5,5.37,4.29,58.85,0.0,1.0,0.6,0.6,0.6,1,1,1,4
26,JESSICA HALL,Holy See (Vatican City State),2005-06,41.93,7,5.98,2.0,7.01,3.5,41.93,0.0,1.0,0.0,0.0,0.0,1,1,1,4
403,MIKE WAY,India,2005-06,35.94,6,3.98,2.0,9.03,3.0,14.12,21.82,2.55,0.6667,0.6667,0.6667,1,59,0,0
123,SHANNON FREEMAN,India,2005-06,14.95,5,2.99,1.0,5.0,5.0,14.12,0.83,1.06,0.4,0.4,0.4,26,59,1,3
209,TONYA CHAPMAN,India,2005-07,82.83,17,16.97,3.5,4.88,4.86,45.74,37.09,1.81,0.3529,0.3529,0.3529,1,60,1,4
225,ARLENE HARVEY,India,2005-07,80.83,17,8.49,1.5,9.53,11.33,45.74,35.09,1.77,0.8235,0.8235,0.8235,2,60,1,5
508,MILTON HOWLAND,India,2005-07,74.86,14,5.49,1.5,13.65,9.33,45.74,29.12,1.64,0.5714,0.5714,0.5714,3,60,1,5
502,BRETT CORNWELL,India,2005-07,73.85,15,8.97,3.5,8.24,4.29,45.74,28.11,1.61,0.4667,0.4667,0.4667,4,60,1,3
446,THEODORE CULP,India,2005-07,71.83,17,13.96,4.5,5.15,3.78,45.74,26.09,1.57,0.8235,0.8235,0.8235,5,60,1,5
403,MIKE WAY,India,2005-07,61.88,12,19.96,4.0,3.1,3.0,45.74,16.14,1.35,0.5833,0.5833,0.5833,7,60,1,3
59,CHERYL MURPHY,India,2005-07,60.89,11,12.47,3.0,4.88,3.67,45.74,15.15,1.33,0.3636,0.3636,0.3636,8,60,1,3
32,AMY LOPEZ,India,2005-07,58.85,15,15.47,3.5,3.81,4.29,45.74,13.11,1.29,0.0,0.0,0.0,11,60,1,3
421,LEE HAWKS,India,2005-07,57.88,12,7.48,2.5,7.74,4.8,45.74,12.14,1.27,0.1667,0.1667,0.1667,12,60,1,3
135,JUANITA MASON,India,2005-07,57.86,14,7.98,2.5,7.26,5.6,45.74,12.12,1.26,0.3571,0.3571,0.3571,13,60,1,4
170,BEATRICE ARNOLD,India,2005-07,56.88,12,9.98,2.5,5.7,4.8,45.74,11.14,1.24,0.6667,0.6667,0.6667,14,60,1,3
529,ERIK GUILLEN,India,2005-07,53.87,13,3.48,2.0,15.48,6.5,45.74,8.13,1.18,0.4615,0.4615,0.4615,19,60,1,3
202,CARLA GUTIERREZ,India,2005-07,52.87,13,9.96,4.0,5.31,3.25,45.74,7.13,1.16,0.1538,0.1538,0.1538,21,60,1,4
28,CYNTHIA YOUNG,India,2005-07,51.86,14,9.97,3.5,5.2,4.0,45.74,6.12,1.13,0.1429,0.1429,0.1429,23,60,1,3
356,GERALD FULTZ,India,2005-07,50.87,13,6.98,2.0,7.29,6.5,45.74,5.13,1.11,0.1538,0.1538,0.1538,24,60,1,3
297,SHERRI RHODES,India,2005-07,48.87,13,14.47,3.5,3.38,3.71,45.74,3.13,1.07,0.6923,0.6923,0.6923,26,60,1,4
167,SALLY PIERCE,India,2005-07,48.85,15,13.47,3.0,3.63,5.0,45.74,3.11,1.07,0.5333,0.5333,0.5333,27,60,1,4
440,BERNARD COLBY,India,2005-07,47.88,12,4.99,1.0,9.6,12.0,45.74,2.14,1.05,0.0,0.0,0.0,28,60,1,3
123,SHANNON FREEMAN,India,2005-07,45.9,10,8.97,3.0,5.12,3.33,45.74,0.16,1.0,0.6,0.6,0.6,32,60,1,5
95,PAULA BRYANT,India,2005-07,43.91,9,6.98,2.5,6.3,3.6,45.74,-1.83,0.96,0.4444,0.4444,0.4444,34,60,1,3
509,RAUL FORTIER,India,2005-07,41.91,9,10.98,2.0,3.82,4.5,45.74,-3.83,0.92,0.0,0.0,0.0,37,60,1,4
419,CHAD CARBONE,India,2005-07,39.87,13,2.99,1.0,13.33,13.0,45.74,-5.87,0.87,0.2308,0.2308,0.2308,40,60,1,4
121,JOSEPHINE GOMEZ,India,2005-07,31.91,9,4.99,1.5,6.4,6.0,45.74,-13.83,0.7,0.5556,0.5556,0.5556,45,60,1,4
271,PENNY NEAL,India,2005-07,30.91,9,5.99,1.0,5.16,9.0,45.74,-14.83,0.68,0.4444,0.4444,0.4444,47,60,1,3
370,WAYNE TRUONG,India,2005-07,27.92,8,6.99,1.0,3.99,8.0,45.74,-17.82,0.61,0.375,0.375,0.375,49,60,1,3
15,HELEN HARRIS,India,2005-08,79.82,18,25.44,6.0,3.14,3.0,42.67,37.15,1.87,0.7778,0.7778,0.7778,1,60,1,5
121,JOSEPHINE GOMEZ,India,2005-08,67.86,14,13.96,4.0,4.86,3.5,42.67,25.19,1.59,0.5714,0.5714,0.5714,6,60,1,4
554,DWAYNE OLVERA,India,2005-08,56.88,12,14.97,3.33,3.8,3.6,42.67,14.21,1.33,0.5,0.5,0.5,10,60,1,4
450,JAY ROBB,Indonesia,2005-06,22.93,7,3.99,1.0,5.75,7.0,17.1,5.83,1.34,0.5714,0.5714,0.5714,4,14,1,3
372,STEVE MACKENZIE,Indonesia,2005-07,77.84,16,8.98,2.5,8.67,6.4,43.33,34.51,1.8,0.6875,0.6875,0.6875,1,14,1,4
411,NORMAN CURRIER,Indonesia,2005-07,32.88,12,5.98,2.5,5.5,4.8,43.33,-10.45,0.76,0.4167,0.4167,0.4167,11,14,1,4
458,LLOYD DOWD,Indonesia,2005-07,31.91,9,6.98,2.0,4.57,4.5,43.33,-11.42,0.74,0.5556,0.5556,0.5556,12,14,1,4
459,TOMMY COLLAZO,Iran,2005-06,25.93,7,2.99,1.0,8.67,7.0,16.21,9.72,1.6,0.4286,0.4286,0.4286,2,8,1,3
459,TOMMY COLLAZO,Iran,2005-07,89.82,18,14.46,4.0,6.21,4.5,50.13,39.69,1.79,0.5556,0.5556,0.5556,1,8,1,5
185,ROBERTA HARPER,Iran,2005-07,50.88,12,9.97,3.0,5.1,4.0,50.13,0.75,1.01,0.5,0.5,0.5,3,8,1,3
10,DOROTHY TAYLOR,Iran,2005-07,45.89,11,10.47,3.0,4.38,3.67,50.13,-4.24,0.92,0.7273,0.7273,0.7273,4,8,1,3
36,KATHLEEN ADAMS,Iran,2005-07,40.87,13,1.49,1.5,27.52,8.67,50.13,-9.26,0.82,0.2308,0.2308,0.2308,7,8,1,3
579,DARYL LARUE,Iraq,2005-07,65.86,14,12.97,3.0,5.08,4.67,65.86,0.0,1.0,0.2143,0.2143,0.2143,1,1,1,3
102,CRYSTAL FORD,Israel,2005-07,84.79,21,9.98,2.5,8.5,8.4,50.89,33.9,1.67,0.3333,0.3333,0.3333,1,4,1,5
221,BESSIE MORRISON,Italy,2005-06,23.95,5,4.99,1.0,4.8,5.0,17.39,6.56,1.38,0.4,0.4,0.4,2,7,1,3
309,CHRISTOPHER GRECO,Italy,2005-07,76.84,16,16.97,3.0,4.53,5.33,48.46,28.38,1.59,0.25,0.25,0.25,1,7,1,3
221,BESSIE MORRISON,Italy,2005-07,58.88,12,14.47,3.0,4.07,4.0,48.46,10.42,1.22,0.4167,0.4167,0.4167,2,7,1,3
499,MARC OUTLAW,Italy,2005-07,43.88,12,8.98,2.5,4.89,4.8,48.46,-4.58,0.91,0.5833,0.5833,0.5833,5,7,1,4
1,MARY SMITH,Japan,2005-06,31.93,7,3.98,2.0,8.02,3.5,16.29,15.64,1.96,0.7143,0.7143,0.7143,1,30,1,3
29,ANGELA HERNANDEZ,Japan,2005-06,21.93,7,1.99,1.0,11.02,7.0,16.29,5.64,1.35,0.7143,0.7143,0.7143,5,30,1,6
574,JULIAN VEST,Japan,2005-06,15.95,5,0.99,1.0,16.11,5.0,16.29,-0.34,0.98,0.6,0.6,0.6,17,30,1,3
285,MIRIAM MCKINNEY,Japan,2005-07,68.87,13,17.97,3.0,3.83,4.33,45.25,23.62,1.52,0.3077,0.3077,0.3077,1,31,1,4
531,JAMIE WAUGH,Japan,2005-07,64.86,14,5.49,1.5,11.82,9.33,45.25,19.61,1.43,0.4286,0.4286,0.4286,2,31,1,4
574,JULIAN VEST,Japan,2005-07,64.85,15,8.47,3.0,7.66,5.0,45.25,19.6,1.43,0.2,0.2,0.2,3,31,1,4
337,JERRY JORDON,Japan,2005-07,62.88,12,15.98,2.5,3.94,4.8,45.25,17.63,1.39,0.3333,0.3333,0.3333,4,31,1,3
404,STANLEY SCROGGINS,Japan,2005-07,59.86,14,10.98,2.5,5.45,5.6,45.25,14.61,1.32,0.2857,0.2857,0.2857,5,31,1,4
11,LISA ANDERSON,Japan,2005-07,53.89,11,11.48,2.0,4.69,5.5,45.25,8.64,1.19,0.7273,0.7273,0.7273,6,31,1,3
79,RACHEL BARNES,Japan,2005-07,53.87,13,9.48,2.5,5.69,5.2,45.25,8.62,1.19,0.3846,0.3846,0.3846,7,31,1,3
355,TERRY GRISSOM,Japan,2005-07,52.89,11,3.99,1.5,13.27,7.33,45.25,7.64,1.17,0.3636,0.3636,0.3636,8,31,1,3
240,MARLENE WELCH,Japan,2005-07,51.88,12,12.97,3.0,4.0,4.0,45.25,6.63,1.15,0.25,0.25,0.25,9,31,1,4
264,GWENDOLYN MAY,Japan,2005-07,51.88,12,13.96,4.0,3.72,3.0,45.25,6.63,1.15,0.5,0.5,0.5,10,31,1,4
519,RON DELUCA,Japan,2005-07,51.87,13,10.98,2.0,4.72,6.5,45.25,6.62,1.15,0.5385,0.5385,0.5385,11,31,1,7
547,KURT EMMONS,Japan,2005-07,41.9,10,10.48,2.0,4.0,5.0,45.25,-3.35,0.93,0.2,0.2,0.2,19,31,1,4
141,DEBBIE REYES,Japan,2005-07,41.89,11,11.98,2.0,3.5,5.5,45.25,-3.36,0.93,0.3636,0.3636,0.3636,20,31,1,3
401,TONY CARRANZA,Japan,2005-07,36.9,10,11.97,3.0,3.08,3.33,45.25,-8.35,0.82,0.5,0.5,0.5,24,31,1,3
573,BYRON BOX,Kazakstan,2005-06,20.96,4,2.99,1.0,7.01,4.0,16.95,4.01,1.24,0.0,0.0,0.0,1,2,0,0
