country,city,customer_id,first_name,last_name,payment_month,payment_count,total_amount,average_check,same_staff_payment_share,distinct_store_count,distinct_category_count,country_risk_rank
Nigeria,Benin City,284,SONIA,GREGORY,2006-02-01,2,5.98,2.99,0.5,2,2,2
Pakistan,Dadu,416,JEFFERY,PINSON,2005-08-01,13,63.87,4.91,0.7692,2,10,1
Peru,Hunuco,565,JAIME,NETTLES,2005-08-01,13,66.87,5.14,0.5385,2,11,1
Russian Federation,Pjatigorsk,487,HECTOR,POINDEXTER,2005-08-01,11,68.89,6.26,0.5455,2,8,1
Russian Federation,Ljubertsy,160,ERIN,DUNN,2005-08-01,15,66.85,4.46,0.5333,2,9,2
Russian Federation,Jelets,100,ROBIN,HAYES,2006-02-01,1,0.99,0.99,1.0,1,1,3
Russian Federation,Novoterkassk,191,JEANETTE,GREENE,2006-02-01,1,0.99,0.99,1.0,1,1,3
Russian Federation,Kolpino,295,DAISY,BATES,2006-02-01,1,0.99,0.99,1.0,1,1,3
Saudi Arabia,al-Qatif,417,TRAVIS,ESTEP,2006-02-01,1,2.99,2.99,1.0,1,1,1
South Africa,Johannesburg,471,DEAN,SAUER,2005-08-01,12,55.88,4.66,0.5833,2,8,1
South Africa,Springs,83,LOUISE,JENKINS,2006-02-01,1,4.99,4.99,1.0,1,1,2
Spain,Gijn,394,CHRIS,BROTHERS,2006-02-01,1,4.99,4.99,1.0,1,1,1
Switzerland,Bern,155,GAIL,KNIGHT,2006-02-01,2,7.98,3.99,0.5,2,2,1
Thailand,Pak Kret,42,CAROLYN,PEREZ,2006-02-01,2,5.98,2.99,1.0,2,2,1
Tunisia,Sousse,335,GREGORY,MAULDIN,2006-02-01,1,0.99,0.99,1.0,1,1,1
Turkey,Balikesir,366,BRANDON,HUEY,2006-02-01,1,4.99,4.99,1.0,1,1,1
United Arab Emirates,Abu Dhabi,452,TOM,MILNER,2006-02-01,1,4.99,4.99,1.0,1,1,1
United Kingdom,London,512,CECIL,VINES,2005-08-01,13,62.87,4.84,0.6923,2,10,1
United States,Citrus Heights,14,BETTY,WHITE,2006-02-01,1,4.99,4.99,1.0,1,1,1
Yemen,Taizz,213,GINA,WILLIAMSON,2006-02-01,1,2.99,2.99,1.0,1,1,1
Zambia,Kitwe,438,BARRY,LOVELACE,2006-02-01,1,0.99,0.99,1.0,1,1,1
