customer_id,first_name,last_name,payment_count,total_amount,average_check,large_payment_share,suspicious_customer
172,BERNICE,WILLIS,14,70.86,5.06,0.5,Y
41,STEPHANIE,MITCHELL,15,70.85,4.72,0.3333,Y
558,JIMMIE,EGGLESTON,15,70.85,4.72,0.3333,Y
573,BYRON,BOX,15,70.85,4.72,0.3333,Y
265,JENNIE,TERRY,16,70.84,4.43,0.3125,Y
348,ROGER,QUINTANILLA,16,70.84,4.43,0.1875,Y
168,REGINA,BERRY,17,70.83,4.17,0.3529,Y
71,KATHY,JAMES,18,70.82,3.93,0.1111,Y
75,TAMMY,SANDERS,20,70.8,3.54,0.2,Y
482,MAURICE,CRAWLEY,12,69.88,5.82,0.5,Y
49,JOYCE,EDWARDS,13,69.87,5.37,0.3077,Y
100,ROBIN,HAYES,13,69.87,5.37,0.4615,Y
532,NEIL,RENNER,14,69.86,4.99,0.2857,Y
363,ROY,WHITING,15,69.85,4.66,0.1333,Y
376,RANDY,GAITHER,15,69.85,4.66,0.3333,Y
360,RALPH,MADRIGAL,17,69.83,4.11,0.1765,Y
583,MARSHALL,THORN,12,68.88,5.74,0.5833,Y
3,LINDA,WILLIAMS,13,68.87,5.3,0.3077,Y
285,MIRIAM,MCKINNEY,13,68.87,5.3,0.3846,Y
179,DANA,HART,14,68.86,4.92,0.3571,Y
103,GLADYS,HAMILTON,15,68.85,4.59,0.3333,Y
35,VIRGINIA,GREEN,16,68.84,4.3,0.3125,Y
373,LOUIS,LEONE,16,68.84,4.3,0.25,Y
553,MAX,PITT,16,68.84,4.3,0.125,Y
89,JULIA,FLORES,17,68.83,4.05,0.1765,Y
406,NATHAN,RUNYON,18,68.82,3.82,0.1667,Y
497,GILBERT,SLEDGE,14,67.86,4.85,0.2857,Y
273,PRISCILLA,LOWE,15,67.85,4.52,0.4,Y
302,MICHAEL,SILVERMAN,15,67.85,4.52,0.4,Y
425,FRANCIS,SIKES,17,67.83,3.99,0.2353,Y
314,GEORGE,LINTON,18,67.82,3.77,0.2222,Y
354,JUSTIN,NGO,19,67.81,3.57,0.1579,Y
467,ALVIN,DELOACH,13,66.87,5.14,0.3846,Y
441,MARIO,CHEATHAM,17,66.83,3.93,0.1765,Y
426,BRADLEY,MOTLEY,11,65.89,5.99,0.3636,Y
433,DON,BONE,14,65.86,4.7,0.3571,Y
579,DARYL,LARUE,14,65.86,4.7,0.3571,Y
594,EDUARDO,HIATT,14,65.86,4.7,0.3571,Y
125,ETHEL,WEBB,16,65.84,4.12,0.1875,Y
128,MARJORIE,TUCKER,16,65.84,4.12,0.25,Y
347,RYAN,SALISBURY,17,65.83,3.87,0.1176,Y
38,MARTHA,GONZALEZ,18,65.82,3.66,0.2222,Y
82,KATHRYN,COLEMAN,11,64.89,5.9,0.5455,Y
84,SARA,PERRY,12,64.88,5.41,0.5,Y
86,JACQUELINE,LONG,12,64.88,5.41,0.4167,Y
63,ASHLEY,RICHARDSON,14,64.86,4.63,0.2857,Y
490,SAM,MCDUFFIE,14,64.86,4.63,0.2857,Y
531,JAMIE,WAUGH,14,64.86,4.63,0.3571,Y
219,WILLIE,HOWELL,15,64.85,4.32,0.2667,Y
237,TANYA,GILBERT,15,64.85,4.32,0.2,Y
282,JENNY,CASTRO,15,64.85,4.32,0.2667,Y
574,JULIAN,VEST,15,64.85,4.32,0.1333,Y
598,WADE,DELVALLE,16,64.84,4.05,0.25,Y
187,BRITTANY,RILEY,11,63.89,5.81,0.4545,Y
331,ERIC,ROBERT,12,63.88,5.32,0.4167,Y
196,ALMA,AUSTIN,14,63.86,4.56,0.2143,Y
576,MORRIS,MCCARTER,15,63.85,4.26,0.2,Y
485,CLYDE,TOBIAS,18,63.82,3.55,0.0556,Y
337,JERRY,JORDON,12,62.88,5.24,0.4167,Y
307,JOSEPH,JOY,13,62.87,4.84,0.3077,Y
235,JACKIE,LYNCH,15,62.85,4.19,0.2667,Y
211,STACEY,MONTGOMERY,16,62.84,3.93,0.25,Y
80,MARILYN,ROSS,12,61.88,5.16,0.5,Y
403,MIKE,WAY,12,61.88,5.16,0.3333,Y
13,KAREN,JACKSON,13,61.87,4.76,0.3077,Y
107,FLORENCE,WOODS,14,61.86,4.42,0.2857,Y
114,GRACE,ELLIS,15,61.85,4.12,0.1333,Y
122,THELMA,MURRAY,15,61.85,4.12,0.2667,Y
362,NICHOLAS,BARFIELD,15,61.85,4.12,0.1333,Y
592,TERRANCE,ROUSH,15,61.85,4.12,0.2,Y
42,CAROLYN,PEREZ,16,61.84,3.87,0.1875,Y
59,CHERYL,MURPHY,11,60.89,5.54,0.2727,Y
491,RICK,MATTOX,11,60.89,5.54,0.4545,Y
284,SONIA,GREGORY,12,60.88,5.07,0.5,Y
23,SARAH,LEWIS,13,60.87,4.68,0.3846,Y
66,JANICE,WARD,13,60.87,4.68,0.3846,Y
206,TERRI,VASQUEZ,13,60.87,4.68,0.2308,Y
393,PHILIP,CAUSEY,13,60.87,4.68,0.3846,Y
513,DUANE,TUBBS,13,60.87,4.68,0.2308,Y
520,MITCHELL,WESTMORELAND,14,60.86,4.35,0.2143,Y
442,LEROY,BUSTAMANTE,16,60.84,3.8,0.125,Y
563,KEN,PREWITT,16,60.84,3.8,0.3125,Y
7,MARIA,MILLER,11,59.89,5.44,0.5455,Y
220,CHARLENE,ALVAREZ,12,59.88,4.99,0.3333,Y
300,JOHN,FARNSWORTH,14,59.86,4.28,0.2857,Y
404,STANLEY,SCROGGINS,14,59.86,4.28,0.1429,Y
560,JORDAN,ARCHULETA,14,59.86,4.28,0.2143,Y
5,ELIZABETH,BROWN,16,59.84,3.74,0.125,Y
64,JUDITH,COX,19,59.81,3.15,0.1579,Y
91,LOIS,BUTLER,19,59.81,3.15,0.0,Y
477,DAN,PAINE,10,58.9,5.89,0.6,Y
51,ALICE,STEWART,12,58.88,4.91,0.5,Y
221,BESSIE,MORRISON,12,58.88,4.91,0.5,Y
486,GLEN,TALBERT,12,58.88,4.91,0.1667,Y
423,ALFRED,CASILLAS,13,58.87,4.53,0.3077,Y
533,JESSIE,MILAM,13,58.87,4.53,0.2308,Y
380,RUSSELL,BRINSON,14,58.86,4.2,0.2143,Y
468,TIM,CARY,14,58.86,4.2,0.3571,Y
32,AMY,LOPEZ,15,58.85,3.92,0.2667,Y
207,GERTRUDE,CASTILLO,15,58.85,3.92,0.4,Y
230,JOY,GEORGE,15,58.85,3.92,0.0667,Y
323,MATTHEW,MAHAN,15,58.85,3.92,0.2,Y
409,RODNEY,MOELLER,15,58.85,3.92,0.2667,Y
424,KYLE,SPURLOCK,16,58.84,3.68,0.1875,Y
504,NATHANIEL,ADAM,11,57.89,5.26,0.4545,Y
421,LEE,HAWKS,12,57.88,4.82,0.3333,Y
473,JORGE,OLIVARES,13,57.87,4.45,0.2308,Y
481,HERMAN,DEVORE,13,57.87,4.45,0.3077,Y
135,JUANITA,MASON,14,57.86,4.13,0.2857,Y
173,AUDREY,RAY,14,57.86,4.13,0.1429,Y
232,CONSTANCE,REID,14,57.86,4.13,0.2143,Y
581,VIRGIL,WOFFORD,14,57.86,4.13,0.2143,Y
87,WANDA,PATTERSON,11,56.89,5.17,0.3636,Y
495,CHARLIE,BESS,11,56.89,5.17,0.4545,Y
528,CLAUDE,HERZOG,11,56.89,5.17,0.3636,Y
170,BEATRICE,ARNOLD,12,56.88,4.74,0.25,Y
432,EDWIN,BURK,12,56.88,4.74,0.25,Y
166,LYNN,PAYNE,13,56.87,4.37,0.3077,Y
390,SHAWN,HEATON,14,56.86,4.06,0.2143,Y
590,SETH,HANNON,14,56.86,4.06,0.0714,Y
99,EMILY,DIAZ,15,56.85,3.79,0.1333,Y
176,JUNE,CARROLL,12,55.88,4.66,0.3333,Y
316,STEVEN,CURLEY,12,55.88,4.66,0.25,Y
539,MATHEW,BOLIN,12,55.88,4.66,0.4167,Y
233,LILLIE,KIM,13,55.87,4.3,0.3077,Y
254,MAXINE,SILVA,13,55.87,4.3,0.2308,Y
518,GABRIEL,HARDER,13,55.87,4.3,0.2308,Y
154,MICHELE,GRANT,14,55.86,3.99,0.2143,Y
129,CARRIE,PORTER,15,55.85,3.72,0.2,Y
145,LUCILLE,HOLMES,15,55.85,3.72,0.2667,Y
335,GREGORY,MAULDIN,15,55.85,3.72,0.2,Y
343,DOUGLAS,GRAF,9,54.91,6.1,0.6667,Y
443,FRANCISCO,SKIDMORE,10,54.9,5.49,0.5,Y
149,VALERIE,BLACK,11,54.89,4.99,0.3636,Y
296,RAMONA,HALE,12,54.88,4.57,0.3333,Y
386,TODD,TAN,13,54.87,4.22,0.2308,Y
244,VIOLA,HANSON,14,54.86,3.92,0.1429,Y
410,CURTIS,IRBY,14,54.86,3.92,0.2143,Y
438,BARRY,LOVELACE,14,54.86,3.92,0.0714,Y
228,ALLISON,STANLEY,15,54.85,3.66,0.2,Y
44,MARIE,TURNER,10,53.9,5.39,0.4,Y
259,LENA,JENSEN,10,53.9,5.39,0.5,Y
582,ANDY,VANHORN,10,53.9,5.39,0.6,Y
11,LISA,ANDERSON,11,53.89,4.9,0.3636,Y
334,RAYMOND,MCWHORTER,11,53.89,4.9,0.3636,Y
101,PEGGY,MYERS,12,53.88,4.49,0.4167,Y
268,NINA,SOTO,12,53.88,4.49,0.25,Y
79,RACHEL,BARNES,13,53.87,4.14,0.2308,Y
529,ERIK,GUILLEN,13,53.87,4.14,0.3846,Y
306,CHARLES,KOWALSKI,14,53.86,3.85,0.2143,Y
241,HEIDI,LARSON,15,53.85,3.59,0.2,Y
355,TERRY,GRISSOM,11,52.89,4.81,0.4545,Y
577,CLIFTON,MALCOLM,11,52.89,4.81,0.4545,Y
199,BETH,FRANKLIN,12,52.88,4.41,0.1667,Y
291,TONI,HOLT,12,52.88,4.41,0.3333,Y
304,DAVID,ROYAL,12,52.88,4.41,0.25,Y
319,RONALD,WEINER,12,52.88,4.41,0.1667,Y
336,JOSHUA,MARK,12,52.88,4.41,0.3333,Y
402,LUIS,YANEZ,12,52.88,4.41,0.3333,Y
436,TROY,QUIGLEY,12,52.88,4.41,0.3333,Y
202,CARLA,GUTIERREZ,13,52.87,4.07,0.1538,Y
329,FRANK,WAGGONER,13,52.87,4.07,0.2308,Y
339,WALTER,PERRYMAN,13,52.87,4.07,0.2308,Y
78,LORI,WOOD,14,52.86,3.78,0.2143,Y
588,MARION,OCAMPO,14,52.86,3.78,0.0714,Y
198,ELSIE,KELLEY,15,52.85,3.52,0.1333,Y
157,DARLENE,ROSE,17,52.83,3.11,0.0588,Y
400,BRYAN,HARDISON,10,51.9,5.19,0.6,Y
90,RUBY,WASHINGTON,12,51.88,4.32,0.3333,Y
139,AMBER,DIXON,12,51.88,4.32,0.4167,Y
213,GINA,WILLIAMSON,12,51.88,4.32,0.1667,Y
240,MARLENE,WELCH,12,51.88,4.32,0.1667,Y
264,GWENDOLYN,MAY,12,51.88,4.32,0.4167,Y
368,HARRY,ARCE,12,51.88,4.32,0.3333,Y
536,FERNANDO,CHURCHILL,12,51.88,4.32,0.1667,Y
108,TRACY,COLE,13,51.87,3.99,0.2308,Y
333,ANDREW,PURDY,13,51.87,3.99,0.1538,Y
519,RON,DELUCA,13,51.87,3.99,0.3846,Y
28,CYNTHIA,YOUNG,14,51.86,3.7,0.1429,Y
290,KRISTINA,CHAMBERS,14,51.86,3.7,0.1429,Y
538,TED,BREAUX,14,51.86,3.7,0.1429,Y
498,GENE,SANBORN,15,51.85,3.46,0.0667,Y
321,KEVIN,SCHULER,10,50.9,5.09,0.5,Y
112,ROSA,REYNOLDS,11,50.89,4.63,0.1818,Y
389,ALAN,KAHN,11,50.89,4.63,0.2727,Y
447,CLIFFORD,BOWENS,11,50.89,4.63,0.3636,Y
488,SHANE,MILLARD,11,50.89,4.63,0.5455,Y
1,MARY,SMITH,12,50.88,4.24,0.25,Y
14,BETTY,WHITE,12,50.88,4.24,0.25,Y
185,ROBERTA,HARPER,12,50.88,4.24,0.25,Y
317,EDWARD,BAUGH,12,50.88,4.24,0.25,Y
324,GARY,COY,12,50.88,4.24,0.1667,Y
517,BRAD,MCCURDY,12,50.88,4.24,0.1667,Y
351,JACK,FOUST,13,50.87,3.91,0.2308,Y
356,GERALD,FULTZ,13,50.87,3.91,0.2308,Y
397,JIMMY,SCHRADER,13,50.87,3.91,0.1538,Y
115,WENDY,HARRISON,15,50.85,3.39,0.1333,Y
283,FELICIA,SUTTON,17,50.83,2.99,0.0588,Y
169,ERICA,MATTHEWS,10,49.9,4.99,0.3,N
345,CARL,ARTIS,10,49.9,4.99,0.3,N
427,JESUS,MCCARTNEY,10,49.9,4.99,0.5,Y
407,DALE,RATCLIFF,11,49.89,4.54,0.2727,N
428,HERBERT,KRUGER,11,49.89,4.54,0.3636,N
525,ADRIAN,CLARY,11,49.89,4.54,0.3636,N
96,DIANA,ALEXANDER,12,49.88,4.16,0.0833,N
131,MONICA,HICKS,12,49.88,4.16,0.1667,N
165,LORRAINE,STEPHENS,12,49.88,4.16,0.25,N
289,VIOLET,RODRIQUEZ,12,49.88,4.16,0.1667,N
229,TAMARA,NGUYEN,13,49.87,3.84,0.1538,N
57,EVELYN,MORGAN,15,49.85,3.32,0.0667,N
507,EDGAR,RHOADS,15,49.85,3.32,0.2,N
580,ROSS,GREY,15,49.85,3.32,0.1333,N
524,JARED,ELY,8,48.92,6.12,0.5,Y
472,GREG,ROBINS,9,48.91,5.43,0.6667,Y
483,VERNON,CHAPA,9,48.91,5.43,0.2222,N
552,HUGH,WALDROP,9,48.91,5.43,0.4444,Y
571,JOHNNIE,CHISHOLM,9,48.91,5.43,0.3333,N
105,DAWN,SULLIVAN,10,48.9,4.89,0.2,N
301,ROBERT,BAUGHMAN,10,48.9,4.89,0.2,N
587,SERGIO,STANFIELD,10,48.9,4.89,0.5,Y
31,BRENDA,WRIGHT,11,48.89,4.44,0.1818,N
312,MARK,RINEHART,11,48.89,4.44,0.2727,N
535,JAVIER,ELROD,11,48.89,4.44,0.2727,N
52,JULIE,SANCHEZ,12,48.88,4.07,0.1667,N
239,MINNIE,ROMERO,12,48.88,4.07,0.4167,Y
120,SYLVIA,ORTIZ,13,48.87,3.76,0.3077,N
126,ELLEN,SIMPSON,13,48.87,3.76,0.3077,N
297,SHERRI,RHODES,13,48.87,3.76,0.3077,N
204,ROSEMARY,SCHMIDT,14,48.86,3.49,0.1429,N
167,SALLY,PIERCE,15,48.85,3.26,0.0,N
249,DORA,MEDINA,8,47.92,5.99,0.375,N
315,KENNETH,GOODEN,8,47.92,5.99,0.5,Y
542,LONNIE,TIRADO,8,47.92,5.99,0.625,Y
47,FRANCES,PARKER,10,47.9,4.79,0.3,N
74,DENISE,KELLY,10,47.9,4.79,0.3,N
294,SHELLY,WATTS,10,47.9,4.79,0.3,N
69,JUDY,GRAY,11,47.89,4.35,0.3636,N
195,VANESSA,SIMS,11,47.89,4.35,0.2727,N
262,PATSY,DAVIDSON,11,47.89,4.35,0.3636,N
43,CHRISTINE,ROBERTS,12,47.88,3.99,0.0,N
440,BERNARD,COLBY,12,47.88,3.99,0.1667,N
133,PAULINE,HENRY,13,47.87,3.68,0.2308,N
138,HAZEL,WARREN,15,47.85,3.19,0.0667,N
269,CASSANDRA,WALTERS,9,46.91,5.21,0.4444,Y
516,ELMER,NOE,9,46.91,5.21,0.3333,N
73,BEVERLY,BROOKS,10,46.9,4.69,0.1,N
293,MAE,FLETCHER,10,46.9,4.69,0.2,N
453,CALVIN,MARTEL,10,46.9,4.69,0.4,N
506,LESLIE,SEWARD,10,46.9,4.69,0.4,N
510,BEN,EASTER,10,46.9,4.69,0.2,N
29,ANGELA,HERNANDEZ,11,46.89,4.26,0.2727,N
175,ANNETTE,OLSON,11,46.89,4.26,0.1818,N
222,DELORES,HANSEN,11,46.89,4.26,0.3636,N
367,ADAM,GOOCH,11,46.89,4.26,0.1818,N
572,SIDNEY,BURLESON,11,46.89,4.26,0.2727,N
27,SHIRLEY,ALLEN,12,46.88,3.91,0.3333,N
277,OLGA,JIMENEZ,12,46.88,3.91,0.25,N
326,JOSE,ANDREW,12,46.88,3.91,0.25,N
371,BILLY,POULIN,12,46.88,3.91,0.1667,N
26,JESSICA,HALL,13,46.87,3.61,0.1538,N
208,LUCY,WHEELER,13,46.87,3.61,0.1538,N
487,HECTOR,POINDEXTER,14,46.86,3.35,0.0714,N
205,EILEEN,CARR,8,45.92,5.74,0.375,N
311,PAUL,TROUT,8,45.92,5.74,0.5,Y
429,FREDERICK,ISBELL,9,45.91,5.1,0.4444,Y
455,JON,WILES,9,45.91,5.1,0.3333,N
123,SHANNON,FREEMAN,10,45.9,4.59,0.2,N
274,NAOMI,JENNINGS,10,45.9,4.59,0.3,N
418,JEFF,EAST,10,45.9,4.59,0.3,N
10,DOROTHY,TAYLOR,11,45.89,4.17,0.1818,N
267,MARGIE,WADE,11,45.89,4.17,0.1818,N
276,BRANDY,GRAVES,11,45.89,4.17,0.2727,N
454,ALEX,GRESHAM,11,45.89,4.17,0.1818,N
578,WILLARD,LUMPKIN,11,45.89,4.17,0.1818,N
322,JASON,MORRISSEY,12,45.88,3.82,0.0833,N
342,HAROLD,MARTINO,12,45.88,3.82,0.25,N
349,JOE,GILLILAND,12,45.88,3.82,0.1667,N
369,FRED,WHEAT,12,45.88,3.82,0.1667,N
408,MANUEL,MURRELL,12,45.88,3.82,0.0833,N
439,ALEXANDER,FENNELL,12,45.88,3.82,0.25,N
158,VERONICA,STONE,13,45.87,3.53,0.1538,N
243,LYDIA,BURKE,13,45.87,3.53,0.1538,N
452,TOM,MILNER,13,45.87,3.53,0.2308,N
48,ANN,EVANS,8,44.92,5.62,0.5,Y
104,RITA,GRAHAM,10,44.9,4.49,0.3,N
119,SHERRY,MARSHALL,10,44.9,4.49,0.4,N
258,MYRTLE,FLEMING,10,44.9,4.49,0.3,N
305,RICHARD,MCCRARY,10,44.9,4.49,0.2,N
365,BRUCE,SCHWARZ,10,44.9,4.49,0.1,N
437,RANDALL,NEUMANN,10,44.9,4.49,0.2,N
88,BONNIE,HUGHES,11,44.89,4.08,0.3636,N
299,JAMES,GANNON,11,44.89,4.08,0.2727,N
385,PHILLIP,HOLM,11,44.89,4.08,0.1818,N
550,GUY,BROWNLEE,11,44.89,4.08,0.1818,N
227,COLLEEN,BURTON,12,44.88,3.74,0.1667,N
584,SALVADOR,TEEL,12,44.88,3.74,0.1667,N
593,RENE,MCALISTER,12,44.88,3.74,0.1667,N
132,ESTHER,CRAWFORD,14,44.86,3.2,0.2143,N
570,IVAN,CROMWELL,14,44.86,3.2,0.0714,N
480,COREY,HAUSER,8,43.92,5.49,0.375,N
17,DONNA,THOMPSON,9,43.91,4.88,0.3333,N
95,PAULA,BRYANT,9,43.91,4.88,0.4444,Y
352,ALBERT,CROUSE,9,43.91,4.88,0.4444,Y
68,NICOLE,PETERSON,10,43.9,4.39,0.2,N
435,RICKY,SHELBY,10,43.9,4.39,0.2,N
448,MIGUEL,BETANCOURT,10,43.9,4.39,0.3,N
113,CINDY,FISHER,11,43.89,3.99,0.3636,N
546,KELLY,KNOTT,11,43.89,3.99,0.1818,N
499,MARC,OUTLAW,12,43.88,3.66,0.0833,N
263,HILDA,HOPKINS,13,43.87,3.37,0.0,N
493,BRENT,HARKINS,8,42.92,5.37,0.375,N
238,NELLIE,GARRETT,9,42.91,4.77,0.4444,Y
279,DIANNE,SHELTON,9,42.91,4.77,0.3333,N
545,JULIO,NOLAND,9,42.91,4.77,0.4444,Y
20,SHARON,ROBINSON,10,42.9,4.29,0.2,N
155,GAIL,KNIGHT,10,42.9,4.29,0.3,N
357,KEITH,RICO,12,42.88,3.57,0.1667,N
310,DANIEL,CABRAL,8,41.92,5.24,0.625,Y
460,LEON,BOSTIC,8,41.92,5.24,0.375,N
226,MAUREEN,LITTLE,9,41.91,4.66,0.2222,N
509,RAUL,FORTIER,9,41.91,4.66,0.4444,Y
549,NELSON,CHRISTENSON,9,41.91,4.66,0.3333,N
106,CONNIE,WALLACE,10,41.9,4.19,0.1,N
116,VICTORIA,GIBSON,10,41.9,4.19,0.3,N
142,APRIL,BURNS,10,41.9,4.19,0.2,N
161,GERALDINE,PERKINS,10,41.9,4.19,0.2,N
325,TIMOTHY,BUNN,10,41.9,4.19,0.2,N
503,ANGEL,BARCLAY,10,41.9,4.19,0.2,N
523,HARVEY,GUAJARDO,10,41.9,4.19,0.3,N
547,KURT,EMMONS,10,41.9,4.19,0.0,N
141,DEBBIE,REYES,11,41.89,3.81,0.1818,N
251,VICKIE,BREWER,11,41.89,3.81,0.1818,N
377,HOWARD,FORTNER,11,41.89,3.81,0.1818,N
330,SCOTT,SHELLEY,12,41.88,3.49,0.0833,N
559,EVERETT,BANDA,12,41.88,3.49,0.1667,N
203,TARA,RYAN,7,40.93,5.85,0.5714,Y
212,WILMA,RICHARDS,7,40.93,5.85,0.4286,Y
15,HELEN,HARRIS,9,40.91,4.55,0.3333,N
98,LILLIAN,GRIFFIN,9,40.91,4.55,0.3333,N
434,EDDIE,TOMLIN,9,40.91,4.55,0.3333,N
180,STACY,CUNNINGHAM,10,40.9,4.09,0.3,N
338,DENNIS,GILMAN,10,40.9,4.09,0.2,N
414,VINCENT,RALSTON,10,40.9,4.09,0.3,N
40,AMANDA,CARTER,11,40.89,3.72,0.2727,N
163,CATHY,SPENCER,11,40.89,3.72,0.0909,N
287,BECKY,MILES,11,40.89,3.72,0.1818,N
415,GLENN,PULLEN,11,40.89,3.72,0.1818,N
567,ALFREDO,MCADAMS,11,40.89,3.72,0.2727,N
97,ANNIE,RUSSELL,12,40.88,3.41,0.0833,N
537,CLINTON,BUFORD,12,40.88,3.41,0.0833,N
36,KATHLEEN,ADAMS,13,40.87,3.14,0.1538,N
191,JEANETTE,GREENE,9,39.91,4.43,0.3333,N
359,WILLIE,MARKHAM,9,39.91,4.43,0.3333,N
476,DERRICK,BOURQUE,9,39.91,4.43,0.3333,N
540,TYRONE,ASHER,9,39.91,4.43,0.2222,N
153,SUZANNE,NICHOLS,10,39.9,3.99,0.4,N
382,VICTOR,BARKLEY,10,39.9,3.99,0.2,N
320,ANTHONY,SCHWAB,11,39.89,3.63,0.0,N
420,JACOB,LANCE,11,39.89,3.63,0.0,N
25,DEBORAH,WALKER,12,39.88,3.32,0.0833,N
182,RENEE,LANE,12,39.88,3.32,0.1667,N
396,EARL,SHANKS,12,39.88,3.32,0.1667,N
12,NANCY,THOMAS,13,39.87,3.07,0.2308,N
419,CHAD,CARBONE,13,39.87,3.07,0.0769,N
58,JEAN,BELL,9,38.91,4.32,0.1111,N
242,GLENDA,FRAZIER,9,38.91,4.32,0.2222,N
562,WALLACE,SLONE,9,38.91,4.32,0.3333,N
159,JILL,HAWKINS,10,38.9,3.89,0.2,N
164,JOANN,GARDNER,10,38.9,3.89,0.1,N
374,JEREMY,HURTADO,10,38.9,3.89,0.3,N
394,CHRIS,BROTHERS,10,38.9,3.89,0.2,N
500,REGINALD,KINDER,11,38.89,3.54,0.0909,N
451,JIM,REA,7,37.93,5.42,0.2857,N
124,SHEILA,WELLS,8,37.92,4.74,0.375,N
218,VERA,MCCOY,8,37.92,4.74,0.5,Y
45,JANET,PHILLIPS,9,37.91,4.21,0.3333,N
56,GLORIA,COOK,9,37.91,4.21,0.2222,N
65,ROSE,HOWARD,9,37.91,4.21,0.2222,N
278,BILLIE,HORTON,9,37.91,4.21,0.2222,N
564,BOB,PFEIFFER,9,37.91,4.21,0.2222,N
189,LORETTA,CARPENTER,10,37.9,3.79,0.2,N
200,JEANNE,LAWSON,10,37.9,3.79,0.1,N
589,TRACY,HERRMANN,10,37.9,3.79,0.1,N
118,KIM,CRUZ,11,37.89,3.44,0.0909,N
391,CLARENCE,GAMEZ,11,37.89,3.44,0.2727,N
381,BOBBY,BOUDREAU,14,37.86,2.7,0.0,N
37,PAMELA,BAKER,6,36.94,6.16,0.8333,Y
272,KAY,CALDWELL,6,36.94,6.16,0.5,Y
55,DORIS,REED,7,36.93,5.28,0.4286,Y
127,ELAINE,STEVENS,7,36.93,5.28,0.5714,Y
146,JAMIE,RICE,7,36.93,5.28,0.4286,Y
449,OSCAR,AQUINO,8,36.92,4.62,0.375,N
184,VIVIAN,RUIZ,9,36.91,4.1,0.3333,N
303,WILLIAM,SATTERFIELD,9,36.91,4.1,0.1111,N
501,RUBEN,GEARY,9,36.91,4.1,0.3333,N
512,CECIL,VINES,9,36.91,4.1,0.3333,N
575,ISAAC,OGLESBY,9,36.91,4.1,0.2222,N
72,THERESA,WATSON,10,36.9,3.69,0.1,N
401,TONY,CARRANZA,10,36.9,3.69,0.2,N
416,JEFFERY,PINSON,10,36.9,3.69,0.2,N
231,GEORGIA,JACOBS,11,36.89,3.35,0.2727,N
260,CHRISTY,VARGAS,12,36.88,3.07,0.1667,N
417,TRAVIS,ESTEP,7,35.93,5.13,0.2857,N
197,SUE,PETERS,8,35.92,4.49,0.25,N
214,KRISTIN,JOHNSTON,8,35.92,4.49,0.25,N
364,BENJAMIN,VARNEY,8,35.92,4.49,0.125,N
