average_payment,customer_id,first_name,large_payment_count,last_name,payment_count,store_id,total_amount
3.99,364,BENJAMIN,0,VARNEY,5,1,19.95
3.99,393,PHILIP,0,CAUSEY,5,1,19.95
3.99,426,BRADLEY,1,MOTLEY,5,1,19.95
3.99,439,ALEXANDER,0,FENNELL,6,2,23.94
3.99,468,TIM,1,CARY,6,1,23.94
3.99,479,ZACHARY,0,HITE,6,1,23.94
3.99,5,ELIZABETH,0,BROWN,5,1,19.95
3.99,594,EDUARDO,0,HIATT,6,1,23.94
3.99,94,NORMA,0,GONZALES,5,1,19.95
4.13,277,OLGA,0,JIMENEZ,7,2,28.93
4.13,434,EDDIE,1,TOMLIN,7,1,28.93
4.16,472,GREG,0,ROBINS,6,1,24.94
4.19,352,ALBERT,0,CROUSE,5,1,20.95
4.19,471,DEAN,0,SAUER,5,1,20.95
4.19,57,EVELYN,1,MORGAN,5,2,20.95
4.19,82,KATHRYN,2,COLEMAN,5,1,20.95
4.24,510,BEN,2,EASTER,8,2,33.92
4.28,66,JANICE,0,WARD,7,2,29.93
4.32,186,HOLLY,0,FOX,6,2,25.94
4.32,267,MARGIE,1,WADE,9,1,38.91
4.32,444,MARCUS,1,HIDALGO,6,2,25.94
4.32,515,ANDRE,0,RAPP,6,1,25.94
4.32,98,LILLIAN,0,GRIFFIN,6,1,25.94
4.37,260,CHRISTY,2,VARGAS,8,1,34.92
4.39,273,PRISCILLA,0,LOWE,5,2,21.95
4.39,328,JEFFREY,0,SPEAR,5,2,21.95
4.39,330,SCOTT,0,SHELLEY,5,1,21.95
4.39,543,LANCE,0,PEMBERTON,5,1,21.95
4.39,77,JANE,1,BENNETT,5,2,21.95
4.42,256,MABEL,0,HOLLAND,7,2,30.93
4.42,343,DOUGLAS,1,GRAF,7,1,30.93
4.49,12,NANCY,0,THOMAS,6,1,26.94
4.49,340,PATRICK,0,NEWSOM,8,1,35.92
4.49,39,DEBRA,0,NELSON,6,1,26.94
4.49,405,LEONARD,0,SCHOFIELD,6,1,26.94
4.56,1,MARY,1,SMITH,7,1,31.93
4.56,200,JEANNE,0,LAWSON,7,2,31.93
4.56,299,JAMES,1,GANNON,7,2,31.93
4.56,491,RICK,0,MATTOX,7,2,31.93
4.59,148,ELEANOR,0,HUNT,5,1,22.95
4.59,363,ROY,0,WHITING,5,2,22.95
4.59,517,BRAD,1,MCCURDY,5,2,22.95
4.62,234,CLAUDIA,0,FULLER,8,1,36.92
4.66,113,CINDY,1,FISHER,6,2,27.94
4.66,310,DANIEL,0,CABRAL,6,2,27.94
4.66,383,MARTIN,2,BALES,6,1,27.94
4.66,526,KARL,1,SEAL,9,2,41.91
4.7,149,VALERIE,1,BLACK,7,1,32.93
4.7,171,DOLORES,0,WAGNER,7,2,32.93
4.7,46,CATHERINE,1,CAMPBELL,7,2,32.93
4.7,570,IVAN,0,CROMWELL,7,2,32.93
4.74,236,MARCIA,1,DEAN,8,1,37.92
4.79,221,BESSIE,1,MORRISON,5,1,23.95
4.79,239,MINNIE,0,ROMERO,5,2,23.95
4.79,297,SHERRI,1,RHODES,5,1,23.95
4.79,320,ANTHONY,1,SCHWAB,5,2,23.95
4.79,49,JOYCE,1,EDWARDS,5,2,23.95
4.85,576,MORRIS,1,MCCARTER,7,2,33.93
4.99,108,TRACY,1,COLE,5,1,24.95
4.99,120,SYLVIA,1,ORTIZ,6,2,29.94
4.99,163,CATHY,1,SPENCER,6,1,29.94
4.99,24,KIMBERLY,1,LEE,5,2,24.95
4.99,242,GLENDA,0,FRAZIER,6,1,29.94
4.99,253,TERRY,0,CARLSON,6,1,29.94
4.99,338,DENNIS,0,GILMAN,7,1,34.93
4.99,384,ERNEST,2,STEPP,7,2,34.93
4.99,448,MIGUEL,1,BETANCOURT,5,1,24.95
4.99,583,MARSHALL,1,THORN,6,1,29.94
4.99,588,MARION,1,OCAMPO,5,1,24.95
4.99,592,TERRANCE,1,ROUSH,5,1,24.95
5.13,293,MAE,1,FLETCHER,7,2,35.93
5.13,316,STEVEN,1,CURLEY,7,1,35.93
5.13,431,JOEL,1,FRANCISCO,7,2,35.93
5.16,327,LARRY,0,THRASHER,6,2,30.94
5.16,368,HARRY,1,ARCE,6,1,30.94
5.19,109,EDNA,0,WEST,5,2,25.95
5.19,16,SANDRA,2,MARTIN,5,2,25.95
5.19,201,VICKI,1,FIELDS,5,1,25.95
5.19,290,KRISTINA,1,CHAMBERS,5,1,25.95
5.19,339,WALTER,0,PERRYMAN,5,2,25.95
5.19,390,SHAWN,1,HEATON,5,1,25.95
5.19,500,REGINALD,0,KINDER,5,1,25.95
5.19,556,ARMANDO,0,GRUBER,5,2,25.95
5.19,68,NICOLE,1,PETERSON,5,1,25.95
5.19,87,WANDA,1,PATTERSON,5,1,25.95
5.29,454,ALEX,2,GRESHAM,10,2,52.9
5.32,204,ROSEMARY,2,SCHMIDT,6,1,31.94
5.32,478,LEWIS,1,LYMAN,6,1,31.94
5.37,176,JUNE,2,CARROLL,8,1,42.92
5.39,388,CRAIG,1,MORRELL,5,2,26.95
5.42,341,PETER,3,MENARD,7,1,37.93
5.49,571,JOHNNIE,1,CHISHOLM,6,2,32.94
5.59,155,GAIL,2,KNIGHT,5,1,27.95
5.59,423,ALFRED,1,CASILLAS,5,2,27.95
5.59,506,LESLIE,1,SEWARD,5,2,27.95
5.59,558,JIMMIE,1,EGGLESTON,5,1,27.95
5.62,178,MARION,1,SNYDER,8,2,44.92
5.66,25,DEBORAH,1,WALKER,6,1,33.94
5.79,466,LEO,2,EBERT,5,1,28.95
5.85,322,JASON,3,MORRISSEY,7,1,40.93
5.99,193,KATIE,1,ELLIOTT,6,2,35.94
5.99,26,JESSICA,1,HALL,7,2,41.93
5.99,403,MIKE,1,WAY,6,1,35.94
5.99,75,TAMMY,1,SANDERS,5,2,29.95
6.19,589,TRACY,2,HERRMANN,5,1,30.95
6.19,590,SETH,2,HANNON,5,2,30.95
6.19,89,JULIA,3,FLORES,5,1,30.95
6.32,289,VIOLET,1,RODRIQUEZ,6,1,37.94
6.39,21,MICHELLE,2,CLARK,5,1,31.95
6.39,347,RYAN,3,SALISBURY,5,2,31.95
6.66,550,GUY,2,BROWNLEE,6,2,39.94
