payment_month,customer_id,first_name,last_name,city_name,country_name,payment_count,total_amount,avg_check,city_avg_payment_count,city_avg_total_amount,city_avg_check,country_avg_payment_count,country_avg_total_amount,country_avg_check,previous_month_amount,growth_percent_to_previous_month,distinct_staff_count,max_payment,country_amount_position,country_customer_count,is_3x_city_average,is_top_5_percent_country
2005-05,207,GERTRUDE,CASTILLO,Nuuk,Greenland,6,17.94,2.99,6.0,17.94,2.99,6.0,17.94,2.99,0.0,,2,6.99,1,1,0,1
2005-05,26,JESSICA,HALL,Citt del Vaticano,Holy See (Vatican City State),2,5.98,2.99,2.0,5.98,2.99,2.0,5.98,2.99,0.0,,2,2.99,1,1,0,1
2005-05,274,NAOMI,JENNINGS,Karnal,India,6,24.94,4.16,6.0,24.94,4.16,1.85,7.16,3.88,0.0,,2,5.99,1,60,0,1
2005-05,231,GEORGIA,JACOBS,Uttarpara-Kotrung,India,3,21.97,7.32,3.0,21.97,7.32,1.85,7.16,3.88,0.0,,1,8.99,2,60,0,1
2005-05,468,TIM,CARY,Bijapur,India,5,20.95,4.19,5.0,20.95,4.19,1.85,7.16,3.88,0.0,,2,6.99,3,60,0,1
2005-05,239,MINNIE,ROMERO,Ciomas,Indonesia,6,33.94,5.66,6.0,33.94,5.66,2.21,9.69,3.96,0.0,,2,7.99,1,14,0,1
2005-05,449,OSCAR,AQUINO,Sirjan,Iran,3,18.97,6.32,3.0,18.97,6.32,2.0,6.98,3.35,0.0,,2,7.99,1,8,0,1
2005-05,161,GERALDINE,PERKINS,Tel Aviv-Jaffa,Israel,6,17.94,2.99,6.0,17.94,2.99,2.75,9.97,4.21,0.0,,2,5.99,1,4,0,1
2005-05,439,ALEXANDER,FENNELL,Bergamo,Italy,3,13.97,4.66,3.0,13.97,4.66,1.57,7.41,4.59,0.0,,2,9.99,1,7,0,1
2005-05,429,FREDERICK,ISBELL,Tsuyama,Japan,5,26.95,5.39,5.0,26.95,5.39,2.1,9.3,4.33,0.0,,1,7.99,1,31,0,1
2005-05,53,HEATHER,MORRIS,Nagareyama,Japan,6,26.94,4.49,6.0,26.94,4.49,2.1,9.3,4.33,0.0,,2,9.99,2,31,0,1
2005-05,573,BYRON,BOX,Zhezqazghan,Kazakstan,1,2.99,2.99,1.0,2.99,2.99,1.5,2.99,2.24,0.0,,1,2.99,1,2,0,1
2005-05,363,ROY,WHITING,Nyeri,Kenya,1,3.99,3.99,1.0,3.99,3.99,1.5,3.99,2.99,0.0,,1,3.99,1,2,0,1
2005-05,234,CLAUDIA,FULLER,Jalib al-Shuyukh,Kuwait,1,4.99,4.99,1.0,4.99,4.99,1.0,4.99,4.99,0.0,,1,4.99,1,1,0,1
2005-05,23,SARAH,LEWIS,Liepaja,Latvia,3,12.97,4.32,3.0,12.97,4.32,1.5,6.49,4.32,0.0,,2,8.99,1,2,0,1
2005-05,57,EVELYN,MORGAN,Vaduz,Liechtenstein,2,14.98,7.49,2.0,14.98,7.49,2.0,14.98,7.49,0.0,,1,9.99,1,1,0,1
2005-05,557,FELIX,GAFFNEY,Vilnius,Lithuania,2,9.98,4.99,2.0,9.98,4.99,2.0,9.98,4.99,0.0,,2,4.99,1,1,0,1
2005-05,81,ANDREA,HENDERSON,Mahajanga,Madagascar,1,0.99,0.99,1.0,0.99,0.99,1.0,0.99,0.99,0.0,,1,0.99,1,1,0,1
2005-05,166,LYNN,PAYNE,Lilongwe,Malawi,1,1.99,1.99,1.0,1.99,1.99,1.0,1.99,1.99,0.0,,1,1.99,1,1,0,1
2005-05,306,CHARLES,KOWALSKI,Sungai Petani,Malaysia,2,10.98,5.49,2.0,10.98,5.49,2.0,10.31,6.27,0.0,,1,6.99,1,3,0,1
2005-05,288,BOBBIE,CRAIG,Valle de Santiago,Mexico,4,21.96,5.49,4.0,21.96,5.49,2.1,8.78,4.28,0.0,,2,6.99,1,30,0,1
2005-05,369,FRED,WHEAT,Jurez,Mexico,4,18.96,4.74,4.0,18.96,4.74,2.1,8.78,4.28,0.0,,2,7.99,2,30,0,1
2005-05,22,LAURA,RODRIGUEZ,Sal,Morocco,3,18.97,6.32,3.0,18.97,6.32,2.0,10.98,5.27,0.0,,2,8.99,1,3,0,1
2005-05,433,DON,BONE,Naala-Porto,Mozambique,2,19.98,9.99,2.0,19.98,9.99,1.67,9.65,6.49,0.0,,2,10.99,1,3,0,1
2005-05,256,MABEL,HOLLAND,Monywa,Myanmar,5,14.95,2.99,5.0,14.95,2.99,2.5,7.48,2.99,0.0,,2,4.99,1,2,0,1
2005-05,513,DUANE,TUBBS,Yangor,Nauru,1,4.99,4.99,1.0,4.99,4.99,1.0,4.99,4.99,0.0,,1,4.99,1,1,0,1
2005-05,321,KEVIN,SCHULER,Birgunj,Nepal,3,15.97,5.32,3.0,15.97,5.32,3.0,15.97,5.32,0.0,,2,5.99,1,1,0,1
2005-05,184,VIVIAN,RUIZ,s-Hertogenbosch,Netherlands,3,9.97,3.32,3.0,9.97,3.32,1.2,5.19,4.82,0.0,,2,4.99,1,5,0,1
2005-05,8,SUSAN,WILSON,Hamilton,New Zealand,1,6.99,6.99,1.0,6.99,6.99,1.0,6.99,6.99,0.0,,1,6.99,1,1,0,1
2005-05,250,JO,FOWLER,Oyo,Nigeria,5,18.95,3.79,5.0,18.95,3.79,2.23,10.36,5.33,0.0,,2,5.99,1,13,0,1
2005-05,157,DARLENE,ROSE,Pyongyang,North Korea,2,5.98,2.99,2.0,5.98,2.99,2.0,5.98,2.99,0.0,,2,4.99,1,1,0,1
2005-05,498,GENE,SANBORN,Salala,Oman,3,14.97,4.99,3.0,14.97,4.99,3.0,12.97,4.32,0.0,,2,8.99,1,2,0,1
2005-05,399,DANNY,ISOM,Okara,Pakistan,3,17.97,5.99,3.0,17.97,5.99,2.4,10.38,4.22,0.0,,1,6.99,1,5,0,1
2005-05,345,CARL,ARTIS,San Lorenzo,Paraguay,2,1.98,0.99,2.0,1.98,0.99,0.67,0.66,0.99,0.0,,1,0.99,1,3,0,1
2005-05,304,DAVID,ROYAL,Callao,Peru,3,14.97,4.99,3.0,14.97,4.99,2.25,10.23,4.49,0.0,,2,10.99,1,4,0,1
2005-05,371,BILLY,POULIN,Cabuyao,Philippines,6,25.94,4.32,6.0,25.94,4.32,1.9,8.08,4.36,0.0,,2,6.99,1,20,0,1
2005-05,571,JOHNNIE,CHISHOLM,Plock,Poland,2,13.98,6.99,2.0,13.98,6.99,1.38,6.86,5.49,0.0,,2,9.99,1,8,0,1
2005-05,282,JENNY,CASTRO,Ponce,Puerto Rico,3,9.97,3.32,3.0,9.97,3.32,2.5,7.98,3.16,0.0,,1,6.99,1,2,0,1
2005-05,563,KEN,PREWITT,Bucuresti,Romania,2,10.98,5.49,2.0,10.98,5.49,2.0,8.48,4.24,0.0,,2,5.99,1,2,0,1
2005-05,148,ELEANOR,HUNT,Saint-Denis,Runion,1,4.99,4.99,1.0,4.99,4.99,1.0,4.99,4.99,0.0,,1,4.99,1,1,0,1
2005-05,311,PAUL,TROUT,Kursk,Russian Federation,5,26.95,5.39,5.0,26.95,5.39,2.14,8.05,3.46,0.0,,2,6.99,1,28,0,1
2005-05,510,BEN,EASTER,Kamyin,Russian Federation,3,19.97,6.66,3.0,19.97,6.66,2.14,8.05,3.46,0.0,,2,8.99,2,28,0,1
2005-05,326,JOSE,ANDREW,Kingstown,Saint Vincent and the Grenadines,3,15.97,5.32,3.0,15.97,5.32,3.0,15.97,5.32,0.0,,2,6.99,1,1,0,1
2005-05,417,TRAVIS,ESTEP,al-Qatif,Saudi Arabia,3,18.97,6.32,3.0,18.97,6.32,2.6,13.17,5.86,0.0,,2,8.99,1,5,0,1
2005-05,456,RONNIE,RICKETTS,Ziguinchor,Senegal,1,4.99,4.99,1.0,4.99,4.99,1.0,4.99,4.99,0.0,,1,4.99,1,1,0,1
2005-05,357,KEITH,RICO,Bratislava,Slovakia,3,8.97,2.99,3.0,8.97,2.99,3.0,8.97,2.99,0.0,,2,4.99,1,1,0,1
2005-05,109,EDNA,WEST,Klerksdorp,South Africa,7,27.93,3.99,7.0,27.93,3.99,2.18,9.07,3.86,0.0,,2,7.99,1,11,0,1
2005-05,245,COURTNEY,DAY,Uijongbu,South Korea,6,28.94,4.82,6.0,28.94,4.82,2.4,9.38,3.16,0.0,,2,8.99,1,5,0,1
2005-05,469,WESLEY,BULL,Ourense (Orense),Spain,5,18.95,3.79,5.0,18.95,3.79,3.0,11.37,3.4,0.0,,2,7.99,1,5,0,1
2005-05,408,MANUEL,MURRELL,Jaffna,Sri Lanka,3,12.97,4.32,3.0,12.97,4.32,3.0,12.97,4.32,0.0,,2,5.99,1,1,0,1
2005-05,50,DIANE,COLLINS,Omdurman,Sudan,5,24.95,4.99,5.0,24.95,4.99,2.5,12.48,4.99,0.0,,2,4.99,1,2,0,1
2005-05,66,JANICE,WARD,Malm,Sweden,1,4.99,4.99,1.0,4.99,4.99,1.0,4.99,4.99,0.0,,1,4.99,1,1,0,1
2005-05,155,GAIL,KNIGHT,Bern,Switzerland,1,2.99,2.99,1.0,2.99,2.99,0.67,1.33,1.99,0.0,,1,2.99,1,3,0,1
2005-05,586,KIRK,STCLAIR,Tsaotun,Taiwan,2,13.98,6.99,2.0,13.98,6.99,1.6,5.58,3.59,0.0,,1,8.99,1,10,0,1
2005-05,190,YOLANDA,WEAVER,Tabora,Tanzania,2,7.98,3.99,2.0,7.98,3.99,1.67,6.32,4.16,0.0,,2,4.99,1,3,0,1
2005-05,390,SHAWN,HEATON,Nakhon Sawan,Thailand,2,9.98,4.99,2.0,9.98,4.99,1.33,5.99,4.32,0.0,,2,4.99,1,3,0,1
2005-05,344,HENRY,BILLINGSLEY,Nukualofa,Tonga,2,8.98,4.49,2.0,8.98,4.49,2.0,8.98,4.49,0.0,,1,5.99,1,1,0,1
2005-05,480,COREY,HAUSER,Gaziantep,Turkey,3,17.97,5.99,3.0,17.97,5.99,1.8,8.05,4.83,0.0,,2,9.99,1,15,0,1
2005-05,200,JEANNE,LAWSON,Ashgabat,Turkmenistan,1,9.99,9.99,1.0,9.99,9.99,1.0,9.99,9.99,0.0,,1,9.99,1,1,0,1
2005-05,105,DAWN,SULLIVAN,Funafuti,Tuvalu,4,26.96,6.74,4.0,26.96,6.74,4.0,26.96,6.74,0.0,,2,8.99,1,1,0,1
2005-05,131,MONICA,HICKS,Mukateve,Ukraine,3,15.97,5.32,3.0,15.97,5.32,1.83,9.15,5.46,0.0,,2,7.99,1,6,0,1
2005-05,452,TOM,MILNER,Abu Dhabi,United Arab Emirates,3,7.97,2.66,3.0,7.97,2.66,1.67,4.32,2.55,0.0,,2,2.99,1,3,0,1
2005-05,142,APRIL,BURNS,Dundee,United Kingdom,3,19.97,6.66,3.0,19.97,6.66,1.78,8.2,4.93,0.0,,2,9.99,1,9,0,1
2005-05,14,BETTY,WHITE,Citrus Heights,United States,5,20.95,4.19,5.0,20.95,4.19,1.94,8.59,4.65,0.0,,2,9.99,1,36,0,1
2005-05,400,BRYAN,HARDISON,Dallas,United States,4,18.96,4.74,4.0,18.96,4.74,1.94,8.59,4.65,0.0,,2,6.99,2,36,0,1
2005-05,174,YVONNE,WATKINS,Ocumare del Tuy,Venezuela,2,10.98,5.49,2.0,10.98,5.49,1.14,3.56,3.09,0.0,,2,5.99,1,7,0,1
2005-05,472,GREG,ROBINS,Nam Dinh,Vietnam,4,9.96,2.49,4.0,9.96,2.49,1.5,5.65,4.69,0.0,,1,4.99,1,6,0,1
2005-05,406,NATHAN,RUNYON,Charlotte Amalie,"Virgin Islands, U.S.",1,0.99,0.99,1.0,0.99,0.99,1.0,0.99,0.99,0.0,,1,0.99,1,1,0,1
2005-05,303,WILLIAM,SATTERFIELD,Sanaa,Yemen,3,8.97,2.99,3.0,8.97,2.99,1.5,3.99,2.49,0.0,,2,4.99,1,4,0,1
2005-05,7,MARIA,MILLER,Kragujevac,Yugoslavia,5,20.95,4.19,5.0,20.95,4.19,3.0,12.97,4.59,0.0,,2,5.99,1,2,0,1
2005-05,438,BARRY,LOVELACE,Kitwe,Zambia,3,12.97,4.32,3.0,12.97,4.32,3.0,12.97,4.32,0.0,,2,6.99,1,1,0,1
2005-06,218,VERA,MCCOY,Kabul,Afghanistan,3,4.97,1.66,3.0,4.97,1.66,3.0,4.97,1.66,0.0,,1,2.99,1,1,0,1
2005-06,176,JUNE,CARROLL,Skikda,Algeria,8,42.92,5.37,8.0,42.92,5.37,4.0,20.29,4.78,21.95,95.54,2,8.99,1,3,0,1
2005-06,320,ANTHONY,SCHWAB,Tafuna,American Samoa,5,23.95,4.79,5.0,23.95,4.79,5.0,23.95,4.79,0.0,,2,7.99,1,1,0,1
2005-06,383,MARTIN,BALES,Namibe,Angola,6,27.94,4.66,6.0,27.94,4.66,4.0,17.96,4.32,9.98,179.96,2,7.99,1,2,0,1
2005-06,381,BOBBY,BOUDREAU,South Hill,Anguilla,5,16.95,3.39,5.0,16.95,3.39,5.0,16.95,3.39,6.97,143.19,2,4.99,1,1,0,1
2005-06,322,JASON,MORRISSEY,Baha Blanca,Argentina,7,40.93,5.85,7.0,40.93,5.85,3.92,16.88,4.04,5.98,584.45,2,8.99,1,13,0,1
2005-06,41,STEPHANIE,MITCHELL,Yerevan,Armenia,2,12.98,6.49,2.0,12.98,6.49,2.0,12.98,6.49,0.0,,2,7.99,1,1,0,1
2005-06,266,NORA,HERRERA,Salzburg,Austria,4,20.96,5.24,4.0,20.96,5.24,3.67,13.3,3.21,4.98,320.88,2,5.99,1,3,0,1
2005-06,333,ANDREW,PURDY,Baku,Azerbaijan,4,14.96,3.74,4.0,14.96,3.74,3.5,12.97,3.7,4.99,199.8,1,6.99,1,2,0,1
2005-06,590,SETH,HANNON,al-Manama,Bahrain,5,30.95,6.19,5.0,30.95,6.19,5.0,30.95,6.19,3.99,675.69,2,9.99,1,1,0,1
2005-06,21,MICHELLE,CLARK,Tangail,Bangladesh,5,31.95,6.39,5.0,31.95,6.39,4.67,20.29,4.8,8.97,256.19,2,10.99,1,3,0,1
2005-06,144,CLARA,SHAW,Molodetno,Belarus,6,22.94,3.82,6.0,22.94,3.82,5.0,15.45,2.91,5.98,283.61,2,5.99,1,2,0,1
2005-06,431,JOEL,FRANCISCO,Sucre,Bolivia,7,35.93,5.13,7.0,35.93,5.13,5.5,21.95,3.56,2.99,1101.67,2,8.99,1,2,0,1
2005-06,178,MARION,SNYDER,Santa Brbara dOeste,Brazil,8,44.92,5.62,8.0,44.92,5.62,4.04,16.25,3.99,0.0,,2,9.99,1,28,0,1
2005-06,310,DANIEL,CABRAL,Ibirit,Brazil,6,27.94,4.66,6.0,27.94,4.66,4.04,16.25,3.99,0.99,2722.22,2,6.99,2,28,0,1
2005-06,91,LOIS,BUTLER,Bandar Seri Begawan,Brunei,4,12.96,3.24,4.0,12.96,3.24,4.0,12.96,3.24,5.99,116.36,2,4.99,1,1,0,1
2005-06,215,JESSIE,BANKS,Stara Zagora,Bulgaria,6,23.94,3.99,6.0,23.94,3.99,5.5,21.45,3.89,9.98,139.88,2,4.99,1,2,0,1
2005-06,516,ELMER,NOE,Battambang,Cambodia,6,22.94,3.82,6.0,22.94,3.82,5.0,18.45,3.66,5.98,283.61,2,10.99,1,2,0,1
2005-06,352,ALBERT,CROUSE,Bamenda,Cameroon,5,20.95,4.19,5.0,20.95,4.19,4.5,16.96,3.72,2.99,600.67,2,4.99,1,2,0,1
2005-06,410,CURTIS,IRBY,Richmond Hill,Canada,6,22.94,3.82,6.0,22.94,3.82,4.0,15.16,4.77,0.0,,2,5.99,1,5,0,1
2005-06,535,JAVIER,ELROD,NDjamna,Chad,2,9.98,4.99,2.0,9.98,4.99,2.0,9.98,4.99,12.96,-22.99,1,4.99,1,1,0,1
2005-06,515,ANDRE,RAPP,Coquimbo,Chile,6,25.94,4.32,6.0,25.94,4.32,4.33,17.29,3.97,15.98,62.33,2,5.99,1,3,0,1
2005-06,550,GUY,BROWNLEE,Zhoushan,China,6,39.94,6.66,6.0,39.94,6.66,3.74,15.83,4.21,7.99,399.87,2,10.99,1,53,0,1
2005-06,267,MARGIE,WADE,Lengshuijiang,China,9,38.91,4.32,9.0,38.91,4.32,3.74,15.83,4.21,16.97,129.29,2,7.99,2,53,0,1
2005-06,384,ERNEST,STEPP,Huaian,China,7,34.93,4.99,7.0,34.93,4.99,3.74,15.83,4.21,11.96,192.06,2,9.99,3,53,0,1
2005-06,120,SYLVIA,ORTIZ,Dos Quebradas,Colombia,6,29.94,4.99,6.0,29.94,4.99,2.83,12.14,3.52,8.98,233.41,2,9.99,1,6,0,1
2005-06,387,JESSE,SCHILLING,Lubumbashi,"Congo, The Democratic Republic of the",6,14.94,2.49,6.0,14.94,2.49,4.5,14.46,3.57,21.96,-31.97,2,5.99,1,2,0,1
2005-06,265,JENNIE,TERRY,Olomouc,Czech Republic,3,15.97,5.32,3.0,15.97,5.32,3.0,15.97,5.32,0.99,1513.13,2,7.99,1,1,0,1
2005-06,258,MYRTLE,FLEMING,Santiago de los Caballeros,Dominican Republic,3,12.97,4.32,3.0,12.97,4.32,3.0,11.3,3.77,0.0,,2,8.99,1,3,0,1
2005-06,589,TRACY,HERRMANN,Loja,Ecuador,5,30.95,6.19,5.0,30.95,6.19,3.33,18.3,4.81,10.97,182.13,2,8.99,1,3,0,1
2005-06,491,RICK,MATTOX,Mit Ghamr,Egypt,7,31.93,4.56,7.0,31.93,4.56,4.5,20.29,4.5,3.98,702.26,2,4.99,1,6,0,1
2005-06,444,MARCUS,HIDALGO,Tartu,Estonia,6,25.94,4.32,6.0,25.94,4.32,6.0,25.94,4.32,9.98,159.92,2,7.99,1,1,0,1
2005-06,392,SEAN,DOUGLASS,Addis Abeba,Ethiopia,4,17.96,4.49,4.0,17.96,4.49,4.0,17.96,4.49,0.0,,1,6.99,1,1,0,1
2005-06,317,EDWARD,BAUGH,Trshavn,Faroe Islands,3,10.97,3.66,3.0,10.97,3.66,3.0,10.97,3.66,6.99,56.94,2,6.99,1,1,0,1
2005-06,298,ERIKA,PENA,Oulu,Finland,4,18.96,4.74,4.0,18.96,4.74,4.0,18.96,4.74,3.99,375.19,1,4.99,1,1,0,1
2005-06,35,VIRGINIA,GREEN,Toulouse,France,6,17.94,2.99,6.0,17.94,2.99,4.5,13.21,3.04,10.98,63.39,2,4.99,1,4,0,1
2005-06,65,ROSE,HOWARD,Cayenne,French Guiana,2,12.98,6.49,2.0,12.98,6.49,2.0,12.98,6.49,5.98,117.06,1,7.99,1,1,0,1
2005-06,56,GLORIA,COOK,Papeete,French Polynesia,4,13.96,3.49,4.0,13.96,3.49,2.5,9.48,4.24,19.96,-30.06,2,6.99,1,2,0,1
2005-06,584,SALVADOR,TEEL,Banjul,Gambia,2,10.98,5.49,2.0,10.98,5.49,2.0,10.98,5.49,14.97,-26.65,1,6.99,1,1,0,1
2005-06,196,ALMA,AUSTIN,Mannheim,Germany,8,31.92,3.99,8.0,31.92,3.99,4.14,19.1,4.73,22.96,39.02,2,5.99,1,7,0,1
2005-06,3,LINDA,WILLIAMS,Athenai,Greece,4,25.96,6.49,4.0,25.96,6.49,3.0,14.97,4.24,4.98,421.29,2,8.99,1,2,0,1
2005-06,207,GERTRUDE,CASTILLO,Nuuk,Greenland,1,3.99,3.99,1.0,3.99,3.99,1.0,3.99,3.99,17.94,-77.76,1,3.99,1,1,0,1
2005-06,26,JESSICA,HALL,Citt del Vaticano,Holy See (Vatican City State),7,41.93,5.99,7.0,41.93,5.99,7.0,41.93,5.99,5.98,601.17,2,9.99,1,1,0,1
2005-06,289,VIOLET,RODRIQUEZ,Kowloon and New Kowloon,Hong Kong,6,37.94,6.32,6.0,37.94,6.32,6.0,37.94,6.32,0.0,,2,10.99,1,1,0,1
2005-06,592,TERRANCE,ROUSH,Szkesfehrvr,Hungary,5,24.95,4.99,5.0,24.95,4.99,5.0,24.95,4.99,0.0,,2,7.99,1,1,0,1
2005-06,403,MIKE,WAY,Valparai,India,6,35.94,5.99,6.0,35.94,5.99,3.47,13.88,4.01,3.98,803.02,2,8.99,1,60,0,1
2005-06,316,STEVEN,CURLEY,Miraj,India,7,35.93,5.13,7.0,35.93,5.13,3.47,13.88,4.01,15.97,124.98,2,8.99,2,60,0,1
2005-06,31,BRENDA,WRIGHT,Kamarhati,India,11,35.89,3.26,11.0,35.89,3.26,3.47,13.88,4.01,0.0,,2,7.99,3,60,0,1
2005-06,506,LESLIE,SEWARD,Pontianak,Indonesia,5,27.95,5.59,5.0,27.95,5.59,4.14,17.1,4.19,28.93,-3.39,2,9.99,1,14,0,1
2005-06,368,HARRY,ARCE,Najafabad,Iran,6,30.94,5.16,6.0,30.94,5.16,4.38,16.21,3.43,17.96,72.27,2,9.99,1,8,0,1
2005-06,579,DARYL,LARUE,Mosul,Iraq,3,12.97,4.32,3.0,12.97,4.32,3.0,12.97,4.32,0.0,,2,5.99,1,1,0,1
2005-06,478,LEWIS,LYMAN,Ashqelon,Israel,6,31.94,5.32,6.0,31.94,5.32,2.75,13.47,4.45,0.0,,2,8.99,1,4,0,1
2005-06,309,CHRISTOPHER,GRECO,Brescia,Italy,4,25.96,6.49,4.0,25.96,6.49,3.43,17.39,5.28,7.98,225.31,2,9.99,1,7,0,1
