customer_id,customer_name,country,city,suspicious_activity_date,payment_count,total_amount,deviation_from_personal_30_day_avg,deviation_from_country_daily_avg,rented_films
235,JACKIE LYNCH,Colombia,Buenaventura,2005-07-06,3,14.97,14.77,12.38,"WONKA SEA,YENTL IDAHO,CAROL TEXAS"
88,BONNIE HUGHES,South Korea,Cheju,2005-07-06,4,13.96,13.49,11.97,"GHOSTBUSTERS ELF,GO PURPLE,HAPPINESS UNITED,NETWORK PEAK"
452,TOM MILNER,United Arab Emirates,Abu Dhabi,2005-07-06,3,13.97,13.21,11.84,"ATLANTIS CAUSE,RUNAWAY TENENBAUMS,MAIDEN HOME"
598,WADE DELVALLE,Switzerland,Lausanne,2005-07-06,3,12.97,12.87,11.94,"NATURAL STOCK,TRADING PINOCCHIO,HEAVYWEIGHTS BEAST"
576,MORRIS MCCARTER,Taiwan,Fengshan,2005-07-06,3,10.97,9.84,4.85,"NAME DETECTIVE,HOURS RAGE,PRIVATE DROP"
566,CASEY MENA,Turkey,Tokat,2005-07-06,3,9.97,9.4,3.09,"MINE TITANS,HANDICAP BOONDOCK,EGYPT TENENBAUMS"
97,ANNIE RUSSELL,Mozambique,Tete,2005-07-06,3,8.97,8.67,8.47,"ENOUGH RAGING,CELEBRITY HORN,CHICAGO NORTH"
494,RAMON CHOATE,Ecuador,Robamba,2005-07-06,3,4.97,4.87,3.14,"INSECTS STONE,ICE CROSSING,COAST RAINBOW"
331,ERIC ROBERT,Argentina,Santa F,2005-07-07,3,21.97,20.91,12.46,"MOONSHINE CABIN,FISH OPUS,TELEGRAPH VOYAGE"
145,LUCILLE HOLMES,South Africa,Soshanguve,2005-07-07,3,20.97,20.57,13.89,"SLEEPLESS MONSOON,ACE GOLDFINGER,INCH JET"
26,JESSICA HALL,Holy See (Vatican City State),Citt del Vaticano,2005-07-07,5,20.95,19.55,19.55,"EXPENDABLE STALLION,CONEHEADS SMOOCHY,CHICKEN HELLFIGHTERS,DYNAMITE TARZAN,DANGEROUS UPTOWN"
335,GREGORY MAULDIN,Tunisia,Sousse,2005-07-07,4,17.96,17.76,17.76,"RIDGEMONT SUBMARINE,MIGHTY LUCK,CAT CONEHEADS,CAUSE DATE"
517,BRAD MCCURDY,Taiwan,Chungho,2005-07-07,4,17.96,17.2,10.48,"LOCK REAR,CANDLES GRAPES,SECRET GROUNDHOG,WANDA CHAMBER"
66,JANICE WARD,Sweden,Malm,2005-07-07,3,14.97,13.71,13.71,"BALLROOM MOCKINGBIRD,WORKING MICROCOSMOS,STATE WASTELAND"
560,JORDAN ARCHULETA,Argentina,Avellaneda,2005-07-07,3,13.97,13.57,4.46,"DIVIDE MONSTER,PAYCHECK WAIT,ALTER VICTORY"
91,LOIS BUTLER,Brunei,Bandar Seri Begawan,2005-07-07,3,12.97,12.51,12.51,"SHRUNK DIVINE,SOMETHING DUCK,CHAMBER ITALIAN"
210,ELLA OLIVER,Yemen,Aden,2005-07-07,4,12.96,12.49,9.57,"ARMY FLINTSTONES,EARTH VISION,PATIENT SISTER,POSEIDON FOREVER"
38,MARTHA GONZALEZ,Moldova,Chisinau,2005-07-07,3,12.97,12.44,12.44,"JUMPING WRATH,DETECTIVE VISION,DYING MAKER"
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-07-07,3,11.97,11.31,4.25,"PEAK FOREVER,CLASH FREDDY,RUGRATS SHAKESPEARE"
390,SHAWN HEATON,Thailand,Nakhon Sawan,2005-07-07,3,11.97,11.01,9.54,"STRANGERS GRAFFITI,LUST LOCK,STAR OPERATION"
345,CARL ARTIS,Paraguay,San Lorenzo,2005-07-07,3,10.97,10.57,9.37,"GREATEST NORTH,CROSSROADS CASUALTIES,ELEMENT FREDDY"
120,SYLVIA ORTIZ,Colombia,Dos Quebradas,2005-07-07,3,10.97,9.97,7.54,"CREEPERS KANE,BUTTERFLY CHOCOLAT,FACTORY DRAGON"
452,TOM MILNER,United Arab Emirates,Abu Dhabi,2005-07-07,3,8.97,7.74,6.08,"HOLOCAUST HIGHBALL,BLINDNESS GUN,CLUELESS BUCKET"
8,SUSAN WILSON,New Zealand,Hamilton,2005-07-07,3,7.97,7.3,7.3,"TENENBAUMS COMMAND,HOPE TOOTSIE,POTLUCK MIXED"
290,KRISTINA CHAMBERS,Venezuela,Valle de la Pascua,2005-07-07,3,6.97,6.11,1.52,"TEMPLE ATTRACTION,CHEAPER CLYDE,EGYPT TENENBAUMS"
25,DEBORAH WALKER,Pakistan,Shikarpur,2005-07-07,3,6.97,5.84,3.78,"POLLOCK DELIVERANCE,ROOTS REMEMBER,DARKNESS WAR"
448,MIGUEL BETANCOURT,Germany,Erlangen,2005-07-07,3,5.97,4.71,0.05,"SUNSET RACER,FROST HEAD,BRIDE INTRIGUE"
563,KEN PREWITT,Romania,Bucuresti,2005-07-08,7,29.93,29.63,28.93,"SORORITY QUEEN,BALLOON HOMEWARD,LABYRINTH LEAGUE,METAL ARMAGEDDON,MANNEQUIN WORST,LOLA AGENT,FAMILY SWEET"
425,FRANCIS SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07-08,4,27.96,27.26,4.55,"EASY GLADIATOR,WARDROBE PHANTOM,SEATTLE EXPECATIONS,PUNK DIVORCE"
348,ROGER QUINTANILLA,Taiwan,Hsichuh,2005-07-08,4,20.96,20.2,12.68,"TITANIC BOONDOCK,PRIMARY GLASS,LOVERBOY ATTACKS,WONDERLAND CHRISTMAS"
172,BERNICE WILLIS,Turkey,Batman,2005-07-08,3,17.97,17.84,7.76,"MOCKINGBIRD HOLLYWOOD,GOODFELLAS SALUTE,SWEETHEARTS SUSPECTS"
535,JAVIER ELROD,Chad,NDjamna,2005-07-08,3,16.97,16.47,16.47,"GLEAMING JAWBREAKER,ALLEY EVOLUTION,BERETS AGENT"
104,RITA GRAHAM,France,Toulon,2005-07-08,3,15.97,15.27,12.88,"SCALAWAG DUCK,FALCON VOLUME,RACER EGG"
474,DUSTIN GILLETTE,Netherlands,Emmen,2005-07-08,5,12.95,12.15,8.79,"GODFATHER DIARY,DOUBLE WRATH,ALAMO VIDEOTAPE,UNFORGIVEN ZOOLANDER,ROSES TREASURE"
590,SETH HANNON,Bahrain,al-Manama,2005-07-08,3,12.97,11.94,11.94,"CENTER DINOSAUR,BAREFOOT MANCHURIAN,SOLDIERS EVOLUTION"
418,JEFF EAST,Dominican Republic,San Felipe de Puerto Plata,2005-07-08,3,11.97,11.64,10.54,"SEATTLE EXPECATIONS,GENTLEMEN STAGE,INTRIGUE WORST"
132,ESTHER CRAWFORD,South Africa,Botshabelo,2005-07-08,3,11.97,11.01,3.69,"MALKOVICH PET,DYING MAKER,GROOVE FICTION"
436,TROY QUIGLEY,Canada,Vancouver,2005-07-08,3,8.97,8.47,5.35,"BANGER PINOCCHIO,SAMURAI LION,BRINGING HYSTERICAL"
99,EMILY DIAZ,South Korea,Kimchon,2005-07-08,3,8.97,8.21,5.78,"DYNAMITE TARZAN,HOLLOW JEOPARDY,CHAPLIN LICENSE"
556,ARMANDO GRUBER,United Kingdom,Southport,2005-07-08,3,7.97,7.11,0.19,"EVOLUTION ALTER,HALLOWEEN NUTS,BOUND CHEAPER"
279,DIANNE SHELTON,Iran,Tabriz,2005-07-09,3,20.97,20.24,13.66,"MASSAGE IMAGE,BARBARELLA STREETCAR,HUSTLER PARTY"
139,AMBER DIXON,Taiwan,Touliu,2005-07-09,3,17.97,17.34,7.86,"REAP UNFAITHFUL,WITCHES PANIC,CLERKS ANGELS"
410,CURTIS IRBY,Canada,Richmond Hill,2005-07-09,4,17.96,17.13,14.04,"HOMICIDE PEACH,EASY GLADIATOR,SPY MILE,TOWN ARK"
30,MELISSA KING,Taiwan,Lungtan,2005-07-09,3,16.97,16.17,6.86,"WORKING MICROCOSMOS,TYCOON GATHERING,VIRGINIAN PLUTO"
532,NEIL RENNER,Vietnam,Cam Ranh,2005-07-09,3,15.97,15.4,10.35,"JEDI BENEATH,JERK PAYCHECK,MASSACRE USUAL"
475,PEDRO CHESTNUT,Ukraine,ostka,2005-07-09,4,14.96,14.36,9.5,"INDEPENDENCE HOTEL,SIEGE MADRE,WATERFRONT DELIVERANCE,JASON TRAP"
89,JULIA FLORES,Argentina,La Plata,2005-07-09,3,13.97,12.44,1.26,"SEA VIRGIN,LEBOWSKI SOLDIERS,VOYAGE LEGALLY"
5,ELIZABETH BROWN,Taiwan,Nantou,2005-07-09,3,12.97,12.04,2.86,"HEAD STRANGER,DATE SPEED,BOUND CHEAPER"
10,DOROTHY TAYLOR,Iran,Esfahan,2005-07-09,3,11.97,11.07,4.66,"PICKUP DRIVING,OTHERS SOUP,PACIFIC AMISTAD"
332,STEPHEN QUALLS,Bangladesh,Dhaka,2005-07-09,5,9.95,9.48,6.86,"MADRE GABLES,HUNGER ROOF,PATTON INTERVIEW,FROGMEN BREAKING,ANONYMOUS HUMAN"
499,MARC OUTLAW,Italy,Brindisi,2005-07-09,3,9.97,9.31,3.52,"DANCING FEVER,MARRIED GO,PULP BEVERLY"
230,JOY GEORGE,Romania,Botosani,2005-07-09,3,8.97,8.11,6.81,"DIRTY ACE,STORY SIDE,STORM HAPPINESS"
207,GERTRUDE CASTILLO,Greenland,Nuuk,2005-07-09,3,6.97,6.07,6.07,"PIANIST OUTFIELD,POCUS PULP,EVE RESURRECTION"
35,VIRGINIA GREEN,France,Toulouse,2005-07-09,3,4.97,4.11,1.21,"RESURRECTION SILVERADO,PARIS WEEKEND,ENTRAPMENT SATISFACTION"
50,DIANE COLLINS,Sudan,Omdurman,2005-07-10,3,21.97,21.31,20.31,"SENSIBILITY REAR,TRAP GUYS,TORQUE BOUND"
520,MITCHELL WESTMORELAND,Vietnam,Nha Trang,2005-07-10,3,19.97,19.01,13.12,"PEAK FOREVER,KING EVOLUTION,PATRIOT ROMAN"
131,MONICA HICKS,Ukraine,Mukateve,2005-07-10,3,9.97,9.04,3.62,"BULWORTH COMMANDMENTS,SHANGHAI TYCOON,JOON NORTHWEST"
173,AUDREY RAY,Austria,Graz,2005-07-10,3,9.97,8.84,7.48,"UPRISING UPTOWN,PAPI NECKLACE,FORWARD TEMPLE"
304,DAVID ROYAL,Peru,Callao,2005-07-10,3,9.97,8.64,5.38,"SATISFACTION CONFIDENTIAL,GROOVE FICTION,SUN CONFESSIONS"
472,GREG ROBINS,Vietnam,Nam Dinh,2005-07-11,3,18.97,17.67,10.62,"VALLEY PACKER,PARADISE SABRINA,POTTER CONNECTICUT"
66,JANICE WARD,Sweden,Malm,2005-07-11,3,18.97,16.97,16.97,"MILLION ACE,AFFAIR PREJUDICE,MASSAGE IMAGE"
357,KEITH RICO,Slovakia,Bratislava,2005-07-11,3,16.97,16.21,16.21,"RAGE GAMES,FLAMINGOS CONNECTICUT,SUPERFLY TRIP"
155,GAIL KNIGHT,Switzerland,Bern,2005-07-11,3,15.97,14.97,14.07,"HEARTBREAKERS BRIGHT,BIKINI BORROWERS,ATTACKS HATE"
386,TODD TAN,Ukraine,Kamjanets-Podilskyi,2005-07-11,4,14.96,13.73,7.44,"HEAVENLY GUN,IDAHO LOVE,CIRCUS YOUTH,CHICKEN HELLFIGHTERS"
540,TYRONE ASHER,Bulgaria,Ruse,2005-07-11,3,13.97,13.01,11.81,"BEACH HEARTBREAKERS,FALCON VOLUME,MASK PEACH"
527,CORY MEEHAN,Belarus,Mogiljov,2005-07-11,3,11.97,11.64,9.64,"BERETS AGENT,STRAIGHT HOURS,CONTACT ANONYMOUS"
200,JEANNE LAWSON,Turkmenistan,Ashgabat,2005-07-11,3,8.97,7.64,7.64,"FACTORY DRAGON,REAP UNFAITHFUL,WASH HEAVENLY"
262,PATSY DAVIDSON,Ecuador,Portoviejo,2005-07-12,4,26.96,25.96,23.37,"MISSION ZOOLANDER,MADNESS ATTACKS,STEERS ARMAGEDDON,GRIT CLOCKWORK"
490,SAM MCDUFFIE,Colombia,Sogamoso,2005-07-12,3,16.97,15.64,9.55,"MOD SECRETARY,HEDWIG ALTER,MINDS TRUMAN"
598,WADE DELVALLE,Switzerland,Lausanne,2005-07-12,4,14.96,14.06,12.53,"TRACY CIDER,STAGE WORLD,FEUD FROGMEN,BRINGING HYSTERICAL"
57,EVELYN MORGAN,Liechtenstein,Vaduz,2005-07-12,3,11.97,10.64,10.64,"TOURIST PELICAN,DRACULA CRYSTAL,ALI FOREVER"
557,FELIX GAFFNEY,Lithuania,Vilnius,2005-07-12,4,10.96,10.46,10.46,"TAXI KICK,TUXEDO MILE,CONFIDENTIAL INTERVIEW,GRAPES FURY"
361,LAWRENCE LAWTON,Cameroon,Yaound,2005-07-12,3,7.97,7.41,6.34,"TRIP NEWTON,CURTAIN VIDEOTAPE,CABIN FLASH"
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-07-27,5,24.95,24.72,20.69,"FIDDLER LOST,SHANE DARKNESS,EYES DRIVING,SILENCE KANE,HARRY IDAHO"
352,ALBERT CROUSE,Cameroon,Bamenda,2005-07-27,4,22.96,22.59,22.2,"NASH CHOCOLAT,SAGEBRUSH CLUELESS,EXPRESS LONELY,CALENDAR GUNFIGHT"
257,MARSHA DOUGLAS,Mozambique,Beira,2005-07-27,5,18.95,17.75,15.62,"TRIP NEWTON,BALLOON HOMEWARD,LOUISIANA HARRY,GENTLEMEN STAGE,MOD SECRETARY"
245,COURTNEY DAY,South Korea,Uijongbu,2005-07-27,5,17.95,17.29,14.33,"WOMEN DORADO,DRIVER ANNIE,BACKLASH UNDEFEATED,ARMAGEDDON LOST,WINDOW SIDE"
38,MARTHA GONZALEZ,Moldova,Chisinau,2005-07-27,4,17.96,16.86,16.86,"JAWBREAKER BROOKLYN,LOSE INCH,SLACKER LIAISONS,SEA VIRGIN"
172,BERNICE WILLIS,Turkey,Batman,2005-07-27,4,16.96,15.86,4.99,"GORGEOUS BINGO,OZ LIAISONS,BASIC EASY,DARKNESS WAR"
410,CURTIS IRBY,Canada,Richmond Hill,2005-07-27,3,15.97,14.94,12.61,"CLUE GRAIL,PINOCCHIO SIMON,TRADING PINOCCHIO"
518,GABRIEL HARDER,Turkey,Sivas,2005-07-27,4,14.96,14.16,2.99,"JERICHO MULAN,HIGH ENCINO,HUNCHBACK IMPOSSIBLE,BLACKOUT PRIVATE"
284,SONIA GREGORY,Nigeria,Benin City,2005-07-27,3,14.97,13.87,2.73,"STAR OPERATION,CANDIDATE PERDITION,SLEEPING SUSPECTS"
190,YOLANDA WEAVER,Tanzania,Tabora,2005-07-27,3,13.97,13.54,12.14,"CASABLANCA SUPER,SENSIBILITY REAR,LEATHERNECKS DWARFS"
366,BRANDON HUEY,Turkey,Balikesir,2005-07-27,4,14.96,13.5,2.99,"SATURN NAME,GRAFFITI LOVE,WEDDING APOLLO,MAKER GABLES"
176,JUNE CARROLL,Algeria,Skikda,2005-07-27,4,13.96,13.1,10.9,"COLDBLOODED DARLING,SEA VIRGIN,HORN WORKING,POND SEATTLE"
239,MINNIE ROMERO,Indonesia,Ciomas,2005-07-27,3,12.97,12.24,2.59,"COMMAND DARLING,WEDDING APOLLO,UPRISING UPTOWN"
221,BESSIE MORRISON,Italy,Syrakusa,2005-07-27,3,12.97,12.01,6.85,"HOUSE DYNAMITE,HOBBIT ALIEN,LIFE TWISTED"
585,PERRY SWAFFORD,Argentina,Quilmes,2005-07-27,3,12.97,11.81,1.83,"NETWORK PEAK,SHAKESPEARE SADDLE,LEAGUE HELLFIGHTERS"
41,STEPHANIE MITCHELL,Armenia,Yerevan,2005-07-27,3,11.97,11.27,11.27,"PINOCCHIO SIMON,MISSION ZOOLANDER,PRIMARY GLASS"
292,MISTY LAMBERT,United Arab Emirates,Sharja,2005-07-27,3,11.97,10.87,9.44,"SLEEPY JAPANESE,HAMLET WISDOM,MANCHURIAN CURTAIN"
438,BARRY LOVELACE,Zambia,Kitwe,2005-07-27,3,11.97,10.81,10.81,"HILLS NEIGHBORS,PRINCESS GIANT,WRATH MILE"
157,DARLENE ROSE,North Korea,Pyongyang,2005-07-27,3,10.97,10.41,10.41,"REMEMBER DIARY,CLONES PINOCCHIO,SCALAWAG DUCK"
289,VIOLET RODRIQUEZ,Hong Kong,Kowloon and New Kowloon,2005-07-27,3,10.97,9.77,9.77,"ELIZABETH SHANE,JET NEIGHBORS,GRAPES FURY"
252,MATTIE HOFFMAN,United Kingdom,London,2005-07-27,3,6.97,6.77,1.29,"PITY BOUND,EMPIRE MALKOVICH,ACADEMY DINOSAUR"
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-28,5,29.95,29.42,23.67,"DRIFTER COMMANDMENTS,COMA HEAD,CLOSER BANG,WISDOM WORKER,SWEDEN SHINING"
3,LINDA WILLIAMS,Greece,Athenai,2005-07-28,4,24.96,24.06,23.46,"INTENTIONS EMPIRE,BIRDS PERDITION,BOOGIE AMELIE,DURHAM PANKY"
407,DALE RATCLIFF,South Africa,Rustenburg,2005-07-28,4,22.96,22.2,13.28,"WAIT CIDER,STAR OPERATION,CHICAGO NORTH,TORQUE BOUND"
577,CLIFTON MALCOLM,Taiwan,Tanshui,2005-07-28,3,21.97,21.17,10.33,"SECRETS PARADISE,AUTUMN CROW,SOUTH WAIT"
148,ELEANOR HUNT,Runion,Saint-Denis,2005-07-28,4,20.96,19.63,19.63,"ARMAGEDDON LOST,MADIGAN DORADO,LADY STAGE,QUILLS BULL"
30,MELISSA KING,Taiwan,Lungtan,2005-07-28,4,19.96,18.53,8.32,"RANGE MOONWALKER,MILLION ACE,EASY GLADIATOR,JACKET FRISCO"
41,STEPHANIE MITCHELL,Armenia,Yerevan,2005-07-28,4,17.96,16.86,16.86,"IMAGE PRINCESS,GRIT CLOCKWORK,GOODFELLAS SALUTE,SHREK LICENSE"
237,TANYA GILBERT,South Korea,Naju,2005-07-28,3,16.97,16.4,11.98,"WYOMING STORM,SUPER WYOMING,WON DARES"
347,RYAN SALISBURY,Latvia,Daugavpils,2005-07-28,4,15.96,15.13,14.13,"STORY SIDE,CANDLES GRAPES,IRON MOON,SEA VIRGIN"
475,PEDRO CHESTNUT,Ukraine,ostka,2005-07-28,3,15.97,14.71,9.12,"HEAD STRANGER,SPIRITED CASUALTIES,DYNAMITE TARZAN"
89,JULIA FLORES,Argentina,La Plata,2005-07-28,4,15.96,14.63,2.43,"FOOL MOCKINGBIRD,CANDLES GRAPES,MUSCLE BRIGHT,GASLIGHT CRUSADE"
372,STEVE MACKENZIE,Indonesia,Probolinggo,2005-07-28,3,15.97,14.57,3.7,"SUIT WALLS,BIRCH ANTITRUST,METROPOLIS COMA"
10,DOROTHY TAYLOR,Iran,Esfahan,2005-07-28,3,14.97,14.11,8.69,"ALLEY EVOLUTION,MASSACRE USUAL,STAGECOACH ARMAGEDDON"
499,MARC OUTLAW,Italy,Brindisi,2005-07-28,4,13.96,13.13,6.87,"ROOM ROMAN,WESTWARD SEABISCUIT,MODEL FISH,TENENBAUMS COMMAND"
360,RALPH MADRIGAL,Puerto Rico,Arecibo,2005-07-28,3,11.97,10.57,9.31,"DESTINY SATURDAY,SIERRA DIVIDE,DIVINE RESURRECTION"
36,KATHLEEN ADAMS,Iran,Arak,2005-07-28,3,8.97,8.31,2.69,"PIANIST OUTFIELD,INSIDER ARIZONA,SLING LUKE"
122,THELMA MURRAY,Peru,Lima,2005-07-28,3,8.97,7.57,4.98,"KARATE MOON,REAP UNFAITHFUL,SLIPPER FIDELITY"
513,DUANE TUBBS,Nauru,Yangor,2005-07-29,4,25.96,25.03,25.03,"ENEMY ODDS,SNATCH SLIPPER,STRANGERS GRAFFITI,CONFIDENTIAL INTERVIEW"
563,KEN PREWITT,Romania,Bucuresti,2005-07-29,4,22.96,21.7,20.47,"EXPENDABLE STALLION,TWISTED PIRATES,GO PURPLE,DUDE BLINDNESS"
280,TRACEY BARRETT,Nigeria,Owo,2005-07-29,5,20.95,20.55,4.49,"CLYDE THEORY,ALAMO VIDEOTAPE,QUEEN LUKE,CIRCUS YOUTH,DOOM DANCING"
441,MARIO CHEATHAM,Algeria,Batna,2005-07-29,5,18.95,17.89,15.23,"CHAINSAW UPTOWN,CURTAIN VIDEOTAPE,GHOST GROUNDHOG,GODFATHER DIARY,BONNIE HOLOCAUST"
148,ELEANOR HUNT,Runion,Saint-Denis,2005-07-29,4,18.96,16.93,16.93,"AFFAIR PREJUDICE,STRICTLY SCARFACE,SOLDIERS EVOLUTION,PINOCCHIO SIMON"
98,LILLIAN GRIFFIN,United Arab Emirates,al-Ayn,2005-07-29,3,16.97,16.27,13.28,"FLASH WARS,THIN SAGEBRUSH,PILOT HOOSIERS"
340,PATRICK NEWSOM,Vietnam,Hanoi,2005-07-29,4,15.96,15.56,8.48,"MILLION ACE,DECEIVER BETRAYED,IGBY MAKER,TEMPLE ATTRACTION"
477,DAN PAINE,United Kingdom,Stockport,2005-07-29,3,15.97,14.84,8.29,"DOGMA FAMILY,ALADDIN CALENDAR,EXTRAORDINARY CONQUERER"
326,JOSE ANDREW,Saint Vincent and the Grenadines,Kingstown,2005-07-29,3,13.97,13.11,13.11,"BEACH HEARTBREAKERS,STRANGER STRANGERS,VERTIGO NORTHWEST"
237,TANYA GILBERT,South Korea,Naju,2005-07-29,3,13.97,12.84,8.08,"ISLAND EXORCIST,BINGO TALENTED,MINORITY KISS"
157,DARLENE ROSE,North Korea,Pyongyang,2005-07-29,5,12.95,11.99,11.99,"COAST RAINBOW,WATCH TRACY,SECRET GROUNDHOG,MALLRATS UNITED,FORWARD TEMPLE"
257,MARSHA DOUGLAS,Mozambique,Beira,2005-07-29,3,12.97,11.01,8.31,"RIDER CADDYSHACK,BADMAN DAWN,HEARTBREAKERS BRIGHT"
320,ANTHONY SCHWAB,American Samoa,Tafuna,2005-07-29,3,10.97,10.04,10.04,"GAMES BOWFINGER,OUTBREAK DIVINE,SCARFACE BANG"
42,CAROLYN PEREZ,Thailand,Pak Kret,2005-07-29,3,10.97,9.64,6.71,"BADMAN DAWN,DREAM PICKUP"
265,JENNIE TERRY,Czech Republic,Olomouc,2005-07-29,3,9.97,8.04,8.04,"COMA HEAD,BLUES INSTINCT,DOWNHILL ENOUGH"
303,WILLIAM SATTERFIELD,Yemen,Sanaa,2005-07-29,3,8.97,8.04,2.85,"VICTORY ACADEMY,LIAISONS SWEET,LAWRENCE LOVE"
439,ALEXANDER FENNELL,Italy,Bergamo,2005-07-29,3,8.97,8.01,0.55,"UPTOWN YOUNG,WASTELAND DIVINE,DIVORCE SHINING"
