customer_id,customer_first_name,customer_last_name,staff_id,staff_first_name,staff_last_name,payment_count,total_amount,avg_payment_amount,payments_over_8
439,ALEXANDER,FENNELL,2,Jon,Stephens,16,79.84,4.99,1
591,KENT,ARSENAULT,1,Mike,Hillyer,16,79.84,4.99,2
181,ANA,BRADLEY,2,Jon,Stephens,17,79.83,4.7,0
264,GWENDOLYN,MAY,1,Mike,Hillyer,17,79.83,4.7,2
342,HAROLD,MARTINO,2,Jon,Stephens,17,79.83,4.7,2
346,ARTHUR,SIMPKINS,2,Jon,Stephens,17,79.83,4.7,2
360,RALPH,MADRIGAL,2,Jon,Stephens,17,79.83,4.7,1
314,GEORGE,LINTON,2,Jon,Stephens,18,79.82,4.43,0
51,ALICE,STEWART,1,Mike,Hillyer,20,79.8,3.99,1
376,RANDY,GAITHER,1,Mike,Hillyer,20,79.8,3.99,1
265,JENNIE,TERRY,2,Jon,Stephens,15,78.85,5.26,1
137,RHONDA,KENNEDY,2,Jon,Stephens,16,78.84,4.93,0
172,BERNICE,WILLIS,2,Jon,Stephens,16,78.84,4.93,1
416,JEFFERY,PINSON,1,Mike,Hillyer,17,78.83,4.64,1
404,STANLEY,SCROGGINS,1,Mike,Hillyer,18,78.82,4.38,1
396,EARL,SHANKS,2,Jon,Stephens,19,78.81,4.15,0
147,JOANNE,ROBERTSON,2,Jon,Stephens,20,78.8,3.94,1
520,MITCHELL,WESTMORELAND,1,Mike,Hillyer,20,78.8,3.94,1
21,MICHELLE,CLARK,1,Mike,Hillyer,15,77.85,5.19,3
584,SALVADOR,TEEL,2,Jon,Stephens,16,77.84,4.87,1
179,DANA,HART,1,Mike,Hillyer,17,77.83,4.58,1
587,SERGIO,STANFIELD,2,Jon,Stephens,17,77.83,4.58,0
80,MARILYN,ROSS,1,Mike,Hillyer,15,76.85,5.12,2
13,KAREN,JACKSON,1,Mike,Hillyer,17,76.83,4.52,3
206,TERRI,VASQUEZ,2,Jon,Stephens,17,76.83,4.52,2
119,SHERRY,MARSHALL,2,Jon,Stephens,18,76.82,4.27,1
277,OLGA,JIMENEZ,2,Jon,Stephens,18,76.82,4.27,0
388,CRAIG,MORRELL,2,Jon,Stephens,19,76.81,4.04,0
508,MILTON,HOWLAND,2,Jon,Stephens,14,75.86,5.42,2
506,LESLIE,SEWARD,2,Jon,Stephens,17,75.83,4.46,2
331,ERIC,ROBERT,1,Mike,Hillyer,18,75.82,4.21,1
371,BILLY,POULIN,1,Mike,Hillyer,19,75.81,3.99,2
29,ANGELA,HERNANDEZ,1,Mike,Hillyer,20,75.8,3.79,0
336,JOSHUA,MARK,2,Jon,Stephens,20,75.8,3.79,1
22,LAURA,RODRIGUEZ,1,Mike,Hillyer,14,74.86,5.35,0
459,TOMMY,COLLAZO,2,Jon,Stephens,15,74.85,4.99,3
536,FERNANDO,CHURCHILL,1,Mike,Hillyer,15,74.85,4.99,2
146,JAMIE,RICE,1,Mike,Hillyer,16,74.84,4.68,0
436,TROY,QUIGLEY,2,Jon,Stephens,16,74.84,4.68,2
368,HARRY,ARCE,1,Mike,Hillyer,17,74.83,4.4,1
108,TRACY,COLE,2,Jon,Stephens,14,73.86,5.28,1
274,NAOMI,JENNINGS,2,Jon,Stephens,15,73.85,4.92,2
513,DUANE,TUBBS,2,Jon,Stephens,15,73.85,4.92,1
122,THELMA,MURRAY,2,Jon,Stephens,16,73.84,4.62,0
540,TYRONE,ASHER,2,Jon,Stephens,16,73.84,4.62,1
354,JUSTIN,NGO,1,Mike,Hillyer,17,73.83,4.34,0
200,JEANNE,LAWSON,1,Mike,Hillyer,14,72.86,5.2,2
112,ROSA,REYNOLDS,2,Jon,Stephens,15,72.85,4.86,1
116,VICTORIA,GIBSON,2,Jon,Stephens,15,72.85,4.86,1
263,HILDA,HOPKINS,2,Jon,Stephens,15,72.85,4.86,2
448,MIGUEL,BETANCOURT,2,Jon,Stephens,15,72.85,4.86,2
31,BRENDA,WRIGHT,2,Jon,Stephens,16,72.84,4.55,1
71,KATHY,JAMES,1,Mike,Hillyer,16,72.84,4.55,1
163,CATHY,SPENCER,2,Jon,Stephens,16,72.84,4.55,0
390,SHAWN,HEATON,1,Mike,Hillyer,16,72.84,4.55,0
499,MARC,OUTLAW,1,Mike,Hillyer,16,72.84,4.55,1
253,TERRY,CARLSON,2,Jon,Stephens,17,72.83,4.28,0
267,MARGIE,WADE,1,Mike,Hillyer,17,72.83,4.28,0
145,LUCILLE,HOLMES,2,Jon,Stephens,18,72.82,4.05,1
287,BECKY,MILES,2,Jon,Stephens,18,72.82,4.05,1
515,ANDRE,RAPP,2,Jon,Stephens,19,72.81,3.83,0
389,ALAN,KAHN,1,Mike,Hillyer,15,71.85,4.79,1
168,REGINA,BERRY,1,Mike,Hillyer,16,71.84,4.49,2
563,KEN,PREWITT,2,Jon,Stephens,17,71.83,4.23,1
12,NANCY,THOMAS,2,Jon,Stephens,18,71.82,3.99,1
438,BARRY,LOVELACE,2,Jon,Stephens,18,71.82,3.99,1
3,LINDA,WILLIAMS,2,Jon,Stephens,12,70.88,5.91,2
421,LEE,HAWKS,1,Mike,Hillyer,14,70.86,5.06,1
484,ROBERTO,VU,2,Jon,Stephens,14,70.86,5.06,2
491,RICK,MATTOX,2,Jon,Stephens,14,70.86,5.06,0
579,DARYL,LARUE,2,Jon,Stephens,14,70.86,5.06,2
295,DAISY,BATES,2,Jon,Stephens,16,70.84,4.43,2
363,ROY,WHITING,2,Jon,Stephens,16,70.84,4.43,0
566,CASEY,MENA,2,Jon,Stephens,16,70.84,4.43,1
592,TERRANCE,ROUSH,1,Mike,Hillyer,16,70.84,4.43,3
197,SUE,PETERS,1,Mike,Hillyer,17,70.83,4.17,3
236,MARCIA,DEAN,1,Mike,Hillyer,18,70.82,3.93,0
535,JAVIER,ELROD,1,Mike,Hillyer,18,70.82,3.93,0
87,WANDA,PATTERSON,2,Jon,Stephens,12,69.88,5.82,3
92,TINA,SIMMONS,2,Jon,Stephens,12,69.88,5.82,1
220,CHARLENE,ALVAREZ,2,Jon,Stephens,14,69.86,4.99,3
57,EVELYN,MORGAN,2,Jon,Stephens,15,69.85,4.66,2
204,ROSEMARY,SCHMIDT,1,Mike,Hillyer,15,69.85,4.66,0
390,SHAWN,HEATON,2,Jon,Stephens,15,69.85,4.66,1
400,BRYAN,HARDISON,2,Jon,Stephens,15,69.85,4.66,0
513,DUANE,TUBBS,1,Mike,Hillyer,15,69.85,4.66,0
7,MARIA,MILLER,1,Mike,Hillyer,16,69.84,4.37,2
105,DAWN,SULLIVAN,2,Jon,Stephens,16,69.84,4.37,1
502,BRETT,CORNWELL,1,Mike,Hillyer,17,69.83,4.11,2
559,EVERETT,BANDA,1,Mike,Hillyer,17,69.83,4.11,1
102,CRYSTAL,FORD,2,Jon,Stephens,18,69.82,3.88,1
128,MARJORIE,TUCKER,2,Jon,Stephens,18,69.82,3.88,0
196,ALMA,AUSTIN,2,Jon,Stephens,19,69.81,3.67,1
5,ELIZABETH,BROWN,2,Jon,Stephens,20,69.8,3.49,0
138,HAZEL,WARREN,1,Mike,Hillyer,21,69.79,3.32,1
363,ROY,WHITING,1,Mike,Hillyer,12,68.88,5.74,2
59,CHERYL,MURPHY,1,Mike,Hillyer,14,68.86,4.92,1
426,BRADLEY,MOTLEY,1,Mike,Hillyer,14,68.86,4.92,1
575,ISAAC,OGLESBY,2,Jon,Stephens,15,68.85,4.59,2
15,HELEN,HARRIS,1,Mike,Hillyer,16,68.84,4.3,0
214,KRISTIN,JOHNSTON,2,Jon,Stephens,16,68.84,4.3,1
245,COURTNEY,DAY,1,Mike,Hillyer,16,68.84,4.3,1
273,PRISCILLA,LOWE,2,Jon,Stephens,16,68.84,4.3,0
306,CHARLES,KOWALSKI,2,Jon,Stephens,16,68.84,4.3,0
468,TIM,CARY,1,Mike,Hillyer,17,68.83,4.05,3
529,ERIK,GUILLEN,2,Jon,Stephens,17,68.83,4.05,2
230,JOY,GEORGE,2,Jon,Stephens,18,68.82,3.82,1
393,PHILIP,CAUSEY,2,Jon,Stephens,18,68.82,3.82,1
2,PATRICIA,JOHNSON,2,Jon,Stephens,12,67.88,5.66,1
583,MARSHALL,THORN,2,Jon,Stephens,12,67.88,5.66,1
41,STEPHANIE,MITCHELL,2,Jon,Stephens,13,67.87,5.22,1
259,LENA,JENSEN,1,Mike,Hillyer,13,67.87,5.22,1
470,GORDON,ALLARD,2,Jon,Stephens,13,67.87,5.22,2
532,NEIL,RENNER,1,Mike,Hillyer,13,67.87,5.22,1
594,EDUARDO,HIATT,1,Mike,Hillyer,13,67.87,5.22,1
242,GLENDA,FRAZIER,1,Mike,Hillyer,14,67.86,4.85,1
280,TRACEY,BARRETT,1,Mike,Hillyer,14,67.86,4.85,1
284,SONIA,GREGORY,1,Mike,Hillyer,14,67.86,4.85,0
54,TERESA,ROGERS,1,Mike,Hillyer,15,67.85,4.52,1
251,VICKIE,BREWER,2,Jon,Stephens,15,67.85,4.52,1
308,THOMAS,GRIGSBY,1,Mike,Hillyer,15,67.85,4.52,1
467,ALVIN,DELOACH,1,Mike,Hillyer,15,67.85,4.52,2
519,RON,DELUCA,2,Jon,Stephens,15,67.85,4.52,1
20,SHARON,ROBINSON,2,Jon,Stephens,16,67.84,4.24,0
171,DOLORES,WAGNER,2,Jon,Stephens,16,67.84,4.24,1
299,JAMES,GANNON,1,Mike,Hillyer,16,67.84,4.24,1
349,JOE,GILLILAND,1,Mike,Hillyer,16,67.84,4.24,1
560,JORDAN,ARCHULETA,1,Mike,Hillyer,16,67.84,4.24,0
260,CHRISTY,VARGAS,1,Mike,Hillyer,17,67.83,3.99,1
576,MORRIS,MCCARTER,1,Mike,Hillyer,17,67.83,3.99,0
406,NATHAN,RUNYON,2,Jon,Stephens,19,67.81,3.57,0
487,HECTOR,POINDEXTER,1,Mike,Hillyer,12,66.88,5.57,1
467,ALVIN,DELOACH,2,Jon,Stephens,13,66.87,5.14,2
33,ANNA,HILL,1,Mike,Hillyer,14,66.86,4.78,1
209,TONYA,CHAPMAN,1,Mike,Hillyer,15,66.85,4.46,1
226,MAUREEN,LITTLE,1,Mike,Hillyer,15,66.85,4.46,1
276,BRANDY,GRAVES,2,Jon,Stephens,15,66.85,4.46,0
373,LOUIS,LEONE,2,Jon,Stephens,15,66.85,4.46,1
595,TERRENCE,GUNDERSON,1,Mike,Hillyer,16,66.84,4.18,1
25,DEBORAH,WALKER,1,Mike,Hillyer,17,66.83,3.93,1
30,MELISSA,KING,1,Mike,Hillyer,18,66.82,3.71,1
111,CARMEN,OWENS,2,Jon,Stephens,18,66.82,3.71,1
188,MELANIE,ARMSTRONG,2,Jon,Stephens,18,66.82,3.71,0
372,STEVE,MACKENZIE,1,Mike,Hillyer,19,66.81,3.52,0
49,JOYCE,EDWARDS,2,Jon,Stephens,12,65.88,5.49,3
346,ARTHUR,SIMPKINS,1,Mike,Hillyer,13,65.87,5.07,2
571,JOHNNIE,CHISHOLM,1,Mike,Hillyer,13,65.87,5.07,2
234,CLAUDIA,FULLER,2,Jon,Stephens,14,65.86,4.7,0
410,CURTIS,IRBY,2,Jon,Stephens,14,65.86,4.7,1
488,SHANE,MILLARD,2,Jon,Stephens,14,65.86,4.7,0
27,SHIRLEY,ALLEN,1,Mike,Hillyer,15,65.85,4.39,1
121,JOSEPHINE,GOMEZ,2,Jon,Stephens,15,65.85,4.39,3
266,NORA,HERRERA,1,Mike,Hillyer,15,65.85,4.39,1
312,MARK,RINEHART,1,Mike,Hillyer,15,65.85,4.39,0
332,STEPHEN,QUALLS,2,Jon,Stephens,15,65.85,4.39,2
334,RAYMOND,MCWHORTER,1,Mike,Hillyer,15,65.85,4.39,0
21,MICHELLE,CLARK,2,Jon,Stephens,16,65.84,4.12,1
120,SYLVIA,ORTIZ,2,Jon,Stephens,16,65.84,4.12,2
444,MARCUS,HIDALGO,2,Jon,Stephens,16,65.84,4.12,0
107,FLORENCE,WOODS,2,Jon,Stephens,17,65.83,3.87,0
38,MARTHA,GONZALEZ,2,Jon,Stephens,18,65.82,3.66,0
141,DEBBIE,REYES,1,Mike,Hillyer,18,65.82,3.66,0
247,STELLA,MORENO,1,Mike,Hillyer,13,64.87,4.99,0
433,DON,BONE,1,Mike,Hillyer,13,64.87,4.99,1
170,BEATRICE,ARNOLD,2,Jon,Stephens,14,64.86,4.63,2
201,VICKI,FIELDS,2,Jon,Stephens,14,64.86,4.63,1
368,HARRY,ARCE,2,Jon,Stephens,14,64.86,4.63,3
379,CARLOS,COUGHLIN,1,Mike,Hillyer,14,64.86,4.63,1
360,RALPH,MADRIGAL,1,Mike,Hillyer,15,64.85,4.32,0
475,PEDRO,CHESTNUT,1,Mike,Hillyer,15,64.85,4.32,0
531,JAMIE,WAUGH,2,Jon,Stephens,15,64.85,4.32,1
129,CARRIE,PORTER,2,Jon,Stephens,16,64.84,4.05,1
204,ROSEMARY,SCHMIDT,2,Jon,Stephens,16,64.84,4.05,1
114,GRACE,ELLIS,1,Mike,Hillyer,17,64.83,3.81,1
340,PATRICK,NEWSOM,1,Mike,Hillyer,17,64.83,3.81,2
472,GREG,ROBINS,2,Jon,Stephens,11,63.89,5.81,1
337,JERRY,JORDON,2,Jon,Stephens,12,63.88,5.32,1
106,CONNIE,WALLACE,1,Mike,Hillyer,13,63.87,4.91,1
120,SYLVIA,ORTIZ,1,Mike,Hillyer,13,63.87,4.91,1
244,VIOLA,HANSON,1,Mike,Hillyer,13,63.87,4.91,2
5,ELIZABETH,BROWN,1,Mike,Hillyer,14,63.86,4.56,2
86,JACQUELINE,LONG,1,Mike,Hillyer,14,63.86,4.56,3
238,NELLIE,GARRETT,1,Mike,Hillyer,14,63.86,4.56,2
316,STEVEN,CURLEY,2,Jon,Stephens,14,63.86,4.56,1
414,VINCENT,RALSTON,1,Mike,Hillyer,14,63.86,4.56,2
417,TRAVIS,ESTEP,1,Mike,Hillyer,14,63.86,4.56,1
589,TRACY,HERRMANN,2,Jon,Stephens,14,63.86,4.56,3
456,RONNIE,RICKETTS,1,Mike,Hillyer,15,63.85,4.26,1
471,DEAN,SAUER,1,Mike,Hillyer,15,63.85,4.26,1
564,BOB,PFEIFFER,2,Jon,Stephens,15,63.85,4.26,2
157,DARLENE,ROSE,1,Mike,Hillyer,16,63.84,3.99,0
262,PATSY,DAVIDSON,1,Mike,Hillyer,16,63.84,3.99,0
158,VERONICA,STONE,1,Mike,Hillyer,18,63.82,3.55,1
275,CAROLE,BARNETT,2,Jon,Stephens,18,63.82,3.55,1
381,BOBBY,BOUDREAU,2,Jon,Stephens,20,63.8,3.19,1
65,ROSE,HOWARD,1,Mike,Hillyer,11,62.89,5.72,1
349,JOE,GILLILAND,2,Jon,Stephens,11,62.89,5.72,1
302,MICHAEL,SILVERMAN,1,Mike,Hillyer,12,62.88,5.24,1
356,GERALD,FULTZ,2,Jon,Stephens,12,62.88,5.24,0
453,CALVIN,MARTEL,2,Jon,Stephens,12,62.88,5.24,1
466,LEO,EBERT,1,Mike,Hillyer,12,62.88,5.24,0
99,EMILY,DIAZ,2,Jon,Stephens,13,62.87,4.84,1
119,SHERRY,MARSHALL,1,Mike,Hillyer,13,62.87,4.84,0
348,ROGER,QUINTANILLA,1,Mike,Hillyer,13,62.87,4.84,2
89,JULIA,FLORES,2,Jon,Stephens,14,62.86,4.49,0
149,VALERIE,BLACK,1,Mike,Hillyer,14,62.86,4.49,1
155,GAIL,KNIGHT,1,Mike,Hillyer,14,62.86,4.49,1
343,DOUGLAS,GRAF,2,Jon,Stephens,14,62.86,4.49,1
352,ALBERT,CROUSE,1,Mike,Hillyer,14,62.86,4.49,0
472,GREG,ROBINS,1,Mike,Hillyer,14,62.86,4.49,0
510,BEN,EASTER,2,Jon,Stephens,14,62.86,4.49,2
87,WANDA,PATTERSON,1,Mike,Hillyer,15,62.85,4.19,1
197,SUE,PETERS,2,Jon,Stephens,15,62.85,4.19,1
215,JESSIE,BANKS,2,Jon,Stephens,15,62.85,4.19,2
294,SHELLY,WATTS,2,Jon,Stephens,15,62.85,4.19,0
374,JEREMY,HURTADO,2,Jon,Stephens,15,62.85,4.19,1
74,DENISE,KELLY,2,Jon,Stephens,16,62.84,3.93,0
132,ESTHER,CRAWFORD,1,Mike,Hillyer,16,62.84,3.93,0
451,JIM,REA,1,Mike,Hillyer,16,62.84,3.93,1
498,GENE,SANBORN,1,Mike,Hillyer,16,62.84,3.93,0
565,JAIME,NETTLES,1,Mike,Hillyer,16,62.84,3.93,1
272,KAY,CALDWELL,2,Jon,Stephens,11,61.89,5.63,2
203,TARA,RYAN,2,Jon,Stephens,12,61.88,5.16,1
269,CASSANDRA,WALTERS,1,Mike,Hillyer,12,61.88,5.16,1
311,PAUL,TROUT,2,Jon,Stephens,12,61.88,5.16,2
512,CECIL,VINES,2,Jon,Stephens,12,61.88,5.16,2
550,GUY,BROWNLEE,2,Jon,Stephens,12,61.88,5.16,2
569,DAVE,GARDINER,1,Mike,Hillyer,12,61.88,5.16,1
141,DEBBIE,REYES,2,Jon,Stephens,13,61.87,4.76,0
322,JASON,MORRISSEY,1,Mike,Hillyer,13,61.87,4.76,2
576,MORRIS,MCCARTER,2,Jon,Stephens,13,61.87,4.76,2
15,HELEN,HARRIS,2,Jon,Stephens,14,61.86,4.42,2
29,ANGELA,HERNANDEZ,2,Jon,Stephens,14,61.86,4.42,1
166,LYNN,PAYNE,2,Jon,Stephens,14,61.86,4.42,0
267,MARGIE,WADE,2,Jon,Stephens,14,61.86,4.42,1
296,RAMONA,HALE,2,Jon,Stephens,14,61.86,4.42,0
341,PETER,MENARD,2,Jon,Stephens,14,61.86,4.42,1
447,CLIFFORD,BOWENS,1,Mike,Hillyer,14,61.86,4.42,1
493,BRENT,HARKINS,1,Mike,Hillyer,14,61.86,4.42,0
518,GABRIEL,HARDER,2,Jon,Stephens,14,61.86,4.42,0
89,JULIA,FLORES,1,Mike,Hillyer,15,61.85,4.12,2
317,EDWARD,BAUGH,1,Mike,Hillyer,15,61.85,4.12,2
38,MARTHA,GONZALEZ,1,Mike,Hillyer,16,61.84,3.87,0
408,MANUEL,MURRELL,2,Jon,Stephens,16,61.84,3.87,0
446,THEODORE,CULP,2,Jon,Stephens,16,61.84,3.87,2
469,WESLEY,BULL,2,Jon,Stephens,16,61.84,3.87,0
254,MAXINE,SILVA,1,Mike,Hillyer,17,61.83,3.64,0
424,KYLE,SPURLOCK,2,Jon,Stephens,18,61.82,3.43,1
7,MARIA,MILLER,2,Jon,Stephens,12,60.88,5.07,0
63,ASHLEY,RICHARDSON,1,Mike,Hillyer,12,60.88,5.07,1
423,ALFRED,CASILLAS,2,Jon,Stephens,12,60.88,5.07,2
477,DAN,PAINE,2,Jon,Stephens,12,60.88,5.07,2
495,CHARLIE,BESS,1,Mike,Hillyer,12,60.88,5.07,1
39,DEBRA,NELSON,1,Mike,Hillyer,13,60.87,4.68,1
58,JEAN,BELL,1,Mike,Hillyer,13,60.87,4.68,1
88,BONNIE,HUGHES,1,Mike,Hillyer,13,60.87,4.68,1
212,WILMA,RICHARDS,2,Jon,Stephens,13,60.87,4.68,2
277,OLGA,JIMENEZ,1,Mike,Hillyer,13,60.87,4.68,1
322,JASON,MORRISSEY,2,Jon,Stephens,13,60.87,4.68,2
339,WALTER,PERRYMAN,2,Jon,Stephens,13,60.87,4.68,0
427,JESUS,MCCARTNEY,1,Mike,Hillyer,13,60.87,4.68,0
502,BRETT,CORNWELL,2,Jon,Stephens,13,60.87,4.68,1
113,CINDY,FISHER,2,Jon,Stephens,14,60.86,4.35,0
497,GILBERT,SLEDGE,1,Mike,Hillyer,14,60.86,4.35,1
504,NATHANIEL,ADAM,2,Jon,Stephens,14,60.86,4.35,1
1,MARY,SMITH,1,Mike,Hillyer,15,60.85,4.06,0
242,GLENDA,FRAZIER,2,Jon,Stephens,15,60.85,4.06,1
320,ANTHONY,SCHWAB,2,Jon,Stephens,15,60.85,4.06,0
339,WALTER,PERRYMAN,1,Mike,Hillyer,16,60.84,3.8,0
457,BILL,GAVIN,1,Mike,Hillyer,16,60.84,3.8,0
527,CORY,MEEHAN,1,Mike,Hillyer,16,60.84,3.8,1
577,CLIFTON,MALCOLM,2,Jon,Stephens,16,60.84,3.8,1
321,KEVIN,SCHULER,2,Jon,Stephens,10,59.9,5.99,1
82,KATHRYN,COLEMAN,1,Mike,Hillyer,11,59.89,5.44,3
175,ANNETTE,OLSON,2,Jon,Stephens,11,59.89,5.44,0
429,FREDERICK,ISBELL,2,Jon,Stephens,11,59.89,5.44,0
3,LINDA,WILLIAMS,1,Mike,Hillyer,12,59.88,4.99,2
102,CRYSTAL,FORD,1,Mike,Hillyer,12,59.88,4.99,1
109,EDNA,WEST,2,Jon,Stephens,13,59.87,4.61,0
140,EVA,RAMOS,1,Mike,Hillyer,13,59.87,4.61,1
150,DANIELLE,DANIELS,2,Jon,Stephens,13,59.87,4.61,2
166,LYNN,PAYNE,1,Mike,Hillyer,13,59.87,4.61,1
180,STACY,CUNNINGHAM,1,Mike,Hillyer,13,59.87,4.61,3
185,ROBERTA,HARPER,1,Mike,Hillyer,13,59.87,4.61,2
362,NICHOLAS,BARFIELD,2,Jon,Stephens,13,59.87,4.61,1
437,RANDALL,NEUMANN,2,Jon,Stephens,13,59.87,4.61,1
445,MICHEAL,FORMAN,1,Mike,Hillyer,13,59.87,4.61,1
139,AMBER,DIXON,1,Mike,Hillyer,14,59.86,4.28,1
282,JENNY,CASTRO,2,Jon,Stephens,14,59.86,4.28,2
423,ALFRED,CASILLAS,1,Mike,Hillyer,14,59.86,4.28,2
486,GLEN,TALBERT,2,Jon,Stephens,14,59.86,4.28,1
582,ANDY,VANHORN,1,Mike,Hillyer,14,59.86,4.28,1
23,SARAH,LEWIS,2,Jon,Stephens,15,59.85,3.99,1
72,THERESA,WATSON,2,Jon,Stephens,16,59.84,3.74,0
90,RUBY,WASHINGTON,2,Jon,Stephens,16,59.84,3.74,1
154,MICHELE,GRANT,1,Mike,Hillyer,16,59.84,3.74,0
