customer_id,customer_name,staff_id,staff_name,transaction_count,total_amount,average_payment,risk_flag
594,EDUARDO HIATT,1,Mike Hillyer,9,47.91,5.32,0
300,JOHN FARNSWORTH,1,Mike Hillyer,10,47.9,4.79,0
469,WESLEY BULL,2,Jon Stephens,11,47.89,4.35,0
526,KARL SEAL,2,Jon Stephens,11,47.89,4.35,0
479,ZACHARY HITE,2,Jon Stephens,7,46.93,6.7,0
264,GWENDOLYN MAY,1,Mike Hillyer,9,46.91,5.21,0
50,DIANE COLLINS,2,Jon Stephens,10,46.9,4.69,0
63,ASHLEY RICHARDSON,2,Jon Stephens,10,46.9,4.69,0
591,KENT ARSENAULT,1,Mike Hillyer,10,46.9,4.69,0
89,JULIA FLORES,2,Jon Stephens,11,46.89,4.26,0
404,STANLEY SCROGGINS,1,Mike Hillyer,11,46.89,4.26,0
92,TINA SIMMONS,2,Jon Stephens,7,45.93,6.56,0
103,GLADYS HAMILTON,2,Jon Stephens,8,45.92,5.74,0
295,DAISY BATES,1,Mike Hillyer,8,45.92,5.74,0
309,CHRISTOPHER GRECO,2,Jon Stephens,8,45.92,5.74,0
482,MAURICE CRAWLEY,2,Jon Stephens,8,45.92,5.74,0
131,MONICA HICKS,1,Mike Hillyer,10,45.9,4.59,0
312,MARK RINEHART,1,Mike Hillyer,10,45.9,4.59,0
373,LOUIS LEONE,1,Mike Hillyer,10,45.9,4.59,0
467,ALVIN DELOACH,2,Jon Stephens,8,44.92,5.62,0
579,DARYL LARUE,2,Jon Stephens,8,44.92,5.62,0
71,KATHY JAMES,1,Mike Hillyer,10,44.9,4.49,0
563,KEN PREWITT,2,Jon Stephens,10,44.9,4.49,0
592,TERRANCE ROUSH,1,Mike Hillyer,10,44.9,4.49,0
573,BYRON BOX,2,Jon Stephens,8,43.92,5.49,0
331,ERIC ROBERT,1,Mike Hillyer,9,43.91,4.88,0
128,MARJORIE TUCKER,2,Jon Stephens,10,43.9,4.39,0
323,MATTHEW MAHAN,2,Jon Stephens,10,43.9,4.39,0
187,BRITTANY RILEY,2,Jon Stephens,7,42.93,6.13,0
477,DAN PAINE,2,Jon Stephens,7,42.93,6.13,0
286,VELMA LUCAS,2,Jon Stephens,8,42.92,5.37,0
506,LESLIE SEWARD,2,Jon Stephens,8,42.92,5.37,0
102,CRYSTAL FORD,1,Mike Hillyer,9,42.91,4.77,0
196,ALMA AUSTIN,2,Jon Stephens,10,42.9,4.29,0
219,WILLIE HOWELL,2,Jon Stephens,10,42.9,4.29,0
314,GEORGE LINTON,2,Jon Stephens,10,42.9,4.29,0
390,SHAWN HEATON,1,Mike Hillyer,10,42.9,4.29,0
406,NATHAN RUNYON,2,Jon Stephens,12,42.88,3.57,0
426,BRADLEY MOTLEY,1,Mike Hillyer,7,41.93,5.99,0
245,COURTNEY DAY,1,Mike Hillyer,8,41.92,5.24,0
273,PRISCILLA LOWE,1,Mike Hillyer,8,41.92,5.24,0
585,PERRY SWAFFORD,2,Jon Stephens,8,41.92,5.24,0
125,ETHEL WEBB,1,Mike Hillyer,9,41.91,4.66,0
301,ROBERT BAUGHMAN,2,Jon Stephens,9,41.91,4.66,0
336,JOSHUA MARK,2,Jon Stephens,9,41.91,4.66,0
393,PHILIP CAUSEY,2,Jon Stephens,9,41.91,4.66,0
475,PEDRO CHESTNUT,1,Mike Hillyer,9,41.91,4.66,0
502,BRETT CORNWELL,2,Jon Stephens,9,41.91,4.66,0
536,FERNANDO CHURCHILL,1,Mike Hillyer,9,41.91,4.66,0
26,JESSICA HALL,1,Mike Hillyer,10,41.9,4.19,0
168,REGINA BERRY,2,Jon Stephens,10,41.9,4.19,0
295,DAISY BATES,2,Jon Stephens,10,41.9,4.19,0
333,ANDREW PURDY,2,Jon Stephens,10,41.9,4.19,0
363,ROY WHITING,2,Jon Stephens,10,41.9,4.19,0
366,BRANDON HUEY,2,Jon Stephens,10,41.9,4.19,0
531,JAMIE WAUGH,2,Jon Stephens,10,41.9,4.19,0
102,CRYSTAL FORD,2,Jon Stephens,12,41.88,3.49,0
372,STEVE MACKENZIE,2,Jon Stephens,6,40.94,6.82,0
101,PEGGY MYERS,2,Jon Stephens,8,40.92,5.12,0
105,DAWN SULLIVAN,2,Jon Stephens,8,40.92,5.12,0
149,VALERIE BLACK,1,Mike Hillyer,8,40.92,5.12,0
282,JENNY CASTRO,2,Jon Stephens,9,40.91,4.55,0
366,BRANDON HUEY,1,Mike Hillyer,9,40.91,4.55,0
348,ROGER QUINTANILLA,2,Jon Stephens,10,40.9,4.09,0
558,JIMMIE EGGLESTON,1,Mike Hillyer,11,40.89,3.72,0
3,LINDA WILLIAMS,2,Jon Stephens,6,39.94,6.66,0
84,SARA PERRY,2,Jon Stephens,7,39.93,5.7,0
86,JACQUELINE LONG,1,Mike Hillyer,7,39.93,5.7,0
148,ELEANOR HUNT,2,Jon Stephens,7,39.93,5.7,0
473,JORGE OLIVARES,2,Jon Stephens,7,39.93,5.7,0
32,AMY LOPEZ,1,Mike Hillyer,9,39.91,4.43,0
99,EMILY DIAZ,2,Jon Stephens,9,39.91,4.43,0
172,BERNICE WILLIS,1,Mike Hillyer,9,39.91,4.43,0
232,CONSTANCE REID,2,Jon Stephens,9,39.91,4.43,0
581,VIRGIL WOFFORD,1,Mike Hillyer,9,39.91,4.43,0
30,MELISSA KING,2,Jon Stephens,10,39.9,3.99,0
107,FLORENCE WOODS,2,Jon Stephens,10,39.9,3.99,0
210,ELLA OLIVER,2,Jon Stephens,10,39.9,3.99,0
335,GREGORY MAULDIN,1,Mike Hillyer,10,39.9,3.99,0
425,FRANCIS SIKES,1,Mike Hillyer,10,39.9,3.99,0
481,HERMAN DEVORE,1,Mike Hillyer,10,39.9,3.99,0
518,GABRIEL HARDER,2,Jon Stephens,7,38.93,5.56,0
73,BEVERLY BROOKS,1,Mike Hillyer,8,38.92,4.87,0
137,RHONDA KENNEDY,2,Jon Stephens,8,38.92,4.87,0
433,DON BONE,1,Mike Hillyer,8,38.92,4.87,0
526,KARL SEAL,1,Mike Hillyer,8,38.92,4.87,0
587,SERGIO STANFIELD,2,Jon Stephens,8,38.92,4.87,0
211,STACEY MONTGOMERY,2,Jon Stephens,9,38.91,4.32,0
265,JENNIE TERRY,1,Mike Hillyer,9,38.91,4.32,0
408,MANUEL MURRELL,2,Jon Stephens,9,38.91,4.32,0
520,MITCHELL WESTMORELAND,1,Mike Hillyer,9,38.91,4.32,0
229,TAMARA NGUYEN,2,Jon Stephens,10,38.9,3.89,0
236,MARCIA DEAN,2,Jon Stephens,10,38.9,3.89,0
360,RALPH MADRIGAL,1,Mike Hillyer,10,38.9,3.89,0
389,ALAN KAHN,1,Mike Hillyer,7,37.93,5.42,0
429,FREDERICK ISBELL,2,Jon Stephens,7,37.93,5.42,0
532,NEIL RENNER,2,Jon Stephens,7,37.93,5.42,0
166,LYNN PAYNE,1,Mike Hillyer,8,37.92,4.74,0
257,MARSHA DOUGLAS,1,Mike Hillyer,8,37.92,4.74,0
284,SONIA GREGORY,1,Mike Hillyer,8,37.92,4.74,0
402,LUIS YANEZ,2,Jon Stephens,8,37.92,4.74,0
437,RANDALL NEUMANN,2,Jon Stephens,8,37.92,4.74,0
75,TAMMY SANDERS,1,Mike Hillyer,9,37.91,4.21,0
320,ANTHONY SCHWAB,2,Jon Stephens,9,37.91,4.21,0
438,BARRY LOVELACE,2,Jon Stephens,9,37.91,4.21,0
446,THEODORE CULP,2,Jon Stephens,9,37.91,4.21,0
566,CASEY MENA,1,Mike Hillyer,9,37.91,4.21,0
49,JOYCE EDWARDS,2,Jon Stephens,7,36.93,5.28,0
59,CHERYL MURPHY,1,Mike Hillyer,7,36.93,5.28,0
100,ROBIN HAYES,2,Jon Stephens,7,36.93,5.28,0
206,TERRI VASQUEZ,1,Mike Hillyer,7,36.93,5.28,0
221,BESSIE MORRISON,1,Mike Hillyer,7,36.93,5.28,0
342,HAROLD MARTINO,2,Jon Stephens,7,36.93,5.28,0
403,MIKE WAY,2,Jon Stephens,7,36.93,5.28,0
491,RICK MATTOX,2,Jon Stephens,7,36.93,5.28,0
23,SARAH LEWIS,2,Jon Stephens,8,36.92,4.62,0
80,MARILYN ROSS,2,Jon Stephens,8,36.92,4.62,0
268,NINA SOTO,2,Jon Stephens,8,36.92,4.62,0
291,TONI HOLT,2,Jon Stephens,8,36.92,4.62,0
380,RUSSELL BRINSON,1,Mike Hillyer,8,36.92,4.62,0
424,KYLE SPURLOCK,1,Mike Hillyer,8,36.92,4.62,0
428,HERBERT KRUGER,1,Mike Hillyer,8,36.92,4.62,0
452,TOM MILNER,2,Jon Stephens,8,36.92,4.62,0
41,STEPHANIE MITCHELL,1,Mike Hillyer,9,36.91,4.1,0
114,GRACE ELLIS,1,Mike Hillyer,9,36.91,4.1,0
173,AUDREY RAY,2,Jon Stephens,9,36.91,4.1,0
213,GINA WILLIAMSON,2,Jon Stephens,9,36.91,4.1,0
237,TANYA GILBERT,2,Jon Stephens,9,36.91,4.1,0
371,BILLY POULIN,1,Mike Hillyer,10,36.9,3.69,0
372,STEVE MACKENZIE,1,Mike Hillyer,10,36.9,3.69,0
553,MAX PITT,2,Jon Stephens,10,36.9,3.69,0
400,BRYAN HARDISON,2,Jon Stephens,7,35.93,5.13,0
453,CALVIN MARTEL,2,Jon Stephens,7,35.93,5.13,0
497,GILBERT SLEDGE,1,Mike Hillyer,7,35.93,5.13,0
539,MATHEW BOLIN,2,Jon Stephens,7,35.93,5.13,0
42,CAROLYN PEREZ,2,Jon Stephens,8,35.92,4.49,0
207,GERTRUDE CASTILLO,2,Jon Stephens,8,35.92,4.49,0
576,MORRIS MCCARTER,1,Mike Hillyer,8,35.92,4.49,0
13,KAREN JACKSON,1,Mike Hillyer,9,35.91,3.99,0
354,JUSTIN NGO,1,Mike Hillyer,9,35.91,3.99,0
559,EVERETT BANDA,1,Mike Hillyer,9,35.91,3.99,0
241,HEIDI LARSON,1,Mike Hillyer,10,35.9,3.59,0
583,MARSHALL THORN,2,Jon Stephens,5,34.95,6.99,0
44,MARIE TURNER,2,Jon Stephens,6,34.94,5.82,0
302,MICHAEL SILVERMAN,1,Mike Hillyer,6,34.94,5.82,0
560,JORDAN ARCHULETA,2,Jon Stephens,6,34.94,5.82,0
66,JANICE WARD,1,Mike Hillyer,7,34.93,4.99,0
185,ROBERTA HARPER,1,Mike Hillyer,7,34.93,4.99,0
222,DELORES HANSEN,2,Jon Stephens,7,34.93,4.99,0
296,RAMONA HALE,1,Mike Hillyer,7,34.93,4.99,0
440,BERNARD COLBY,1,Mike Hillyer,7,34.93,4.99,0
468,TIM CARY,2,Jon Stephens,7,34.93,4.99,0
486,GLEN TALBERT,2,Jon Stephens,7,34.93,4.99,0
90,RUBY WASHINGTON,2,Jon Stephens,8,34.92,4.37,0
154,MICHELE GRANT,2,Jon Stephens,8,34.92,4.37,0
176,JUNE CARROLL,1,Mike Hillyer,8,34.92,4.37,0
233,LILLIE KIM,1,Mike Hillyer,8,34.92,4.37,0
38,MARTHA GONZALEZ,2,Jon Stephens,9,34.91,3.88,0
115,WENDY HARRISON,1,Mike Hillyer,9,34.91,3.88,0
236,MARCIA DEAN,1,Mike Hillyer,10,34.9,3.49,0
441,MARIO CHEATHAM,2,Jon Stephens,10,34.9,3.49,0
41,STEPHANIE MITCHELL,2,Jon Stephens,6,33.94,5.66,0
47,FRANCES PARKER,2,Jon Stephens,6,33.94,5.66,0
82,KATHRYN COLEMAN,2,Jon Stephens,6,33.94,5.66,0
269,CASSANDRA WALTERS,1,Mike Hillyer,6,33.94,5.66,0
319,RONALD WEINER,1,Mike Hillyer,6,33.94,5.66,0
528,CLAUDE HERZOG,2,Jon Stephens,6,33.94,5.66,0
20,SHARON ROBINSON,2,Jon Stephens,7,33.93,4.85,0
45,JANET PHILLIPS,1,Mike Hillyer,7,33.93,4.85,0
50,DIANE COLLINS,1,Mike Hillyer,7,33.93,4.85,0
88,BONNIE HUGHES,1,Mike Hillyer,7,33.93,4.85,0
165,LORRAINE STEPHENS,2,Jon Stephens,7,33.93,4.85,0
490,SAM MCDUFFIE,2,Jon Stephens,7,33.93,4.85,0
583,MARSHALL THORN,1,Mike Hillyer,7,33.93,4.85,0
209,TONYA CHAPMAN,1,Mike Hillyer,8,33.92,4.24,0
210,ELLA OLIVER,1,Mike Hillyer,8,33.92,4.24,0
317,EDWARD BAUGH,1,Mike Hillyer,8,33.92,4.24,0
347,RYAN SALISBURY,1,Mike Hillyer,8,33.92,4.24,0
386,TODD TAN,1,Mike Hillyer,8,33.92,4.24,0
407,DALE RATCLIFF,1,Mike Hillyer,8,33.92,4.24,0
446,THEODORE CULP,1,Mike Hillyer,8,33.92,4.24,0
550,GUY BROWNLEE,1,Mike Hillyer,8,33.92,4.24,0
30,MELISSA KING,1,Mike Hillyer,9,33.91,3.77,0
243,LYDIA BURKE,2,Jon Stephens,9,33.91,3.77,0
286,VELMA LUCAS,1,Mike Hillyer,9,33.91,3.77,0
519,RON DELUCA,2,Jon Stephens,9,33.91,3.77,0
566,CASEY MENA,2,Jon Stephens,9,33.91,3.77,0
158,VERONICA STONE,1,Mike Hillyer,10,33.9,3.39,0
138,HAZEL WARREN,1,Mike Hillyer,11,33.89,3.08,0
337,JERRY JORDON,2,Jon Stephens,5,32.95,6.59,0
7,MARIA MILLER,2,Jon Stephens,6,32.94,5.49,0
49,JOYCE EDWARDS,1,Mike Hillyer,6,32.94,5.49,0
100,ROBIN HAYES,1,Mike Hillyer,6,32.94,5.49,0
259,LENA JENSEN,2,Jon Stephens,6,32.94,5.49,0
321,KEVIN SCHULER,2,Jon Stephens,6,32.94,5.49,0
95,PAULA BRYANT,1,Mike Hillyer,7,32.93,4.7,0
113,CINDY FISHER,2,Jon Stephens,7,32.93,4.7,0
191,JEANETTE GREENE,1,Mike Hillyer,7,32.93,4.7,0
226,MAUREEN LITTLE,1,Mike Hillyer,7,32.93,4.7,0
274,NAOMI JENNINGS,2,Jon Stephens,7,32.93,4.7,0
469,WESLEY BULL,1,Mike Hillyer,7,32.93,4.7,0
522,ARNOLD HAVENS,1,Mike Hillyer,7,32.93,4.7,0
57,EVELYN MORGAN,2,Jon Stephens,8,32.92,4.12,0
92,TINA SIMMONS,1,Mike Hillyer,8,32.92,4.12,0
96,DIANA ALEXANDER,1,Mike Hillyer,8,32.92,4.12,0
217,AGNES BISHOP,2,Jon Stephens,8,32.92,4.12,0
251,VICKIE BREWER,2,Jon Stephens,8,32.92,4.12,0
297,SHERRI RHODES,1,Mike Hillyer,8,32.92,4.12,0
479,ZACHARY HITE,1,Mike Hillyer,8,32.92,4.12,0
498,GENE SANBORN,1,Mike Hillyer,8,32.92,4.12,0
590,SETH HANNON,1,Mike Hillyer,8,32.92,4.12,0
598,WADE DELVALLE,1,Mike Hillyer,8,32.92,4.12,0
14,BETTY WHITE,1,Mike Hillyer,9,32.91,3.66,0
302,MICHAEL SILVERMAN,2,Jon Stephens,9,32.91,3.66,0
388,CRAIG MORRELL,2,Jon Stephens,10,32.9,3.29,0
485,CLYDE TOBIAS,1,Mike Hillyer,10,32.9,3.29,0
75,TAMMY SANDERS,2,Jon Stephens,11,32.89,2.99,0
443,FRANCISCO SKIDMORE,1,Mike Hillyer,5,31.95,6.39,0
502,BRETT CORNWELL,1,Mike Hillyer,6,31.94,5.32,0
538,TED BREAUX,2,Jon Stephens,6,31.94,5.32,0
553,MAX PITT,1,Mike Hillyer,6,31.94,5.32,0
567,ALFREDO MCADAMS,1,Mike Hillyer,6,31.94,5.32,0
577,CLIFTON MALCOLM,1,Mike Hillyer,6,31.94,5.32,0
5,ELIZABETH BROWN,1,Mike Hillyer,7,31.93,4.56,0
122,THELMA MURRAY,2,Jon Stephens,7,31.93,4.56,0
153,SUZANNE NICHOLS,2,Jon Stephens,7,31.93,4.56,0
265,JENNIE TERRY,2,Jon Stephens,7,31.93,4.56,0
441,MARIO CHEATHAM,1,Mike Hillyer,7,31.93,4.56,0
447,CLIFFORD BOWENS,1,Mike Hillyer,7,31.93,4.56,0
497,GILBERT SLEDGE,2,Jon Stephens,7,31.93,4.56,0
513,DUANE TUBBS,2,Jon Stephens,7,31.93,4.56,0
532,NEIL RENNER,1,Mike Hillyer,7,31.93,4.56,0
230,JOY GEORGE,2,Jon Stephens,8,31.92,3.99,0
235,JACKIE LYNCH,2,Jon Stephens,8,31.92,3.99,0
409,RODNEY MOELLER,1,Mike Hillyer,8,31.92,3.99,0
535,JAVIER ELROD,1,Mike Hillyer,8,31.92,3.99,0
598,WADE DELVALLE,2,Jon Stephens,8,31.92,3.99,0
132,ESTHER CRAWFORD,1,Mike Hillyer,9,31.91,3.55,0
228,ALLISON STANLEY,1,Mike Hillyer,9,31.91,3.55,0
347,RYAN SALISBURY,2,Jon Stephens,9,31.91,3.55,0
362,NICHOLAS BARFIELD,1,Mike Hillyer,9,31.91,3.55,0
442,LEROY BUSTAMANTE,1,Mike Hillyer,9,31.91,3.55,0
135,JUANITA MASON,1,Mike Hillyer,10,31.9,3.19,0
354,JUSTIN NGO,2,Jon Stephens,10,31.9,3.19,0
396,EARL SHANKS,2,Jon Stephens,10,31.9,3.19,0
82,KATHRYN COLEMAN,1,Mike Hillyer,5,30.95,6.19,0
170,BEATRICE ARNOLD,1,Mike Hillyer,5,30.95,6.19,0
172,BERNICE WILLIS,2,Jon Stephens,5,30.95,6.19,0
249,DORA MEDINA,1,Mike Hillyer,5,30.95,6.19,0
311,PAUL TROUT,2,Jon Stephens,5,30.95,6.19,0
480,COREY HAUSER,2,Jon Stephens,5,30.95,6.19,0
525,ADRIAN CLARY,2,Jon Stephens,5,30.95,6.19,0
29,ANGELA HERNANDEZ,2,Jon Stephens,6,30.94,5.16,0
87,WANDA PATTERSON,2,Jon Stephens,6,30.94,5.16,0
108,TRACY COLE,2,Jon Stephens,6,30.94,5.16,0
116,VICTORIA GIBSON,2,Jon Stephens,6,30.94,5.16,0
199,BETH FRANKLIN,2,Jon Stephens,6,30.94,5.16,0
334,RAYMOND MCWHORTER,1,Mike Hillyer,6,30.94,5.16,0
423,ALFRED CASILLAS,2,Jon Stephens,6,30.94,5.16,0
432,EDWIN BURK,1,Mike Hillyer,6,30.94,5.16,0
459,TOMMY COLLAZO,2,Jon Stephens,6,30.94,5.16,0
504,NATHANIEL ADAM,2,Jon Stephens,6,30.94,5.16,0
31,BRENDA WRIGHT,2,Jon Stephens,7,30.93,4.42,0
235,JACKIE LYNCH,1,Mike Hillyer,7,30.93,4.42,0
277,OLGA JIMENEZ,2,Jon Stephens,7,30.93,4.42,0
360,RALPH MADRIGAL,2,Jon Stephens,7,30.93,4.42,0
490,SAM MCDUFFIE,1,Mike Hillyer,7,30.93,4.42,0
178,MARION SNYDER,2,Jon Stephens,8,30.92,3.87,0
245,COURTNEY DAY,2,Jon Stephens,8,30.92,3.87,0
262,PATSY DAVIDSON,1,Mike Hillyer,8,30.92,3.87,0
309,CHRISTOPHER GRECO,1,Mike Hillyer,8,30.92,3.87,0
332,STEPHEN QUALLS,1,Mike Hillyer,8,30.92,3.87,0
397,JIMMY SCHRADER,2,Jon Stephens,8,30.92,3.87,0
448,MIGUEL BETANCOURT,2,Jon Stephens,8,30.92,3.87,0
485,CLYDE TOBIAS,2,Jon Stephens,8,30.92,3.87,0
533,JESSIE MILAM,2,Jon Stephens,8,30.92,3.87,0
38,MARTHA GONZALEZ,1,Mike Hillyer,9,30.91,3.43,0
64,JUDITH COX,1,Mike Hillyer,9,30.91,3.43,0
129,CARRIE PORTER,1,Mike Hillyer,9,30.91,3.43,0
91,LOIS BUTLER,2,Jon Stephens,12,30.88,2.57,0
