customer_full_name,staff_full_name,payment_count,total_amount,high_attention_flag
KEN PREWITT,Jon Stephens,10,44.900000000000006,0
TERRANCE ROUSH,Mike Hillyer,10,44.9,0
BYRON BOX,Jon Stephens,8,43.92000000000001,0
ERIC ROBERT,Mike Hillyer,9,43.910000000000004,0
MARJORIE TUCKER,Jon Stephens,10,43.90000000000001,0
MATTHEW MAHAN,Jon Stephens,10,43.90000000000001,0
BRITTANY RILEY,Jon Stephens,7,42.93000000000001,0
DAN PAINE,Jon Stephens,7,42.93000000000001,0
VELMA LUCAS,Jon Stephens,8,42.92,0
LESLIE SEWARD,Jon Stephens,8,42.92,0
CRYSTAL FORD,Mike Hillyer,9,42.910000000000004,0
WILLIE HOWELL,Jon Stephens,10,42.90000000000001,0
GEORGE LINTON,Jon Stephens,10,42.900000000000006,0
ALMA AUSTIN,Jon Stephens,10,42.9,0
SHAWN HEATON,Mike Hillyer,10,42.9,0
NATHAN RUNYON,Jon Stephens,12,42.88000000000002,0
BRADLEY MOTLEY,Mike Hillyer,7,41.93000000000001,0
PERRY SWAFFORD,Jon Stephens,8,41.92000000000001,0
COURTNEY DAY,Mike Hillyer,8,41.92,0
PRISCILLA LOWE,Mike Hillyer,8,41.92,0
ETHEL WEBB,Mike Hillyer,9,41.91000000000001,0
ROBERT BAUGHMAN,Jon Stephens,9,41.91000000000001,0
JOSHUA MARK,Jon Stephens,9,41.91000000000001,0
BRETT CORNWELL,Jon Stephens,9,41.91000000000001,0
FERNANDO CHURCHILL,Mike Hillyer,9,41.91000000000001,0
PHILIP CAUSEY,Jon Stephens,9,41.910000000000004,0
PEDRO CHESTNUT,Mike Hillyer,9,41.910000000000004,0
JESSICA HALL,Mike Hillyer,10,41.90000000000001,0
ROY WHITING,Jon Stephens,10,41.90000000000001,0
BRANDON HUEY,Jon Stephens,10,41.90000000000001,0
JAMIE WAUGH,Jon Stephens,10,41.90000000000001,0
REGINA BERRY,Jon Stephens,10,41.900000000000006,0
DAISY BATES,Jon Stephens,10,41.900000000000006,0
ANDREW PURDY,Jon Stephens,10,41.900000000000006,0
CRYSTAL FORD,Jon Stephens,12,41.88000000000001,0
STEVE MACKENZIE,Jon Stephens,6,40.940000000000005,0
DAWN SULLIVAN,Jon Stephens,8,40.92000000000001,0
VALERIE BLACK,Mike Hillyer,8,40.92000000000001,0
PEGGY MYERS,Jon Stephens,8,40.92,0
BRANDON HUEY,Mike Hillyer,9,40.910000000000004,0
JENNY CASTRO,Jon Stephens,9,40.91,0
ROGER QUINTANILLA,Jon Stephens,10,40.900000000000006,0
JIMMIE EGGLESTON,Mike Hillyer,11,40.89000000000001,0
LINDA WILLIAMS,Jon Stephens,6,39.940000000000005,0
SARA PERRY,Jon Stephens,7,39.93000000000001,0
JACQUELINE LONG,Mike Hillyer,7,39.93000000000001,0
ELEANOR HUNT,Jon Stephens,7,39.93000000000001,0
JORGE OLIVARES,Jon Stephens,7,39.93,0
AMY LOPEZ,Mike Hillyer,9,39.91000000000001,0
EMILY DIAZ,Jon Stephens,9,39.91000000000001,0
BERNICE WILLIS,Mike Hillyer,9,39.91000000000001,0
CONSTANCE REID,Jon Stephens,9,39.910000000000004,0
VIRGIL WOFFORD,Mike Hillyer,9,39.910000000000004,0
MELISSA KING,Jon Stephens,10,39.90000000000001,0
FRANCIS SIKES,Mike Hillyer,10,39.90000000000001,0
FLORENCE WOODS,Jon Stephens,10,39.900000000000006,0
HERMAN DEVORE,Mike Hillyer,10,39.900000000000006,0
ELLA OLIVER,Jon Stephens,10,39.9,0
GREGORY MAULDIN,Mike Hillyer,10,39.9,0
GABRIEL HARDER,Jon Stephens,7,38.93000000000001,0
BEVERLY BROOKS,Mike Hillyer,8,38.92000000000001,0
DON BONE,Mike Hillyer,8,38.92000000000001,0
KARL SEAL,Mike Hillyer,8,38.92000000000001,0
SERGIO STANFIELD,Jon Stephens,8,38.92000000000001,0
RHONDA KENNEDY,Jon Stephens,8,38.92,0
JENNIE TERRY,Mike Hillyer,9,38.91000000000001,0
MANUEL MURRELL,Jon Stephens,9,38.91000000000001,0
STACEY MONTGOMERY,Jon Stephens,9,38.910000000000004,0
MITCHELL WESTMORELAND,Mike Hillyer,9,38.910000000000004,0
MARCIA DEAN,Jon Stephens,10,38.900000000000006,0
RALPH MADRIGAL,Mike Hillyer,10,38.900000000000006,0
TAMARA NGUYEN,Jon Stephens,10,38.9,0
ALAN KAHN,Mike Hillyer,7,37.93000000000001,0
NEIL RENNER,Jon Stephens,7,37.93000000000001,0
FREDERICK ISBELL,Jon Stephens,7,37.93,0
LYNN PAYNE,Mike Hillyer,8,37.92000000000001,0
SONIA GREGORY,Mike Hillyer,8,37.92000000000001,0
LUIS YANEZ,Jon Stephens,8,37.92000000000001,0
RANDALL NEUMANN,Jon Stephens,8,37.92000000000001,0
MARSHA DOUGLAS,Mike Hillyer,8,37.92,0
ANTHONY SCHWAB,Jon Stephens,9,37.91000000000001,0
TAMMY SANDERS,Mike Hillyer,9,37.910000000000004,0
BARRY LOVELACE,Jon Stephens,9,37.910000000000004,0
CASEY MENA,Mike Hillyer,9,37.910000000000004,0
THEODORE CULP,Jon Stephens,9,37.91,0
JOYCE EDWARDS,Jon Stephens,7,36.93000000000001,0
CHERYL MURPHY,Mike Hillyer,7,36.93000000000001,0
TERRI VASQUEZ,Mike Hillyer,7,36.93000000000001,0
MIKE WAY,Jon Stephens,7,36.93000000000001,0
RICK MATTOX,Jon Stephens,7,36.93000000000001,0
ROBIN HAYES,Jon Stephens,7,36.93,0
BESSIE MORRISON,Mike Hillyer,7,36.93,0
HAROLD MARTINO,Jon Stephens,7,36.93,0
MARILYN ROSS,Jon Stephens,8,36.92000000000001,0
HERBERT KRUGER,Mike Hillyer,8,36.92000000000001,0
SARAH LEWIS,Jon Stephens,8,36.92,0
NINA SOTO,Jon Stephens,8,36.92,0
TONI HOLT,Jon Stephens,8,36.92,0
RUSSELL BRINSON,Mike Hillyer,8,36.92,0
KYLE SPURLOCK,Mike Hillyer,8,36.92,0
TOM MILNER,Jon Stephens,8,36.92,0
AUDREY RAY,Jon Stephens,9,36.91000000000001,0
TANYA GILBERT,Jon Stephens,9,36.91000000000001,0
STEPHANIE MITCHELL,Mike Hillyer,9,36.910000000000004,0
GRACE ELLIS,Mike Hillyer,9,36.910000000000004,0
GINA WILLIAMSON,Jon Stephens,9,36.910000000000004,0
BILLY POULIN,Mike Hillyer,10,36.900000000000006,0
STEVE MACKENZIE,Mike Hillyer,10,36.900000000000006,0
MAX PITT,Jon Stephens,10,36.9,0
BRYAN HARDISON,Jon Stephens,7,35.93000000000001,0
CALVIN MARTEL,Jon Stephens,7,35.93000000000001,0
GILBERT SLEDGE,Mike Hillyer,7,35.93000000000001,0
MATHEW BOLIN,Jon Stephens,7,35.93000000000001,0
CAROLYN PEREZ,Jon Stephens,8,35.92000000000001,0
MORRIS MCCARTER,Mike Hillyer,8,35.92000000000001,0
GERTRUDE CASTILLO,Jon Stephens,8,35.92,0
KAREN JACKSON,Mike Hillyer,9,35.910000000000004,0
JUSTIN NGO,Mike Hillyer,9,35.910000000000004,0
EVERETT BANDA,Mike Hillyer,9,35.910000000000004,0
HEIDI LARSON,Mike Hillyer,10,35.900000000000006,0
MARSHALL THORN,Jon Stephens,5,34.95,0
MARIE TURNER,Jon Stephens,6,34.940000000000005,0
MICHAEL SILVERMAN,Mike Hillyer,6,34.940000000000005,0
JORDAN ARCHULETA,Jon Stephens,6,34.940000000000005,0
JANICE WARD,Mike Hillyer,7,34.93000000000001,0
ROBERTA HARPER,Mike Hillyer,7,34.93000000000001,0
RAMONA HALE,Mike Hillyer,7,34.93000000000001,0
BERNARD COLBY,Mike Hillyer,7,34.93000000000001,0
TIM CARY,Jon Stephens,7,34.93000000000001,0
GLEN TALBERT,Jon Stephens,7,34.93000000000001,0
DELORES HANSEN,Jon Stephens,7,34.93,0
JUNE CARROLL,Mike Hillyer,8,34.92000000000001,0
LILLIE KIM,Mike Hillyer,8,34.92000000000001,0
RUBY WASHINGTON,Jon Stephens,8,34.92,0
MICHELE GRANT,Jon Stephens,8,34.92,0
MARTHA GONZALEZ,Jon Stephens,9,34.910000000000004,0
WENDY HARRISON,Mike Hillyer,9,34.910000000000004,0
MARCIA DEAN,Mike Hillyer,10,34.900000000000006,0
MARIO CHEATHAM,Jon Stephens,10,34.900000000000006,0
STEPHANIE MITCHELL,Jon Stephens,6,33.940000000000005,0
FRANCES PARKER,Jon Stephens,6,33.940000000000005,0
CASSANDRA WALTERS,Mike Hillyer,6,33.940000000000005,0
RONALD WEINER,Mike Hillyer,6,33.940000000000005,0
KATHRYN COLEMAN,Jon Stephens,6,33.94,0
CLAUDE HERZOG,Jon Stephens,6,33.94,0
SHARON ROBINSON,Jon Stephens,7,33.93000000000001,0
JANET PHILLIPS,Mike Hillyer,7,33.93000000000001,0
BONNIE HUGHES,Mike Hillyer,7,33.93000000000001,0
LORRAINE STEPHENS,Jon Stephens,7,33.93000000000001,0
SAM MCDUFFIE,Jon Stephens,7,33.93000000000001,0
MARSHALL THORN,Mike Hillyer,7,33.93000000000001,0
DIANE COLLINS,Mike Hillyer,7,33.93,0
TONYA CHAPMAN,Mike Hillyer,8,33.92000000000001,0
EDWARD BAUGH,Mike Hillyer,8,33.92000000000001,0
RYAN SALISBURY,Mike Hillyer,8,33.92000000000001,0
TODD TAN,Mike Hillyer,8,33.92000000000001,0
THEODORE CULP,Mike Hillyer,8,33.92000000000001,0
GUY BROWNLEE,Mike Hillyer,8,33.92000000000001,0
ELLA OLIVER,Mike Hillyer,8,33.92,0
DALE RATCLIFF,Mike Hillyer,8,33.92,0
MELISSA KING,Mike Hillyer,9,33.910000000000004,0
LYDIA BURKE,Jon Stephens,9,33.910000000000004,0
VELMA LUCAS,Mike Hillyer,9,33.910000000000004,0
CASEY MENA,Jon Stephens,9,33.910000000000004,0
RON DELUCA,Jon Stephens,9,33.91,0
VERONICA STONE,Mike Hillyer,10,33.89999999999999,0
HAZEL WARREN,Mike Hillyer,11,33.89,0
JERRY JORDON,Jon Stephens,5,32.95,0
MARIA MILLER,Jon Stephens,6,32.940000000000005,0
JOYCE EDWARDS,Mike Hillyer,6,32.940000000000005,0
LENA JENSEN,Jon Stephens,6,32.940000000000005,0
KEVIN SCHULER,Jon Stephens,6,32.940000000000005,0
ROBIN HAYES,Mike Hillyer,6,32.94,0
PAULA BRYANT,Mike Hillyer,7,32.93000000000001,0
CINDY FISHER,Jon Stephens,7,32.93000000000001,0
JEANETTE GREENE,Mike Hillyer,7,32.93000000000001,0
MAUREEN LITTLE,Mike Hillyer,7,32.93000000000001,0
NAOMI JENNINGS,Jon Stephens,7,32.93000000000001,0
WESLEY BULL,Mike Hillyer,7,32.93000000000001,0
ARNOLD HAVENS,Mike Hillyer,7,32.93000000000001,0
DIANA ALEXANDER,Mike Hillyer,8,32.92000000000001,0
AGNES BISHOP,Jon Stephens,8,32.92000000000001,0
VICKIE BREWER,Jon Stephens,8,32.92000000000001,0
GENE SANBORN,Mike Hillyer,8,32.92000000000001,0
SETH HANNON,Mike Hillyer,8,32.92000000000001,0
EVELYN MORGAN,Jon Stephens,8,32.92,0
TINA SIMMONS,Mike Hillyer,8,32.92,0
SHERRI RHODES,Mike Hillyer,8,32.92,0
ZACHARY HITE,Mike Hillyer,8,32.92,0
WADE DELVALLE,Mike Hillyer,8,32.92,0
BETTY WHITE,Mike Hillyer,9,32.910000000000004,0
MICHAEL SILVERMAN,Jon Stephens,9,32.910000000000004,0
CLYDE TOBIAS,Mike Hillyer,10,32.900000000000006,0
CRAIG MORRELL,Jon Stephens,10,32.9,0
TAMMY SANDERS,Jon Stephens,11,32.89000000000001,0
FRANCISCO SKIDMORE,Mike Hillyer,5,31.950000000000003,0
BRETT CORNWELL,Mike Hillyer,6,31.940000000000005,0
MAX PITT,Mike Hillyer,6,31.940000000000005,0
ALFREDO MCADAMS,Mike Hillyer,6,31.940000000000005,0
CLIFTON MALCOLM,Mike Hillyer,6,31.940000000000005,0
TED BREAUX,Jon Stephens,6,31.939999999999998,0
GILBERT SLEDGE,Jon Stephens,7,31.930000000000007,0
DUANE TUBBS,Jon Stephens,7,31.930000000000007,0
NEIL RENNER,Mike Hillyer,7,31.930000000000007,0
ELIZABETH BROWN,Mike Hillyer,7,31.93,0
THELMA MURRAY,Jon Stephens,7,31.93,0
SUZANNE NICHOLS,Jon Stephens,7,31.93,0
MARIO CHEATHAM,Mike Hillyer,7,31.93,0
CLIFFORD BOWENS,Mike Hillyer,7,31.93,0
JENNIE TERRY,Jon Stephens,7,31.929999999999996,0
JAVIER ELROD,Mike Hillyer,8,31.92000000000001,0
RODNEY MOELLER,Mike Hillyer,8,31.920000000000005,0
JOY GEORGE,Jon Stephens,8,31.92,0
JACKIE LYNCH,Jon Stephens,8,31.919999999999998,0
WADE DELVALLE,Jon Stephens,8,31.919999999999995,0
ALLISON STANLEY,Mike Hillyer,9,31.910000000000004,0
RYAN SALISBURY,Jon Stephens,9,31.910000000000004,0
NICHOLAS BARFIELD,Mike Hillyer,9,31.910000000000004,0
LEROY BUSTAMANTE,Mike Hillyer,9,31.910000000000004,0
ESTHER CRAWFORD,Mike Hillyer,9,31.909999999999997,0
JUSTIN NGO,Jon Stephens,10,31.900000000000002,0
EARL SHANKS,Jon Stephens,10,31.900000000000002,0
JUANITA MASON,Mike Hillyer,10,31.9,0
KATHRYN COLEMAN,Mike Hillyer,5,30.950000000000003,0
BEATRICE ARNOLD,Mike Hillyer,5,30.950000000000003,0
BERNICE WILLIS,Jon Stephens,5,30.950000000000003,0
DORA MEDINA,Mike Hillyer,5,30.950000000000003,0
PAUL TROUT,Jon Stephens,5,30.950000000000003,0
COREY HAUSER,Jon Stephens,5,30.950000000000003,0
ADRIAN CLARY,Jon Stephens,5,30.950000000000003,0
ANGELA HERNANDEZ,Jon Stephens,6,30.940000000000005,0
TRACY COLE,Jon Stephens,6,30.940000000000005,0
VICTORIA GIBSON,Jon Stephens,6,30.940000000000005,0
BETH FRANKLIN,Jon Stephens,6,30.940000000000005,0
RAYMOND MCWHORTER,Mike Hillyer,6,30.940000000000005,0
ALFRED CASILLAS,Jon Stephens,6,30.940000000000005,0
EDWIN BURK,Mike Hillyer,6,30.940000000000005,0
TOMMY COLLAZO,Jon Stephens,6,30.940000000000005,0
WANDA PATTERSON,Jon Stephens,6,30.939999999999998,0
NATHANIEL ADAM,Jon Stephens,6,30.939999999999998,0
OLGA JIMENEZ,Jon Stephens,7,30.930000000000007,0
BRENDA WRIGHT,Jon Stephens,7,30.930000000000003,0
SAM MCDUFFIE,Mike Hillyer,7,30.930000000000003,0
JACKIE LYNCH,Mike Hillyer,7,30.93,0
RALPH MADRIGAL,Jon Stephens,7,30.93,0
MIGUEL BETANCOURT,Jon Stephens,8,30.92000000000001,0
CLYDE TOBIAS,Jon Stephens,8,30.92000000000001,0
MARION SNYDER,Jon Stephens,8,30.920000000000005,0
CHRISTOPHER GRECO,Mike Hillyer,8,30.920000000000005,0
JIMMY SCHRADER,Jon Stephens,8,30.920000000000005,0
COURTNEY DAY,Jon Stephens,8,30.92,0
PATSY DAVIDSON,Mike Hillyer,8,30.92,0
JESSIE MILAM,Jon Stephens,8,30.92,0
STEPHEN QUALLS,Mike Hillyer,8,30.919999999999995,0
JUDITH COX,Mike Hillyer,9,30.910000000000004,0
CARRIE PORTER,Mike Hillyer,9,30.910000000000004,0
MARTHA GONZALEZ,Mike Hillyer,9,30.909999999999997,0
LOIS BUTLER,Jon Stephens,12,30.880000000000003,0
EILEEN CARR,Jon Stephens,5,29.950000000000003,0
WILMA RICHARDS,Jon Stephens,5,29.950000000000003,0
DOUGLAS GRAF,Jon Stephens,5,29.950000000000003,0
LEON BOSTIC,Mike Hillyer,5,29.950000000000003,0
HUGH WALDROP,Mike Hillyer,5,29.950000000000003,0
JOHNNIE CHISHOLM,Mike Hillyer,5,29.950000000000003,0
ANDY VANHORN,Jon Stephens,5,29.950000000000003,0
SHANNON FREEMAN,Mike Hillyer,6,29.940000000000005,0
STEVEN CURLEY,Jon Stephens,6,29.940000000000005,0
ROGER QUINTANILLA,Mike Hillyer,6,29.940000000000005,0
NICHOLAS BARFIELD,Jon Stephens,6,29.940000000000005,0
JESUS MCCARTNEY,Jon Stephens,6,29.940000000000005,0
PEDRO CHESTNUT,Jon Stephens,6,29.940000000000005,0
BRENT HARKINS,Mike Hillyer,6,29.940000000000005,0
CHARLIE BESS,Mike Hillyer,6,29.940000000000005,0
ELMER NOE,Jon Stephens,6,29.940000000000005,0
MARY SMITH,Mike Hillyer,6,29.94,0
RUBEN GEARY,Jon Stephens,6,29.939999999999998,0
CHRISTINE ROBERTS,Mike Hillyer,7,29.930000000000007,0
VANESSA SIMS,Mike Hillyer,7,29.930000000000007,0
JERRY JORDON,Mike Hillyer,7,29.930000000000007,0
DANNY ISOM,Jon Stephens,7,29.930000000000007,0
JASON MORRISSEY,Mike Hillyer,7,29.930000000000003,0
LEE HAWKS,Jon Stephens,7,29.930000000000003,0
SIDNEY BURLESON,Mike Hillyer,7,29.93,0
ARLENE HARVEY,Jon Stephens,8,29.92000000000001,0
ERIK GUILLEN,Jon Stephens,8,29.920000000000005,0
THELMA MURRAY,Mike Hillyer,8,29.92,0
AMBER DIXON,Jon Stephens,8,29.92,0
EDGAR RHOADS,Mike Hillyer,8,29.92,0
VIOLA HANSON,Jon Stephens,9,29.910000000000004,0
DORIS REED,Jon Stephens,5,28.950000000000003,0
VIVIAN RUIZ,Jon Stephens,5,28.950000000000003,0
KAY CALDWELL,Jon Stephens,5,28.950000000000003,0
ARTHUR SIMPKINS,Mike Hillyer,5,28.950000000000003,0
HOWARD FORTNER,Jon Stephens,5,28.950000000000003,0
GREG ROBINS,Jon Stephens,5,28.950000000000003,0
DERRICK BOURQUE,Jon Stephens,5,28.950000000000003,0
PERRY SWAFFORD,Mike Hillyer,5,28.950000000000003,0
KENT ARSENAULT,Jon Stephens,5,28.950000000000003,0
ROSA REYNOLDS,Jon Stephens,6,28.940000000000005,0
MAXINE SILVA,Mike Hillyer,6,28.940000000000005,0
WALTER PERRYMAN,Jon Stephens,6,28.940000000000005,0
HENRY BILLINGSLEY,Jon Stephens,6,28.940000000000005,0
DUANE TUBBS,Mike Hillyer,6,28.940000000000005,0
TYRONE ASHER,Jon Stephens,6,28.940000000000005,0
GLORIA COOK,Mike Hillyer,6,28.94,0
EVA RAMOS,Mike Hillyer,6,28.94,0
JOSE ANDREW,Mike Hillyer,6,28.94,0
NELLIE GARRETT,Mike Hillyer,6,28.939999999999998,0
SHANE MILLARD,Jon Stephens,6,28.939999999999998,0
ELSIE KELLEY,Mike Hillyer,7,28.930000000000007,0
PHILLIP HOLM,Mike Hillyer,7,28.930000000000007,0
LEROY BUSTAMANTE,Jon Stephens,7,28.930000000000007,0
LOIS BUTLER,Mike Hillyer,7,28.930000000000003,0
VIOLET RODRIQUEZ,Jon Stephens,7,28.930000000000003,0
LINDA WILLIAMS,Mike Hillyer,7,28.93,0
REGINA BERRY,Mike Hillyer,7,28.93,0
CARLA GUTIERREZ,Jon Stephens,7,28.93,0
MARGIE WADE,Mike Hillyer,7,28.93,0
HARRY ARCE,Mike Hillyer,7,28.93,0
SANDRA MARTIN,Jon Stephens,8,28.92,0
COLLEEN BURTON,Mike Hillyer,8,28.92,0
RENE MCALISTER,Jon Stephens,8,28.92,0
SYLVIA ORTIZ,Jon Stephens,9,28.909999999999993,0
FELICIA SUTTON,Jon Stephens,10,28.900000000000006,0
JUDITH COX,Jon Stephens,10,28.9,0
LAURA RODRIGUEZ,Mike Hillyer,5,27.950000000000003,0
GERALD FULTZ,Jon Stephens,5,27.950000000000003,0
ROY WHITING,Mike Hillyer,5,27.950000000000003,0
VICTOR BARKLEY,Mike Hillyer,5,27.950000000000003,0
LEE HAWKS,Mike Hillyer,5,27.950000000000003,0
VERNON CHAPA,Mike Hillyer,5,27.950000000000003,0
ERICA MATTHEWS,Jon Stephens,5,27.95,0
JESSIE MILAM,Mike Hillyer,5,27.95,0
KATIE ELLIOTT,Mike Hillyer,6,27.940000000000005,0
TANYA GILBERT,Mike Hillyer,6,27.940000000000005,0
BRANDY GRAVES,Jon Stephens,6,27.940000000000005,0
CURTIS IRBY,Jon Stephens,6,27.940000000000005,0
NELSON CHRISTENSON,Jon Stephens,6,27.94,0
LISA ANDERSON,Jon Stephens,6,27.939999999999998,0
DAVID ROYAL,Mike Hillyer,6,27.939999999999998,0
TERRY GRISSOM,Mike Hillyer,6,27.939999999999998,0
TROY QUIGLEY,Mike Hillyer,6,27.939999999999998,0
JEANNE LAWSON,Mike Hillyer,7,27.930000000000007,0
FRED WHEAT,Jon Stephens,7,27.930000000000003,0
FRANCIS SIKES,Jon Stephens,7,27.930000000000003,0
MORRIS MCCARTER,Jon Stephens,7,27.930000000000003,0
TRACY HERRMANN,Jon Stephens,7,27.930000000000003,0
LUCILLE HOLMES,Mike Hillyer,7,27.93,0
ALFRED CASILLAS,Mike Hillyer,7,27.93,0
HECTOR POINDEXTER,Mike Hillyer,7,27.93,0
CECIL VINES,Mike Hillyer,7,27.93,0
TERRENCE GUNDERSON,Jon Stephens,7,27.93,0
RACHEL BARNES,Mike Hillyer,8,27.92,0
ANNETTE OLSON,Mike Hillyer,8,27.92,0
CHARLES KOWALSKI,Jon Stephens,8,27.92,0
KEITH RICO,Mike Hillyer,8,27.92,0
ALEXANDER FENNELL,Mike Hillyer,8,27.92,0
JOE GILLILAND,Mike Hillyer,8,27.919999999999998,0
LUCILLE HOLMES,Jon Stephens,8,27.919999999999995,0
DARLENE ROSE,Jon Stephens,9,27.910000000000004,0
ELIZABETH BROWN,Jon Stephens,9,27.909999999999997,0
BOBBY BOUDREAU,Jon Stephens,10,27.9,0
THOMAS GRIGSBY,Mike Hillyer,5,26.950000000000003,0
CHARLIE BESS,Jon Stephens,5,26.950000000000003,0
NATHANIEL ADAM,Mike Hillyer,5,26.950000000000003,0
MARIA MILLER,Mike Hillyer,5,26.949999999999996,0
DIANNE SHELTON,Mike Hillyer,5,26.949999999999996,0
PATRICIA JOHNSON,Mike Hillyer,6,26.940000000000005,0
SHIRLEY ALLEN,Mike Hillyer,6,26.940000000000005,0
DENISE KELLY,Jon Stephens,6,26.940000000000005,0
ROSEMARY SCHMIDT,Mike Hillyer,6,26.940000000000005,0
CARL ARTIS,Jon Stephens,6,26.940000000000005,0
BRUCE SCHWARZ,Mike Hillyer,6,26.940000000000005,0
DON BONE,Jon Stephens,6,26.940000000000005,0
JUDY GRAY,Jon Stephens,6,26.94,0
SHERRY MARSHALL,Mike Hillyer,6,26.94,0
MINNIE ROMERO,Jon Stephens,6,26.94,0
SHELLY WATTS,Jon Stephens,6,26.94,0
JACK FOUST,Jon Stephens,6,26.94,0
FRANK WAGGONER,Mike Hillyer,6,26.939999999999998,0
KRISTINA CHAMBERS,Jon Stephens,7,26.930000000000007,0
GARY COY,Mike Hillyer,7,26.930000000000007,0
MARION OCAMPO,Mike Hillyer,7,26.930000000000007,0
PAULINE HENRY,Jon Stephens,7,26.930000000000003,0
MAXINE SILVA,Jon Stephens,7,26.930000000000003,0
MELANIE ARMSTRONG,Jon Stephens,7,26.93,0
JOY GEORGE,Mike Hillyer,7,26.93,0
BYRON BOX,Mike Hillyer,7,26.93,0
RODNEY MOELLER,Jon Stephens,7,26.929999999999996,0
LORI WOOD,Jon Stephens,8,26.92,0
ELLEN SIMPSON,Mike Hillyer,8,26.92,0
CURTIS IRBY,Mike Hillyer,8,26.92,0
CHAD CARBONE,Mike Hillyer,8,26.92,0
JAIME NETTLES,Mike Hillyer,8,26.92,0
BECKY MILES,Jon Stephens,8,26.919999999999998,0
MARC OUTLAW,Mike Hillyer,8,26.919999999999998,0
CYNTHIA YOUNG,Jon Stephens,9,26.910000000000004,0
LISA ANDERSON,Mike Hillyer,5,25.950000000000003,0
RACHEL BARNES,Jon Stephens,5,25.950000000000003,0
WANDA PATTERSON,Mike Hillyer,5,25.950000000000003,0
LILLIAN GRIFFIN,Jon Stephens,5,25.950000000000003,0
RITA GRAHAM,Jon Stephens,5,25.950000000000003,0
GLENDA FRAZIER,Mike Hillyer,5,25.950000000000003,0
TRAVIS ESTEP,Mike Hillyer,5,25.950000000000003,0
BRAD MCCURDY,Mike Hillyer,5,25.950000000000003,0
LONNIE TIRADO,Jon Stephens,5,25.950000000000003,0
WILLIE MARKHAM,Jon Stephens,5,25.949999999999996,0
