customer_id,first_name,last_name,payment_transactions,total_amount,average_amount,large_operations,suspicious_activity
3,LINDA,WILLIAMS,13,68.87,5.3,1,1
179,DANA,HART,14,68.86,4.92,1,1
103,GLADYS,HAMILTON,15,68.85,4.59,0,1
373,LOUIS,LEONE,16,68.84,4.3,1,1
553,MAX,PITT,16,68.84,4.3,0,1
35,VIRGINIA,GREEN,16,68.84,4.3,0,1
89,JULIA,FLORES,17,68.83,4.05,1,1
497,GILBERT,SLEDGE,14,67.86,4.85,1,1
302,MICHAEL,SILVERMAN,15,67.85,4.52,1,1
273,PRISCILLA,LOWE,15,67.85,4.52,1,1
425,FRANCIS,SIKES,17,67.83,3.99,1,1
314,GEORGE,LINTON,18,67.82,3.77,0,1
354,JUSTIN,NGO,19,67.81,3.57,1,1
467,ALVIN,DELOACH,13,66.87,5.14,1,1
441,MARIO,CHEATHAM,17,66.83,3.93,2,1
426,BRADLEY,MOTLEY,11,65.89,5.99,2,1
579,DARYL,LARUE,14,65.86,4.7,3,1
594,EDUARDO,HIATT,14,65.86,4.7,1,1
433,DON,BONE,14,65.86,4.7,1,1
125,ETHEL,WEBB,16,65.84,4.12,1,1
128,MARJORIE,TUCKER,16,65.84,4.12,0,1
347,RYAN,SALISBURY,17,65.83,3.87,0,1
38,MARTHA,GONZALEZ,18,65.82,3.66,0,1
82,KATHRYN,COLEMAN,11,64.89,5.9,2,1
86,JACQUELINE,LONG,12,64.88,5.41,3,1
84,SARA,PERRY,12,64.88,5.41,2,1
63,ASHLEY,RICHARDSON,14,64.86,4.63,2,1
490,SAM,MCDUFFIE,14,64.86,4.63,1,1
531,JAMIE,WAUGH,14,64.86,4.63,0,1
282,JENNY,CASTRO,15,64.85,4.32,2,1
237,TANYA,GILBERT,15,64.85,4.32,1,1
574,JULIAN,VEST,15,64.85,4.32,0,1
219,WILLIE,HOWELL,15,64.85,4.32,0,1
598,WADE,DELVALLE,16,64.84,4.05,0,1
187,BRITTANY,RILEY,11,63.89,5.81,2,1
331,ERIC,ROBERT,12,63.88,5.32,2,1
196,ALMA,AUSTIN,14,63.86,4.56,1,1
576,MORRIS,MCCARTER,15,63.85,4.26,1,1
485,CLYDE,TOBIAS,18,63.82,3.55,0,1
337,JERRY,JORDON,12,62.88,5.24,1,1
307,JOSEPH,JOY,13,62.87,4.84,1,1
235,JACKIE,LYNCH,15,62.85,4.19,0,1
211,STACEY,MONTGOMERY,16,62.84,3.93,1,1
80,MARILYN,ROSS,12,61.88,5.16,1,1
403,MIKE,WAY,12,61.88,5.16,0,1
13,KAREN,JACKSON,13,61.87,4.76,3,1
107,FLORENCE,WOODS,14,61.86,4.42,0,1
362,NICHOLAS,BARFIELD,15,61.85,4.12,1,1
114,GRACE,ELLIS,15,61.85,4.12,1,1
122,THELMA,MURRAY,15,61.85,4.12,0,1
42,CAROLYN,PEREZ,16,61.84,3.87,0,1
59,CHERYL,MURPHY,11,60.89,5.54,2,1
491,RICK,MATTOX,11,60.89,5.54,1,1
284,SONIA,GREGORY,12,60.88,5.07,1,1
393,PHILIP,CAUSEY,13,60.87,4.68,2,1
513,DUANE,TUBBS,13,60.87,4.68,1,1
66,JANICE,WARD,13,60.87,4.68,1,1
23,SARAH,LEWIS,13,60.87,4.68,1,1
206,TERRI,VASQUEZ,13,60.87,4.68,0,1
520,MITCHELL,WESTMORELAND,14,60.86,4.35,1,1
563,KEN,PREWITT,16,60.84,3.8,0,1
442,LEROY,BUSTAMANTE,16,60.84,3.8,0,1
7,MARIA,MILLER,11,59.89,5.44,1,1
220,CHARLENE,ALVAREZ,12,59.88,4.99,3,1
560,JORDAN,ARCHULETA,14,59.86,4.28,1,1
404,STANLEY,SCROGGINS,14,59.86,4.28,1,1
300,JOHN,FARNSWORTH,14,59.86,4.28,1,1
5,ELIZABETH,BROWN,16,59.84,3.74,1,1
91,LOIS,BUTLER,19,59.81,3.15,0,1
477,DAN,PAINE,10,58.9,5.89,2,1
486,GLEN,TALBERT,12,58.88,4.91,1,1
221,BESSIE,MORRISON,12,58.88,4.91,1,1
51,ALICE,STEWART,12,58.88,4.91,1,1
533,JESSIE,MILAM,13,58.87,4.53,3,1
423,ALFRED,CASILLAS,13,58.87,4.53,3,1
380,RUSSELL,BRINSON,14,58.86,4.2,2,1
468,TIM,CARY,14,58.86,4.2,0,1
230,JOY,GEORGE,15,58.85,3.92,1,1
207,GERTRUDE,CASTILLO,15,58.85,3.92,1,1
32,AMY,LOPEZ,15,58.85,3.92,1,1
409,RODNEY,MOELLER,15,58.85,3.92,0,1
323,MATTHEW,MAHAN,15,58.85,3.92,0,1
424,KYLE,SPURLOCK,16,58.84,3.68,1,1
504,NATHANIEL,ADAM,11,57.89,5.26,2,1
421,LEE,HAWKS,12,57.88,4.82,1,1
481,HERMAN,DEVORE,13,57.87,4.45,1,1
473,JORGE,OLIVARES,13,57.87,4.45,1,1
581,VIRGIL,WOFFORD,14,57.86,4.13,1,1
232,CONSTANCE,REID,14,57.86,4.13,1,1
173,AUDREY,RAY,14,57.86,4.13,1,1
135,JUANITA,MASON,14,57.86,4.13,0,1
528,CLAUDE,HERZOG,11,56.89,5.17,2,1
495,CHARLIE,BESS,11,56.89,5.17,1,1
87,WANDA,PATTERSON,11,56.89,5.17,1,1
170,BEATRICE,ARNOLD,12,56.88,4.74,1,1
432,EDWIN,BURK,12,56.88,4.74,0,1
166,LYNN,PAYNE,13,56.87,4.37,1,1
590,SETH,HANNON,14,56.86,4.06,0,1
390,SHAWN,HEATON,14,56.86,4.06,0,1
99,EMILY,DIAZ,15,56.85,3.79,0,1
539,MATHEW,BOLIN,12,55.88,4.66,0,1
316,STEVEN,CURLEY,12,55.88,4.66,0,1
176,JUNE,CARROLL,12,55.88,4.66,0,1
233,LILLIE,KIM,13,55.87,4.3,1,1
518,GABRIEL,HARDER,13,55.87,4.3,0,1
254,MAXINE,SILVA,13,55.87,4.3,0,1
154,MICHELE,GRANT,14,55.86,3.99,0,1
335,GREGORY,MAULDIN,15,55.85,3.72,1,1
145,LUCILLE,HOLMES,15,55.85,3.72,1,1
129,CARRIE,PORTER,15,55.85,3.72,0,1
343,DOUGLAS,GRAF,9,54.91,6.1,1,1
443,FRANCISCO,SKIDMORE,10,54.9,5.49,2,1
149,VALERIE,BLACK,11,54.89,4.99,1,1
296,RAMONA,HALE,12,54.88,4.57,0,1
386,TODD,TAN,13,54.87,4.22,1,1
438,BARRY,LOVELACE,14,54.86,3.92,1,1
410,CURTIS,IRBY,14,54.86,3.92,0,1
244,VIOLA,HANSON,14,54.86,3.92,0,1
228,ALLISON,STANLEY,15,54.85,3.66,2,1
44,MARIE,TURNER,10,53.9,5.39,2,1
582,ANDY,VANHORN,10,53.9,5.39,1,1
259,LENA,JENSEN,10,53.9,5.39,0,1
11,LISA,ANDERSON,11,53.89,4.9,1,1
334,RAYMOND,MCWHORTER,11,53.89,4.9,0,1
101,PEGGY,MYERS,12,53.88,4.49,1,1
268,NINA,SOTO,12,53.88,4.49,0,1
79,RACHEL,BARNES,13,53.87,4.14,1,1
529,ERIK,GUILLEN,13,53.87,4.14,0,1
306,CHARLES,KOWALSKI,14,53.86,3.85,0,1
577,CLIFTON,MALCOLM,11,52.89,4.81,1,1
355,TERRY,GRISSOM,11,52.89,4.81,0,1
436,TROY,QUIGLEY,12,52.88,4.41,2,1
336,JOSHUA,MARK,12,52.88,4.41,1,1
319,RONALD,WEINER,12,52.88,4.41,1,1
304,DAVID,ROYAL,12,52.88,4.41,1,1
199,BETH,FRANKLIN,12,52.88,4.41,1,1
402,LUIS,YANEZ,12,52.88,4.41,0,1
291,TONI,HOLT,12,52.88,4.41,0,1
202,CARLA,GUTIERREZ,13,52.87,4.07,2,1
339,WALTER,PERRYMAN,13,52.87,4.07,0,1
329,FRANK,WAGGONER,13,52.87,4.07,0,1
588,MARION,OCAMPO,14,52.86,3.78,0,1
78,LORI,WOOD,14,52.86,3.78,0,1
198,ELSIE,KELLEY,15,52.85,3.52,0,1
157,DARLENE,ROSE,17,52.83,3.11,0,1
400,BRYAN,HARDISON,10,51.9,5.19,0,1
264,GWENDOLYN,MAY,12,51.88,4.32,2,1
536,FERNANDO,CHURCHILL,12,51.88,4.32,1,1
240,MARLENE,WELCH,12,51.88,4.32,1,1
213,GINA,WILLIAMSON,12,51.88,4.32,1,1
90,RUBY,WASHINGTON,12,51.88,4.32,1,1
139,AMBER,DIXON,12,51.88,4.32,0,1
333,ANDREW,PURDY,13,51.87,3.99,1,1
519,RON,DELUCA,13,51.87,3.99,0,1
108,TRACY,COLE,13,51.87,3.99,0,1
538,TED,BREAUX,14,51.86,3.7,2,1
28,CYNTHIA,YOUNG,14,51.86,3.7,1,1
290,KRISTINA,CHAMBERS,14,51.86,3.7,0,1
498,GENE,SANBORN,15,51.85,3.46,0,1
321,KEVIN,SCHULER,10,50.9,5.09,1,1
488,SHANE,MILLARD,11,50.89,4.63,1,1
447,CLIFFORD,BOWENS,11,50.89,4.63,1,1
389,ALAN,KAHN,11,50.89,4.63,1,1
112,ROSA,REYNOLDS,11,50.89,4.63,0,1
317,EDWARD,BAUGH,12,50.88,4.24,2,1
185,ROBERTA,HARPER,12,50.88,4.24,2,1
517,BRAD,MCCURDY,12,50.88,4.24,0,1
324,GARY,COY,12,50.88,4.24,0,1
14,BETTY,WHITE,12,50.88,4.24,0,1
1,MARY,SMITH,12,50.88,4.24,0,1
397,JIMMY,SCHRADER,13,50.87,3.91,0,1
356,GERALD,FULTZ,13,50.87,3.91,0,1
351,JACK,FOUST,13,50.87,3.91,0,1
115,WENDY,HARRISON,15,50.85,3.39,0,1
283,FELICIA,SUTTON,17,50.83,2.99,0,1
17,DONNA,THOMPSON,9,43.91,4.88,3,1
