customer_id,first_name,last_name,payment_count,total_amount,avg_payment,risk_level
51,ALICE,STEWART,12,58.88,4.91,обычный
221,BESSIE,MORRISON,12,58.88,4.91,обычный
486,GLEN,TALBERT,12,58.88,4.91,обычный
423,ALFRED,CASILLAS,13,58.87,4.53,обычный
533,JESSIE,MILAM,13,58.87,4.53,обычный
380,RUSSELL,BRINSON,14,58.86,4.2,обычный
468,TIM,CARY,14,58.86,4.2,обычный
32,AMY,LOPEZ,15,58.85,3.92,обычный
207,GERTRUDE,CASTILLO,15,58.85,3.92,обычный
230,JOY,GEORGE,15,58.85,3.92,обычный
323,MATTHEW,MAHAN,15,58.85,3.92,обычный
409,RODNEY,MOELLER,15,58.85,3.92,обычный
424,KYLE,SPURLOCK,16,58.84,3.68,обычный
504,NATHANIEL,ADAM,11,57.89,5.26,высокий
421,LEE,HAWKS,12,57.88,4.82,обычный
473,JORGE,OLIVARES,13,57.87,4.45,обычный
481,HERMAN,DEVORE,13,57.87,4.45,обычный
135,JUANITA,MASON,14,57.86,4.13,обычный
173,AUDREY,RAY,14,57.86,4.13,обычный
232,CONSTANCE,REID,14,57.86,4.13,обычный
581,VIRGIL,WOFFORD,14,57.86,4.13,обычный
87,WANDA,PATTERSON,11,56.89,5.17,высокий
495,CHARLIE,BESS,11,56.89,5.17,высокий
528,CLAUDE,HERZOG,11,56.89,5.17,высокий
170,BEATRICE,ARNOLD,12,56.88,4.74,обычный
432,EDWIN,BURK,12,56.88,4.74,обычный
166,LYNN,PAYNE,13,56.87,4.37,обычный
390,SHAWN,HEATON,14,56.86,4.06,обычный
590,SETH,HANNON,14,56.86,4.06,обычный
99,EMILY,DIAZ,15,56.85,3.79,обычный
176,JUNE,CARROLL,12,55.88,4.66,обычный
316,STEVEN,CURLEY,12,55.88,4.66,обычный
539,MATHEW,BOLIN,12,55.88,4.66,обычный
233,LILLIE,KIM,13,55.87,4.3,обычный
254,MAXINE,SILVA,13,55.87,4.3,обычный
518,GABRIEL,HARDER,13,55.87,4.3,обычный
154,MICHELE,GRANT,14,55.86,3.99,обычный
129,CARRIE,PORTER,15,55.85,3.72,обычный
145,LUCILLE,HOLMES,15,55.85,3.72,обычный
335,GREGORY,MAULDIN,15,55.85,3.72,обычный
343,DOUGLAS,GRAF,9,54.91,6.1,высокий
443,FRANCISCO,SKIDMORE,10,54.9,5.49,высокий
149,VALERIE,BLACK,11,54.89,4.99,обычный
296,RAMONA,HALE,12,54.88,4.57,обычный
386,TODD,TAN,13,54.87,4.22,обычный
244,VIOLA,HANSON,14,54.86,3.92,обычный
410,CURTIS,IRBY,14,54.86,3.92,обычный
438,BARRY,LOVELACE,14,54.86,3.92,обычный
228,ALLISON,STANLEY,15,54.85,3.66,обычный
44,MARIE,TURNER,10,53.9,5.39,высокий
259,LENA,JENSEN,10,53.9,5.39,высокий
582,ANDY,VANHORN,10,53.9,5.39,высокий
11,LISA,ANDERSON,11,53.89,4.9,обычный
334,RAYMOND,MCWHORTER,11,53.89,4.9,обычный
101,PEGGY,MYERS,12,53.88,4.49,обычный
268,NINA,SOTO,12,53.88,4.49,обычный
79,RACHEL,BARNES,13,53.87,4.14,обычный
529,ERIK,GUILLEN,13,53.87,4.14,обычный
306,CHARLES,KOWALSKI,14,53.86,3.85,обычный
241,HEIDI,LARSON,15,53.85,3.59,обычный
355,TERRY,GRISSOM,11,52.89,4.81,обычный
577,CLIFTON,MALCOLM,11,52.89,4.81,обычный
199,BETH,FRANKLIN,12,52.88,4.41,обычный
291,TONI,HOLT,12,52.88,4.41,обычный
304,DAVID,ROYAL,12,52.88,4.41,обычный
319,RONALD,WEINER,12,52.88,4.41,обычный
336,JOSHUA,MARK,12,52.88,4.41,обычный
402,LUIS,YANEZ,12,52.88,4.41,обычный
436,TROY,QUIGLEY,12,52.88,4.41,обычный
202,CARLA,GUTIERREZ,13,52.87,4.07,обычный
329,FRANK,WAGGONER,13,52.87,4.07,обычный
339,WALTER,PERRYMAN,13,52.87,4.07,обычный
78,LORI,WOOD,14,52.86,3.78,обычный
588,MARION,OCAMPO,14,52.86,3.78,обычный
198,ELSIE,KELLEY,15,52.85,3.52,обычный
157,DARLENE,ROSE,17,52.83,3.11,обычный
400,BRYAN,HARDISON,10,51.9,5.19,высокий
90,RUBY,WASHINGTON,12,51.88,4.32,обычный
139,AMBER,DIXON,12,51.88,4.32,обычный
213,GINA,WILLIAMSON,12,51.88,4.32,обычный
240,MARLENE,WELCH,12,51.88,4.32,обычный
264,GWENDOLYN,MAY,12,51.88,4.32,обычный
368,HARRY,ARCE,12,51.88,4.32,обычный
536,FERNANDO,CHURCHILL,12,51.88,4.32,обычный
108,TRACY,COLE,13,51.87,3.99,обычный
333,ANDREW,PURDY,13,51.87,3.99,обычный
519,RON,DELUCA,13,51.87,3.99,обычный
28,CYNTHIA,YOUNG,14,51.86,3.7,обычный
290,KRISTINA,CHAMBERS,14,51.86,3.7,обычный
538,TED,BREAUX,14,51.86,3.7,обычный
498,GENE,SANBORN,15,51.85,3.46,обычный
321,KEVIN,SCHULER,10,50.9,5.09,высокий
112,ROSA,REYNOLDS,11,50.89,4.63,обычный
389,ALAN,KAHN,11,50.89,4.63,обычный
447,CLIFFORD,BOWENS,11,50.89,4.63,обычный
488,SHANE,MILLARD,11,50.89,4.63,обычный
1,MARY,SMITH,12,50.88,4.24,обычный
14,BETTY,WHITE,12,50.88,4.24,обычный
185,ROBERTA,HARPER,12,50.88,4.24,обычный
317,EDWARD,BAUGH,12,50.88,4.24,обычный
324,GARY,COY,12,50.88,4.24,обычный
517,BRAD,MCCURDY,12,50.88,4.24,обычный
351,JACK,FOUST,13,50.87,3.91,обычный
356,GERALD,FULTZ,13,50.87,3.91,обычный
397,JIMMY,SCHRADER,13,50.87,3.91,обычный
115,WENDY,HARRISON,15,50.85,3.39,обычный
283,FELICIA,SUTTON,17,50.83,2.99,обычный
