average_payment_amount,customer_id,customer_name,payment_count,staff_id,staff_name,total_payment_amount
5.99,252,MATTIE HOFFMAN,1,1,Mike Hillyer,5.99
5.99,261,DEANNA BYRD,1,1,Mike Hillyer,5.99
5.99,266,NORA HERRERA,1,2,Jon Stephens,5.99
5.99,270,LEAH CURTIS,1,2,Jon Stephens,5.99
5.99,272,KAY CALDWELL,1,1,Mike Hillyer,5.99
5.99,272,KAY CALDWELL,1,2,Jon Stephens,5.99
5.99,277,OLGA JIMENEZ,1,1,Mike Hillyer,5.99
5.99,281,LEONA OBRIEN,1,1,Mike Hillyer,5.99
5.99,281,LEONA OBRIEN,1,2,Jon Stephens,5.99
5.99,285,MIRIAM MCKINNEY,1,1,Mike Hillyer,5.99
5.99,288,BOBBIE CRAIG,1,1,Mike Hillyer,5.99
5.99,295,DAISY BATES,1,1,Mike Hillyer,5.99
5.99,307,JOSEPH JOY,1,2,Jon Stephens,5.99
5.99,310,DANIEL CABRAL,1,1,Mike Hillyer,5.99
5.99,321,KEVIN SCHULER,1,2,Jon Stephens,5.99
5.99,329,FRANK WAGGONER,2,1,Mike Hillyer,11.98
5.99,330,SCOTT SHELLEY,1,2,Jon Stephens,5.99
5.99,337,JERRY JORDON,1,1,Mike Hillyer,5.99
5.99,34,REBECCA SCOTT,1,2,Jon Stephens,5.99
5.99,340,PATRICK NEWSOM,1,2,Jon Stephens,5.99
5.99,340,PATRICK NEWSOM,2,1,Mike Hillyer,11.98
5.99,342,HAROLD MARTINO,1,1,Mike Hillyer,5.99
5.99,342,HAROLD MARTINO,1,2,Jon Stephens,5.99
5.99,346,ARTHUR SIMPKINS,1,1,Mike Hillyer,5.99
5.99,351,JACK FOUST,1,2,Jon Stephens,5.99
5.99,358,SAMUEL MARLOW,1,1,Mike Hillyer,5.99
5.99,371,BILLY POULIN,1,2,Jon Stephens,5.99
5.99,375,AARON SELBY,1,1,Mike Hillyer,5.99
5.99,378,EUGENE CULPEPPER,1,1,Mike Hillyer,5.99
5.99,384,ERNEST STEPP,1,2,Jon Stephens,5.99
5.99,386,TODD TAN,1,2,Jon Stephens,5.99
5.99,387,JESSE SCHILLING,1,2,Jon Stephens,5.99
5.99,388,CRAIG MORRELL,1,1,Mike Hillyer,5.99
5.99,39,DEBRA NELSON,1,1,Mike Hillyer,5.99
5.99,390,SHAWN HEATON,1,2,Jon Stephens,5.99
5.99,397,JIMMY SCHRADER,1,1,Mike Hillyer,5.99
5.99,399,DANNY ISOM,1,1,Mike Hillyer,5.99
5.99,4,BARBARA JONES,1,1,Mike Hillyer,5.99
5.99,405,LEONARD SCHOFIELD,1,1,Mike Hillyer,5.99
5.99,405,LEONARD SCHOFIELD,1,2,Jon Stephens,5.99
5.99,410,CURTIS IRBY,1,2,Jon Stephens,5.99
5.99,413,MARVIN YEE,1,2,Jon Stephens,5.99
5.99,422,MELVIN ELLINGTON,1,1,Mike Hillyer,5.99
5.99,427,JESUS MCCARTNEY,2,1,Mike Hillyer,11.98
5.99,432,EDWIN BURK,1,2,Jon Stephens,5.99
5.99,437,RANDALL NEUMANN,1,2,Jon Stephens,5.99
5.99,442,LEROY BUSTAMANTE,1,1,Mike Hillyer,5.99
5.99,448,MIGUEL BETANCOURT,1,1,Mike Hillyer,5.99
5.99,452,TOM MILNER,1,1,Mike Hillyer,5.99
5.99,453,CALVIN MARTEL,1,2,Jon Stephens,5.99
5.99,458,LLOYD DOWD,1,2,Jon Stephens,5.99
5.99,461,DEREK BLAKELY,1,2,Jon Stephens,5.99
5.99,47,FRANCES PARKER,1,2,Jon Stephens,5.99
5.99,472,GREG ROBINS,1,1,Mike Hillyer,5.99
5.99,484,ROBERTO VU,1,1,Mike Hillyer,5.99
5.99,486,GLEN TALBERT,1,1,Mike Hillyer,5.99
5.99,488,SHANE MILLARD,1,2,Jon Stephens,5.99
5.99,497,GILBERT SLEDGE,1,1,Mike Hillyer,5.99
5.99,500,REGINALD KINDER,1,1,Mike Hillyer,5.99
5.99,501,RUBEN GEARY,1,2,Jon Stephens,5.99
5.99,505,RAFAEL ABNEY,1,2,Jon Stephens,5.99
5.99,515,ANDRE RAPP,1,2,Jon Stephens,5.99
5.99,518,GABRIEL HARDER,1,2,Jon Stephens,5.99
5.99,533,JESSIE MILAM,1,1,Mike Hillyer,5.99
5.99,538,TED BREAUX,1,1,Mike Hillyer,5.99
5.99,543,LANCE PEMBERTON,1,2,Jon Stephens,5.99
5.99,546,KELLY KNOTT,1,1,Mike Hillyer,5.99
5.99,561,IAN STILL,1,1,Mike Hillyer,5.99
5.99,565,JAIME NETTLES,2,1,Mike Hillyer,11.98
5.99,566,CASEY MENA,1,1,Mike Hillyer,5.99
5.99,569,DAVE GARDINER,1,2,Jon Stephens,5.99
5.99,57,EVELYN MORGAN,1,1,Mike Hillyer,5.99
5.99,573,BYRON BOX,1,2,Jon Stephens,5.99
5.99,574,JULIAN VEST,1,2,Jon Stephens,5.99
5.99,579,DARYL LARUE,1,2,Jon Stephens,5.99
5.99,583,MARSHALL THORN,1,2,Jon Stephens,5.99
5.99,593,RENE MCALISTER,1,2,Jon Stephens,5.99
5.99,594,EDUARDO HIATT,1,2,Jon Stephens,5.99
5.99,62,JOAN COOPER,1,1,Mike Hillyer,5.99
5.99,71,KATHY JAMES,1,2,Jon Stephens,5.99
5.99,8,SUSAN WILSON,1,1,Mike Hillyer,5.99
5.99,81,ANDREA HENDERSON,1,1,Mike Hillyer,5.99
5.99,83,LOUISE JENKINS,2,1,Mike Hillyer,11.98
5.99,84,SARA PERRY,1,1,Mike Hillyer,5.99
5.99,85,ANNE POWELL,1,1,Mike Hillyer,5.99
5.99,98,LILLIAN GRIFFIN,1,2,Jon Stephens,5.99
6.32,109,EDNA WEST,3,2,Jon Stephens,18.97
6.32,171,DOLORES WAGNER,3,2,Jon Stephens,18.97
6.32,234,CLAUDIA FULLER,3,2,Jon Stephens,18.97
6.32,338,DENNIS GILMAN,3,1,Mike Hillyer,18.97
6.49,137,RHONDA KENNEDY,2,1,Mike Hillyer,12.98
6.49,148,ELEANOR HUNT,2,2,Jon Stephens,12.98
6.49,253,TERRY CARLSON,2,2,Jon Stephens,12.98
6.49,32,AMY LOPEZ,2,2,Jon Stephens,12.98
6.49,327,LARRY THRASHER,2,2,Jon Stephens,12.98
6.49,328,JEFFREY SPEAR,2,2,Jon Stephens,12.98
6.49,357,KEITH RICO,2,2,Jon Stephens,12.98
6.49,456,RONNIE RICKETTS,2,2,Jon Stephens,12.98
6.49,500,REGINALD KINDER,2,2,Jon Stephens,12.98
6.49,556,ARMANDO GRUBER,2,2,Jon Stephens,12.98
6.49,570,IVAN CROMWELL,2,2,Jon Stephens,12.98
6.49,592,TERRANCE ROUSH,2,2,Jon Stephens,12.98
6.99,100,ROBIN HAYES,1,2,Jon Stephens,6.99
6.99,107,FLORENCE WOODS,1,2,Jon Stephens,6.99
6.99,111,CARMEN OWENS,1,1,Mike Hillyer,6.99
6.99,114,GRACE ELLIS,2,2,Jon Stephens,13.98
6.99,115,WENDY HARRISON,1,1,Mike Hillyer,6.99
6.99,130,CHARLOTTE HUNTER,1,1,Mike Hillyer,6.99
6.99,140,EVA RAMOS,1,2,Jon Stephens,6.99
6.99,147,JOANNE ROBERTSON,1,1,Mike Hillyer,6.99
6.99,16,SANDRA MARTIN,1,2,Jon Stephens,6.99
6.99,163,CATHY SPENCER,1,1,Mike Hillyer,6.99
6.99,163,CATHY SPENCER,2,2,Jon Stephens,13.98
6.99,178,MARION SNYDER,2,2,Jon Stephens,13.98
6.99,187,BRITTANY RILEY,1,2,Jon Stephens,6.99
6.99,189,LORETTA CARPENTER,1,1,Mike Hillyer,6.99
6.99,193,KATIE ELLIOTT,2,2,Jon Stephens,13.98
6.99,200,JEANNE LAWSON,1,2,Jon Stephens,6.99
6.99,201,VICKI FIELDS,1,2,Jon Stephens,6.99
6.99,213,GINA WILLIAMSON,1,2,Jon Stephens,6.99
6.99,216,NATALIE MEYER,1,2,Jon Stephens,6.99
6.99,217,AGNES BISHOP,1,1,Mike Hillyer,6.99
6.99,222,DELORES HANSEN,1,2,Jon Stephens,6.99
6.99,227,COLLEEN BURTON,1,1,Mike Hillyer,6.99
6.99,244,VIOLA HANSON,1,2,Jon Stephens,6.99
6.99,251,VICKIE BREWER,1,1,Mike Hillyer,6.99
6.99,255,IRMA PEARSON,1,1,Mike Hillyer,6.99
6.99,256,MABEL HOLLAND,1,1,Mike Hillyer,6.99
6.99,259,LENA JENSEN,2,2,Jon Stephens,13.98
6.99,26,JESSICA HALL,1,2,Jon Stephens,6.99
6.99,262,PATSY DAVIDSON,1,1,Mike Hillyer,6.99
6.99,267,MARGIE WADE,1,1,Mike Hillyer,6.99
6.99,269,CASSANDRA WALTERS,1,2,Jon Stephens,6.99
6.99,270,LEAH CURTIS,1,1,Mike Hillyer,6.99
6.99,273,PRISCILLA LOWE,2,2,Jon Stephens,13.98
6.99,276,BRANDY GRAVES,1,2,Jon Stephens,6.99
6.99,284,SONIA GREGORY,1,2,Jon Stephens,6.99
6.99,289,VIOLET RODRIQUEZ,2,2,Jon Stephens,13.98
6.99,290,KRISTINA CHAMBERS,1,1,Mike Hillyer,6.99
6.99,3,LINDA WILLIAMS,1,2,Jon Stephens,6.99
6.99,304,DAVID ROYAL,1,1,Mike Hillyer,6.99
6.99,306,CHARLES KOWALSKI,1,2,Jon Stephens,6.99
6.99,31,BRENDA WRIGHT,1,2,Jon Stephens,6.99
6.99,310,DANIEL CABRAL,1,2,Jon Stephens,6.99
6.99,311,PAUL TROUT,1,2,Jon Stephens,6.99
6.99,317,EDWARD BAUGH,1,2,Jon Stephens,6.99
6.99,330,SCOTT SHELLEY,1,1,Mike Hillyer,6.99
6.99,331,ERIC ROBERT,1,2,Jon Stephens,6.99
6.99,333,ANDREW PURDY,1,1,Mike Hillyer,6.99
6.99,339,WALTER PERRYMAN,1,1,Mike Hillyer,6.99
6.99,341,PETER MENARD,2,1,Mike Hillyer,13.98
6.99,343,DOUGLAS GRAF,1,2,Jon Stephens,6.99
6.99,349,JOE GILLILAND,1,2,Jon Stephens,6.99
6.99,354,JUSTIN NGO,1,1,Mike Hillyer,6.99
6.99,360,RALPH MADRIGAL,2,2,Jon Stephens,13.98
6.99,365,BRUCE SCHWARZ,1,1,Mike Hillyer,6.99
6.99,370,WAYNE TRUONG,1,2,Jon Stephens,6.99
6.99,371,BILLY POULIN,1,1,Mike Hillyer,6.99
6.99,373,LOUIS LEONE,1,1,Mike Hillyer,6.99
6.99,390,SHAWN HEATON,2,1,Mike Hillyer,13.98
6.99,392,SEAN DOUGLASS,1,2,Jon Stephens,6.99
6.99,393,PHILIP CAUSEY,1,1,Mike Hillyer,6.99
6.99,395,JOHNNY TURPIN,1,1,Mike Hillyer,6.99
6.99,396,EARL SHANKS,1,2,Jon Stephens,6.99
6.99,398,ANTONIO MEEK,1,1,Mike Hillyer,6.99
6.99,400,BRYAN HARDISON,1,2,Jon Stephens,6.99
6.99,403,MIKE WAY,1,2,Jon Stephens,6.99
6.99,423,ALFRED CASILLAS,1,2,Jon Stephens,6.99
6.99,424,KYLE SPURLOCK,1,1,Mike Hillyer,6.99
6.99,425,FRANCIS SIKES,1,1,Mike Hillyer,6.99
6.99,429,FREDERICK ISBELL,2,2,Jon Stephens,13.98
6.99,430,RAY HOULE,1,1,Mike Hillyer,6.99
6.99,434,EDDIE TOMLIN,2,2,Jon Stephens,13.98
6.99,439,ALEXANDER FENNELL,1,1,Mike Hillyer,6.99
6.99,444,MARCUS HIDALGO,2,2,Jon Stephens,13.98
6.99,446,THEODORE CULP,1,2,Jon Stephens,6.99
6.99,448,MIGUEL BETANCOURT,2,2,Jon Stephens,13.98
6.99,451,JIM REA,2,1,Mike Hillyer,13.98
6.99,47,FRANCES PARKER,1,1,Mike Hillyer,6.99
6.99,472,GREG ROBINS,1,2,Jon Stephens,6.99
6.99,478,LEWIS LYMAN,1,1,Mike Hillyer,6.99
6.99,479,ZACHARY HITE,1,2,Jon Stephens,6.99
6.99,498,GENE SANBORN,1,1,Mike Hillyer,6.99
6.99,504,NATHANIEL ADAM,1,1,Mike Hillyer,6.99
6.99,505,RAFAEL ABNEY,2,1,Mike Hillyer,13.98
6.99,506,LESLIE SEWARD,1,2,Jon Stephens,6.99
6.99,510,BEN EASTER,3,2,Jon Stephens,20.97
6.99,512,CECIL VINES,1,1,Mike Hillyer,6.99
6.99,520,MITCHELL WESTMORELAND,1,2,Jon Stephens,6.99
6.99,523,HARVEY GUAJARDO,1,2,Jon Stephens,6.99
6.99,526,KARL SEAL,1,1,Mike Hillyer,6.99
6.99,533,JESSIE MILAM,1,2,Jon Stephens,6.99
6.99,54,TERESA ROGERS,1,2,Jon Stephens,6.99
6.99,541,DARREN WINDHAM,1,1,Mike Hillyer,6.99
6.99,553,MAX PITT,1,2,Jon Stephens,6.99
6.99,554,DWAYNE OLVERA,2,1,Mike Hillyer,13.98
6.99,556,ARMANDO GRUBER,1,1,Mike Hillyer,6.99
6.99,557,FELIX GAFFNEY,1,2,Jon Stephens,6.99
6.99,56,GLORIA COOK,1,2,Jon Stephens,6.99
6.99,569,DAVE GARDINER,1,1,Mike Hillyer,6.99
6.99,574,JULIAN VEST,1,1,Mike Hillyer,6.99
6.99,577,CLIFTON MALCOLM,1,2,Jon Stephens,6.99
6.99,578,WILLARD LUMPKIN,1,2,Jon Stephens,6.99
6.99,584,SALVADOR TEEL,1,2,Jon Stephens,6.99
6.99,594,EDUARDO HIATT,1,1,Mike Hillyer,6.99
6.99,599,AUSTIN CINTRON,1,1,Mike Hillyer,6.99
6.99,599,AUSTIN CINTRON,1,2,Jon Stephens,6.99
6.99,62,JOAN COOPER,1,2,Jon Stephens,6.99
6.99,66,JANICE WARD,1,2,Jon Stephens,6.99
6.99,75,TAMMY SANDERS,1,2,Jon Stephens,6.99
6.99,76,IRENE PRICE,1,1,Mike Hillyer,6.99
6.99,90,RUBY WASHINGTON,1,2,Jon Stephens,6.99
6.99,96,DIANA ALEXANDER,2,2,Jon Stephens,13.98
7.32,236,MARCIA DEAN,3,2,Jon Stephens,21.97
7.49,11,LISA ANDERSON,2,1,Mike Hillyer,14.98
7.49,149,VALERIE BLACK,2,2,Jon Stephens,14.98
7.49,176,JUNE CARROLL,4,1,Mike Hillyer,29.96
7.49,299,JAMES GANNON,2,1,Mike Hillyer,14.98
7.49,322,JASON MORRISSEY,2,2,Jon Stephens,14.98
7.49,353,JONATHAN SCARBOROUGH,2,2,Jon Stephens,14.98
7.49,379,CARLOS COUGHLIN,2,1,Mike Hillyer,14.98
7.49,388,CRAIG MORRELL,2,2,Jon Stephens,14.98
7.49,403,MIKE WAY,2,1,Mike Hillyer,14.98
7.49,409,RODNEY MOELLER,2,2,Jon Stephens,14.98
7.49,426,BRADLEY MOTLEY,2,1,Mike Hillyer,14.98
7.49,454,ALEX GRESHAM,4,2,Jon Stephens,29.96
7.49,519,RON DELUCA,2,2,Jon Stephens,14.98
7.49,526,KARL SEAL,2,2,Jon Stephens,14.98
7.49,588,MARION OCAMPO,2,2,Jon Stephens,14.98
7.49,68,NICOLE PETERSON,2,2,Jon Stephens,14.98
7.49,78,LORI WOOD,2,2,Jon Stephens,14.98
7.99,113,CINDY FISHER,2,1,Mike Hillyer,15.98
7.99,119,SHERRY MARSHALL,1,1,Mike Hillyer,7.99
7.99,122,THELMA MURRAY,1,2,Jon Stephens,7.99
7.99,125,ETHEL WEBB,1,1,Mike Hillyer,7.99
7.99,128,MARJORIE TUCKER,1,2,Jon Stephens,7.99
7.99,133,PAULINE HENRY,1,2,Jon Stephens,7.99
7.99,134,EMMA BOYD,2,1,Mike Hillyer,15.98
7.99,138,HAZEL WARREN,1,1,Mike Hillyer,7.99
7.99,139,AMBER DIXON,1,2,Jon Stephens,7.99
7.99,141,DEBBIE REYES,2,2,Jon Stephens,15.98
7.99,146,JAMIE RICE,1,2,Jon Stephens,7.99
7.99,155,GAIL KNIGHT,2,1,Mike Hillyer,15.98
7.99,158,VERONICA STONE,2,2,Jon Stephens,15.98
7.99,16,SANDRA MARTIN,2,1,Mike Hillyer,15.98
7.99,174,YVONNE WATKINS,1,2,Jon Stephens,7.99
7.99,179,DANA HART,1,2,Jon Stephens,7.99
7.99,194,KRISTEN CHAVEZ,1,1,Mike Hillyer,7.99
7.99,201,VICKI FIELDS,1,1,Mike Hillyer,7.99
7.99,203,TARA RYAN,1,2,Jon Stephens,7.99
7.99,204,ROSEMARY SCHMIDT,1,1,Mike Hillyer,7.99
7.99,204,ROSEMARY SCHMIDT,1,2,Jon Stephens,7.99
7.99,21,MICHELLE CLARK,1,2,Jon Stephens,7.99
7.99,211,STACEY MONTGOMERY,2,2,Jon Stephens,15.98
7.99,224,PEARL GARZA,1,1,Mike Hillyer,7.99
7.99,225,ARLENE HARVEY,1,2,Jon Stephens,7.99
7.99,229,TAMARA NGUYEN,1,1,Mike Hillyer,7.99
7.99,24,KIMBERLY LEE,1,2,Jon Stephens,7.99
7.99,249,DORA MEDINA,1,2,Jon Stephens,7.99
7.99,25,DEBORAH WALKER,2,2,Jon Stephens,15.98
7.99,251,VICKIE BREWER,1,2,Jon Stephens,7.99
7.99,259,LENA JENSEN,1,1,Mike Hillyer,7.99
7.99,26,JESSICA HALL,2,1,Mike Hillyer,15.98
7.99,265,JENNIE TERRY,1,2,Jon Stephens,7.99
7.99,267,MARGIE WADE,1,2,Jon Stephens,7.99
7.99,283,FELICIA SUTTON,1,2,Jon Stephens,7.99
7.99,285,MIRIAM MCKINNEY,1,2,Jon Stephens,7.99
7.99,287,BECKY MILES,1,1,Mike Hillyer,7.99
7.99,29,ANGELA HERNANDEZ,1,1,Mike Hillyer,7.99
7.99,293,MAE FLETCHER,2,1,Mike Hillyer,15.98
7.99,3,LINDA WILLIAMS,2,1,Mike Hillyer,15.98
7.99,308,THOMAS GRIGSBY,1,1,Mike Hillyer,7.99
7.99,31,BRENDA WRIGHT,1,1,Mike Hillyer,7.99
7.99,313,DONALD MAHON,1,1,Mike Hillyer,7.99
7.99,318,BRIAN WYMAN,1,2,Jon Stephens,7.99
7.99,320,ANTHONY SCHWAB,1,2,Jon Stephens,7.99
7.99,341,PETER MENARD,2,2,Jon Stephens,15.98
7.99,343,DOUGLAS GRAF,2,1,Mike Hillyer,15.98
7.99,378,EUGENE CULPEPPER,1,2,Jon Stephens,7.99
7.99,383,MARTIN BALES,2,1,Mike Hillyer,15.98
7.99,40,AMANDA CARTER,1,2,Jon Stephens,7.99
7.99,406,NATHAN RUNYON,1,1,Mike Hillyer,7.99
7.99,41,STEPHANIE MITCHELL,1,2,Jon Stephens,7.99
7.99,414,VINCENT RALSTON,2,1,Mike Hillyer,15.98
7.99,423,ALFRED CASILLAS,2,1,Mike Hillyer,15.98
7.99,431,JOEL FRANCISCO,2,2,Jon Stephens,15.98
7.99,453,CALVIN MARTEL,1,1,Mike Hillyer,7.99
7.99,457,BILL GAVIN,1,1,Mike Hillyer,7.99
7.99,462,WARREN SHERROD,2,2,Jon Stephens,15.98
7.99,467,ALVIN DELOACH,2,1,Mike Hillyer,15.98
7.99,470,GORDON ALLARD,1,2,Jon Stephens,7.99
7.99,474,DUSTIN GILLETTE,1,2,Jon Stephens,7.99
7.99,489,RICARDO MEADOR,1,1,Mike Hillyer,7.99
7.99,495,CHARLIE BESS,1,1,Mike Hillyer,7.99
7.99,501,RUBEN GEARY,1,1,Mike Hillyer,7.99
7.99,502,BRETT CORNWELL,1,2,Jon Stephens,7.99
7.99,513,DUANE TUBBS,1,2,Jon Stephens,7.99
7.99,57,EVELYN MORGAN,1,2,Jon Stephens,7.99
7.99,573,BYRON BOX,1,1,Mike Hillyer,7.99
7.99,576,MORRIS MCCARTER,2,2,Jon Stephens,15.98
7.99,582,ANDY VANHORN,1,1,Mike Hillyer,7.99
7.99,585,PERRY SWAFFORD,1,2,Jon Stephens,7.99
7.99,590,SETH HANNON,1,2,Jon Stephens,7.99
7.99,592,TERRANCE ROUSH,1,1,Mike Hillyer,7.99
7.99,65,ROSE HOWARD,1,1,Mike Hillyer,7.99
7.99,74,DENISE KELLY,1,2,Jon Stephens,7.99
7.99,75,TAMMY SANDERS,1,1,Mike Hillyer,7.99
7.99,88,BONNIE HUGHES,1,1,Mike Hillyer,7.99
7.99,89,JULIA FLORES,1,2,Jon Stephens,7.99
7.99,9,MARGARET MOORE,1,2,Jon Stephens,7.99
8.49,178,MARION SNYDER,2,1,Mike Hillyer,16.98
8.49,221,BESSIE MORRISON,2,1,Mike Hillyer,16.98
8.49,287,BECKY MILES,2,2,Jon Stephens,16.98
8.49,309,CHRISTOPHER GRECO,2,2,Jon Stephens,16.98
8.49,322,JASON MORRISSEY,2,1,Mike Hillyer,16.98
8.49,347,RYAN SALISBURY,2,1,Mike Hillyer,16.98
8.49,466,LEO EBERT,2,2,Jon Stephens,16.98
8.49,49,JOYCE EDWARDS,2,2,Jon Stephens,16.98
8.49,506,LESLIE SEWARD,2,1,Mike Hillyer,16.98
8.49,523,HARVEY GUAJARDO,2,1,Mike Hillyer,16.98
8.49,590,SETH HANNON,2,1,Mike Hillyer,16.98
8.49,89,JULIA FLORES,2,1,Mike Hillyer,16.98
8.99,102,CRYSTAL FORD,1,2,Jon Stephens,8.99
8.99,108,TRACY COLE,1,1,Mike Hillyer,8.99
8.99,110,TIFFANY JORDAN,1,2,Jon Stephens,8.99
8.99,13,KAREN JACKSON,1,1,Mike Hillyer,8.99
8.99,164,JOANN GARDNER,1,1,Mike Hillyer,8.99
8.99,17,DONNA THOMPSON,1,1,Mike Hillyer,8.99
8.99,170,BEATRICE ARNOLD,1,2,Jon Stephens,8.99
8.99,18,CAROL GARCIA,1,1,Mike Hillyer,8.99
8.99,193,KATIE ELLIOTT,1,1,Mike Hillyer,8.99
8.99,197,SUE PETERS,1,2,Jon Stephens,8.99
8.99,222,DELORES HANSEN,1,1,Mike Hillyer,8.99
8.99,230,JOY GEORGE,1,2,Jon Stephens,8.99
8.99,232,CONSTANCE REID,1,1,Mike Hillyer,8.99
8.99,258,MYRTLE FLEMING,1,2,Jon Stephens,8.99
8.99,261,DEANNA BYRD,1,2,Jon Stephens,8.99
8.99,262,PATSY DAVIDSON,1,2,Jon Stephens,8.99
8.99,263,HILDA HOPKINS,1,2,Jon Stephens,8.99
8.99,286,VELMA LUCAS,1,1,Mike Hillyer,8.99
8.99,289,VIOLET RODRIQUEZ,2,1,Mike Hillyer,17.98
8.99,290,KRISTINA CHAMBERS,1,2,Jon Stephens,8.99
8.99,295,DAISY BATES,1,2,Jon Stephens,8.99
8.99,297,SHERRI RHODES,1,1,Mike Hillyer,8.99
8.99,303,WILLIAM SATTERFIELD,1,1,Mike Hillyer,8.99
8.99,316,STEVEN CURLEY,1,2,Jon Stephens,8.99
8.99,33,ANNA HILL,1,2,Jon Stephens,8.99
8.99,347,RYAN SALISBURY,1,2,Jon Stephens,8.99
8.99,348,ROGER QUINTANILLA,1,1,Mike Hillyer,8.99
8.99,349,JOE GILLILAND,1,1,Mike Hillyer,8.99
8.99,384,ERNEST STEPP,2,1,Mike Hillyer,17.98
8.99,442,LEROY BUSTAMANTE,1,2,Jon Stephens,8.99
8.99,46,CATHERINE CAMPBELL,1,2,Jon Stephens,8.99
8.99,465,FLOYD GANDY,1,1,Mike Hillyer,8.99
8.99,468,TIM CARY,1,1,Mike Hillyer,8.99
8.99,474,DUSTIN GILLETTE,1,1,Mike Hillyer,8.99
8.99,477,DAN PAINE,2,1,Mike Hillyer,17.98
8.99,478,LEWIS LYMAN,1,2,Jon Stephens,8.99
8.99,483,VERNON CHAPA,1,1,Mike Hillyer,8.99
8.99,485,CLYDE TOBIAS,1,1,Mike Hillyer,8.99
8.99,497,GILBERT SLEDGE,1,2,Jon Stephens,8.99
8.99,510,BEN EASTER,1,1,Mike Hillyer,8.99
8.99,517,BRAD MCCURDY,1,1,Mike Hillyer,8.99
8.99,522,ARNOLD HAVENS,1,2,Jon Stephens,8.99
8.99,537,CLINTON BUFORD,1,1,Mike Hillyer,8.99
8.99,537,CLINTON BUFORD,1,2,Jon Stephens,8.99
8.99,547,KURT EMMONS,1,2,Jon Stephens,8.99
8.99,550,GUY BROWNLEE,2,1,Mike Hillyer,17.98
8.99,553,MAX PITT,1,1,Mike Hillyer,8.99
8.99,589,TRACY HERRMANN,1,1,Mike Hillyer,8.99
8.99,589,TRACY HERRMANN,1,2,Jon Stephens,8.99
8.99,77,JANE BENNETT,1,2,Jon Stephens,8.99
