first_name,last_name,payment_count,total_payment_amount,average_payment_amount,suspicious_activity
MARK,RINEHART,11,48.89,4.44,1
BRENDA,WRIGHT,11,48.89,4.44,1
MINNIE,ROMERO,12,48.88,4.07,1
JULIE,SANCHEZ,12,48.88,4.07,1
SYLVIA,ORTIZ,13,48.87,3.76,1
SHERRI,RHODES,13,48.87,3.76,1
ELLEN,SIMPSON,13,48.87,3.76,1
ROSEMARY,SCHMIDT,14,48.86,3.49,1
SALLY,PIERCE,15,48.85,3.26,1
PATSY,DAVIDSON,11,47.89,4.35,1
JUDY,GRAY,11,47.89,4.35,1
VANESSA,SIMS,11,47.89,4.35,1
BERNARD,COLBY,12,47.88,3.99,1
CHRISTINE,ROBERTS,12,47.88,3.99,1
PAULINE,HENRY,13,47.87,3.68,1
HAZEL,WARREN,15,47.85,3.19,1
SIDNEY,BURLESON,11,46.89,4.26,1
ADAM,GOOCH,11,46.89,4.26,1
DELORES,HANSEN,11,46.89,4.26,1
ANGELA,HERNANDEZ,11,46.89,4.26,1
ANNETTE,OLSON,11,46.89,4.26,1
SHIRLEY,ALLEN,12,46.88,3.91,1
JOSE,ANDREW,12,46.88,3.91,1
OLGA,JIMENEZ,12,46.88,3.91,1
BILLY,POULIN,12,46.88,3.91,1
JESSICA,HALL,13,46.87,3.61,1
LUCY,WHEELER,13,46.87,3.61,1
HECTOR,POINDEXTER,14,46.86,3.35,1
BRANDY,GRAVES,11,45.89,4.17,1
ALEX,GRESHAM,11,45.89,4.17,1
WILLARD,LUMPKIN,11,45.89,4.17,1
DOROTHY,TAYLOR,11,45.89,4.17,1
MARGIE,WADE,11,45.89,4.17,1
ALEXANDER,FENNELL,12,45.88,3.82,1
JOE,GILLILAND,12,45.88,3.82,1
HAROLD,MARTINO,12,45.88,3.82,1
JASON,MORRISSEY,12,45.88,3.82,1
MANUEL,MURRELL,12,45.88,3.82,1
FRED,WHEAT,12,45.88,3.82,1
LYDIA,BURKE,13,45.87,3.53,1
TOM,MILNER,13,45.87,3.53,1
VERONICA,STONE,13,45.87,3.53,1
GUY,BROWNLEE,11,44.89,4.08,1
JAMES,GANNON,11,44.89,4.08,1
PHILLIP,HOLM,11,44.89,4.08,1
BONNIE,HUGHES,11,44.89,4.08,1
COLLEEN,BURTON,12,44.88,3.74,1
RENE,MCALISTER,12,44.88,3.74,1
SALVADOR,TEEL,12,44.88,3.74,1
ESTHER,CRAWFORD,14,44.86,3.2,1
IVAN,CROMWELL,14,44.86,3.2,1
CINDY,FISHER,11,43.89,3.99,1
KELLY,KNOTT,11,43.89,3.99,1
MARC,OUTLAW,12,43.88,3.66,1
HILDA,HOPKINS,13,43.87,3.37,1
KEITH,RICO,12,42.88,3.57,1
VICKIE,BREWER,11,41.89,3.81,1
HOWARD,FORTNER,11,41.89,3.81,1
DEBBIE,REYES,11,41.89,3.81,1
EVERETT,BANDA,12,41.88,3.49,1
SCOTT,SHELLEY,12,41.88,3.49,1
AMANDA,CARTER,11,40.89,3.72,1
ALFREDO,MCADAMS,11,40.89,3.72,1
BECKY,MILES,11,40.89,3.72,1
GLENN,PULLEN,11,40.89,3.72,1
CATHY,SPENCER,11,40.89,3.72,1
CLINTON,BUFORD,12,40.88,3.41,1
ANNIE,RUSSELL,12,40.88,3.41,1
KATHLEEN,ADAMS,13,40.87,3.14,1
JACOB,LANCE,11,39.89,3.63,1
ANTHONY,SCHWAB,11,39.89,3.63,1
RENEE,LANE,12,39.88,3.32,1
EARL,SHANKS,12,39.88,3.32,1
DEBORAH,WALKER,12,39.88,3.32,1
CHAD,CARBONE,13,39.87,3.07,1
NANCY,THOMAS,13,39.87,3.07,1
REGINALD,KINDER,11,38.89,3.54,1
KIM,CRUZ,11,37.89,3.44,1
CLARENCE,GAMEZ,11,37.89,3.44,1
BOBBY,BOUDREAU,14,37.86,2.7,1
GEORGIA,JACOBS,11,36.89,3.35,1
CHRISTY,VARGAS,12,36.88,3.07,1
CHESTER,BENNER,11,35.89,3.26,1
CRAIG,MORRELL,11,35.89,3.26,1
SUSAN,WILSON,12,35.88,2.99,1
IDA,ANDREWS,11,34.89,3.17,1
TRACEY,BARRETT,11,34.89,3.17,1
JAIME,NETTLES,11,34.89,3.17,1
NORMAN,CURRIER,12,32.88,2.74,1
JOANNE,ROBERTSON,13,31.87,2.45,1
LEONARD,SCHOFIELD,11,29.89,2.72,1
DEREK,BLAKELY,11,26.89,2.44,1
CARL,ARTIS,10,49.9,4.99,0
ERICA,MATTHEWS,10,49.9,4.99,0
JESUS,MCCARTNEY,10,49.9,4.99,0
JARED,ELY,8,48.92,6.12,0
VERNON,CHAPA,9,48.91,5.43,0
JOHNNIE,CHISHOLM,9,48.91,5.43,0
GREG,ROBINS,9,48.91,5.43,0
HUGH,WALDROP,9,48.91,5.43,0
ROBERT,BAUGHMAN,10,48.9,4.89,0
SERGIO,STANFIELD,10,48.9,4.89,0
DAWN,SULLIVAN,10,48.9,4.89,0
KENNETH,GOODEN,8,47.92,5.99,0
DORA,MEDINA,8,47.92,5.99,0
LONNIE,TIRADO,8,47.92,5.99,0
DENISE,KELLY,10,47.9,4.79,0
FRANCES,PARKER,10,47.9,4.79,0
SHELLY,WATTS,10,47.9,4.79,0
ELMER,NOE,9,46.91,5.21,0
CASSANDRA,WALTERS,9,46.91,5.21,0
BEVERLY,BROOKS,10,46.9,4.69,0
BEN,EASTER,10,46.9,4.69,0
MAE,FLETCHER,10,46.9,4.69,0
CALVIN,MARTEL,10,46.9,4.69,0
LESLIE,SEWARD,10,46.9,4.69,0
EILEEN,CARR,8,45.92,5.74,0
PAUL,TROUT,8,45.92,5.74,0
FREDERICK,ISBELL,9,45.91,5.1,0
JON,WILES,9,45.91,5.1,0
JEFF,EAST,10,45.9,4.59,0
SHANNON,FREEMAN,10,45.9,4.59,0
NAOMI,JENNINGS,10,45.9,4.59,0
ANN,EVANS,8,44.92,5.62,0
MYRTLE,FLEMING,10,44.9,4.49,0
RITA,GRAHAM,10,44.9,4.49,0
SHERRY,MARSHALL,10,44.9,4.49,0
RICHARD,MCCRARY,10,44.9,4.49,0
RANDALL,NEUMANN,10,44.9,4.49,0
BRUCE,SCHWARZ,10,44.9,4.49,0
COREY,HAUSER,8,43.92,5.49,0
PAULA,BRYANT,9,43.91,4.88,0
ALBERT,CROUSE,9,43.91,4.88,0
DONNA,THOMPSON,9,43.91,4.88,0
MIGUEL,BETANCOURT,10,43.9,4.39,0
NICOLE,PETERSON,10,43.9,4.39,0
RICKY,SHELBY,10,43.9,4.39,0
BRENT,HARKINS,8,42.92,5.37,0
NELLIE,GARRETT,9,42.91,4.77,0
JULIO,NOLAND,9,42.91,4.77,0
DIANNE,SHELTON,9,42.91,4.77,0
GAIL,KNIGHT,10,42.9,4.29,0
SHARON,ROBINSON,10,42.9,4.29,0
LEON,BOSTIC,8,41.92,5.24,0
DANIEL,CABRAL,8,41.92,5.24,0
NELSON,CHRISTENSON,9,41.91,4.66,0
RAUL,FORTIER,9,41.91,4.66,0
MAUREEN,LITTLE,9,41.91,4.66,0
ANGEL,BARCLAY,10,41.9,4.19,0
TIMOTHY,BUNN,10,41.9,4.19,0
APRIL,BURNS,10,41.9,4.19,0
KURT,EMMONS,10,41.9,4.19,0
VICTORIA,GIBSON,10,41.9,4.19,0
HARVEY,GUAJARDO,10,41.9,4.19,0
GERALDINE,PERKINS,10,41.9,4.19,0
CONNIE,WALLACE,10,41.9,4.19,0
WILMA,RICHARDS,7,40.93,5.85,0
TARA,RYAN,7,40.93,5.85,0
LILLIAN,GRIFFIN,9,40.91,4.55,0
HELEN,HARRIS,9,40.91,4.55,0
EDDIE,TOMLIN,9,40.91,4.55,0
STACY,CUNNINGHAM,10,40.9,4.09,0
DENNIS,GILMAN,10,40.9,4.09,0
VINCENT,RALSTON,10,40.9,4.09,0
TYRONE,ASHER,9,39.91,4.43,0
DERRICK,BOURQUE,9,39.91,4.43,0
JEANETTE,GREENE,9,39.91,4.43,0
WILLIE,MARKHAM,9,39.91,4.43,0
VICTOR,BARKLEY,10,39.9,3.99,0
SUZANNE,NICHOLS,10,39.9,3.99,0
JEAN,BELL,9,38.91,4.32,0
GLENDA,FRAZIER,9,38.91,4.32,0
WALLACE,SLONE,9,38.91,4.32,0
CHRIS,BROTHERS,10,38.9,3.89,0
JOANN,GARDNER,10,38.9,3.89,0
JILL,HAWKINS,10,38.9,3.89,0
JEREMY,HURTADO,10,38.9,3.89,0
JIM,REA,7,37.93,5.42,0
VERA,MCCOY,8,37.92,4.74,0
SHEILA,WELLS,8,37.92,4.74,0
GLORIA,COOK,9,37.91,4.21,0
BILLIE,HORTON,9,37.91,4.21,0
ROSE,HOWARD,9,37.91,4.21,0
BOB,PFEIFFER,9,37.91,4.21,0
JANET,PHILLIPS,9,37.91,4.21,0
LORETTA,CARPENTER,10,37.9,3.79,0
TRACY,HERRMANN,10,37.9,3.79,0
JEANNE,LAWSON,10,37.9,3.79,0
PAMELA,BAKER,6,36.94,6.16,0
KAY,CALDWELL,6,36.94,6.16,0
DORIS,REED,7,36.93,5.28,0
JAMIE,RICE,7,36.93,5.28,0
ELAINE,STEVENS,7,36.93,5.28,0
OSCAR,AQUINO,8,36.92,4.62,0
RUBEN,GEARY,9,36.91,4.1,0
ISAAC,OGLESBY,9,36.91,4.1,0
VIVIAN,RUIZ,9,36.91,4.1,0
WILLIAM,SATTERFIELD,9,36.91,4.1,0
CECIL,VINES,9,36.91,4.1,0
TONY,CARRANZA,10,36.9,3.69,0
JEFFERY,PINSON,10,36.9,3.69,0
THERESA,WATSON,10,36.9,3.69,0
TRAVIS,ESTEP,7,35.93,5.13,0
KRISTIN,JOHNSTON,8,35.92,4.49,0
SUE,PETERS,8,35.92,4.49,0
BENJAMIN,VARNEY,8,35.92,4.49,0
LAURIE,LAWRENCE,10,35.9,3.59,0
RUTH,MARTINEZ,6,34.94,5.82,0
BERTHA,FERGUSON,9,34.91,3.88,0
SANDRA,MARTIN,10,34.9,3.49,0
RAFAEL,ABNEY,6,33.94,5.66,0
RAY,HOULE,7,33.93,4.85,0
ANTONIO,MEEK,7,33.93,4.85,0
STELLA,MORENO,7,33.93,4.85,0
DARREN,WINDHAM,7,33.93,4.85,0
AGNES,BISHOP,9,33.91,3.77,0
TERRY,CARLSON,9,33.91,3.77,0
CAROL,GARCIA,9,33.91,3.77,0
LESLIE,GORDON,9,33.91,3.77,0
REBECCA,SCOTT,9,33.91,3.77,0
DOLORES,WAGNER,9,33.91,3.77,0
JEROME,KENYON,6,32.94,5.49,0
NATALIE,MEYER,6,32.94,5.49,0
KATHERINE,RIVERA,6,32.94,5.49,0
MELINDA,FERNANDEZ,7,32.93,4.7,0
LAUREN,HUDSON,7,32.93,4.7,0
YVONNE,WATKINS,7,32.93,4.7,0
CATHERINE,CAMPBELL,8,32.92,4.12,0
CAROLE,BARNETT,9,32.91,3.66,0
ERIKA,PENA,10,32.9,3.29,0
JESSIE,BANKS,7,31.93,4.56,0
HEATHER,MORRIS,7,31.93,4.56,0
LAURA,RODRIGUEZ,7,31.93,4.56,0
MELANIE,ARMSTRONG,8,31.92,3.99,0
CHARLOTTE,HUNTER,8,31.92,3.99,0
MICHELLE,CLARK,9,31.91,3.55,0
LLOYD,DOWD,9,31.91,3.55,0
JOSEPHINE,GOMEZ,9,31.91,3.55,0
LOUISE,JENKINS,9,31.91,3.55,0
ROLAND,SOUTH,9,31.91,3.55,0
DUSTIN,GILLETTE,10,31.9,3.19,0
CARLOS,COUGHLIN,6,30.94,5.16,0
LEAH,CURTIS,7,30.93,4.42,0
DANNY,ISOM,8,30.92,3.87,0
ANDRE,RAPP,8,30.92,3.87,0
KELLY,TORRES,8,30.92,3.87,0
DARRYL,ASHCRAFT,9,30.91,3.43,0
PENNY,NEAL,9,30.91,3.43,0
PATRICK,NEWSOM,9,30.91,3.43,0
DARRELL,POWER,10,30.9,3.09,0
ALLAN,CORNISH,6,29.94,4.99,0
DWIGHT,LOMBARDI,6,29.94,4.99,0
CODY,NOLEN,6,29.94,4.99,0
AUSTIN,CINTRON,7,29.93,4.28,0
PETER,MENARD,7,29.93,4.28,0
EVA,RAMOS,7,29.93,4.28,0
IAN,STILL,7,29.93,4.28,0
ANNA,HILL,8,29.92,3.74,0
TERESA,ROGERS,8,29.92,3.74,0
TYLER,WREN,8,29.92,3.74,0
CARMEN,OWENS,9,29.91,3.32,0
DEAN,SAUER,9,29.91,3.32,0
MICHEAL,FORMAN,10,29.9,2.99,0
LAWRENCE,LAWTON,10,29.9,2.99,0
MEGAN,PALMER,10,29.9,2.99,0
HENRY,BILLINGSLEY,6,28.94,4.82,0
DEANNA,BYRD,7,28.93,4.13,0
NORMA,GONZALES,7,28.93,4.13,0
LEWIS,LYMAN,7,28.93,4.13,0
CLAYTON,BARBEE,8,28.92,3.62,0
ERIN,DUNN,9,28.91,3.21,0
MARGARET,MOORE,9,28.91,3.21,0
KATIE,ELLIOTT,6,27.94,4.66,0
THOMAS,GRIGSBY,6,27.94,4.66,0
MARIAN,MENDOZA,6,27.94,4.66,0
BILL,GAVIN,7,27.93,3.99,0
YOLANDA,WEAVER,7,27.93,3.99,0
MILDRED,BAILEY,8,27.92,3.49,0
MARCUS,HIDALGO,8,27.92,3.49,0
LEONA,OBRIEN,8,27.92,3.49,0
LANCE,PEMBERTON,8,27.92,3.49,0
WAYNE,TRUONG,8,27.92,3.49,0
PEARL,GARZA,9,27.91,3.1,0
EDITH,MCDONALD,5,26.95,5.39,0
ALLEN,BUTTERFIELD,7,26.93,3.85,0
FREDDIE,DUGGAN,7,26.93,3.85,0
LESTER,KRAUS,7,26.93,3.85,0
CHRISTINA,RAMIREZ,7,26.93,3.85,0
JAY,ROBB,7,26.93,3.85,0
HOLLY,FOX,8,26.92,3.37,0
ANNE,POWELL,8,26.92,3.37,0
EDNA,WEST,8,26.92,3.37,0
MARTIN,BALES,9,26.91,2.99,0
JENNIFER,DAVIS,9,26.91,2.99,0
KIMBERLY,LEE,9,26.91,2.99,0
CORY,MEEHAN,9,26.91,2.99,0
FELIX,GAFFNEY,10,26.9,2.69,0
KRISTEN,CHAVEZ,5,25.95,5.19,0
ALICIA,MILLS,6,25.94,4.32,0
CHRISTIAN,JUNG,7,25.93,3.7,0
IRENE,PRICE,9,25.91,2.88,0
ANITA,MORALES,6,24.94,4.16,0
JEFFREY,SPEAR,6,24.94,4.16,0
BRIAN,WYMAN,6,24.94,4.16,0
DAVE,GARDINER,7,24.93,3.56,0
DONALD,MAHON,7,24.93,3.56,0
RONNIE,RICKETTS,7,24.93,3.56,0
JOHNNY,TURPIN,7,24.93,3.56,0
JUAN,FRALEY,8,24.92,3.12,0
ANDREA,HENDERSON,6,23.94,3.99,0
KIRK,STCLAIR,6,23.94,3.99,0
LEO,EBERT,7,23.93,3.42,0
IRMA,PEARSON,7,23.93,3.42,0
SEAN,DOUGLASS,8,23.92,2.99,0
ALBERTO,HENNING,8,23.92,2.99,0
AARON,SELBY,5,22.95,4.59,0
SAMANTHA,DUNCAN,7,22.93,3.28,0
ARMANDO,GRUBER,7,22.93,3.28,0
TIFFANY,JORDAN,7,22.93,3.28,0
BOBBIE,CRAIG,9,22.91,2.55,0
BARBARA,JONES,5,21.95,4.39,0
JESSE,SCHILLING,5,21.95,4.39,0
ENRIQUE,FORSYTHE,6,21.94,3.66,0
PHYLLIS,FOSTER,6,21.94,3.66,0
MELVIN,ELLINGTON,7,21.93,3.13,0
NORA,HERRERA,5,20.95,4.19,0
MARVIN,YEE,6,20.94,3.49,0
EUGENE,CULPEPPER,8,20.92,2.62,0
MATTIE,HOFFMAN,10,20.9,2.09,0
JO,FOWLER,7,19.93,2.85,0
SAMUEL,MARLOW,7,19.93,2.85,0
JONATHAN,SCARBOROUGH,5,18.95,3.79,0
CAROLINE,BOWMAN,6,18.94,3.16,0
