customer_id,customer_name,country_name,city_name,payment_date,day_payment_amount,payment_count,personal_avg_30d,country_avg_same_day,deviation_from_personal_avg,deviation_from_country_avg,staff_count,store_count,customer_country_rank
485,CLYDE TOBIAS,China,Shaoguan,2005-06-16,11.98,2,2.99,5.86,8.99,6.12,2,2,6
283,FELICIA SUTTON,China,Korla,2005-07-06,17.96,4,5.98,5.61,11.98,12.35,2,2,7
283,FELICIA SUTTON,China,Korla,2005-06-19,10.98,2,3.49,7.03,7.5,3.95,2,2,7
241,HEIDI LARSON,China,Xiangfan,2005-07-11,14.97,3,3.84,4.88,11.13,10.09,2,2,8
241,HEIDI LARSON,China,Xiangfan,2005-07-09,8.97,3,2.79,5.26,6.18,3.71,2,2,8
550,GUY BROWNLEE,China,Zhoushan,2005-06-21,20.98,2,6.74,5.38,14.24,15.6,2,2,9
546,KELLY KNOTT,China,Sanya,2005-07-12,19.97,3,3.49,7.36,16.48,12.61,2,2,10
93,PHYLLIS FOSTER,China,Zalantun,2005-08-20,19.96,4,3.74,7.13,16.22,12.83,2,2,11
242,GLENDA FRAZIER,China,Qinhuangdao,2005-06-15,14.97,3,3.99,5.44,10.98,9.53,2,2,12
154,MICHELE GRANT,China,Yuncheng,2005-07-27,14.97,3,4.65,5.69,10.32,9.28,2,2,12
569,DAVE GARDINER,China,Leshan,2005-08-02,14.96,4,4.65,7.26,10.31,7.7,2,2,13
564,BOB PFEIFFER,China,Xintai,2005-07-27,13.98,2,3.98,5.69,10.0,8.29,2,2,14
389,ALAN KAHN,China,Emeishan,2005-07-28,13.98,2,3.56,4.86,10.42,9.12,2,2,14
64,JUDITH COX,China,Daxian,2005-07-08,13.97,3,2.49,5.13,11.48,8.84,2,2,15
90,RUBY WASHINGTON,China,Meixian,2005-07-27,13.97,3,3.49,5.69,10.48,8.28,2,2,15
442,LEROY BUSTAMANTE,China,Tongliao,2005-05-28,12.98,2,0.99,5.54,11.99,7.44,2,2,16
313,DONALD MAHON,China,Ezhou,2005-06-19,12.98,2,3.24,7.03,9.74,5.95,2,2,16
168,REGINA BERRY,China,Jinchang,2005-07-07,11.98,2,3.99,6.02,7.99,5.96,2,2,17
138,HAZEL WARREN,China,Hohhot,2005-07-28,11.97,3,3.59,4.86,8.38,7.11,2,2,18
378,EUGENE CULPEPPER,China,Shenzhen,2005-06-16,10.98,2,0.99,5.86,9.99,5.12,2,2,19
165,LORRAINE STEPHENS,China,Hami,2005-07-06,10.98,2,3.49,5.61,7.49,5.37,2,2,19
521,ROLAND SOUTH,China,Yingkou,2005-07-09,7.98,2,1.99,5.26,5.99,2.72,2,2,20
197,SUE PETERS,China,Changzhou,2005-05-29,6.98,2,2.24,5.21,4.74,1.77,2,2,21
37,PAMELA BAKER,China,Nanyang,2005-06-16,6.98,2,1.99,5.86,4.99,1.12,2,2,21
120,SYLVIA ORTIZ,Colombia,Dos Quebradas,2005-08-21,19.97,3,5.21,7.98,14.76,11.99,2,2,1
180,STACY CUNNINGHAM,Colombia,Pereira,2005-07-08,17.98,2,5.98,9.74,12.0,8.25,2,2,2
490,SAM MCDUFFIE,Colombia,Sogamoso,2005-07-12,16.97,3,4.99,7.78,11.98,9.19,2,2,3
235,JACKIE LYNCH,Colombia,Buenaventura,2005-07-06,14.97,3,2.99,8.32,11.98,6.65,2,2,4
258,MYRTLE FLEMING,Dominican Republic,Santiago de los Caballeros,2005-08-01,20.95,5,5.61,9.64,15.34,11.31,2,2,1
418,JEFF EAST,Dominican Republic,San Felipe de Puerto Plata,2005-07-08,11.97,3,3.32,7.98,8.65,3.99,2,2,2
494,RAMON CHOATE,Ecuador,Robamba,2005-08-22,26.96,4,7.48,18.97,19.48,7.99,2,2,1
589,TRACY HERRMANN,Ecuador,Loja,2005-06-19,17.98,2,5.24,16.98,12.74,1.0,2,2,2
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-07-27,24.95,5,2.32,10.98,22.63,13.97,2,2,1
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-06-19,13.98,2,2.49,9.98,11.49,4.0,2,2,1
233,LILLIE KIM,Egypt,Idfu,2005-07-27,13.98,2,4.42,10.98,9.56,3.0,2,2,2
233,LILLIE KIM,Egypt,Idfu,2005-06-18,10.97,3,2.99,10.48,7.98,0.49,2,2,2
134,EMMA BOYD,Egypt,Qalyub,2005-08-02,20.96,4,3.16,8.38,17.8,12.58,2,2,3
559,EVERETT BANDA,Egypt,Bilbays,2005-08-19,13.97,3,4.13,7.98,9.84,5.99,2,2,4
491,RICK MATTOX,Egypt,Mit Ghamr,2005-06-15,7.98,2,1.99,6.65,5.99,1.33,2,2,5
104,RITA GRAHAM,France,Toulon,2005-07-08,15.97,3,4.19,9.98,11.78,5.99,2,2,1
162,LAUREN HUDSON,France,Le Mans,2005-07-29,9.98,2,2.99,6.74,6.99,3.24,2,2,2
56,GLORIA COOK,French Polynesia,Papeete,2005-07-06,10.98,2,3.49,6.49,7.49,4.5,2,2,1
196,ALMA AUSTIN,Germany,Mannheim,2005-07-31,22.97,3,5.84,8.58,17.13,14.39,2,2,1
114,GRACE ELLIS,Germany,Duisburg,2005-07-29,15.98,2,4.54,7.18,11.44,8.8,2,2,2
251,VICKIE BREWER,Germany,Halle/Saale,2005-05-31,11.97,3,3.99,5.24,7.99,6.74,2,2,3
259,LENA JENSEN,India,Halisahar,2005-07-30,21.97,3,5.32,7.56,16.65,14.41,2,2,1
259,LENA JENSEN,India,Halisahar,2005-06-16,18.97,3,5.32,5.76,13.65,13.21,2,2,1
259,LENA JENSEN,India,Halisahar,2005-07-28,12.98,2,3.79,6.73,9.19,6.25,2,2,1
468,TIM CARY,India,Bijapur,2005-08-21,32.95,5,7.84,7.92,25.11,25.03,2,2,2
135,JUANITA MASON,India,Pune,2005-07-30,14.98,2,4.74,7.56,10.24,7.42,2,2,3
135,JUANITA MASON,India,Pune,2005-07-27,13.97,3,4.39,7.2,9.58,6.77,2,2,3
121,JOSEPHINE GOMEZ,India,Etawah,2005-08-21,25.96,4,7.98,7.92,17.98,18.04,2,2,4
192,LAURIE LAWRENCE,India,Firozabad,2005-08-21,24.96,4,5.32,7.92,19.64,17.04,2,2,5
534,CHRISTIAN JUNG,India,Amroha,2005-08-01,13.97,3,4.32,7.38,9.65,6.59,2,2,6
534,CHRISTIAN JUNG,India,Amroha,2005-07-30,10.98,2,2.99,7.56,7.99,3.42,2,2,6
529,ERIK GUILLEN,India,Bhimavaram,2005-07-12,20.97,3,2.99,5.85,17.98,15.12,2,2,7
412,ALLEN BUTTERFIELD,India,Hoshiarpur,2005-07-29,18.97,3,0.99,7.36,17.98,11.61,2,2,8
297,SHERRI RHODES,India,Ahmadnagar,2005-06-18,16.97,3,2.99,6.25,13.98,10.72,2,2,9
170,BEATRICE ARNOLD,India,Udaipur,2005-07-10,15.97,3,4.49,5.93,11.48,10.04,2,2,10
370,WAYNE TRUONG,India,Gulbarga,2005-07-27,15.97,3,4.49,7.2,11.48,8.77,2,2,10
78,LORI WOOD,India,Rae Bareli,2005-07-28,15.97,3,3.7,6.73,12.27,9.24,2,2,10
367,ADAM GOOCH,India,Adoni,2005-08-18,14.97,3,4.99,7.28,9.98,7.69,2,2,11
403,MIKE WAY,India,Valparai,2005-06-15,13.98,2,1.99,4.95,11.99,9.03,2,2,12
300,JOHN FARNSWORTH,India,Parbhani,2005-07-10,13.98,2,1.49,5.93,12.49,8.05,2,2,12
419,CHAD CARBONE,India,Katihar,2005-08-02,13.96,4,4.29,6.58,9.67,7.38,2,2,13
231,GEORGIA JACOBS,India,Uttarpara-Kotrung,2005-07-06,12.98,2,0.99,5.65,11.99,7.33,2,2,14
271,PENNY NEAL,India,Kumbakonam,2005-07-31,12.98,2,2.99,7.05,9.99,5.93,2,2,14
446,THEODORE CULP,India,Uluberia,2005-06-18,8.98,2,2.32,6.25,6.66,2.73,2,2,15
28,CYNTHIA YOUNG,India,Munger (Monghyr),2005-07-10,8.98,2,2.99,5.93,5.99,3.05,2,2,15
328,JEFFREY SPEAR,Indonesia,Ciparay,2005-08-20,14.97,3,4.82,7.9,10.15,7.07,2,2,1
328,JEFFREY SPEAR,Indonesia,Ciparay,2005-07-29,11.98,2,3.49,8.08,8.49,3.9,2,2,1
458,LLOYD DOWD,Indonesia,Tegal,2005-07-12,15.97,3,2.99,6.69,12.98,9.28,2,2,2
450,JAY ROBB,Indonesia,Surakarta,2005-08-20,10.97,3,2.99,7.9,7.98,3.07,2,2,3
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-28,29.95,5,2.66,10.98,27.29,18.97,2,2,1
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-29,20.98,2,6.56,8.19,14.42,12.79,2,2,1
279,DIANNE SHELTON,Iran,Tabriz,2005-07-09,20.97,3,5.49,9.48,15.49,11.49,2,2,2
279,DIANNE SHELTON,Iran,Tabriz,2005-08-19,18.96,4,5.16,9.38,13.81,9.58,2,2,2
368,HARRY ARCE,Iran,Najafabad,2005-08-19,17.96,4,4.61,9.38,13.35,8.58,2,2,3
10,DOROTHY TAYLOR,Iran,Esfahan,2005-07-09,11.97,3,3.85,9.48,8.12,2.49,2,2,4
541,DARREN WINDHAM,Italy,Livorno,2005-08-22,18.95,5,5.74,9.69,13.21,9.26,2,2,1
33,ANNA HILL,Italy,Alessandria,2005-07-30,11.97,3,3.59,8.58,8.38,3.39,2,2,2
147,JOANNE ROBERTSON,Japan,Urawa,2005-08-23,20.97,3,6.87,6.52,14.1,14.45,2,2,1
147,JOANNE ROBERTSON,Japan,Urawa,2005-08-01,16.98,2,3.19,6.19,13.79,10.79,2,2,1
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-08-18,21.96,4,5.84,7.19,16.12,14.77,2,2,2
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-06-19,15.95,5,1.99,5.74,13.96,10.22,2,2,2
519,RON DELUCA,Japan,Isesaki,2005-07-31,23.95,5,4.65,6.98,19.3,16.97,2,2,3
519,RON DELUCA,Japan,Isesaki,2005-07-30,11.98,2,3.19,7.54,8.79,4.44,2,2,3
404,STANLEY SCROGGINS,Japan,Omiya,2005-07-08,21.96,4,3.79,5.63,18.17,16.33,2,2,4
240,MARLENE WELCH,Japan,Iwaki,2005-07-27,18.97,3,2.99,7.72,15.98,11.25,2,2,5
1,MARY SMITH,Japan,Sasebo,2005-06-15,16.97,3,1.99,5.37,14.98,11.6,2,2,6
54,TERESA ROGERS,Japan,Iwakuni,2005-08-02,15.97,3,5.13,8.11,10.84,7.86,2,2,7
401,TONY CARRANZA,Japan,Koriyama,2005-07-29,14.97,3,3.99,5.04,10.98,9.93,2,2,8
34,REBECCA SCOTT,Japan,Kurashiki,2005-08-21,13.98,2,4.54,6.59,9.44,7.39,2,2,9
391,CLARENCE GAMEZ,Japan,Izumisano,2005-07-10,12.98,2,3.15,5.7,9.83,7.28,2,2,10
264,GWENDOLYN MAY,Japan,Higashiosaka,2005-07-11,12.97,3,3.85,6.04,9.12,6.93,2,2,11
574,JULIAN VEST,Japan,Akishima,2005-06-16,7.97,3,0.99,6.17,6.98,1.8,2,2,12
193,KATIE ELLIOTT,Kenya,Kisumu,2005-08-22,16.97,3,4.61,16.47,12.36,0.5,2,2,1
347,RYAN SALISBURY,Latvia,Daugavpils,2005-07-28,15.96,4,4.16,9.48,11.81,6.49,2,2,1
58,JEAN BELL,Malaysia,Kuching,2005-07-27,14.98,2,3.99,10.32,10.99,4.66,2,2,1
273,PRISCILLA LOWE,Mexico,Salamanca,2005-07-12,19.96,4,6.24,6.19,13.72,13.78,2,2,1
273,PRISCILLA LOWE,Mexico,Salamanca,2005-07-09,15.98,2,5.16,6.93,10.83,9.05,2,2,1
425,FRANCIS SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07-08,27.96,4,6.99,7.35,20.97,20.61,2,2,2
454,ALEX GRESHAM,Mexico,Uruapan,2005-08-20,27.96,4,5.23,6.58,22.73,21.38,2,2,2
575,ISAAC OGLESBY,Mexico,Cuernavaca,2005-08-18,22.97,3,6.65,7.82,16.32,15.15,2,2,3
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-19,21.95,5,5.65,7.33,16.3,14.62,2,2,4
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-27,20.96,4,3.49,6.62,17.47,14.34,2,2,5
133,PAULINE HENRY,Mexico,Torren,2005-07-08,19.96,4,3.49,7.35,16.47,12.61,2,2,6
84,SARA PERRY,Mexico,Atlixco,2005-07-11,18.97,3,5.13,7.82,13.84,11.15,2,2,7
247,STELLA MORENO,Mexico,Coacalco de Berriozbal,2005-08-18,17.97,3,5.49,7.82,12.49,10.15,2,2,8
414,VINCENT RALSTON,Mexico,Allende,2005-08-19,17.95,5,4.24,7.33,13.72,10.62,2,2,9
451,JIM REA,Mexico,El Fuerte,2005-07-08,16.97,3,4.65,7.35,12.32,9.62,2,2,10
465,FLOYD GANDY,Mexico,Zapopan,2005-08-17,16.97,3,3.32,5.98,13.65,10.99,2,2,10
319,RONALD WEINER,Mexico,San Felipe del Progreso,2005-08-17,16.95,5,4.49,5.98,12.47,10.97,2,2,11
108,TRACY COLE,Mexico,Huixquilucan,2005-07-29,15.97,3,5.15,7.18,10.82,8.79,2,2,12
177,SAMANTHA DUNCAN,Mexico,Matamoros,2005-07-11,12.98,2,3.99,7.82,9.0,5.16,2,2,13
343,DOUGLAS GRAF,Mexico,Mexicali,2005-06-16,11.98,2,3.99,6.32,7.99,5.66,2,2,14
570,IVAN CROMWELL,Mexico,Monclova,2005-07-30,11.97,3,2.99,5.32,8.98,6.65,2,2,15
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-08-23,25.95,5,5.99,10.12,19.96,15.83,2,2,1
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-07-06,11.98,2,1.99,6.74,9.99,5.25,2,2,1
103,GLADYS HAMILTON,Nigeria,Ilorin,2005-07-07,11.97,3,3.99,8.82,7.98,3.15,2,2,1
198,ELSIE KELLEY,Nigeria,Ikerre,2005-08-17,22.94,6,5.15,5.61,17.79,17.33,2,2,2
198,ELSIE KELLEY,Nigeria,Ikerre,2005-07-12,14.97,3,3.24,6.29,11.73,8.68,2,2,2
198,ELSIE KELLEY,Nigeria,Ikerre,2005-05-28,7.98,2,0.99,7.65,6.99,0.33,2,2,2
280,TRACEY BARRETT,Nigeria,Owo,2005-08-19,20.97,3,6.48,8.21,14.49,12.76,2,2,3
280,TRACEY BARRETT,Nigeria,Owo,2005-07-29,20.95,5,2.99,7.31,17.96,13.64,2,2,3
284,SONIA GREGORY,Nigeria,Benin City,2005-07-08,15.98,2,2.59,7.98,13.39,8.0,2,2,4
156,BERTHA FERGUSON,Nigeria,Ondo,2005-08-22,14.96,4,4.86,7.98,10.1,6.98,2,2,5
277,OLGA JIMENEZ,Nigeria,Ogbomosho,2005-06-21,13.97,3,4.39,5.99,9.58,7.99,2,2,6
250,JO FOWLER,Nigeria,Oyo,2005-08-21,10.98,2,2.19,7.55,8.79,3.43,2,2,7
597,FREDDIE DUGGAN,Peru,Sullana,2005-08-02,16.96,4,3.99,12.97,12.97,3.99,2,2,1
304,DAVID ROYAL,Peru,Callao,2005-07-08,15.98,2,5.24,10.49,10.74,5.5,2,2,2
122,THELMA MURRAY,Peru,Lima,2005-06-15,8.98,2,2.99,6.99,5.99,1.99,2,2,3
27,SHIRLEY ALLEN,Philippines,Davao,2005-08-17,21.97,3,7.18,7.55,14.79,14.42,2,2,1
27,SHIRLEY ALLEN,Philippines,Davao,2005-07-31,18.97,3,3.99,8.25,14.98,10.72,2,2,1
27,SHIRLEY ALLEN,Philippines,Davao,2005-06-15,9.98,2,2.99,5.52,6.99,4.46,2,2,1
349,JOE GILLILAND,Philippines,Imus,2005-08-02,18.97,3,5.1,8.52,13.87,10.45,2,2,2
349,JOE GILLILAND,Philippines,Imus,2005-06-20,15.98,2,2.99,6.26,12.99,9.72,2,2,2
522,ARNOLD HAVENS,Philippines,Santa Rosa,2005-07-30,29.95,5,7.61,8.44,22.34,21.51,2,2,3
461,DEREK BLAKELY,Philippines,Gingoog,2005-08-22,22.95,5,4.21,7.45,18.74,15.5,2,2,4
261,DEANNA BYRD,Philippines,Tuguegarao,2005-06-17,18.97,3,3.99,6.36,14.98,12.61,2,2,5
71,KATHY JAMES,Philippines,Baybay,2005-07-10,18.97,3,4.99,6.91,13.98,12.06,2,2,5
388,CRAIG MORRELL,Philippines,Cavite,2005-08-18,17.96,4,5.18,8.67,12.78,9.29,2,2,6
188,MELANIE ARMSTRONG,Philippines,Bayugan,2005-08-01,16.96,4,4.56,7.4,12.4,9.56,2,2,7
434,EDDIE TOMLIN,Philippines,Ozamis,2005-06-18,15.97,3,4.32,5.61,11.65,10.36,2,2,8
72,THERESA WATSON,Philippines,Taguig,2005-07-09,10.97,3,2.99,5.75,7.98,5.22,2,2,9
548,ALLAN CORNISH,Philippines,Tarlac,2005-07-06,5.98,2,1.99,4.32,3.99,1.66,2,2,10
270,LEAH CURTIS,Poland,Kalisz,2005-08-01,18.97,3,6.19,5.42,12.78,13.55,2,2,1
571,JOHNNIE CHISHOLM,Poland,Plock,2005-07-12,17.98,2,5.74,12.23,12.24,5.75,2,2,2
501,RUBEN GEARY,Poland,Lublin,2005-06-21,13.98,2,2.98,9.74,11.0,4.25,2,2,3
558,JIMMIE EGGLESTON,Poland,Wroclaw,2005-08-21,13.98,2,4.36,5.19,9.62,8.79,2,2,3
563,KEN PREWITT,Romania,Bucuresti,2005-07-08,29.93,7,2.99,17.46,26.94,12.48,2,2,1
563,KEN PREWITT,Romania,Bucuresti,2005-07-29,22.96,4,7.58,13.47,15.38,9.49,2,2,1
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-12,18.97,3,5.82,6.46,13.15,12.51,2,2,1
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-07,13.97,3,1.66,4.2,12.31,9.77,2,2,1
487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2005-08-01,16.97,3,5.21,8.09,11.76,8.88,2,2,2
487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2005-07-30,14.97,3,4.41,8.67,10.56,6.3,2,2,2
447,CLIFFORD BOWENS,Russian Federation,Nabereznyje Telny,2005-07-30,17.97,3,4.7,8.67,13.27,9.3,2,2,3
447,CLIFFORD BOWENS,Russian Federation,Nabereznyje Telny,2005-06-17,7.98,2,1.66,3.99,6.32,3.99,2,2,3
44,MARIE TURNER,Russian Federation,Lipetsk,2005-07-10,24.96,4,4.49,7.55,20.47,17.41,2,2,4
346,ARTHUR SIMPKINS,Russian Federation,Maikop,2005-07-29,22.96,4,6.85,7.93,16.11,15.03,2,2,5
17,DONNA THOMPSON,Russian Federation,Elista,2005-07-30,21.96,4,7.32,8.67,14.64,13.29,2,2,6
311,PAUL TROUT,Russian Federation,Kursk,2005-07-31,20.97,3,4.99,7.63,15.98,13.34,2,2,7
106,CONNIE WALLACE,Russian Federation,Ivanovo,2005-08-01,20.97,3,5.99,8.09,14.98,12.88,2,2,7
510,BEN EASTER,Russian Federation,Kamyin,2005-07-28,18.98,2,3.59,7.75,15.39,11.23,2,2,8
350,JUAN FRALEY,Russian Federation,Teboksary,2005-08-17,14.97,3,2.99,7.83,11.98,7.14,2,2,9
127,ELAINE STEVENS,Russian Federation,Smolensk,2005-07-08,11.98,2,3.99,7.65,7.99,4.33,2,2,10
100,ROBIN HAYES,Russian Federation,Jelets,2005-06-15,11.97,3,0.99,5.52,10.98,6.45,2,2,11
145,LUCILLE HOLMES,South Africa,Soshanguve,2005-07-07,20.97,3,3.99,7.19,16.98,13.78,2,2,1
145,LUCILLE HOLMES,South Africa,Soshanguve,2005-08-19,15.96,4,4.24,6.41,11.72,9.55,2,2,1
132,ESTHER CRAWFORD,South Africa,Botshabelo,2005-08-01,22.96,4,5.61,7.13,17.35,15.83,2,2,2
132,ESTHER CRAWFORD,South Africa,Botshabelo,2005-06-20,9.98,2,3.32,6.19,6.66,3.79,2,2,2
407,DALE RATCLIFF,South Africa,Rustenburg,2005-07-28,22.96,4,4.59,5.32,18.37,17.64,2,2,3
19,RUTH MARTINEZ,South Africa,Kimberley,2005-07-31,17.98,2,5.65,7.61,12.33,10.37,2,2,4
338,DENNIS GILMAN,South Africa,Paarl,2005-06-17,11.98,2,3.99,6.32,7.99,5.66,2,2,5
83,LOUISE JENKINS,South Africa,Springs,2005-08-17,10.98,2,2.24,7.44,8.74,3.54,2,2,6
245,COURTNEY DAY,South Korea,Uijongbu,2005-07-27,17.95,5,3.99,8.18,13.96,9.77,2,2,1
237,TANYA GILBERT,South Korea,Naju,2005-07-28,16.97,3,5.65,8.98,11.32,7.99,2,2,2
52,JULIE SANCHEZ,Spain,A Corua (La Corua),2005-08-22,15.97,3,4.79,14.98,11.18,0.99,2,2,1
394,CHRIS BROTHERS,Spain,Gijn,2005-08-18,14.98,2,3.59,9.73,11.39,5.25,2,2,2
549,NELSON CHRISTENSON,Spain,Santiago de Compostela,2005-05-30,8.98,2,0.99,3.99,7.99,4.99,2,2,3
139,AMBER DIXON,Taiwan,Touliu,2005-08-22,21.95,5,4.99,8.98,16.96,12.97,2,2,1
139,AMBER DIXON,Taiwan,Touliu,2005-07-09,17.97,3,4.74,9.36,13.24,8.61,2,2,1
139,AMBER DIXON,Taiwan,Touliu,2005-08-19,10.98,2,3.59,5.86,7.39,5.12,2,2,1
139,AMBER DIXON,Taiwan,Touliu,2005-06-19,8.98,2,2.99,5.32,5.99,3.66,2,2,1
577,CLIFTON MALCOLM,Taiwan,Tanshui,2005-07-28,21.97,3,5.98,9.11,15.99,12.87,2,2,2
348,ROGER QUINTANILLA,Taiwan,Hsichuh,2005-07-08,20.96,4,4.59,6.09,16.37,14.87,2,2,3
517,BRAD MCCURDY,Taiwan,Chungho,2005-07-07,17.96,4,5.74,7.98,12.22,9.98,2,2,4
