customer_id,customer_name,country,city,store_id,month,payment_sum,payment_count,distinct_staff_count,late_return_payment_share,store_month_amount_rank
522,ARNOLD HAVENS,Philippines,Santa Rosa,2,2005-07-01,96.82,18,2,0.6111,1
137,RHONDA KENNEDY,Netherlands,Apeldoorn,2,2005-07-01,96.81,19,2,0.7368,2
257,MARSHA DOUGLAS,Mozambique,Beira,2,2005-07-01,88.82,18,2,0.5556,3
526,KARL SEAL,United States,Cape Coral,2,2005-07-01,86.81,19,2,0.5789,4
209,TONYA CHAPMAN,India,Bhilwara,2,2005-07-01,82.83,17,2,0.7059,6
494,RAMON CHOATE,Ecuador,Robamba,2,2005-07-01,80.82,18,2,0.6111,7
469,WESLEY BULL,Spain,Ourense (Orense),2,2005-07-01,80.82,18,2,0.6111,8
372,STEVE MACKENZIE,Indonesia,Probolinggo,2,2005-07-01,77.84,16,2,0.5625,10
508,MILTON HOWLAND,India,Vijayawada,2,2005-07-01,74.86,14,2,0.7143,11
462,WARREN SHERROD,Russian Federation,Usolje-Sibirskoje,2,2005-07-01,74.84,16,2,0.625,13
210,ELLA OLIVER,Yemen,Aden,2,2005-07-01,73.82,18,2,0.6667,14
475,PEDRO CHESTNUT,Ukraine,ostka,2,2005-07-01,71.85,15,2,0.6667,16
348,ROGER QUINTANILLA,Taiwan,Hsichuh,2,2005-07-01,70.84,16,2,0.5,18
49,JOYCE EDWARDS,Saudi Arabia,Jedda,2,2005-07-01,69.87,13,2,0.3846,21
532,NEIL RENNER,Vietnam,Cam Ranh,2,2005-07-01,69.86,14,2,0.5714,22
363,ROY WHITING,Kenya,Nyeri,2,2005-07-01,69.85,15,2,0.6,23
360,RALPH MADRIGAL,Puerto Rico,Arecibo,2,2005-07-01,69.83,17,2,0.5882,24
35,VIRGINIA GREEN,France,Toulouse,2,2005-07-01,68.84,16,2,0.625,25
497,GILBERT SLEDGE,United Kingdom,York,2,2005-07-01,67.86,14,2,0.5,26
273,PRISCILLA LOWE,Mexico,Salamanca,2,2005-07-01,67.85,15,2,0.6,27
86,JACQUELINE LONG,Thailand,Songkhla,2,2005-07-01,64.88,12,2,0.5,33
531,JAMIE WAUGH,Japan,Kuwana,2,2005-07-01,64.86,14,2,0.5714,35
219,WILLIE HOWELL,Argentina,Vicente Lpez,2,2005-07-01,64.85,15,2,0.6,36
13,KAREN JACKSON,Turkey,Osmaniye,2,2005-07-01,61.87,13,2,0.3846,42
114,GRACE ELLIS,Germany,Duisburg,2,2005-07-01,61.85,15,2,0.2,43
491,RICK MATTOX,Egypt,Mit Ghamr,2,2005-07-01,60.89,11,2,0.6364,45
563,KEN PREWITT,Romania,Bucuresti,2,2005-07-01,60.84,16,2,0.5625,50
220,CHARLENE ALVAREZ,Tanzania,Zanzibar,2,2005-07-01,59.88,12,2,0.4167,51
64,JUDITH COX,China,Daxian,2,2005-07-01,59.81,19,2,0.6316,54
409,RODNEY MOELLER,Nigeria,Deba Habe,2,2005-07-01,58.85,15,2,0.4667,57
424,KYLE SPURLOCK,China,Shanwei,2,2005-07-01,58.84,16,2,0.375,59
99,EMILY DIAZ,South Korea,Kimchon,2,2005-07-01,56.85,15,2,0.4,65
228,ALLISON STANLEY,Cambodia,Phnom Penh,2,2005-07-01,54.85,15,2,0.4,73
334,RAYMOND MCWHORTER,Azerbaijan,Sumqayit,2,2005-07-01,53.89,11,2,0.4545,77
525,ADRIAN CLARY,Italy,Udine,2,2005-07-01,49.89,11,2,0.6364,106
205,EILEEN CARR,Paraguay,Ciudad del Este,2,2005-07-01,45.92,8,2,0.75,138
455,JON WILES,Bolivia,El Alto,2,2005-07-01,45.91,9,2,0.7778,140
418,JEFF EAST,Dominican Republic,San Felipe de Puerto Plata,2,2005-07-01,45.9,10,2,0.5,142
279,DIANNE SHELTON,Iran,Tabriz,2,2005-07-01,42.91,9,2,0.4444,162
20,SHARON ROBINSON,Pakistan,Mardan,2,2005-07-01,42.9,10,2,0.6,164
21,MICHELLE CLARK,Bangladesh,Tangail,1,2005-08-01,79.83,17,2,0.5882,2
15,HELEN HARRIS,India,Bhopal,1,2005-08-01,79.82,18,2,0.5,3
119,SHERRY MARSHALL,Egypt,Shubra al-Khayma,1,2005-08-01,77.82,18,2,0.5556,4
45,JANET PHILLIPS,Chile,Antofagasta,1,2005-08-01,68.88,12,2,0.6667,11
445,MICHEAL FORMAN,Argentina,Escobar,1,2005-08-01,66.86,14,2,0.6429,14
54,TERESA ROGERS,Japan,Iwakuni,1,2005-08-01,64.86,14,2,0.4286,16
471,DEAN SAUER,South Africa,Johannesburg,1,2005-08-01,55.88,12,2,0.5,43
22,LAURA RODRIGUEZ,Morocco,Sal,1,2005-08-01,54.9,10,2,0.7,46
460,LEON BOSTIC,Colombia,Florencia,1,2005-08-01,54.88,12,2,0.5833,49
597,FREDDIE DUGGAN,Peru,Sullana,1,2005-08-01,47.88,12,2,0.4167,104
147,JOANNE ROBERTSON,Japan,Urawa,2,2005-08-01,76.85,15,2,0.6,3
569,DAVE GARDINER,China,Leshan,2,2005-08-01,75.82,18,2,0.5,5
198,ELSIE KELLEY,Nigeria,Ikerre,2,2005-08-01,70.84,16,2,0.5,9
150,DANIELLE DANIELS,Mexico,Hidalgo,2,2005-08-01,68.84,16,2,0.625,15
565,JAIME NETTLES,Peru,Hunuco,2,2005-08-01,66.87,13,2,0.6154,17
279,DIANNE SHELTON,Iran,Tabriz,2,2005-08-01,66.86,14,2,0.5,18
416,JEFFERY PINSON,Pakistan,Dadu,2,2005-08-01,63.87,13,2,0.6923,25
327,LARRY THRASHER,Turkey,Adana,2,2005-08-01,58.87,13,2,0.4615,38
70,CHRISTINA RAMIREZ,Saudi Arabia,al-Hawiya,2,2005-08-01,43.91,9,2,0.5556,104
