first_name,last_name,transaction_count,total_amount,average_check,risk_flag
JUANITA,MASON,14,57.86,4.13,подозрительная активность
AUDREY,RAY,14,57.86,4.13,подозрительная активность
CONSTANCE,REID,14,57.86,4.13,подозрительная активность
VIRGIL,WOFFORD,14,57.86,4.13,подозрительная активность
WANDA,PATTERSON,11,56.89,5.17,подозрительная активность
CHARLIE,BESS,11,56.89,5.17,подозрительная активность
CLAUDE,HERZOG,11,56.89,5.17,подозрительная активность
BEATRICE,ARNOLD,12,56.88,4.74,подозрительная активность
EDWIN,BURK,12,56.88,4.74,подозрительная активность
LYNN,PAYNE,13,56.87,4.37,подозрительная активность
SHAWN,HEATON,14,56.86,4.06,подозрительная активность
SETH,HANNON,14,56.86,4.06,подозрительная активность
EMILY,DIAZ,15,56.85,3.79,подозрительная активность
JUNE,CARROLL,12,55.88,4.66,подозрительная активность
STEVEN,CURLEY,12,55.88,4.66,подозрительная активность
MATHEW,BOLIN,12,55.88,4.66,подозрительная активность
LILLIE,KIM,13,55.87,4.3,подозрительная активность
MAXINE,SILVA,13,55.87,4.3,подозрительная активность
GABRIEL,HARDER,13,55.87,4.3,подозрительная активность
MICHELE,GRANT,14,55.86,3.99,подозрительная активность
CARRIE,PORTER,15,55.85,3.72,подозрительная активность
LUCILLE,HOLMES,15,55.85,3.72,подозрительная активность
GREGORY,MAULDIN,15,55.85,3.72,подозрительная активность
VALERIE,BLACK,11,54.89,4.99,подозрительная активность
RAMONA,HALE,12,54.88,4.57,подозрительная активность
TODD,TAN,13,54.87,4.22,подозрительная активность
VIOLA,HANSON,14,54.86,3.92,подозрительная активность
CURTIS,IRBY,14,54.86,3.92,подозрительная активность
BARRY,LOVELACE,14,54.86,3.92,подозрительная активность
ALLISON,STANLEY,15,54.85,3.66,подозрительная активность
LISA,ANDERSON,11,53.89,4.9,подозрительная активность
RAYMOND,MCWHORTER,11,53.89,4.9,подозрительная активность
PEGGY,MYERS,12,53.88,4.49,подозрительная активность
NINA,SOTO,12,53.88,4.49,подозрительная активность
RACHEL,BARNES,13,53.87,4.14,подозрительная активность
ERIK,GUILLEN,13,53.87,4.14,подозрительная активность
CHARLES,KOWALSKI,14,53.86,3.85,подозрительная активность
HEIDI,LARSON,15,53.85,3.59,подозрительная активность
TERRY,GRISSOM,11,52.89,4.81,подозрительная активность
CLIFTON,MALCOLM,11,52.89,4.81,подозрительная активность
BETH,FRANKLIN,12,52.88,4.41,подозрительная активность
TONI,HOLT,12,52.88,4.41,подозрительная активность
DAVID,ROYAL,12,52.88,4.41,подозрительная активность
RONALD,WEINER,12,52.88,4.41,подозрительная активность
JOSHUA,MARK,12,52.88,4.41,подозрительная активность
LUIS,YANEZ,12,52.88,4.41,подозрительная активность
TROY,QUIGLEY,12,52.88,4.41,подозрительная активность
CARLA,GUTIERREZ,13,52.87,4.07,подозрительная активность
FRANK,WAGGONER,13,52.87,4.07,подозрительная активность
WALTER,PERRYMAN,13,52.87,4.07,подозрительная активность
LORI,WOOD,14,52.86,3.78,подозрительная активность
MARION,OCAMPO,14,52.86,3.78,подозрительная активность
ELSIE,KELLEY,15,52.85,3.52,подозрительная активность
DARLENE,ROSE,17,52.83,3.11,подозрительная активность
RUBY,WASHINGTON,12,51.88,4.32,подозрительная активность
AMBER,DIXON,12,51.88,4.32,подозрительная активность
GINA,WILLIAMSON,12,51.88,4.32,подозрительная активность
MARLENE,WELCH,12,51.88,4.32,подозрительная активность
GWENDOLYN,MAY,12,51.88,4.32,подозрительная активность
HARRY,ARCE,12,51.88,4.32,подозрительная активность
FERNANDO,CHURCHILL,12,51.88,4.32,подозрительная активность
TRACY,COLE,13,51.87,3.99,подозрительная активность
ANDREW,PURDY,13,51.87,3.99,подозрительная активность
RON,DELUCA,13,51.87,3.99,подозрительная активность
CYNTHIA,YOUNG,14,51.86,3.7,подозрительная активность
KRISTINA,CHAMBERS,14,51.86,3.7,подозрительная активность
TED,BREAUX,14,51.86,3.7,подозрительная активность
GENE,SANBORN,15,51.85,3.46,подозрительная активность
ROSA,REYNOLDS,11,50.89,4.63,подозрительная активность
ALAN,KAHN,11,50.89,4.63,подозрительная активность
CLIFFORD,BOWENS,11,50.89,4.63,подозрительная активность
SHANE,MILLARD,11,50.89,4.63,подозрительная активность
MARY,SMITH,12,50.88,4.24,подозрительная активность
BETTY,WHITE,12,50.88,4.24,подозрительная активность
ROBERTA,HARPER,12,50.88,4.24,подозрительная активность
EDWARD,BAUGH,12,50.88,4.24,подозрительная активность
GARY,COY,12,50.88,4.24,подозрительная активность
BRAD,MCCURDY,12,50.88,4.24,подозрительная активность
JACK,FOUST,13,50.87,3.91,подозрительная активность
GERALD,FULTZ,13,50.87,3.91,подозрительная активность
JIMMY,SCHRADER,13,50.87,3.91,подозрительная активность
WENDY,HARRISON,15,50.85,3.39,подозрительная активность
FELICIA,SUTTON,17,50.83,2.99,подозрительная активность
DALE,RATCLIFF,11,49.89,4.54,подозрительная активность
HERBERT,KRUGER,11,49.89,4.54,подозрительная активность
ADRIAN,CLARY,11,49.89,4.54,подозрительная активность
DIANA,ALEXANDER,12,49.88,4.16,подозрительная активность
MONICA,HICKS,12,49.88,4.16,подозрительная активность
LORRAINE,STEPHENS,12,49.88,4.16,подозрительная активность
VIOLET,RODRIQUEZ,12,49.88,4.16,подозрительная активность
TAMARA,NGUYEN,13,49.87,3.84,подозрительная активность
EVELYN,MORGAN,15,49.85,3.32,подозрительная активность
EDGAR,RHOADS,15,49.85,3.32,подозрительная активность
ROSS,GREY,15,49.85,3.32,подозрительная активность
BRENDA,WRIGHT,11,48.89,4.44,подозрительная активность
MARK,RINEHART,11,48.89,4.44,подозрительная активность
JAVIER,ELROD,11,48.89,4.44,подозрительная активность
JULIE,SANCHEZ,12,48.88,4.07,подозрительная активность
MINNIE,ROMERO,12,48.88,4.07,подозрительная активность
SYLVIA,ORTIZ,13,48.87,3.76,подозрительная активность
ELLEN,SIMPSON,13,48.87,3.76,подозрительная активность
SHERRI,RHODES,13,48.87,3.76,подозрительная активность
ROSEMARY,SCHMIDT,14,48.86,3.49,подозрительная активность
SALLY,PIERCE,15,48.85,3.26,подозрительная активность
JUDY,GRAY,11,47.89,4.35,подозрительная активность
VANESSA,SIMS,11,47.89,4.35,подозрительная активность
PATSY,DAVIDSON,11,47.89,4.35,подозрительная активность
CHRISTINE,ROBERTS,12,47.88,3.99,подозрительная активность
BERNARD,COLBY,12,47.88,3.99,подозрительная активность
PAULINE,HENRY,13,47.87,3.68,подозрительная активность
HAZEL,WARREN,15,47.85,3.19,подозрительная активность
ANGELA,HERNANDEZ,11,46.89,4.26,подозрительная активность
ANNETTE,OLSON,11,46.89,4.26,подозрительная активность
DELORES,HANSEN,11,46.89,4.26,подозрительная активность
ADAM,GOOCH,11,46.89,4.26,подозрительная активность
SIDNEY,BURLESON,11,46.89,4.26,подозрительная активность
SHIRLEY,ALLEN,12,46.88,3.91,подозрительная активность
OLGA,JIMENEZ,12,46.88,3.91,подозрительная активность
JOSE,ANDREW,12,46.88,3.91,подозрительная активность
BILLY,POULIN,12,46.88,3.91,подозрительная активность
JESSICA,HALL,13,46.87,3.61,подозрительная активность
LUCY,WHEELER,13,46.87,3.61,подозрительная активность
HECTOR,POINDEXTER,14,46.86,3.35,подозрительная активность
DOROTHY,TAYLOR,11,45.89,4.17,подозрительная активность
MARGIE,WADE,11,45.89,4.17,подозрительная активность
BRANDY,GRAVES,11,45.89,4.17,подозрительная активность
ALEX,GRESHAM,11,45.89,4.17,подозрительная активность
WILLARD,LUMPKIN,11,45.89,4.17,подозрительная активность
JASON,MORRISSEY,12,45.88,3.82,подозрительная активность
HAROLD,MARTINO,12,45.88,3.82,подозрительная активность
JOE,GILLILAND,12,45.88,3.82,подозрительная активность
FRED,WHEAT,12,45.88,3.82,подозрительная активность
MANUEL,MURRELL,12,45.88,3.82,подозрительная активность
ALEXANDER,FENNELL,12,45.88,3.82,подозрительная активность
VERONICA,STONE,13,45.87,3.53,подозрительная активность
LYDIA,BURKE,13,45.87,3.53,подозрительная активность
TOM,MILNER,13,45.87,3.53,подозрительная активность
BONNIE,HUGHES,11,44.89,4.08,подозрительная активность
JAMES,GANNON,11,44.89,4.08,подозрительная активность
PHILLIP,HOLM,11,44.89,4.08,подозрительная активность
GUY,BROWNLEE,11,44.89,4.08,подозрительная активность
COLLEEN,BURTON,12,44.88,3.74,подозрительная активность
SALVADOR,TEEL,12,44.88,3.74,подозрительная активность
RENE,MCALISTER,12,44.88,3.74,подозрительная активность
ESTHER,CRAWFORD,14,44.86,3.2,подозрительная активность
IVAN,CROMWELL,14,44.86,3.2,подозрительная активность
CINDY,FISHER,11,43.89,3.99,подозрительная активность
KELLY,KNOTT,11,43.89,3.99,подозрительная активность
MARC,OUTLAW,12,43.88,3.66,подозрительная активность
HILDA,HOPKINS,13,43.87,3.37,подозрительная активность
KEITH,RICO,12,42.88,3.57,подозрительная активность
DEBBIE,REYES,11,41.89,3.81,подозрительная активность
VICKIE,BREWER,11,41.89,3.81,подозрительная активность
HOWARD,FORTNER,11,41.89,3.81,подозрительная активность
SCOTT,SHELLEY,12,41.88,3.49,подозрительная активность
EVERETT,BANDA,12,41.88,3.49,подозрительная активность
AMANDA,CARTER,11,40.89,3.72,подозрительная активность
CATHY,SPENCER,11,40.89,3.72,подозрительная активность
BECKY,MILES,11,40.89,3.72,подозрительная активность
GLENN,PULLEN,11,40.89,3.72,подозрительная активность
ALFREDO,MCADAMS,11,40.89,3.72,подозрительная активность
ANNIE,RUSSELL,12,40.88,3.41,подозрительная активность
CLINTON,BUFORD,12,40.88,3.41,подозрительная активность
KATHLEEN,ADAMS,13,40.87,3.14,подозрительная активность
ANTHONY,SCHWAB,11,39.89,3.63,подозрительная активность
JACOB,LANCE,11,39.89,3.63,подозрительная активность
DEBORAH,WALKER,12,39.88,3.32,подозрительная активность
RENEE,LANE,12,39.88,3.32,подозрительная активность
EARL,SHANKS,12,39.88,3.32,подозрительная активность
NANCY,THOMAS,13,39.87,3.07,подозрительная активность
CHAD,CARBONE,13,39.87,3.07,подозрительная активность
REGINALD,KINDER,11,38.89,3.54,подозрительная активность
KIM,CRUZ,11,37.89,3.44,подозрительная активность
CLARENCE,GAMEZ,11,37.89,3.44,подозрительная активность
BOBBY,BOUDREAU,14,37.86,2.7,подозрительная активность
GEORGIA,JACOBS,11,36.89,3.35,подозрительная активность
CHRISTY,VARGAS,12,36.88,3.07,подозрительная активность
CRAIG,MORRELL,11,35.89,3.26,подозрительная активность
CHESTER,BENNER,11,35.89,3.26,подозрительная активность
SUSAN,WILSON,12,35.88,2.99,подозрительная активность
IDA,ANDREWS,11,34.89,3.17,подозрительная активность
TRACEY,BARRETT,11,34.89,3.17,подозрительная активность
JAIME,NETTLES,11,34.89,3.17,подозрительная активность
NORMAN,CURRIER,12,32.88,2.74,подозрительная активность
JOANNE,ROBERTSON,13,31.87,2.45,подозрительная активность
LEONARD,SCHOFIELD,11,29.89,2.72,подозрительная активность
DEREK,BLAKELY,11,26.89,2.44,подозрительная активность
