month,customer_id,customer_name,city,country,window_start,window_end,suspicious_7d_payment_sum,suspicious_7d_payment_count,avg_30d_payment_sum,avg_30d_payment_count,staff_count,store_count,amount_exceedance_ratio,count_exceedance_ratio,customer_month_rank
2005-05,207,GERTRUDE CASTILLO,Nuuk,Greenland,2005-05-26,2005-06-01,15.96,4,0.46,0.47,2,2,34.55,8.57,16
2005-05,284,SONIA GREGORY,Benin City,Nigeria,2005-05-28,2005-06-03,7.98,2,0.23,0.23,2,2,34.55,8.57,16
2005-05,303,WILLIAM SATTERFIELD,Sanaa,Yemen,2005-05-27,2005-06-02,7.98,2,0.23,0.23,2,2,34.55,8.57,16
2005-05,506,LESLIE SEWARD,Pontianak,Indonesia,2005-05-26,2005-06-01,24.94,6,0.93,0.23,2,2,26.79,25.71,19
2005-05,381,BOBBY BOUDREAU,South Hill,Anguilla,2005-05-27,2005-06-02,5.98,2,0.23,0.23,2,2,25.89,8.57,20
2005-05,49,JOYCE EDWARDS,Jedda,Saudi Arabia,2005-05-26,2005-06-01,11.97,3,0.46,0.23,2,2,25.78,12.86,21
2005-05,197,SUE PETERS,Changzhou,China,2005-05-26,2005-06-01,17.93,7,0.7,0.23,2,2,25.7,30.0,22
2005-05,239,MINNIE ROMERO,Ciomas,Indonesia,2005-05-25,2005-05-31,28.95,5,1.16,0.23,2,2,24.86,21.43,23
2005-05,53,HEATHER MORRIS,Nagareyama,Japan,2005-05-26,2005-06-01,22.95,5,0.93,0.23,2,2,24.65,21.43,24
2005-05,371,BILLY POULIN,Cabuyao,Philippines,2005-05-26,2005-06-01,21.95,5,0.93,0.23,2,2,23.58,21.43,25
2005-05,245,COURTNEY DAY,Uijongbu,South Korea,2005-05-26,2005-06-01,23.95,5,1.16,0.23,2,2,20.57,21.43,26
2005-05,575,ISAAC OGLESBY,Cuernavaca,Mexico,2005-05-26,2005-06-01,13.96,4,0.7,0.23,2,2,20.01,17.14,27
2005-05,288,BOBBIE CRAIG,Valle de Santiago,Mexico,2005-05-26,2005-06-01,17.97,3,0.93,0.23,2,2,19.3,12.86,28
2005-05,93,PHYLLIS FOSTER,Zalantun,China,2005-05-26,2005-06-01,11.98,2,0.7,0.23,2,2,17.17,8.57,29
2005-05,498,GENE SANBORN,Salala,Oman,2005-05-26,2005-06-01,11.98,2,0.7,0.23,2,2,17.17,8.57,29
2005-05,77,JANE BENNETT,Araatuba,Brazil,2005-05-27,2005-06-02,11.96,4,0.7,0.23,2,2,17.14,17.14,31
2005-05,391,CLARENCE GAMEZ,Izumisano,Japan,2005-05-26,2005-06-01,19.96,4,1.16,0.23,2,2,17.14,17.14,31
2005-05,437,RANDALL NEUMANN,La Romana,Dominican Republic,2005-05-27,2005-06-02,10.98,2,0.7,0.23,2,2,15.74,8.57,33
2005-05,439,ALEXANDER FENNELL,Bergamo,Italy,2005-05-26,2005-06-01,10.98,2,0.7,0.23,2,2,15.74,8.57,33
2005-05,109,EDNA WEST,Klerksdorp,South Africa,2005-05-27,2005-06-02,21.94,6,1.4,0.23,2,2,15.7,25.71,35
2005-05,596,ENRIQUE FORSYTHE,Patras,Greece,2005-05-27,2005-06-02,17.95,5,1.16,0.23,2,2,15.42,21.43,36
2005-05,311,PAUL TROUT,Kursk,Russian Federation,2005-05-27,2005-06-02,20.96,4,1.4,0.23,2,2,15.0,17.14,37
2005-05,246,MARIAN MENDOZA,Maring,Brazil,2005-05-26,2005-06-01,23.96,4,1.63,0.23,2,2,14.69,17.14,38
2005-05,594,EDUARDO HIATT,Jining,China,2005-05-27,2005-06-02,16.97,3,1.16,0.23,2,2,14.57,12.86,39
2005-05,201,VICKI FIELDS,Witten,Germany,2005-05-27,2005-06-02,12.98,2,0.93,0.23,2,2,13.94,8.57,40
2005-05,134,EMMA BOYD,Qalyub,Egypt,2005-05-28,2005-06-03,12.97,3,0.93,0.23,2,2,13.93,12.86,41
2005-05,569,DAVE GARDINER,Leshan,China,2005-05-26,2005-06-01,15.96,4,1.16,0.23,2,2,13.71,17.14,42
2005-05,251,VICKIE BREWER,Halle/Saale,Germany,2005-05-27,2005-06-02,14.96,4,1.16,0.47,2,2,12.87,8.57,43
2005-05,22,LAURA RODRIGUEZ,Sal,Morocco,2005-05-28,2005-06-03,13.98,2,1.16,0.23,2,2,12.01,8.57,44
2005-05,449,OSCAR AQUINO,Sirjan,Iran,2005-05-27,2005-06-02,13.98,2,1.16,0.23,2,2,12.01,8.57,44
2005-05,249,DORA MEDINA,Tianjin,China,2005-05-27,2005-06-02,13.97,3,1.16,0.23,2,2,12.0,12.86,46
2005-05,296,RAMONA HALE,Patiala,India,2005-05-27,2005-06-02,13.97,3,1.16,0.23,2,2,12.0,12.86,46
2005-05,369,FRED WHEAT,Jurez,Mexico,2005-05-26,2005-06-01,13.97,3,1.16,0.23,2,2,12.0,12.86,46
2005-05,17,DONNA THOMPSON,Elista,Russian Federation,2005-05-27,2005-06-02,7.98,2,0.7,0.23,2,2,11.44,8.57,49
2005-05,312,MARK RINEHART,Tabuk,Saudi Arabia,2005-05-27,2005-06-02,12.97,3,1.16,0.23,2,2,11.14,12.86,50
2005-05,261,DEANNA BYRD,Tuguegarao,Philippines,2005-05-26,2005-06-01,11.97,3,1.16,0.23,2,2,10.28,12.86,51
2005-05,89,JULIA FLORES,La Plata,Argentina,2005-05-26,2005-06-01,6.98,2,0.7,0.23,2,2,10.0,8.57,52
2005-05,170,BEATRICE ARNOLD,Udaipur,India,2005-05-27,2005-06-02,6.98,2,0.7,0.23,2,2,10.0,8.57,52
2005-05,184,VIVIAN RUIZ,s-Hertogenbosch,Netherlands,2005-05-27,2005-06-02,6.98,2,0.7,0.23,2,2,10.0,8.57,52
2005-05,159,JILL HAWKINS,Linz,Austria,2005-05-28,2005-06-03,6.97,3,0.7,0.23,2,2,9.99,12.86,55
2005-05,408,MANUEL MURRELL,Jaffna,Sri Lanka,2005-05-25,2005-05-31,8.98,2,0.93,0.23,2,2,9.65,8.57,56
2005-05,247,STELLA MORENO,Coacalco de Berriozbal,Mexico,2005-05-27,2005-06-02,10.98,2,1.16,0.23,2,2,9.43,8.57,57
2005-05,321,KEVIN SCHULER,Birgunj,Nepal,2005-05-27,2005-06-02,10.98,2,1.16,0.23,2,2,9.43,8.57,57
2005-05,250,JO FOWLER,Oyo,Nigeria,2005-05-26,2005-06-01,12.96,4,1.4,0.23,2,2,9.27,17.14,59
2005-05,7,MARIA MILLER,Kragujevac,Yugoslavia,2005-05-26,2005-06-01,13.97,3,1.63,0.47,2,2,8.58,6.43,60
2005-05,51,ALICE STEWART,Fontana,United States,2005-05-26,2005-06-01,9.98,2,1.16,0.23,2,2,8.57,8.57,61
2005-05,126,ELLEN SIMPSON,Po,Brazil,2005-05-26,2005-06-01,9.98,2,1.16,0.23,2,2,8.57,8.57,61
2005-05,236,MARCIA DEAN,Tanza,Philippines,2005-05-27,2005-06-02,5.98,2,0.7,0.23,2,2,8.57,8.57,61
2005-05,357,KEITH RICO,Bratislava,Slovakia,2005-05-26,2005-06-01,5.98,2,0.7,0.23,2,2,8.57,8.57,61
2005-05,468,TIM CARY,Bijapur,India,2005-05-26,2005-06-01,13.96,4,1.63,0.23,2,2,8.56,17.14,65
2005-05,256,MABEL HOLLAND,Monywa,Myanmar,2005-05-26,2005-06-01,9.96,4,1.16,0.23,2,2,8.55,17.14,66
2005-05,222,DELORES HANSEN,Jaroslavl,Russian Federation,2005-05-25,2005-05-31,12.96,4,1.63,0.23,2,2,7.95,17.14,67
2005-05,59,CHERYL MURPHY,Mysore,India,2005-05-27,2005-06-02,8.98,2,1.16,0.23,2,2,7.71,8.57,68
2005-05,323,MATTHEW MAHAN,Cuautla,Mexico,2005-05-26,2005-06-01,8.98,2,1.16,0.23,2,2,7.71,8.57,68
2005-05,16,SANDRA MARTIN,Southend-on-Sea,United Kingdom,2005-05-28,2005-06-03,6.97,3,0.93,0.23,2,2,7.49,12.86,70
2005-05,504,NATHANIEL ADAM,Joliet,United States,2005-05-26,2005-06-01,9.98,2,1.4,0.23,2,2,7.14,8.57,71
2005-05,452,TOM MILNER,Abu Dhabi,United Arab Emirates,2005-05-28,2005-06-03,4.98,2,0.7,0.23,2,2,7.14,8.57,72
2005-05,502,BRETT CORNWELL,Siliguri (Shiliguri),India,2005-05-27,2005-06-02,4.97,3,0.7,0.23,2,2,7.12,12.86,73
2005-05,551,CLAYTON BARBEE,Alvorada,Brazil,2005-05-27,2005-06-02,12.96,4,1.86,0.23,2,2,6.95,17.14,74
2005-05,291,TONI HOLT,Roanoke,United States,2005-05-26,2005-06-01,7.98,2,1.16,0.23,2,2,6.85,8.57,75
2005-05,438,BARRY LOVELACE,Kitwe,Zambia,2005-05-26,2005-06-01,7.98,2,1.16,0.23,2,2,6.85,8.57,75
2005-05,161,GERALDINE PERKINS,Tel Aviv-Jaffa,Israel,2005-05-28,2005-06-03,10.96,4,1.63,0.47,2,2,6.73,8.57,77
2005-05,50,DIANE COLLINS,Omdurman,Sudan,2005-05-30,2005-06-05,14.97,3,2.33,0.47,2,2,6.43,6.43,78
2005-05,19,RUTH MARTINEZ,Kimberley,South Africa,2005-05-26,2005-06-01,15.96,4,2.56,0.47,2,2,6.23,8.57,79
2005-05,375,AARON SELBY,Mwene-Ditu,"Congo, The Democratic Republic of the",2005-05-27,2005-06-02,12.97,3,2.1,0.23,2,2,6.18,12.86,80
2005-05,267,MARGIE WADE,Lengshuijiang,China,2005-05-26,2005-06-01,9.98,2,1.63,0.23,2,2,6.12,8.57,81
2005-05,301,ROBERT BAUGHMAN,Kaliningrad,Russian Federation,2005-05-26,2005-06-01,6.98,2,1.16,0.23,2,2,5.99,8.57,82
2005-05,384,ERNEST STEPP,Huaian,China,2005-05-26,2005-06-01,6.97,3,1.16,0.23,2,2,5.99,12.86,83
2005-05,259,LENA JENSEN,Halisahar,India,2005-05-30,2005-06-05,8.98,2,1.63,0.23,2,2,5.51,8.57,84
2005-05,548,ALLAN CORNISH,Tarlac,Philippines,2005-05-27,2005-06-02,8.98,2,1.63,0.23,2,2,5.51,8.57,84
2005-05,274,NAOMI JENNINGS,Karnal,India,2005-05-27,2005-06-02,13.97,3,2.56,0.7,2,2,5.46,4.29,86
2005-05,21,MICHELLE CLARK,Tangail,Bangladesh,2005-05-27,2005-06-02,4.98,2,0.93,0.23,2,2,5.35,8.57,87
2005-05,510,BEN EASTER,Kamyin,Russian Federation,2005-05-26,2005-06-01,10.98,2,2.1,0.23,2,2,5.23,8.57,88
2005-05,44,MARIE TURNER,Lipetsk,Russian Federation,2005-05-26,2005-06-01,6.97,3,1.4,0.47,2,2,5.0,6.43,89
2005-05,214,KRISTIN JOHNSTON,Sunnyvale,United States,2005-05-27,2005-06-02,6.97,3,1.4,0.47,2,2,5.0,6.43,89
2005-05,460,LEON BOSTIC,Florencia,Colombia,2005-05-27,2005-06-02,5.98,2,1.4,0.47,2,2,4.29,4.29,91
2005-05,196,ALMA AUSTIN,Mannheim,Germany,2005-05-26,2005-06-01,10.97,3,2.8,0.23,2,2,3.92,12.86,92
2005-05,6,JENNIFER DAVIS,Laredo,United States,2005-05-26,2005-06-01,3.98,2,1.16,0.23,2,2,3.42,8.57,93
2005-05,359,WILLIE MARKHAM,Almirante Brown,Argentina,2005-05-27,2005-06-02,6.98,2,2.1,0.23,2,2,3.33,8.57,94
2005-06,213,GINA WILLIAMSON,Taizz,Yemen,2005-06-15,2005-06-21,35.91,9,0.23,0.23,2,2,155.45,38.57,1
2005-06,338,DENNIS GILMAN,Paarl,South Africa,2005-06-15,2005-06-21,34.93,7,0.23,0.23,2,2,151.21,30.0,2
2005-06,478,LEWIS LYMAN,Ashqelon,Israel,2005-06-17,2005-06-23,30.95,5,0.23,0.23,2,2,133.98,21.43,3
2005-06,310,DANIEL CABRAL,Ibirit,Brazil,2005-06-13,2005-06-19,27.94,6,0.23,0.23,2,2,120.95,25.71,4
2005-06,406,NATHAN RUNYON,Charlotte Amalie,"Virgin Islands, U.S.",2005-06-15,2005-06-21,26.93,7,0.23,0.23,2,2,116.58,30.0,5
2005-06,378,EUGENE CULPEPPER,Shenzhen,China,2005-06-13,2005-06-19,23.96,4,0.23,0.23,2,2,103.72,17.14,6
2005-06,100,ROBIN HAYES,Jelets,Russian Federation,2005-06-15,2005-06-21,18.96,4,0.23,0.23,2,2,82.08,17.14,7
2005-06,203,TARA RYAN,Gorontalo,Indonesia,2005-06-15,2005-06-21,18.96,4,0.23,0.23,2,2,82.08,17.14,7
2005-06,129,CARRIE PORTER,Liaocheng,China,2005-06-17,2005-06-23,18.95,5,0.23,0.23,2,2,82.03,21.43,9
2005-06,132,ESTHER CRAWFORD,Botshabelo,South Africa,2005-06-17,2005-06-23,18.95,5,0.23,0.23,2,2,82.03,21.43,9
2005-06,465,FLOYD GANDY,Zapopan,Mexico,2005-06-13,2005-06-19,17.96,4,0.23,0.23,2,2,77.75,17.14,11
2005-06,265,JENNIE TERRY,Olomouc,Czech Republic,2005-06-13,2005-06-19,15.97,3,0.23,0.23,2,2,69.13,12.86,12
2005-06,574,JULIAN VEST,Akishima,Japan,2005-06-15,2005-06-21,15.95,5,0.23,0.23,2,2,69.05,21.43,13
2005-06,578,WILLARD LUMPKIN,Carmen,Mexico,2005-06-15,2005-06-21,14.97,3,0.23,0.23,2,2,64.81,12.86,14
2005-06,183,IDA ANDREWS,Luzinia,Brazil,2005-06-15,2005-06-21,14.96,4,0.23,0.23,2,2,64.76,17.14,15
2005-06,292,MISTY LAMBERT,Sharja,United Arab Emirates,2005-06-15,2005-06-21,14.96,4,0.23,0.23,2,2,64.76,17.14,15
2005-06,422,MELVIN ELLINGTON,Laohekou,China,2005-06-13,2005-06-19,14.96,4,0.23,0.23,2,2,64.76,17.14,15
2005-06,395,JOHNNY TURPIN,al-Qadarif,Sudan,2005-06-16,2005-06-22,14.95,5,0.23,0.23,2,2,64.72,21.43,18
2005-06,113,CINDY FISHER,Cuman,Venezuela,2005-06-14,2005-06-20,27.94,6,0.46,0.47,2,2,60.48,12.86,19
2005-06,52,JULIE SANCHEZ,A Corua (La Corua),Spain,2005-06-15,2005-06-21,13.96,4,0.23,0.23,2,2,60.43,17.14,20
2005-06,231,GEORGIA JACOBS,Uttarpara-Kotrung,India,2005-06-30,2005-07-06,12.98,2,0.23,0.23,2,2,56.19,8.57,21
2005-06,424,KYLE SPURLOCK,Shanwei,China,2005-06-15,2005-06-21,12.97,3,0.23,0.23,2,2,56.15,12.86,22
2005-06,86,JACQUELINE LONG,Songkhla,Thailand,2005-06-15,2005-06-21,24.93,7,0.46,0.23,2,2,53.69,30.0,23
2005-06,582,ANDY VANHORN,Huejutla de Reyes,Mexico,2005-06-14,2005-06-20,11.97,3,0.23,0.23,2,2,51.82,12.86,24
2005-06,431,JOEL FRANCISCO,Sucre,Bolivia,2005-06-15,2005-06-21,35.93,7,0.7,0.23,2,2,51.5,30.0,25
2005-06,29,ANGELA HERNANDEZ,Shimonoseki,Japan,2005-06-15,2005-06-21,21.93,7,0.46,0.23,2,2,47.23,30.0,26
2005-06,27,SHIRLEY ALLEN,Davao,Philippines,2005-06-15,2005-06-21,30.92,8,0.7,0.23,2,2,44.32,34.29,27
2005-06,369,FRED WHEAT,Jurez,Mexico,2005-06-30,2005-07-06,9.98,2,0.23,0.23,2,2,43.2,8.57,28
2005-06,466,LEO EBERT,Dongying,China,2005-06-15,2005-06-21,28.95,5,0.7,0.23,2,2,41.5,21.43,29
2005-06,155,GAIL KNIGHT,Bern,Switzerland,2005-06-15,2005-06-21,27.95,5,0.7,0.23,2,2,40.06,21.43,30
2005-06,193,KATIE ELLIOTT,Kisumu,Kenya,2005-06-15,2005-06-21,35.94,6,0.93,0.47,2,2,38.7,12.86,31
2005-06,403,MIKE WAY,Valparai,India,2005-06-15,2005-06-21,35.94,6,0.93,0.47,2,2,38.7,12.86,31
2005-06,186,HOLLY FOX,Haldia,India,2005-06-14,2005-06-20,25.94,6,0.7,0.47,2,2,37.31,12.86,33
2005-06,477,DAN PAINE,Stockport,United Kingdom,2005-06-13,2005-06-19,25.96,4,0.7,0.23,2,2,37.21,17.14,34
2005-06,290,KRISTINA CHAMBERS,Valle de la Pascua,Venezuela,2005-06-14,2005-06-20,25.95,5,0.7,0.23,2,2,37.2,21.43,35
2005-06,459,TOMMY COLLAZO,Qomsheh,Iran,2005-06-15,2005-06-21,25.93,7,0.7,0.23,2,2,37.17,30.0,36
2005-06,329,FRANK WAGGONER,Jamalpur,Bangladesh,2005-06-16,2005-06-22,25.92,8,0.7,0.23,2,2,37.15,34.29,37
2005-06,147,JOANNE ROBERTSON,Urawa,Japan,2005-06-14,2005-06-20,16.96,4,0.46,0.47,2,2,36.71,8.57,38
2005-06,164,JOANN GARDNER,Tarsus,Turkey,2005-06-14,2005-06-20,16.97,3,0.46,0.23,2,2,36.55,12.86,39
2005-06,576,MORRIS MCCARTER,Fengshan,Taiwan,2005-06-15,2005-06-21,33.93,7,0.93,0.47,2,2,36.54,15.0,40
2005-06,295,DAISY BATES,Kolpino,Russian Federation,2005-06-15,2005-06-21,32.91,9,0.93,0.23,2,2,35.35,38.57,41
2005-06,397,JIMMY SCHRADER,Atinsk,Russian Federation,2005-06-14,2005-06-20,7.98,2,0.23,0.23,2,2,34.55,8.57,42
2005-06,491,RICK MATTOX,Mit Ghamr,Egypt,2005-06-15,2005-06-21,31.93,7,0.93,0.47,2,2,34.38,15.0,43
2005-06,1,MARY SMITH,Sasebo,Japan,2005-06-15,2005-06-21,31.93,7,0.93,0.47,2,2,34.38,15.0,44
2005-06,463,DARRELL POWER,Halifax,Canada,2005-06-15,2005-06-21,15.96,4,0.46,0.23,2,2,34.37,17.14,45
2005-06,590,SETH HANNON,al-Manama,Bahrain,2005-06-14,2005-06-20,30.95,5,0.93,0.23,2,2,33.24,21.43,46
2005-06,111,CARMEN OWENS,Caracas,Venezuela,2005-06-15,2005-06-21,22.94,6,0.7,0.23,2,2,32.88,25.71,47
2005-06,336,JOSHUA MARK,Rampur,India,2005-06-16,2005-06-22,22.93,7,0.7,0.23,2,2,32.87,30.0,48
2005-06,234,CLAUDIA FULLER,Jalib al-Shuyukh,Kuwait,2005-06-15,2005-06-21,36.92,8,1.16,0.23,2,2,31.71,34.29,49
2005-06,492,LESTER KRAUS,Kanchrapara,India,2005-06-15,2005-06-21,21.96,4,0.7,0.23,2,2,31.48,17.14,50
2005-06,328,JEFFREY SPEAR,Ciparay,Indonesia,2005-06-15,2005-06-21,21.95,5,0.7,0.23,2,2,31.46,21.43,51
2005-06,166,LYNN PAYNE,Lilongwe,Malawi,2005-06-14,2005-06-20,13.96,4,0.46,0.23,2,2,30.06,17.14,52
2005-06,141,DEBBIE REYES,Fukuyama,Japan,2005-06-15,2005-06-21,20.97,3,0.7,0.23,2,2,30.06,12.86,53
2005-06,26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-06-13,2005-06-19,41.93,7,1.4,0.47,2,2,30.05,15.0,54
2005-06,573,BYRON BOX,Zhezqazghan,Kazakstan,2005-06-15,2005-06-21,20.96,4,0.7,0.23,2,2,30.04,17.14,55
2005-06,352,ALBERT CROUSE,Bamenda,Cameroon,2005-06-15,2005-06-21,20.95,5,0.7,0.23,2,2,30.03,21.43,56
2005-06,471,DEAN SAUER,Johannesburg,South Africa,2005-06-14,2005-06-20,20.95,5,0.7,0.23,2,2,30.03,21.43,56
2005-06,380,RUSSELL BRINSON,Tychy,Poland,2005-06-15,2005-06-21,27.92,8,0.93,0.23,2,2,29.99,34.29,58
2005-06,322,JASON MORRISSEY,Baha Blanca,Argentina,2005-06-15,2005-06-21,40.93,7,1.4,0.47,2,2,29.33,15.0,59
2005-06,33,ANNA HILL,Alessandria,Italy,2005-06-14,2005-06-20,19.98,2,0.7,0.23,2,2,28.64,8.57,60
2005-06,137,RHONDA KENNEDY,Apeldoorn,Netherlands,2005-06-15,2005-06-21,19.96,4,0.7,0.23,2,2,28.61,17.14,61
2005-06,410,CURTIS IRBY,Richmond Hill,Canada,2005-06-16,2005-06-22,19.95,5,0.7,0.23,2,2,28.6,21.43,62
2005-06,454,ALEX GRESHAM,Uruapan,Mexico,2005-06-15,2005-06-21,52.9,10,1.86,0.23,2,2,28.37,42.86,63
2005-06,289,VIOLET RODRIQUEZ,Kowloon and New Kowloon,Hong Kong,2005-06-18,2005-06-24,32.95,5,1.16,0.23,2,2,28.3,21.43,64
2005-06,149,VALERIE BLACK,Brockton,United States,2005-06-13,2005-06-19,32.93,7,1.16,0.23,2,2,28.28,30.0,65
2005-06,212,WILMA RICHARDS,Bellevue,United States,2005-06-16,2005-06-22,12.98,2,0.46,0.47,2,2,28.1,4.29,66
2005-06,348,ROGER QUINTANILLA,Hsichuh,Taiwan,2005-06-12,2005-06-18,12.97,3,0.46,0.47,2,2,28.07,6.43,67
2005-06,421,LEE HAWKS,Pudukkottai,India,2005-06-14,2005-06-20,12.97,3,0.46,0.47,2,2,28.07,6.43,67
2005-06,583,MARSHALL THORN,Southampton,United Kingdom,2005-06-16,2005-06-22,25.95,5,0.93,0.23,2,2,27.87,21.43,69
2005-06,98,LILLIAN GRIFFIN,al-Ayn,United Arab Emirates,2005-06-15,2005-06-21,25.94,6,0.93,0.23,2,2,27.86,25.71,70
2005-06,305,RICHARD MCCRARY,Arlington,United States,2005-06-15,2005-06-21,18.96,4,0.7,0.23,2,2,27.18,17.14,71
2005-06,467,ALVIN DELOACH,Cuauhtmoc,Mexico,2005-06-15,2005-06-21,30.96,4,1.16,0.23,2,2,26.59,17.14,72
2005-06,340,PATRICK NEWSOM,Hanoi,Vietnam,2005-06-16,2005-06-22,30.93,7,1.16,0.23,2,2,26.56,30.0,73
2005-06,127,ELAINE STEVENS,Smolensk,Russian Federation,2005-06-12,2005-06-18,11.97,3,0.46,0.47,2,2,25.91,6.43,74
2005-06,345,CARL ARTIS,San Lorenzo,Paraguay,2005-06-13,2005-06-19,11.96,4,0.46,0.47,2,2,25.89,8.57,75
2005-06,530,DARRYL ASHCRAFT,Ezeiza,Argentina,2005-06-11,2005-06-17,5.97,3,0.23,0.23,2,2,25.84,12.86,76
2005-06,423,ALFRED CASILLAS,Sawhaj,Egypt,2005-06-16,2005-06-22,23.96,4,0.93,0.23,2,2,25.74,17.14,77
2005-06,45,JANET PHILLIPS,Antofagasta,Chile,2005-06-15,2005-06-21,17.95,5,0.7,0.23,2,2,25.73,21.43,78
2005-06,66,JANICE WARD,Malm,Sweden,2005-06-15,2005-06-21,29.93,7,1.16,0.23,2,2,25.71,30.0,79
2005-06,363,ROY WHITING,Nyeri,Kenya,2005-06-15,2005-06-21,22.95,5,0.93,0.23,2,2,24.65,21.43,80
2005-06,450,JAY ROBB,Surakarta,Indonesia,2005-06-14,2005-06-20,22.93,7,0.93,0.23,2,2,24.63,30.0,81
2005-06,3,LINDA WILLIAMS,Athenai,Greece,2005-06-13,2005-06-19,25.96,4,1.16,0.47,2,2,22.34,8.57,82
2005-06,456,RONNIE RICKETTS,Ziguinchor,Senegal,2005-06-13,2005-06-19,25.93,7,1.16,0.23,2,2,22.27,30.0,83
2005-06,351,JACK FOUST,Zeleznogorsk,Russian Federation,2005-06-13,2005-06-19,9.97,3,0.46,0.23,2,2,21.47,12.86,84
2005-06,545,JULIO NOLAND,Konotop,Ukraine,2005-06-30,2005-07-06,14.98,2,0.7,0.23,2,2,21.47,8.57,85
2005-06,75,TAMMY SANDERS,Changhwa,Taiwan,2005-06-15,2005-06-21,29.95,5,1.4,0.47,2,2,21.46,10.71,86
2005-06,499,MARC OUTLAW,Brindisi,Italy,2005-06-15,2005-06-21,14.96,4,0.7,0.23,2,2,21.44,17.14,87
2005-06,308,THOMAS GRIGSBY,Kansas City,United States,2005-06-12,2005-06-18,19.95,5,0.93,0.23,2,2,21.43,21.43,88
2005-06,123,SHANNON FREEMAN,Varanasi (Benares),India,2005-06-13,2005-06-19,14.95,5,0.7,0.23,2,2,21.43,21.43,89
2005-06,163,CATHY SPENCER,Kakamigahara,Japan,2005-06-16,2005-06-22,24.95,5,1.16,0.23,2,2,21.43,21.43,89
2005-06,550,GUY BROWNLEE,Zhoushan,China,2005-06-15,2005-06-21,39.94,6,1.86,0.23,2,2,21.42,25.71,91
2005-06,434,EDDIE TOMLIN,Ozamis,Philippines,2005-06-14,2005-06-20,28.93,7,1.4,0.23,2,2,20.7,30.0,92
2005-06,297,SHERRI RHODES,Ahmadnagar,India,2005-06-12,2005-06-18,23.95,5,1.16,0.47,2,2,20.61,10.71,93
2005-06,537,CLINTON BUFORD,Aurora,United States,2005-06-14,2005-06-20,23.96,4,1.16,0.23,2,2,20.58,17.14,94
2005-06,221,BESSIE MORRISON,Syrakusa,Italy,2005-06-15,2005-06-21,23.95,5,1.16,0.23,2,2,20.57,21.43,95
2005-06,501,RUBEN GEARY,Lublin,Poland,2005-06-15,2005-06-21,13.98,2,0.7,0.47,2,2,20.11,4.29,96
2005-06,558,JIMMIE EGGLESTON,Wroclaw,Poland,2005-06-18,2005-06-24,22.96,4,1.16,0.23,2,2,19.72,17.14,97
2005-06,148,ELEANOR HUNT,Saint-Denis,Runion,2005-06-13,2005-06-19,22.95,5,1.16,0.23,2,2,19.71,21.43,98
2005-06,517,BRAD MCCURDY,Chungho,Taiwan,2005-06-14,2005-06-20,22.95,5,1.16,0.23,2,2,19.71,21.43,99
