customer_id,customer_name,email,city,country,payment_date,day_amount,payment_count,unique_rented_films,dominant_staff_id,dominant_staff_name,store_id,top_category,customer_day_amount_rank
382,VICTOR BARKLEY,VICTOR.BARKLEY@sakilacustomer.org,Manchester,United States,2005-07-30,21.97,3,3,1,Mike Hillyer,1,Documentary,1
476,DERRICK BOURQUE,DERRICK.BOURQUE@sakilacustomer.org,Gatineau,Canada,2005-08-01,21.97,3,3,1,Mike Hillyer,1,Family,1
509,RAUL FORTIER,RAUL.FORTIER@sakilacustomer.org,Chapra,India,2005-07-28,21.97,3,3,1,Mike Hillyer,1,Sci-Fi,1
17,DONNA THOMPSON,DONNA.THOMPSON@sakilacustomer.org,Elista,Russian Federation,2005-07-30,21.96,4,4,2,Jon Stephens,2,Children,1
139,AMBER DIXON,AMBER.DIXON@sakilacustomer.org,Touliu,Taiwan,2005-08-22,21.95,5,5,1,Mike Hillyer,1,Horror,1
576,MORRIS MCCARTER,MORRIS.MCCARTER@sakilacustomer.org,Fengshan,Taiwan,2005-07-31,21.95,5,5,2,Jon Stephens,2,Animation,1
86,JACQUELINE LONG,JACQUELINE.LONG@sakilacustomer.org,Songkhla,Thailand,2005-08-01,20.97,3,3,2,Jon Stephens,2,Sports,1
145,LUCILLE HOLMES,LUCILLE.HOLMES@sakilacustomer.org,Soshanguve,South Africa,2005-07-07,20.97,3,3,2,Jon Stephens,2,Animation,1
279,DIANNE SHELTON,DIANNE.SHELTON@sakilacustomer.org,Tabriz,Iran,2005-07-09,20.97,3,3,1,Mike Hillyer,1,Comedy,1
420,JACOB LANCE,JACOB.LANCE@sakilacustomer.org,El Monte,United States,2005-08-01,20.97,3,3,2,Jon Stephens,2,Games,1
424,KYLE SPURLOCK,KYLE.SPURLOCK@sakilacustomer.org,Shanwei,China,2005-07-31,20.97,3,3,1,Mike Hillyer,1,Drama,1
134,EMMA BOYD,EMMA.BOYD@sakilacustomer.org,Qalyub,Egypt,2005-08-02,20.96,4,4,1,Mike Hillyer,1,Animation,1
374,JEREMY HURTADO,JEREMY.HURTADO@sakilacustomer.org,Vitria de Santo Anto,Brazil,2005-08-22,20.96,4,4,2,Jon Stephens,2,Sci-Fi,1
82,KATHRYN COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,Simferopol,Ukraine,2005-07-30,19.97,3,3,1,Mike Hillyer,1,Action,1
546,KELLY KNOTT,KELLY.KNOTT@sakilacustomer.org,Sanya,China,2005-07-12,19.97,3,3,2,Jon Stephens,2,Animation,1
93,PHYLLIS FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,Zalantun,China,2005-08-20,19.96,4,4,1,Mike Hillyer,1,Music,1
254,MAXINE SILVA,MAXINE.SILVA@sakilacustomer.org,Poos de Caldas,Brazil,2005-07-10,19.96,4,4,1,Mike Hillyer,1,Games,1
451,JIM REA,JIM.REA@sakilacustomer.org,El Fuerte,Mexico,2005-08-02,19.96,4,4,2,Jon Stephens,2,Family,1
240,MARLENE WELCH,MARLENE.WELCH@sakilacustomer.org,Iwaki,Japan,2005-07-27,18.97,3,3,1,Mike Hillyer,1,New,1
300,JOHN FARNSWORTH,JOHN.FARNSWORTH@sakilacustomer.org,Parbhani,India,2005-07-28,18.97,3,3,1,Mike Hillyer,1,Action,1
354,JUSTIN NGO,JUSTIN.NGO@sakilacustomer.org,Santo Andr,Brazil,2005-07-29,18.97,3,3,2,Jon Stephens,2,Games,1
492,LESTER KRAUS,LESTER.KRAUS@sakilacustomer.org,Kanchrapara,India,2005-07-07,18.97,3,3,2,Jon Stephens,2,Family,1
538,TED BREAUX,TED.BREAUX@sakilacustomer.org,Baicheng,China,2005-07-31,18.97,3,3,2,Jon Stephens,2,Documentary,1
117,EDITH MCDONALD,EDITH.MCDONALD@sakilacustomer.org,Gandhinagar,India,2005-08-18,17.96,4,4,1,Mike Hillyer,1,Children,1
388,CRAIG MORRELL,CRAIG.MORRELL@sakilacustomer.org,Cavite,Philippines,2005-08-18,17.96,4,4,2,Jon Stephens,2,Games,1
142,APRIL BURNS,APRIL.BURNS@sakilacustomer.org,Dundee,United Kingdom,2005-07-30,16.97,3,3,1,Mike Hillyer,1,Children,1
402,LUIS YANEZ,LUIS.YANEZ@sakilacustomer.org,Brest,France,2005-07-06,16.97,3,3,2,Jon Stephens,2,Music,1
498,GENE SANBORN,GENE.SANBORN@sakilacustomer.org,Salala,Oman,2005-07-27,16.97,3,3,1,Mike Hillyer,1,Documentary,1
175,ANNETTE OLSON,ANNETTE.OLSON@sakilacustomer.org,Allappuzha (Alleppey),India,2005-07-29,16.96,4,4,1,Mike Hillyer,1,Games,1
188,MELANIE ARMSTRONG,MELANIE.ARMSTRONG@sakilacustomer.org,Bayugan,Philippines,2005-08-01,16.96,4,4,2,Jon Stephens,2,Horror,1
597,FREDDIE DUGGAN,FREDDIE.DUGGAN@sakilacustomer.org,Sullana,Peru,2005-08-02,16.96,4,4,2,Jon Stephens,2,Travel,1
109,EDNA WEST,EDNA.WEST@sakilacustomer.org,Klerksdorp,South Africa,2005-05-31,15.97,3,3,1,Mike Hillyer,1,Games,1
28,CYNTHIA YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,Munger (Monghyr),India,2005-07-31,15.96,4,4,2,Jon Stephens,2,Action,1
361,LAWRENCE LAWTON,LAWRENCE.LAWTON@sakilacustomer.org,Yaound,Cameroon,2005-08-02,15.96,4,4,2,Jon Stephens,2,Children,1
124,SHEILA WELLS,SHEILA.WELLS@sakilacustomer.org,Ktahya,Turkey,2005-05-31,14.97,3,3,2,Jon Stephens,2,Documentary,1
350,JUAN FRALEY,JUAN.FRALEY@sakilacustomer.org,Teboksary,Russian Federation,2005-08-17,14.97,3,3,2,Jon Stephens,2,Action,1
76,IRENE PRICE,IRENE.PRICE@sakilacustomer.org,Pavlodar,Kazakstan,2005-07-29,13.97,3,3,2,Jon Stephens,2,Drama,1
