risk_rank,customer_id,customer_name,customer_country,customer_city,customer_home_store_id,payment_day,payment_count,payment_amount,history_days,history_payment_count,avg_payment_amount_30d,stddev_payment_amount_30d,amount_z_score,avg_payment_count_30d,stddev_payment_count_30d,count_z_score,off_home_staff_payment_count,off_home_staff_payment_share,most_frequent_staff_id,most_frequent_staff_name,most_frequent_staff_payment_count,main_category_id,main_category_name,main_category_payment_count,risk_score
51,406,NATHAN RUNYON,"Virgin Islands, U.S.",Charlotte Amalie,1,2005-07-27,4,23.96,4,5,3.74,2.214,9.134,1.25,0.5774,4.7631,2,0.5,2,Jon Stephens,2,5,Comedy,1,518.25
52,284,SONIA GREGORY,Nigeria,Benin City,1,2005-07-08,2,15.98,5,5,2.59,2.6077,5.1348,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,5,Comedy,1,515.39
53,301,ROBERT BAUGHMAN,Russian Federation,Kaliningrad,2,2005-08-22,2,12.98,6,6,4.16,1.8348,4.8088,1.0,0.0,10.0,2,1.0,1,Mike Hillyer,2,6,Documentary,1,512.35
54,139,AMBER DIXON,Taiwan,Touliu,1,2005-08-22,5,21.95,7,8,4.99,3.2114,5.2816,1.14,0.4082,9.448,1,0.2,1,Mike Hillyer,4,11,Horror,1,508.7
55,250,JO FOWLER,Nigeria,Oyo,2,2005-08-21,2,10.98,5,5,2.19,1.7889,4.9138,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,11,Horror,1,506.55
56,384,ERNEST STEPP,China,Huaian,2,2005-08-22,3,11.97,5,5,2.99,1.8708,4.8,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,15,Sports,2,505.33
57,389,ALAN KAHN,China,Emeishan,1,2005-07-28,2,13.98,7,7,3.56,2.1492,4.8477,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,8,Family,1,503.91
58,47,FRANCES PARKER,Brazil,Juazeiro do Norte,1,2005-07-11,3,14.97,6,6,4.99,2.0976,4.7578,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,1,Action,1,503.65
59,259,LENA JENSEN,India,Halisahar,2,2005-07-28,2,12.98,5,5,3.79,1.9235,4.7777,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,15,Sports,1,501.11
60,524,JARED ELY,Indonesia,Purwakarta,1,2005-07-11,2,11.98,5,5,4.19,1.6432,4.7408,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,8,Family,1,499.63
61,407,DALE RATCLIFF,South Africa,Rustenburg,1,2005-07-28,4,22.96,5,5,4.59,3.7815,4.8578,1.0,0.0,10.0,1,0.25,1,Mike Hillyer,3,7,Drama,1,499.31
62,381,BOBBY BOUDREAU,Anguilla,South Hill,2,2005-06-18,2,7.98,5,5,2.59,1.1402,4.7273,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,5,Comedy,1,499.09
63,150,DANIELLE DANIELS,Mexico,Hidalgo,2,2005-08-18,3,12.97,5,5,4.19,1.7889,4.9082,1.0,0.0,10.0,0,0.0,2,Jon Stephens,3,14,Sci-Fi,1,496.33
64,175,ANNETTE OLSON,India,Allappuzha (Alleppey),1,2005-07-29,4,16.96,6,6,4.16,2.6394,4.8508,1.0,0.0,10.0,0,0.0,1,Mike Hillyer,4,10,Games,1,494.03
65,275,CAROLE BARNETT,United States,Peoria,2,2005-07-08,2,10.98,5,5,2.79,1.7889,4.5783,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,10,Games,1,493.13
66,169,ERICA MATTHEWS,China,Pingxiang,2,2005-07-12,2,14.98,6,6,4.82,2.2286,4.5574,1.0,0.0,10.0,0,0.0,2,Jon Stephens,2,2,Animation,1,482.3
67,570,IVAN CROMWELL,Mexico,Monclova,2,2005-07-30,3,11.97,8,8,2.99,2.1381,4.2,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,6,Documentary,2,481.33
68,181,ANA BRADLEY,United States,Memphis,2,2005-07-29,2,15.98,6,6,5.32,2.6583,4.0088,1.0,0.0,10.0,2,1.0,1,Mike Hillyer,2,8,Family,1,480.35
69,487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2,2005-07-28,2,5.98,5,5,2.99,0.7071,4.2285,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,2,Animation,1,479.14
70,264,GWENDOLYN MAY,Japan,Higashiosaka,1,2005-07-11,3,12.97,7,7,3.85,2.1931,4.1599,1.0,0.0,10.0,1,0.3333,1,Mike Hillyer,2,16,Travel,1,473.06
71,258,MYRTLE FLEMING,Dominican Republic,Santiago de los Caballeros,1,2005-08-01,5,20.95,8,10,5.61,2.5562,6.0,1.25,0.5345,7.0156,3,0.6,2,Jon Stephens,3,8,Family,3,472.47
72,130,CHARLOTTE HUNTER,Brazil,guas Lindas de Gois,1,2005-07-31,2,10.98,6,6,3.49,1.9748,3.7927,1.0,0.0,10.0,2,1.0,2,Jon Stephens,2,14,Sci-Fi,1,471.71
73,390,SHAWN HEATON,Thailand,Nakhon Sawan,1,2005-08-20,6,27.94,6,10,7.15,3.426,6.0683,1.67,0.6325,6.8516,4,0.6667,2,Jon Stephens,4,12,Music,2,471.62
74,155,GAIL KNIGHT,Switzerland,Bern,1,2005-07-11,3,15.97,6,6,4.99,2.6833,4.092,1.0,0.0,10.0,1,0.3333,1,Mike Hillyer,2,3,Children,1,470.35
75,550,GUY BROWNLEE,China,Zhoushan,2,2005-07-29,2,9.98,5,5,3.39,1.6733,3.9383,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,7,Drama,1,467.53
76,129,CARRIE PORTER,China,Liaocheng,1,2005-07-31,4,26.96,5,11,5.78,2.162,9.7976,2.2,0.866,2.0785,2,0.5,1,Mike Hillyer,2,3,Children,1,464.26
77,139,AMBER DIXON,Taiwan,Touliu,1,2005-08-19,2,10.98,5,5,3.59,1.9494,3.791,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,16,Travel,1,461.64
78,501,RUBEN GEARY,Poland,Lublin,1,2005-08-17,2,8.98,6,6,3.32,1.5055,3.7572,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,11,Horror,1,460.29
79,330,SCOTT SHELLEY,United States,Aurora,1,2005-08-18,2,7.98,5,5,3.99,1.0,3.99,1.0,0.0,10.0,0,0.0,1,Mike Hillyer,2,12,Music,1,459.6
80,388,CRAIG MORRELL,Philippines,Cavite,2,2005-08-18,4,17.96,5,10,5.18,1.3,9.8305,2.0,1.0,2.0,1,0.25,2,Jon Stephens,3,10,Games,1,458.22
81,256,MABEL HOLLAND,Myanmar,Monywa,2,2005-08-20,4,13.96,5,5,4.79,2.49,3.6828,1.0,0.0,10.0,2,0.5,1,Mike Hillyer,2,13,New,2,457.31
82,33,ANNA HILL,Italy,Alessandria,2,2005-07-30,3,11.97,5,5,3.59,2.4083,3.4796,1.0,0.0,10.0,2,0.6667,1,Mike Hillyer,2,12,Music,1,452.52
83,204,ROSEMARY SCHMIDT,Turkey,Usak,1,2005-06-17,2,12.98,6,6,3.99,2.5298,3.5536,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,16,Travel,1,452.14
84,427,JESUS MCCARTNEY,Brazil,Guaruj,2,2005-07-29,2,11.98,7,7,4.99,2.0,3.495,1.0,0.0,10.0,1,0.5,1,Mike Hillyer,1,3,Children,1,449.8
85,166,LYNN PAYNE,Malawi,Lilongwe,1,2005-08-20,2,12.98,6,6,5.99,2.1909,3.1905,1.0,0.0,10.0,2,1.0,2,Jon Stephens,2,14,Sci-Fi,1,447.62
86,514,FRANKLIN TROUTMAN,China,Zaoyang,2,2005-07-06,2,8.98,6,6,2.49,1.7607,3.6861,1.0,0.0,10.0,0,0.0,2,Jon Stephens,2,4,Classics,1,447.44
87,490,SAM MCDUFFIE,Colombia,Sogamoso,1,2005-07-12,3,16.97,8,9,4.99,1.6895,7.0917,1.13,0.378,4.9608,2,0.6667,2,Jon Stephens,2,1,Action,1,445.83
88,546,KELLY KNOTT,China,Sanya,1,2005-07-12,3,19.97,6,8,3.49,1.873,8.8006,1.33,0.6325,2.6352,2,0.6667,2,Jon Stephens,2,2,Animation,1,444.42
89,285,MIRIAM MCKINNEY,Japan,Otsu,1,2005-07-11,4,14.96,6,6,6.32,2.582,3.345,1.0,0.0,10.0,2,0.5,2,Jon Stephens,2,6,Documentary,2,443.8
90,310,DANIEL CABRAL,Brazil,Ibirit,2,2005-08-18,2,12.98,5,5,5.19,2.1679,3.5933,1.0,0.0,10.0,0,0.0,2,Jon Stephens,2,9,Foreign,1,443.73
91,65,ROSE HOWARD,French Guiana,Cayenne,2,2005-08-02,3,19.97,8,9,4.74,2.1191,7.1875,1.13,0.378,4.9608,1,0.3333,2,Jon Stephens,2,12,Music,1,442.99
92,15,HELEN HARRIS,India,Bhopal,1,2005-08-02,4,11.96,9,9,4.55,2.2423,3.3067,1.0,0.0,10.0,2,0.5,1,Mike Hillyer,2,16,Travel,2,442.27
93,483,VERNON CHAPA,Turkey,Denizli,2,2005-07-12,2,14.98,5,5,4.99,2.8284,3.532,1.0,0.0,10.0,0,0.0,2,Jon Stephens,2,15,Sports,1,441.28
94,344,HENRY BILLINGSLEY,Tonga,Nukualofa,1,2005-08-19,2,8.98,5,5,4.99,1.2247,3.2578,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,15,Sports,1,440.31
95,272,KAY CALDWELL,China,Yantai,1,2005-08-17,3,16.97,6,6,5.99,3.4641,3.1697,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,6,Documentary,2,440.12
96,267,MARGIE WADE,China,Lengshuijiang,1,2005-06-19,4,22.96,5,6,5.99,2.642,6.424,1.2,0.5,5.6,3,0.75,2,Jon Stephens,3,14,Sci-Fi,1,439.96
97,495,CHARLIE BESS,China,Baiyin,2,2005-07-29,3,13.97,5,5,4.59,3.2094,2.9227,1.0,0.0,10.0,3,1.0,1,Mike Hillyer,3,7,Drama,1,436.91
98,279,DIANNE SHELTON,Iran,Tabriz,2,2005-08-19,4,18.96,6,7,5.16,2.3982,5.7564,1.17,0.4472,6.3355,3,0.75,1,Mike Hillyer,3,5,Comedy,1,435.32
99,498,GENE SANBORN,Oman,Salala,1,2005-07-27,3,16.97,6,8,3.49,1.5139,8.9061,1.33,0.6325,2.6352,0,0.0,1,Mike Hillyer,3,6,Documentary,1,435.3
100,378,EUGENE CULPEPPER,China,Shenzhen,1,2005-07-31,2,6.98,6,6,2.32,1.5055,3.093,1.0,0.0,10.0,1,0.5,2,Jon Stephens,1,1,Action,1,433.72
101,301,ROBERT BAUGHMAN,Russian Federation,Kaliningrad,2,2005-07-10,3,10.97,6,6,4.16,2.0412,3.3378,1.0,0.0,10.0,0,0.0,2,Jon Stephens,3,11,Horror,1,433.51
102,7,MARIA MILLER,Yugoslavia,Kragujevac,1,2005-08-01,4,22.96,9,11,6.65,2.5482,6.3988,1.22,0.5,5.5556,2,0.5,2,Jon Stephens,2,2,Animation,2,432.62
103,509,RAUL FORTIER,India,Chapra,1,2005-07-28,3,21.97,4,5,4.74,2.0579,8.3738,1.25,0.5774,3.0311,0,0.0,1,Mike Hillyer,3,14,Sci-Fi,1,425.88
104,472,GREG ROBINS,Vietnam,Nam Dinh,1,2005-07-11,3,18.97,8,9,4.86,2.0994,6.7192,1.13,0.378,4.9608,1,0.3333,1,Mike Hillyer,2,5,Comedy,2,424.26
105,468,TIM CARY,India,Bijapur,1,2005-08-21,5,32.95,7,11,7.84,4.4107,5.6926,1.57,0.5774,5.9385,2,0.4,1,Mike Hillyer,3,6,Documentary,1,423.86
106,369,FRED WHEAT,Mexico,Jurez,2,2005-07-10,2,10.98,5,5,3.59,2.4083,3.0685,1.0,0.0,10.0,0,0.0,2,Jon Stephens,2,6,Documentary,1,422.74
107,74,DENISE KELLY,Brazil,Rio Claro,1,2005-07-10,3,10.97,5,5,3.39,2.7928,2.7141,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,8,Family,1,421.9
108,375,AARON SELBY,"Congo, The Democratic Republic of the",Mwene-Ditu,2,2005-08-01,4,8.96,5,5,4.59,1.6733,2.6116,1.0,0.0,10.0,3,0.75,1,Mike Hillyer,3,11,Horror,1,419.46
109,404,STANLEY SCROGGINS,Japan,Omiya,2,2005-08-22,5,27.95,9,12,6.43,4.5811,4.6974,1.33,0.5,7.3333,0,0.0,2,Jon Stephens,5,9,Foreign,2,417.89
110,558,JIMMIE EGGLESTON,Poland,Wroclaw,1,2005-07-06,3,14.97,5,5,5.59,3.2863,2.8542,1.0,0.0,10.0,0,0.0,1,Mike Hillyer,3,15,Sports,1,414.17
111,26,JESSICA HALL,Holy See (Vatican City State),Citt del Vaticano,2,2005-08-21,4,23.96,7,9,4.27,2.5587,7.6943,1.29,0.8165,3.3243,1,0.25,2,Jon Stephens,3,1,Action,2,412.5
112,201,VICKI FIELDS,Germany,Witten,1,2005-08-20,3,16.97,7,8,3.13,2.1917,6.3142,1.14,0.4082,4.5491,3,1.0,2,Jon Stephens,3,11,Horror,1,409.04
113,368,HARRY ARCE,Iran,Najafabad,1,2005-08-19,4,17.96,8,9,4.61,3.3753,3.9541,1.13,0.378,7.6065,3,0.75,2,Jon Stephens,3,3,Children,1,401.36
114,393,PHILIP CAUSEY,Russian Federation,Korolev,1,2005-07-08,3,22.97,5,6,4.59,2.6987,6.8114,1.2,0.5,3.6,3,1.0,2,Jon Stephens,3,9,Foreign,1,400.46
115,245,COURTNEY DAY,South Korea,Uijongbu,1,2005-07-10,1,4.99,5,5,2.99,0.0,10.0,1.0,0.0,0.0,0,0.0,1,Mike Hillyer,1,4,Classics,1,400.0
116,146,JAMIE RICE,United States,Sterling Heights,1,2005-07-11,3,19.97,8,9,4.74,2.5483,5.9771,1.13,0.378,4.9608,1,0.3333,1,Mike Hillyer,2,5,Comedy,2,394.58
117,24,KIMBERLY LEE,Argentina,Crdoba,2,2005-08-18,2,11.98,6,7,2.99,1.0973,8.1945,1.17,0.4472,1.8634,1,0.5,2,Jon Stephens,1,2,Animation,1,393.68
118,474,DUSTIN GILLETTE,Netherlands,Emmen,2,2005-08-18,4,13.96,4,6,4.74,1.4989,6.1545,1.5,0.5774,4.3301,3,0.75,1,Mike Hillyer,3,5,Comedy,2,391.08
119,121,JOSEPHINE GOMEZ,India,Etawah,1,2005-08-21,4,25.96,7,14,7.98,2.3109,7.7807,2.0,0.8165,2.4495,1,0.25,1,Mike Hillyer,3,3,Children,1,389.71
120,462,WARREN SHERROD,Russian Federation,Usolje-Sibirskoje,2,2005-07-12,4,20.96,4,5,7.49,2.3784,5.6646,1.25,0.5774,4.7631,4,1.0,1,Mike Hillyer,4,2,Animation,2,389.48
121,510,BEN EASTER,Russian Federation,Kamyin,2,2005-06-19,3,10.97,6,6,4.66,3.1411,2.0099,1.0,0.0,10.0,1,0.3333,2,Jon Stephens,2,14,Sci-Fi,1,387.06
122,347,RYAN SALISBURY,Latvia,Daugavpils,2,2005-07-28,4,15.96,6,7,4.16,2.4818,4.7566,1.17,0.4472,6.3355,1,0.25,2,Jon Stephens,3,4,Classics,1,385.33
123,481,HERMAN DEVORE,Tanzania,Mwanza,1,2005-07-08,4,16.96,4,5,3.74,2.214,5.9723,1.25,0.5774,4.7631,0,0.0,1,Mike Hillyer,4,3,Children,2,381.79
124,457,BILL GAVIN,United States,Rockford,2,2005-06-19,3,9.97,5,5,4.59,3.5071,1.534,1.0,0.0,10.0,3,1.0,1,Mike Hillyer,3,7,Drama,1,381.36
125,519,RON DELUCA,Japan,Isesaki,2,2005-07-31,5,23.95,6,8,4.65,4.0792,4.7305,1.33,0.6325,5.7975,2,0.4,2,Jon Stephens,3,3,Children,1,381.14
126,573,BYRON BOX,Kazakstan,Zhezqazghan,1,2005-07-31,4,24.96,7,11,6.56,3.1544,5.8345,1.57,0.5774,4.2064,4,1.0,2,Jon Stephens,4,11,Horror,2,379.57
127,67,KELLY TORRES,China,Xiangtan,1,2005-08-20,3,10.97,7,7,5.7,3.2514,1.6195,1.0,0.0,10.0,2,0.6667,2,Jon Stephens,2,6,Documentary,1,378.12
128,387,JESSE SCHILLING,"Congo, The Democratic Republic of the",Lubumbashi,2,2005-08-19,3,15.97,5,6,3.59,1.9463,6.3619,1.2,0.5,3.6,2,0.6667,1,Mike Hillyer,2,6,Documentary,1,375.81
129,339,WALTER PERRYMAN,China,Xinxiang,2,2005-08-17,3,12.97,6,7,4.82,1.3259,6.1455,1.17,0.4472,4.0995,1,0.3333,2,Jon Stephens,2,11,Horror,1,375.47
130,234,CLAUDIA FULLER,Kuwait,Jalib al-Shuyukh,1,2005-08-02,4,17.96,3,5,7.65,1.5221,6.7737,1.67,0.7071,3.2998,1,0.25,1,Mike Hillyer,3,15,Sports,1,374.94
131,164,JOANN GARDNER,Turkey,Tarsus,2,2005-07-12,3,8.97,6,6,4.49,2.6646,1.6813,1.0,0.0,10.0,1,0.3333,2,Jon Stephens,2,14,Sci-Fi,1,373.92
132,198,ELSIE KELLEY,Nigeria,Ikerre,2,2005-07-12,3,14.97,4,5,3.24,1.7064,6.8757,1.25,0.5774,3.0311,1,0.3333,2,Jon Stephens,2,6,Documentary,1,372.63
