suspicious_payment_sum_rank,customer_id,customer_name,customer_city,customer_country,window_start_date,window_end_date,window_sum_7d,window_count_7d,avg_prev30_window_sum_7d,avg_prev30_window_count_7d,sum_spike_ratio,payment_staff,payment_stores,distinct_rented_films,total_suspicious_payment_sum
8,186,HOLLY FOX,Haldia,India,2005-07-24,2005-07-30,19.94,6,4.99,1.0,4.0,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,103.73
9,148,ELEANOR HUNT,Saint-Denis,Runion,2005-07-27,2005-08-02,78.85,15,14.79,4.83,5.33,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",15,101.8
9,148,ELEANOR HUNT,Saint-Denis,Runion,2005-07-26,2005-08-01,67.86,14,14.79,4.83,4.59,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",14,101.8
9,148,ELEANOR HUNT,Saint-Denis,Runion,2005-07-25,2005-07-31,60.87,13,14.79,4.83,4.12,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",13,101.8
9,148,ELEANOR HUNT,Saint-Denis,Runion,2005-07-24,2005-07-30,48.9,10,14.79,4.83,3.31,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",10,101.8
9,148,ELEANOR HUNT,Saint-Denis,Runion,2005-06-13,2005-06-19,22.95,5,4.99,1.0,4.6,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,101.8
10,103,GLADYS HAMILTON,Ilorin,Nigeria,2005-08-17,2005-08-23,51.9,10,13.21,3.75,3.93,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",10,98.81
10,103,GLADYS HAMILTON,Ilorin,Nigeria,2005-07-06,2005-07-12,46.91,9,6.48,2.5,7.24,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",9,98.81
10,103,GLADYS HAMILTON,Ilorin,Nigeria,2005-07-03,2005-07-09,33.93,7,6.48,2.5,5.24,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,98.81
10,103,GLADYS HAMILTON,Ilorin,Nigeria,2005-07-02,2005-07-08,28.94,6,6.48,2.5,4.47,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,98.81
10,103,GLADYS HAMILTON,Ilorin,Nigeria,2005-07-01,2005-07-07,23.95,5,6.48,2.5,3.7,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,98.81
11,454,ALEX GRESHAM,Uruapan,Mexico,2005-06-15,2005-06-21,52.9,10,7.99,1.0,6.62,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",10,97.79
11,454,ALEX GRESHAM,Uruapan,Mexico,2005-06-13,2005-06-19,44.92,8,7.99,1.0,5.62,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",8,97.79
11,454,ALEX GRESHAM,Uruapan,Mexico,2005-08-17,2005-08-23,44.89,11,12.63,3.67,3.55,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,97.79
11,454,ALEX GRESHAM,Uruapan,Mexico,2005-08-16,2005-08-22,42.9,10,12.63,3.67,3.4,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",10,97.79
11,454,ALEX GRESHAM,Uruapan,Mexico,2005-06-12,2005-06-18,34.93,7,7.99,1.0,4.37,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,97.79
11,454,ALEX GRESHAM,Uruapan,Mexico,2005-06-11,2005-06-17,25.95,5,7.99,1.0,3.25,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,97.79
12,293,MAE FLETCHER,Donostia-San Sebastin,Spain,2005-08-17,2005-08-23,58.9,10,12.97,3.25,4.54,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",10,94.83
12,293,MAE FLETCHER,Donostia-San Sebastin,Spain,2005-08-16,2005-08-22,44.92,8,12.97,3.25,3.46,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,94.83
12,293,MAE FLETCHER,Donostia-San Sebastin,Spain,2005-06-15,2005-06-21,35.93,7,7.31,2.0,4.91,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,94.83
12,293,MAE FLETCHER,Donostia-San Sebastin,Spain,2005-06-14,2005-06-20,28.95,5,7.31,2.0,3.96,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,94.83
13,558,JIMMIE EGGLESTON,Wroclaw,Poland,2005-07-06,2005-07-12,58.89,11,13.77,3.0,4.28,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",11,93.83
13,558,JIMMIE EGGLESTON,Wroclaw,Poland,2005-07-05,2005-07-11,42.92,8,13.77,3.0,3.12,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,93.83
13,558,JIMMIE EGGLESTON,Wroclaw,Poland,2005-08-15,2005-08-21,34.94,6,9.76,3.8,3.58,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,93.83
14,121,JOSEPHINE GOMEZ,Etawah,India,2005-08-17,2005-08-23,61.87,13,19.19,5.75,3.22,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",13,93.79
14,121,JOSEPHINE GOMEZ,Etawah,India,2005-08-16,2005-08-22,58.88,12,19.19,5.75,3.07,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,93.79
14,121,JOSEPHINE GOMEZ,Etawah,India,2005-07-26,2005-08-01,31.92,8,3.49,1.5,9.16,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",8,93.79
14,121,JOSEPHINE GOMEZ,Etawah,India,2005-07-24,2005-07-30,25.93,7,3.49,1.5,7.44,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,93.79
14,121,JOSEPHINE GOMEZ,Etawah,India,2005-07-23,2005-07-29,13.95,5,3.49,1.5,4.0,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,93.79
15,75,TAMMY SANDERS,Changhwa,Taiwan,2005-07-27,2005-08-02,62.86,14,12.12,4.83,5.19,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",14,92.81
15,75,TAMMY SANDERS,Changhwa,Taiwan,2005-07-26,2005-08-01,56.88,12,12.12,4.83,4.69,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",12,92.81
15,75,TAMMY SANDERS,Changhwa,Taiwan,2005-07-25,2005-07-31,46.9,10,12.12,4.83,3.87,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",10,92.81
15,75,TAMMY SANDERS,Changhwa,Taiwan,2005-07-24,2005-07-30,36.91,9,12.12,4.83,3.05,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,92.81
15,75,TAMMY SANDERS,Changhwa,Taiwan,2005-06-15,2005-06-21,29.95,5,5.98,2.0,5.01,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,92.81
16,198,ELSIE KELLEY,Ikerre,Nigeria,2005-08-17,2005-08-23,65.86,14,21.43,6.83,3.07,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",14,92.79
16,198,ELSIE KELLEY,Ikerre,Nigeria,2005-07-06,2005-07-12,26.93,7,0.99,1.0,27.2,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,92.79
17,211,STACEY MONTGOMERY,Fuyu,China,2005-07-06,2005-07-12,46.89,11,12.49,1.5,3.76,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,92.78
17,211,STACEY MONTGOMERY,Fuyu,China,2005-08-17,2005-08-23,45.89,11,14.62,4.33,3.14,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,92.78
17,211,STACEY MONTGOMERY,Fuyu,China,2005-07-04,2005-07-10,38.92,8,12.49,1.5,3.12,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",8,92.78
18,531,JAMIE WAUGH,Kuwana,Japan,2005-07-27,2005-08-02,63.88,12,17.3,3.67,3.69,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,91.82
18,531,JAMIE WAUGH,Kuwana,Japan,2005-07-06,2005-07-12,27.94,6,2.99,1.0,9.34,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,91.82
19,295,DAISY BATES,Kolpino,Russian Federation,2005-07-27,2005-08-02,58.89,11,19.15,4.8,3.07,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,91.8
19,295,DAISY BATES,Kolpino,Russian Federation,2005-06-15,2005-06-21,32.91,9,3.99,1.0,8.25,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,91.8
19,295,DAISY BATES,Kolpino,Russian Federation,2005-06-14,2005-06-20,21.93,7,3.99,1.0,5.5,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,91.8
19,295,DAISY BATES,Kolpino,Russian Federation,2005-06-13,2005-06-19,18.94,6,3.99,1.0,4.75,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,91.8
19,295,DAISY BATES,Kolpino,Russian Federation,2005-06-12,2005-06-18,16.95,5,3.99,1.0,4.25,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,91.8
20,236,MARCIA DEAN,Tanza,Philippines,2005-07-27,2005-08-02,52.88,12,17.54,5.6,3.01,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,90.8
20,236,MARCIA DEAN,Tanza,Philippines,2005-06-15,2005-06-21,37.92,8,5.98,2.0,6.34,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,90.8
20,236,MARCIA DEAN,Tanza,Philippines,2005-06-13,2005-06-19,29.94,6,5.98,2.0,5.01,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,90.8
21,466,LEO EBERT,Dongying,China,2005-08-17,2005-08-23,37.93,7,11.16,3.8,3.4,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,88.81
21,466,LEO EBERT,Dongying,China,2005-06-15,2005-06-21,28.95,5,2.99,1.0,9.68,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,88.81
21,466,LEO EBERT,Dongying,China,2005-07-27,2005-08-02,21.93,7,6.65,2.0,3.3,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,88.81
22,535,JAVIER ELROD,NDjamna,Chad,2005-08-17,2005-08-23,53.87,13,13.71,3.75,3.93,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",13,88.8
22,535,JAVIER ELROD,NDjamna,Chad,2005-08-16,2005-08-22,52.88,12,13.71,3.75,3.86,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,88.8
22,535,JAVIER ELROD,NDjamna,Chad,2005-07-06,2005-07-12,34.93,7,7.49,1.5,4.67,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,88.8
22,535,JAVIER ELROD,NDjamna,Chad,2005-07-04,2005-07-10,31.94,6,7.49,1.5,4.27,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,88.8
23,494,RAMON CHOATE,Robamba,Ecuador,2005-07-27,2005-08-02,57.87,13,18.45,5.5,3.14,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",13,88.79
23,494,RAMON CHOATE,Robamba,Ecuador,2005-07-03,2005-07-09,30.92,8,2.99,1.0,10.34,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,88.79
23,494,RAMON CHOATE,Robamba,Ecuador,2005-07-02,2005-07-08,22.94,6,2.99,1.0,7.67,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,88.79
23,494,RAMON CHOATE,Robamba,Ecuador,2005-07-01,2005-07-07,14.95,5,2.99,1.0,5.0,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,88.79
24,181,ANA BRADLEY,Memphis,United States,2005-07-26,2005-08-01,82.86,14,11.98,2.0,6.92,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",14,87.85
24,181,ANA BRADLEY,Memphis,United States,2005-07-27,2005-08-02,78.86,14,11.23,1.75,7.02,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",14,87.85
24,181,ANA BRADLEY,Memphis,United States,2005-07-25,2005-07-31,55.91,9,11.98,2.0,4.67,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,87.85
24,181,ANA BRADLEY,Memphis,United States,2005-07-24,2005-07-30,50.92,8,11.98,2.0,4.25,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,87.85
24,26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-08-17,2005-08-23,45.92,8,8.77,3.4,5.24,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,87.85
24,26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-06-13,2005-06-19,41.93,7,4.49,1.5,9.35,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,87.85
24,26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-08-16,2005-08-22,37.93,7,8.77,3.4,4.33,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,87.85
24,26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-08-15,2005-08-21,34.94,6,8.77,3.4,3.99,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,87.85
24,26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-06-12,2005-06-18,31.95,5,4.49,1.5,7.12,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,87.85
25,569,DAVE GARDINER,Leshan,China,2005-08-17,2005-08-23,57.87,13,16.7,5.25,3.47,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",13,87.78
25,569,DAVE GARDINER,Leshan,China,2005-08-16,2005-08-22,51.89,11,16.7,5.25,3.11,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",11,87.78
25,569,DAVE GARDINER,Leshan,China,2005-07-27,2005-08-02,29.91,9,8.65,2.0,3.46,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,87.78
26,321,KEVIN SCHULER,Birgunj,Nepal,2005-08-17,2005-08-23,42.93,7,7.49,1.5,5.74,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,85.85
26,321,KEVIN SCHULER,Birgunj,Nepal,2005-07-06,2005-07-12,42.92,8,6.49,1.5,6.62,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",8,85.85
26,321,KEVIN SCHULER,Birgunj,Nepal,2005-07-05,2005-07-11,36.93,7,6.49,1.5,5.69,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,85.85
26,321,KEVIN SCHULER,Birgunj,Nepal,2005-07-04,2005-07-10,33.94,6,6.49,1.5,5.23,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,85.85
26,321,KEVIN SCHULER,Birgunj,Nepal,2005-08-14,2005-08-20,29.95,5,7.49,1.5,4.0,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,85.85
26,321,KEVIN SCHULER,Birgunj,Nepal,2005-07-03,2005-07-09,24.95,5,6.49,1.5,3.85,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,85.85
27,390,SHAWN HEATON,Nakhon Sawan,Thailand,2005-08-16,2005-08-22,59.88,12,17.71,4.25,3.38,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",12,85.83
27,390,SHAWN HEATON,Nakhon Sawan,Thailand,2005-06-14,2005-06-20,25.95,5,7.49,1.5,3.47,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,85.83
28,319,RONALD WEINER,San Felipe del Progreso,Mexico,2005-07-06,2005-07-12,43.91,9,14.36,3.8,3.06,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",9,84.82
28,319,RONALD WEINER,San Felipe del Progreso,Mexico,2005-08-16,2005-08-22,40.91,9,5.98,2.0,6.84,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,84.82
28,319,RONALD WEINER,San Felipe del Progreso,Mexico,2005-08-14,2005-08-20,29.93,7,5.98,2.0,5.01,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",7,84.82
28,319,RONALD WEINER,San Felipe del Progreso,Mexico,2005-08-12,2005-08-18,25.94,6,5.98,2.0,4.34,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,84.82
29,237,TANYA GILBERT,Naju,South Korea,2005-07-27,2005-08-02,71.85,15,7.49,1.5,9.6,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",15,84.8
29,237,TANYA GILBERT,Naju,South Korea,2005-07-25,2005-07-31,54.87,13,7.49,1.5,7.33,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",13,84.8
29,237,TANYA GILBERT,Naju,South Korea,2005-07-24,2005-07-30,43.91,9,7.49,1.5,5.87,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",9,84.8
29,237,TANYA GILBERT,Naju,South Korea,2005-07-23,2005-07-29,37.92,8,7.49,1.5,5.07,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",8,84.8
29,237,TANYA GILBERT,Naju,South Korea,2005-07-22,2005-07-28,23.95,5,7.49,1.5,3.2,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,84.8
29,237,TANYA GILBERT,Naju,South Korea,2005-06-14,2005-06-20,12.95,5,3.49,1.5,3.72,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,84.8
30,327,LARRY THRASHER,Adana,Turkey,2005-08-17,2005-08-23,52.89,11,5.23,2.5,10.12,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,83.83
30,327,LARRY THRASHER,Adana,Turkey,2005-06-13,2005-06-19,30.94,6,6.99,1.0,4.43,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,83.83
30,327,LARRY THRASHER,Adana,Turkey,2005-08-16,2005-08-22,28.92,8,5.23,2.5,5.53,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",8,83.83
30,327,LARRY THRASHER,Adana,Turkey,2005-06-12,2005-06-18,26.95,5,6.99,1.0,3.86,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,83.83
30,327,LARRY THRASHER,Adana,Turkey,2005-08-14,2005-08-20,16.95,5,5.23,2.5,3.24,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",5,83.83
31,2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-27,2005-08-02,83.83,17,9.98,2.0,8.4,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",17,83.83
31,2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-26,2005-08-01,66.87,13,9.98,2.0,6.7,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",13,83.83
31,2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-25,2005-07-31,65.88,12,9.98,2.0,6.6,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,83.83
31,2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-24,2005-07-30,62.89,11,9.98,2.0,6.3,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,83.83
31,2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-23,2005-07-29,31.94,6,9.98,2.0,3.2,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,83.83
32,560,JORDAN ARCHULETA,Avellaneda,Argentina,2005-07-27,2005-08-02,55.89,11,15.17,3.4,3.69,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",11,82.83
32,560,JORDAN ARCHULETA,Avellaneda,Argentina,2005-07-05,2005-07-11,26.94,6,5.99,1.5,4.5,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",6,82.83
32,560,JORDAN ARCHULETA,Avellaneda,Argentina,2005-07-03,2005-07-09,21.95,5,5.99,1.5,3.67,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",5,82.83
33,373,LOUIS LEONE,Tanauan,Philippines,2005-07-27,2005-08-02,55.88,12,15.57,3.2,3.59,"Mike Hillyer (#1),Jon Stephens (#2)","store #1,store #2",12,82.82
33,373,LOUIS LEONE,Tanauan,Philippines,2005-07-05,2005-07-11,26.94,6,8.49,1.5,3.18,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",6,82.82
34,502,BRETT CORNWELL,Siliguri (Shiliguri),India,2005-07-27,2005-08-02,47.87,13,14.68,3.29,3.26,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",12,82.8
34,502,BRETT CORNWELL,Siliguri (Shiliguri),India,2005-07-06,2005-07-12,34.93,7,8.98,2.0,3.89,"Jon Stephens (#2),Mike Hillyer (#1)","store #2,store #1",7,82.8
