customer_id,first_name,last_name,payment_month,country,city,payment_sum,payment_count,deviation_from_previous_avg,country_deviation_rank
277,OLGA,JIMENEZ,2005-06,Nigeria,Ogbomosho,28.93,7,21.94,1
277,OLGA,JIMENEZ,2005-07,Nigeria,Ogbomosho,46.88,12,28.92,1
277,OLGA,JIMENEZ,2005-08,Nigeria,Ogbomosho,61.88,12,34.28,1
434,EDDIE,TOMLIN,2005-06,Philippines,Ozamis,28.93,7,22.94,1
434,EDDIE,TOMLIN,2005-07,Philippines,Ozamis,40.91,9,23.45,1
434,EDDIE,TOMLIN,2005-08,Philippines,Ozamis,52.9,10,27.62,1
148,ELEANOR,HUNT,2005-06,Runion,Saint-Denis,22.95,5,17.96,1
148,ELEANOR,HUNT,2005-07,Runion,Saint-Denis,100.78,22,86.81,1
148,ELEANOR,HUNT,2005-08,Runion,Saint-Denis,87.82,18,44.91,1
487,HECTOR,POINDEXTER,2005-07,Russian Federation,Pjatigorsk,46.86,14,42.87,1
160,ERIN,DUNN,2005-07,Russian Federation,Ljubertsy,28.91,9,17.94,2
160,ERIN,DUNN,2005-08,Russian Federation,Ljubertsy,66.85,15,46.91,1
487,HECTOR,POINDEXTER,2005-08,Russian Federation,Pjatigorsk,68.89,11,43.47,2
471,DEAN,SAUER,2005-06,South Africa,Johannesburg,20.95,5,17.96,1
555,DWIGHT,LOMBARDI,2005-07,South Africa,Chatsworth,29.94,6,27.95,1
471,DEAN,SAUER,2005-07,South Africa,Johannesburg,29.91,9,17.94,2
471,DEAN,SAUER,2005-08,South Africa,Johannesburg,55.88,12,37.93,1
555,DWIGHT,LOMBARDI,2005-08,South Africa,Chatsworth,42.9,10,26.94,2
237,TANYA,GILBERT,2005-06,South Korea,Naju,12.95,5,6.97,1
237,TANYA,GILBERT,2005-07,South Korea,Naju,64.85,15,55.39,1
237,TANYA,GILBERT,2005-08,South Korea,Naju,60.89,11,32.96,1
190,YOLANDA,WEAVER,2005-06,Tanzania,Tabora,19.95,5,11.97,1
190,YOLANDA,WEAVER,2005-07,Tanzania,Tabora,27.93,7,13.97,1
190,YOLANDA,WEAVER,2005-08,Tanzania,Tabora,49.88,12,31.26,1
187,BRITTANY,RILEY,2005-06,Ukraine,Sumy,23.93,7,15.94,1
187,BRITTANY,RILEY,2005-07,Ukraine,Sumy,63.89,11,47.93,1
187,BRITTANY,RILEY,2005-08,Ukraine,Sumy,63.91,9,31.97,1
512,CECIL,VINES,2005-07,United Kingdom,London,36.91,9,21.94,1
512,CECIL,VINES,2005-08,United Kingdom,London,62.87,13,36.93,1
308,THOMAS,GRIGSBY,2005-06,United States,Kansas City,19.95,5,15.96,1
308,THOMAS,GRIGSBY,2005-07,United States,Kansas City,27.94,6,15.97,1
308,THOMAS,GRIGSBY,2005-08,United States,Kansas City,53.87,13,36.58,1
111,CARMEN,OWENS,2005-06,Venezuela,Caracas,22.94,6,19.95,1
111,CARMEN,OWENS,2005-07,Venezuela,Caracas,29.91,9,16.94,1
111,CARMEN,OWENS,2005-08,Venezuela,Caracas,38.91,9,20.3,1
