customer_id,first_name,last_name,city,country,payment_date,payment_count,total_amount,staff_count,store_count,first_payment_time,last_payment_time,max_payment_amount,suspicion_rank_in_country
352,ALBERT,CROUSE,Bamenda,Cameroon,2005-07-27,4,22.96,2,2,2005-07-27 03:03:25.000,2005-07-27 23:06:41.000,7.99,1
410,CURTIS,IRBY,Richmond Hill,Canada,2005-07-09,4,17.96,2,2,2005-07-09 08:28:40.000,2005-07-09 17:01:08.000,5.99,1
45,JANET,PHILLIPS,Antofagasta,Chile,2005-08-02,5,27.950000000000003,2,2,2005-08-02 00:33:12.000,2005-08-02 22:35:15.000,8.99,1
129,CARRIE,PORTER,Liaocheng,China,2005-07-31,4,26.96,2,2,2005-07-31 11:49:00.000,2005-07-31 23:24:31.000,7.99,1
267,MARGIE,WADE,Lengshuijiang,China,2005-06-19,4,22.96,2,2,2005-06-19 04:40:06.000,2005-06-19 16:55:59.000,7.99,2
546,KELLY,KNOTT,Sanya,China,2005-07-12,3,19.97,2,2,2005-07-12 15:13:49.000,2005-07-12 22:11:21.000,9.99,3
93,PHYLLIS,FOSTER,Zalantun,China,2005-08-20,4,19.96,2,2,2005-08-20 04:09:50.000,2005-08-20 19:32:29.000,8.99,4
424,KYLE,SPURLOCK,Shanwei,China,2005-07-31,3,20.97,2,2,2005-07-31 00:40:58.000,2005-07-31 18:13:22.000,8.99,5
538,TED,BREAUX,Baicheng,China,2005-07-31,3,18.97,2,2,2005-07-31 05:35:48.000,2005-07-31 15:29:00.000,8.99,6
384,ERNEST,STEPP,Huaian,China,2005-06-20,3,18.97,2,2,2005-06-20 05:07:24.000,2005-06-20 16:48:58.000,9.99,7
267,MARGIE,WADE,Lengshuijiang,China,2005-07-30,3,15.97,2,2,2005-07-30 07:18:44.000,2005-07-30 20:18:53.000,6.99,8
538,TED,BREAUX,Baicheng,China,2005-07-09,3,16.97,2,2,2005-07-09 07:53:22.000,2005-07-09 23:57:44.000,8.99,9
485,CLYDE,TOBIAS,Shaoguan,China,2005-07-30,4,17.96,2,2,2005-07-30 04:31:50.000,2005-07-30 12:20:59.000,6.99,10
283,FELICIA,SUTTON,Korla,China,2005-07-06,4,17.959999999999997,2,2,2005-07-06 01:32:27.000,2005-07-06 09:01:56.000,6.99,11
424,KYLE,SPURLOCK,Shanwei,China,2005-07-30,4,14.96,2,2,2005-07-30 01:56:22.000,2005-07-30 23:02:36.000,4.99,12
242,GLENDA,FRAZIER,Qinhuangdao,China,2005-06-15,3,14.97,2,2,2005-06-15 09:56:02.000,2005-06-15 21:21:58.000,4.99,13
154,MICHELE,GRANT,Yuncheng,China,2005-07-27,3,14.97,2,2,2005-07-27 01:05:24.000,2005-07-27 07:19:34.000,4.99,14
569,DAVE,GARDINER,Leshan,China,2005-08-02,4,14.96,2,2,2005-08-02 00:47:33.000,2005-08-02 17:35:10.000,6.99,15
120,SYLVIA,ORTIZ,Dos Quebradas,Colombia,2005-08-21,3,19.97,2,2,2005-08-21 02:24:33.000,2005-08-21 12:48:48.000,9.99,1
490,SAM,MCDUFFIE,Sogamoso,Colombia,2005-07-12,3,16.97,2,2,2005-07-12 17:21:49.000,2005-07-12 22:40:48.000,8.99,2
235,JACKIE,LYNCH,Buenaventura,Colombia,2005-07-06,3,14.97,2,2,2005-07-06 03:57:35.000,2005-07-06 22:47:09.000,6.99,3
375,AARON,SELBY,Mwene-Ditu,"Congo, The Democratic Republic of the",2005-08-02,3,18.97,2,2,2005-08-02 00:11:39.000,2005-08-02 05:06:17.000,6.99,1
258,MYRTLE,FLEMING,Santiago de los Caballeros,Dominican Republic,2005-08-01,5,20.95,2,2,2005-08-01 03:44:26.000,2005-08-01 06:52:50.000,6.99,1
262,PATSY,DAVIDSON,Portoviejo,Ecuador,2005-07-12,4,26.96,2,2,2005-07-12 04:57:46.000,2005-07-12 17:23:01.000,7.99,1
494,RAMON,CHOATE,Robamba,Ecuador,2005-08-22,4,26.96,2,2,2005-08-22 01:43:29.000,2005-08-22 19:28:04.000,9.99,2
423,ALFRED,CASILLAS,Sawhaj,Egypt,2005-07-27,5,24.950000000000003,2,2,2005-07-27 02:15:16.000,2005-07-27 21:39:42.000,9.99,1
134,EMMA,BOYD,Qalyub,Egypt,2005-08-02,4,20.96,2,2,2005-08-02 00:18:59.000,2005-08-02 22:24:31.000,6.99,2
104,RITA,GRAHAM,Toulon,France,2005-07-08,3,15.97,2,2,2005-07-08 02:53:46.000,2005-07-08 21:32:30.000,7.99,1
196,ALMA,AUSTIN,Mannheim,Germany,2005-07-31,3,22.97,2,2,2005-07-31 08:28:46.000,2005-07-31 21:29:28.000,10.99,1
26,JESSICA,HALL,Citt del Vaticano,Holy See (Vatican City State),2005-08-21,4,23.96,2,2,2005-08-21 03:24:29.000,2005-08-21 20:12:30.000,8.99,1
468,TIM,CARY,Bijapur,India,2005-08-21,5,32.95,2,2,2005-08-21 02:30:00.000,2005-08-21 18:03:51.000,9.99,1
192,LAURIE,LAWRENCE,Firozabad,India,2005-08-21,4,24.96,2,2,2005-08-21 02:13:31.000,2005-08-21 20:43:21.000,7.99,2
529,ERIK,GUILLEN,Bhimavaram,India,2005-07-12,3,20.97,2,2,2005-07-12 04:50:26.000,2005-07-12 22:08:46.000,7.99,3
121,JOSEPHINE,GOMEZ,Etawah,India,2005-08-21,4,25.96,2,2,2005-08-21 01:59:37.000,2005-08-21 12:52:54.000,9.99,4
412,ALLEN,BUTTERFIELD,Hoshiarpur,India,2005-07-29,3,18.97,2,2,2005-07-29 04:09:07.000,2005-07-29 15:54:22.000,8.99,4
259,LENA,JENSEN,Halisahar,India,2005-07-30,3,21.97,2,2,2005-07-30 12:46:40.000,2005-07-30 21:48:44.000,7.99,6
297,SHERRI,RHODES,Ahmadnagar,India,2005-06-18,3,16.97,2,2,2005-06-18 02:09:24.000,2005-06-18 11:29:22.000,8.99,7
259,LENA,JENSEN,Halisahar,India,2005-06-16,3,18.97,2,2,2005-06-16 08:46:26.000,2005-06-16 21:11:00.000,7.99,8
78,LORI,WOOD,Rae Bareli,India,2005-07-28,3,15.97,2,2,2005-07-28 05:50:11.000,2005-07-28 13:34:08.000,6.99,9
170,BEATRICE,ARNOLD,Udaipur,India,2005-07-10,3,15.97,2,2,2005-07-10 03:50:47.000,2005-07-10 15:17:33.000,7.99,10
370,WAYNE,TRUONG,Gulbarga,India,2005-07-27,3,15.97,2,2,2005-07-27 00:16:45.000,2005-07-27 09:47:53.000,7.99,11
367,ADAM,GOOCH,Adoni,India,2005-08-18,3,14.97,2,2,2005-08-18 00:21:35.000,2005-08-18 08:07:25.000,8.99,12
458,LLOYD,DOWD,Tegal,Indonesia,2005-07-12,3,15.97,2,2,2005-07-12 00:03:57.000,2005-07-12 11:06:28.000,7.99,1
328,JEFFREY,SPEAR,Ciparay,Indonesia,2005-08-20,3,14.97,2,2,2005-08-20 06:11:51.000,2005-08-20 16:17:27.000,7.99,2
459,TOMMY,COLLAZO,Qomsheh,Iran,2005-07-28,5,29.950000000000003,2,2,2005-07-28 00:37:41.000,2005-07-28 11:47:23.000,6.99,1
279,DIANNE,SHELTON,Tabriz,Iran,2005-07-09,3,20.97,2,2,2005-07-09 00:22:02.000,2005-07-09 18:15:32.000,9.99,2
279,DIANNE,SHELTON,Tabriz,Iran,2005-08-19,4,18.96,2,2,2005-08-19 05:20:25.000,2005-08-19 16:14:41.000,7.99,3
478,LEWIS,LYMAN,Ashqelon,Israel,2005-06-19,3,20.97,2,2,2005-06-19 01:18:27.000,2005-06-19 17:34:39.000,8.99,1
541,DARREN,WINDHAM,Livorno,Italy,2005-08-22,5,18.95,2,2,2005-08-22 05:52:39.000,2005-08-22 23:56:37.000,6.99,1
519,RON,DELUCA,Isesaki,Japan,2005-07-31,5,23.949999999999996,2,2,2005-07-31 01:18:27.000,2005-07-31 20:39:38.000,7.99,1
404,STANLEY,SCROGGINS,Omiya,Japan,2005-07-08,4,21.96,2,2,2005-07-08 01:43:46.000,2005-07-08 23:38:40.000,8.99,2
29,ANGELA,HERNANDEZ,Shimonoseki,Japan,2005-08-18,4,21.96,2,2,2005-08-18 12:48:22.000,2005-08-18 17:16:07.000,6.99,3
240,MARLENE,WELCH,Iwaki,Japan,2005-07-27,3,18.97,2,2,2005-07-27 01:25:34.000,2005-07-27 19:20:25.000,8.99,4
1,MARY,SMITH,Sasebo,Japan,2005-06-15,3,16.97,2,2,2005-06-15 00:54:12.000,2005-06-15 21:08:46.000,9.99,5
147,JOANNE,ROBERTSON,Urawa,Japan,2005-08-23,3,20.97,2,2,2005-08-23 03:01:56.000,2005-08-23 20:53:20.000,8.99,6
29,ANGELA,HERNANDEZ,Shimonoseki,Japan,2005-06-19,5,15.950000000000001,2,2,2005-06-19 10:38:42.000,2005-06-19 19:18:09.000,7.99,7
401,TONY,CARRANZA,Koriyama,Japan,2005-07-29,3,14.97,2,2,2005-07-29 07:44:05.000,2005-07-29 17:58:58.000,8.99,8
54,TERESA,ROGERS,Iwakuni,Japan,2005-08-02,3,15.97,2,2,2005-08-02 00:47:16.000,2005-08-02 10:55:14.000,5.99,9
193,KATIE,ELLIOTT,Kisumu,Kenya,2005-08-22,3,16.97,2,2,2005-08-22 05:31:53.000,2005-08-22 21:01:48.000,6.99,1
347,RYAN,SALISBURY,Daugavpils,Latvia,2005-07-28,4,15.96,2,2,2005-07-28 08:06:01.000,2005-07-28 21:42:08.000,4.99,1
454,ALEX,GRESHAM,Uruapan,Mexico,2005-08-20,4,27.96,2,2,2005-08-20 01:42:29.000,2005-08-20 12:53:12.000,8.99,1
425,FRANCIS,SIKES,San Juan Bautista Tuxtepec,Mexico,2005-07-08,4,27.96,2,2,2005-07-08 01:03:12.000,2005-07-08 22:35:30.000,8.99,2
582,ANDY,VANHORN,Huejutla de Reyes,Mexico,2005-07-27,4,20.96,2,2,2005-07-27 06:13:13.000,2005-07-27 22:53:52.000,6.99,3
133,PAULINE,HENRY,Torren,Mexico,2005-07-08,4,19.96,2,2,2005-07-08 02:22:18.000,2005-07-08 17:54:18.000,6.99,4
575,ISAAC,OGLESBY,Cuernavaca,Mexico,2005-08-18,3,22.97,2,2,2005-08-18 02:20:35.000,2005-08-18 23:29:00.000,8.99,5
150,DANIELLE,DANIELS,Hidalgo,Mexico,2005-08-19,5,21.950000000000003,2,2,2005-08-19 03:38:54.000,2005-08-19 21:23:19.000,8.99,6
84,SARA,PERRY,Atlixco,Mexico,2005-07-11,3,18.97,2,2,2005-07-11 00:05:58.000,2005-07-11 23:27:52.000,9.99,7
273,PRISCILLA,LOWE,Salamanca,Mexico,2005-07-12,4,19.96,2,2,2005-07-12 07:19:35.000,2005-07-12 13:35:02.000,8.99,8
414,VINCENT,RALSTON,Allende,Mexico,2005-08-19,5,17.95,2,2,2005-08-19 05:11:32.000,2005-08-19 22:18:42.000,7.99,9
465,FLOYD,GANDY,Zapopan,Mexico,2005-08-17,3,16.97,2,2,2005-08-17 02:20:42.000,2005-08-17 22:55:32.000,6.99,10
247,STELLA,MORENO,Coacalco de Berriozbal,Mexico,2005-08-18,3,17.97,2,2,2005-08-18 04:22:01.000,2005-08-18 12:48:45.000,7.99,11
319,RONALD,WEINER,San Felipe del Progreso,Mexico,2005-08-17,5,16.950000000000003,2,2,2005-08-17 01:50:26.000,2005-08-17 19:44:46.000,6.99,12
451,JIM,REA,El Fuerte,Mexico,2005-07-08,3,16.97,2,2,2005-07-08 03:56:29.000,2005-07-08 22:15:48.000,8.99,13
108,TRACY,COLE,Huixquilucan,Mexico,2005-07-29,3,15.97,2,2,2005-07-29 04:06:33.000,2005-07-29 23:10:28.000,5.99,14
103,GLADYS,HAMILTON,Ilorin,Nigeria,2005-08-23,5,25.950000000000003,2,2,2005-08-23 01:13:52.000,2005-08-23 22:43:07.000,8.99,1
280,TRACEY,BARRETT,Owo,Nigeria,2005-07-29,5,20.950000000000003,2,2,2005-07-29 03:44:52.000,2005-07-29 18:58:24.000,7.99,2
198,ELSIE,KELLEY,Ikerre,Nigeria,2005-08-17,6,22.939999999999998,2,2,2005-08-17 02:47:02.000,2005-08-17 18:19:44.000,6.99,3
280,TRACEY,BARRETT,Owo,Nigeria,2005-08-19,3,20.97,2,2,2005-08-19 02:05:37.000,2005-08-19 19:40:37.000,9.99,4
198,ELSIE,KELLEY,Ikerre,Nigeria,2005-07-12,3,14.97,2,2,2005-07-12 05:43:09.000,2005-07-12 21:01:22.000,4.99,5
597,FREDDIE,DUGGAN,Sullana,Peru,2005-08-02,4,16.96,2,2,2005-08-02 04:35:24.000,2005-08-02 13:28:30.000,5.99,1
522,ARNOLD,HAVENS,Santa Rosa,Philippines,2005-07-30,5,29.950000000000003,2,2,2005-07-30 03:54:12.000,2005-07-30 20:44:10.000,7.99,1
461,DEREK,BLAKELY,Gingoog,Philippines,2005-08-22,5,22.950000000000003,2,2,2005-08-22 04:15:48.000,2005-08-22 23:35:41.000,6.99,2
27,SHIRLEY,ALLEN,Davao,Philippines,2005-07-31,3,18.97,2,2,2005-07-31 05:12:59.000,2005-07-31 14:39:52.000,7.99,3
261,DEANNA,BYRD,Tuguegarao,Philippines,2005-06-17,3,18.97,2,2,2005-06-17 02:54:16.000,2005-06-17 16:33:32.000,8.99,4
27,SHIRLEY,ALLEN,Davao,Philippines,2005-08-17,3,21.97,2,2,2005-08-17 05:25:57.000,2005-08-17 19:52:43.000,8.99,5
71,KATHY,JAMES,Baybay,Philippines,2005-07-10,3,18.97,2,2,2005-07-10 02:48:03.000,2005-07-10 15:46:50.000,8.99,6
349,JOE,GILLILAND,Imus,Philippines,2005-08-02,3,18.97,2,2,2005-08-02 04:36:52.000,2005-08-02 22:46:47.000,8.99,7
388,CRAIG,MORRELL,Cavite,Philippines,2005-08-18,4,17.96,2,2,2005-08-18 04:24:30.000,2005-08-18 22:31:21.000,6.99,8
188,MELANIE,ARMSTRONG,Bayugan,Philippines,2005-08-01,4,16.96,2,2,2005-08-01 09:13:27.000,2005-08-01 20:22:44.000,5.99,9
270,LEAH,CURTIS,Kalisz,Poland,2005-08-01,3,18.97,2,2,2005-08-01 09:32:53.000,2005-08-01 16:08:52.000,7.99,1
563,KEN,PREWITT,Bucuresti,Romania,2005-07-08,7,29.930000000000003,2,2,2005-07-08 05:12:28.000,2005-07-08 19:46:58.000,6.99,1
44,MARIE,TURNER,Lipetsk,Russian Federation,2005-07-10,4,24.96,2,2,2005-07-10 03:01:09.000,2005-07-10 20:46:13.000,8.99,1
346,ARTHUR,SIMPKINS,Maikop,Russian Federation,2005-07-29,4,22.96,2,2,2005-07-29 01:29:51.000,2005-07-29 18:25:03.000,8.99,2
311,PAUL,TROUT,Kursk,Russian Federation,2005-07-31,3,20.97,2,2,2005-07-31 00:02:38.000,2005-07-31 21:56:10.000,8.99,3
106,CONNIE,WALLACE,Ivanovo,Russian Federation,2005-08-01,3,20.97,2,2,2005-08-01 01:03:18.000,2005-08-01 09:01:40.000,8.99,4
17,DONNA,THOMPSON,Elista,Russian Federation,2005-07-30,4,21.959999999999997,2,2,2005-07-30 08:30:56.000,2005-07-30 23:43:32.000,8.99,5
447,CLIFFORD,BOWENS,Nabereznyje Telny,Russian Federation,2005-07-30,3,17.97,2,2,2005-07-30 03:11:48.000,2005-07-30 15:56:39.000,6.99,6
376,RANDY,GAITHER,Kurgan,Russian Federation,2005-07-12,3,18.97,2,2,2005-07-12 04:14:35.000,2005-07-12 17:33:53.000,8.99,7
487,HECTOR,POINDEXTER,Pjatigorsk,Russian Federation,2005-08-01,3,16.97,2,2,2005-08-01 11:32:16.000,2005-08-01 23:24:53.000,6.99,8
407,DALE,RATCLIFF,Rustenburg,South Africa,2005-07-28,4,22.96,2,2,2005-07-28 01:19:44.000,2005-07-28 23:04:10.000,9.99,1
132,ESTHER,CRAWFORD,Botshabelo,South Africa,2005-08-01,4,22.96,2,2,2005-08-01 02:18:46.000,2005-08-01 15:44:20.000,6.99,2
145,LUCILLE,HOLMES,Soshanguve,South Africa,2005-07-07,3,20.97,2,2,2005-07-07 11:19:51.000,2005-07-07 21:33:16.000,8.99,3
145,LUCILLE,HOLMES,Soshanguve,South Africa,2005-08-19,4,15.96,2,2,2005-08-19 00:05:49.000,2005-08-19 17:49:13.000,7.99,4
245,COURTNEY,DAY,Uijongbu,South Korea,2005-07-27,5,17.950000000000003,2,2,2005-07-27 00:10:58.000,2005-07-27 16:05:00.000,5.99,1
52,JULIE,SANCHEZ,A Corua (La Corua),Spain,2005-08-22,3,15.97,2,2,2005-08-22 01:18:37.000,2005-08-22 06:35:50.000,6.99,1
50,DIANE,COLLINS,Omdurman,Sudan,2005-07-31,5,26.949999999999996,2,2,2005-07-31 03:59:56.000,2005-07-31 23:57:43.000,10.99,1
155,GAIL,KNIGHT,Bern,Switzerland,2005-07-11,3,15.97,2,2,2005-07-11 04:32:42.000,2005-07-11 05:29:22.000,5.99,1
139,AMBER,DIXON,Touliu,Taiwan,2005-08-22,5,21.950000000000003,2,2,2005-08-22 00:27:59.000,2005-08-22 16:59:05.000,9.99,1
348,ROGER,QUINTANILLA,Hsichuh,Taiwan,2005-07-08,4,20.96,2,2,2005-07-08 04:48:41.000,2005-07-08 17:01:48.000,9.99,2
577,CLIFTON,MALCOLM,Tanshui,Taiwan,2005-07-28,3,21.97,2,2,2005-07-28 10:24:22.000,2005-07-28 17:10:02.000,8.99,3
139,AMBER,DIXON,Touliu,Taiwan,2005-07-09,3,17.97,2,2,2005-07-09 05:57:39.000,2005-07-09 19:26:22.000,7.99,4
517,BRAD,MCCURDY,Chungho,Taiwan,2005-07-07,4,17.96,2,2,2005-07-07 06:00:21.000,2005-07-07 20:13:58.000,4.99,5
190,YOLANDA,WEAVER,Tabora,Tanzania,2005-08-02,4,24.96,2,2,2005-08-02 07:30:19.000,2005-08-02 15:56:51.000,6.99,1
390,SHAWN,HEATON,Nakhon Sawan,Thailand,2005-08-20,6,27.940000000000005,2,2,2005-08-20 01:03:50.000,2005-08-20 15:52:52.000,7.99,1
327,LARRY,THRASHER,Adana,Turkey,2005-08-23,3,23.97,2,2,2005-08-23 15:16:32.000,2005-08-23 19:51:30.000,9.99,1
172,BERNICE,WILLIS,Batman,Turkey,2005-07-08,3,17.97,2,2,2005-07-08 17:25:23.000,2005-07-08 19:33:49.000,6.99,2
204,ROSEMARY,SCHMIDT,Usak,Turkey,2005-08-22,3,17.97,2,2,2005-08-22 03:23:24.000,2005-08-22 23:48:56.000,11.99,3
187,BRITTANY,RILEY,Sumy,Ukraine,2005-08-18,3,26.97,2,2,2005-08-18 05:48:23.000,2005-08-18 14:04:41.000,9.99,1
82,KATHRYN,COLEMAN,Simferopol,Ukraine,2005-07-30,3,19.97,2,2,2005-07-30 15:13:45.000,2005-07-30 21:54:22.000,8.99,2
131,MONICA,HICKS,Mukateve,Ukraine,2005-08-19,4,18.959999999999997,2,2,2005-08-19 09:31:23.000,2005-08-19 22:26:26.000,7.99,3
98,LILLIAN,GRIFFIN,al-Ayn,United Arab Emirates,2005-07-29,3,16.97,2,2,2005-07-29 03:56:05.000,2005-07-29 22:14:04.000,5.99,1
583,MARSHALL,THORN,Southampton,United Kingdom,2005-07-06,3,17.97,2,2,2005-07-06 13:46:36.000,2005-07-06 23:33:41.000,9.99,1
181,ANA,BRADLEY,Memphis,United States,2005-08-01,5,26.950000000000003,2,2,2005-08-01 03:01:26.000,2005-08-01 20:53:45.000,6.99,1
420,JACOB,LANCE,El Monte,United States,2005-08-01,3,20.97,2,2,2005-08-01 03:39:57.000,2005-08-01 20:36:29.000,10.99,2
294,SHELLY,WATTS,Dayton,United States,2005-08-01,5,20.950000000000003,2,2,2005-08-01 00:12:36.000,2005-08-01 15:45:11.000,6.99,3
146,JAMIE,RICE,Sterling Heights,United States,2005-07-11,3,19.97,2,2,2005-07-11 06:53:09.000,2005-07-11 19:07:29.000,7.99,4
275,CAROLE,BARNETT,Peoria,United States,2005-08-21,4,19.96,2,2,2005-08-21 03:32:03.000,2005-08-21 22:12:45.000,5.99,5
149,VALERIE,BLACK,Brockton,United States,2005-06-18,3,18.97,2,2,2005-06-18 01:41:37.000,2005-06-18 15:17:59.000,7.99,6
63,ASHLEY,RICHARDSON,Lincoln,United States,2005-07-10,3,16.97,2,2,2005-07-10 04:15:43.000,2005-07-10 16:34:48.000,6.99,7
158,VERONICA,STONE,Greensboro,United States,2005-08-02,4,15.96,2,2,2005-08-02 07:26:43.000,2005-08-02 19:47:56.000,6.99,8
290,KRISTINA,CHAMBERS,Valle de la Pascua,Venezuela,2005-06-15,3,20.97,2,2,2005-06-15 03:26:15.000,2005-06-15 21:55:58.000,8.99,1
113,CINDY,FISHER,Cuman,Venezuela,2005-06-20,3,16.97,2,2,2005-06-20 10:04:36.000,2005-06-20 21:21:15.000,8.99,2
174,YVONNE,WATKINS,Ocumare del Tuy,Venezuela,2005-08-01,3,16.97,2,2,2005-08-01 06:01:52.000,2005-08-01 13:02:58.000,8.99,3
520,MITCHELL,WESTMORELAND,Nha Trang,Vietnam,2005-07-10,3,19.97,2,2,2005-07-10 14:53:35.000,2005-07-10 17:45:13.000,10.99,1
472,GREG,ROBINS,Nam Dinh,Vietnam,2005-07-11,3,18.97,2,2,2005-07-11 07:44:46.000,2005-07-11 18:08:41.000,6.99,2
470,GORDON,ALLARD,Hodeida,Yemen,2005-08-18,3,23.97,2,2,2005-08-18 01:15:47.000,2005-08-18 22:37:39.000,10.99,1
7,MARIA,MILLER,Kragujevac,Yugoslavia,2005-08-01,4,22.96,2,2,2005-08-01 04:57:04.000,2005-08-01 15:52:00.000,6.99,1
553,MAX,PITT,Novi Sad,Yugoslavia,2005-07-06,5,22.950000000000003,2,2,2005-07-06 14:32:44.000,2005-07-06 21:21:34.000,4.99,2
