customer_id,first_name,last_name,payment_count,total_amount,avg_payment_amount,is_suspicious
319,RONALD,WEINER,12,52.88,4.41,1
336,JOSHUA,MARK,12,52.88,4.41,1
402,LUIS,YANEZ,12,52.88,4.41,0
436,TROY,QUIGLEY,12,52.88,4.41,1
202,CARLA,GUTIERREZ,13,52.87,4.07,1
329,FRANK,WAGGONER,13,52.87,4.07,0
339,WALTER,PERRYMAN,13,52.87,4.07,0
78,LORI,WOOD,14,52.86,3.78,0
588,MARION,OCAMPO,14,52.86,3.78,0
198,ELSIE,KELLEY,15,52.85,3.52,0
157,DARLENE,ROSE,17,52.83,3.11,0
400,BRYAN,HARDISON,10,51.9,5.19,0
90,RUBY,WASHINGTON,12,51.88,4.32,1
139,AMBER,DIXON,12,51.88,4.32,0
213,GINA,WILLIAMSON,12,51.88,4.32,1
240,MARLENE,WELCH,12,51.88,4.32,1
264,GWENDOLYN,MAY,12,51.88,4.32,1
368,HARRY,ARCE,12,51.88,4.32,1
536,FERNANDO,CHURCHILL,12,51.88,4.32,1
108,TRACY,COLE,13,51.87,3.99,0
333,ANDREW,PURDY,13,51.87,3.99,1
519,RON,DELUCA,13,51.87,3.99,0
28,CYNTHIA,YOUNG,14,51.86,3.7,1
290,KRISTINA,CHAMBERS,14,51.86,3.7,0
538,TED,BREAUX,14,51.86,3.7,1
498,GENE,SANBORN,15,51.85,3.46,0
321,KEVIN,SCHULER,10,50.9,5.09,1
112,ROSA,REYNOLDS,11,50.89,4.63,0
389,ALAN,KAHN,11,50.89,4.63,1
447,CLIFFORD,BOWENS,11,50.89,4.63,1
488,SHANE,MILLARD,11,50.89,4.63,1
1,MARY,SMITH,12,50.88,4.24,0
14,BETTY,WHITE,12,50.88,4.24,0
185,ROBERTA,HARPER,12,50.88,4.24,1
317,EDWARD,BAUGH,12,50.88,4.24,1
324,GARY,COY,12,50.88,4.24,0
517,BRAD,MCCURDY,12,50.88,4.24,0
351,JACK,FOUST,13,50.87,3.91,0
356,GERALD,FULTZ,13,50.87,3.91,0
397,JIMMY,SCHRADER,13,50.87,3.91,0
115,WENDY,HARRISON,15,50.85,3.39,0
283,FELICIA,SUTTON,17,50.83,2.99,0
169,ERICA,MATTHEWS,10,49.9,4.99,1
345,CARL,ARTIS,10,49.9,4.99,1
427,JESUS,MCCARTNEY,10,49.9,4.99,0
407,DALE,RATCLIFF,11,49.89,4.54,1
428,HERBERT,KRUGER,11,49.89,4.54,0
525,ADRIAN,CLARY,11,49.89,4.54,0
96,DIANA,ALEXANDER,12,49.88,4.16,0
131,MONICA,HICKS,12,49.88,4.16,1
165,LORRAINE,STEPHENS,12,49.88,4.16,0
289,VIOLET,RODRIQUEZ,12,49.88,4.16,1
229,TAMARA,NGUYEN,13,49.87,3.84,0
57,EVELYN,MORGAN,15,49.85,3.32,0
507,EDGAR,RHOADS,15,49.85,3.32,0
580,ROSS,GREY,15,49.85,3.32,0
524,JARED,ELY,8,48.92,6.12,1
472,GREG,ROBINS,9,48.91,5.43,0
483,VERNON,CHAPA,9,48.91,5.43,1
552,HUGH,WALDROP,9,48.91,5.43,1
571,JOHNNIE,CHISHOLM,9,48.91,5.43,1
105,DAWN,SULLIVAN,10,48.9,4.89,1
301,ROBERT,BAUGHMAN,10,48.9,4.89,0
587,SERGIO,STANFIELD,10,48.9,4.89,1
31,BRENDA,WRIGHT,11,48.89,4.44,1
312,MARK,RINEHART,11,48.89,4.44,0
535,JAVIER,ELROD,11,48.89,4.44,1
52,JULIE,SANCHEZ,12,48.88,4.07,0
239,MINNIE,ROMERO,12,48.88,4.07,1
120,SYLVIA,ORTIZ,13,48.87,3.76,1
126,ELLEN,SIMPSON,13,48.87,3.76,0
297,SHERRI,RHODES,13,48.87,3.76,1
204,ROSEMARY,SCHMIDT,14,48.86,3.49,0
167,SALLY,PIERCE,15,48.85,3.26,0
249,DORA,MEDINA,8,47.92,5.99,1
315,KENNETH,GOODEN,8,47.92,5.99,1
542,LONNIE,TIRADO,8,47.92,5.99,1
47,FRANCES,PARKER,10,47.9,4.79,1
74,DENISE,KELLY,10,47.9,4.79,0
294,SHELLY,WATTS,10,47.9,4.79,0
69,JUDY,GRAY,11,47.89,4.35,1
195,VANESSA,SIMS,11,47.89,4.35,0
262,PATSY,DAVIDSON,11,47.89,4.35,0
43,CHRISTINE,ROBERTS,12,47.88,3.99,0
440,BERNARD,COLBY,12,47.88,3.99,1
133,PAULINE,HENRY,13,47.87,3.68,0
138,HAZEL,WARREN,15,47.85,3.19,1
269,CASSANDRA,WALTERS,9,46.91,5.21,1
516,ELMER,NOE,9,46.91,5.21,0
73,BEVERLY,BROOKS,10,46.9,4.69,1
293,MAE,FLETCHER,10,46.9,4.69,1
453,CALVIN,MARTEL,10,46.9,4.69,1
506,LESLIE,SEWARD,10,46.9,4.69,1
510,BEN,EASTER,10,46.9,4.69,1
29,ANGELA,HERNANDEZ,11,46.89,4.26,1
175,ANNETTE,OLSON,11,46.89,4.26,0
222,DELORES,HANSEN,11,46.89,4.26,1
367,ADAM,GOOCH,11,46.89,4.26,1
572,SIDNEY,BURLESON,11,46.89,4.26,0
27,SHIRLEY,ALLEN,12,46.88,3.91,0
277,OLGA,JIMENEZ,12,46.88,3.91,0
326,JOSE,ANDREW,12,46.88,3.91,0
371,BILLY,POULIN,12,46.88,3.91,1
26,JESSICA,HALL,13,46.87,3.61,0
208,LUCY,WHEELER,13,46.87,3.61,0
487,HECTOR,POINDEXTER,14,46.86,3.35,0
205,EILEEN,CARR,8,45.92,5.74,0
311,PAUL,TROUT,8,45.92,5.74,1
429,FREDERICK,ISBELL,9,45.91,5.1,0
455,JON,WILES,9,45.91,5.1,1
123,SHANNON,FREEMAN,10,45.9,4.59,1
274,NAOMI,JENNINGS,10,45.9,4.59,0
418,JEFF,EAST,10,45.9,4.59,1
10,DOROTHY,TAYLOR,11,45.89,4.17,0
267,MARGIE,WADE,11,45.89,4.17,0
276,BRANDY,GRAVES,11,45.89,4.17,1
454,ALEX,GRESHAM,11,45.89,4.17,1
578,WILLARD,LUMPKIN,11,45.89,4.17,0
322,JASON,MORRISSEY,12,45.88,3.82,0
342,HAROLD,MARTINO,12,45.88,3.82,1
349,JOE,GILLILAND,12,45.88,3.82,0
369,FRED,WHEAT,12,45.88,3.82,0
408,MANUEL,MURRELL,12,45.88,3.82,0
439,ALEXANDER,FENNELL,12,45.88,3.82,0
158,VERONICA,STONE,13,45.87,3.53,1
243,LYDIA,BURKE,13,45.87,3.53,0
452,TOM,MILNER,13,45.87,3.53,0
48,ANN,EVANS,8,44.92,5.62,0
104,RITA,GRAHAM,10,44.9,4.49,0
119,SHERRY,MARSHALL,10,44.9,4.49,1
258,MYRTLE,FLEMING,10,44.9,4.49,1
305,RICHARD,MCCRARY,10,44.9,4.49,1
365,BRUCE,SCHWARZ,10,44.9,4.49,0
437,RANDALL,NEUMANN,10,44.9,4.49,1
88,BONNIE,HUGHES,11,44.89,4.08,1
299,JAMES,GANNON,11,44.89,4.08,1
385,PHILLIP,HOLM,11,44.89,4.08,1
550,GUY,BROWNLEE,11,44.89,4.08,1
227,COLLEEN,BURTON,12,44.88,3.74,0
584,SALVADOR,TEEL,12,44.88,3.74,0
593,RENE,MCALISTER,12,44.88,3.74,0
132,ESTHER,CRAWFORD,14,44.86,3.2,0
570,IVAN,CROMWELL,14,44.86,3.2,0
480,COREY,HAUSER,8,43.92,5.49,1
17,DONNA,THOMPSON,9,43.91,4.88,1
95,PAULA,BRYANT,9,43.91,4.88,0
352,ALBERT,CROUSE,9,43.91,4.88,0
68,NICOLE,PETERSON,10,43.9,4.39,0
435,RICKY,SHELBY,10,43.9,4.39,1
448,MIGUEL,BETANCOURT,10,43.9,4.39,1
113,CINDY,FISHER,11,43.89,3.99,0
546,KELLY,KNOTT,11,43.89,3.99,1
499,MARC,OUTLAW,12,43.88,3.66,0
263,HILDA,HOPKINS,13,43.87,3.37,0
493,BRENT,HARKINS,8,42.92,5.37,0
238,NELLIE,GARRETT,9,42.91,4.77,1
279,DIANNE,SHELTON,9,42.91,4.77,1
545,JULIO,NOLAND,9,42.91,4.77,1
20,SHARON,ROBINSON,10,42.9,4.29,0
155,GAIL,KNIGHT,10,42.9,4.29,0
357,KEITH,RICO,12,42.88,3.57,1
310,DANIEL,CABRAL,8,41.92,5.24,1
460,LEON,BOSTIC,8,41.92,5.24,0
226,MAUREEN,LITTLE,9,41.91,4.66,1
509,RAUL,FORTIER,9,41.91,4.66,1
549,NELSON,CHRISTENSON,9,41.91,4.66,1
106,CONNIE,WALLACE,10,41.9,4.19,0
116,VICTORIA,GIBSON,10,41.9,4.19,0
142,APRIL,BURNS,10,41.9,4.19,0
161,GERALDINE,PERKINS,10,41.9,4.19,0
325,TIMOTHY,BUNN,10,41.9,4.19,1
503,ANGEL,BARCLAY,10,41.9,4.19,0
523,HARVEY,GUAJARDO,10,41.9,4.19,0
547,KURT,EMMONS,10,41.9,4.19,0
141,DEBBIE,REYES,11,41.89,3.81,0
251,VICKIE,BREWER,11,41.89,3.81,1
377,HOWARD,FORTNER,11,41.89,3.81,1
330,SCOTT,SHELLEY,12,41.88,3.49,0
559,EVERETT,BANDA,12,41.88,3.49,0
203,TARA,RYAN,7,40.93,5.85,1
212,WILMA,RICHARDS,7,40.93,5.85,1
15,HELEN,HARRIS,9,40.91,4.55,0
98,LILLIAN,GRIFFIN,9,40.91,4.55,0
434,EDDIE,TOMLIN,9,40.91,4.55,1
180,STACY,CUNNINGHAM,10,40.9,4.09,1
338,DENNIS,GILMAN,10,40.9,4.09,0
414,VINCENT,RALSTON,10,40.9,4.09,1
40,AMANDA,CARTER,11,40.89,3.72,1
163,CATHY,SPENCER,11,40.89,3.72,1
287,BECKY,MILES,11,40.89,3.72,0
415,GLENN,PULLEN,11,40.89,3.72,1
567,ALFREDO,MCADAMS,11,40.89,3.72,0
97,ANNIE,RUSSELL,12,40.88,3.41,0
537,CLINTON,BUFORD,12,40.88,3.41,0
36,KATHLEEN,ADAMS,13,40.87,3.14,0
191,JEANETTE,GREENE,9,39.91,4.43,0
359,WILLIE,MARKHAM,9,39.91,4.43,1
476,DERRICK,BOURQUE,9,39.91,4.43,0
540,TYRONE,ASHER,9,39.91,4.43,0
153,SUZANNE,NICHOLS,10,39.9,3.99,1
382,VICTOR,BARKLEY,10,39.9,3.99,1
320,ANTHONY,SCHWAB,11,39.89,3.63,0
420,JACOB,LANCE,11,39.89,3.63,0
25,DEBORAH,WALKER,12,39.88,3.32,1
182,RENEE,LANE,12,39.88,3.32,1
396,EARL,SHANKS,12,39.88,3.32,0
12,NANCY,THOMAS,13,39.87,3.07,0
419,CHAD,CARBONE,13,39.87,3.07,0
58,JEAN,BELL,9,38.91,4.32,1
242,GLENDA,FRAZIER,9,38.91,4.32,0
562,WALLACE,SLONE,9,38.91,4.32,1
159,JILL,HAWKINS,10,38.9,3.89,0
164,JOANN,GARDNER,10,38.9,3.89,0
374,JEREMY,HURTADO,10,38.9,3.89,0
394,CHRIS,BROTHERS,10,38.9,3.89,0
500,REGINALD,KINDER,11,38.89,3.54,0
451,JIM,REA,7,37.93,5.42,1
124,SHEILA,WELLS,8,37.92,4.74,1
218,VERA,MCCOY,8,37.92,4.74,1
45,JANET,PHILLIPS,9,37.91,4.21,1
56,GLORIA,COOK,9,37.91,4.21,0
65,ROSE,HOWARD,9,37.91,4.21,0
278,BILLIE,HORTON,9,37.91,4.21,1
564,BOB,PFEIFFER,9,37.91,4.21,1
189,LORETTA,CARPENTER,10,37.9,3.79,0
200,JEANNE,LAWSON,10,37.9,3.79,0
589,TRACY,HERRMANN,10,37.9,3.79,1
118,KIM,CRUZ,11,37.89,3.44,0
391,CLARENCE,GAMEZ,11,37.89,3.44,0
381,BOBBY,BOUDREAU,14,37.86,2.7,0
37,PAMELA,BAKER,6,36.94,6.16,1
272,KAY,CALDWELL,6,36.94,6.16,1
55,DORIS,REED,7,36.93,5.28,0
127,ELAINE,STEVENS,7,36.93,5.28,0
146,JAMIE,RICE,7,36.93,5.28,0
449,OSCAR,AQUINO,8,36.92,4.62,1
184,VIVIAN,RUIZ,9,36.91,4.1,0
303,WILLIAM,SATTERFIELD,9,36.91,4.1,0
501,RUBEN,GEARY,9,36.91,4.1,0
512,CECIL,VINES,9,36.91,4.1,0
575,ISAAC,OGLESBY,9,36.91,4.1,1
72,THERESA,WATSON,10,36.9,3.69,0
401,TONY,CARRANZA,10,36.9,3.69,1
416,JEFFERY,PINSON,10,36.9,3.69,0
231,GEORGIA,JACOBS,11,36.89,3.35,1
260,CHRISTY,VARGAS,12,36.88,3.07,0
417,TRAVIS,ESTEP,7,35.93,5.13,1
197,SUE,PETERS,8,35.92,4.49,1
214,KRISTIN,JOHNSTON,8,35.92,4.49,0
364,BENJAMIN,VARNEY,8,35.92,4.49,1
192,LAURIE,LAWRENCE,10,35.9,3.59,0
388,CRAIG,MORRELL,11,35.89,3.26,0
511,CHESTER,BENNER,11,35.89,3.26,0
8,SUSAN,WILSON,12,35.88,2.99,0
19,RUTH,MARTINEZ,6,34.94,5.82,1
156,BERTHA,FERGUSON,9,34.91,3.88,0
16,SANDRA,MARTIN,10,34.9,3.49,0
183,IDA,ANDREWS,11,34.89,3.17,0
280,TRACEY,BARRETT,11,34.89,3.17,0
565,JAIME,NETTLES,11,34.89,3.17,0
505,RAFAEL,ABNEY,6,33.94,5.66,1
247,STELLA,MORENO,7,33.93,4.85,0
398,ANTONIO,MEEK,7,33.93,4.85,0
430,RAY,HOULE,7,33.93,4.85,0
541,DARREN,WINDHAM,7,33.93,4.85,1
18,CAROL,GARCIA,9,33.91,3.77,0
34,REBECCA,SCOTT,9,33.91,3.77,0
143,LESLIE,GORDON,9,33.91,3.77,0
171,DOLORES,WAGNER,9,33.91,3.77,0
217,AGNES,BISHOP,9,33.91,3.77,0
253,TERRY,CARLSON,9,33.91,3.77,0
61,KATHERINE,RIVERA,6,32.94,5.49,0
216,NATALIE,MEYER,6,32.94,5.49,1
464,JEROME,KENYON,6,32.94,5.49,0
162,LAUREN,HUDSON,7,32.93,4.7,0
174,YVONNE,WATKINS,7,32.93,4.7,0
223,MELINDA,FERNANDEZ,7,32.93,4.7,0
46,CATHERINE,CAMPBELL,8,32.92,4.12,1
275,CAROLE,BARNETT,9,32.91,3.66,1
298,ERIKA,PENA,10,32.9,3.29,0
411,NORMAN,CURRIER,12,32.88,2.74,0
22,LAURA,RODRIGUEZ,7,31.93,4.56,0
53,HEATHER,MORRIS,7,31.93,4.56,0
215,JESSIE,BANKS,7,31.93,4.56,1
130,CHARLOTTE,HUNTER,8,31.92,3.99,0
188,MELANIE,ARMSTRONG,8,31.92,3.99,0
21,MICHELLE,CLARK,9,31.91,3.55,0
83,LOUISE,JENKINS,9,31.91,3.55,0
121,JOSEPHINE,GOMEZ,9,31.91,3.55,1
458,LLOYD,DOWD,9,31.91,3.55,0
521,ROLAND,SOUTH,9,31.91,3.55,0
474,DUSTIN,GILLETTE,10,31.9,3.19,0
147,JOANNE,ROBERTSON,13,31.87,2.45,0
379,CARLOS,COUGHLIN,6,30.94,5.16,0
270,LEAH,CURTIS,7,30.93,4.42,1
67,KELLY,TORRES,8,30.92,3.87,0
399,DANNY,ISOM,8,30.92,3.87,0
515,ANDRE,RAPP,8,30.92,3.87,0
271,PENNY,NEAL,9,30.91,3.43,0
340,PATRICK,NEWSOM,9,30.91,3.43,0
530,DARRYL,ASHCRAFT,9,30.91,3.43,0
463,DARRELL,POWER,10,30.9,3.09,0
544,CODY,NOLEN,6,29.94,4.99,1
548,ALLAN,CORNISH,6,29.94,4.99,0
555,DWIGHT,LOMBARDI,6,29.94,4.99,0
140,EVA,RAMOS,7,29.93,4.28,1
341,PETER,MENARD,7,29.93,4.28,1
561,IAN,STILL,7,29.93,4.28,1
599,AUSTIN,CINTRON,7,29.93,4.28,1
33,ANNA,HILL,8,29.92,3.74,0
54,TERESA,ROGERS,8,29.92,3.74,0
496,TYLER,WREN,8,29.92,3.74,0
111,CARMEN,OWENS,9,29.91,3.32,1
471,DEAN,SAUER,9,29.91,3.32,1
151,MEGAN,PALMER,10,29.9,2.99,0
361,LAWRENCE,LAWTON,10,29.9,2.99,0
445,MICHEAL,FORMAN,10,29.9,2.99,1
405,LEONARD,SCHOFIELD,11,29.89,2.72,0
344,HENRY,BILLINGSLEY,6,28.94,4.82,0
94,NORMA,GONZALES,7,28.93,4.13,1
261,DEANNA,BYRD,7,28.93,4.13,0
478,LEWIS,LYMAN,7,28.93,4.13,0
551,CLAYTON,BARBEE,8,28.92,3.62,1
9,MARGARET,MOORE,9,28.91,3.21,0
160,ERIN,DUNN,9,28.91,3.21,0
193,KATIE,ELLIOTT,6,27.94,4.66,0
246,MARIAN,MENDOZA,6,27.94,4.66,0
308,THOMAS,GRIGSBY,6,27.94,4.66,1
190,YOLANDA,WEAVER,7,27.93,3.99,0
457,BILL,GAVIN,7,27.93,3.99,0
60,MILDRED,BAILEY,8,27.92,3.49,0
281,LEONA,OBRIEN,8,27.92,3.49,0
370,WAYNE,TRUONG,8,27.92,3.49,0
444,MARCUS,HIDALGO,8,27.92,3.49,0
543,LANCE,PEMBERTON,8,27.92,3.49,0
224,PEARL,GARZA,9,27.91,3.1,0
70,CHRISTINA,RAMIREZ,7,26.93,3.85,0
412,ALLEN,BUTTERFIELD,7,26.93,3.85,1
450,JAY,ROBB,7,26.93,3.85,0
492,LESTER,KRAUS,7,26.93,3.85,1
597,FREDDIE,DUGGAN,7,26.93,3.85,0
85,ANNE,POWELL,8,26.92,3.37,0
