customer_id,first_name,last_name,transaction_count,total_payment_amount,average_payment_amount,share_payments_above_5
553,MAX,PITT,16,68.84,4.3,0.125
125,ETHEL,WEBB,16,65.84,4.12,0.1875
128,MARJORIE,TUCKER,16,65.84,4.12,0.25
598,WADE,DELVALLE,16,64.84,4.05,0.25
211,STACEY,MONTGOMERY,16,62.84,3.93,0.25
42,CAROLYN,PEREZ,16,61.84,3.87,0.1875
442,LEROY,BUSTAMANTE,16,60.84,3.8,0.125
563,KEN,PREWITT,16,60.84,3.8,0.3125
5,ELIZABETH,BROWN,16,59.84,3.74,0.125
424,KYLE,SPURLOCK,16,58.84,3.68,0.1875
346,ARTHUR,SIMPKINS,15,83.85,5.59,0.4
479,ZACHARY,HITE,15,79.85,5.32,0.5333
92,TINA,SIMMONS,15,78.85,5.26,0.4
484,ROBERTO,VU,15,77.85,5.19,0.4667
591,KENT,ARSENAULT,15,75.85,5.06,0.4
39,DEBRA,NELSON,15,73.85,4.92,0.4
502,BRETT,CORNWELL,15,73.85,4.92,0.2667
475,PEDRO,CHESTNUT,15,71.85,4.79,0.4
41,STEPHANIE,MITCHELL,15,70.85,4.72,0.3333
558,JIMMIE,EGGLESTON,15,70.85,4.72,0.3333
573,BYRON,BOX,15,70.85,4.72,0.3333
363,ROY,WHITING,15,69.85,4.66,0.1333
376,RANDY,GAITHER,15,69.85,4.66,0.3333
103,GLADYS,HAMILTON,15,68.85,4.59,0.3333
273,PRISCILLA,LOWE,15,67.85,4.52,0.4
302,MICHAEL,SILVERMAN,15,67.85,4.52,0.4
219,WILLIE,HOWELL,15,64.85,4.32,0.2667
237,TANYA,GILBERT,15,64.85,4.32,0.2
282,JENNY,CASTRO,15,64.85,4.32,0.2667
574,JULIAN,VEST,15,64.85,4.32,0.1333
576,MORRIS,MCCARTER,15,63.85,4.26,0.2
235,JACKIE,LYNCH,15,62.85,4.19,0.2667
114,GRACE,ELLIS,15,61.85,4.12,0.1333
122,THELMA,MURRAY,15,61.85,4.12,0.2667
362,NICHOLAS,BARFIELD,15,61.85,4.12,0.1333
592,TERRANCE,ROUSH,15,61.85,4.12,0.2
32,AMY,LOPEZ,15,58.85,3.92,0.2667
207,GERTRUDE,CASTILLO,15,58.85,3.92,0.4
230,JOY,GEORGE,15,58.85,3.92,0.0667
323,MATTHEW,MAHAN,15,58.85,3.92,0.2
409,RODNEY,MOELLER,15,58.85,3.92,0.2667
99,EMILY,DIAZ,15,56.85,3.79,0.1333
129,CARRIE,PORTER,15,55.85,3.72,0.2
145,LUCILLE,HOLMES,15,55.85,3.72,0.2667
335,GREGORY,MAULDIN,15,55.85,3.72,0.2
228,ALLISON,STANLEY,15,54.85,3.66,0.2
241,HEIDI,LARSON,15,53.85,3.59,0.2
198,ELSIE,KELLEY,15,52.85,3.52,0.1333
498,GENE,SANBORN,15,51.85,3.46,0.0667
115,WENDY,HARRISON,15,50.85,3.39,0.1333
57,EVELYN,MORGAN,15,49.85,3.32,0.0667
507,EDGAR,RHOADS,15,49.85,3.32,0.2
580,ROSS,GREY,15,49.85,3.32,0.1333
167,SALLY,PIERCE,15,48.85,3.26,0.0
138,HAZEL,WARREN,15,47.85,3.19,0.0667
2,PATRICIA,JOHNSON,14,75.86,5.42,0.5714
508,MILTON,HOWLAND,14,74.86,5.35,0.4286
172,BERNICE,WILLIS,14,70.86,5.06,0.5
532,NEIL,RENNER,14,69.86,4.99,0.2857
179,DANA,HART,14,68.86,4.92,0.3571
497,GILBERT,SLEDGE,14,67.86,4.85,0.2857
433,DON,BONE,14,65.86,4.7,0.3571
579,DARYL,LARUE,14,65.86,4.7,0.3571
594,EDUARDO,HIATT,14,65.86,4.7,0.3571
63,ASHLEY,RICHARDSON,14,64.86,4.63,0.2857
490,SAM,MCDUFFIE,14,64.86,4.63,0.2857
531,JAMIE,WAUGH,14,64.86,4.63,0.3571
196,ALMA,AUSTIN,14,63.86,4.56,0.2143
107,FLORENCE,WOODS,14,61.86,4.42,0.2857
520,MITCHELL,WESTMORELAND,14,60.86,4.35,0.2143
300,JOHN,FARNSWORTH,14,59.86,4.28,0.2857
404,STANLEY,SCROGGINS,14,59.86,4.28,0.1429
560,JORDAN,ARCHULETA,14,59.86,4.28,0.2143
380,RUSSELL,BRINSON,14,58.86,4.2,0.2143
468,TIM,CARY,14,58.86,4.2,0.3571
135,JUANITA,MASON,14,57.86,4.13,0.2857
173,AUDREY,RAY,14,57.86,4.13,0.1429
232,CONSTANCE,REID,14,57.86,4.13,0.2143
581,VIRGIL,WOFFORD,14,57.86,4.13,0.2143
390,SHAWN,HEATON,14,56.86,4.06,0.2143
590,SETH,HANNON,14,56.86,4.06,0.0714
154,MICHELE,GRANT,14,55.86,3.99,0.2143
244,VIOLA,HANSON,14,54.86,3.92,0.1429
410,CURTIS,IRBY,14,54.86,3.92,0.2143
438,BARRY,LOVELACE,14,54.86,3.92,0.0714
306,CHARLES,KOWALSKI,14,53.86,3.85,0.2143
78,LORI,WOOD,14,52.86,3.78,0.2143
588,MARION,OCAMPO,14,52.86,3.78,0.0714
28,CYNTHIA,YOUNG,14,51.86,3.7,0.1429
290,KRISTINA,CHAMBERS,14,51.86,3.7,0.1429
538,TED,BREAUX,14,51.86,3.7,0.1429
204,ROSEMARY,SCHMIDT,14,48.86,3.49,0.1429
487,HECTOR,POINDEXTER,14,46.86,3.35,0.0714
132,ESTHER,CRAWFORD,14,44.86,3.2,0.2143
570,IVAN,CROMWELL,14,44.86,3.2,0.0714
381,BOBBY,BOUDREAU,14,37.86,2.7,0.0
585,PERRY,SWAFFORD,13,70.87,5.45,0.3077
49,JOYCE,EDWARDS,13,69.87,5.37,0.3077
100,ROBIN,HAYES,13,69.87,5.37,0.4615
3,LINDA,WILLIAMS,13,68.87,5.3,0.3077
285,MIRIAM,MCKINNEY,13,68.87,5.3,0.3846
467,ALVIN,DELOACH,13,66.87,5.14,0.3846
307,JOSEPH,JOY,13,62.87,4.84,0.3077
13,KAREN,JACKSON,13,61.87,4.76,0.3077
23,SARAH,LEWIS,13,60.87,4.68,0.3846
66,JANICE,WARD,13,60.87,4.68,0.3846
206,TERRI,VASQUEZ,13,60.87,4.68,0.2308
393,PHILIP,CAUSEY,13,60.87,4.68,0.3846
513,DUANE,TUBBS,13,60.87,4.68,0.2308
423,ALFRED,CASILLAS,13,58.87,4.53,0.3077
533,JESSIE,MILAM,13,58.87,4.53,0.2308
473,JORGE,OLIVARES,13,57.87,4.45,0.2308
481,HERMAN,DEVORE,13,57.87,4.45,0.3077
166,LYNN,PAYNE,13,56.87,4.37,0.3077
233,LILLIE,KIM,13,55.87,4.3,0.3077
254,MAXINE,SILVA,13,55.87,4.3,0.2308
518,GABRIEL,HARDER,13,55.87,4.3,0.2308
386,TODD,TAN,13,54.87,4.22,0.2308
79,RACHEL,BARNES,13,53.87,4.14,0.2308
529,ERIK,GUILLEN,13,53.87,4.14,0.3846
202,CARLA,GUTIERREZ,13,52.87,4.07,0.1538
329,FRANK,WAGGONER,13,52.87,4.07,0.2308
339,WALTER,PERRYMAN,13,52.87,4.07,0.2308
108,TRACY,COLE,13,51.87,3.99,0.2308
333,ANDREW,PURDY,13,51.87,3.99,0.1538
519,RON,DELUCA,13,51.87,3.99,0.3846
351,JACK,FOUST,13,50.87,3.91,0.2308
356,GERALD,FULTZ,13,50.87,3.91,0.2308
397,JIMMY,SCHRADER,13,50.87,3.91,0.1538
229,TAMARA,NGUYEN,13,49.87,3.84,0.1538
120,SYLVIA,ORTIZ,13,48.87,3.76,0.3077
126,ELLEN,SIMPSON,13,48.87,3.76,0.3077
297,SHERRI,RHODES,13,48.87,3.76,0.3077
133,PAULINE,HENRY,13,47.87,3.68,0.2308
26,JESSICA,HALL,13,46.87,3.61,0.1538
208,LUCY,WHEELER,13,46.87,3.61,0.1538
158,VERONICA,STONE,13,45.87,3.53,0.1538
243,LYDIA,BURKE,13,45.87,3.53,0.1538
452,TOM,MILNER,13,45.87,3.53,0.2308
263,HILDA,HOPKINS,13,43.87,3.37,0.0
36,KATHLEEN,ADAMS,13,40.87,3.14,0.1538
12,NANCY,THOMAS,13,39.87,3.07,0.2308
419,CHAD,CARBONE,13,39.87,3.07,0.0769
147,JOANNE,ROBERTSON,13,31.87,2.45,0.0769
181,ANA,BRADLEY,12,72.88,6.07,0.5
482,MAURICE,CRAWLEY,12,69.88,5.82,0.5
583,MARSHALL,THORN,12,68.88,5.74,0.5833
84,SARA,PERRY,12,64.88,5.41,0.5
86,JACQUELINE,LONG,12,64.88,5.41,0.4167
331,ERIC,ROBERT,12,63.88,5.32,0.4167
337,JERRY,JORDON,12,62.88,5.24,0.4167
80,MARILYN,ROSS,12,61.88,5.16,0.5
403,MIKE,WAY,12,61.88,5.16,0.3333
284,SONIA,GREGORY,12,60.88,5.07,0.5
220,CHARLENE,ALVAREZ,12,59.88,4.99,0.3333
51,ALICE,STEWART,12,58.88,4.91,0.5
221,BESSIE,MORRISON,12,58.88,4.91,0.5
486,GLEN,TALBERT,12,58.88,4.91,0.1667
421,LEE,HAWKS,12,57.88,4.82,0.3333
170,BEATRICE,ARNOLD,12,56.88,4.74,0.25
432,EDWIN,BURK,12,56.88,4.74,0.25
176,JUNE,CARROLL,12,55.88,4.66,0.3333
316,STEVEN,CURLEY,12,55.88,4.66,0.25
539,MATHEW,BOLIN,12,55.88,4.66,0.4167
296,RAMONA,HALE,12,54.88,4.57,0.3333
101,PEGGY,MYERS,12,53.88,4.49,0.4167
268,NINA,SOTO,12,53.88,4.49,0.25
199,BETH,FRANKLIN,12,52.88,4.41,0.1667
291,TONI,HOLT,12,52.88,4.41,0.3333
304,DAVID,ROYAL,12,52.88,4.41,0.25
319,RONALD,WEINER,12,52.88,4.41,0.1667
336,JOSHUA,MARK,12,52.88,4.41,0.3333
402,LUIS,YANEZ,12,52.88,4.41,0.3333
436,TROY,QUIGLEY,12,52.88,4.41,0.3333
90,RUBY,WASHINGTON,12,51.88,4.32,0.3333
139,AMBER,DIXON,12,51.88,4.32,0.4167
213,GINA,WILLIAMSON,12,51.88,4.32,0.1667
240,MARLENE,WELCH,12,51.88,4.32,0.1667
264,GWENDOLYN,MAY,12,51.88,4.32,0.4167
368,HARRY,ARCE,12,51.88,4.32,0.3333
536,FERNANDO,CHURCHILL,12,51.88,4.32,0.1667
1,MARY,SMITH,12,50.88,4.24,0.25
14,BETTY,WHITE,12,50.88,4.24,0.25
185,ROBERTA,HARPER,12,50.88,4.24,0.25
317,EDWARD,BAUGH,12,50.88,4.24,0.25
324,GARY,COY,12,50.88,4.24,0.1667
517,BRAD,MCCURDY,12,50.88,4.24,0.1667
96,DIANA,ALEXANDER,12,49.88,4.16,0.0833
131,MONICA,HICKS,12,49.88,4.16,0.1667
165,LORRAINE,STEPHENS,12,49.88,4.16,0.25
289,VIOLET,RODRIQUEZ,12,49.88,4.16,0.1667
52,JULIE,SANCHEZ,12,48.88,4.07,0.1667
239,MINNIE,ROMERO,12,48.88,4.07,0.4167
43,CHRISTINE,ROBERTS,12,47.88,3.99,0.0
440,BERNARD,COLBY,12,47.88,3.99,0.1667
27,SHIRLEY,ALLEN,12,46.88,3.91,0.3333
277,OLGA,JIMENEZ,12,46.88,3.91,0.25
326,JOSE,ANDREW,12,46.88,3.91,0.25
371,BILLY,POULIN,12,46.88,3.91,0.1667
322,JASON,MORRISSEY,12,45.88,3.82,0.0833
342,HAROLD,MARTINO,12,45.88,3.82,0.25
349,JOE,GILLILAND,12,45.88,3.82,0.1667
369,FRED,WHEAT,12,45.88,3.82,0.1667
408,MANUEL,MURRELL,12,45.88,3.82,0.0833
439,ALEXANDER,FENNELL,12,45.88,3.82,0.25
227,COLLEEN,BURTON,12,44.88,3.74,0.1667
584,SALVADOR,TEEL,12,44.88,3.74,0.1667
593,RENE,MCALISTER,12,44.88,3.74,0.1667
499,MARC,OUTLAW,12,43.88,3.66,0.0833
357,KEITH,RICO,12,42.88,3.57,0.1667
330,SCOTT,SHELLEY,12,41.88,3.49,0.0833
559,EVERETT,BANDA,12,41.88,3.49,0.1667
97,ANNIE,RUSSELL,12,40.88,3.41,0.0833
537,CLINTON,BUFORD,12,40.88,3.41,0.0833
25,DEBORAH,WALKER,12,39.88,3.32,0.0833
182,RENEE,LANE,12,39.88,3.32,0.1667
396,EARL,SHANKS,12,39.88,3.32,0.1667
260,CHRISTY,VARGAS,12,36.88,3.07,0.1667
8,SUSAN,WILSON,12,35.88,2.99,0.0833
411,NORMAN,CURRIER,12,32.88,2.74,0.1667
426,BRADLEY,MOTLEY,11,65.89,5.99,0.3636
82,KATHRYN,COLEMAN,11,64.89,5.9,0.5455
187,BRITTANY,RILEY,11,63.89,5.81,0.4545
59,CHERYL,MURPHY,11,60.89,5.54,0.2727
491,RICK,MATTOX,11,60.89,5.54,0.4545
7,MARIA,MILLER,11,59.89,5.44,0.5455
504,NATHANIEL,ADAM,11,57.89,5.26,0.4545
87,WANDA,PATTERSON,11,56.89,5.17,0.3636
495,CHARLIE,BESS,11,56.89,5.17,0.4545
528,CLAUDE,HERZOG,11,56.89,5.17,0.3636
149,VALERIE,BLACK,11,54.89,4.99,0.3636
11,LISA,ANDERSON,11,53.89,4.9,0.3636
334,RAYMOND,MCWHORTER,11,53.89,4.9,0.3636
355,TERRY,GRISSOM,11,52.89,4.81,0.4545
577,CLIFTON,MALCOLM,11,52.89,4.81,0.4545
112,ROSA,REYNOLDS,11,50.89,4.63,0.1818
389,ALAN,KAHN,11,50.89,4.63,0.2727
447,CLIFFORD,BOWENS,11,50.89,4.63,0.3636
488,SHANE,MILLARD,11,50.89,4.63,0.5455
407,DALE,RATCLIFF,11,49.89,4.54,0.2727
428,HERBERT,KRUGER,11,49.89,4.54,0.3636
525,ADRIAN,CLARY,11,49.89,4.54,0.3636
31,BRENDA,WRIGHT,11,48.89,4.44,0.1818
312,MARK,RINEHART,11,48.89,4.44,0.2727
535,JAVIER,ELROD,11,48.89,4.44,0.2727
69,JUDY,GRAY,11,47.89,4.35,0.3636
195,VANESSA,SIMS,11,47.89,4.35,0.2727
262,PATSY,DAVIDSON,11,47.89,4.35,0.3636
29,ANGELA,HERNANDEZ,11,46.89,4.26,0.2727
175,ANNETTE,OLSON,11,46.89,4.26,0.1818
222,DELORES,HANSEN,11,46.89,4.26,0.3636
367,ADAM,GOOCH,11,46.89,4.26,0.1818
572,SIDNEY,BURLESON,11,46.89,4.26,0.2727
10,DOROTHY,TAYLOR,11,45.89,4.17,0.1818
267,MARGIE,WADE,11,45.89,4.17,0.1818
276,BRANDY,GRAVES,11,45.89,4.17,0.2727
454,ALEX,GRESHAM,11,45.89,4.17,0.1818
578,WILLARD,LUMPKIN,11,45.89,4.17,0.1818
88,BONNIE,HUGHES,11,44.89,4.08,0.3636
299,JAMES,GANNON,11,44.89,4.08,0.2727
385,PHILLIP,HOLM,11,44.89,4.08,0.1818
550,GUY,BROWNLEE,11,44.89,4.08,0.1818
113,CINDY,FISHER,11,43.89,3.99,0.3636
546,KELLY,KNOTT,11,43.89,3.99,0.1818
141,DEBBIE,REYES,11,41.89,3.81,0.1818
251,VICKIE,BREWER,11,41.89,3.81,0.1818
377,HOWARD,FORTNER,11,41.89,3.81,0.1818
40,AMANDA,CARTER,11,40.89,3.72,0.2727
163,CATHY,SPENCER,11,40.89,3.72,0.0909
287,BECKY,MILES,11,40.89,3.72,0.1818
415,GLENN,PULLEN,11,40.89,3.72,0.1818
567,ALFREDO,MCADAMS,11,40.89,3.72,0.2727
320,ANTHONY,SCHWAB,11,39.89,3.63,0.0
420,JACOB,LANCE,11,39.89,3.63,0.0
500,REGINALD,KINDER,11,38.89,3.54,0.0909
118,KIM,CRUZ,11,37.89,3.44,0.0909
391,CLARENCE,GAMEZ,11,37.89,3.44,0.2727
231,GEORGIA,JACOBS,11,36.89,3.35,0.2727
388,CRAIG,MORRELL,11,35.89,3.26,0.1818
511,CHESTER,BENNER,11,35.89,3.26,0.0909
183,IDA,ANDREWS,11,34.89,3.17,0.0909
280,TRACEY,BARRETT,11,34.89,3.17,0.1818
565,JAIME,NETTLES,11,34.89,3.17,0.1818
405,LEONARD,SCHOFIELD,11,29.89,2.72,0.1818
461,DEREK,BLAKELY,11,26.89,2.44,0.0
477,DAN,PAINE,10,58.9,5.89,0.6
443,FRANCISCO,SKIDMORE,10,54.9,5.49,0.5
44,MARIE,TURNER,10,53.9,5.39,0.4
259,LENA,JENSEN,10,53.9,5.39,0.5
582,ANDY,VANHORN,10,53.9,5.39,0.6
400,BRYAN,HARDISON,10,51.9,5.19,0.6
321,KEVIN,SCHULER,10,50.9,5.09,0.5
169,ERICA,MATTHEWS,10,49.9,4.99,0.3
345,CARL,ARTIS,10,49.9,4.99,0.3
427,JESUS,MCCARTNEY,10,49.9,4.99,0.5
105,DAWN,SULLIVAN,10,48.9,4.89,0.2
301,ROBERT,BAUGHMAN,10,48.9,4.89,0.2
587,SERGIO,STANFIELD,10,48.9,4.89,0.5
47,FRANCES,PARKER,10,47.9,4.79,0.3
74,DENISE,KELLY,10,47.9,4.79,0.3
294,SHELLY,WATTS,10,47.9,4.79,0.3
73,BEVERLY,BROOKS,10,46.9,4.69,0.1
293,MAE,FLETCHER,10,46.9,4.69,0.2
453,CALVIN,MARTEL,10,46.9,4.69,0.4
506,LESLIE,SEWARD,10,46.9,4.69,0.4
510,BEN,EASTER,10,46.9,4.69,0.2
123,SHANNON,FREEMAN,10,45.9,4.59,0.2
274,NAOMI,JENNINGS,10,45.9,4.59,0.3
418,JEFF,EAST,10,45.9,4.59,0.3
104,RITA,GRAHAM,10,44.9,4.49,0.3
119,SHERRY,MARSHALL,10,44.9,4.49,0.4
258,MYRTLE,FLEMING,10,44.9,4.49,0.3
305,RICHARD,MCCRARY,10,44.9,4.49,0.2
365,BRUCE,SCHWARZ,10,44.9,4.49,0.1
437,RANDALL,NEUMANN,10,44.9,4.49,0.2
68,NICOLE,PETERSON,10,43.9,4.39,0.2
435,RICKY,SHELBY,10,43.9,4.39,0.2
448,MIGUEL,BETANCOURT,10,43.9,4.39,0.3
20,SHARON,ROBINSON,10,42.9,4.29,0.2
155,GAIL,KNIGHT,10,42.9,4.29,0.3
106,CONNIE,WALLACE,10,41.9,4.19,0.1
116,VICTORIA,GIBSON,10,41.9,4.19,0.3
142,APRIL,BURNS,10,41.9,4.19,0.2
161,GERALDINE,PERKINS,10,41.9,4.19,0.2
325,TIMOTHY,BUNN,10,41.9,4.19,0.2
503,ANGEL,BARCLAY,10,41.9,4.19,0.2
523,HARVEY,GUAJARDO,10,41.9,4.19,0.3
547,KURT,EMMONS,10,41.9,4.19,0.0
180,STACY,CUNNINGHAM,10,40.9,4.09,0.3
338,DENNIS,GILMAN,10,40.9,4.09,0.2
414,VINCENT,RALSTON,10,40.9,4.09,0.3
153,SUZANNE,NICHOLS,10,39.9,3.99,0.4
382,VICTOR,BARKLEY,10,39.9,3.99,0.2
159,JILL,HAWKINS,10,38.9,3.89,0.2
164,JOANN,GARDNER,10,38.9,3.89,0.1
374,JEREMY,HURTADO,10,38.9,3.89,0.3
394,CHRIS,BROTHERS,10,38.9,3.89,0.2
189,LORETTA,CARPENTER,10,37.9,3.79,0.2
200,JEANNE,LAWSON,10,37.9,3.79,0.1
589,TRACY,HERRMANN,10,37.9,3.79,0.1
72,THERESA,WATSON,10,36.9,3.69,0.1
401,TONY,CARRANZA,10,36.9,3.69,0.2
416,JEFFERY,PINSON,10,36.9,3.69,0.2
192,LAURIE,LAWRENCE,10,35.9,3.59,0.2
16,SANDRA,MARTIN,10,34.9,3.49,0.2
298,ERIKA,PENA,10,32.9,3.29,0.2
474,DUSTIN,GILLETTE,10,31.9,3.19,0.1
463,DARRELL,POWER,10,30.9,3.09,0.2
151,MEGAN,PALMER,10,29.9,2.99,0.0
361,LAWRENCE,LAWTON,10,29.9,2.99,0.0
445,MICHEAL,FORMAN,10,29.9,2.99,0.1
557,FELIX,GAFFNEY,10,26.9,2.69,0.1
252,MATTIE,HOFFMAN,10,20.9,2.09,0.1
343,DOUGLAS,GRAF,9,54.91,6.1,0.6667
472,GREG,ROBINS,9,48.91,5.43,0.6667
483,VERNON,CHAPA,9,48.91,5.43,0.2222
552,HUGH,WALDROP,9,48.91,5.43,0.4444
571,JOHNNIE,CHISHOLM,9,48.91,5.43,0.3333
269,CASSANDRA,WALTERS,9,46.91,5.21,0.4444
516,ELMER,NOE,9,46.91,5.21,0.3333
429,FREDERICK,ISBELL,9,45.91,5.1,0.4444
455,JON,WILES,9,45.91,5.1,0.3333
17,DONNA,THOMPSON,9,43.91,4.88,0.3333
95,PAULA,BRYANT,9,43.91,4.88,0.4444
352,ALBERT,CROUSE,9,43.91,4.88,0.4444
238,NELLIE,GARRETT,9,42.91,4.77,0.4444
279,DIANNE,SHELTON,9,42.91,4.77,0.3333
545,JULIO,NOLAND,9,42.91,4.77,0.4444
226,MAUREEN,LITTLE,9,41.91,4.66,0.2222
509,RAUL,FORTIER,9,41.91,4.66,0.4444
549,NELSON,CHRISTENSON,9,41.91,4.66,0.3333
15,HELEN,HARRIS,9,40.91,4.55,0.3333
98,LILLIAN,GRIFFIN,9,40.91,4.55,0.3333
434,EDDIE,TOMLIN,9,40.91,4.55,0.3333
191,JEANETTE,GREENE,9,39.91,4.43,0.3333
359,WILLIE,MARKHAM,9,39.91,4.43,0.3333
476,DERRICK,BOURQUE,9,39.91,4.43,0.3333
540,TYRONE,ASHER,9,39.91,4.43,0.2222
58,JEAN,BELL,9,38.91,4.32,0.1111
242,GLENDA,FRAZIER,9,38.91,4.32,0.2222
562,WALLACE,SLONE,9,38.91,4.32,0.3333
45,JANET,PHILLIPS,9,37.91,4.21,0.3333
56,GLORIA,COOK,9,37.91,4.21,0.2222
65,ROSE,HOWARD,9,37.91,4.21,0.2222
278,BILLIE,HORTON,9,37.91,4.21,0.2222
564,BOB,PFEIFFER,9,37.91,4.21,0.2222
184,VIVIAN,RUIZ,9,36.91,4.1,0.3333
303,WILLIAM,SATTERFIELD,9,36.91,4.1,0.1111
501,RUBEN,GEARY,9,36.91,4.1,0.3333
512,CECIL,VINES,9,36.91,4.1,0.3333
575,ISAAC,OGLESBY,9,36.91,4.1,0.2222
156,BERTHA,FERGUSON,9,34.91,3.88,0.2222
18,CAROL,GARCIA,9,33.91,3.77,0.0
34,REBECCA,SCOTT,9,33.91,3.77,0.1111
143,LESLIE,GORDON,9,33.91,3.77,0.3333
171,DOLORES,WAGNER,9,33.91,3.77,0.2222
217,AGNES,BISHOP,9,33.91,3.77,0.1111
253,TERRY,CARLSON,9,33.91,3.77,0.2222
275,CAROLE,BARNETT,9,32.91,3.66,0.2222
21,MICHELLE,CLARK,9,31.91,3.55,0.2222
83,LOUISE,JENKINS,9,31.91,3.55,0.2222
121,JOSEPHINE,GOMEZ,9,31.91,3.55,0.2222
458,LLOYD,DOWD,9,31.91,3.55,0.2222
521,ROLAND,SOUTH,9,31.91,3.55,0.2222
271,PENNY,NEAL,9,30.91,3.43,0.1111
340,PATRICK,NEWSOM,9,30.91,3.43,0.0
530,DARRYL,ASHCRAFT,9,30.91,3.43,0.0
111,CARMEN,OWENS,9,29.91,3.32,0.1111
471,DEAN,SAUER,9,29.91,3.32,0.2222
9,MARGARET,MOORE,9,28.91,3.21,0.1111
160,ERIN,DUNN,9,28.91,3.21,0.2222
224,PEARL,GARZA,9,27.91,3.1,0.0
6,JENNIFER,DAVIS,9,26.91,2.99,0.2222
24,KIMBERLY,LEE,9,26.91,2.99,0.1111
383,MARTIN,BALES,9,26.91,2.99,0.1111
527,CORY,MEEHAN,9,26.91,2.99,0.1111
76,IRENE,PRICE,9,25.91,2.88,0.1111
288,BOBBIE,CRAIG,9,22.91,2.55,0.0
524,JARED,ELY,8,48.92,6.12,0.5
249,DORA,MEDINA,8,47.92,5.99,0.375
315,KENNETH,GOODEN,8,47.92,5.99,0.5
542,LONNIE,TIRADO,8,47.92,5.99,0.625
205,EILEEN,CARR,8,45.92,5.74,0.375
311,PAUL,TROUT,8,45.92,5.74,0.5
48,ANN,EVANS,8,44.92,5.62,0.5
480,COREY,HAUSER,8,43.92,5.49,0.375
493,BRENT,HARKINS,8,42.92,5.37,0.375
310,DANIEL,CABRAL,8,41.92,5.24,0.625
460,LEON,BOSTIC,8,41.92,5.24,0.375
124,SHEILA,WELLS,8,37.92,4.74,0.375
218,VERA,MCCOY,8,37.92,4.74,0.5
449,OSCAR,AQUINO,8,36.92,4.62,0.375
197,SUE,PETERS,8,35.92,4.49,0.25
214,KRISTIN,JOHNSTON,8,35.92,4.49,0.25
364,BENJAMIN,VARNEY,8,35.92,4.49,0.125
46,CATHERINE,CAMPBELL,8,32.92,4.12,0.125
130,CHARLOTTE,HUNTER,8,31.92,3.99,0.125
