average_payment,customer_id,customer_name,is_potentially_suspicious,max_payment,payment_count,staff_id,staff_name,total_amount
0.99,317,EDWARD BAUGH,0,0.99,1,1,Mike Hillyer,0.99
0.99,321,KEVIN SCHULER,0,0.99,1,1,Mike Hillyer,0.99
0.99,324,GARY COY,0,0.99,1,1,Mike Hillyer,0.99
0.99,348,ROGER QUINTANILLA,0,0.99,1,2,Jon Stephens,0.99
0.99,355,TERRY GRISSOM,0,0.99,1,2,Jon Stephens,0.99
0.99,358,SAMUEL MARLOW,0,0.99,1,2,Jon Stephens,0.99
0.99,36,KATHLEEN ADAMS,0,0.99,1,2,Jon Stephens,0.99
0.99,365,BRUCE SCHWARZ,0,0.99,1,2,Jon Stephens,0.99
0.99,367,ADAM GOOCH,0,0.99,1,1,Mike Hillyer,0.99
0.99,369,FRED WHEAT,0,0.99,1,1,Mike Hillyer,0.99
0.99,376,RANDY GAITHER,0,0.99,1,1,Mike Hillyer,0.99
0.99,376,RANDY GAITHER,0,0.99,1,2,Jon Stephens,0.99
0.99,387,JESSE SCHILLING,0,0.99,2,1,Mike Hillyer,1.98
0.99,395,JOHNNY TURPIN,0,0.99,1,2,Jon Stephens,0.99
0.99,407,DALE RATCLIFF,0,0.99,1,2,Jon Stephens,0.99
0.99,411,NORMAN CURRIER,0,0.99,1,1,Mike Hillyer,0.99
0.99,420,JACOB LANCE,0,0.99,2,1,Mike Hillyer,1.98
0.99,435,RICKY SHELBY,0,0.99,1,1,Mike Hillyer,0.99
0.99,435,RICKY SHELBY,0,0.99,1,2,Jon Stephens,0.99
0.99,449,OSCAR AQUINO,0,0.99,1,1,Mike Hillyer,0.99
0.99,451,JIM REA,0,0.99,1,2,Jon Stephens,0.99
0.99,459,TOMMY COLLAZO,0,0.99,1,1,Mike Hillyer,0.99
0.99,460,LEON BOSTIC,0,0.99,1,2,Jon Stephens,0.99
0.99,465,FLOYD GANDY,0,0.99,1,2,Jon Stephens,0.99
0.99,469,WESLEY BULL,0,0.99,1,2,Jon Stephens,0.99
0.99,470,GORDON ALLARD,0,0.99,1,1,Mike Hillyer,0.99
0.99,480,COREY HAUSER,0,0.99,2,1,Mike Hillyer,1.98
0.99,483,VERNON CHAPA,0,0.99,1,2,Jon Stephens,0.99
0.99,49,JOYCE EDWARDS,0,0.99,1,1,Mike Hillyer,0.99
0.99,498,GENE SANBORN,0,0.99,1,2,Jon Stephens,0.99
0.99,502,BRETT CORNWELL,0,0.99,1,1,Mike Hillyer,0.99
0.99,51,ALICE STEWART,0,0.99,1,1,Mike Hillyer,0.99
0.99,521,ROLAND SOUTH,0,0.99,1,1,Mike Hillyer,0.99
0.99,521,ROLAND SOUTH,0,0.99,1,2,Jon Stephens,0.99
0.99,527,CORY MEEHAN,0,0.99,1,2,Jon Stephens,0.99
0.99,529,ERIK GUILLEN,0,0.99,2,2,Jon Stephens,1.98
0.99,539,MATHEW BOLIN,0,0.99,1,1,Mike Hillyer,0.99
0.99,546,KELLY KNOTT,0,0.99,1,2,Jon Stephens,0.99
0.99,548,ALLAN CORNISH,0,0.99,1,2,Jon Stephens,0.99
0.99,572,SIDNEY BURLESON,0,0.99,2,1,Mike Hillyer,1.98
0.99,58,JEAN BELL,0,0.99,1,2,Jon Stephens,0.99
0.99,580,ROSS GREY,0,0.99,1,1,Mike Hillyer,0.99
0.99,582,ANDY VANHORN,0,0.99,1,2,Jon Stephens,0.99
0.99,586,KIRK STCLAIR,0,0.99,1,2,Jon Stephens,0.99
0.99,591,KENT ARSENAULT,0,0.99,1,1,Mike Hillyer,0.99
0.99,63,ASHLEY RICHARDSON,0,0.99,1,2,Jon Stephens,0.99
0.99,67,KELLY TORRES,0,0.99,1,2,Jon Stephens,0.99
0.99,7,MARIA MILLER,0,0.99,1,2,Jon Stephens,0.99
0.99,73,BEVERLY BROOKS,0,0.99,1,1,Mike Hillyer,0.99
0.99,82,KATHRYN COLEMAN,0,0.99,2,2,Jon Stephens,1.98
0.99,93,PHYLLIS FOSTER,0,0.99,1,1,Mike Hillyer,0.99
0.99,97,ANNIE RUSSELL,0,0.99,1,1,Mike Hillyer,0.99
1.24,76,IRENE PRICE,0,1.99,4,2,Jon Stephens,4.96
1.49,172,BERNICE WILLIS,0,1.99,2,2,Jon Stephens,2.98
1.49,227,COLLEEN BURTON,0,1.99,2,2,Jon Stephens,2.98
1.49,273,PRISCILLA LOWE,0,1.99,2,1,Mike Hillyer,2.98
1.49,366,BRANDON HUEY,0,1.99,2,2,Jon Stephens,2.98
1.49,455,JON WILES,0,1.99,2,2,Jon Stephens,2.98
1.49,559,EVERETT BANDA,0,1.99,2,1,Mike Hillyer,2.98
1.656666666666667,218,VERA MCCOY,0,2.99,3,1,Mike Hillyer,4.970000000000001
1.656666666666667,385,PHILLIP HOLM,0,2.99,3,1,Mike Hillyer,4.970000000000001
1.656666666666667,391,CLARENCE GAMEZ,0,2.99,3,2,Jon Stephens,4.970000000000001
1.656666666666667,4,BARBARA JONES,0,2.99,3,2,Jon Stephens,4.970000000000001
1.7900000000000003,84,SARA PERRY,0,4.99,5,2,Jon Stephens,8.950000000000001
1.99,148,ELEANOR HUNT,0,1.99,1,1,Mike Hillyer,1.99
1.99,150,DANIELLE DANIELS,0,1.99,1,2,Jon Stephens,1.99
1.99,189,LORETTA CARPENTER,0,1.99,1,2,Jon Stephens,1.99
1.99,246,MARIAN MENDOZA,0,1.99,2,2,Jon Stephens,3.98
1.99,357,KEITH RICO,0,1.99,1,1,Mike Hillyer,1.99
1.99,374,JEREMY HURTADO,0,1.99,1,1,Mike Hillyer,1.99
1.99,377,HOWARD FORTNER,0,1.99,1,1,Mike Hillyer,1.99
1.99,38,MARTHA GONZALEZ,0,1.99,1,1,Mike Hillyer,1.99
1.99,380,RUSSELL BRINSON,0,1.99,2,2,Jon Stephens,3.98
1.99,397,JIMMY SCHRADER,0,1.99,1,2,Jon Stephens,1.99
1.99,51,ALICE STEWART,0,1.99,1,2,Jon Stephens,1.99
1.99,524,JARED ELY,0,1.99,1,1,Mike Hillyer,1.99
1.99,529,ERIK GUILLEN,0,1.99,1,1,Mike Hillyer,1.99
1.99,530,DARRYL ASHCRAFT,0,1.99,1,2,Jon Stephens,1.99
1.99,555,DWIGHT LOMBARDI,0,1.99,1,2,Jon Stephens,1.99
1.99,560,JORDAN ARCHULETA,0,1.99,1,2,Jon Stephens,1.99
1.99,596,ENRIQUE FORSYTHE,0,1.99,2,1,Mike Hillyer,3.98
1.99,74,DENISE KELLY,0,1.99,2,1,Mike Hillyer,3.98
1.9900000000000002,115,WENDY HARRISON,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,123,SHANNON FREEMAN,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,135,JUANITA MASON,0,2.99,3,2,Jon Stephens,5.970000000000001
1.9900000000000002,139,AMBER DIXON,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,182,RENEE LANE,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,210,ELLA OLIVER,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,212,WILMA RICHARDS,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,237,TANYA GILBERT,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,283,FELICIA SUTTON,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,323,MATTHEW MAHAN,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,350,JUAN FRALEY,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,351,JACK FOUST,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,411,NORMAN CURRIER,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,416,JEFFERY PINSON,0,2.99,4,2,Jon Stephens,7.960000000000001
1.9900000000000002,42,CAROLYN PEREZ,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,428,HERBERT KRUGER,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,50,DIANE COLLINS,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,514,FRANKLIN TROUTMAN,0,3.99,3,1,Mike Hillyer,5.970000000000001
1.9900000000000002,53,HEATHER MORRIS,0,2.99,2,2,Jon Stephens,3.9800000000000004
1.9900000000000002,530,DARRYL ASHCRAFT,0,2.99,2,1,Mike Hillyer,3.9800000000000004
1.9900000000000002,544,CODY NOLEN,0,2.99,3,1,Mike Hillyer,5.970000000000001
1.9900000000000002,585,PERRY SWAFFORD,0,3.99,3,1,Mike Hillyer,5.970000000000001
1.9900000000000002,6,JENNIFER DAVIS,0,3.99,3,1,Mike Hillyer,5.970000000000001
1.9900000000000002,96,DIANA ALEXANDER,0,3.99,3,1,Mike Hillyer,5.970000000000001
10.99,33,ANNA HILL,0,10.99,1,1,Mike Hillyer,10.99
10.99,542,LONNIE TIRADO,0,10.99,1,2,Jon Stephens,10.99
10.99,544,CODY NOLEN,0,10.99,1,2,Jon Stephens,10.99
10.99,572,SIDNEY BURLESON,0,10.99,1,2,Jon Stephens,10.99
2.24,95,PAULA BRYANT,0,2.99,4,2,Jon Stephens,8.96
2.3233333333333337,122,THELMA MURRAY,0,4.99,3,1,Mike Hillyer,6.970000000000001
2.3233333333333337,129,CARRIE PORTER,0,4.99,3,2,Jon Stephens,6.970000000000001
2.3233333333333337,162,LAUREN HUDSON,0,4.99,3,1,Mike Hillyer,6.970000000000001
2.3233333333333337,177,SAMANTHA DUNCAN,0,2.99,3,1,Mike Hillyer,6.970000000000001
2.3233333333333337,345,CARL ARTIS,0,4.99,3,2,Jon Stephens,6.970000000000001
2.3233333333333337,386,TODD TAN,0,2.99,3,1,Mike Hillyer,6.970000000000001
2.3233333333333337,527,CORY MEEHAN,0,2.99,3,1,Mike Hillyer,6.970000000000001
2.3233333333333337,53,HEATHER MORRIS,0,2.99,3,1,Mike Hillyer,6.970000000000001
2.3233333333333337,56,GLORIA COOK,0,4.99,3,1,Mike Hillyer,6.970000000000001
2.39,533,JESSIE MILAM,0,5.99,5,1,Mike Hillyer,11.950000000000001
2.49,121,JOSEPHINE GOMEZ,0,2.99,2,1,Mike Hillyer,4.98
2.49,142,APRIL BURNS,0,2.99,2,1,Mike Hillyer,4.98
2.49,151,MEGAN PALMER,0,2.99,4,2,Jon Stephens,9.96
2.49,176,JUNE CARROLL,0,2.99,2,2,Jon Stephens,4.98
2.49,219,WILLIE HOWELL,0,3.99,2,2,Jon Stephens,4.98
2.49,254,MAXINE SILVA,0,3.99,2,2,Jon Stephens,4.98
2.49,268,NINA SOTO,0,3.99,4,1,Mike Hillyer,9.96
2.49,275,CAROLE BARNETT,0,3.99,2,2,Jon Stephens,4.98
2.49,312,MARK RINEHART,0,3.99,2,2,Jon Stephens,4.98
2.49,329,FRANK WAGGONER,0,4.99,4,2,Jon Stephens,9.96
2.49,344,HENRY BILLINGSLEY,0,3.99,2,1,Mike Hillyer,4.98
2.49,350,JUAN FRALEY,0,3.99,2,2,Jon Stephens,4.98
2.49,427,JESUS MCCARTNEY,0,3.99,2,2,Jon Stephens,4.98
2.49,455,JON WILES,0,2.99,2,1,Mike Hillyer,4.98
2.49,476,DERRICK BOURQUE,0,3.99,2,1,Mike Hillyer,4.98
2.49,548,ALLAN CORNISH,0,2.99,2,1,Mike Hillyer,4.98
2.49,557,FELIX GAFFNEY,0,3.99,2,1,Mike Hillyer,4.98
2.49,574,JULIAN VEST,0,6.99,4,1,Mike Hillyer,9.96
2.49,7,MARIA MILLER,0,4.99,4,1,Mike Hillyer,9.96
2.49,85,ANNE POWELL,0,3.99,2,2,Jon Stephens,4.98
2.5900000000000003,31,BRENDA WRIGHT,0,7.99,5,1,Mike Hillyer,12.950000000000001
2.5900000000000003,35,VIRGINIA GREEN,0,4.99,5,1,Mike Hillyer,12.950000000000001
2.5900000000000003,456,RONNIE RICKETTS,0,4.99,5,1,Mike Hillyer,12.950000000000001
2.5900000000000003,62,JOAN COOPER,0,5.99,5,1,Mike Hillyer,12.950000000000001
2.6566666666666667,104,RITA GRAHAM,0,3.99,3,2,Jon Stephens,7.970000000000001
2.6566666666666667,216,NATALIE MEYER,0,3.99,3,1,Mike Hillyer,7.970000000000001
2.6566666666666667,28,CYNTHIA YOUNG,0,3.99,3,2,Jon Stephens,7.970000000000001
2.6566666666666667,393,PHILIP CAUSEY,0,2.99,3,2,Jon Stephens,7.970000000000001
2.6566666666666667,597,FREDDIE DUGGAN,0,4.99,3,1,Mike Hillyer,7.970000000000001
2.74,371,BILLY POULIN,0,5.99,4,2,Jon Stephens,10.96
2.74,382,VICTOR BARKLEY,0,4.99,4,1,Mike Hillyer,10.96
2.9899999999999998,295,DAISY BATES,0,5.99,7,1,Mike Hillyer,20.93
2.99,10,DOROTHY TAYLOR,0,4.99,4,1,Mike Hillyer,11.96
2.99,112,ROSA REYNOLDS,0,2.99,2,2,Jon Stephens,5.98
2.99,113,CINDY FISHER,0,4.99,2,2,Jon Stephens,5.98
2.99,114,GRACE ELLIS,0,2.99,2,1,Mike Hillyer,5.98
2.99,116,VICTORIA GIBSON,0,4.99,4,2,Jon Stephens,11.96
2.99,117,EDITH MCDONALD,0,2.99,1,1,Mike Hillyer,2.99
2.99,117,EDITH MCDONALD,0,2.99,1,2,Jon Stephens,2.99
2.99,118,KIM CRUZ,0,4.99,2,2,Jon Stephens,5.98
2.99,120,SYLVIA ORTIZ,0,2.99,1,2,Jon Stephens,2.99
2.99,126,ELLEN SIMPSON,0,2.99,1,1,Mike Hillyer,2.99
2.99,130,CHARLOTTE HUNTER,0,2.99,3,2,Jon Stephens,8.97
2.99,132,ESTHER CRAWFORD,0,4.99,4,1,Mike Hillyer,11.96
2.99,136,ANITA MORALES,0,2.99,1,2,Jon Stephens,2.99
2.99,143,LESLIE GORDON,0,3.99,2,2,Jon Stephens,5.98
2.99,145,LUCILLE HOLMES,0,4.99,2,2,Jon Stephens,5.98
2.99,154,MICHELE GRANT,0,4.99,3,1,Mike Hillyer,8.97
2.99,156,BERTHA FERGUSON,0,4.99,2,1,Mike Hillyer,5.98
2.99,160,ERIN DUNN,0,2.99,1,1,Mike Hillyer,2.99
2.99,162,LAUREN HUDSON,0,4.99,2,2,Jon Stephens,5.98
2.99,165,LORRAINE STEPHENS,0,2.99,1,2,Jon Stephens,2.99
2.99,166,LYNN PAYNE,0,2.99,1,2,Jon Stephens,2.99
2.99,173,AUDREY RAY,0,4.99,3,2,Jon Stephens,8.97
2.99,175,ANNETTE OLSON,0,4.99,2,2,Jon Stephens,5.98
2.99,180,STACY CUNNINGHAM,0,2.99,1,1,Mike Hillyer,2.99
2.99,180,STACY CUNNINGHAM,0,2.99,1,2,Jon Stephens,2.99
2.99,184,VIVIAN RUIZ,0,2.99,1,2,Jon Stephens,2.99
2.99,187,BRITTANY RILEY,0,6.99,5,2,Jon Stephens,14.950000000000001
2.99,188,MELANIE ARMSTRONG,0,4.99,3,2,Jon Stephens,8.97
2.99,189,LORETTA CARPENTER,0,6.99,4,1,Mike Hillyer,11.96
2.99,19,RUTH MARTINEZ,0,2.99,1,2,Jon Stephens,2.99
2.99,19,RUTH MARTINEZ,0,2.99,2,1,Mike Hillyer,5.98
2.99,191,JEANETTE GREENE,0,2.99,3,2,Jon Stephens,8.97
2.99,191,JEANETTE GREENE,0,4.99,3,1,Mike Hillyer,8.97
2.99,197,SUE PETERS,0,4.99,4,1,Mike Hillyer,11.96
2.99,199,BETH FRANKLIN,0,4.99,3,1,Mike Hillyer,8.97
2.99,2,PATRICIA JOHNSON,0,2.99,1,1,Mike Hillyer,2.99
2.99,202,CARLA GUTIERREZ,0,4.99,3,1,Mike Hillyer,8.97
2.99,205,EILEEN CARR,0,4.99,3,1,Mike Hillyer,8.97
2.99,215,JESSIE BANKS,0,2.99,1,1,Mike Hillyer,2.99
2.99,22,LAURA RODRIGUEZ,0,2.99,1,1,Mike Hillyer,2.99
2.99,221,BESSIE MORRISON,0,2.99,1,2,Jon Stephens,2.99
2.99,226,MAUREEN LITTLE,0,2.99,1,2,Jon Stephens,2.99
2.99,230,JOY GEORGE,0,4.99,2,1,Mike Hillyer,5.98
2.99,233,LILLIE KIM,0,2.99,1,1,Mike Hillyer,2.99
2.99,236,MARCIA DEAN,0,4.99,3,1,Mike Hillyer,8.97
2.99,237,TANYA GILBERT,0,4.99,3,1,Mike Hillyer,8.97
2.99,245,COURTNEY DAY,0,2.99,3,1,Mike Hillyer,8.97
2.99,246,MARIAN MENDOZA,0,4.99,3,1,Mike Hillyer,8.97
2.99,254,MAXINE SILVA,0,2.99,3,1,Mike Hillyer,8.97
2.99,255,IRMA PEARSON,0,2.99,2,2,Jon Stephens,5.98
2.99,258,MYRTLE FLEMING,0,2.99,1,1,Mike Hillyer,2.99
2.99,265,JENNIE TERRY,0,2.99,1,1,Mike Hillyer,2.99
2.99,278,BILLIE HORTON,0,2.99,2,1,Mike Hillyer,5.98
2.99,278,BILLIE HORTON,0,4.99,2,2,Jon Stephens,5.98
2.99,28,CYNTHIA YOUNG,0,4.99,2,1,Mike Hillyer,5.98
2.99,280,TRACEY BARRETT,0,4.99,2,2,Jon Stephens,5.98
2.99,282,JENNY CASTRO,0,2.99,2,1,Mike Hillyer,5.98
2.99,29,ANGELA HERNANDEZ,0,2.99,2,2,Jon Stephens,5.98
2.99,291,TONI HOLT,0,2.99,1,2,Jon Stephens,2.99
2.99,291,TONI HOLT,0,2.99,2,1,Mike Hillyer,5.98
2.99,294,SHELLY WATTS,0,2.99,1,1,Mike Hillyer,2.99
2.99,294,SHELLY WATTS,0,2.99,1,2,Jon Stephens,2.99
2.99,296,RAMONA HALE,0,4.99,2,2,Jon Stephens,5.98
2.99,300,JOHN FARNSWORTH,0,2.99,1,1,Mike Hillyer,2.99
2.99,301,ROBERT BAUGHMAN,0,2.99,1,2,Jon Stephens,2.99
2.99,301,ROBERT BAUGHMAN,0,4.99,2,1,Mike Hillyer,5.98
2.99,302,MICHAEL SILVERMAN,0,2.99,1,1,Mike Hillyer,2.99
2.99,318,BRIAN WYMAN,0,2.99,2,1,Mike Hillyer,5.98
2.99,324,GARY COY,0,2.99,1,2,Jon Stephens,2.99
2.99,326,JOSE ANDREW,0,4.99,2,2,Jon Stephens,5.98
2.99,328,JEFFREY SPEAR,0,4.99,2,1,Mike Hillyer,5.98
2.99,331,ERIC ROBERT,0,2.99,2,1,Mike Hillyer,5.98
2.99,334,RAYMOND MCWHORTER,0,4.99,2,2,Jon Stephens,5.98
2.99,336,JOSHUA MARK,0,2.99,3,1,Mike Hillyer,8.97
2.99,34,REBECCA SCOTT,0,4.99,2,1,Mike Hillyer,5.98
2.99,346,ARTHUR SIMPKINS,0,2.99,1,2,Jon Stephens,2.99
2.99,355,TERRY GRISSOM,0,2.99,1,1,Mike Hillyer,2.99
2.99,356,GERALD FULTZ,0,4.99,3,1,Mike Hillyer,8.97
2.99,359,WILLIE MARKHAM,0,4.99,2,1,Mike Hillyer,5.98
2.99,361,LAWRENCE LAWTON,0,2.99,1,1,Mike Hillyer,2.99
2.99,362,NICHOLAS BARFIELD,0,2.99,2,2,Jon Stephens,5.98
2.99,362,NICHOLAS BARFIELD,0,2.99,3,1,Mike Hillyer,8.97
2.99,364,BENJAMIN VARNEY,0,2.99,1,1,Mike Hillyer,2.99
2.99,37,PAMELA BAKER,0,3.99,2,2,Jon Stephens,5.98
2.99,375,AARON SELBY,0,2.99,1,2,Jon Stephens,2.99
2.99,381,BOBBY BOUDREAU,0,2.99,2,2,Jon Stephens,5.98
2.99,383,MARTIN BALES,0,2.99,2,2,Jon Stephens,5.98
2.99,39,DEBRA NELSON,0,4.99,2,2,Jon Stephens,5.98
2.99,391,CLARENCE GAMEZ,0,2.99,2,1,Mike Hillyer,5.98
2.99,395,JOHNNY TURPIN,0,6.99,5,1,Mike Hillyer,14.950000000000001
2.99,399,DANNY ISOM,0,2.99,1,2,Jon Stephens,2.99
2.99,40,AMANDA CARTER,0,4.99,2,1,Mike Hillyer,5.98
2.99,407,DALE RATCLIFF,0,2.99,1,1,Mike Hillyer,2.99
2.99,408,MANUEL MURRELL,0,2.99,1,1,Mike Hillyer,2.99
2.99,412,ALLEN BUTTERFIELD,0,2.99,1,1,Mike Hillyer,2.99
2.99,415,GLENN PULLEN,0,2.99,1,1,Mike Hillyer,2.99
2.99,418,JEFF EAST,0,2.99,1,1,Mike Hillyer,2.99
2.99,418,JEFF EAST,0,2.99,2,2,Jon Stephens,5.98
2.99,419,CHAD CARBONE,0,2.99,1,2,Jon Stephens,2.99
2.99,421,LEE HAWKS,0,2.99,1,2,Jon Stephens,2.99
2.99,422,MELVIN ELLINGTON,0,2.99,1,2,Jon Stephens,2.99
2.99,424,KYLE SPURLOCK,0,4.99,2,2,Jon Stephens,5.98
2.99,429,FREDERICK ISBELL,0,2.99,1,1,Mike Hillyer,2.99
2.99,434,EDDIE TOMLIN,0,3.99,4,1,Mike Hillyer,11.96
2.99,437,RANDALL NEUMANN,0,2.99,1,1,Mike Hillyer,2.99
2.99,439,ALEXANDER FENNELL,0,4.99,2,2,Jon Stephens,5.98
2.99,443,FRANCISCO SKIDMORE,0,2.99,1,1,Mike Hillyer,2.99
2.99,444,MARCUS HIDALGO,0,4.99,2,1,Mike Hillyer,5.98
2.99,447,CLIFFORD BOWENS,0,4.99,3,2,Jon Stephens,8.97
2.99,45,JANET PHILLIPS,0,4.99,3,2,Jon Stephens,8.97
2.99,450,JAY ROBB,0,4.99,3,2,Jon Stephens,8.97
2.99,452,TOM MILNER,0,5.99,4,1,Mike Hillyer,11.96
2.99,457,BILL GAVIN,0,4.99,4,2,Jon Stephens,11.96
2.99,464,JEROME KENYON,0,2.99,1,1,Mike Hillyer,2.99
2.99,473,JORGE OLIVARES,0,2.99,1,1,Mike Hillyer,2.99
2.99,479,ZACHARY HITE,0,2.99,1,1,Mike Hillyer,2.99
2.99,485,CLYDE TOBIAS,0,2.99,1,2,Jon Stephens,2.99
2.99,486,GLEN TALBERT,0,2.99,2,2,Jon Stephens,5.98
2.99,493,BRENT HARKINS,0,4.99,3,1,Mike Hillyer,8.97
2.99,494,RAMON CHOATE,0,2.99,1,1,Mike Hillyer,2.99
2.99,495,CHARLIE BESS,0,2.99,1,2,Jon Stephens,2.99
2.99,496,TYLER WREN,0,2.99,1,1,Mike Hillyer,2.99
2.99,499,MARC OUTLAW,0,2.99,1,1,Mike Hillyer,2.99
2.99,503,ANGEL BARCLAY,0,2.99,1,1,Mike Hillyer,2.99
2.99,503,ANGEL BARCLAY,0,4.99,2,2,Jon Stephens,5.98
2.99,509,RAUL FORTIER,0,2.99,1,1,Mike Hillyer,2.99
2.99,511,CHESTER BENNER,0,2.99,1,1,Mike Hillyer,2.99
2.99,513,DUANE TUBBS,0,2.99,1,1,Mike Hillyer,2.99
2.99,514,FRANKLIN TROUTMAN,0,4.99,3,2,Jon Stephens,8.97
2.99,516,ELMER NOE,0,4.99,2,2,Jon Stephens,5.98
2.99,519,RON DELUCA,0,2.99,1,1,Mike Hillyer,2.99
2.99,52,JULIE SANCHEZ,0,4.99,2,2,Jon Stephens,5.98
2.99,520,MITCHELL WESTMORELAND,0,4.99,2,1,Mike Hillyer,5.98
2.99,525,ADRIAN CLARY,0,2.99,1,2,Jon Stephens,2.99
2.99,528,CLAUDE HERZOG,0,2.99,1,2,Jon Stephens,2.99
2.99,531,JAMIE WAUGH,0,2.99,1,2,Jon Stephens,2.99
2.99,536,FERNANDO CHURCHILL,0,2.99,2,2,Jon Stephens,5.98
2.99,538,TED BREAUX,0,2.99,1,2,Jon Stephens,2.99
2.99,541,DARREN WINDHAM,0,2.99,1,2,Jon Stephens,2.99
2.99,543,LANCE PEMBERTON,0,2.99,2,1,Mike Hillyer,5.98
2.99,545,JULIO NOLAND,0,2.99,1,1,Mike Hillyer,2.99
2.99,549,NELSON CHRISTENSON,0,2.99,1,1,Mike Hillyer,2.99
2.99,55,DORIS REED,0,2.99,2,2,Jon Stephens,5.98
2.99,552,HUGH WALDROP,0,4.99,2,2,Jon Stephens,5.98
2.99,554,DWAYNE OLVERA,0,2.99,1,2,Jon Stephens,2.99
2.99,563,KEN PREWITT,0,4.99,2,2,Jon Stephens,5.98
2.99,564,BOB PFEIFFER,0,2.99,1,2,Jon Stephens,2.99
2.99,567,ALFREDO MCADAMS,0,2.99,1,1,Mike Hillyer,2.99
2.99,575,ISAAC OGLESBY,0,2.99,1,1,Mike Hillyer,2.99
2.99,578,WILLARD LUMPKIN,0,2.99,1,1,Mike Hillyer,2.99
2.99,58,JEAN BELL,0,4.99,2,1,Mike Hillyer,5.98
2.99,586,KIRK STCLAIR,0,2.99,1,1,Mike Hillyer,2.99
2.99,588,MARION OCAMPO,0,2.99,1,1,Mike Hillyer,2.99
2.99,594,EDUARDO HIATT,0,5.99,3,2,Jon Stephens,8.97
2.99,598,WADE DELVALLE,0,2.99,1,1,Mike Hillyer,2.99
2.99,6,JENNIFER DAVIS,0,2.99,1,2,Jon Stephens,2.99
