month,customer_full_name,customer_country,payment_count,payment_amount,deviation_from_historical_avg,distinct_staff_count,distinct_store_count,customer_rank_in_month
2005-06,LILLIAN GRIFFIN,United Arab Emirates,6,25.94,21.95,2,2,44
2005-06,MARGIE WADE,China,9,38.91,21.94,2,2,45
2005-06,JEANNE LAWSON,Turkmenistan,7,31.93,21.94,2,2,46
2005-06,OLGA JIMENEZ,Nigeria,7,28.93,21.94,2,2,46
2005-06,JULIA FLORES,Argentina,5,30.95,20.98,2,2,48
2005-06,SYLVIA ORTIZ,Colombia,6,29.94,20.96,2,2,49
2005-06,MAE FLETCHER,Spain,7,35.93,20.96,2,2,50
2005-06,RONNIE RICKETTS,Senegal,7,25.93,20.94,2,2,51
2005-06,TRACY HERRMANN,Ecuador,5,30.95,19.98,2,2,52
2005-06,STEVEN CURLEY,India,7,35.93,19.96,2,2,53
2005-06,WALTER PERRYMAN,China,5,25.95,19.96,2,2,53
2005-06,CARMEN OWENS,Venezuela,6,22.94,19.95,2,2,55
2005-06,THELMA MURRAY,Peru,7,25.93,19.95,2,2,55
2005-06,ANGELA HERNANDEZ,Japan,7,21.93,19.94,2,2,57
2005-06,ROSEMARY SCHMIDT,Turkey,6,31.94,18.98,2,2,58
2005-06,TERRY CARLSON,Japan,6,29.94,18.97,2,2,59
2005-06,SHERRI RHODES,India,5,23.95,18.97,2,2,60
2005-06,TRACY COLE,Mexico,5,24.95,18.97,2,2,60
2005-06,JOHNNIE CHISHOLM,Poland,6,32.94,18.96,2,2,62
2005-06,LEONARD SCHOFIELD,Argentina,6,26.94,18.96,2,2,62
2005-06,BESSIE MORRISON,Italy,5,23.95,18.96,2,2,64
2005-06,JEFFREY SPEAR,Indonesia,5,21.95,18.96,2,2,64
2005-06,ROY WHITING,Kenya,5,22.95,18.96,2,2,64
2005-06,BRADLEY MOTLEY,India,5,19.95,18.96,1,1,67
2005-06,JOAN COOPER,United States,7,24.93,18.95,2,2,68
2005-06,JAY ROBB,Indonesia,7,22.93,18.94,2,2,69
2005-06,GLENDA FRAZIER,China,6,29.94,17.97,2,2,70
2005-06,WANDA PATTERSON,Colombia,5,25.95,17.97,2,2,71
2005-06,MARTIN BALES,Angola,6,27.94,17.96,2,2,72
2005-06,ALBERT CROUSE,Cameroon,5,20.95,17.96,2,2,73
2005-06,BRAD MCCURDY,Taiwan,5,22.95,17.96,2,2,73
2005-06,DEAN SAUER,South Africa,5,20.95,17.96,2,2,73
2005-06,ELEANOR HUNT,Runion,5,22.95,17.96,2,2,73
2005-06,CRAIG MORRELL,Philippines,5,26.95,16.97,2,2,77
2005-06,MARION OCAMPO,China,5,24.95,16.97,2,2,77
2005-06,MIGUEL BETANCOURT,Germany,5,24.95,16.97,2,2,77
2005-06,PRISCILLA LOWE,Mexico,5,21.95,16.97,2,2,80
2005-06,CLARA SHAW,Belarus,6,22.94,16.96,2,2,81
2005-06,NANCY THOMAS,India,6,26.94,16.96,2,2,82
2005-06,ELMER NOE,Cambodia,6,22.94,16.96,2,2,83
2005-06,JAMES GANNON,Japan,7,31.93,16.95,2,2,84
2005-06,MABEL HOLLAND,Myanmar,7,30.93,15.98,2,2,85
2005-06,SHAWN HEATON,Thailand,5,25.95,15.97,2,2,86
2005-06,MARCUS HIDALGO,Estonia,6,25.94,15.96,2,2,87
2005-06,THOMAS GRIGSBY,United States,5,19.95,15.96,2,2,88
2005-06,CHARLOTTE HUNTER,Brazil,6,21.94,15.96,2,2,89
2005-06,JIM REA,Mexico,7,22.93,15.96,2,2,90
2005-06,VICTORIA GIBSON,Indonesia,6,20.94,15.95,2,2,91
2005-06,BRITTANY RILEY,Ukraine,7,23.93,15.94,2,2,92
2005-06,SANDRA MARTIN,United Kingdom,5,25.95,14.99,2,2,93
2005-06,ARMANDO GRUBER,United Kingdom,5,25.95,14.98,2,2,94
2005-06,GREG ROBINS,Vietnam,6,24.94,14.98,2,2,95
2005-06,KIMBERLY LEE,Argentina,5,24.95,14.97,2,2,96
2005-06,JULIAN VEST,Japan,5,15.95,14.96,2,2,97
2005-06,JANET PHILLIPS,Chile,5,17.95,14.96,2,2,98
2005-06,TOM MILNER,United Arab Emirates,7,22.93,14.96,2,2,98
2005-06,JOY GEORGE,Romania,6,20.94,14.96,2,2,100
2005-06,PHILIP CAUSEY,Russian Federation,5,19.95,13.97,2,2,101
2005-06,THEODORE CULP,India,6,20.94,13.97,2,2,102
2005-06,JESSIE BANKS,Bulgaria,6,23.94,13.96,2,2,103
2005-06,BENJAMIN VARNEY,Mexico,5,19.95,13.96,2,2,104
2005-06,SAMUEL MARLOW,India,6,18.94,13.95,2,2,105
2005-06,DIANNE SHELTON,Iran,5,16.95,12.97,1,1,106
2005-06,LANCE PEMBERTON,Morocco,5,21.95,12.97,2,2,106
2005-06,FLORENCE WOODS,Argentina,7,24.93,12.95,2,2,108
2005-06,NORMA GONZALES,Philippines,5,19.95,11.97,2,2,109
2005-06,YOLANDA WEAVER,Tanzania,5,19.95,11.97,1,1,109
2005-06,SHANNON FREEMAN,India,5,14.95,11.96,2,2,111
2005-06,JESUS MCCARTNEY,Brazil,5,18.95,11.96,2,2,112
2005-06,LESLIE GORDON,Turkey,5,16.95,10.97,2,2,113
2005-06,DOROTHY TAYLOR,Iran,5,15.95,10.96,2,2,114
2005-06,NATALIE MEYER,Brazil,5,15.95,10.96,2,2,114
2005-06,BOBBY BOUDREAU,Anguilla,5,16.95,9.98,2,2,116
2005-06,ELIZABETH BROWN,Taiwan,5,19.95,9.98,2,2,116
2005-06,JESSIE MILAM,China,6,18.94,9.97,2,2,118
2005-06,VICTOR BARKLEY,United States,5,15.95,9.97,2,2,118
2005-06,HERBERT KRUGER,Russian Federation,5,14.95,9.96,2,2,120
2005-06,IRENE PRICE,Kazakstan,6,12.94,9.96,2,2,120
2005-06,JEANETTE GREENE,Russian Federation,6,17.94,9.96,2,2,120
2005-06,NICHOLAS BARFIELD,Brazil,5,14.95,9.96,2,2,120
2005-06,FRANKLIN TROUTMAN,China,6,14.94,9.95,2,2,124
2005-06,AUDREY RAY,Austria,5,16.95,8.97,2,2,125
2005-06,CHRISTIAN JUNG,India,5,15.95,8.97,2,2,126
2005-06,TODD TAN,Ukraine,5,16.95,8.96,2,2,127
2005-06,CYNTHIA YOUNG,India,5,13.95,7.97,2,2,128
2005-06,LORETTA CARPENTER,Canada,5,13.95,7.96,2,2,129
2005-06,TANYA GILBERT,South Korea,5,12.95,6.97,2,2,130
2005-06,LUCY WHEELER,India,5,11.95,6.96,2,2,131
2005-07,GORDON ALLARD,Yemen,17,96.83,90.35,2,2,1
2005-07,ELEANOR HUNT,Runion,22,100.78,86.81,2,2,2
2005-07,ARNOLD HAVENS,Philippines,18,96.82,85.35,2,2,3
2005-07,RHONDA KENNEDY,Netherlands,19,96.81,85.34,2,2,4
2005-07,MARSHA DOUGLAS,Mozambique,18,88.82,81.35,2,2,5
2005-07,CLARA SHAW,Belarus,18,93.82,79.36,2,2,6
2005-07,TERRENCE GUNDERSON,China,19,86.81,79.33,2,2,7
2005-07,BRANDON HUEY,Turkey,19,82.81,77.83,2,2,8
2005-07,RAMON CHOATE,Ecuador,18,80.82,76.83,2,2,9
2005-07,TOMMY COLLAZO,Iran,18,89.82,75.36,2,2,10
2005-07,CRYSTAL FORD,Israel,21,84.79,74.82,2,2,11
2005-07,ARTHUR SIMPKINS,Russian Federation,15,83.85,72.88,2,2,12
2005-07,ARLENE HARVEY,India,17,80.83,72.35,2,2,13
2005-07,PATRICIA JOHNSON,United States,14,75.86,71.87,2,2,14
2005-07,ELLA OLIVER,Yemen,18,73.82,70.34,2,2,15
2005-07,MILTON HOWLAND,India,14,74.86,69.38,2,2,16
2005-07,DAISY BATES,Russian Federation,18,87.82,69.37,2,2,17
2005-07,STEVE MACKENZIE,Indonesia,16,77.84,68.87,2,2,18
2005-07,RANDY GAITHER,Russian Federation,15,69.85,68.37,2,2,19
2005-07,STEPHEN QUALLS,Bangladesh,17,78.83,67.85,2,2,20
2005-07,KENT ARSENAULT,Brazil,15,75.85,66.88,2,2,21
2005-07,MISTY LAMBERT,United Arab Emirates,16,74.84,66.87,2,2,22
2005-07,VELMA LUCAS,Nigeria,17,76.83,66.35,2,2,23
2005-07,TINA SIMMONS,Brazil,15,78.85,65.88,2,2,24
2005-07,PEDRO CHESTNUT,Ukraine,15,71.85,65.87,2,2,25
2005-07,TONYA CHAPMAN,India,17,82.83,65.87,2,2,26
2005-07,WESLEY BULL,Spain,18,80.82,65.86,2,2,27
2005-07,REGINA BERRY,China,17,70.83,65.35,2,2,28
2005-07,BRETT CORNWELL,India,15,73.85,64.89,2,2,29
2005-07,NEIL RENNER,Vietnam,14,69.86,63.88,2,2,30
2005-07,ASHLEY RICHARDSON,United States,14,64.86,63.87,2,2,31
2005-07,ROGER QUINTANILLA,Taiwan,16,70.84,63.37,2,2,32
2005-07,BERNICE WILLIS,Turkey,14,70.86,62.89,2,2,33
2005-07,ROBERTO VU,China,15,77.85,62.89,2,2,34
2005-07,DIANE COLLINS,Sudan,17,80.83,62.38,2,2,35
2005-07,JENNIE TERRY,Czech Republic,16,70.84,62.36,2,2,36
2005-07,ZACHARY HITE,United States,15,79.85,61.89,2,2,37
2005-07,WILLIE HOWELL,Argentina,15,64.85,61.87,2,2,38
2005-07,WADE DELVALLE,Switzerland,16,64.84,61.85,2,2,39
2005-07,MAURICE CRAWLEY,Mexico,12,69.88,61.41,2,2,40
2005-07,LOUIS LEONE,Philippines,16,68.84,61.36,2,2,41
2005-07,FRANCIS SIKES,Mexico,17,67.83,61.34,2,2,42
2005-07,MICHAEL SILVERMAN,China,15,67.85,60.87,2,2,43
2005-07,WARREN SHERROD,Russian Federation,16,74.84,60.87,2,2,44
2005-07,MELISSA KING,Taiwan,19,73.81,60.85,2,2,45
2005-07,ROBIN HAYES,Russian Federation,13,69.87,59.9,2,2,46
2005-07,CHRISTOPHER GRECO,Italy,16,76.84,59.87,2,2,47
2005-07,ANA BRADLEY,United States,12,72.88,59.41,2,2,48
2005-07,JAMIE WAUGH,Japan,14,64.86,59.38,2,2,49
2005-07,KARL SEAL,United States,19,86.81,59.37,2,2,50
2005-07,MARIO CHEATHAM,Algeria,17,66.83,59.35,2,2,51
2005-07,BYRON BOX,Kazakstan,15,70.85,58.88,2,2,52
2005-07,GEORGE LINTON,Brazil,18,67.82,58.84,2,2,53
2005-07,THEODORE CULP,India,17,71.83,57.88,2,2,54
2005-07,JACKIE LYNCH,Colombia,15,62.85,57.87,2,2,55
2005-07,STEPHANIE MITCHELL,Armenia,15,70.85,57.87,2,2,55
2005-07,CASEY MENA,Turkey,18,71.82,57.85,2,2,57
2005-07,JUSTIN NGO,Brazil,19,67.81,57.85,2,2,58
2005-07,RALPH MADRIGAL,Puerto Rico,17,69.83,57.36,2,2,59
2005-07,KATHY JAMES,Philippines,18,70.82,57.35,2,2,60
2005-07,PERRY SWAFFORD,Argentina,13,70.87,56.91,2,2,61
2005-07,CHARLENE ALVAREZ,Tanzania,12,59.88,56.9,2,2,62
2005-07,SAM MCDUFFIE,Colombia,14,64.86,56.88,2,2,63
2005-07,MARJORIE TUCKER,Poland,16,65.84,56.86,2,2,64
2005-07,JULIAN VEST,Japan,15,64.85,56.38,2,2,65
2005-07,ROY WHITING,Kenya,15,69.85,56.38,2,2,65
2005-07,MAX PITT,Yugoslavia,16,68.84,56.36,2,2,67
2005-07,CLYDE TOBIAS,China,18,63.82,56.34,2,2,68
2005-07,DANA HART,Russian Federation,14,68.86,55.89,2,2,69
2005-07,GLADYS HAMILTON,Nigeria,15,68.85,55.88,2,2,70
2005-07,BRADLEY MOTLEY,India,11,65.89,55.42,2,2,71
2005-07,ERIC ROBERT,Argentina,12,63.88,55.41,2,2,72
2005-07,TANYA GILBERT,South Korea,15,64.85,55.39,2,2,73
2005-07,JORDAN ARCHULETA,Argentina,14,59.86,54.88,2,2,74
2005-07,NATHAN RUNYON,"Virgin Islands, U.S.",18,68.82,54.86,2,2,75
2005-07,PRISCILLA LOWE,Mexico,15,67.85,54.39,2,2,76
2005-07,VIRGINIA GREEN,France,16,68.84,54.38,2,2,77
2005-07,COURTNEY DAY,South Korea,16,72.84,53.89,2,2,78
2005-07,ETHEL WEBB,South Africa,16,65.84,53.87,2,2,79
2005-07,LINDA WILLIAMS,Greece,13,68.87,53.4,2,2,80
2005-07,JUDITH COX,China,19,59.81,53.34,2,2,81
2005-07,DARYL LARUE,Iraq,14,65.86,52.89,2,2,82
2005-07,JOHN FARNSWORTH,India,14,59.86,52.89,2,2,83
2005-07,JENNY CASTRO,Puerto Rico,15,64.85,52.89,2,2,84
2005-07,TAMMY SANDERS,Taiwan,20,70.8,52.84,2,2,85
2005-07,GILBERT SLEDGE,United Kingdom,14,67.86,52.39,2,2,86
2005-07,EMILY DIAZ,South Korea,15,56.85,52.37,2,2,87
2005-07,LUCILLE HOLMES,South Africa,15,55.85,52.37,2,2,87
2005-07,CAROLYN PEREZ,Thailand,16,61.84,52.37,2,2,89
2005-07,KEN PREWITT,Romania,16,60.84,52.36,2,2,90
2005-07,STACEY MONTGOMERY,China,16,62.84,52.36,2,2,91
2005-07,SONIA GREGORY,Nigeria,12,60.88,51.91,2,2,92
2005-07,DUANE TUBBS,Nauru,13,60.87,51.89,2,2,93
2005-07,NICHOLAS BARFIELD,Brazil,15,61.85,51.88,2,2,94
2005-07,KYLE SPURLOCK,China,16,58.84,51.86,2,2,95
2005-07,JACQUELINE LONG,Thailand,12,64.88,51.42,2,2,96
2005-07,SARA PERRY,Mexico,12,64.88,50.93,2,2,97
2005-07,JOYCE EDWARDS,Saudi Arabia,13,69.87,50.92,2,2,98
2005-07,FRANCISCO SKIDMORE,Brazil,10,54.9,50.91,2,2,99
2005-07,MIRIAM MCKINNEY,Japan,13,68.87,50.9,2,2,100
2005-07,GABRIEL HARDER,Turkey,13,55.87,50.89,2,2,101
2005-07,MITCHELL WESTMORELAND,Vietnam,14,60.86,50.88,2,2,102
2005-07,GREGORY MAULDIN,Tunisia,15,55.85,50.86,2,2,103
2005-07,LEE HAWKS,India,12,57.88,50.41,2,2,104
2005-07,ERIK GUILLEN,India,13,53.87,50.39,2,2,105
2005-07,MARCIA DEAN,Philippines,20,73.8,50.36,2,2,106
2005-07,LOIS BUTLER,Brunei,19,59.81,50.34,2,2,107
2005-07,ALICE STEWART,United States,12,58.88,49.91,2,2,108
2005-07,JUANITA MASON,India,14,57.86,49.89,2,2,109
2005-07,MARTHA GONZALEZ,Moldova,18,65.82,49.87,2,2,110
2005-07,DARLENE ROSE,North Korea,17,52.83,49.35,2,2,111
2005-07,TERRY GRISSOM,Japan,11,52.89,48.91,2,2,112
2005-07,TERRI VASQUEZ,Brazil,13,60.87,48.9,2,2,113
2005-07,ALVIN DELOACH,Mexico,13,66.87,48.9,2,2,114
2005-07,LYNN PAYNE,Malawi,13,56.87,48.9,2,2,114
2005-07,STANLEY SCROGGINS,Japan,14,59.86,48.89,2,2,116
2005-07,ROSS GREY,Philippines,15,49.85,48.86,2,2,117
2005-07,KATHRYN COLEMAN,Ukraine,11,64.89,48.43,2,2,118
2005-07,CHERYL MURPHY,India,11,60.89,48.42,2,2,119
2005-07,CONSTANCE REID,Nigeria,14,57.86,48.38,2,2,120
2005-07,JULIA FLORES,Argentina,17,68.83,48.37,2,2,121
2005-07,BRITTANY RILEY,Ukraine,11,63.89,47.93,2,2,122
2005-07,MATHEW BOLIN,Venezuela,12,55.88,47.91,2,2,123
2005-07,PHILIP CAUSEY,Russian Federation,13,60.87,47.91,2,2,123
2005-07,HERMAN DEVORE,Tanzania,13,57.87,47.9,2,2,125
2005-07,GERTRUDE CASTILLO,Greenland,15,58.85,47.89,2,2,126
2005-07,RODNEY MOELLER,Nigeria,15,58.85,47.87,2,2,127
2005-07,ANDY VANHORN,Mexico,10,53.9,47.42,2,2,128
2005-07,MATTHEW MAHAN,Mexico,15,58.85,47.38,2,2,129
2005-07,DEBRA NELSON,Brazil,15,73.85,46.91,2,2,130
2005-07,BEATRICE ARNOLD,India,12,56.88,46.91,2,2,131
2005-07,JERRY JORDON,Japan,12,62.88,46.91,2,2,131
2005-07,GARY COY,China,12,50.88,46.9,2,2,133
2005-07,VIRGIL WOFFORD,Mexico,14,57.86,46.89,2,2,134
2005-07,JIMMY SCHRADER,Russian Federation,13,50.87,46.39,2,2,135
2005-07,MARILYN ROSS,Nigeria,12,61.88,45.91,2,2,136
2005-07,SARAH LEWIS,Latvia,13,60.87,45.91,2,2,137
2005-07,THELMA MURRAY,Peru,15,61.85,45.9,2,2,138
2005-07,DON BONE,Mozambique,14,65.86,45.88,2,2,139
2005-07,HUGH WALDROP,China,9,48.91,45.43,2,2,140
2005-07,NATHANIEL ADAM,United States,11,57.89,45.42,2,2,141
2005-07,LUIS YANEZ,France,12,52.88,45.4,2,2,142
2005-07,ADRIAN CLARY,Italy,11,49.89,45.4,2,2,143
2005-07,AUDREY RAY,Austria,14,57.86,45.4,2,2,144
2005-07,JOY GEORGE,Romania,15,58.85,45.39,2,2,145
2005-07,GRACE ELLIS,Germany,15,61.85,45.39,2,2,146
2005-07,JESSIE MILAM,China,13,58.87,44.92,2,2,147
2005-07,JORGE OLIVARES,Indonesia,13,57.87,44.91,2,2,148
2005-07,MORRIS MCCARTER,Taiwan,15,63.85,44.9,2,2,149
2005-07,JACK FOUST,Russian Federation,13,50.87,44.89,2,2,150
2005-07,ELIZABETH BROWN,Taiwan,16,59.84,44.88,2,2,151
2005-07,ALLISON STANLEY,Cambodia,15,54.85,44.88,2,2,152
2005-07,DAN PAINE,United Kingdom,10,58.9,44.43,2,2,153
2005-07,BESSIE MORRISON,Italy,12,58.88,44.41,2,2,154
2005-07,MAXINE SILVA,Brazil,13,55.87,44.41,2,2,155
2005-07,ADAM GOOCH,India,11,46.89,44.41,2,2,156
2005-07,BETH FRANKLIN,Vietnam,12,52.88,44.4,2,2,157
2005-07,RACHEL BARNES,Japan,13,53.87,44.4,2,2,158
2005-07,CHARLES KOWALSKI,Malaysia,14,53.86,44.38,2,2,159
2005-07,LEROY BUSTAMANTE,China,16,60.84,44.38,2,2,160
2005-07,MARIA MILLER,Yugoslavia,11,59.89,43.94,2,2,161
2005-07,CLAUDE HERZOG,Angola,11,56.89,43.93,2,2,162
2005-07,GLEN TALBERT,Mexico,12,58.88,43.92,2,2,163
2005-07,SHELLY WATTS,United States,10,47.9,43.92,2,2,164
2005-07,DALE RATCLIFF,South Africa,11,49.89,43.91,2,2,165
2005-07,LORRAINE STEPHENS,China,12,49.88,43.9,2,2,166
2005-07,PEGGY MYERS,Saudi Arabia,12,53.88,43.89,2,2,167
2005-07,GERALD FULTZ,India,13,50.87,43.89,2,2,168
2005-07,ELSIE KELLEY,Nigeria,15,52.85,43.88,2,2,169
2005-07,JANICE WARD,Sweden,13,60.87,43.41,2,2,170
2005-07,FLORENCE WOODS,Argentina,14,61.86,43.41,2,2,171
2005-07,AMY LOPEZ,India,15,58.85,43.39,2,2,172
2005-07,RICK MATTOX,Egypt,11,60.89,42.94,2,2,173
2005-07,CARL ARTIS,Paraguay,10,49.9,42.93,2,2,174
2005-07,CARLA GUTIERREZ,India,13,52.87,42.91,2,2,175
2005-07,EDUARDO HIATT,China,14,65.86,42.91,2,2,176
2005-07,RUBY WASHINGTON,China,12,51.88,42.91,2,2,176
2005-07,RUSSELL BRINSON,Poland,14,58.86,42.91,2,2,178
2005-07,JIMMIE EGGLESTON,Poland,15,70.85,42.9,2,2,179
2005-07,BERNARD COLBY,India,12,47.88,42.89,2,2,180
2005-07,VIOLA HANSON,Philippines,14,54.86,42.89,2,2,181
2005-07,WENDY HARRISON,Mexico,15,50.85,42.88,2,2,182
2005-07,HECTOR POINDEXTER,Russian Federation,14,46.86,42.87,2,2,183
2005-07,CLIFTON MALCOLM,Taiwan,11,52.89,42.42,2,2,184
2005-07,LISA ANDERSON,Japan,11,53.89,42.41,2,2,185
2005-07,FERNANDO CHURCHILL,South Korea,12,51.88,42.41,2,2,186
2005-07,TODD TAN,Ukraine,13,54.87,42.4,2,2,187
2005-07,MIKE WAY,India,12,61.88,41.92,2,2,188
2005-07,CHARLIE BESS,China,11,56.89,41.92,2,2,189
2005-07,JOSEPH JOY,Brazil,13,62.87,41.92,2,2,189
2005-07,CLIFFORD BOWENS,Russian Federation,11,50.89,41.92,2,2,191
2005-07,RAMONA HALE,India,12,54.88,41.92,2,2,192
2005-07,KAREN JACKSON,Turkey,13,61.87,41.91,2,2,193
2005-07,LILLIE KIM,Egypt,13,55.87,41.91,2,2,193
2005-07,TONI HOLT,United States,12,52.88,41.91,2,2,195
2005-07,EDWARD BAUGH,Faroe Islands,12,50.88,41.9,2,2,196
2005-07,CYNTHIA YOUNG,India,14,51.86,41.9,2,2,197
2005-07,ANDREW PURDY,Azerbaijan,13,51.87,41.9,2,2,198
2005-07,HEIDI LARSON,China,15,53.85,41.89,2,2,199
2005-07,ERICA MATTHEWS,China,10,49.9,41.42,2,2,200
2005-07,ALAN KAHN,China,11,50.89,41.41,2,2,201
2005-07,JULIE SANCHEZ,Spain,12,48.88,41.41,2,2,202
2005-07,MICHELE GRANT,China,14,55.86,41.39,2,2,203
2005-07,JARED ELY,Indonesia,8,48.92,40.95,2,2,204
2005-07,JON WILES,Bolivia,9,45.91,40.94,2,2,205
2005-07,ROSA REYNOLDS,United States,11,50.89,40.92,2,2,206
2005-07,ANNETTE OLSON,India,11,46.89,40.91,2,2,207
2005-07,ROBERTA HARPER,Iran,12,50.88,40.91,2,2,207
2005-07,SHANE MILLARD,Mexico,11,50.89,40.91,2,2,207
2005-07,RON DELUCA,Japan,13,51.87,40.89,2,2,210
2005-07,HAZEL WARREN,China,15,47.85,40.88,2,2,211
2005-07,RAYMOND MCWHORTER,Azerbaijan,11,53.89,40.42,2,2,212
2005-07,JUDY GRAY,Algeria,11,47.89,40.41,2,2,213
2005-07,CHRISTINE ROBERTS,French Polynesia,12,47.88,40.4,2,2,214
2005-07,WANDA PATTERSON,Colombia,11,56.89,39.93,2,2,215
2005-07,BEVERLY BROOKS,Taiwan,10,46.9,39.92,2,2,216
2005-07,HERBERT KRUGER,Russian Federation,11,49.89,39.92,2,2,216
2005-07,ELLEN SIMPSON,Brazil,13,48.87,39.89,2,2,218
2005-07,MARIE TURNER,Russian Federation,10,53.9,39.45,2,2,219
2005-07,KENNETH GOODEN,Israel,8,47.92,39.44,2,2,220
2005-07,KEVIN SCHULER,Nepal,10,50.9,39.43,2,2,221
2005-07,BARRY LOVELACE,Zambia,14,54.86,39.41,2,2,222
2005-07,SETH HANNON,Bahrain,14,56.86,39.39,2,2,223
2005-07,KATHLEEN ADAMS,Iran,13,40.87,39.39,2,2,224
2005-07,EDGAR RHOADS,Turkey,15,49.85,39.38,2,2,225
2005-07,MARSHALL THORN,United Kingdom,12,68.88,38.94,2,2,226
2005-07,JULIO NOLAND,Ukraine,9,42.91,38.93,2,2,227
2005-07,MARLENE WELCH,Japan,12,51.88,38.91,2,2,228
2005-07,TROY QUIGLEY,Canada,12,52.88,38.9,2,2,229
2005-07,SHAWN HEATON,Thailand,14,56.86,38.9,2,2,230
2005-07,ROBERT BAUGHMAN,Russian Federation,10,48.9,38.43,2,2,231
2005-07,PHILLIP HOLM,Japan,11,44.89,38.42,2,2,232
2005-07,EDWIN BURK,South Africa,12,56.88,38.41,2,2,233
2005-07,LUCY WHEELER,India,13,46.87,38.4,2,2,234
2005-07,TED BREAUX,China,14,51.86,38.39,2,2,235
2005-07,SERGIO STANFIELD,Mexico,10,48.9,37.93,2,2,236
2005-07,VERNON CHAPA,Turkey,9,48.91,37.93,2,2,236
2005-07,DENISE KELLY,Brazil,10,47.9,37.93,2,2,238
2005-07,GWENDOLYN MAY,Japan,12,51.88,37.92,2,2,239
2005-07,BETTY WHITE,United States,12,50.88,37.91,2,2,240
2005-07,WILLARD LUMPKIN,Mexico,11,45.89,37.91,2,2,241
2005-07,MARK RINEHART,Saudi Arabia,11,48.89,37.42,2,2,242
2005-07,JAVIER ELROD,Chad,11,48.89,37.42,2,2,243
2005-07,KRISTINA CHAMBERS,Venezuela,14,51.86,37.39,2,2,244
2005-07,PAULA BRYANT,India,9,43.91,36.94,2,2,245
2005-07,JESUS MCCARTNEY,Brazil,10,49.9,36.93,2,2,246
2005-07,JEFF EAST,Dominican Republic,10,45.9,36.93,2,2,247
2005-07,SHANNON FREEMAN,India,10,45.9,36.93,2,2,247
