account_type,client_id,client_name,out_of_state_transaction_share,total_credits,total_debits,transaction_count
SAVINGS,123032,Dylan,1.0,0.0,8500.0,1
SAVINGS,123033,Ryan,1.0,0.0,11500.0,1
SAVINGS,123035,Nora,0.0,0.0,19000.0,1
SAVINGS,123036,Zoe,1.0,0.0,22000.0,1
SAVINGS,123037,Sarah,1.0,0.0,25000.0,1
SAVINGS,123038,Eva,1.0,4000.0,0.0,1
SAVINGS,123039,Max,1.0,0.0,7000.0,1
SAVINGS,123040,Aaron,1.0,0.0,10000.0,1
SAVINGS,123041,David,0.0,14500.0,0.0,1
SAVINGS,123042,Molly,1.0,17500.0,0.0,1
SAVINGS,123043,Julia,1.0,0.0,20500.0,1
