t01,t02,t03,t04,t05
4000-1938-3038,-7000.00,Shopping Cart,TX,2020-03-30
5000-1738-5038,-8500.00,ATM withdrawal,WA,2020-04-04
4000-1939-3039,-10000.00,POS-Walmart,IL,2020-04-09
5000-1739-5039,-11500.00,UPI transfer,AZ,2020-04-14
9000-1739-7039-4339,-13000.00,Bankers cheque,FL,2020-04-19
4000-1940-3040,14500.00,Net banking,CA,2020-04-24
5000-1740-5040,16000.00,cheque deposit,MN,2020-04-29
4000-1941-3041,17500.00,ECS transfer,NY,2020-05-04
5000-1741-5041,19000.00,Cash Deposit,TX,2020-05-09
4000-1942-3042,-20500.00,Shopping Cart,WA,2020-05-14
5000-1742-5042,-22000.00,ATM withdrawal,IL,2020-05-19
